04-iGMM-selectinvestors,01-DDD-investors
"initialized capital, y combinator, kleiner perkins caufield & byers","sinar mas digital ventures, jic venture growth investments, golden gate ventures"
"aviation industry corporation of china, essence financial, jiangsu sha steel group","index ventures, draft ventures, felicis ventures"
"activant capital, tribe capital, general atlantic","valar ventures, index ventures, creandum"
"dfj growth fund, coatue management, addition","dfj growth fund, dell technologies capital, ten eleven ventures"
"tencent holdings, hillhouse capital management, yunfeng capital","hedosophia, horizons ventures, alumni ventures group"
"accel india, saif partners, norwest venture partners","mindworks ventures, shunwei capital partners, xiang he capital"
"mindworks ventures, shunwei capital partners, xiang he capital","general catalyst partners, google ventures, kleiner perkins caufield & byers"
"general catalyst partners, google ventures, kleiner perkins caufield & byers","l catterton, trellis partners, vista equity partners"
"sequoia capital china, gx capital","andreessen horowitz, ftx ventures, tiger global management"
"y combinator, sequoia capital, coatue management","primary venture partners, bessemer venture partners, harmonic growth partners"
"djf, salesforce ventures, storm ventures","varengold bank, circularity capital, coparion"
"index ventures, draft ventures, felicis ventures","japan industrial partners, impact investment capital, nec"
"upper90, riverpark ventures, advent international","battery ventures, bessemer venture partners, morevc"
"ribbit capital, capitalg, softbank group","3one4 capital partners, tiger global management, temasek"
"idg capital, matrix partners china, jump crypto","new enterprise associates, tull investment group, silver lake"
"kkr, es ventures, north bridge growth equity","emergence capital, slack fund, paypal ventures"
"bessemer venture partners, iconiq capital, battery ventures","trinity ventures, madrona venture group, shasta ventures"
"sequoia capital china, tencent investment, ba capital","andreessen horowitz, coinbase ventures, tiger global management"
"redalpine venture partners, earlybird venture capital, valar ventures","8vc, liberty strategic capital, eden global partners"
"summit partners, accel, astral capital","polychain capital, paradigm, ribbit capital"
"andreessen horowitz, lightspeed venture partners, zeev ventures","k fund, creandum, crv"
"vattenfall, volkswagen group, goldman sachs","prime movers lab, khosla ventures, i squared capital"
"andreessen horowitz, nor-cal invest, tpg growth","zeev ventures, bond, fifth wall ventures"
"nintendo, google, pokemon company international, spark capital","craft ventures, f-prime capital, sound ventures"
"softbank group, sequoia capital india,lightspeed india partners","wildcat capital management, insight partners, tola capital"
"target global, general catalyst, durable capital partners","u.s. venture partners, drx capital, andreessen horowitz"
"dst global, softbank group, mountain nazca","battery ventures, adams street partners, coatue management"
"boldstart ventures, google ventures, accel","green bay ventures, m12, andreessen horowitz"
"softbank group, greylock partners, gaorong capital","iseed ventures, point nine capital, buckley ventures"
"addition, benhcmark, accel","kleiner perkins caufield & byers, sequoia capital"
"sequoia capital china, idg capital, dcm ventures","lemniscap vc, north island ventures, polychain capital"
"global founders capital, nortzone ventures, picus capital","earlybird venture capital, eleven ventures, qed investors"
"andreessen horowitz, founders fund, revolution ventures","multicoin capital, coatue management, dragonfly capital partners"
"american express ventures, goldman sachs, bain capital credit","accel, 14w, gs growth"
"didi chuxing, diamler, tmt investments","fasanara capital, tiger global management, baleen capital"
"sutter hill ventures, liberty global ventures, coatue management","atomico, ngp capital, google ventures"
"01 advisors, zeev ventures, group 11","battery ventures, tiger global management, hanaco ventures"
"new enterprise associates, t. rowe associates, lightbank","next play ventures, zeal capital partners, softbank group"
"d1 capital partners, stripe, coatue management","qed investors, dst global, endeavor"
"kaalari capital, tencent holdings, steadview capital","nexus venture partners, vertex ventures, strive"
"tenaya capital, coatue management, stripes group","new enterprise associates, benchmark, two sigma ventures"
"bloomberg beta, founders fund, first round capital","lightspeed india partners, sequoia capital india, endiya partners"
"tiger global management, american express ventures, b capital group","tpg capital, apax partners, ta associates"
"sixth street partners, orbimed advisors, highland capital management","vista equity partners, warburg pincus, first ascent ventures"
"union square ventures, venrock, andreessen horowitz","vostok new ventures, the raine group, balderton capital"
"accel, northzone ventures, institutional venture partners","atomico, hanaco venture capital, triplepoint capital"
"lightspeed venture partners, social capital, accel","temasek, guggenheim investments, qatar investment authority"
"sequoia capital india, tiger global management, matrix partners india","general catalyst, nexus venture partners, dell technologies capital"
"insight venture partners, lowercase capital, polaris partners","awz ventures, blackstone, insight partners"
"menlo ventures, spark capital, union square ventures","fifth wall ventures, jbv capital, array ventures"
"accel, y combinator, index ventures","insight partners, lightspeed venture partners, cyberstarts"
"volkswagen group, ford autonomous vehicles","alpargatas, gs growth, lightspeed venture partners"
"norwest venture partners, next world capital, wing venture capital","andreessen horowitz, triangle peak partners, ignition partners"
"morgan creek digital, marcy venture partners, 10t fund","prysm capital, baillie gifford & co., tdm growth partners"
"tencent, morningside group","horizons ventures, sequoia capital india, alpha jwc ventures"
"initialized capital, general catalyst, signalfire","cherry ventures, felix capital, 83north"
"third point, electric capital, coinbase ventures","thrive capital, general catalyst, coatue management"
"general atlantic, goldman sachs, new enterprise associates","kkr, ftv capital, ten eleven ventures"
"slack fund, accel, skip capital","danone manifesto ventures, 1955 capital, breakthrough energy ventures"
"institutional venture partners, sequoia capital, general atlantic","newalpha, xange private equity, tencent holdings"
"sequoia capital china, warburg pincus, general catalyst","advent international, bain capital ventures, silversmith capital partners"
"idg capital, bank of china group investment,, sdic cmc investment management","qualcomm ventures, nine intelligence capital, hillhouse capital management"
"ta associates, softbank group, gs growth","dst global, general catalyst, monashees+"
technology crossover ventures,"general atlantic, elevation capital, beenext"
"accel partners, softbank group, sequoia capital","rre ventures+, highland capital partners, the carlyle group"
"bpi france, kerala ventures, accel","andreessen horowitz, intel capital, foundation capital"
"new enterprise associates, accomplice, ia ventures","khosla ventures, general catalyst, navitas capital"
"union square ventures, ribbit capital, vy capital","goldman sachs asset management, 3l"
"atomico, insight partners, coatue management","index ventures, benchmark, thrive capital"
barter ventures,"paladin capital group, greycroft, scale venture partners"
"thrive capital, benchmark, menloventures","bluerun ventures, grand flight investment, meituan dianping"
"warmsun holding, idg capital partners","global founders capital, 468 capital, redalpine venture partners"
"pine brook, american express ventures, kleiner perkins caufield & byers","sequoia capital china, linear venture, hearst ventures"
"insight partners, sequoia capital, index ventures","accel, falcon edge capital, norwest venture partners"
"blackrock, blackstone, ubs","korea investment private equity, atinum investment, korea investment partners"
"venrock, battery ventures, insight partners","google ventures, cathay innovation, njf capital"
"nextview ventures, eniac ventures, sequoia capital","khosla ventures,general catalyst, victory park capital"
"alibaba group, boyu capital, borui capital","equal ventures, uncork capital, andreessen horowitz"
"tencent, baidu, huasheng capital","innovation endeavors, aleph, temasek"
"technology crossover ventures, a&e television networks","acero capital, general catalyst, m12"
"thrive capital, maverick ventures, redpoint ventures","valor capital group, lightrock, softbank group"
"battery ventures, storm ventures, redpoint ventures","iag capital partners, augmentum fintech, northzone ventures"
"aglae ventures, eurazeo, daphni","lerer hippeau, munich re ventures, eclipse ventures"
"blackstone, technology crossover ventures, summit partners","true ventures, altimeter capital, redpoint ventures"
"vy capital, 8vc, craft ventures","sequoia capital india, the times group, gmo venturepartners"
"nexus venture partners, crv, insight partners","coatue management, insight partners, trinity ventures"
"matrix partners, andreessen horowitz, general catalyst","left lane capital, galaxy interactive, tru arrow partners"
"highland europe, eurazeo, canaan partners","speedinvest, valar ventures, uniqa ventures"
"founders fund. accel, creandum","index ventures, idinvest partners, daphni"
"dst global, andreessen horowitz, sequoia capital, redpoint e.ventures","greylock partners, lux capital, general atlantic"
"index ventures, battery ventures, iconiq capital","ggv capital, gsr ventures, freesfund"
insight partners,"3one4 capital partners, bertelsmann india investments, vertex ventures se asia"
"kaszek ventures, general atlantic, softbank group","softbank ventures asia, alpha jwc ventures, insignia ventures partners"
credit suisse,ftv capital
"ant financial services group, ggv capital","vitruvian partners, merieux equity partners, straumann"
"dst global, sequoia capital china, tencent holdings","sequoia capital, thrive capital, sound ventures"
"runa capital, acton capital partners, point nine capital","accel, tiger global management, omidyar network"
"bessemer venture partners, qualcomm ventures, kleiner perkins caufield & byers","accomplice, juxtapose, firstmark capital"
"hillhouse capital management, linear venture, morningside venture capital","accel, y combinator, amasia"
"baidu capital, linear venture, tencent","b capital group, monk's hill ventures, dynamic parcel distribution"
"general atlantic, 3i group, huagai capital","tencent holdings, hillhouse capital management"
"walden international, google ventures, intel capital","nfx, plum alley, mayfield"
"accel, technology crossover ventures, leapfrog investments","andreessen horowitz, dst global, idg capital"
"clermont group, coltrane asset management, toscafund asset management","female founders fund, oak hc/ft partners, sequoia capital"
"insight partners, andalusian capital partners","yunqi partners, softbank group, ivision ventures"
"matrix partners india, falcon edge capital, softbank group","anthemis, connect ventures, northzone ventures"
"google ventures, benchmark, firstmark capital","hillhouse capital management, sequoia capital china, linear venture"
"sequoia capital india, temasek, paypal ventures","goldman sachs asset management, sdp investment, alibaba group"
"alven capital, valar ventures, tencent holdings","greylock partners, google ventures, blackrock"
"softbank group, tiger global management, matrix partners india","accomplice, oak investment partners, georgian partners"
"eight roads ventures, greycroft, ignition partners","wing venture capital, slow ventures, uncork capital"
"capital one growth ventures, citi ventures, omers ventures","advent international, psg, providence equity partners"
"falcon edge capital, omidyar network, sequoia capital india","kleiner perkins caufield & byers, nightdragon security, venrock"
"india quotient, elevation capital, lightspeed venture partners","qiming venture partners, vivo capital, sequoia capital china"
"two sigma ventures, flint capital, commerce ventures","ardian, bain capital"
"venture highway, sequoia capital india, prosus ventures","general catalyst, future ventures, au21"
"oak hc/ft partners, artis ventures, westcap group","sequoia capital, dcm ventures, insight partners"
"kaszek ventures, amadeus capital partners, quona capital","greylock partners, google ventures, blackrock"
"sierra ventures, battery ventures, asset management ventures","vertex ventures se asia, global founders capital, visa ventures"
"china grand prosperity investment, silk road huacheng, oriza equity investment","firstmark capital, georgian partners, norwest venture partners"
"threshold ventures, lightspeed venture partners, crosslink capital","foundry group, scale venture partners, softbank group"
"creandum, founders, kinnevik","madrona venture group, tiger global management, madera technology partners"
"advent international,general catalyst,insight partners","hyde park venture partners,	fundersclub. bain capital ventures"
"greylock partners, venrock, providence ventures","advance venture partners, susquehanna growth equity, lupa systems"
"alven capital, firstmark capital, capitalg","day one ventures, coinbase ventures, andreessen horowitz"
"y combinator, accel, t. rowe price","javelin venture partners, ttv capital, peterson ventures"
"general catalyst, viking global investors, t. rowe price","foundation capital, 	summit partners, adams street partners"
"ontario teachers' pension plan, goldman sachs","genesis partners, aleph, insight partners"
"accel, insight partners, burda principal investments","salesforce ventures, next47, pereg ventures"
"sequoia capital china, tencent holdings, sinovation ventures","bessemer venture partners, morevc, team8"
"two sigma ventures, flint capital, commerce ventures","ggv capital, hillhouse capital management, idg capital"
"passion capital, thrive capital, orange digital ventures","singtel innov8, alpha jwc ventures, golden gate ventures"
"cdh investments, goldstone investments, qiming venture partners","insight partners, ignition partners, georgian partners"
"salesforce ventures, seedcamp, omers ventures","delian capital, china international capital corporation, sequoia capital china"
"chiratae ventures, premjiinvest, softbank","netease capital, northern light venture capital, microsoft"
"mayfield fund, m12, trinity ventures","northzone ventures, maveron, johnson & johnson innovation"
"atop capital, idinvest partners, qiming venture partners","optum ventures, qiming venture partners, transformation capital"
"general atlantic, blackstone, iconiq growth","dragonfly captial, qiming venture partners, dst global"
"lightspeed venture partners, redpoint ventures, viking global investors","sequoia capital, founders fund, bling capital"
"benchmark, accel, softbank group","version one ventures, uncork capital, bessemer venture partners"
"playground global, bond, tribe capital","eclipse ventures, fidelity investments, moore capital management"
"sequoia capital china, qiming venture partners, tencent holdings","griffin gaming partners, andreessen horowitz, battery ventures"
"lightspeed venture partners, khosla ventures, geodesic capital","iris capital, accel, elaia partners"
"vista equity partners, wincove, tdr capital","xingwang investment management, china capital investment group, matrix partners china"
"andreessen horowitz, amplify partners, sequoia capital",bain capital
sequoia capital,"invus group, hanaco venture capital, westcap group"
"venrock, institutional venture partners, goldman sachs",general atlantic
"speedinvest, valar ventures, uniqa ventures","helion venture partners, bain capital tech opportunities, sequoia capital india"
"goodwater capital, ifly, xvc venture capital","xbto ventures, raven one ventures, sk ventures"
"redbird capital partners, cj enm, tencent holdings","eastern bell capital, danhua capital, msa capital"
"new enterprise associates, sequoia capital, comcast ventures","accel, cobalt capital, andreessen horowitz"
"tiger global management, dst global, sequoia capital india","balderton capital, next world capital, draper esprit"
formation 8,"smilegate investment, dsc investments, ktb ventures"
"ant financial services group, russia-china investment fund, foxconn technology company","thrive capital, durable capital partners, g squared"
"softbank group, general atlantic","flagship pioneering, alexandria venture investments, investment corporation of dubai"
"khosla ventures, horizons ventures, temasek holdings","pantera capital, cadenza ventures, blocktower capital"
"new enterprise associates, starr investment holdings","tdk ventures, social capital, d1 capital partners"
"zeev ventures, ribbit capital, tlv partners","silverton partners, accel, ballast point ventures"
"index ventures, thrive capital, crv","american family ventures, cox enterprises, omers ventures"
"dragoneer investment group, hellman & friedman, jmi equity","yinhong equity investment fund, e fund, ideal international"
"sequoia capital, bessemer venture partners, threshold ventures","owl ventures, technology crossover ventures, tao capital partners"
"andreessen horowitz, tq ventures","tlv partners, lightspeed venture partners, m12"
"accel, insight partners, bond capital","sequoia capital china, shunwei capital partners, qualgro"
"drive capital, general catalyst, ascension ventures","bojiang capital, hongdao capital, mobai capital"
"greylock partners, lightspeed venture partners, khosla ventures","c5 capital, hemisphere ventures, the venture collective"
"accel, aleph, american express ventures","b capital group,, ge ventures, mckesson ventures"
"softbank group, norwest venture partners","bertelsmann asia investments, sequoia capital china, nio capital"
"georgian partners, craft ventures","greatpoint ventures, tiger global management, menlo ventures"
"benchmark, foundation capital, sequoia capital","matrix partners china, sequoia capital china, hundreds capital"
"blackrock, kleiner perkins caulfield & byers, google ventures","scb 10x, krungsri finnovate, ewtp capital"
"new enterprise associates, pear, cowboy ventures","crv, y combinator, initialized capital"
"fifth wall ventures, energize ventures, 	iconiq capital","andreessen horowitz, andreessen horowitz, institutional venture partners, accel"
"accel, silversmith capital partners, capitalg","scale venture partners, bond, tiger global management"
"andreessen horowitz, thrive capital, sound ventures","storm ventures, dfj dragonfund, new enterprise associates"
"fairfax financial holdings, a91 partners, tvs capital","flybridge capital partners, softbank group, monashees+"
"greylock partners, insight partners,menlo ventures","lightspeed venture partners, kleiner perkins caufield & byers, origin ventures"
"china health industry investment fund, china renaissance, and sequoia capital china","insight partners, bain capital ventures"
"new enterprise associates, new leaf venture partners, charter venture capital","union square ventures, insight partners, spark capital"
"google ventures, battery ventures, dst global","global founders capital, shea ventures, greycroft"
"y combinator, atomico, accel","costanoa ventures, data collective, salesforce ventures"
"greylock partners, capitalg, y combinator","sozo ventures, caffeinated capital, sequoia capital"
"blackstone, iconiq growth, general atlantic","novator partners, true, causeway media partners"
"casa verde capital, gron ventures, thrity five ventures","union square ventures, altos ventures, costanoa ventures"
"softbank group, sequoia capital, wing venture capital","tiger global management, hedosophia"
"norwest venture partners, goldman sachs, dell technologies capital","idg capital, francisco partners, zhenfund"
"upfront ventures, webb investment network, d1 capital partners","wellington management, eurazeo, citi ventures"
"qualcomm ventures, samsung ventures, silver lake","wrvi capital, caffeinated capital, y combinator"
"breakthrough energy ventures, capricorn investment group, valor equity partners","mmc ventures, bgf ventures, unilever ventures"
"bessemer venture partners, insight partners, new era ventures",one equity partners
"hillhouse capital management, softbank group, qiming venture partners","lightspeed venture partners, data collective, 8vc"
"menlo ventures, alkeon capital management, citi ventures","olx group, kck group, exor seeds"
"y combinator, andreessen horowitz, wonder ventures","jackson square ventures, greenoaks capital management, softbank group"
01 advisors. kleiner perkins caufield & byers. andreessen horowitz,"technology crossover ventures, alkeon capital management, general atlantic"
"silver lake, iconiq capital","investment corporation of dubai, centralway"
"nextview ventures, promus ventures, two sigma ventures","aglae ventures, global founders capital, alven capital"
"andreessen horowitz, lux capital, general catalyst","tal education group, legend star, alibaba group"
"newview capital, maveron, ridge ventures","union square ventures, summerhill venture partners, mithril capital management"
"dragoneer investment group, dst global, franklin templeton",china prosperity capital
eqt partners,"dst global, sequoia capital china, gaorong capital"
"activant capital group, alaska permanent fund, baillie gifford & co.",softbank group
kuang-chi,"astanor ventures, upfront ventures, idinvest partners"
"first round capital, sequoia capital, index ventures","matrix partners china, bright venture capita, shenzhen capital group"
"general catalyst, hca healthcare","sbi investment korea, partners investment, gic"
"elaia partners, 83north, felix capital","ftv capital, endeavor"
"airbus ventures, index ventures, advent international","koch disruptive technologies, teamworthy ventures, ggv capital"
"westcap group, caisse de depot et placement du quebec","boc international, toposcend capital, hongxiu vc"
"dn capital, left lane capital, coatue management","yunfeng capital, sdic innovation investment management, shang qi capital"
"madrona venture group, shasta ventures, salesforce ventures","china everbright limited, idg capital, iflytek"
"kleiner perkins caufield & byers, lightspeed venture partners, true ventures","georgian co-investment fund, itech capital, galaxy digital"
"insight partners, tiger global management, accel","prometheus capital, matrix partners china, jd capital management"
"matrix partners, initialized capital, tiger global management","qiming venture partners, china broadband capital, cdh investments"
"mithril capital management, y combinator, capricorn investment group","v star capital, gf xinde investment management co., haitong leading capital management"
"goldman sachs, vebventures, insight partners","innova capital - fip, 3g capital management, prosus ventures"
"blume ventures, nexus venture partners, sequoia capital india","one luxury group, eurazeo"
"new enterprise associates, coatue management, tiger global management","fosun rz capital, oceanwide holdings, shenzhen qianhe capital management co."
"tiger global management, kalaari capital","china investment corporation, new enterprise associates"
"andreessen horowitz, softbank group, temasek holdings","u.s.-china green fund, founder h fund, richland equities"
"china environmental protection industry, china fortune ocean","sequoia capital china, ing, alibaba entrepreneurs fund"
"insight partners, salesforce ventures, vertex ventures","k2 global, 500 startups"
"index ventures, coatue management, andreessen horowitz","sinovation ventures, tencent holdings, sequoia capital china"
"jtc group, qatar investment authority, fidelity investment","blue label telecoms, net1 ueps technologies"
"geely, sig asia investments, china state capital venture capital fund","k2 ventures, matrix partners china, idg capital"
"bessemer venture partners, sutter hill ventures, matrix partners","standard chartered, finsight ventures, affirma capital"
"greycroft, sands capital, revolution growth","co-energy finance, grandland"
"andreessen horowitz, ia ventures, felicis ventures",gcp capital partners
"sequoia capital china, dst global, dst global","lakestar, battery ventures, new enterprise associates"
"moore strategic ventures, dst global, sequoia capital india","goldman sachs, insights venture partners, pritzker group venture capital"
"boldstart ventures, lerer hippeau, kenetic capital","berkshire partners, norwest venture partners"
alibaba pictures group,"sequoia capital china, sig asia investments, zhenfund"
"institutional venture partners, atomico, earlybird venture capital","tencent, vcanbio"
"intel capital, sutter hill ventures, venturetech","kkr, alibaba group, ping an insurance"
"tiger global, sequoia capital, google capital","qiming venture partners, temasek holdings, silverlink capital"
"thrive capital, founders fund, cocnord health partners","tencent holdings, dcm ventures"
"sequoia capital india, softbank, bertelsmann india investments","saif partners china, baidu, idg capital"
"ame cloud ventures, future perfect ventures, blockchain capital","silicon valley bank, qed investors, european founders fund"
"m12, westbridge capital, lightspeed venture partners","accel partners, comcast ventures, general atlantic"
"accel, sequoia capital, y combinator","idg capital, northern light venture capital, dcm ventures"
"thrive capital, alliance consumer growth, imaginary ventures","morningside venture capital, idg capital, dcm ventures"
"the column group, foresite capital, foresite capital",ginko ventures
sequoia capital,"warburg pincus, summit partners, sands capital"
"next47, first round capital, sequoia capital","58.com, tencent holdings"
"playground global, m12, blackrock","china minsheng investment, baidu, wanxin media"
"dst global, lightspeed venture partners, microsoft scaleup","matrix partners china, ventech china, shunwei capital partners"
"susquehanna growth equity, citi ventures, iconiq capital","5y capital, matrix partners china, k2vc"
"kaszek ventures, qualcomm ventures, accel","silver lake partners, general atlantic"
"sequoia capital china, sina weibo, kleiner perkins caufield & byers, redpoint ventures","kleiner perkins caufield & byers, softbank corp., sherpalo ventures"
"global founders capital, east ventures, expedia inc.","resolute ventures, shima capital, circle ventures"
"morningside ventures, warburg pincus, creditease fintech investment fund","matrix partners, passport capital, rho ventures"
cpp investment board,"sequoia capital china, zhenfund, k2 ventures"
"general catalyst, digital currency group, accel",hinduja group
"sequoia capital china, xiang he capital, ggv capital",none
"holtzbrinck ventures, unternehmertum venture capital, general atlantic","accel partners, greylock partners, lowercase capital"
"benchmark, bessemer venture partners","banyan capital, new horizon capital, idg capital partners"
"artiman ventures, plug and play ventures, anthos capital",railway pension trustee co. ltd.
"sequoia capital israel, scale venture partners, commerce ventures","softbankgroup, blackrock, alibaba group"
"iconiq capital, openview venture partners","insight partners, toba capital, spring ventures"
"consensys ventures, valar ventures, puc","brv capital management, bualuang ventures"
"silversmith capital partners, susquehanna growth equity, tiger global management","bluerun ventures, leap global partners, cervin ventures"
"cambridge innovation capital, lgt capital partners, escala capital","lightspeed venture partners, coatue management"
"spectrum equity, iconiq capital, grayhawk capital","astorg partners, princeville global, beyond net zero"
iconiq capital,"index ventures, eqt ventures, workday ventures"
"brookfield asset management, blackstone, data collective","bdc capital, georgian, bessemer venture partners"
"balderton capital, general catalyst, tiger global management",andreessen horowitz
"uncork capital, threshold ventures, bloomberg beta","meson capital partners, fifth wall ventures, ogci climate investments"
"jackson square ventures, general atlantic, lightspeed venture partners","mouro capital, hanaco venture capital, gramercy ventures"
"lightspeed venture partners, lead edge capital, coatue management","placeholder capital, coinbase ventures, binance ventures"
"coatue management, atlantic food labs, dst global","silverton partners, tusk ventures, crv"
"fabric ventures, 500 global, standard crypto","lightrock, greyhound capital, endeavor"
"uniion square ventures, tiger global management, lightspeed venture capital","sequoia capital china, gopher asset management, shanghai electric group"
"tiger global management, insight partners, jump capital","accel, sands capital, international finance corporation"
"tiger global management, sequoia capital india, ribbit capital","intel capital, aviv venture capital"
"accel, summit partners, google ventures","shell ventures, blackstone, moore strategic ventures"
"83north, riverpark ventures, pitango venture capital","american family ventures, greycroft, signalfire"
"andreessen horowitz, blockchain capital, lux capital","bain capital tech opportunities, andreessen horowitz, sequoia capital"
"coatue management, bmo capital, schonfeld strategic advisors","founders fund, upfront ventures, 	01 advisors"
"khosla ventures, thrive capital, y combinator","fundersclub, y combinator, tiger global management"
"green visor capital, cre venture capital, greycroft","sequoia capital china, rich land capital, merrysunny wealth"
"tiger global management, tiger brokers, dcm ventures","lindeman asia investment, nichi-iko pharmaceutical"
"battery ventures, andreessen horowitz, ribbit capital","af ventures, siddhi capital, sc.holdings"
"index ventures, sequoia capital, general catalyst","saif partners india, warburg pincus, trifecta capital advisors"
"new enterprise associates, accel, bond","qf capital, qc capital, unicom innovation venture capital"
"bnk to the future, trammell ventures, sbi investment","beijing juneng hesheng industry investment fund, beijing shuju xinrong fund"
khosla ventures,inflexion private equity
"founders fund, quantum energy partners, bedrock capital","new enterprise associates, greylock partners, andreessen horowitz"
"monashees+, andreessen horowitz, qed investors","franklin templeton, motive partners. apollo global management"
"point72 ventures, route 66 ventures, accel","jump capital, pantera capital, greylock partners"
"mubadala capital, bond, prosus ventures","shenzhen capital group, robert bosch venture capital, septwolves ventures"
"index ventures, temasek, portag3 ventures","fireside ventures, sequoia capital india, stellaris venture partners"
"tiger global management, blue lake capital, zhenfund","blume ventures, jsw ventures, ivycap ventures"
"sequoia capital, baillie gifford & co., google ventures","kleiner perkins caufield & byers, s28 capital, insight partners"
"dell technologies capital, pitango venture capital, amadeus capital partners","kaiser permanente ventures, endeavour vision, lrvhealth"
"data collective, formation 8, general catalyst partners","goldman sachs asset management, story3 capital partners"
"institutional venture partners, new enterprise associates, javelin venture partners","andreessen horowitz, founders fund"
"makers fund, index ventures, inova ventures participacees","andreessen horowitz, bessemer venture partners, khosla ventures,"
"general atlantic, insight partners, vintage investment partners","gsv ventures, westbridge capital"
"hd capital, qihoo 360 technology, china fortune land development","general catalyst, inspired capital, flybridge capital partners"
"notion capital, scentan ventures, kite ventures","new enterprise associates, koch disruptive technologies, evolution equity partners"
goldman sachs asset management,"westbridge capital, gsv ventures, elevar equity"
"forest partners, softbank ventures asia","insight partners, e.ventures, general atlantic"
kkr,"edison partners, georgian partners, venturelink"
"british patient capital, seb venture capital, iq capital","chiratae ventures, softbank group, trifecta capital"
motive partners,"khosla ventures, general catalyst, blumberg capital"
"general atlantic, piton capital, partech partners","foundation capital, 	frontier ventures, altair capital"
"redpoint ventures, goldcrest capital, insight partners","mangrove capital partners,14w. forgelight"
"contour venture partners, battery ventures, core capital partners","m13, lightspeed venture partners, lone pine capital"
"insight partners, jackson square ventures, liberty gloval ventures"," monashees+, foundation capital, base10 partners"
"jungle ventures, accel, venture highway","sequoia capital india, rocketship.vc, lightspeed india partners"
"vertex ventures israel, bessemer venture partners, emerge","pritzker group venture capital, accel, hyde park venture partners"
"jd.com, baidu, vision plus capital","zeev ventures, group11, chicago ventures"
"foundry group, general atlantic, blackrock"," cmfg ventures, accomplice, moderne ventures"
"big bets, general atlantic, softbank latin america ventures","intact ventures, munich re ventures, general atlantic"
"forerunner ventures, lifeline ventures, msd capital","8vc, norwest venture partners, tiger global management"
"khosla ventures, horizons ventures, founders fund","500 global, rakuten ventures, golden gate ventures"
