,name,market_capitalization_USD,price,country
54,Hermès,175670000000,1676,France
55,Walt Disney,171270000000,94,USA
56,Accenture,169660000000,269,Ireland
57,BHP Group,167110000000,66,Australia
58,Nextera Energy,166220000000,84,USA
59,Comcast,163810000000,38,USA
60,Wells Fargo,163080000000,43,USA
61,China Construction Bank,161340000000,1,China
62,Philip Morris,160430000000,103,USA
63,Texas Instruments,158970000000,175,USA
64,Charles Schwab,157810000000,85,USA
65,Linde,155720000000,316,UK
66,Bristol-Myers Squibb,155200000000,73,USA
67,United Parcel Service,154770000000,179,USA
68,Adobe,154690000000,333,USA
69,Prosus,153640000000,77,Netherlands
70,TotalEnergies,153350000000,62,France
71,Raytheon Technologies,150620000000,102,USA
72,CATL,150080000000,61,China
73,China Mobile,149060000000,7,China
74,Morgan Stanley,147980000000,88,USA
75,ConocoPhillips,147320000000,118,USA
76,Amgen,146840000000,275,USA
77,Agricultural Bank of China,146200000000,0,China
78,Meituan,144720000000,23,China
79,Tata Consultancy Services,142350000000,39,India
80,CM Bank,142160000000,6,China
81,Dior,142000000000,782,France
82,Honeywell,141360000000,210,USA
83,Salesforce,140500000000,141,USA
84,Netflix,140420000000,316,USA
85,AT&T,139190000000,20,USA
86,HSBC,137020000000,34,UK
87,Royal Bank Of Canada,135090000000,97,Canada
88,AIA,132370000000,11,Hong Kong
89,Ping An Insurance,132050000000,7,China
90,Union Pacific Corporation,130340000000,212,USA
91,Unilever,129930000000,51,UK
92,Caterpillar,129500000000,249,USA
93,QUALCOMM,129290000000,115,USA
94,Bank of China,129290000000,0,China
95,IBM,128800000000,144,USA
96,SAP,127660000000,109,Germany
97,Deere & Company,127180000000,426,USA
98,Boeing,126940000000,213,USA
99,PetroChina,126620000000,1,China
100,China Life Insurance,125360000000,5,China
101,Anheuser-Busch Inbev,125300000000,61,Belgium
102,HDFC Bank,125290000000,67,India
103,Lockheed Martin,124020000000,473,USA
104,Sanofi,123030000000,48,France
105,Starbucks,122450000000,107,USA
106,Lowe's Companies,121520000000,201,USA
107,Pinduoduo,121330000000,96,China
108,CVS Health,120350000000,92,USA
109,Rio Tinto,120050000000,74,UK
110,Intel,118560000000,29,USA
111,Goldman Sachs,117870000000,348,USA
112,Toronto Dominion Bank,117800000000,64,Canada
113,Commonwealth Bank,117650000000,70,Australia
114,Siemens,113590000000,143,Germany
115,Elevance Health,113550000000,475,USA
116,S&P Global,113320000000,348,USA
117,American Express,112210000000,150,USA
118,BlackRock,110840000000,738,USA
119,Gilead Sciences,110470000000,88,USA
120,Jingdong Mall,109910000000,64,China
121,Intuit,108580000000,387,USA
122,Prologis,107670000000,117,USA
123,Medtronic,107550000000,81,Ireland
124,Wuliangye Yibin,107450000000,28,China
125,BP,104370000000,34,UK
126,Deutsche Telekom,103540000000,21,Germany
127,AMD,103120000000,64,USA
128,Sony,101890000000,81,Japan
129,American Tower,101730000000,219,USA
130,Diageo,101530000000,179,UK
131,Automatic Data Processing,99620000000,240,USA
132,Equinor,99460000000,32,Norway
133,NTT (Nippon Telegraph & Telephone),98830000000,29,Japan
134,BYD,98610000000,39,China
135,Stryker Corporation,96970000000,256,USA
136,Airbus,96780000000,123,Netherlands
137,TJX Companies,95580000000,83,USA
138,Intuitive Surgical,95550000000,270,USA
139,Chubb,94980000000,229,Switzerland
140,Estee Lauder,94130000000,264,USA
141,Keyence,93710000000,386,Japan
142,Mondelez,92880000000,68,USA
143,Cigna,92540000000,303,USA
144,Porsche,91830000000,101,Germany
145,Citigroup,91630000000,47,USA
146,British American Tobacco,90970000000,41,UK
147,CSL,90620000000,188,Australia
148,Allianz,89930000000,223,Germany
149,Mitsubishi UFJ Financial,89730000000,7,Japan
150,Inditex,89720000000,14,Spain
151,Applied Materials,88010000000,104,USA
152,PayPal,87180000000,76,USA
153,Merck KGaA,85660000000,197,Germany
154,Marsh & McLennan Companies,84790000000,171,USA
155,Booking Holdings (Booking.com),84530000000,2179,USA
156,Analog Devices,84290000000,166,USA
157,Schneider Electric,83630000000,149,France
158,Glencore,83550000000,6,Switzerland
159,Canadian National Railway,83530000000,122,Canada
160,Altria Group,83240000000,46,USA
161,Enbridge,82670000000,41,Canada
162,EssilorLuxottica,82470000000,185,France
163,Vale,82360000000,18,Brazil
164,LG Energy Solution,81540000000,349,S. Korea
165,Duke Energy,80990000000,105,USA
166,Compagnie Financière Richemont,80710000000,142,Switzerland
167,Al Rajhi Bank,80610000000,20,S. Arabia
168,Regeneron Pharmaceuticals,80270000000,737,USA
169,Northrop Grumman,80250000000,521,USA
170,Progressive,78740000000,135,USA
171,General Electric,78600000000,72,USA
172,Air Liquide,78060000000,149,France
173,Southern Company,77980000000,72,USA
174,Volkswagen,77720000000,135,Germany
175,Schlumberger,77280000000,55,USA
176,BNP Paribas,76770000000,62,France
177,China Shenhua Energy,76120000000,4,China
178,Infosys,75410000000,18,India
179,EOG Resources,74870000000,127,USA
180,Mercedes-Benz,74850000000,70,Germany
181,Vertex Pharmaceuticals,74490000000,290,USA
182,ICICI Bank,74440000000,21,India
183,ServiceNow,74030000000,367,USA
184,Becton Dickinson,73720000000,259,USA
185,Target,73710000000,160,USA
186,Hindustan Unilever,73330000000,31,India
187,Sinopec,72940000000,1,China
188,Canadian Pacific Railway,72110000000,78,Canada
189,SABIC,72040000000,24,S. Arabia
190,HCA Healthcare,71950000000,255,USA
191,GlaxoSmithKline,71840000000,35,UK
192,U.S. Bancorp,70860000000,46,USA
193,Zurich Insurance Group,70360000000,474,Switzerland
194,Iberdrola,70180000000,11,Spain
195,3M,70040000000,127,USA
196,Illinois Tool Works,69710000000,227,USA
197,Moderna,69280000000,180,USA
198,China Yangtze Power,69050000000,3,China
199,Air Products and Chemicals,68850000000,310,USA
200,Zoetis,68810000000,148,USA
201,AXA,68460000000,29,France
202,General Dynamics,68150000000,248,USA
203,Kering,67890000000,555,France
204,CSX Corporation,67690000000,32,USA
205,Bank of Montreal,67440000000,95,Canada
206,China Tourism Group Duty Free,67360000000,33,China
207,Petrobras,67040000000,10,Brazil
208,Colgate-Palmolive,66800000000,80,USA
209,Boston Scientific,66350000000,46,USA
210,PNC Financial Services,66220000000,164,USA
211,DBS Group,65960000000,26,Singapore
212,Bank Central Asia,65570000000,1,Indonesia
213,Waste Management,65460000000,159,USA
214,KDDI,65020000000,30,Japan
215,State Bank of India,64930000000,7,India
216,Fiserv,64880000000,102,USA
217,Walmex,64770000000,4,Mexico
218,Eaton,64060000000,161,Ireland
219,SoftBank,63790000000,44,Japan
220,CNOOC,63700000000,1,China
221,Aon,63570000000,307,UK
222,UBS,63420000000,20,Switzerland
223,National Australia Bank,63360000000,20,Australia
224,Nongfu Spring,63190000000,6,China
225,Postal Savings Bank of China,63120000000,1,China
226,Crown Castle,63090000000,146,USA
227,CME Group,62980000000,175,USA
228,Equinix,62360000000,674,USA
229,Humana,62350000000,493,USA
230,BMW,62000000000,94,Germany
231,Micron Technology,61940000000,57,USA
232,America Movil,61210000000,19,Mexico
233,Sherwin-Williams,61100000000,236,USA
234,Fast Retailing,60960000000,597,Japan
235,ABB,60960000000,33,Switzerland
236,Truist Financial,60840000000,46,USA
237,Canadian Natural Resources,60780000000,55,Canada
238,Lam Research,60720000000,445,USA
239,Activision Blizzard,60720000000,78,USA
240,Freeport-McMoRan,60430000000,42,USA
241,Scotiabank,60040000000,50,Canada
242,Enel,60000000000,6,Italy
243,Norfolk Southern,59210000000,256,USA
244,Hong Kong Exchanges & Clearing,58800000000,46,Hong Kong
245,The Saudi National Bank,58720000000,13,S. Arabia
246,Intercontinental Exchange,58590000000,105,USA
247,Daiichi Sankyō,58440000000,30,Japan
248,Vinci,58430000000,104,France
249,Occidental Petroleum,57940000000,64,USA
250,MetLife,57730000000,74,USA
251,Bharti Airtel,57490000000,10,India
252,Housing Development Finance Corporation,57440000000,31,India
253,Charter Communications,57240000000,368,USA
254,Blackstone Group,57190000000,79,USA
255,Emerson,57030000000,98,USA
256,KLA,56890000000,398,USA
257,Atlas Copco,56740000000,11,Sweden
258,Investor AB,56500000000,18,Sweden
259,Thomson Reuters,56320000000,117,Canada
260,Heineken,56150000000,98,Netherlands
261,Mindray,56050000000,46,China
262,Airbnb,56040000000,89,USA
263,Anglo American,55910000000,42,UK
264,KKR & Co.,55710000000,48,USA
265,Siemens Healthineers,55640000000,50,Germany
266,RELX,55620000000,28,UK
267,Dollar General,55570000000,249,USA
268,Pioneer Natural Resources,55460000000,233,USA
269,Sumitomo Mitsui Financial Group,55320000000,8,Japan
270,Westpac Banking,55250000000,16,Australia
271,Verbund AG,55080000000,79,Austria
272,Safran,55050000000,129,France
273,China Telecom,55010000000,0,China
274,Midea,54920000000,8,China
275,Marathon Petroleum,54740000000,117,USA
276,McKesson,54730000000,386,USA
277,Industrial Bank,54650000000,3,China
278,Santander,54500000000,3,Spain
279,Enterprise Products,54380000000,25,USA
280,Life Insurance Corporation of India (LIC),54200000000,9,India
281,Vmware,53660000000,126,USA
282,United Heavy Machinery,53580000000,63,Russia
283,NetEase,53530000000,82,China
284,Monster Beverage,53480000000,102,USA
285,Foshan Haitian Flavouring and Food,53410000000,12,China
286,Moody's,53070000000,290,USA
287,Adani Enterprises,52810000000,46,India
288,O'Reilly Automotive,52720000000,843,USA
289,Uber,52650000000,26,USA
290,Recruit,52200000000,33,Japan
291,Kraft Heinz,52160000000,43,USA
292,Southern Copper,52100000000,67,USA
293,Bayer,51980000000,53,Germany
294,ENI,51960000000,30,Italy
295,Dominion Energy,51550000000,62,USA
296,Keurig Dr Pepper,51350000000,36,USA
297,BASF,51060000000,56,Germany
298,General Motors,51010000000,36,USA
299,Pernod Ricard,50810000000,196,France
300,General Mills,50680000000,86,USA
301,Ford,50570000000,13,USA
302,ITC,50370000000,4,India
303,Reckitt Benckiser,49980000000,70,UK
304,Saudi Telecom Company,49980000000,10,S. Arabia
305,Phillips 66,49950000000,106,USA
306,Stellantis,49640000000,15,Netherlands
307,American Electric Power,49600000000,97,USA
308,Valero Energy,49170000000,128,USA
309,EDF (Electricité de France),49100000000,13,France
310,Shin-Etsu Chemical,48900000000,121,Japan
311,Synopsys,48850000000,321,USA
312,Public Storage,48740000000,277,USA
313,Sempra Energy,48570000000,155,USA
314,Bank of Communications,48560000000,1,China
315,Marriott International,48550000000,153,USA
316,Dassault Systèmes,48520000000,37,France
317,Takeda Pharmaceutical,48430000000,16,Japan
318,ING,48210000000,13,Netherlands
319,Tokyo Electron,48100000000,309,Japan
320,Nintendo,48040000000,41,Japan
321,American International Group,47950000000,65,USA
322,ANZ Bank,47870000000,16,Australia
323,Munich RE (Münchener Rück),47750000000,342,Germany
324,Edwards Lifesciences,47610000000,77,USA
325,Bank Rakyat Indonesia,47510000000,0,Indonesia
326,Deutsche Post,47410000000,39,Germany
327,Adani Total Gas,47370000000,43,India
328,Archer Daniels Midland (ADM),47210000000,86,USA
329,London Stock Exchange,47100000000,85,UK
330,Roper Technologies,47050000000,444,USA
331,LONGi Green Energy Technology,47020000000,6,China
332,FedEx,46880000000,186,USA
333,Shopify,46870000000,37,Canada
334,National Grid,46860000000,64,UK
335,Amphenol,46750000000,79,USA
336,Kimberly-Clark,46720000000,138,USA
337,AutoZone,46660000000,2487,USA
338,Oriental Land,46430000000,142,Japan
339,Itaú Unibanco,46290000000,5,Brazil
340,The Hershey Company,46270000000,226,USA
341,Hikvision,46260000000,5,China
342,Hitachi,46120000000,49,Japan
343,Johnson Controls,46110000000,67,Ireland
344,Mitsubishi Corporation,46000000000,32,Japan
345,Baidu,45970000000,133,China
346,Alimentation Couche-Tard,45950000000,46,Canada
347,Aflac,45910000000,74,USA
348,Samsung Biologics,45650000000,634,S. Korea
349,Woodside Energy,45590000000,24,Australia
350,Budweiser APAC,45590000000,3,Hong Kong
351,DexCom,45450000000,116,USA
352,The Travelers Companies,45430000000,194,USA
353,Maaden,45400000000,18,S. Arabia
354,Fortescue,45330000000,15,Australia
355,Intesa Sanpaolo,45090000000,2,Italy
356,Macquarie,45010000000,116,Australia
357,Cintas,44900000000,442,USA
358,Universal Music Group,44870000000,25,Netherlands
359,SK Hynix,44850000000,65,S. Korea
360,Centene,44540000000,79,USA
361,Simon Property Group,44480000000,119,USA
362,Daikin,44460000000,152,Japan
363,Foxconn (Hon Hai Precision Industry),44420000000,3,Taiwan
364,Hess,44300000000,144,USA
365,Adyen,44140000000,1380,Netherlands
366,Motorola Solutions,44110000000,264,USA
367,Bayan Resources,43950000000,1,Indonesia
368,MercadoLibre,43930000000,873,Argentina
369,Bajaj Finance,43860000000,72,India
370,Cadence Design Systems,43790000000,160,USA
371,Agilent Technologies,43720000000,148,USA
372,Itōchū Shōji,43640000000,30,Japan
373,Kuaishou Technology,43590000000,10,China
374,Corteva,43590000000,61,USA
375,Exelon Corporation,43390000000,44,USA
376,Mitsui Bussan,43200000000,28,Japan
377,Kotak Mahindra Bank,42990000000,22,India
378,Wanhua Chemical,42750000000,14,China
379,Ambev,42650000000,3,Brazil
380,Suncor Energy,42600000000,31,Canada
381,Ecolab,42570000000,149,USA
382,S.F. Express,42410000000,9,China
383,Paychex,42330000000,117,USA
384,BCE,42080000000,46,Canada
385,Banco Santander Brasil,42060000000,6,Brazil
386,lululemon athletica,41980000000,329,Canada
387,Ross Stores,41860000000,122,USA
388,Newmont,41820000000,53,USA
389,Prudential,41780000000,30,UK
390,OCBC Bank,41770000000,9,Singapore
391,Kinder Morgan,41760000000,19,USA
392,Infineon,41750000000,32,Germany
393,CITIC Securities,41690000000,3,China
394,Workday,41410000000,161,USA
395,NXP Semiconductors,41360000000,160,Netherlands
396,Block,41260000000,69,USA
397,Ping An Bank,41230000000,2,China
398,Fidelity National Information Services,41120000000,69,USA
399,Ferrari,41110000000,224,Italy
400,Trane Technologies,41100000000,179,Ireland
401,Tokio Marine,40920000000,20,Japan
402,Chugai Pharmaceutical,40800000000,25,Japan
403,Palo Alto Networks,40770000000,135,USA
404,Nordea Bank,40750000000,11,Finland
405,TC Energy,40620000000,40,Canada
406,Republic Services,40560000000,128,USA
407,Honda,40530000000,24,Japan
408,Sun Hung Kai Properties,40500000000,14,Hong Kong
409,Nutrien,40500000000,77,Canada
410,Arthur J. Gallagher & Co.,40480000000,192,USA
411,Autodesk,40380000000,187,USA
412,Biogen,40210000000,279,USA
413,Realty Income,40180000000,64,USA
414,Devon Energy,40020000000,61,USA
415,Microchip Technology,40020000000,73,USA
416,Banco Bilbao Vizcaya Argentaria,40020000000,7,Spain
417,Snowflake,39890000000,124,USA
418,Compass Group,39880000000,23,UK
419,Sysco,39880000000,79,USA
420,Ørsted,39690000000,91,Denmark
421,Williams Companies,39660000000,33,USA
422,Parker-Hannifin,39610000000,309,USA
423,Zijin Mining,39580000000,2,China
424,Constellation Brands,39520000000,214,USA
425,Las Vegas Sands,39400000000,52,USA
426,Lloyds Banking Group,39360000000,2,UK
427,L3Harris Technologies,39250000000,206,USA
428,East Money Information,39120000000,3,China
429,Naspers,39070000000,37,South Africa
430,Xcel Energy,39010000000,71,USA
431,Chipotle Mexican Grill,38860000000,1402,USA
432,Bank of New York Mellon,38750000000,48,USA
433,Dow,38720000000,55,USA
434,Apollo Global Management,38590000000,64,USA
435,CIBC,38430000000,42,Canada
436,UOB,38400000000,23,Singapore
437,Volvo Group,38370000000,19,Sweden
438,Jardine Matheson,38340000000,53,Hong Kong
439,TE Connectivity,38190000000,120,Switzerland
440,IQVIA,38140000000,205,USA
441,Sika,38060000000,249,Switzerland
442,Fortinet,38030000000,49,USA
443,Muyuan Foods,37770000000,7,China
444,Energy Transfer Partners,37520000000,12,USA
445,MSCI,37500000000,469,USA
446,Allstate,37490000000,141,USA
447,Maersk,37350000000,2135,Denmark
448,Bank of China (Hong Kong),37340000000,4,Hong Kong
449,WuXi AppTec,37230000000,12,China
450,Prudential Financial,37170000000,101,USA
451,IDEXX Laboratories,37080000000,448,USA
452,Capital One,37050000000,97,USA
453,Mizuho Financial Group,37000000000,3,Japan
454,Xiaomi,36970000000,1,China
455,Nucor,36920000000,144,USA
456,Denso,36850000000,49,Japan
457,7-Eleven,36780000000,42,Japan
458,Yum! Brands,36700000000,130,USA
459,Halliburton,36510000000,40,USA
460,YANGHE,36500000000,24,China
461,Cenovus Energy,36480000000,19,Canada
462,Jiangsu Hengrui Medicine,36440000000,6,China
463,BioNTech,36420000000,150,Germany
464,Lonza,36270000000,489,Switzerland
465,WuXi Biologics,36230000000,17,China
466,Carrier,36060000000,43,USA
467,Anta Sports,36040000000,13,China
468,Wesfarmers,36010000000,32,Australia
469,Dupont De Nemours,36000000000,72,USA
470,Haleon,35960000000,8,UK
471,Neste,35680000000,46,Finland
472,Cheniere Energy,35520000000,143,USA
473,Larsen & Toubro,35520000000,25,India
474,Alcon,35460000000,72,Switzerland
475,TransDigm,35290000000,649,USA
476,Adani Green Energy,35270000000,22,India
477,Hilton Worldwide,35220000000,130,USA
478,Paccar,34880000000,100,USA
479,Axis Bank,34840000000,11,India
480,Japan Tobacco,34740000000,20,Japan
481,Consolidated Edison,34710000000,98,USA
482,Manulife Financial,34650000000,18,Canada
483,Asian Paints,34600000000,36,India
484,STMicroelectronics,34590000000,38,Switzerland
485,Arista Networks,34550000000,112,USA
486,Cummins,34390000000,244,USA
487,LG Chem,34370000000,466,S. Korea
488,Constellation Software,34240000000,1616,Canada
489,MediaTek,34210000000,22,Taiwan
490,Electronic Arts,34200000000,124,USA
491,Ameriprise Financial,34180000000,321,USA
492,Waste Connections,34150000000,133,USA
493,Adani Transmission,34090000000,31,India
494,Otis Worldwide,34090000000,82,USA
495,Haier Smart Home,33990000000,4,China
496,HCL Technologies,33950000000,13,India
497,Hoya,33790000000,95,Japan
498,Barrick Gold,33770000000,19,Canada
499,Hapag-Lloyd,33760000000,186,Germany
500,Pacific Gas and Electric,33720000000,16,USA
501,MPLX,33690000000,34,USA
502,China State Construction Engineering,33640000000,1,China
503,Barclays,33560000000,8,UK
504,AmerisourceBergen,33480000000,166,USA
505,Crédit Agricole,33470000000,11,France
506,Danone,33430000000,52,France
507,Old Dominion Freight Line,33220000000,301,USA
508,DSV,33180000000,151,Denmark
509,MTR Corporation,33140000000,5,Hong Kong
510,Ametek,33030000000,144,USA
511,NatWest Group,32980000000,7,UK
512,Welltower,32970000000,70,USA
513,ENGIE,32770000000,14,France
514,Kroger,32740000000,46,USA
515,BAE Systems,32720000000,11,UK
516,Cement Roadstone Holding,32480000000,44,Ireland
517,Holcim Group,32440000000,53,Switzerland
518,Mettler-Toledo,32310000000,1450,USA
519,Dollar Tree,32250000000,146,USA
520,D. R. Horton,32240000000,94,USA
521,Hang Seng Bank,32200000000,17,Hong Kong
522,Murata Manufacturing (Murata Seisakusho),32120000000,51,Japan
523,AIER Eye Hospital,32110000000,4,China
524,Illumina,32020000000,202,USA
525,Grupo México,31990000000,4,Mexico
526,Airports of Thailand,31930000000,2,Thailand
527,Vanke,31920000000,2,China
528,Enphase Energy,31750000000,234,USA
529,CITIC Bank,31750000000,1,China
530,Japan Post Bank,31740000000,8,Japan
531,Walgreens Boots Alliance,31570000000,37,USA
532,SBA Communications,31460000000,291,USA
533,China Pacific Insurance,31390000000,4,China
534,Experian,31380000000,34,Ireland
535,Keysight,31360000000,175,USA
536,CoStar Group,31360000000,77,USA
537,Bank of Ningbo,31310000000,5,China
538,Shanghai Pudong Development Bank,31310000000,1,China
539,China Overseas Land & Investment,31300000000,3,Hong Kong
540,Sea (Garena),31280000000,56,Singapore
541,PSEG,31250000000,63,USA
542,Singtel,31070000000,2,Singapore
543,Atlassian,30980000000,121,Australia
544,Telstra,30970000000,3,Australia
545,CITIC limited,30940000000,1,China
546,Brown Forman,30860000000,64,USA
547,Marvell Technology Group,30800000000,36,USA
548,Cognizant Technology Solutions,30700000000,60,USA
549,Interactive Brokers,30690000000,74,USA
550,Rockwell Automation,30690000000,268,USA
551,CaixaBank,30690000000,4,Spain
552,Maruti Suzuki India,30670000000,102,India
553,VICI Properties,30620000000,32,USA
554,ResMed,30590000000,209,USA
555,Samsung SDI,30580000000,217,S. Korea
556,Banco Bradesco,30480000000,3,Brazil
557,The People's Insurance Company (PICC),30390000000,1,China
558,Deutsche Börse,30380000000,165,Germany
559,Dell,30370000000,42,USA
560,People’s Insurance Company of China,30360000000,0,China
561,Nasdaq,30280000000,62,USA
562,Baker Hughes,30210000000,30,USA
563,PPG Industries,30200000000,129,USA
564,DMart,30150000000,47,India
565,DNB,30020000000,19,Norway
566,UniCredit,29970000000,15,Italy
567,Corning,29920000000,35,USA
568,WEC Energy Group,29890000000,95,USA
569,Eversource Energy,29880000000,86,USA
570,Luxshare Precision,29830000000,4,China
571,WEG ON,29820000000,7,Brazil
572,Digital Realty,29780000000,101,USA
573,Great Wall Motors,29760000000,4,China
574,Oneok,29750000000,67,USA
575,Hexagon,29730000000,11,Sweden
576,Copart,29710000000,62,USA
577,Restaurant Brands International,29710000000,66,Canada
578,Capgemini,29680000000,174,France
579,State Street Corporation,29600000000,81,USA
580,Coupang,29580000000,17,S. Korea
581,Nidec,29540000000,51,Japan
582,Vodafone,29340000000,11,UK
583,LyondellBasell,29330000000,90,USA
584,Hyundai,29320000000,31,S. Korea
585,Sun Pharmaceutical,29310000000,12,India
586,Yili Group,29290000000,5,China
587,Swiss Re,29280000000,101,Switzerland
588,Swisscom,29220000000,564,Switzerland
589,Chunghwa Telecom,29190000000,38,Taiwan
590,Ferguson,29080000000,140,UK
591,Bajaj Finserv,29070000000,17,India
592,Japan Post Holdings,29070000000,8,Japan
593,Telus,28970000000,20,Canada
594,Givaudan,28880000000,3130,Switzerland
595,Generali,28780000000,18,Italy
596,American Water Works,28770000000,158,USA
597,GlobalFoundries,28750000000,53,USA
598,Fomento Económico Mexicano,28700000000,80,Mexico
599,Loblaw Companies,28680000000,89,Canada
600,Henkel,28610000000,69,Germany
601,Verisk Analytics,28600000000,183,USA
602,Galaxy Entertainment,28540000000,7,Hong Kong
603,Ahold Delhaize,28460000000,29,Netherlands
604,Global Payments,28430000000,105,USA
605,Imperial Oil,28430000000,48,Canada
606,Genmab,28350000000,43,Denmark
607,Fanuc,28330000000,148,Japan
608,Bank Mandiri,28320000000,1,Indonesia
609,Compagnie de Saint-Gobain,28250000000,55,France
610,Discover Financial Services,28150000000,103,USA
611,Orange,28090000000,11,France
612,International Flavors & Fragrances,28040000000,110,USA
613,KBC,28000000000,67,Belgium
614,Sun Life Financial,28000000000,47,Canada
615,JD Health,28000000000,9,China
616,W. W. Grainger,27920000000,553,USA
617,Gree Electric Appliances,27910000000,5,China
618,RWE,27860000000,41,Germany
619,HP,27850000000,28,USA
620,Vestas Wind Systems,27850000000,28,Denmark
621,Kühne + Nagel,27810000000,233,Switzerland
622,SMC corp,27750000000,425,Japan
623,Alnylam Pharmaceuticals,27680000000,225,USA
624,Fastenal,27590000000,48,USA
625,KONE,27490000000,53,Finland
626,Nokia,27430000000,5,Finland
627,Willis Towers Watson,27430000000,253,UK
628,Transurban,27300000000,9,Australia
629,Constellation Energy,27300000000,84,USA
630,PTT PCL,27300000000,1,Thailand
631,Titan Company,27290000000,31,India
632,Woolworths Group,27290000000,22,Australia
633,Lennar,27260000000,96,USA
634,Warner Bros. Discovery,27240000000,11,USA
635,Shenzhen Inovance,27220000000,10,China
636,E.ON,27130000000,10,Germany
637,Foxconn Industrial Internet,27070000000,1,China
638,Adidas,27030000000,148,Germany
639,ON Semiconductor,27010000000,62,USA
640,Cheniere Energy,26970000000,56,USA
641,Franco-Nevada,26970000000,140,Canada
642,Aptiv,26630000000,98,Ireland
643,Maybank,26630000000,4,Malaysia
644,Coca-Cola European Partners,26470000000,57,UK
645,Zimmer Biomet,26370000000,126,USA
646,Sampo,26370000000,51,Finland
647,Astellas Pharma,26360000000,14,Japan
648,EQT,26330000000,22,Sweden
649,Daimler Truck,26240000000,32,Germany
650,United Rentals,26150000000,377,USA
651,Thales,25960000000,122,France
652,Gartner,25960000000,329,USA
653,Albemarle,25960000000,222,USA
654,Wipro,25950000000,5,India
655,M&T Bank,25920000000,150,USA
656,Ashtead,25880000000,59,UK
657,Beiersdorf,25860000000,114,Germany
658,Wolters Kluwer,25790000000,103,Netherlands
659,Intact Financial,25790000000,147,Canada
660,Deutsche Bank,25750000000,12,Germany
661,BTG Pactual,25750000000,2,Brazil
662,Horizon Therapeutics,25640000000,113,Ireland
663,Amadeus IT Group,25640000000,57,Spain
664,Hormel Foods,25630000000,47,USA
665,Saudi Electricity,25600000000,6,S. Arabia
666,CBRE Group,25560000000,81,USA
667,Edison International,25530000000,67,USA
668,BeiGene,25490000000,245,China
669,Agnico Eagle Mines,25400000000,55,Canada
670,Fujitsu,25390000000,130,Japan
671,Mobileye,25350000000,32,Israel
672,Seagen,25280000000,136,USA
673,Coloplast,25240000000,119,Denmark
674,Formosa Petrochemical,25190000000,3,Taiwan
675,Diamondback Energy,25130000000,138,USA
676,Naturgy,25110000000,26,Spain
677,The Hartford,25090000000,79,USA
678,T. Rowe Price,25090000000,112,USA
679,Equifax,25050000000,205,USA
680,EnBW Energie,25030000000,92,Germany
681,Sartorius,24990000000,346,Germany
682,Skandinaviska Enskilda Banken,24850000000,12,Sweden
683,Veeva Systems,24840000000,160,USA
684,CDW Corporation,24800000000,183,USA
685,ULTA Beauty,24730000000,486,USA
686,Kellogg's,24720000000,72,USA
687,Assa Abloy,24690000000,22,Sweden
688,Flutter Entertainment,24640000000,67,Ireland
689,Trip.com,24590000000,38,China
690,SAIC Motor,24570000000,2,China
691,Riyad Bank,24520000000,8,S. Arabia
692,Tractor Supply,24480000000,222,USA
693,eBay,24470000000,45,USA
694,Baxter,24420000000,48,USA
695,UltraTech Cement,24380000000,85,India
