sector,founded,area_served,notes,name,headquarters,industry
broadline retailers,2005,,,klarna,stockholm,consumer services
commercial vehicles & trucks,1840,,,kockums naval solutions,malmö,industrials
automobiles,1994,,,koenigsegg,ängelholm,consumer goods
consumer co-operatives,1899,,,kooperativa förbundet,stockholm,consumer services
brewers,1882,,,kopparbergs brewery,kopparberg,consumer goods
building materials & fixtures,1742,,,kosta glasbruk,kosta,industrials
brewers,1836,,,krönleins,halmstad,consumer goods
food products,1929,,,kungsörnen,järna,consumer goods
investment services,1944,,,l e lundbergföretagen,stockholm,financials
full line insurance,1801,,,länsförsäkringar,stockholm,financials
banks,1996,,,länsförsäkringar bank,stockholm,financials
farming & fishing,2001,,,lantmännen,stockholm,consumer goods
gambling,2011,,,leovegas,stockholm,consumer services
apparel retailers,1954,,,lindex,gothenburg,consumer services
airlines,1957,,,linjeflyg,stockholm,consumer services
general mining,1890,,,lkab,luleå,basic materials
business support services,1997,,,loomis,stockholm,industrials
exploration & production,2001,,,lundin petroleum,stockholm,oil & gas
consumer electronics,1923,,,luxor ab,motala,consumer goods
software,2009,,,machinegames,uppsala,technology
conventional electricity,1861,,,mälarenergi,västerås,utilities
broadcasting & entertainment,2001,,,maratone studios,stockholm,consumer services
software,1997,,,massive entertainment,malmö,technology
software,1982,,,mecel,gothenburg,technology
pharmaceuticals,1954,,,meda ab,solna,health care
specialty chemicals,2009,,,micromy,täby,basic materials
broadcasting & entertainment,1987,,,modern times group,stockholm,consumer services
software,2009,,,mojang,stockholm,technology
medical equipment,1849,,,mölnlycke health care,gothenburg,health care
recreational products,1908,,,monark,vansbro,consumer goods
software,1995,,,mysql ab,uppsala,technology
recreational products,1971,,,najad yachts,henån,consumer goods
semiconductors,2004,,,nanoradio,kista,technology
investment services,2003,,,nasdaq nordic,stockholm,financials
heavy construction,1988,,,ncc ab,solna,industrials
publishing,2006,,,neogames,gothenburg,consumer services
computer hardware,2001,,,neonode,stockholm,telecommunications
airlines,2002,,,nextjet,stockholm,consumer services
durable household products,1996,,,nobia,stockholm,consumer goods
travel & tourism,1999,,,nobina,stockholm,consumer services
diversified industrials,1916,,,nohab,trollhättan,industrials
broadline retailers,1864,,,nordiska kompaniet,stockholm,consumer services
-,1890,,,nordstjernan,stockholm,conglomerates
general industries,2000,,,northstar,stockholm,industrials
clothing & accessories,2001,,,nudie jeans,gothenburg,consumer goods
iron & steel,1829,,,nyby bruk,torshälla,basic materials
telecommunications equipment,1987,,,nyfors,stockholm,technology
exploration & production,1928,,,nynas,stockholm,oil & gas
clothing & accessories,2002,,,odd molly,stockholm,consumer goods
auto parts,1976,,,öhlins,upplands väsby,consumer goods
broadline retailers,1971,,,onoff,upplands väsby,consumer services
pharmaceuticals,1995,,,orexo,uppsala,health care
personal products,1967,,,oriflame,stockholm,consumer goods
building materials & fixtures,1898,,,orrefors glassworks,orrefors,industrials
commercial vehicles & trucks,1863,,,oskarshamn shipyard,oskarshamn,industrials
iron & steel,1969,,,ovako,stockholm,basic materials
food products,1878,,,pågen,malmö,consumer goods
software,1999,,,paradox interactive,stockholm,technology
heavy construction,1959,,,peab,förslöv,industrials
software,2004,,,peltarion,stockholm,technology
medical equipment,1971,,,phadia,uppsala,health care
pharmaceuticals,1911,,,pharmacia,stockholm,health care
food products,1972,,,polarbröd,älvsbyn,consumer goods
delivery services,2009,,,postnord,solna,industrials
delivery services,1636,,,postnord sverige,solna,industrials
household goods,1892,,,primus ab,stockholm,consumer goods
brewers,1828,,,pripps,gothenburg,consumer goods
building materials & fixtures,1968,,,profoto,stockholm,industrials
business support services,1997,,,ps communication,stockholm,industrials
real estate holding & development,1933,,,ratos,stockholm,financials
software,1991,,,readsoft,helsingborg,technology
pharmaceuticals,1995,,,recipharm,haninge,health care
travel & tourism,1947,,,rederi ab slite,gothenburg,consumer services
software,2005,,,remograph,linköping,technology
banks,2001,,,resurs holding,helsingborg,financials
automobiles,1945,,,saab automobile,trollhättan,consumer goods
aerospace,1937,,,saab group,stockholm,industrials
software,1992,,,samlogic,stockholm,technology
industrial engineering,1862,,,sandvik,stockholm,industrials
airlines,1946,,,sas group,solna,consumer services
paper,1929,,,sca,stockholm,basic materials
software,2000,,,scalado,lund,technology
hotels,1963,,,scandic hotels,stockholm,consumer services
automobiles,1891,,,scania ab,södertälje,consumer goods
software,1999,,,seavus,malmö,technology
investment services,1972,,,seb group,stockholm,financials
software,2003,,,sector3 studios,lidköping,technology
business support services,1934,,,securitas,stockholm,industrials
business support services,1988,,,securitas direct,malmö,industrials
business support services,1980,,,semcon,gothenburg,industrials
broadcasting & entertainment,1919,,,sf studios,stockholm,consumer services
specialty retailers,1951,,,siba,gothenburg,consumer services
recreational products,1932,,,silva compass,stockholm,consumer goods
software,2010,,,simogo,malmö,technology
travel & tourism,2001,,,sj ab,stockholm,consumer services
investment services,1855,,,skandia,stockholm,financials
banks,1864,,,skandinaviska banken,gothenburg,financials
heavy construction,1887,,,skanska,stockholm,industrials
conventional electricity,1906,,,skellefteå kraft,skellefteå,utilities
industrial suppliers,1907,,,skf,gothenburg,industrials
software,2005,,,skygoblin,gothenburg,technology
software,1999,,,smart eye,gothenburg,technology
paper,1938,,,södra,växjö,basic materials
industrial engineering,1918,,,specma,gothenburg,industrial
brewers,1897,,,spendrups,stockholm,consumer goods
internet,2006,,,spotify,stockholm,technology
broadcasting & entertainment,1938,,,sr international – radio sweden,stockholm,consumer services
iron & steel,1978,,,ssab,stockholm,basic materials
software,1998,,,starbreeze studios,stockholm,technology
travel & tourism,1962,,,stena line,gothenburg,consumer services
-,1939,,,stena sphere,gothenburg,conglomerates
durable household products,1934,,,stiga,eskilstuna,consumer goods
investment services,1863,,,stockholm stock exchange,stockholm,financials
banks,1856,,,stockholms enskilda bank,stockholm,financials
conventional electricity,1947,,,studsvik,nyköping,utilities
broadcasting & entertainment,1956,,,sveriges television,stockholm,consumer services
business support services,1997,,,sweco,stockholm,industrials
banks,1820,,,swedbank,stockholm,financials
tobacco,1915,,,swedish match,stockholm,consumer goods
meat,,,,swedish meats,stockholm,livestock
health care providers,2001,,,swedish orphan biovitrum,stockholm,health care
aerospace,1972,,,swedish space corporation,solna,industrials
industrial machinery,2005,,,swegon,gothenburg,industrials
mobile telecommunications,1989,,,symsoft,stockholm,telecommunications
software,1990,,,syncron international ab,stockholm,technology
software,2004,,,tarsier studios,malmö,technology
fixed line telecommunications,1993,,,tele2,stockholm,telecommunications
software,1983,,,telelogic,malmö,technology
mobile telecommunications,2003,,,telia company,stockholm,telecommunications
broadcasting & entertainment,1992,,,teracom,stockholm,consumer services
mobile telecommunications,2004,,,terranet ab,lund,telecommunications
containers & packaging,1951,,,tetra pak,lund,industrials
automobiles,1942,,,thule group,hillerstorp,consumer goods
internet,1999,,,tradedoubler,stockholm,technology
fixed line telecommunications,2000,,,transmode,stockholm,telecommunications
business support services,1905,,,trelleborg,trelleborg,industrials
software,2009,,,truecaller,stockholm,technology
banks,2008,,,trustly,stockholm,financials
broadcasting & entertainment,1984,,,tv4 group,stockholm,consumer services
iron & steel,1668,,,uddeholms ab,hagfors,basic materials
conventional electricity,1887,,,umeå energi,umeå,utilities
recreational products,2009,,,urbanears,stockholm,consumer goods
soft drinks,1917,,,v&s group,stockholm,consumer goods
diversified industrials,1891,,,vabis,södertälje,industrials
conventional electricity,1909,,,vattenfall,stockholm,utilities
forestry,1969,,,vida ab,alvesta,basic materials
commercial vehicles & trucks,1927,,,volvo,gothenburg,industrials
commercial vehicles & trucks,1968,,,volvo buses,gothenburg,industrials
investment services,2001,,,volvo financial services,gothenburg,financials
auto parts,1907,,,volvo penta,skövde,consumer goods
commercial vehicles & trucks,1928,,,volvo trucks,gothenburg,industrials
durable household products,1872,,,vsm group,huskvarna,consumer goods
marine transportation,1934,,,wallenius lines,stockholm,industrials
food products,1919,,,wasabröd,skellefteå,consumer goods
restaurants & bars,1994,,,wayne's coffee,stockholm,consumer services
clothing & accessories,1999,,,wesc,stockholm,consumer goods
broadcasting & entertainment,1994,,,wg film,malmö,consumer services
software,1969,,,wm-data,stockholm,technology
broadcasting & entertainment,2003,,,x5 music group,stockholm,consumer services
software,2007,,,3scale,barcelona,technology
-,1941,,,abengoa,seville,conglomerates
-,2003,,,abertis,barcelona,conglomerates
heavy construction,1997,,,acciona,alcobendas,industrials
iron & steel,1970,,,acerinox,madrid,basic materials
heavy construction,1997,,,acs group,madrid,industrials
specialty retailers,1980,,,afinsa,madrid,consumer services
software,2011,,,akamon entertainment,barcelona,technology
pharmaceuticals,1943,,,almirall,barcelona,health care
software,1987,,,amadeus it group,madrid,technology
shipbuilding,1944,,,astilleros y talleres del noroeste,fene,industrials
broadcasting & entertainment,1988,,,atresmedia,san sebastián de los reyes,consumer services
durable household products,1947,,,balay,zaragoza,consumer goods
banks,1857,,,banco bilbao vizcaya argentaria,bilbao,financials
banks,1926,,,banco popular español,madrid,financials
banks,1881,,,banco sabadell,sabadell,financials
banks,1857,,,banco santander,santander,financials
banks,1902,,,banesto,madrid,financials
banks,1965,,,bankinter,madrid,financials
textiles,1790,,,bassols 1790,vic,consumer goods
banks,1831,,,bolsas y mercados españoles,madrid,financials
broadcasting & entertainment,1972,,,brb internacional,alcobendas,consumer services
travel & tourism,2003,,,budgetplaces,barcelona,consumer services
food & beverage,1969,,,calidad pascual,madrid,consumer goods
aerospace,2007,,,catuav,moià,industrials
food products,1958,,,chupa chups,barcelona,consumer goods
auto parts,2002,,,cie automotive,bilbao,consumer goods
heavy construction,1998,,,cintra,madrid,industrials
exploration & production,1929,,,cepsa,madrid,oil & gas
oil & gas distribution,1927,,,compañía logística de hidrocarburos,madrid,utilities
aerospace,1923,,,construcciones aeronáuticas sa,madrid,industrials
commercial vehicles & trucks,1917,,,construcciones y auxiliar de ferrocarriles,beasain,industrials
heavy construction,1959,,,copisa,barcelona,industrials
delivery services,1716,,,correos,madrid,industrials
apparel retailers,1880,,,cortefiel,madrid,consumer services
automobiles,2018,,,cupra,martorell,consumer goods
biotechnology,2009,,,curaxys,cádiz,health care
food products,1955,,,deoleo,córdoba,consumer goods
food retailers & wholesalers,1979,,,dia,las rozas,consumer services
food products,1998,,,ebro foods,madrid,consumer goods
automobiles,1954,,,ebro trucks,barcelona,consumer goods
food retailers & wholesalers,1940,,,el corte inglés,madrid,consumer services
oil & gas distribution,1972,,,enagás,madrid,utilities
conventional electricity,1944,,,endesa,madrid,utilities
food retailers & wholesalers,1969,,,eroski,elorrio,consumer services
fixed line telecommunications,1995,,,euskaltel,derio,telecommunications
durable household products,1956,,,fagor,mondragón,consumer goods
heavy construction,1952,,,ferrovial,madrid,industrials
clothing & accessories,1902,,,festina,barcelona,consumer goods
-,1961,,,fierro group,madrid,conglomerates
heavy construction,1900,,,fomento de construcciones y contratas,barcelona,industrials
renewable energy equipment,1976,,,gamesa,zamudio,oil & gas
oil & gas distribution,1991,,,naturgy,madrid,utilities
-,1984,,,gmv innovating solutions,tres cantos,conglomerates
telecommunications equipment,2005,,,grundig mobile,málaga,technology
water,1867,,,grupo agbar,barcelona,utilities
auto parts,1950,,,grupo antolin,burgos,consumer goods
food products,1940,,,grupo calvo,carballo,consumer goods
oil & gas distribution,1927,,,grupo gea perona,murcia,utilities
furnishings,1996,,,grupo lo monaco,granada,consumer goods
building materials & fixtures,1985,,,grupo puma,madrid,industrials
brewers,1906,,,hijos de rivera,a coruña,consumer goods
food retailers & wholesalers,1979,,,hipercor,madrid,consumer services
conventional electricity,1992,,,iberdrola,bilbao,utilities
airlines,1927,,,iberia,madrid,consumer services
food products,1940,,,idilia foods,barcelona,consumer goods
apparel retailers,1985,,,inditex,arteixo,consumer services
aerospace,1993,,,indra sistemas,madrid,industrials
real estate holding & development,1946,,,inmobiliaria colonial,madrid,financials
commercial vehicles & trucks,1889,,,irizar,ormaiztegi,industrials
clothing & accessories,1965,,,joma,portillo de toledo,consumer goods
apparel retailers,1977,,,kelme,elche,consumer services
banks,1990,,,la caixa,valencia,financials
food retailers & wholesalers,1949,,,la casera,madrid,consumer services
food products,1852,,,lacasa,zaragoza,consumer goods
recreational products,1953,,,lladró,tavernes blanques,consumer goods
food products,2009,,,llaollao,murcia,consumer goods
brewers,1890,,,mahou san miguel,madrid,consumer goods
clothing & accessories,1890,,,majorica,palma,consumer goods
apparel retailers,1984,,,mango,palau-solità i plegamans,consumer services
full line insurance,1933,,,mapfre,majadahonda,financials
software,2011,,,marfeel,barcelona,technology
broadcasting & entertainment,1989,,,mediaset españa comunicación,madrid,consumer services
hotels,1956,,,meliá hotels international,palma,consumer services
food retailers & wholesalers,1977,,,mercadona,tavernes blanques,consumer services
-,1956,,,mondragon corporation,mondragón,conglomerates
full line insurance,1930,,,mutua madrileña,madrid,financials
recreational products,1868,,,naipes heraclio fournier,vitoria-gasteiz,industrials
-,1943,,,natra,valencia,conglomerates
shipbuilding,2005,,,navantia,madrid,industrials
hotels,1978,,,nh hotel group,madrid,consumer services
shipbuilding,1982,,,nodosa shipyard,bueu,industrials
heavy construction,1999,,,obrascón huarte lain,madrid,industrials
recreational products,1931,,,orbea,mallabia,consumer goods
travel & tourism,1967,,,pacha group,ibiza,consumer services
food products,1960,,,pescanova,redondela,consumer goods
publishing,1949,,,planeta group,barcelona,consumer services
building materials & fixtures,1973,,,porcelanosa,villarreal,industrials
broadcasting & entertainment,1989,,,prisa tv,tres cantos,consumer services
broadcasting & entertainment,1965,,,private media group,barcelona,consumer services
business support services,1976,,,prosegur,madrid,industrials
software,1996,,,pyro studios,alcobendas,technology
conventional electricity,1985,,,red eléctrica de españa,alcobendas,utilities
travel & tourism,2005,,,renfe,madrid,consumer services
integrated oil & gas,1987,,,repsol,madrid,oil & gas
broadcasting & entertainment,2007,,,rtve,madrid,consumer services
hotels,1953,,,riu hotels,majorca,consumer services
heavy construction,1999,,,sacyr,madrid,industrials
automobiles,1956,,,santana motor,linares,consumer goods
automobiles,1950,,,seat,martorell,consumer goods
heavy construction,1956,,,sener,getxo,industrials
aerospace,1956,,,sener aeronáutica,getxo,industrials
commercial vehicles & trucks,1942,,,talgo,las rozas de madrid,industrials
oil equipment & services,1959,,,técnicas reunidas,madrid,oil & gas
fixed line telecommunications,1924,,,telefónica,madrid,telecommunications
restaurants & bars,1987,,,telepizza,madrid,consumer services
internet,1999,,,terra,madrid,technology
building materials & fixtures,1907,,,uralita group,madrid,industrials
food products,1963,,,vidal,molina de segura,consumer goods
consumer electronics,2001,,,vitelcom,málaga,consumer goods
mobile telecommunications,2000,,,vodafone spain,madrid,telecommunications
airlines,2004,,,vueling,barcelona,consumer services
apparel retailers,1974,,,zara,arteixo,consumer services
broadcasting & entertainment,2001,,,zinkia entertainment,madrid,consumer services
software,1992,,,academa,ljubljana,technology
airlines,1961,,,adria airways,zgornji brnik,consumer services
automobiles,1965,,,adria mobil,novo mesto,consumer goods
automobiles,1990,,,akrapovič,ivančna gorica,consumer goods
footwear,1948,,,alpina žiri,žiri,consumer goods
software,2012,,,amebis,kamnik,technology
fixed line telecommunications,1995,,,amis,maribor,telecommunications
broadline retailers,1954,,,btc,ljubljana,consumer services
recreational products,1945,,,elan,begunje na gorenjskem,consumer goods
automobiles,1998,,,goodyear dunlop sava tires,kranj,consumer goods
durable household products,1950,,,gorenje,velenje,consumer goods
diversified industrials,1946,,,iskra (company),kranj,industrials
-,1948,,,istrabenz,koper,conglomerates
pharmaceuticals,1954,,,krka,novo mesto,health care
industrial machinery,1946,,,litostroj,ljubljana,industrials
transportation services,1963,,,ljubljana jože pučnik airport,ljubljana,industrials
food retailers & wholesalers,1949,,,mercator,ljubljana,consumer services
mobile telecommunications,1991,,,mobitel,ljubljana,telecommunications
specialty retailers,1947,,,petrol group,ljubljana,consumer services
transportation services,1957,,,port of koper,koper,industrials
delivery services,1995,,,post of slovenia,maribor,industrials
railroads,1991,,,slovenian railways,ljubljana,industrials
construction & materials,1943,,,slovenija ceste tehnika,ljubljana,industrials
airlines,1991,,,solinair,ljubljana,consumer services
automobiles,1954,,,tomos,koper,consumer goods
software,2001,,,xlab d.o.o,ljubljana,technology
software,2002,,,zootfly,ljubljana,technology
airlines,1993,,,air slovakia,bratislava,consumer services
defense,1955,,,cestné a stavebné mechanizmy tisovec,detva,industrials
heavy construction,1953,,,doprastav,bratislava,industrials
electronic equipment,1991,,,elnec,prešov,industrials
computer services,1992,,,eset,bratislava,technology
durable household products,1999,,,glass lps,medzilaborce,consumer goods
banks,1992,,,istrobanka,bratislava,financials
investment services,1993,,,j&t finance group,bratislava,financials
real estate management & development,1996,,,jtre,bratislava,real estate
electrical components & equipment,1993,,,jj electronic,čadca,industrials
banks,1995,,,komerční banka bratislava,bratislava,financials
tires,1947,,,matador,púchov,consumer goods
iron & steel,1999,,,"ofz, a.s., istebné",istebné,basic materials
mobile telecommunications,1997,,,orange slovensko,bratislava,telecommunications
investment services,1994,,,penta investments,bratislava,financials
banks,1992,,,poštová banka,bratislava,financials
brewers,1964,,,šariš brewery,veľký šariš,consumer goods
airlines,1995,,,slovak airlines,bratislava,consumer services
fixed line telecommunications,1999,,,slovak telekom,bratislava,telecommunications
aluminum,1993,,,slovalco,žiar nad hronom,basic materials
broadcasting & entertainment,1993,,,slovart music,bratislava,consumer services
delivery services,1993,,,slovenská pošta,banská bystrica,industrials
banks,1819,,,slovenská sporiteľňa,bratislava,financials
conventional electricity,1942,,,slovenské elektrárne,bratislava,utilities
exploration & production,2006,,,slovenský plynárenský priemysel,bratislava,oil & gas
exploration & production,1949,,,slovnaft,bratislava,oil & gas
software,2004,,,sygic,bratislava,technology
banks,1990,,,tatra banka,bratislava,financials
mobile telecommunications,2006,,,o2 slovakia,bratislava,telecommunications
brewers,1957,,,topvar,veľký šariš,consumer goods
pipelines,1954,,,transpetrol as,bratislava,oil & gas
iron & steel,2000,,,u.s. steel košice,košice,basic materials
commercial vehicles & trucks,1922,,,vagónka,trebišov,industrials
railroads,2004,,,železničná spoločnosť slovensko,bratislava,industrials
brewers,1969,,,zlatý bažant,hurbanovo,consumer goods
publishing,2008,,,adevărul holding,bucharest,consumer services
food retailers & wholesalers,1990,,,angst,buftea,consumer services
pharmaceuticals,1955,,,antibiotice iași,iași,health care
durable household products,1970,,,apulum,alba iulia,consumer goods
durable household products,1968,,,arctic s.a.,găești,consumer goods
automobiles,1966,,,automobile dacia,mioveni,consumer goods
banks,1990,,,banca comercială română,bucharest,financials
banks,1993,,,banca transilvania,cluj-napoca,financials
airlines,2004,,,blue air,bucharest,consumer services
banks,1923,,,brd – groupe société générale,bucharest,financials
railroads,1880,,,căile ferate române,bucharest,industrials
hotels,1991,,,continental hotels,bucharest,consumer services
retail services,1992,,,dedeman,bacău,consumer services
food products,1993,,,european drinks & foods,ștei,consumer goods
personal products,1993,,,farmec,cluj-napoca,consumer goods
automobiles,1976,,,ford romania,craiova,consumer goods
software,1992,,,gecad software,bucharest,technology
railroads,2001,,,grup feroviar român,bucharest,industrials
media agencies,1991,,,intact media group,bucharest,consumer services
clothing & accessories,1993,,,jolidon,cluj-napoca,consumer goods
commercial vehicles & trucks,1997,,,mangalia shipyard,mangalia,industrials
food retailers & wholesalers,1995,,,mega image,bucharest,consumer services
travel & tourism,1976,,,metrorex,bucharest,consumer services
specialty retailers,1993,,,mobexpert,bucharest,consumer services
food products,1905,,,napolact,cluj-napoca,consumer goods
mobile telecommunications,1997,,,orange romania,bucharest,telecommunications
integrated oil & gas,1991,,,petrom,bucharest,oil & gas
exploration & production,1974,,,petromidia refinery,năvodari,oil & gas
delivery services,1862,,,poșta română,bucharest,industrials
banks,1998,,,raiffeisen romania,bucharest,financials
fixed line telecommunications,1993,,,rcs & rds,bucharest,telecommunications
media agencies,2006,,,realitatea-cațavencu,bucharest,consumer services
travel & tourism,2005,,,regiotrans,brașov,consumer services
commercial vehicles & trucks,1921,,,roman,brașov,industrials
exploration & production,1974,,,rompetrol,bucharest,oil & gas
industrial suppliers,1994,,,romstal,bucharest,industrials
fixed line telecommunications,1989,,,romtelecom,bucharest,telecommunications
software,1992,,,siveco romania,bucharest,technology
software,2001,,,softpedia,bucharest,technology
software,1990,,,softwin,bucharest,technology
airlines,1954,,,tarom,otopeni,consumer services
consumer electronics,1972,,,tehnoton,iaşi,consumer goods
fixed line telecommunications & mobile telecommunications,1991,,,telekom romania,bucharest,telecommunications
pharmaceuticals,1920,,,terapia ranbaxy,cluj-napoca,health care
-,1990,,,țiriac holdings,bucharest,conglomerates
railroads,2003,,,transferoviar grup,cluj-napoca,industrials
internet,2007,,,trilulilu,cluj-napoca,technology
software,1992,,,ubisoft bucharest,bucharest,technology
fixed line telecommunications,1992,,,upc romania,bucharest,telecommunications
brewers,1878,,,ursus breweries,bucharest,consumer goods
