00-avengers-headquarters_continent,02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country
americas,germany,denmark,germany
asia,brazil,sweden,china
americas,usa,uk,ireland
americas,usa,france,usa
europe,usa,sweden,usa
europe,japan,uk,usa
europe,usa,uk,usa
americas,uk,switzerland,sweden
asia,sweden,italy,usa
americas,ireland,denmark,japan
americas,usa,germany,uk
americas,usa,russia,usa
americas,usa,germany,spain
europe,canada,italy,canada
americas,south korea,germany,germany
europe,japan,switzerland,japan
americas,germany,uk,usa
europe,usa,netherlands,usa
asia,uk,france,uk
asia,usa,italy,usa
americas,spain,italy,south korea
americas,usa,germany,usa
americas,usa,uk,usa
asia,usa,switzerland,usa
europe,usa,germany,india
americas,usa,uk,usa
asia,usa,uk,uk
americas,japan,germany,usa
americas,usa,spain,japan
americas,uk,poland,usa
americas,india,spain,usa
americas,usa,russia,usa
europe,ireland,ireland,south korea
americas,south korea,uk,china
asia,japan,uk,ireland
americas,usa,luxembourg,sweden
asia,switzerland,russia,switzerland
europe,japan,uk,usa
americas,brazil,norway,brazil
asia,china,sweden,japan
asia,usa,switzerland,japan
europe,sweden,russia,usa
americas,switzerland,uk,usa
europe,usa,austria,usa
americas,usa,uk,china
americas,china,sweden,switzerland
asia,china,italy,usa
asia,china,netherlands,usa
asia,usa,france,switzerland
americas,usa,uk,usa
americas,switzerland,france,china
europe,usa,switzerland,china
americas,canada,switzerland,canada
americas,china,luxembourg,usa
asia,singapore,denmark,japan
asia,canada,france,canada
europe,usa,uk,finland
americas,finland,uk,usa
americas,japan,switzerland,china
asia,japan,france,japan
asia,usa,switzerland,usa
americas,usa,france,singapore
americas,brazil,germany,china
europe,china,uk,usa
europe,france,netherlands,brazil
europe,canada,belgium,france
asia,germany,netherlands,germany
europe,china,uk,china
americas,france,france,uk
europe,switzerland,finland,canada
asia,uk,sweden,france
americas,usa,france,switzerland
asia,usa,uk,india
americas,usa,belgium,belgium
asia,china,uk,usa
asia,usa,switzerland,usa
americas,belgium,netherlands,china
europe,usa,uk,usa
americas,china,uk,china
asia,india,switzerland,china
americas,usa,denmark,usa
americas,china,uk,usa
asia,hong kong,belgium,hong kong
americas,uk,sweden,china
americas,china,uk,china
asia,sweden,luxembourg,netherlands
asia,china,norway,usa
europe,china,italy,china
asia,usa,spain,china
europe,usa,norway,sweden
asia,china,france,uk
europe,netherlands,uk,usa
europe,usa,uk,hong kong
europe,usa,finland,usa
asia,hong kong,sweden,usa
americas,usa,germany,finland
europe,germany,austria,usa
europe,france,uk,uk
americas,usa,germany,france
asia,china,france,germany
americas,finland,uk,usa
americas,uk,italy,china
americas,china,sweden,norway
americas,norway,germany,japan
asia,usa,germany,hong kong
asia,usa,germany,china
europe,japan,france,usa
asia,france,netherlands,usa
americas,hong kong,germany,south korea
americas,south korea,switzerland,france
europe,usa,sweden,usa
asia,usa,russia,usa
americas,usa,france,usa
europe,usa,finland,india
asia,india,belgium,usa
asia,canada,luxembourg,japan
europe,usa,denmark,canada
americas,germany,sweden,germany
americas,india,france,italy
asia,japan,switzerland,usa
americas,italy,luxembourg,india
americas,usa,germany,usa
asia,finland,germany,sweden
oceania,usa,austria,usa
americas,usa,germany,usa
europe,usa,uk,australia
americas,usa,sweden,usa
americas,usa,germany,finland
americas,sweden,ireland,south korea
americas,usa,uk,usa
americas,australia,finland,usa
europe,south korea,uk,usa
europe,usa,uk,germany
americas,netherlands,germany,usa
americas,singapore,belgium,singapore
americas,hong kong,switzerland,netherlands
americas,germany,poland,usa
europe,usa,uk,brazil
asia,usa,denmark,usa
asia,brazil,italy,denmark
europe,usa,austria,hong kong
americas,denmark,italy,usa
americas,mexico,switzerland,hong kong
asia,hong kong,uk,mexico
americas,usa,sweden,usa
europe,usa,uk,japan
americas,china,france,spain
asia,usa,uk,china
americas,spain,greece,usa
americas,usa,spain,usa
asia,japan,sweden,usa
americas,usa,austria,usa
americas,canada,switzerland,taiwan
americas,usa,poland,hong kong
americas,usa,uk,usa
asia,hong kong,denmark,australia
americas,australia,germany,canada
oceania,usa,poland,usa
asia,taiwan,poland,usa
americas,usa,switzerland,usa
americas,usa,germany,usa
americas,usa,spain,usa
americas,usa,iceland,sweden
asia,sweden,luxembourg,usa
americas,netherlands,belgium,china
asia,italy,uk,italy
americas,usa,hungary,china
americas,usa,spain,usa
americas,usa,switzerland,usa
europe,china,uk,netherlands
europe,usa,sweden,usa
europe,china,spain,usa
asia,usa,norway,usa
americas,thailand,ireland,china
africa,canada,denmark,usa
americas,china,italy,canada
oceania,usa,switzerland,taiwan
americas,australia,uk,thailand
asia,usa,france,australia
americas,south africa,switzerland,usa
asia,usa,italy,usa
americas,taiwan,uk,south africa
europe,australia,uk,taiwan
oceania,netherlands,switzerland,usa
europe,usa,germany,usa
americas,usa,germany,australia
americas,usa,italy,usa
asia,usa,uk,switzerland
americas,taiwan,italy,usa
americas,canada,uk,canada
americas,usa,denmark,netherlands
americas,switzerland,norway,usa
asia,usa,france,sweden
americas,sweden,uk,canada
americas,japan,uk,usa
americas,india,sweden,spain
asia,spain,sweden,japan
europe,china,belgium,usa
asia,canada,italy,usa
asia,usa,sweden,india
europe,usa,uk,china
americas,china,uk,china
europe,usa,italy,usa
europe,luxembourg,france,china
americas,usa,austria,luxembourg
americas,usa,belgium,switzerland
americas,china,uk,usa
asia,usa,germany,usa
americas,usa,uk,germany
americas,usa,luxembourg,usa
europe,switzerland,france,usa
americas,germany,ireland,usa
europe,south africa,finland,china
europe,china,france,china
asia,france,germany,japan
asia,china,belgium,usa
americas,japan,uk,hong kong
asia,usa,germany,spain
asia,china,switzerland,france
europe,hong kong,italy,south africa
asia,spain,france,france
africa,france,uk,china
americas,france,sweden,china
asia,switzerland,uk,china
asia,usa,russia,usa
americas,japan,uk,france
americas,china,sweden,china
asia,usa,sweden,usa
asia,usa,luxembourg,japan
americas,china,uk,usa
europe,china,netherlands,switzerland
europe,usa,uk,usa
americas,india,austria,usa
europe,usa,russia,sweden
asia,sweden,uk,japan
americas,germany,uk,usa
asia,usa,france,china
americas,china,italy,usa
europe,usa,france,usa
europe,japan,uk,uk
americas,uk,uk,germany
asia,usa,sweden,india
europe,china,uk,sweden
asia,india,luxembourg,india
asia,japan,germany,kazakhstan
asia,china,uk,china
europe,india,uk,japan
asia,sweden,belgium,switzerland
asia,japan,austria,china
asia,china,uk,india
asia,kazakhstan,russia,china
asia,switzerland,spain,japan
europe,taiwan,italy,usa
asia,germany,denmark,germany
asia,china,uk,sweden
asia,usa,russia,china
americas,china,austria,south korea
asia,usa,spain,india
americas,japan,france,china
asia,india,uk,taiwan
europe,south korea,uk,japan
asia,sweden,italy,usa
asia,hong kong,switzerland,indonesia
americas,usa,uk,uk
asia,australia,uk,hong kong
europe,usa,switzerland,usa
europe,switzerland,norway,switzerland
europe,uk,russia,china
americas,switzerland,uk,australia
oceania,indonesia,uk,switzerland
americas,usa,spain,usa
asia,china,isle of man,usa
europe,netherlands,luxembourg,denmark
asia,mexico,uk,usa
americas,usa,germany,mexico
europe,usa,netherlands,japan
americas,usa,germany,netherlands
americas,canada,sweden,canada
americas,france,uk,france
americas,usa,france,usa
americas,japan,uk,usa
europe,denmark,france,usa
asia,switzerland,germany,usa
americas,sweden,uk,finland
americas,singapore,belgium,singapore
asia,usa,greece,sweden
europe,usa,norway,usa
americas,finland,italy,usa
americas,japan,uk,usa
asia,usa,germany,switzerland
europe,usa,italy,japan
europe,japan,sweden,japan
asia,usa,sweden,usa
americas,usa,denmark,usa
americas,canada,germany,usa
americas,china,spain,china
americas,usa,france,usa
americas,usa,ireland,usa
asia,usa,switzerland,canada
americas,colombia,switzerland,usa
americas,usa,germany,china
americas,china,uk,colombia
asia,china,ireland,taiwan
americas,usa,france,france
asia,ireland,greece,japan
asia,france,france,china
americas,taiwan,austria,usa
asia,usa,switzerland,china
europe,china,netherlands,ireland
europe,china,italy,usa
americas,usa,luxembourg,usa
asia,japan,austria,china
americas,canada,switzerland,usa
americas,china,sweden,usa
asia,usa,uk,germany
europe,china,france,ireland
americas,germany,france,china
europe,usa,france,china
asia,ireland,austria,canada
americas,saudi arabia,poland,saudi arabia
asia,usa,germany,usa
americas,usa,spain,usa
americas,taiwan,denmark,taiwan
americas,usa,uk,china
americas,netherlands,germany,usa
americas,china,czech republic,usa
americas,usa,faroe islands,usa
americas,usa,uk,usa
asia,usa,germany,canada
europe,usa,spain,usa
americas,usa,sweden,usa
asia,canada,finland,netherlands
europe,qatar,switzerland,qatar
americas,canada,uk,china
asia,india,austria,china
asia,taiwan,uk,taiwan
asia,india,uk,india
asia,china,finland,usa
asia,china,uk,canada
asia,japan,belgium,japan
americas,usa,germany,germany
asia,germany,sweden,india
asia,india,uk,usa
europe,poland,finland,poland
asia,uk,uk,uk
asia,usa,france,india
americas,usa,france,india
americas,usa,switzerland,usa
americas,china,russia,saudi arabia
europe,india,denmark,china
europe,ireland,luxembourg,usa
asia,saudi arabia,germany,ireland
asia,usa,switzerland,thailand
americas,finland,poland,usa
asia,japan,sweden,france
europe,china,spain,finland
americas,india,switzerland,usa
asia,usa,finland,china
asia,france,germany,usa
asia,hong kong,austria,india
europe,usa,france,japan
americas,thailand,uk,hong kong
americas,usa,germany,usa
asia,switzerland,germany,india
americas,australia,uk,australia
asia,usa,switzerland,switzerland
americas,france,sweden,usa
americas,usa,belgium,china
europe,usa,switzerland,france
americas,india,finland,canada
oceania,canada,germany,usa
europe,china,uk,usa
americas,usa,france,china
europe,china,uk,usa
asia,usa,france,spain
asia,usa,netherlands,japan
asia,usa,sweden,usa
asia,japan,germany,japan
americas,china,sweden,usa
americas,japan,uk,china
americas,japan,finland,usa
asia,spain,switzerland,japan
asia,hong kong,germany,usa
americas,usa,sweden,hong kong
europe,japan,france,japan
asia,japan,france,india
asia,japan,switzerland,hong kong
europe,ireland,uk,ireland
asia,india,uk,japan
asia,hong kong,switzerland,usa
americas,uk,uk,uk
asia,usa,germany,japan
americas,usa,romania,brazil
americas,hong kong,sweden,usa
americas,taiwan,uk,usa
americas,usa,isle of man,hong kong
americas,brazil,austria,usa
americas,usa,uk,canada
americas,usa,greece,usa
americas,canada,uk,taiwan
asia,usa,sweden,usa
asia,usa,france,usa
europe,spain,uk,japan
oceania,china,sweden,japan
europe,usa,uk,china
asia,usa,uk,spain
asia,japan,sweden,australia
europe,denmark,uk,usa
asia,china,sweden,denmark
americas,japan,uk,usa
americas,switzerland,uk,china
asia,australia,italy,switzerland
americas,canada,russia,china
asia,china,sweden,china
americas,taiwan,russia,usa
europe,germany,uk,ireland
europe,usa,russia,canada
europe,switzerland,greece,germany
americas,sweden,switzerland,switzerland
europe,ireland,sweden,usa
asia,usa,luxembourg,taiwan
asia,china,switzerland,sweden
asia,china,france,china
europe,malaysia,denmark,malaysia
asia,usa,finland,uk
asia,spain,sweden,china
asia,uk,netherlands,usa
americas,usa,austria,spain
europe,china,uk,usa
europe,japan,russia,japan
americas,japan,uk,japan
asia,uk,france,uk
europe,denmark,spain,germany
americas,germany,italy,usa
europe,uk,uk,uk
europe,japan,switzerland,ireland
asia,usa,uk,denmark
americas,usa,spain,uk
americas,kuwait,spain,kuwait
asia,uk,sweden,japan
europe,ireland,france,usa
europe,usa,romania,usa
asia,china,switzerland,china
americas,spain,sweden,usa
asia,germany,spain,china
americas,hong kong,sweden,usa
asia,usa,france,usa
asia,china,austria,hong kong
americas,china,france,kuwait
asia,usa,italy,germany
europe,kuwait,switzerland,spain
europe,usa,uk,china
europe,germany,netherlands,switzerland
americas,usa,denmark,china
asia,uae,spain,usa
asia,switzerland,uk,japan
asia,china,ireland,germany
asia,hong kong,uk,uae
asia,japan,germany,canada
europe,indonesia,italy,china
asia,china,luxembourg,hong kong
americas,canada,germany,indonesia
asia,china,uk,sweden
americas,usa,uk,usa
americas,usa,uk,philippines
americas,china,sweden,usa
asia,philippines,uk,usa
europe,sweden,poland,china
asia,china,germany,usa
asia,usa,germany,china
americas,usa,belgium,usa
americas,usa,germany,china
americas,usa,iceland,sweden
americas,usa,france,hong kong
americas,usa,uk,south africa
americas,canada,russia,usa
europe,south africa,germany,usa
asia,hong kong,netherlands,usa
africa,sweden,portugal,canada
americas,usa,uk,usa
americas,usa,uk,usa
americas,usa,luxembourg,usa
asia,china,uk,usa
europe,usa,portugal,ireland
asia,usa,belgium,usa
americas,ireland,russia,china
asia,usa,netherlands,china
asia,china,sweden,japan
americas,japan,uk,japan
europe,usa,norway,usa
americas,japan,malta,usa
americas,ireland,sweden,ireland
asia,saudi arabia,uk,usa
americas,usa,sweden,india
asia,usa,uk,saudi arabia
europe,japan,france,usa
europe,uk,germany,usa
americas,usa,malta,uk
europe,sweden,switzerland,japan
asia,uk,norway,sweden
americas,india,uk,uk
americas,usa,france,usa
americas,canada,spain,china
americas,china,france,germany
europe,germany,switzerland,canada
europe,russia,denmark,uk
europe,japan,germany,spain
europe,norway,uk,denmark
asia,uk,germany,russia
europe,spain,germany,brazil
europe,denmark,france,norway
asia,brazil,sweden,japan
europe,uk,,china
americas,south korea,,china
asia,china,,china
asia,china,,south korea
americas,india,,india
asia,china,,uk
asia,usa,,china
asia,india,,usa
asia,china,,usa
asia,usa,,india
europe,luxembourg,,luxembourg
europe,usa,,usa
americas,usa,,usa
asia,usa,,china
asia,usa,,japan
americas,usa,,usa
americas,china,,usa
americas,japan,,usa
americas,usa,,spain
americas,spain,,usa
americas,usa,,usa
americas,saudi arabia,,uk
europe,china,,australia
americas,australia,,china
americas,china,,south korea
asia,south korea,,usa
asia,usa,,china
oceania,usa,,usa
asia,uk,,usa
asia,usa,,saudi arabia
americas,usa,,china
asia,china,,china
americas,usa,,finland
europe,usa,,mexico
americas,finland,,italy
asia,china,,usa
europe,mexico,,usa
americas,italy,,usa
americas,usa,,china
asia,china,,usa
americas,usa,,belgium
asia,usa,,netherlands
americas,china,,usa
europe,netherlands,,usa
europe,usa,,china
americas,usa,,usa
americas,belgium,,russia
europe,russia,,china
asia,usa,,usa
americas,china,,usa
americas,usa,,saudi arabia
asia,saudi arabia,,portugal
americas,usa,,usa
europe,usa,,usa
asia,usa,,south korea
asia,china,,hong kong
americas,south korea,,usa
americas,portugal,,usa
americas,canada,,canada
asia,hong kong,,china
asia,china,,china
americas,china,,usa
americas,uk,,usa
americas,netherlands,,brazil
europe,usa,,austria
americas,brazil,,netherlands
americas,austria,,uk
europe,usa,,china
europe,usa,,usa
asia,usa,,usa
asia,singapore,,japan
asia,czech republic,,china
americas,japan,,czech republic
asia,china,,singapore
americas,china,,japan
asia,india,,china
asia,usa,,usa
asia,japan,,japan
asia,usa,,india
europe,japan,,usa
asia,china,,germany
europe,china,,austria
americas,china,,china
americas,china,,usa
europe,austria,,china
americas,usa,,china
europe,switzerland,,usa
asia,usa,,china
asia,usa,,switzerland
asia,germany,,usa
europe,netherlands,,usa
asia,usa,,china
americas,usa,,netherlands
asia,usa,,usa
asia,usa,,japan
oceania,australia,,australia
americas,china,,south korea
americas,japan,,usa
americas,usa,,usa
americas,south korea,,usa
americas,usa,,usa
americas,russia,,usa
americas,usa,,taiwan
asia,china,,japan
asia,thailand,,thailand
asia,taiwan,,china
asia,japan,,china
asia,china,,usa
americas,usa,,russia
europe,usa,,usa
asia,hong kong,,south korea
americas,usa,,malaysia
asia,south africa,,china
asia,malaysia,,south africa
europe,china,,china
asia,italy,,usa
asia,china,,hong kong
africa,south korea,,italy
americas,usa,,japan
asia,japan,,usa
americas,usa,,china
asia,usa,,usa
