ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
,,,not found,,andrew cecere
,,,not found,,mary barra
,,,not found,,
,,,mr. andre luis de oliveira agostinho,,masumi minegishi
,,,not found,,frank mckenna
,,,mr. jose mauricio cascao pereira,,marit arnstad
,,,ms. renata  grazziotin,,
,,,mr. heraldo  marchezini,,
,,,mr. ivan luiz murias dos santos,,daniel oday
,,,not found,,
,,,not found,,ernie herrman
,,,mr. rodrigo  osmo,,vincent roche
,,,not found,,brian j. porter
,,,mr. alexandre  de jesus santoro,,tetsuo tsuneishi
,,,not found,,robert pace
,,,mr. jorge cury neto,,william h. “bill” rogers jr
,,,mr. luis augusto barcelos barbosa,,stephane bancel
,,,not found,,evan g. greenberg
,,,not found,,nayla hayek
,,,mr. dalton carlos heringer,,fang hongbo
,,,not found,,john g. morikis
,,,mr. marcelo ribeiro pimentel,,sanjeev krishan
,,,mr. luiz cassiano rando rosolen,,jerome lambert
,,,mr. alan  zelazo,,
,,,josã© renato de almeida gonã§alves tourinho,,landis martin
,,,not found,,sergey ignatiev
,,,not found,,michael j. ward
,,,mr. marcos antonio leite de medeiros,,stephen a. schwarzman
,,,mr. flã¡vio  maluf,,brenton l. saunders
,,,mr. ralph  horn,,
,,,not found,,ed crenshaw
,,,mr. rubem roberto ribeiro,,al monaco
,,,not found,,masayoshi son
,,,mr. josã© mã¡rio gomes ribeiro,,
,,,not found,,terrence a. duffy
,,,not found,,ronald sugar
,,,mr. leandro  melnick,,"james e. rogers, jr."
,,,not found,,michael lee-chin
,,,mr. thiago kiyoshi vieira muramatsu,,
,,,not found,,michele crisostomo
,,,not found,,lv jiajin
,,,not found,,ming shan lei
,,,not found,,hironori kamezawa
,,,not found,,
,,,mr. josuã© christiano gomes da silva,,
,,,mr. marco antã´nio andrade de araãºjo,,thomas frist iii
,,,mr. luciano adures de oliveira,,mats rahmstrom
,,,not found,,dai houliang
,,,not found,,jacob wallenberg
,,,not found,,h edward hanway
,,,not found,,e. scott santi
,,,mr. fernando luiz alterio,,shona brown
,,,mr. edvaldo  angelo,,michael a mussallem
,,,not found,,
,,,mr. luiz carlos siqueira aguiar,,robert joseph scaringe
,,,not found,,morten wierod
,,,not found,,gerhard schroder
,,,mr. carlo alberto bottarelli,,
,,,not found,,jeffrey c. sprecher
,,,antonio carlos tadeu werneck de oliveira,,antoine gosset-grainville
,,,mr. carlos  bianconi,,george a cope
,,,not found,,
,,,not found,,laura cha
,,,mr. renato  jackisch,,chen zongnian
,,,mr. marcelo j. milliet,,lee seok-hee
,,,mr. helom  oliveira da silva,,david m. ratcliffe
,,,mr. pã©ricles  pereira druck,,edward j. ludwig
,,,mr. henry  borenstein,,charles moorman
,,,mr. fabio alberto amorosino,,pang kang
,,,not found,,jose ignacio sanchez galan
,,,not found,,frank bisignano
,,,not found,,jose luciano duarte penido
,,,mr. paulo guilherme monteiro lobato ribeiro,,gary a. norcross
,,,mr. antonio carlos augusto  ribeiro bonchristiano,,chihiro kanagawa
,,,not found,,
,,,not found,,noel r. wallace
,,,not found,,
,,,not found,,
,,,not found,,andrew reardon
,,,mr. renato  de almeida pimentel mendes,,
,,,not found,,rick hill
,,,mr. andrã© felipe rosado franã§a,,colin huang zheng
,,,mr. michael lenn ceitlin,,raj subramaniam
,,,not found,,peter van camp
,,,"mr. willian  de mello magalhã£es jr., junior",,
,,,not found,,raymond w. mcdaniel
,,,mr. jaime  rotstein,,andrew liveris
,,,mr. augusto alves dos reis neto,,
,,,aryovaldo mazzi neto,,
,,,mr. daniel abramant guerbatin,,soren skou
,,,not found,,roberto castello branco
,,,not found,,
,,,mr. armando cesar hess de souza,,takashi tanaka
,,,not found,,baoshen zhong
,,,mr. sylvio  marzagao,,tom de swaan
,,,mr. fã¡bio  mazzini,,thomas (tom) h . weidemeyer
,,,not found,,
,,,not found,,craig arnold
,,,not found,,ding lei
,,,not found,,koji arima
,,,mr. ricardo  mottin jr.,,colm kelleher
,,,not found,,michael lynton
,,,mr. paulo antã´nio silvestri,,yiping tao
,,,not found,,carlos slim domit
,,,not found,,jahja setiaatmadja
,,,not found,,seifi ghasemi
,,,mr. joao paulo franco rossi cuppoloni cfa,,"douglas m. baker, jr"
,,,not found,,richard fairbank
,,,mr. rafael  gorenstein,,shigenobu nagamori
,,,not found,,noriyuki inoue
,,,not found,,jack dorsey
,,,ricardo piccinini da carvalhinha,,dhanabalan
,,,not found,,
,,,not found,,yang jiping
,,,not found,,robert m. blue
,,,mr. livinston martins bauermeister,,leonard schleifer
,,,not found,,john elkann
,,,not found,,peter b. lewis
,,,not found,,
,,,not found,,ming-kai tsai
,,,mr. michael lenn ceitlin,,kenneth levy
,,,yinsheng  li,,kathy warden
,,,not found,,john elkann
,,,not found,,eduardo solorzano morales
,,,not found,,chano fernandez
,,,not found,,
,,,mr. marcos  kassardjian,,joseph d. russell jr
,,,not found,,
,,,not found,,dennis l mahoney
,,,not found,,
,,,not found,,
,,,not found,,james r moffett
,,,not found,,
,,,mr. josã© roberto mendes da silva,,brian armstrong
,,,not found,,carl-henric svanberg
,,,not found,,
,,,mr. jorge saraiva neto,,
,,,mr. thiago meira coelho lemgruber porto,,michael f. mahoney
,,,not found,,olayan m. alwetaid
,,,mr. ricardo  lessa pansa,,
,,,not found,,
,,,not found,,
,,,not found,,ken miyauchi
,,,rodrigo moretti ramalho camara,,nicholas chabraja
,,,not found,,
,,,mr. josã© luiz abicalil,,kurt sievers
,,,not found,,
,,,not found,,
,,,not found,,lei jun
,,,mr. luis antonio stramosk,,
,,,mr. felipe  shalders,,john w. thompson
,,,not found,,stacy j. smith
,,,not found,,albert m. baehny
,,,not found,,
,,,mr. tiago silveira do pinho,,ezra yacob
,,,not found,,mr. ke ruiwen
,,,mr. francisco josã© ritondaro,,
,,,not found,,lal karsanbhai
,,,not found,,c. robert henrikson
,,,not found,,reshma kewalramani
,,,not found,,
,,,not found,,
,,,mr. roberto saddy chade,,toshiaki higashihara
,,,mr. thiago kiyoshi vieira muramatsu,,
,,,not found,,katharine stevenson 
,,,not found,,george r. oliver
,,,not found,,
,,,not found,,n. murray edwards
,,,not found,,martin ohneberg
,,,not found,,paul j. halg
,,,not found,,frank m. clark
,,,not found,,
,,,not found,,david perdue
,,,not found,,hana al rostamani
,,,not found,,stefan bird
,,,mr. miguel  gularte,,david thomson
,,,not found,,
,,,not found,,
,,,not found,,stelleo passos tolda
,,,not found,,shuntaro furukawa
,,,not found,,
,,,not found,,
,,,not found,,liu miao
,,,mr. denio alves lindo,,bill marriott
,,,not found,,
,,,mr. ricardo dell arquila mussa,,gian maria gros-pietro
,,,mr. cassio  bobsin machado,,wei jianjun
,,,mr. bruno lemos ferrari,,tadashi yanai
,,,mr. marino stefani colpo,,
,,,mr. pedro santos ripper,,liu young-way
,,,not found,,robin li
,,,not found,,christoph franz
,,,mr. marcelo rodolfo hahn,,david simon
,,,not found,,robert gamgort
,,,mr. ricardo rodrigues de carvalho,,
,,,mr. luiz osorio dumoncel,,anders dahlvig
,,,not found,,thomas plenborg
,,,not found,,"ma mingzhe, peter"
,,,mr. bernardo carvalho lustosa ph.d.,,
,,,not found,,nikesh arora
,,,not found,,tom lynch
,,,not found,,lucia calvosa
,,,not found,,lai chun wang
,,,not found,,
,,,not found,,gerald l. hassell
,,,not found,,ken xie
,,,not found,,ugur sahin
,,,mr. toshio  nakabayashi,,hiroshi suzuki
,,,not found,,he ali ahmed al kuwari
,,,not found,,eric yuan
,,,not found,,william c. montgomery
,,,mr. armando cesar hess de souza,,ren deqi
,,,not found,,sun piaoyang
,,,mr. petros  diamantides,,
,,,not found,,fumihiko ike
,,,not found,,tsuneo murata
,,,not found,,aart j. de geus
,,,mr. joaquim pedro andrã©s ribeiro,,liao zengtai
,,,mr. eduardo orlando l'hotellier,,michael dell
,,,not found,,toshio kagami
,,,gustavo  dall'onder,,
,,,mr. fernando tadeu perez,,brian duperreault
,,,not found,,lance uggla
,,,not found,,ge li
,,,mr. marcos aurã©lio couto,,bobby kotick
,,,mr. marcos bulle lopes,,rodney cyril sacks
,,,mr. rodrigo fairbanks von uhlendorff,,
,,,not found,,german larrea mota-velasco
,,,mr. sammy  birmarcker,,torbjorn magnusson
,,,mr. fabio alberto amorosino,,
,,,mr. marcos ribeiro leite,,takeshi kunibe
,,,mr. paulo guilherme monteiro lobato ribeiro,,wang dongjin
,,,mr. heverton pessoa de melo peixoto,,andrew gould
,,,fabiano uchoas ribeiro,,martin h. loeffler
,,,mr. otavio ricardo pettenati,,ari bousbib
,,,not found,,david b. baszucki
,,,mr. helium bruck rotenberg,,zhu hexin
,,,mr. jose amarildo casagrande,,neil hunn
,,,mr. jã¢nyo janguiãª bezerra diniz,,scott d. sheffield
,,,not found,,thomas j. falk
,,,mr. mauro  do valle pereira,,conni jonsson
,,,not found,,dennis segers
,,,not found,,takehiko kakiuchi
,,,mr. kleber cesar silveira gomes,,francois poirier
,,,mr. gustavo henrique braga couto,,markus mosa
,,,mr. sã©rgio fischer teixeira de souza,,
,,,mr. andrã©  guillaumon,,
,,,not found,,mirko bibic
,,,mr. marcio arany da cruz martins,,wayne w murdy
,,,dr. jã¶rg  stratmann,,
,,,mr. mario  ghio junior,,andrey bougrov
,,,not found,,
,,,mr. ari  de sa cavalcante neto,,thomas thune andersen
,,,mr. luciano maggi quartiero,,kurt hilzinger
,,,not found,,jonathan w. ayers
,,,mr. jorge faical filho,,bin li
,,,not found,,john rim
,,,mr. rafael sales guimarã£es,,stefano pessina
,,,augusto dantas borges,,martin mucci
,,,not found,,qin yinglin
,,,mr. eduardo parente menezes,,
,,,mr. pedro  de souza zemel,,richard sands
,,,mr. roberto  de souza santos,,calvin grieder
,,,mr. peter holten muhlmann,,anirudh devgan
,,,not found,,david e oreilly
,,,mr. lars wiberg ettrup,,
,,,mr. ole  odegaard,,glenn k. murphy(non-executive chairman)
,,,mr. thomas wiesner fã¦rch,,elon musk
,,,mr. henrik normann andersen,,
,,,not found,,rajesh nambiar
,,,not found,,masahiro okafuji
,,,martin moller nielsen,,kevin p. clark
,,,not found,,miguel patricio
,,,not found,,laurence a. chapman
,,,mr. mads bonde hansen,,kevin sayer
,,,mr. thomas  bã¦lum,,henry a. fernandez
,,,mr. thomas  lethenborg,,bom suk kim
,,,not found,,steve sanghi
,,,mr. peter steen christensen,,
,,,mr. steffen  schouw,,tony xu
,,,mr. soren henrik boving-andersen,,nick akins
,,,mr. dennis juul poulsen,,
,,,mr. philip  clausius b.a.,,steve ells
,,,mr. finn  jensen,,jeremy weir
,,,mr. casper  janns,,
,,,mr. anders bundsgaard petersen,,jeff weiner
,,,mr. rami  levin,,david gitlin
,,,mr. michael  humle,,olivier pomel
,,,mr. steen  thygesen,,michael f. neidorff
,,,mr. thomas axel esbern andersen,,
,,,mr. michael  aaen,,michael s. dell
,,,not found,,"shin, hak-cheol"
,,,not found,,jeffrey w. martin
,,,not found,,
,,,not found,,rob sharps
,,,mr. david johan christensen,,michael r. mcmullen
,,,not found,,jose e. almeida
,,,not found,,jim fitterling
,,,mr. thomas skovlund schnegelsberg,,john p. surma(non-executive chairman)
,,,mr. peter bogh jensen,,ge li(non-executive chairman)
,,,mr. kent villadsen madsen mgr.,,jeffrey s. sloan
,,,mr. quan  li,,wan min
,,,mr. ole  thastrup vd,,arthur f. ryan
,,,mr. michael  hove,,
,,,mr. gregory dean  gibb,,gerhard watzinger
,,,not found,,zhang ruimin
,,,not found,,katsunori maruyama
,,,"mr. anders fink vadsholt m.b.a., m.sc., mba",,
,,,not found,,
,,,not found,,"c. raymond larkin, jr"
,,,not found,,chris kubasik
,,,mr. clas  dyrholm,,edward d. breen
,,,mr. william  chen,,yasuchika hasegawa
,,,not found,,roger f. dunbar
,,,mr. claus finderup grove,,
,,,not found,,daniel ek
,,,not found,,
,,,mr. yau ching  lee,,greg brown
,,,mr. guoqiang  li,,manuel kadre
,,,mr. jaroslaw pawel lipinski,,christopher j. nassetta
,,,not found,,bouchard
,,,mr. robert  andersen,,choi soo-yeon
,,,ms. jie  sun,,kentaro kawabe
,,,mr. ziyang  xu,,
,,,dr. claus bo sã¸ndergaard svendsen,,enrique lores
,,,not found,,john elkann
,,,not found,,donald e. washkewicz
,,,not found,,
,,,not found,,william c. rhodes iii
,,,not found,,paul pressler
,,,not found,,marc rowan
,,,mr. dongchen  cai,,jeff harmening
,,,not found,,edward d. shirley
,,,not found,,scott d. farmer
,,,mr. yongdong  peng,,seiuemon inaba
,,,not found,,daniel p. amos
,,,not found,,
,,,not found,,
,,,not found,,jeff lawson
,,,mr. ke xing  huang,,
,,,mr. ruiwen  sun,,chung eui-sun
,,,not found,,satoru komiya
,,,mr. bin  mo,,alan d. schnitzer
,,,not found,,
,,,not found,,george nakayama
,,,not found,,jean jereissati
,,,mr. xuguang  tan,,hua yu lu
,,,mr. mark  wall m.b.a.,,henry r. kravis
,,,not found,,ola rollen
,,,mr. yang  sun,,david layton
,,,not found,,michael d. mckee
,,,not found,,richard h lenny
,,,mr. john v. oyler,,gang pan
,,,not found,,he xiaopeng
,,,not found,,gao guofu
,,,not found,,michael h. mcgarry
,,,not found,,andy bechtolsheim
,,,not found,,michael ball
,,,ms. joey  wat,,david gibbs
,,,not found,,russell girling
,,,not found,,wang shi
,,,not found,,low choon seng
,,,not found,,john cassaday
,,,not found,,richard kinder
,,,not found,,peter vanacker
,,,not found,,ryuichi isaka
,,,mr. maksymilian  swiniarski,,tatsuo yasunaga
,,,mr. marek lech tyminski,,juan ricardo luciano
,,,not found,,david r. brennan
,,,dr. jã¶rg  reichert,,roberto egydio setubal
,,,dr. christoph  bronnimann,,lian dong zhang
,,,mr. ewald  burgener,,
,,,dr. pietro p. supino,,michael wilson
,,,not found,,
,,,mr. eric  frey,,kong qingwei
,,,not found,,
,,,mr. marcel  pawlicek,,joerg wolle
,,,dr. frank  hilgers,,
,,,not found,,david s. congdon
,,,mr. lorenz  wyss,,kenneth j. bacon
,,,not found,,john h. hammergren
,,,not found,,
,,,not found,,blake moret
,,,mr. daniel  ducrey,,
,,,not found,,jeff green
,,,mr. holger  laubenthal,,
,,,not found,,
,,,not found,,jeffrey stoops
,,,mr. dieter  schlosser,,chen hong
,,,not found,,gao yingxin
,,,not found,,
,,,mr. armin  brun,,
,,,mr. hanspeter  rhyner,,borje ekholm
,,,not found,,
,,,mr. paolo  buzzi,,
,,,not found,,lawrence f. probst iii
,,,mr. michael  schumacher,,bob frenzel
,,,mr. lukas  winkler,,dong mingzhu
,,,not found,,
,,,mr. jeremy d. thigpen,,ronald logue
,,,not found,,
,,,mr. jean-paul  clozel m.d.,,irene lee
,,,prof. gustavo  mã¶ller-hergt,,gunnar bjorklund
,,,not found,,
,,,mr. mark  dixon,,
,,,not found,,thomas g. maheras
,,,mr. julian diaz gonzalez,,jun qi li
,,,"dr. markus  blocher dipl. chem., dr. sc. nat., ph.d.",,antti herlin
,,,mr. matthias  reinhart,,
,,,mr. peter c. spuhler,,shui qing lin
,,,not found,,olaug svarva
,,,mr. daniel  salzmann,,jay chaudhry
,,,not found,,james h. herbert
,,,not found,,masatsugu nagato
,,,dr. achim  von leoprechting,,
,,,dr. zeno markus staub ph.d.,,jan craps
,,,mr. johan  andersson,,kim beom-su
,,,mr. jacob  karlsson,,abhinav chatterjee
,,,mr. per  avander,,w. nicholas howley
,,,mr. andreas  stenbã¤ck,,judy marks
,,,not found,,thomas j. wilson
,,,not found,,
,,,mr. tomas  blomquist,,
,,,ms. maria  redin,,greg c. garland
,,,mr. henrik  larsson-lyon,,
,,,mr. thomas  widstrand,,
,,,mr. tomas  carlsson,,yasutake tango
,,,mr. jonas  wistrom m.sc.,,pietro carlo padoan
,,,mr. ola  ringdahl,,james cracchiolo
,,,mr. alberto  zanata,,sari baldauf
,,,mr. anders  lindqvist,,gordon ritter
,,,not found,,thomas j. mcinerney
,,,not found,,robert f. spoerry
,,,mr. christer  wahlquist,,rodney mcmullen
,,,mr. fredrik  wester,,"james c. collins, jr."
,,,mr. staffan  dahlstrom,,
,,,mr. patrik  andersson,,john riccitiello
,,,mr. johan  skoglund,,
,,,mr. jon  heimer,,jun young-hyun
,,,mr. jonas  gustavsson,,brandon boze
,,,mr. joacim  lindoff,,
,,,mr. jã¶rgen  wigh m.sc. econ.,,wong kan seng
,,,mr. mattias  johansson,,kwok tak seng
,,,mr. max  strandwitz,,
,,,mr. henrik  blomquist,,scott a. satterlee
,,,ms. sofie  bennsten,,timothy j naughton
,,,mr. juan  vargues,,luiz carlos trabuco cappi
,,,not found,,
,,,not found,,lars rasmussen 
,,,mr. erik  gatenholm,,german larrea mota-velasco
,,,not found,,horst julius pudwill
,,,mr. jesper  gã¶ransson,,matthew prince
,,,mr. christoph  michalski m.sc (econ.),,ron nersesian
,,,mr. anders  nygren,,guo wensan
,,,mr. gustaf  salford,,patrick gallagher
,,,not found,,bertrand boudewijn kan
,,,mr. ole kristian jodahl,,stelios papadopoulos
,,,mr. nils helge george carlsson,,yoshimitsu kobayashi
,,,mr. anders hede jensen,,alan s. armstrong
,,,not found,,ronald j. mittelstaedt
,,,mr. pehr  oscarson,,donald r. horton
,,,not found,,e. james ferland
,,,mr. pontus  bodelsson,,jacob kam
,,,mr. peter  wallin,,
,,,mr. per  wallentin,,sam zell
,,,mr. sven  kristensson,,mihn tsao
,,,not found,,tom linebarger
,,,not found,,joel s. marcus
,,,mr. pal  warolin,,greg carmichael
,,,mr. jon  sintorn,,scott g. stephenson
,,,ms. annacarin  grandin,,lars renstrom
,,,mr. thomas  ekman,,
,,,mr. kristofer  tonstrã¶m,,gabriele galateri di genola
,,,mr. olof  andersson,,peter thiel
,,,mr. simon  ostergaard,,joseph w. gorder
,,,not found,,david a. hager
,,,mr. henri  de sauvage-nolting,,tang yong
,,,mr. patrik  andersson,,john h tyson
,,,mr. lars hã¸jgã¥rd hansen,,liang wengen
,,,mr. adam  schatz,,david zapico
,,,mr. anko  van der werff,,auttapol rerkpiboon
,,,mr. martin  kunz,,william d. anderson
,,,mr. hermann  haraldsson,,
,,,mr. pontus  lindwall,,"ernie garcia, iii"
,,,mr. jens  mathiesen,,
,,,ms. susanne  bruce,,leon topalian
,,,not found,,
,,,ms. bodil sonesson gallon,,mark begor
,,,mr. henrik  hjalmarsson,,yu cheng
,,,ms. karin  nilsson,,
,,,mr. jörgen  larsson,,bhavesh v. patel
,,,mr. fredrik  tiberg,,mark pigott
,,,not found,,wendell p. weeks
,,,mr. magnus  rosã©n,,jay adair
,,,mr. conny  ryk,,daniel hendrix
,,,mr. jorgen  rosengren,,richard tsai ming hsing
,,,mr. marcus  landelin,,john l. thornton
,,,mr. fredrik  olsson,,thomas peterffy
,,,not found,,thomas schmidheiny
,,,mr. otto  drakenberg,,
,,,not found,,stefan persson
,,,dr. martin  welschof ph.d.,,tatsuya tanaka
,,,mr. magnus  nordin,,
,,,not found,,jose antonio tazon
,,,ms. carola  laven,,jian wei zhang
,,,mr. martin  krantz,,richard h. auchinleck
,,,mr. kenneth  lundahl,,ahmed yahia al idrissi
,,,mr. lars  wollung,,lawson whiting
,,,mr. elias  georgiadis,,chang zhenming
,,,mr. andreas  elgaard,,mr. hennigan
,,,mr. anders  valdemarsson,,
,,,not found,,parag agarwal
,,,ms. johanna  rastad,,"macon f. brock, jr."
,,,mr. sã¸ren  tulstrup,,
,,,not found,,peter j. smith
,,,mr. gurmo  endale,,arkadiy dobkin
,,,not found,,karl kurz
,,,not found,,patrick loh
,,,not found,,wolfgang porsche
,,,mr. jorgen  andersson,,norman mbazima
,,,mr. fredrik  skarp,,
,,,mr. simon  petren,,
,,,not found,,
,,,mr. nils  olsson,,charles ditmars lake
,,,mr. roland  kasper,,jonathan m. jaffe
,,,mr. christoffer  abramson,,
,,,not found,,zhang zhichao
,,,mr. mattias  carlsson,,salvador gabarro serra
,,,mr. martin  ellis,,
,,,not found,,
,,,mr. axel  berntsson,,ernst tanner
,,,mr. mattias  ankarberg,,ray r. irani
,,,mr. gustaf  hagman,,shuichi ishibashi
,,,mr. mark  jensen,,zhu hexin
,,,"mr. jeppe ovli ovlesen ee, mba",,george w. buckley
,,,mr. christian  sundin,,joseph r. nolan jr.
,,,mr. karl-christian  fredrikson,,xiang li
,,,mr. magnus  johansson,,chen yanshun
,,,not found,,gale e. klappa
,,,not found,,
,,,mr. stefan  olander,,todd mckinnon
,,,not found,,johan torgeby
,,,mr. sonny  mirborn,,
,,,not found,,kevin burke
,,,"dr. jarl ulf jungnelius m.d., ph.d.",,ping liu
,,,not found,,rick r. holley
,,,not found,,kenji sukeno
,,,mr. erik  stenfors,,
,,,not found,,adam foroughi
,,,dr. johan  lof,,
,,,mr. peter  ãsberg,,
,,,mr. johan  steene,,itaru tanimura
,,,not found,,
,,,mr. lennart  eberleh,,raminder singh gujral
,,,mr. fredrik  ruden,,hans linnarson
,,,mr. peter  nilsson,,kenji yasukawa
,,,not found,,
,,,mr. tim  thurn,,
,,,mr. vladislav  suglobov,,sergio p. ermotti
,,,mr. hans  carlsson,,tiao-kuei huang
,,,mr. jonas  hasselberg,,alexander wynaendts
,,,mr. daniel  krook,,guo ming sun
,,,mr. richard  lind,,kelcy l. warren
,,,mr. per-anders  tammerlov,,jianjun zhang
,,,ms. jenny  sjodahl,,r. david hoover
,,,mr. jean-luc  desire,,toshiaki takagi
,,,mr. magnus  eriksson,,
,,,"mr. casimir  lindholm m.b.a., m.sc., m.sc. (econ.), mba",,chung eui-sun
,,,mr. gã¶ran  malmberg,,ronnie leten
,,,mr. markus  granlund,,lee ka-shing
,,,not found,,robert glen goldstein
,,,"mr. karl jonas lindvall b. sc p. eng, meb",,
,,,dr. martin  edlund,,donald e morel jr
,,,not found,,michael rechsteiner
,,,mr. peter  andersson,,carl hess
,,,dr. jonas  jarvius ph.d.,,christian buhl
,,,not found,,ririek adriansyah
,,,mr. andreas  andersson,,dev ittycheria
,,,mr. jan  wahlstrom,,
,,,not found,,
,,,mr. lars  corneliusson,,jose antonio fernandez
,,,not found,,steve rendle
,,,not found,,michael r. klein
,,,not found,,michael a. smith
,,,"mr. christer  fahraeus b.sc. maths, h.c., msc bio eng, ph.d.",,r. jeffrey orr
,,,mr. sven  lindstrã¶m,,
,,,mr. krister  widstrom,,dan gilbert
,,,mr. daniel  wikberg,,sumitaka fujita
,,,mr. anders  rylander,,bert nordberg
,,,"dr. steve  dawson p.eng., b.eng, m.a.sc., ph.d., p.eng, fimeche",,silvio napoli
,,,not found,,
,,,mr. philipp  mathieu,,simon israel
,,,mr. johan  kyllerman,,juan roig
,,,not found,,kenneth m. woolley
,,,not found,,bjorn wahlroos
,,,not found,,hironari tomioka
,,,mr. christian  krichau,,david l kyle
,,,not found,,alan campbell
,,,not found,,
,,,mr. kristoffer  cassel,,steven h. collis
,,,mr. sven  uthorn,,stewart butterfield
,,,mr. robert  rosenzweig,,keith a. macphail
,,,ms. therese  filmersson,,bin jiang
,,,mr. richard  paxman,,kent masters
,,,mr. sture  nilsson,,j. thomas hill
,,,not found,,g. andrea botta
,,,not found,,felipe bayon
,,,not found,,robert flexon
,,,not found,,xing ming zhu
,,,mr. anders  persson,,
,,,not found,,adam h. schechter
,,,not found,,
,,,not found,,
,,,mr. fredrik  palm,,stan hung
,,,not found,,barry diller
,,,not found,,jian rong ma
,,,not found,,
,,,not found,,robert j. druten
,,,mr. anders  storm,,masatoshi kimata
,,,not found,,galen g. weston
,,,mr. david  andreasson,,jiang wang
,,,not found,,jeffrey ettinger
,,,mr. hosni  teque-omeirat,,
,,,ms. marie  bengtsson,,
,,,"mr. carl adam rosenblad l.l.b., ll.b. m.sc, m.sc, m.sc.",,neal patterson
,,,not found,,
,,,mr. marten  hellberg,,khalid bin saleh al-sultan
,,,ms. hanna ernestam wilkman,,john a. edwardson
,,,mr. ulrich  boyer,,michael o grady
,,,mr. niels  buus,,
,,,mr. joachim  samuelsson,,dan springer
,,,not found,,
,,,mr. daniel  hasselberg,,shen rujun
,,,lazlo  megyeri,,gary kelly
,,,mr. johan  dighed,,john b. hess
,,,mr. tony  andersson,,dr. john c. malone
,,,not found,,christopher b. begley
,,,not found,,c. howard nye
,,,mr. fredrik  ekstrom,,david cornhill
,,,not found,,al-suwaidi
,,,mr. jonas  jegerborn,,jean houde
,,,mr. jorgen  nilsson,,
,,,mr. robin  gustafsson,,hai ying jun yancey
,,,ms. asa landen ericsson,,sachin bansal
,,,not found,,ji xin zou
,,,mr. jonas  dahlstrom,,chen jianhua
,,,not found,,manish sharma
,,,not found,,francis s. blake
,,,mr. mikhail  damrin,,
,,,mr. nikolaj  sã¸rensen,,
,,,not found,,yoshihiro (zen) suzuki
,,,mr. bo  kjellberg,,
,,,not found,,d. james bidzos
,,,not found,,margaret m. keane
,,,mr. matti  vikkula m.sc. (econ.),,richard j. tobin
,,,not found,,
,,,not found,,
,,,not found,,
,,,not found,,yasir bin othman al-rumayyan
,,,mr. gudmundur  palmason,,clay b siegall
,,,dr. bradley  messmer ph.d.,,veli-matti reinikkala
,,,not found,,hisahiro koketsu
,,,not found,,
,,,not found,,
,,,mr. john  vestberg,,d.g. macpherson
,,,not found,,
,,,mr. robin  stenman,,li ka-shing
,,,ms. karin  fischer,,maffei. greg
,,,not found,,
,,,ms. helena  skarle,,hal lawton
,,,mr. torsten  helsing,,bernhard merki
,,,mr. thomas  warthoe,,
,,,not found,,matthew t. farrell
,,,mr. goran  janson,,
,,,ms. inna  braverman,,alan g
,,,mr. per  ottosson,,tufano
,,,mr. erik  oldmark,,
,,,not found,,robert f. maclellan
,,,mr. simon  grant,,liu hualong
,,,not found,,robert j. lawless
,,,not found,,gao yingxin
,,,not found,,dallas b. tanner
,,,mr. per-olof  persson,,arnold w. donald
,,,mr. karl kristian bergman jensen vd,,liam k. griffin
,,,not found,,masaaki tanaka
,,,not found,,li ning
,,,mr. mats  victorin,,fujio mitarai
,,,mr. martin  du hane,,satoru matsuzaki
,,,dr. thomas  olin ph.d.,,jose maria alvarez-pallete lopez
,,,mr. fredrik  sjã¶holm,,
,,,"prof. ola s. winqvist m.d., ph.d.",,min kao
,,,ms. ingrid  hã¶ã¶g,,koei tsuge
,,,ms. lena w. jansson,,takahisa takahara
,,,not found,,haruhiko kusunose
,,,not found,,
,,,mr. mats  thideman,,
,,,not found,,eric li
,,,not found,,
,,,not found,,h. eric bolton jr.
,,,mr. william  cronin,,thomas e. hoaglin
,,,mr. hã¥kan  sigfridsson,,chen long
,,,not found,,
,,,not found,,greg maffei
,,,not found,,daniel miguel klabin
,,,not found,,michael r. cannon
,,,mr. will  martin,,pedro j. pizarro
,,,ms. anna  eskhult,,edward rogers
,,,not found,,steve e. rendle
,,,ms. emma  kallqvist,,james c. smith
,,,not found,,maurici lucena betriu
,,,mr. mats  rã¶nngard,,
,,,not found,,ramani ayer
,,,not found,,beth e. mooney
,,,ms. susanne  torrbacka,,michitaka sawada
,,,not found,,henrik poulsen
,,,mr. lars  almquist,,yong dong peng
,,,not found,,yozo shimano
,,,ms. catharina jz johansson,,axel lehmann 
,,,mr. fredrik  westman,,
,,,not found,,david harquail
,,,mr. lars reidar vold-andersen,,chuan hui lin
,,,mr. magnus  hultman,,chien nan lin
,,,not found,,
,,,not found,,ravi ahuja
,,,not found,,calvin grieder 
,,,not found,,
,,,mr. roberto garcã­a martã­nez,,herb henkel
,,,not found,,timothy d. armour
,,,ms. maria  carrasco,,
,,,not found,,shu jie mao
,,,not found,,tan sri dato sri zamzamzairani mohd isa
,,,not found,,yamini rangan
,,,mr. frank  schuil,,jose ignacio goirigolzarri
,,,ms. kristina  lindhe,,
,,,mr. stefan  wallerman,,charles d. mccrary
,,,mr. matthias  stadelmeyer,,
,,,not found,,hidetoshi shibata
