,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
22,ivan menezes,uk,doll_1.04 b,doll_91.73 m,doll_1.23 b,diageo,"28,025",doll_18.200 m,consumer defensive
23,jakob stausholm,uk,doll_1.15 b,doll_93.79 m,doll_1.17 b,rio tinto group,"49,000",doll_63.495 m,basic materials
24,dame emma walmsley,uk,doll_1.17 b,doll_91.77 m,doll_1.1 b,glaxosmithkline,"99,000",doll_44.655 m,healthcare
25,michel doukeris,belgium,doll_1.63 b,doll_1.37 b,doll_1.09 b,anheuser-busch inbev,"164,000",doll_54.304 m,consumer defensive
26,alexey miller,russia,doll_93.96 m,doll_69.57 m,doll_1.08 b,gazprom,"473,800",doll_168.300 m,energy
27,jean-pascal tricoire,france,doll_57.46 m,doll_79.86 m,doll_1.07 b,schneider electric,"166,025",doll_31.853 m,power equipment
28,guillaume faury,netherlands,doll_1.17 b,doll_85.68 m,doll_1.05 b,airbus,"125,888",doll_57.468 m,industries
29,oliver bate,germany,doll_1.06 b,doll_1.01 b,doll_1.03 b,allianz se,"150,269",doll_114.040 m,financial services
30,belen garijo,germany,doll_52.67 m,doll_74.31 m,doll_1.02 b,merck kgaa o.n.,"58,408",doll_21.695 m,healthcare
31,francois-henri pinault,france,doll_84.01 m,doll_90.43 m,doll_1.01 b,kering,"38,553",doll_19.445 m,consumer cyclical
32,pablo isla,spain,doll_1.11 b,doll_99.77 m,doll_98.66 m,inditex (industria de diseno textil),"144,116",doll_27.708 m,consumer cyclical
33,bernard looney,uk,doll_1.29 b,doll_70.5 m,doll_97.62 m,bp p.l.c.,"60,000",doll_157.740 m,energy
34,timotheus hottges,germany,doll_78.32 m,doll_87.24 m,doll_92.03 m,deutsche telekom ag,"226,291",doll_119.890 m,communication services
35,jean-laurent bonnafe,france,doll_74.76 m,doll_65.49 m,doll_90.46 m,bnp paribas,"190,000",0 million usd,financial services
36,anders opedal,norway,doll_67.45 m,doll_54.55 m,doll_89.92 m,equinor asa,"21,245",doll_88.744 m,energy
37,jack bowles,uk,doll_1.01 b,doll_84.67 m,doll_89.47 m,british american tobacco,"55,000",doll_33.620 m,consumer defensive
38,ola kallenius,germany,doll_61.3 m,doll_75.29 m,doll_89.41 m,mercedec benz group ag,"288,481",doll_203.830 m,consumer cyclical
39,francesco milleri,france,doll_66.78 m,doll_67.82 m,doll_89.05 m,essilor luxottica,"151,017",doll_21.842 m,healthcare
40,evan g. greenberg,switzerland,doll_70.06 m,doll_69.47 m,doll_86.66 m,chubb,"31,000",doll_40.963 m,financial services
41,nick hayek jr.,switzerland,doll_14.54 m,doll_14.07 m,doll_85.63 m,swatch group ag,"32,424",doll_7.774 m,consumer cyclical
42,jerome lambert,switzerland,doll_45.1 m,doll_51.8 m,doll_84.5 m,compagnie financiere richemont sa,"34,760",doll_19.915 m,consumer cyclical
43,francois jackow,france,doll_70.86 m,doll_77.18 m,doll_84.26 m,air liquide,"67,000",doll_25.714 m,basic materials
44,herman gref,russia,doll_90.33 m,doll_78.88 m,doll_83.76 m,sberbank of russia,"285,555",0 million usd,financial services
45,bernd montag,germany,doll_47.67 m,doll_55.39 m,doll_81.18 m,siemens healthineers ag,"52,000",doll_19.833 m,healthcare
46,francesco starace,italy,doll_82.06 m,doll_1.02 b,doll_79.77 m,enel,"66,438",doll_94.862 m,utilities
47,frank appel,germany,doll_47.72 m,doll_61.11 m,doll_78.47 m,deutsche post ag,"571,974",doll_90.085 m,industries
48,mats rahmstrom,sweden,doll_49.33 m,doll_59.44 m,doll_78.38 m,atlas copco ab,"40,000",doll_11.646 m,industries
49,johan forssell,sweden,doll_43.99 m,doll_55.42 m,doll_77.33 m,investor ab (publ),"20,054",doll_5.459 m,financial services
50,bjorn rosengren,switzerland,doll_53.28 m,doll_58.23 m,doll_76.04 m,abb,"105,000",doll_28.945 m,industries
51,igor sechin,russia,doll_78.0 m,doll_56.47 m,doll_75.44 m,rosneft oil company,"315,000",doll_78.849 m,energy
52,pieter van der,netherlands,doll_24.98 m,doll_70.24 m,doll_75.41 m,adyen,"1,750",doll_6.606 m,technology
53,thomas buberl,france,doll_68.46 m,doll_56.64 m,doll_74.59 m,axa,"96,595",doll_111.660 m,financial services
54,jose ignacio sanchez galan,spain,doll_63.05 m,doll_86.56 m,doll_72.1 m,iberdrola,"45,000",doll_43.104 m,utilities
55,bernard charles,france,doll_42.9 m,doll_53.31 m,doll_71.22 m,dassault systemes,"19,789",doll_5.356 m,technology
56,gary nagle,switzerland,doll_42.02 m,doll_42.45 m,doll_70.87 m,glencore,"134,878",doll_203.750 m,basic materials
57,,germany,doll_54.03 m,doll_56.77 m,doll_70.5 m,bayerische motoren werke (bmw),"120,726",doll_111.210 m,consumer cyclical
58,leonid viktorovich mikhelson,russia,doll_61.32 m,doll_51.53 m,doll_69.39 m,novatek,"16,821",doll_10.411 m,energy
59,,germany,doll_70.79 m,doll_72.39 m,doll_68.99 m,basf se,"110,302",doll_86.615 m,basic materials
60,soren skou,denmark,doll_28.03 m,doll_41.97 m,doll_68.83 m,a.p. moller - maersk a/s,"80,000",doll_61.787 m,industries
61,mario greco,switzerland,doll_62.11 m,doll_61.9 m,doll_67.91 m,zurich insurance group ag,"52,930",doll_65.801 m,financial services
62,craig arnold,ireland,doll_39.31 m,doll_47.89 m,doll_66.91 m,eaton corporation,"85,947",doll_19.628 m,industries
63,ralph hamers,switzerland,doll_46.42 m,doll_51.21 m,doll_66.67 m,ubs group ag,"71,551",0 million usd,financial services
64,carlos tavares,netherlands,0,doll_47.53 m,doll_64.8 m,stellantis n.v,"189,512",doll_164.660 m,automobile
65,benedetto vigna,italy,doll_42.03 m,doll_57.57 m,doll_62.96 m,ferrari,"4,556",doll_4.706 m,consumer cyclical
66,laxman narasimhan,uk,doll_57.94 m,doll_63.48 m,doll_62.3 m,reckitt benckiser group,"43,000",doll_17.323 m,consumer defensive
67,jose antonio alvarez,spain,doll_71.79 m,doll_54.04 m,doll_61.02 m,banco santander,"191,189",0 million usd,financial services
68,martin lundstedt,sweden,doll_35.34 m,doll_48.1 m,doll_60.84 m,ab volvo,"95,850",doll_39.083 m,industries
69,xavier huillard,france,doll_64.25 m,doll_55.69 m,doll_60.65 m,vinci,"217,731",doll_55.080 m,industries
70,alexandre ricard,france,doll_47.44 m,doll_49.85 m,doll_60.06 m,pernod ricard,"18,500",doll_8.821 m,consumer defensive
71,duncan wanblad,uk,doll_39.78 m,doll_45.19 m,doll_59.39 m,anglo american,"90,000",doll_41.554 m,basic materials
72,reinhard ploss,germany,doll_29.41 m,doll_49.72 m,doll_59.35 m,infineon technologies ag,"50,288",doll_12.188 m,technology
73,vagit alekperov,russia,doll_66.23 m,doll_45.54 m,doll_59.25 m,pjsc lukoil,"101,000",doll_110.010 m,energy
74,kurt sievers,netherlands,doll_35.77 m,doll_44.48 m,doll_58.86 m,nxp semiconductors,"31,000",doll_11.063 m,technology
75,erik engstrom,uk,doll_48.35 m,doll_47.2 m,doll_58.74 m,relx,"33,500",doll_9.482 m,communication services
76,pierre-alain ruffieux,switzerland,doll_27.31 m,doll_47.28 m,doll_57.62 m,lonza group,"16,218",doll_5.750 m,healthcare
77,steven van rijswijk,netherlands,doll_47.99 m,doll_36.66 m,doll_56.18 m,ing group,"57,000",0 million usd,financial services
78,rolf habben jansen,germany,doll_15.14 m,doll_19.67 m,doll_55.99 m,hapag-lloyd,"14,100",doll_24.545 m,industries
79,michael strugl,austria,doll_17.61 m,doll_29.55 m,doll_55.64 m,verbund ag,"2,980",doll_4.776 m,utilities
80,paul schuler,switzerland,doll_26.54 m,doll_38.36 m,doll_55.61 m,sika ag,"24,848",doll_9.835 m,basic materials
81,,russia,0,0,doll_55.25 m,open joint stock company omz,,387 million usd,industries
82,kasper rorsted,germany,doll_64.44 m,doll_70.75 m,doll_54.84 m,adidas,"62,285",doll_23.400 m,consumer cyclical
83,werner baumann,germany,doll_78.08 m,doll_57.61 m,doll_54.46 m,bayer,"99,538",doll_48.577 m,healthcare
84,olivier andries,france,doll_65.79 m,doll_60.28 m,doll_54.38 m,safran,"76,800",doll_16.677 m,industries
85,carlo messina,italy,doll_46.65 m,doll_45.19 m,doll_53.95 m,intesa sanpaolo,"105,615",doll_22.427 m,financial services
86,david schwimmer,uk,doll_35.74 m,doll_43.3 m,doll_53.54 m,london stock exchange group,"24,158",doll_8.823 m,financial services
87,jens bjorn andersen,denmark,doll_26.45 m,doll_37.87 m,doll_52.51 m,dsv panalpina,"56,000",doll_26.981 m,industries
88,john pettigrew,uk,doll_43.27 m,doll_41.83 m,doll_52.12 m,national grid transco,"23,683",doll_21.730 m,utilities
89,terrence curtin,switzerland,doll_32.39 m,doll_40.04 m,doll_51.74 m,te connectivity,"89,000",doll_14.293 m,technology
90,claudio descalzi,italy,doll_56.98 m,doll_37.26 m,doll_51.73 m,eni s.p.a.,"31,495",doll_84.380 m,energy
91,,germany,doll_8.12 m,doll_19.63 m,doll_51.38 m,biontech se,"1,941",doll_18.970 m,healthcare
92,charlie nunn,uk,doll_58.76 m,doll_35.3 m,doll_51.0 m,lloyds banking group,"61,576",0 million usd,financial services
93,lance uggla,uk,doll_30.14 m,doll_37.88 m,doll_50.25 m,ihs markit,"16,000",doll_1.860 m,industries
94,frank vang-jensen,finland,doll_34.48 m,doll_32.84 m,doll_49.61 m,nordea bank abp,"28,051",0 million usd,financial services
95,charles f. lowrey,uk,doll_50.49 m,doll_47.9 m,doll_49.34 m,prudential,"18,687",doll_26.500 m,financial services
96,christian sinding,sweden,doll_11.6 m,doll_24.26 m,doll_48.28 m,eqt ab (publ),"1,160",150 million usd,financial services
97,,uk,0,doll_5.82 m,doll_6.54 m,f&c investment trust,,doll_1.275 m,investments
98,c. s. venkatakrishnan,uk,doll_42.11 m,doll_34.7 m,doll_47.53 m,barclays plc,"83,000",0 million usd,financial services
99,simon a borrows,uk,doll_13.98 m,doll_27.38 m,doll_47.3 m,3i group,282,doll_4.882 m,financial services
100,vladimir potanin,russia,doll_49.7 m,doll_51.12 m,doll_47.23 m,mmc norilsk nickel,"75,901",doll_17.852 m,basic materials
101,mads nipper,denmark,doll_43.38 m,doll_85.75 m,doll_46.81 m,orsted a/s,"6,429",doll_11.496 m,utilities
102,philippe brassac,france,doll_42.59 m,doll_36.63 m,doll_46.25 m,credit agricole,"73,037",0 million usd,financial services
103,gilles andrier,switzerland,doll_29.03 m,doll_38.53 m,doll_46.06 m,givaudan sa,"16,842",doll_7.105 m,basic materials
104,kevin p. clark,ireland,doll_24.59 m,doll_35.18 m,doll_45.84 m,aptiv,"151,000",doll_15.618 m,consumer cyclical
105,jean-marc chery,switzerland,doll_24.83 m,doll_33.64 m,doll_45.43 m,stmicroelectronics,"48,254",doll_13.249 m,technology
106,,ireland,0,doll_34.43 m,doll_44.96 m,trane technologies plc,"37,000",doll_14.136 m,industry machinery
107,joachim wenning,germany,doll_42.93 m,doll_41.42 m,doll_43.18 m,munchener ruckversicherungs-gesellschaft,"39,642",doll_76.540 m,financial services
108,nick read,uk,doll_51.93 m,doll_44.23 m,doll_43.01 m,vodafone group,"105,000",doll_53.685 m,communication services
109,daniel ek,sweden,doll_26.47 m,doll_59.66 m,doll_42.83 m,spotify technology,"6,617",doll_10.654 m,communication services
110,brian cassin,ireland,doll_30.29 m,doll_34.83 m,doll_42.82 m,experian,"17,800",doll_6.288 m,industries
111,rolf eberhard buch,germany,doll_29.36 m,doll_41.17 m,doll_41.88 m,vonovia se,"10,622",doll_3.622 m,real estate
112,onur genc,spain,doll_38.37 m,doll_33.03 m,doll_41.59 m,banco bilbao vizcaya argentaria,"110,432",0 million usd,financial services
113,dominic blakemore,uk,doll_40.78 m,doll_33.25 m,doll_41.11 m,compass group,"478,070",doll_23.442 m,consumer cyclical
114,albert manifold,ireland,doll_32.17 m,doll_32.39 m,doll_41.04 m,crh plc,"79,200",doll_30.981 m,basic materials
115,veronique penchienati bosetta,switzerland,doll_53.72 m,doll_42.54 m,doll_40.8 m,danone,"101,911",doll_26.758 m,consumer defensive
116,ola rollen,sweden,doll_21.6 m,doll_33.33 m,doll_40.65 m,hexagon ab (publ),"20,532",doll_4.784 m,technology
117,david layton,switzerland,doll_24.32 m,doll_31.21 m,doll_40.54 m,partners group holding ag,"1,519",doll_2.688 m,financial services
118,david j. endicott,switzerland,doll_27.56 m,doll_32.95 m,doll_39.77 m,alcon,"23,655",doll_8.291 m,healthcare
119,peter vanacker,finland,doll_27.03 m,doll_55.32 m,doll_39.11 m,neste oyj,"4,825",doll_16.693 m,energy
120,aiman ezzat,france,doll_20.9 m,doll_25.02 m,doll_38.88 m,capgemini se,"289,501",doll_20.012 m,technology
121,joachim kreuzburg,germany,doll_15.44 m,doll_28.67 m,doll_38.53 m,sartorius stedim biotech,"9,016",doll_3.180 m,healthcare
122,benoit bazin,france,doll_22.56 m,doll_24.2 m,doll_38.48 m,compagnie de saint-gobain,"167,552",doll_48.664 m,ceramic products
123,kevin murphy,uk,doll_20.27 m,doll_27.34 m,doll_38.47 m,ferguson,"34,352",doll_22.792 m,industries
124,dr. detlef trefzger,switzerland,doll_20.31 m,doll_27.53 m,doll_38.47 m,kuehne + nagel international ag,"78,249",doll_34.867 m,industries
125,johan thijs,belgium,doll_31.91 m,doll_29.06 m,doll_38.02 m,kbc group nv,"33,916",0 million usd,financial services
126,alison rose,uk,doll_39.39 m,doll_27.81 m,doll_37.79 m,natwest group,"59,900",0 million usd,banking services
127,borje ekholm,sweden,doll_30.75 m,doll_39.84 m,doll_37.52 m,ericsson,"101,322",doll_24.393 m,technology
128,dimitri de vreeze,netherlands,doll_23.05 m,doll_29.57 m,doll_37.19 m,dsm,"23,127",doll_9.201 m,basic materials
129,jean-bernard levy,france,doll_34.93 m,doll_48.66 m,doll_37.06 m,edf (electricite de france),"20,477",doll_93.076 m,utilities
130,henrik ehrnrooth,finland,doll_33.92 m,doll_41.95 m,doll_36.77 m,kone oyj,"61,380",doll_11.586 m,industries
131,brendan horgan,uk,doll_14.38 m,doll_21.12 m,doll_36.7 m,ashtead group,"19,386",doll_7.962 m,industries
132,kjerstin braathen,norway,doll_29.97 m,doll_30.19 m,doll_36.68 m,dnb asa,"9,200",0 million usd,financial services
133,catherine macgregor,france,doll_39.78 m,doll_36.85 m,doll_36.44 m,engie,"171,000",doll_63.768 m,utilities
134,carsten knobel,germany,doll_42.23 m,doll_44.56 m,doll_35.83 m,henkel ag,"52,600",doll_22.113 m,consumer defensive
135,andrea orcel,italy,doll_33.73 m,doll_20.84 m,doll_35.78 m,unicredit,"90,836",doll_18.591 m,financial services
136,pekka lundmark,finland,doll_22.29 m,doll_21.77 m,doll_35.65 m,nokia corporation,"87,927",doll_24.467 m,technology
137,stefan widing,sweden,doll_25.71 m,doll_30.54 m,doll_35.19 m,sandvik ab,"37,125",doll_10.406 m,industries
138,frans muller,netherlands,doll_27.66 m,doll_29.47 m,doll_35.06 m,ahold delhaize,"232,000",doll_83.312 m,consumer defensive
139,leonhard birnbaum,germany,doll_24.33 m,doll_28.78 m,doll_34.94 m,e.on se,"78,126",doll_77.335 m,utilities
140,kristian villumsen,denmark,doll_26.32 m,doll_32.46 m,doll_34.56 m,coloplast a/s,"12,568",doll_2.875 m,healthcare
141,tobias martinez gimeno,spain,doll_14.07 m,doll_29.1 m,doll_34.19 m,cellnex telecom,"2,877",doll_2.437 m,communication services
142,nico delvaux,sweden,doll_28.63 m,doll_27.21 m,doll_33.27 m,assa abloy ab (publ),"48,000",doll_9.976 m,industries
143,frans van houten,netherlands,doll_44.27 m,doll_48.97 m,doll_33.23 m,philips,"81,592",doll_17.151 m,healthcare
144,philippe donnet,italy,doll_32.61 m,doll_27.26 m,doll_33.23 m,assicurazioni generali,"72,644",doll_92.763 m,financial services
145,bhavesh v. patel,netherlands,doll_31.31 m,doll_30.61 m,doll_32.48 m,lyondellbasell industries,"19,200",doll_46.173 m,basic materials
146,,germany,0,0,doll_2.89 m,software aktiengesellschaft,,833 million usd,technology
147,jan jenisch,switzerland,doll_21.64 m,doll_33.81 m,doll_32.1 m,holcim ltd,"67,409",doll_28.525 m,basic materials
148,helena helmersson,sweden,doll_35.1 m,doll_38.48 m,doll_32.08 m,h & m hennes & mauritz ab,"153,000",doll_20.892 m,consumer cyclical
149,luis maroto,spain,doll_35.21 m,doll_32.66 m,doll_31.94 m,amadeus it group,"19,000",doll_2.942 m,technology
150,lakshmi mittal,luxembourg,doll_18.12 m,doll_24.56 m,doll_31.73 m,arcelormittal,"167,743",doll_76.571 m,basic materials
151,guillaume daniellot,switzerland,doll_15.5 m,doll_18.35 m,doll_31.43 m,straumann holding ag,"7,340",doll_2.148 m,healthcare
152,hans dieter potsch,germany,doll_23.57 m,doll_21.03 m,doll_31.39 m,porsche automobil holding se,916,0 million usd,consumer cyclical
153,,france,doll_29.86 m,doll_17.46 m,doll_31.34 m,societe generale,"152,050",0 million usd,financial services
154,francisco miguel reynes massanet,spain,doll_24.67 m,doll_22.39 m,doll_31.14 m,naturgy energy group,"10,540",doll_24.398 m,utilities
155,florent menegaux,france,doll_21.98 m,doll_22.79 m,doll_31.13 m,michelin,"117,500",doll_26.222 m,consumer cyclical
156,benoit coquart,france,doll_21.99 m,doll_23.76 m,doll_31.08 m,legrand sa,"36,726",doll_7.707 m,industries
157,dieter weisskopf,switzerland,doll_21.06 m,doll_23.24 m,doll_31.02 m,chocoladefabriken lindt & sprungli ag,"13,500",doll_4.874 m,consumer defensive
158,johan torgeby,sweden,doll_21.83 m,doll_22.34 m,doll_30.55 m,skandinaviska enskilda banken ab (publ.),"15,500",0 million usd,financial services
159,theodor weimer,germany,doll_29.11 m,doll_31.1 m,doll_30.35 m,deutsche borse,"7,238",doll_4.899 m,financial services
160,ken murphy,uk,doll_33.0 m,doll_30.99 m,doll_30.11 m,tesco,"367,321",doll_72.299 m,consumer defensive
161,gerteric lindquist,sweden,doll_10.36 m,doll_16.71 m,doll_29.79 m,nibe industrier ab (publ),"18,700",doll_3.237 m,industries
162,christian mumenthaler,switzerland,doll_32.4 m,doll_26.02 m,doll_29.68 m,swiss re,"13,189",doll_46.001 m,financial services
163,christian sewing,germany,doll_16.86 m,doll_22.72 m,doll_29.52 m,deutsche bank,"84,512",doll_25.306 m,financial services
164,helena hedblom,sweden,doll_15.36 m,doll_21.32 m,doll_29.02 m,epiroc ab (publ),"13,840",doll_4.163 m,industries
165,urs schaeppi,switzerland,doll_27.46 m,doll_27.66 m,doll_28.91 m,swisscom ag,"19,062",doll_11.888 m,communication services
166,carl hess,uk,doll_25.97 m,doll_27.15 m,doll_28.85 m,willis towers watson public company,"46,600",doll_8.998 m,financial services
167,christian buhl,switzerland,doll_20.34 m,doll_22.68 m,doll_28.74 m,geberit ag,"11,908",doll_3.678 m,industries
168,nancy mckinstry,netherlands,doll_19.59 m,doll_22.07 m,doll_28.49 m,wolters kluwer,"19,169",doll_5.258 m,communication services
169,stephane richard,france,doll_39.29 m,doll_31.51 m,doll_28.2 m,orange s.a,"142,150",doll_46.859 m,communication services
170,henrik andersen,denmark,doll_19.45 m,doll_46.28 m,doll_28.08 m,vestas wind systems a/s,"29,378",doll_17.177 m,industries
171,thomas oetterli,switzerland,doll_26.59 m,doll_29.32 m,doll_28.05 m,schindler holding ag,"66,674",doll_11.944 m,industries
172,martin carlesund,sweden,doll_5.79 m,doll_21.44 m,doll_27.95 m,evolution gaming group ab (publ),"5,054",doll_1.177 m,consumer cyclical
173,torbjorn magnusson,finland,doll_24.58 m,doll_23.38 m,doll_27.89 m,sampo oyj,"9,813",doll_14.823 m,financial services
174,edmond scanlon,ireland,doll_22.02 m,doll_28.63 m,doll_27.28 m,kerry group,"26,000",doll_8.100 m,consumer defensive
175,stephan sturm,germany,doll_37.79 m,doll_30.28 m,doll_27.03 m,fresenius se,"311,269",doll_41.347 m,healthcare
176,peter jackson,ireland,doll_20.13 m,doll_36.06 m,doll_26.93 m,flutter entertainment,"14,802",doll_7.901 m,consumer cyclical
177,dolf van den brink,netherlands,doll_27.8 m,doll_26.96 m,doll_26.89 m,heineken holding,"84,000",doll_24.179 m,consumer defensive
178,markus krebber,germany,doll_18.74 m,doll_28.47 m,doll_26.49 m,rwe,"19,498",doll_24.519 m,utilities
179,damian paul gammell,uk,doll_23.65 m,doll_22.09 m,doll_26.44 m,coca-cola europacific partners plc,"33,200",doll_15.167 m,consumer defensive
180,michael o'leary,ireland,doll_18.41 m,doll_25.37 m,doll_26.29 m,ryanair holdings,"15,016",doll_4.799 m,industries
181,markus rauramo,finland,doll_22.07 m,doll_21.31 m,doll_26.2 m,fortum oyj,"19,933",doll_123.860 m,utilities
182,daniel julien,france,doll_14.38 m,doll_20.52 m,doll_26.04 m,teleperformance se,"383,233",doll_7.841 m,industries
183,magdalena martullo-blocher,switzerland,doll_15.33 m,doll_22.33 m,doll_25.92 m,ems-chemie holding ag,"2,653",doll_2.339 m,basic materials
184,antoine frerot,france,doll_15.15 m,doll_13.79 m,doll_25.9 m,veolia environnement,"171,450",doll_28.500 m,industries
185,jose maria alvarez-pallete lopez,spain,doll_37.1 m,doll_20.75 m,doll_25.32 m,telefonica sa,"114,042",doll_43.283 m,communication services
186,,ireland,doll_14.14 m,doll_14.25 m,doll_25.07 m,kingspan group,"15,500",doll_7.160 m,industries
187,nigel wilson,uk,doll_24.02 m,doll_21.72 m,doll_24.97 m,legal & general group,"13,876",doll_58.239 m,financial services
188,maurici lucena betriu,spain,doll_28.41 m,doll_25.97 m,doll_24.61 m,aena s.m.e,"8,771",doll_2.554 m,industries
189,cees 't hart,denmark,doll_21.86 m,doll_23.42 m,doll_24.43 m,carlsberg a/s,"40,010",doll_9.862 m,consumer defensive
190,thomas gottstein,switzerland,doll_33.89 m,doll_31.6 m,doll_24.38 m,credit suisse group,"48,770",0 million usd,financial services
191,niklas oestberg,germany,doll_14.97 m,doll_30.81 m,doll_24.27 m,delivery hero se,"22,000",doll_5.853 m,online food delivery
192,frankie ng,switzerland,doll_20.84 m,doll_23.99 m,doll_24.21 m,sgs sa,"94,000",doll_6.809 m,industries
193,vicente reynal,ireland,doll_14.76 m,doll_19.03 m,doll_24.17 m,ingersoll-rand (ireland),"15,900",doll_5.150 m,industries
194,johan hjertonsson,sweden,doll_10.22 m,doll_15.44 m,doll_24.17 m,investment ab latour (publ),,doll_1.950 m,financial services
195,gonzalo gortazar rotaeche,spain,doll_19.26 m,doll_15.29 m,doll_24.07 m,caixabank,"36,597",0 million usd,financial services
196,,uk,doll_24.67 m,doll_21.51 m,doll_24.02 m,bae systems,"90,500",doll_25.553 m,industries
197,philip jansen,uk,doll_26.3 m,doll_17.93 m,doll_23.73 m,bt group,"99,700",doll_24.558 m,communication services
198,jan g. j. van de winkel,denmark,doll_14.47 m,doll_26.5 m,doll_23.7 m,genmab a/s,781,doll_1.255 m,healthcare
199,,germany,doll_23.66 m,doll_18.94 m,doll_23.68 m,hannover ruck se,"3,073",doll_28.844 m,financial services
200,alistair phillips-davies,uk,doll_19.8 m,doll_21.37 m,doll_23.67 m,sse plc,"12,489",doll_10.139 m,utilities
201,,uk,doll_10.63 m,doll_24.44 m,doll_23.53 m,scottish mortgage investment trust,,doll_-2.986 m,financial services
202,dan carestio,ireland,doll_12.9 m,doll_16.17 m,doll_23.49 m,steris,"13,000",doll_4.584 m,healthcare
203,jose d. bogas galvez,spain,doll_28.36 m,doll_28.81 m,doll_23.4 m,endesa,"9,591",doll_23.031 m,utilities
204,frank mastiaux,germany,doll_15.77 m,doll_18.47 m,doll_23.39 m,enbw energie baden-wurttemberg ag,"23,293",doll_32.138 m,utilities
205,vincent warnery,germany,doll_27.1 m,doll_26.09 m,doll_23.05 m,beiersdorf,"20,465",doll_8.405 m,consumer defensive
206,arnd kaldowski,switzerland,doll_14.55 m,doll_16.59 m,doll_23.02 m,sonova holding ag,"14,508",doll_3.492 m,healthcare
207,jens henriksson,sweden,doll_17.39 m,doll_19.52 m,doll_22.82 m,swedbank ab (publ),"17,373",0 million usd,financial services
208,magnus groth,sweden,doll_23.83 m,doll_22.9 m,doll_22.55 m,essity ab (publ),"46,000",doll_12.796 m,consumer defensive
209,steve cutler,ireland,doll_9.09 m,doll_10.29 m,doll_22.37 m,icon public company,"37,960",doll_5.480 m,healthcare
210,timothy p walbert,ireland,doll_6.72 m,doll_16.14 m,doll_22.27 m,horizon therapeutics public company,"1,395",doll_3.226 m,healthcare
211,amanda blanc,uk,doll_21.92 m,doll_17.47 m,doll_22.11 m,aviva,"31,700",doll_43.116 m,financial services
212,carina akerstrom,sweden,doll_22.58 m,doll_20.17 m,doll_22.07 m,svenska handelsbanken ab (publ),"22,000",0 million usd,financial services
213,george g. weston,uk,doll_26.62 m,doll_24.51 m,doll_22.07 m,associated british foods,"128,000",doll_18.174 m,consumer defensive
