,name,world_rank,marketvalue,marketcap,ceo,country
51,astrazeneca,71,doll_178.120 b ,doll_181.450 b ,,uk
52,the charles schwab corporation,72,doll_173.440 b ,doll_137.540 b ,charles r. schwab,usa
53,hermes international,73,doll_172.040 b ,doll_155.710 b ,,france
54,linde ag,74,doll_171.940 b ,doll_162.340 b ,,uk
55,nextera energy,75,doll_169.550 b ,doll_164.770 b ,james l robo,usa
56,lowe's companies,76,doll_169.170 b ,doll_141.940 b ,marvin ellison,usa
57,texas instruments,77,doll_165.720 b ,doll_176.730 b ,thomas j engibous,usa
58,union pacific corporation,78,doll_163.790 b ,doll_141.410 b ,lance m. fritz,usa
59,bhp group,79,doll_162.910 b ,doll_167.240 b ,,australia
60,chevron corporation,41,doll_241.020 b ,doll_187.140 b ,mike wirth,usa
61,pepsico,42,doll_240.690 b ,doll_216.150 b ,ramon l. laguarta,usa
62,abbott laboratories,43,doll_239.710 b ,doll_224.030 b ,robert ford,usa
63,netflix,44,doll_239.660 b ,doll_251.920 b ,reed hastings,usa
64,tata group,44,44,,ratan n tata,india
65,thermo fisher scientific,45,doll_239.220 b ,doll_219.270 b ,marc n. casper,usa
66,abbvie,46,doll_238.450 b ,doll_213.440 b ,richard a. gonzalez,usa
67,costco wholesale corporation,47,doll_237.760 b ,doll_201.360 b ,hamilton e. james,usa
68,accenture,48,doll_234.500 b ,doll_213.430 b ,pierre nanterme,ireland
69,oracle corporation,49,doll_233.690 b ,doll_249.740 b ,larry ellison,usa
70,sap se,80,doll_162.540 b ,doll_178.440 b ,hasso plattner,germany
71,toronto-dominion bank,90,doll_144.320 b ,doll_118.220 b ,brian m. levitt,canada
72,petrochina company,91,doll_143.700 b ,doll_128.700 b ,dai houliang,china
73,christian dior,92,doll_143.380 b ,doll_139.230 b ,pietro beccari,france
74,agricultural bank of china,81,doll_160.760 b ,doll_160.550 b ,gu shu,china
75,intuit,82,doll_160.710 b ,doll_154.690 b ,suzanne nora johnson,usa
76,meituan dianping,83,doll_160.510 b ,doll_201.890 b ,wang xing,china
77,royal bank of canada,84,doll_159.750 b ,doll_146.400 b ,david i. mckay,canada
78,advanced micro devices (amd),85,doll_159.410 b ,doll_134.300 b ,hector de j. ruiz,usa
79,sony corporation,86,doll_156.010 b ,doll_129.060 b ,kenichiro yoshida,japan
80,philip morris international,87,doll_154.340 b ,doll_160.530 b ,jacek olczak,usa
81,ping an insurance (group) company of china,88,doll_150.120 b ,doll_145.860 b ,peter ma,china
82,honeywell international,89,doll_148.530 b ,doll_160.110 b ,,usa
83,shopify,93,doll_143.340 b ,doll_190.100 b ,tobias albin lutke,canada
84,keyence corporation,94,doll_142.420 b ,doll_148.070 b ,yu nakata,japan
85,medtronic,95,doll_141.390 b ,doll_179.590 b ,geoff martha,ireland
86,bristol-myers squibb company,96,doll_139.460 b ,doll_148.570 b ,dr. caforio,usa
87,siemens,97,doll_138.710 b ,doll_131.560 b ,,germany
88,totalenergies se,98,doll_138.010 b ,doll_117.070 b ,,france
89,cvs health corporation,99,doll_137.540 b ,doll_114.000 b ,david w. dorman,usa
90,novo nordisk a/s,50,doll_231.350 b ,doll_229.040 b ,helge lund,denmark
91,comcast corporation,51,doll_228.670 b ,doll_278.500 b ,brian l. roberts,usa
92,verizon communications,52,doll_227.690 b ,doll_227.710 b ,hans vestberg,usa
93,salesforce.com,53,doll_224.880 b ,doll_259.700 b ,marc benioff,usa
94,reliance industries,54,doll_220.760 b ,doll_214.910 b ,,india
95,paypal holdings,55,doll_220.420 b ,doll_339.180 b ,john j. donahoe,usa
96,wells fargo & company,56,doll_218.380 b ,doll_187.660 b ,steven black,usa
97,intel corporation,57,doll_217.340 b ,doll_219.320 b ,patrick p. gelsinger,usa
98,danaher corporation,58,doll_211.280 b ,doll_231.420 b ,rainer m. blair,usa
99,merck & co,59,doll_202.830 b ,doll_193.120 b ,kenneth c. frazier,usa
100,unilever group,100,doll_137.220 b ,doll_145.300 b ,,netherlands
101,t-mobile us,101,doll_137.070 b ,doll_172.090 b ,timotheus hottges,usa
102,bank of china,102,doll_135.640 b ,doll_129.970 b ,liu liange,china
103,blackrock,103,doll_135.550 b ,doll_144.120 b ,laurence d,usa
104,schwarz group,103,103,103,,germany
105,raytheon technologies corporation,104,doll_135.370 b ,doll_127.810 b ,gregory j. hayes,usa
106,american express company,105,doll_135.070 b ,doll_131.840 b ,stephen j. squeri,usa
107,volkswagen,106,doll_134.250 b ,doll_147.140 b ,,germany
108,applied materials,107,doll_134.000 b ,doll_122.010 b ,thomas j. iannotti,usa
109,hsbc holdings,108,doll_132.940 b ,doll_108.530 b ,,uk
110,the goldman sachs group,109,doll_132.600 b ,doll_139.390 b ,david solomon,usa
111,wuliangye yibin,110,doll_132.390 b ,doll_120.940 b ,zeng congqin,china
112,citi group,111,doll_130.530 b ,doll_145.750 b ,john c. dugan,usa
113,china mobile,112,doll_130.510 b ,doll_127.770 b ,yang jie,china
114,amgen,113,doll_128.030 b ,doll_128.070 b ,robert a. bradway,usa
115,youtube,113,113,113,,usa
116,estee lauder companies,114,doll_127.760 b ,doll_123.020 b ,william p. lauder,usa
117,boeing company,115,doll_126.650 b ,doll_128.660 b ,,usa
118,sanofi,116,doll_126.370 b ,doll_130.900 b ,,france
119,starbucks corporation,117,doll_126.200 b ,doll_138.530 b ,howard schultz,usa
120,commonwealth bank of australia,118,doll_125.770 b ,doll_132.470 b ,,australia
121,aia group,119,doll_125.620 b ,doll_147.550 b ,lee yuan siong,hong kong
122,diageo,120,doll_123.290 b ,doll_112.110 b ,,uk
123,american tower corporation (reit),121,doll_121.400 b ,doll_133.740 b ,james d. taiclet jr.,usa
124,caterpillar,122,doll_121.270 b ,doll_115.440 b ,jim umpleby,usa
125,ibm,123,doll_120.850 b ,doll_125.790 b ,,usa
126,rio tinto group,124,doll_116.980 b ,doll_121.550 b ,,uk
127,deere & company,125,doll_116.400 b ,doll_118.130 b ,john c. may,usa
128,intuitive surgical,126,doll_115.850 b ,doll_125.360 b ,craig h. barratt ,usa
129,hdfc bank,127,doll_114.330 b ,doll_121.600 b ,,india
130,prologis,128,doll_113.660 b ,doll_99.902 b ,hamid moghadam,usa
131,servicenow,129,doll_112.710 b ,doll_127.500 b ,fred luddy,usa
132,general electric company,130,doll_111.350 b ,doll_115.700 b ,,usa
133,target corporation,131,doll_110.570 b ,doll_120.540 b ,navneet kapoor,usa
134,glaxosmithkline,132,doll_110.320 b ,doll_102.500 b ,,uk
135,china life insurance company,133,doll_109.770 b ,doll_105.170 b ,yang mingsheng,china
136,anheuser-busch inbev,134,doll_109.500 b ,doll_123.700 b ,,belgium
137,charter communications,135,doll_109.450 b ,doll_150.120 b ,thomas m. rutledge,usa
138,gazprom,136,doll_108.150 b ,doll_102.610 b ,viktor zubkov,russia
139,s&p global,137,doll_107.670 b ,doll_106.960 b ,richard e. thornburgh,usa
140,schneider electric,138,doll_107.120 b ,doll_100.250 b ,,france
141,ingram micro,139,139,139,,usa
142,vanguard group,139,139,,tim buckley,usa
143,conocophillips company,140,doll_106.360 b ,doll_74.359 b ,ryan lance,usa
144,jd.com,141,doll_106.000 b ,doll_122.680 b ,richard qiangdong liu,china
145,micron technology,142,doll_105.800 b ,doll_82.968 b ,robert e. switz,usa
146,anthem,143,doll_105.580 b ,doll_91.462 b ,elizabeth e. tallett,usa
147,airbnb,144,doll_105.510 b ,doll_97.433 b ,brian chesky,usa
148,airbus,145,doll_105.090 b ,doll_108.800 b ,,netherlands
149,koch industries,145,145,145,charles g. koch,usa
150,bytedance,145,145,145,zhang yiming,china
151,sea limited,146,doll_104.350 b ,doll_181.990 b ,forrest li,singapore
152,3m company,147,doll_103.700 b ,doll_112.680 b ,mike roman,usa
153,allianz se,148,doll_103.280 b ,doll_97.559 b ,,germany
154,infosys,149,doll_102.720 b ,doll_101.040 b ,,india
155,merck kgaa o.n.,150,doll_102.500 b ,doll_103.430 b ,,germany
156,nippon telegraph and telephone corporation,151,doll_101.570 b ,doll_98.171 b ,satoshi miura,japan
157,ntt docomo,152,doll_101.260 b ,doll_97.019 b ,motoyuki ii,japan
158,kering,153,doll_101.130 b ,doll_101.460 b ,,france
159,automatic data processing (adp),154,doll_100.640 b ,doll_88.441 b ,arthur f. weinbach,usa
160,booking holdings,155,doll_99.972 b ,doll_94.424 b ,robert j. mylod jr,usa
161,zoetis,156,doll_99.872 b ,doll_97.222 b ,juan ramón alaix,usa
162,stryker corporation,157,doll_99.429 b ,doll_104.490 b ,kevin a. lobo,usa
163,lockheed martin corporation,158,doll_99.322 b ,doll_100.260 b ,marillyn hewson,usa
164,inditex (industria de diseno textil),159,doll_98.655 b ,doll_106.260 b ,marta ortega,spain
165,ford motor company,160,doll_97.668 b ,doll_52.052 b ,william clay ford jr.,usa
166,bp p.l.c.,161,doll_97.619 b ,doll_83.106 b ,,uk
167,csl,162,doll_97.072 b ,doll_104.100 b ,,australia
168,al rajhi banking and investment corporation,163,doll_94.931 b ,doll_81.675 b ,abdullah bin sulaiman,saudi arabia
169,robert bosch,163,163,163,stefan hartung,germany
170,the pnc financial services group,164,doll_94.557 b ,doll_81.216 b ,jim rohr,usa
171,saudi basic industries corporation (sabic),165,doll_94.398 b ,doll_99.468 b ,abdulaziz saleh aljarbou,saudi arabia
172,lam research corporation,166,doll_94.235 b ,doll_85.857 b ,abhijit y. talwalkar,usa
173,mondelez international,167,doll_94.230 b ,doll_86.888 b ,dirk van de put,usa
174,byd company,168,doll_92.257 b ,doll_111.350 b ,wang chuanfu,china
175,deutsche telekom ag,169,doll_92.028 b ,doll_100.940 b ,,germany
176,snowflake,170,doll_91.792 b ,doll_90.118 b ,frank slootman,usa
177,altria group,171,doll_91.427 b ,doll_92.628 b ,mr. farrell,usa
178,audi ag,171,171,doll_82.150 b ,,germany
179,deloitte,171,171,171,punit renjen,uk
180,bnp paribas,172,doll_90.457 b ,doll_81.165 b ,,france
181,u.s. bancorp,173,doll_90.451 b ,doll_85.088 b ,andrew cecere,usa
182,general motors company,174,doll_90.407 b ,doll_71.149 b ,mary barra,usa
183,cargill,174,174,174,,usa
184,recruit holdings,175,doll_90.237 b ,doll_96.041 b ,masumi minegishi,japan
185,brookfield asset management,176,doll_89.968 b ,doll_87.110 b ,frank mckenna,canada
186,equinor asa,177,doll_89.918 b ,doll_69.062 b ,marit arnstad,norway
187,british american tobacco,178,doll_89.470 b ,doll_86.485 b ,,uk
188,mercedec benz group ag,179,doll_89.412 b ,doll_89.843 b ,,germany
189,gilead sciences,180,doll_89.387 b ,doll_91.252 b ,daniel oday,usa
190,essilor luxottica,181,doll_89.047 b ,doll_87.399 b ,,france
191,the tjx companies,182,doll_88.726 b ,doll_87.449 b ,ernie herrman,usa
192,analog devices,183,doll_88.697 b ,doll_87.571 b ,vincent roche,usa
193,bank of nova scotia,184,doll_87.963 b ,doll_75.020 b ,brian j. porter,canada
194,tokyo electron limited,185,doll_87.398 b ,doll_67.213 b ,tetsuo tsuneishi,japan
195,canadian national railway company,186,doll_87.195 b ,doll_83.116 b ,robert pace,canada
196,truist financial corporation,187,doll_86.768 b ,doll_76.165 b ,william h. “bill” rogers jr,usa
197,moderna,188,doll_86.710 b ,doll_152.050 b ,stephane bancel,usa
198,chubb,189,doll_86.661 b ,doll_80.693 b ,evan g. greenberg,switzerland
199,swatch group ag,190,doll_85.629 b ,doll_72.635 b ,nayla hayek,switzerland
200,midea group,191,doll_85.137 b ,doll_72.414 b ,fang hongbo,china
201,sherwin-williams company,192,doll_84.747 b ,doll_79.957 b ,john g. morikis,usa
202,pricewaterhousecoopers,193,193,193,sanjeev krishan,uk
203,compagnie financiere richemont sa,194,doll_84.500 b ,doll_62.283 b ,jerome lambert,switzerland
204,air liquide,195,doll_84.264 b ,doll_84.795 b ,,france
205,crown castle international corporation,196,doll_84.163 b ,doll_84.373 b ,landis martin,usa
206,sberbank of russia,197,doll_83.756 b ,doll_101.810 b ,sergey ignatiev,russia
207,csx corporation,198,doll_83.196 b ,doll_73.339 b ,michael j. ward,usa
208,blackstone group,199,doll_82.928 b ,doll_89.938 b ,stephen a. schwarzman,usa
209,allergan,200,200,200,brenton l. saunders,ireland
210,marsh & mclennan companies,200,doll_82.707 b ,doll_79.642 b ,,usa
211,publix,200,200,200,ed crenshaw,usa
212,enbridge,201,doll_82.219 b ,doll_79.749 b ,al monaco,canada
213,softbank group,202,doll_81.219 b ,doll_111.870 b ,masayoshi son,japan
214,siemens healthineers ag,203,doll_81.178 b ,doll_78.575 b ,,germany
215,cme group,204,doll_80.879 b ,doll_72.445 b ,terrence a. duffy,usa
216,uber technologies,205,doll_80.534 b ,doll_73.753 b ,ronald sugar,usa
217,duke energy corporation,206,doll_80.396 b ,doll_80.519 b ,"james e. rogers, jr.",usa
218,national commercial bank,207,doll_79.842 b ,doll_73.057 b ,michael lee-chin,saudi arabia
219,life insurance corporation of india,207,,,,india
220,enel,208,doll_79.770 b ,doll_93.913 b ,michele crisostomo,italy
221,psbc (postal savings bank of china),209,doll_79.132 b ,doll_73.135 b ,lv jiajin,china
222,china yangtze power,210,doll_78.971 b ,doll_67.612 b ,ming shan lei,china
223,mitsubishi ufj financial group,211,doll_78.838 b ,doll_70.953 b ,hironori kamezawa,japan
224,deutsche post ag,212,doll_78.472 b ,doll_86.161 b ,,germany
225,reliance jio,212,212,,,india
226,hca healthcare,213,doll_78.443 b ,doll_80.990 b ,thomas frist iii,usa
227,atlas copco ab,214,doll_78.380 b ,doll_81.730 b ,mats rahmstrom,sweden
228,china petroleum & chemical corporation (sinopec),215,doll_77.722 b ,doll_74.987 b ,dai houliang,china
229,investor ab (publ),216,doll_77.328 b ,doll_76.632 b ,jacob wallenberg,sweden
230,cigna corporation,217,doll_77.282 b ,doll_71.984 b ,h edward hanway,usa
231,illinois tool works,218,doll_77.256 b ,doll_73.343 b ,e. scott santi,usa
232,atlassian corporation,219,doll_76.763 b ,doll_92.469 b ,shona brown,australia
233,edwards lifesciences corporation,220,doll_76.356 b ,doll_73.042 b ,michael a mussallem,usa
234,hindustan unilever,221,doll_76.085 b ,doll_89.838 b ,,india
235,rivian automotive inc,221,doll_76.220 b ,"2,707",robert joseph scaringe,usa
236,abb,222,doll_76.037 b ,doll_74.202 b ,morten wierod,switzerland
237,rosneft oil company,223,doll_75.445 b ,doll_71.568 b ,gerhard schroder,russia
238,adyen,224,doll_75.414 b ,doll_95.554 b ,,netherlands
239,intercontinental exchange,225,doll_75.074 b ,doll_67.314 b ,jeffrey c. sprecher,usa
240,axa,226,doll_74.588 b ,doll_67.669 b ,antoine gosset-grainville,france
241,bank of montreal,227,doll_73.370 b ,doll_64.522 b ,george a cope,canada
242,icici bank,228,doll_73.325 b ,doll_69.454 b ,,india
243,hong kong exchanges and clearing (hkex),229,doll_73.044 b ,doll_81.454 b ,laura cha,hong kong
244,hangzhou hikvision digital technology,230,doll_72.956 b ,doll_74.514 b ,chen zongnian,china
245,sk hynix,231,doll_72.832 b ,doll_63.866 b ,lee seok-hee,south korea
246,the southern company,232,doll_72.745 b ,doll_69.597 b ,david m. ratcliffe,usa
247,becton dickinson and company,233,doll_72.444 b ,doll_72.286 b ,edward j. ludwig,usa
248,norfolk southern corporation,234,doll_72.227 b ,doll_62.617 b ,charles moorman,usa
249,foshan haitian flavouring and food company,235,doll_72.144 b ,doll_58.797 b ,pang kang,china
250,iberdrola,236,doll_72.100 b ,doll_78.478 b ,jose ignacio sanchez galan,spain
251,fiserv,237,doll_71.853 b ,doll_78.001 b ,frank bisignano,usa
252,vale sa,238,doll_71.751 b ,doll_95.523 b ,jose luciano duarte penido,brazil
253,fidelity national information services,239,doll_71.635 b ,doll_78.922 b ,gary a. norcross,usa
254,shin-etsu chemical,240,doll_71.309 b ,doll_69.588 b ,chihiro kanagawa,japan
255,dassault systemes,241,doll_71.224 b ,doll_74.752 b ,,france
256,colgate-palmolive company,242,doll_71.170 b ,doll_66.104 b ,noel r. wallace,usa
257,glencore,243,doll_70.870 b ,doll_60.237 b ,,switzerland
258,bayerische motoren werke (bmw),244,doll_70.505 b ,doll_61.301 b ,,germany
259,canadian pacific railway,245,doll_70.397 b ,doll_45.872 b ,andrew reardon,canada
260,ernst & young,245,245,245,,uk
261,marvell technology group,246,doll_70.128 b ,doll_50.396 b ,rick hill,bermuda
262,pinduoduo,247,doll_70.059 b ,doll_125.350 b ,colin huang zheng,china
263,fedex corporation,248,doll_69.949 b ,doll_70.724 b ,raj subramaniam,usa
264,equinix,249,doll_69.777 b ,doll_76.000 b ,peter van camp,usa
265,novatek,250,doll_69.387 b ,doll_73.220 b ,,russia
266,moody's corporation,251,doll_69.229 b ,doll_70.899 b ,raymond w. mcdaniel,usa
267,"lucid group, inc.",252,doll_69.115 b ,doll_32.308 b ,andrew liveris,usa
268,national australia bank,253,doll_69.038 b ,doll_69.046 b ,,australia
269,basf se,254,doll_68.991 b ,doll_70.978 b ,,germany
270,a.p. moller - maersk a/s,255,doll_68.834 b ,doll_53.954 b ,soren skou,denmark
271,petroleo brasileiro - petrobras,256,doll_68.812 b ,doll_68.487 b ,roberto castello branco,brazil
272,aldi,256,256,256,,germany
273,kddi corporation,257,doll_68.132 b ,doll_69.533 b ,takashi tanaka,japan
274,longi green energy technology,258,doll_68.086 b ,doll_69.039 b ,baoshen zhong,china
275,zurich insurance group ag,259,doll_67.906 b ,doll_65.651 b ,tom de swaan,switzerland
276,waste management,260,doll_67.667 b ,doll_65.317 b ,thomas (tom) h . weidemeyer,usa
277,nongfu spring,261,doll_66.972 b ,doll_59.798 b ,,china
278,eaton corporation,262,doll_66.905 b ,doll_67.108 b ,craig arnold,ireland
279,netease,263,doll_66.904 b ,doll_67.760 b ,ding lei,china
280,denso corporation,264,doll_66.747 b ,doll_54.482 b ,koji arima,japan
281,ubs group ag,265,doll_66.672 b ,doll_57.919 b ,colm kelleher,switzerland
282,snap inc,266,doll_66.581 b ,doll_120.340 b ,michael lynton,usa
283,industrial bank,267,doll_66.409 b ,doll_59.705 b ,yiping tao,china
284,america movil,268,doll_66.199 b ,doll_65.350 b ,carlos slim domit,mexico
285,pt bank central asia tbk,269,doll_66.014 b ,doll_56.651 b ,jahja setiaatmadja,indonesia
286,air products and chemicals,270,doll_65.931 b ,doll_59.660 b ,seifi ghasemi,usa
287,ecolab,271,doll_65.873 b ,doll_64.473 b ,"douglas m. baker, jr",usa
288,capital one financial corporation,272,doll_65.839 b ,doll_74.042 b ,richard fairbank,usa
289,nidec corporation,273,doll_65.389 b ,doll_67.613 b ,shigenobu nagamori,japan
290,daikin industries,274,doll_65.363 b ,doll_73.464 b ,noriyuki inoue,japan
291,block inc,275,doll_65.289 b ,doll_123.230 b ,jack dorsey,usa
292,dbs group holdings,276,doll_65.120 b ,doll_57.451 b ,dhanabalan,singapore
293,whatsapp,276,276,276,,usa
294,china shenhua energy company,277,doll_64.993 b ,doll_57.673 b ,yang jiping,china
295,dominion energy,278,doll_64.963 b ,doll_62.933 b ,robert m. blue,usa
296,regeneron pharmaceuticals,279,doll_64.927 b ,doll_72.417 b ,leonard schleifer,usa
297,stellantis n.v,280,doll_64.800 b ,doll_62.339 b ,john elkann,netherlands
298,progressive corporation,281,doll_63.805 b ,doll_56.388 b ,peter b. lewis,usa
299,china tourism group duty free corporation limited,282,doll_63.571 b ,doll_69.203 b ,,china
300,mediatek,283,doll_63.350 b ,doll_52.812 b ,ming-kai tsai,taiwan
301,kla corporation,284,doll_63.213 b ,doll_51.924 b ,kenneth levy,usa
302,northrop grumman corporation,285,doll_63.001 b ,doll_58.872 b ,kathy warden,usa
303,ferrari,286,doll_62.961 b ,doll_53.761 b ,john elkann,italy
304,wal-mart de mexico,287,doll_62.573 b ,doll_62.400 b ,eduardo solorzano morales,mexico
305,workday,288,doll_62.560 b ,doll_67.744 b ,chano fernandez,usa
306,shenzhen mindray bio-medical electronics,289,doll_62.482 b ,doll_60.359 b ,,china
307,public storage,290,doll_62.411 b ,doll_56.793 b ,joseph d. russell jr,usa
308,hdfc,291,doll_62.404 b ,doll_68.936 b ,,india
309,aon,292,doll_62.305 b ,doll_64.758 b ,dennis l mahoney,usa
310,reckitt benckiser group,293,doll_62.297 b ,doll_54.780 b ,,uk
311,bajaj finance,294,doll_61.948 b ,doll_63.560 b ,,india
312,freeport-mcmoran,295,doll_61.500 b ,doll_53.423 b ,james r moffett,usa
313,banco santander,296,doll_61.025 b ,doll_63.883 b ,,spain
314,"coinbase global, inc",297,doll_60.847 b ,doll_67.832 b ,brian armstrong,usa
315,ab volvo,298,doll_60.845 b ,doll_56.225 b ,carl-henric svanberg,sweden
316,vinci,299,doll_60.651 b ,doll_63.458 b ,,france
317,pernod ricard,300,doll_60.061 b ,doll_56.418 b ,,france
318,boston scientific corporation,301,doll_60.006 b ,doll_64.287 b ,michael f. mahoney,usa
319,saudi telecom company (stc),302,doll_59.860 b ,doll_72.144 b ,olayan m. alwetaid,saudi arabia
320,anglo american,303,doll_59.386 b ,doll_57.498 b ,,uk
321,infineon technologies ag,304,doll_59.352 b ,doll_55.947 b ,,germany
322,pjsc lukoil,305,doll_59.246 b ,doll_55.821 b ,,russia
323,softbank corp.,306,doll_59.235 b ,doll_63.618 b ,ken miyauchi,japan
324,general dynamics corporation,307,doll_59.220 b ,doll_55.995 b ,nicholas chabraja,usa
325,scentre group,308,doll_59.068 b ,doll_10.700 b ,,australia
326,nxp semiconductors,309,doll_58.859 b ,doll_60.355 b ,kurt sievers,netherlands
327,state bank of india,310,doll_58.772 b ,doll_53.704 b ,,india
328,relx,311,doll_58.743 b ,doll_58.323 b ,,uk
329,xiaomi corporation,312,doll_58.447 b ,doll_82.097 b ,lei jun,china
330,macquarie group,313,doll_116.670 b ,doll_47.650 b ,,australia
331,illumina,314,doll_57.887 b ,doll_71.546 b ,john w. thompson,usa
332,autodesk,315,doll_57.703 b ,doll_68.224 b ,stacy j. smith,usa
333,lonza group,316,doll_57.618 b ,doll_61.909 b ,albert m. baehny,switzerland
334,anz banking group,317,doll_57.484 b ,doll_60.181 b ,,australia
335,eog resources,318,doll_57.432 b ,doll_39.422 b ,ezra yacob,usa
336,china telecom corporation,319,doll_57.142 b ,doll_59.710 b ,mr. ke ruiwen,china
337,westpac banking corporation,320,doll_57.029 b ,doll_69.093 b ,,australia
338,emerson electric company,321,doll_57.002 b ,doll_63.068 b ,lal karsanbhai,usa
339,metlife,322,doll_56.576 b ,doll_53.128 b ,c. robert henrikson,usa
340,vertex pharmaceuticals,323,doll_56.406 b ,doll_51.961 b ,reshma kewalramani,usa
341,shanxi xinghuacun fen wine factory,324,doll_56.401 b ,doll_51.060 b ,,china
342,ing group,325,doll_56.183 b ,doll_53.954 b ,,netherlands
343,hitachi,326,doll_56.145 b ,doll_54.345 b ,toshiaki higashihara,japan
344,hapag-lloyd,327,doll_55.995 b ,doll_40.048 b ,,germany
345,canadian imperial bank of commerce,328,doll_55.942 b ,doll_51.764 b ,katharine stevenson ,canada
346,johnson controls international,329,doll_55.832 b ,doll_53.395 b ,george r. oliver,usa
347,"yihai kerry arawana holdings co., ltd",330,doll_55.655 b ,doll_55.886 b ,,china
348,canadian natural resources,331,doll_55.652 b ,doll_39.058 b ,n. murray edwards,canada
349,verbund ag,332,doll_55.641 b ,doll_38.474 b ,martin ohneberg,austria
350,sika ag,333,doll_55.610 b ,doll_50.743 b ,paul j. halg,switzerland
351,exelon corporation,334,doll_55.412 b ,doll_47.933 b ,frank m. clark,usa
352,open joint stock company omz,335,doll_55.251 b ,doll_46.998 b ,,russia
