02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country,00-avengers-headquarters_country,03-gren-headquarters_country,04-iGMM-headquarters_country
canada,,switzerland,brazil,canada,usa
usa,,japan,china,usa,switzerland
usa,,usa,indonesia,usa,south korea
japan,,india,japan,japan,india
china,,china,uk,china,uk
nasdaq,,uk,india,,india
usa,,india,switzerland,usa,china
china,,usa,south korea,china,usa
usa,,usa,usa,usa,usa
switzerland,,india,china,switzerland,india
south korea,,norway,usa,south korea,france
india,,china,,india,china
uk,,france,china,uk,norway
india,,china,india,india,china
china,,china,usa,china,usa
usa,,taiwan,china,usa,usa
usa,,china,norway,usa,usa
india,,usa,china,india,china
france,,japan,france,france,canada
china,,canada,india,china,japan
norway,,usa,usa,norway,usa
china,,usa,usa,china,china
usa,,usa,china,usa,taiwan
usa,,jersey,usa,usa,jersey
usa,,switzerland,qatar,usa,qatar
china,,israel,jersey,china,china
canada,,france,taiwan,canada,israel
japan,,usa,china,japan,usa
usa,,china,usa,usa,china
china,,china,japan,china,china
taiwan,,canada,canada,taiwan,canada
jersey,,china,china,jersey,switzerland
qatar,,qatar,usa,qatar,france
china,,china,china,china,spain
israel,,japan,japan,israel,japan
usa,,usa,spain,usa,india
china,,mexico,france,china,usa
china,,spain,switzerland,china,mexico
canada,,usa,canada,canada,usa
switzerland,,india,china,switzerland,china
france,,canada,china,france,canada
spain,,china,usa,spain,canada
japan,,canada,israel,japan,china
india,,australia,india,india,australia
usa,,usa,denmark,usa,denmark
mexico,,china,australia,mexico,china
usa,,china,china,usa,japan
china,,china,canada,china,china
canada,,china,canada,canada,china
canada,,china,china,canada,usa
china,,china,usa,china,china
australia,,japan,mexico,australia,china
denmark,,denmark,usa,denmark,china
china,,usa,china,china,china
japan,,china,south korea,japan,south korea
china,,japan,china,china,china
china,,usa,china,china,japan
usa,,usa,china,usa,usa
china,,south korea,china,china,usa
china,,china,usa,china,china
china,,china,china,china,usa
china,,china,china,china,germany
south korea,,germany,japan,south korea,china
china,,usa,china,china,usa
japan,,uk,usa,japan,usa
usa,,saudi arabia,usa,usa,germany
usa,,china,china,usa,
china,,china,germany,china,usa
usa,,usa,usa,usa,china
germany,,not found,china,germany,japan
china,,japan,usa,china,saudi arabia
usa,,usa,usa,usa,uk
usa,,germany,japan,usa,china
germany,,china,germany,germany,china
nasdaq,,china,usa,,usa
usa,,saudi arabia,china,usa,china
china,,canada,china,china,china
japan,,china,uk,japan,china
saudi arabia,,japan,saudi arabia,saudi arabia,china
uk,,china,japan,uk,canada
china,,usa,china,china,saudi arabia
china,,china,usa,china,japan
usa,,china,,usa,china
china,,usa,china,china,china
china,,australia,saudi arabia,china,saudi arabia
china,,china,china,china,south korea
china,,germany,china,china,germany
canada,,usa,japan,canada,australia
saudi arabia,,india,saudi arabia,saudi arabia,china
japan,,china,canada,japan,china
china,,china,china,china,usa
china,,saudi arabia,china,china,india
saudi arabia,,south korea,china,saudi arabia,usa
south korea,,japan,south korea,south korea,japan
germany,,japan,sweden,germany,sweden
australia,,usa,japan,australia,france
china,,china,usa,china,china
china,,brazil,india,china,brazil
usa,,china,usa,usa,usa
india,,china,china,india,usa
usa,,usa,australia,usa,china
japan,,sweden,china,japan,china
sweden,,france,germany,sweden,japan
france,,japan,france,france,japan
china,,south korea,china,china,china
brazil,,australia,japan,brazil,chile
usa,,usa,japan,usa,japan
usa,,austria,china,usa,south africa
china,,south africa,china,china,usa
china,,china,usa,china,austria
japan,,chile,usa,japan,china
japan,,china,brazil,japan,australia
china,,japan,china,china,south korea
chile,,china,chile,chile,china
japan,,belgium,china,japan,china
south africa,,china,china,south africa,usa
usa,,switzerland,south korea,usa,usa
austria,,thailand,australia,austria,thailand
china,,usa,china,china,usa
australia,,china,austria,australia,china
south korea,,usa,usa,south korea,usa
china,,usa,south africa,china,switzerland
china,,usa,japan,china,belgium
usa,,usa,usa,usa,usa
usa,,poland,usa,usa,usa
thailand,,china,usa,thailand,china
usa,,usa,belgium,usa,sweden
china,,australia,switzerland,china,india
usa,,china,usa,usa,poland
switzerland,,india,china,switzerland,australia
belgium,,sweden,usa,belgium,china
usa,,usa,thailand,usa,china
usa,,china,usa,usa,usa
china,,brazil,china,china,brazil
sweden,,australia,usa,sweden,usa
india,,usa,brazil,india,japan
poland,,usa,usa,poland,uk
australia,,uk,china,australia,uk
china,,uk,china,china,brazil
china,,usa,australia,china,usa
usa,,brazil,poland,usa,australia
brazil,,japan,india,brazil,usa
usa,,usa,sweden,usa,usa
japan,,usa,japan,japan,usa
uk,,australia,india,uk guernsey,india
uk,,usa,usa,uk,india
brazil,,usa,usa,brazil,usa
usa,,usa,usa,usa,usa
australia,,usa,australia,australia,usa
usa,,taiwan,usa,usa,usa
usa,,usa,brazil,usa,taiwan
usa,,india,uk,usa,usa
india,,india,"['uk', 'guernsey']",india,australia
india,,thailand,india,india,china
usa,,china,usa,usa,usa
usa,,india,china,usa,japan
usa,,china,australia,usa,usa
usa,,china,usa,usa,usa
taiwan,,usa,taiwan,taiwan,china
usa,,usa,usa,usa,norway
australia,,japan,usa,australia,thailand
china,,norway,usa,china,india
usa,,usa,usa,usa,china
japan,,south korea,japan,japan,india
usa,,france,germany,usa,germany
usa,,china,india,usa,qatar
china,,india,china,china,china
norway,,brazil,india,norway,france
thailand,,israel,thailand,thailand,usa
india,,qatar,norway,india,israel
china,,usa,china,china,south korea
india,,germany,usa,india,japan
germany,,japan,usa,germany,brazil
qatar,,usa,qatar,qatar,new zealand
china,,norway,usa,china,usa
france,,usa,new zealand,france,usa
usa,,japan,brazil,usa,usa
israel,,switzerland,japan,israel,finland
south korea,,new zealand,south korea,south korea,south korea
