,country,market_value_apr_2022,name,revenue_2022
254,china,$15.65 B,country garden holdings,$81.13 B
255,united states,$145.27 B,nextera energy,$23.74 B
256,south korea,$19.29 B,kb financial group,$33.86 B
257,china,$15.36 B,china railway group,$166.46 B
258,united states,$38.75 B,hp,$64.98 B
259,finland,$40.26 B,nordea bank,$13.56 B
260,japan,$39.19 B,seven & i holdings,$78.47 B
261,canada,$46.27 B,suncor energy,$31.21 B
262,united states,$169.72 B,salesforce.com,$26.49 B
263,france,$81.85 B,air liquide,$27.58 B
264,japan,$45.14 B,denso,$49.49 B
265,united states,$35.68 B,bank of new york mellon,$16.09 B
266,united states,$343.27 B,mastercard,$18.88 B
267,brazil,$20.7 B,banco do brasil,$29.54 B
268,united states,$49.2 B,centene,$125.98 B
269,india,$52.3 B,hdfc,$18.48 B
270,united states,$60.97 B,freeport-mcmoran,$24.31 B
271,germany,$82.53 B,"merck kgaa, darmstadt, germany and its affiliates",$23.27 B
272,spain,$26.82 B,caixabank,$14.64 B
273,switzerland,$61.35 B,abb,$28.93 B
274,sweden,$34.7 B,volvo group,$43.36 B
275,united states,$53.05 B,occidental petroleum,$25.96 B
276,united kingdom,$54.88 B,national grid,$20.77 B
277,united states,$47.66 B,mckesson,$257.01 B
278,south korea,$18.17 B,shinhan financial group,$29.27 B
279,netherlands,$247.8 B,asml holding,$20.65 B
280,canada,$57.39 B,nutrien,$27.63 B
281,sweden,$63.51 B,investor ab,$12.81 B
282,south korea,$25.82 B,kia,$61.01 B
283,france,$31.17 B,saint-gobain,$52.2 B
284,denmark,$252.91 B,novo nordisk,$22.38 B
285,south korea,$18.03 B,posco,$66.66 B
286,united kingdom,$116.05 B,diageo,$19 B
287,netherlands,$30.57 B,royal ahold delhaize n.v.,$89.36 B
288,china,$14.37 B,picc,$90.1 B
289,united states,$68.82 B,dominion energy,$13.96 B
290,united states,$41.23 B,kroger,$137.89 B
291,china,$23.35 B,baoshan iron & steel,$55.52 B
292,china,$343.32 B,kweichow moutai,$14.6 B
293,china,$37.03 B,xiaomi,$50.91 B
294,china,$37.67 B,bank of ningbo,$13.71 B
295,colombia,$36.07 B,ecopetrol,$23.43 B
296,united kingdom,$34.94 B,lyondellbasell industries,$46.15 B
297,china,$148.42 B,contemporary amperex technology,$20.14 B
298,italy,$21.62 B,unicredit,$27.79 B
299,united states,$33.25 B,amerisourcebergen,$221.1 B
300,france,$79.45 B,essilorluxottica,$23.43 B
301,spain,$68.15 B,inditex,$32.57 B
302,united states,$89.63 B,starbucks,$30.36 B
303,united states,$43.29 B,nucor,$39.96 B
304,united states,$65.71 B,intercontinentalexchange,$10.15 B
305,united states,$73.7 B,tjx cos,$48.55 B
306,belgium,$29.5 B,kbc group,$14.81 B
307,united kingdom,$25.89 B,tesco,$84.17 B
308,china,$23.25 B,boe technology group,$33.78 B
309,united states,$132.17 B,blackstone,$15.47 B
310,united states,$50.58 B,american electric,$16.62 B
311,australia,$55.44 B,macquarie group,$11.21 B
312,japan,$19.7 B,marubeni,$72.32 B
313,switzerland,$24.7 B,swiss re,$46 B
314,united states,$67.97 B,eog resources,$19.78 B
315,france,$16.12 B,cnp assurances,$51.78 B
316,united states,$93.89 B,automatic data processing,$15.7 B
317,united states,$40.23 B,phillips 66,$111.7 B
318,united states,$33.74 B,tyson foods,$49.52 B
319,spain,$20.8 B,repsol,$58.8 B
320,japan,$20.28 B,sumitomo,$48.22 B
321,switzerland,$30.19 B,holcim,$29.35 B
322,united states,$100.66 B,altria group,$21.11 B
323,united states,$99.65 B,applied materials,$24.15 B
324,germany,$22.61 B,daimler truck holding,$47 B
325,china,$41.33 B,zijin mining group,$37.21 B
326,saudi arabia,$86.46 B,the saudi national bank,$8.63 B
327,switzerland,$69.46 B,richemont,$19.81 B
328,france,$70.75 B,kering,$20.86 B
329,saudi arabia,$29.83 B,saudi electricity,$18.49 B
330,france,$37.97 B,danone,$28.65 B
331,japan,$14.92 B,nippon steel,$57.54 B
332,south korea,$30.55 B,lg chem,$37.26 B
333,united states,$31.69 B,discover financial services,$12.8 B
334,canada,$46.65 B,couche tard,$58.66 B
335,china,$13.28 B,huaxia bank,$26.38 B
336,netherlands,$15.72 B,nn group,$22.38 B
337,united states,$880 M,fannie mae,$100.33 B
338,germany,$20.43 B,fresenius,$44.26 B
339,united states,$85.88 B,marsh & mclennan,$20.33 B
340,united states,$30.97 B,ameriprise financial,$13.89 B
341,united states,$72.63 B,becton dickinson,$19.93 B
342,japan,$20.98 B,panasonic,$65.97 B
343,japan,$16.51 B,ms&ad insurance,$41.89 B
344,japan,$21.71 B,orix,$22.73 B
345,china,$32.19 B,citic securities,$11.74 B
346,united arab emirates,$69.08 B,first abu dhabi bank,$8.25 B
347,canada,$51.83 B,bce,$18.7 B
348,united states,$58.86 B,schlumberger,$23.67 B
349,united states,$159.94 B,texas instruments,$18.34 B
350,indonesia,$50.14 B,bank rakyat indonesia (bri),$12.77 B
351,united kingdom,$19.69 B,standard chartered,$18.88 B
352,ireland,$31.77 B,crh,$31 B
353,china,$15.09 B,bank of beijing,$19.38 B
354,united states,$20.13 B,paramount,$28.59 B
355,china,$17.05 B,bank of jiangsu,$17.9 B
356,united states,$34.51 B,dupont de nemours,$16.65 B
357,china,$27.82 B,gree electric appliances,$27.88 B
358,india,$16.53 B,indian oil,$72.2 B
359,united states,$56.92 B,dollar general,$34.22 B
360,united states,$52.89 B,kraft heinz company,$26.04 B
361,singapore,$20.86 B,wilmar international,$65.84 B
362,united states,$488 M,freddie mac,$62.24 B
363,united states,$20.48 B,hewlett packard enterprise,$27.86 B
364,japan,$30.53 B,japan tobacco,$21.16 B
365,italy,$13.6 B,poste italiane,$37.48 B
366,singapore,$37.99 B,united overseas bank,$8.89 B
367,hong kong,$15.05 B,china unicom,$50.83 B
368,united states,$42.19 B,valero energy,$114 B
369,united states,$75.34 B,csx,$13.12 B
370,denmark,$14.7 B,danske bank,$24.8 B
371,australia,$47.37 B,fortescue metals group,$20.93 B
372,china,$8.69 B,china railway construction,$157.66 B
373,united states,$56.56 B,moderna,$18.4 B
374,australia,$34.61 B,woolworths,$38.84 B
375,china,$26.78 B,anhui conch cement,$26.05 B
376,united states,$193.1 B,adobe,$16.13 B
377,united states,$23.65 B,hartford financial services,$22.39 B
378,united states,$26.04 B,state street,$11.54 B
379,saudi arabia,$119.85 B,al rajhi bank,$6.74 B
380,china,$16.34 B,power construction corporation of china,$70.28 B
381,japan,$57.46 B,shin-etsu chemical,$17.2 B
382,united states,$63.16 B,fiserv,$16.23 B
383,united states,$74.68 B,regeneron pharmaceuticals,$16.07 B
384,japan,$11.38 B,eneos holdings,$90.31 B
385,india,$172.79 B,tata consultancy services,$25.73 B
386,japan,$13.91 B,sompo,$35.67 B
387,austria,$16.24 B,omv group,$42.02 B
388,switzerland,$19.73 B,swiss life holding,$23.54 B
389,china,$14.76 B,bank of shanghai,$15.94 B
390,united states,$119.49 B,american tower,$9.36 B
391,united states,$57.38 B,pioneer natural resources,$17.87 B
392,hong kong,$34.81 B,sun hung kai properties,$10.26 B
393,china,$38.63 B,wanhua chemical group,$22.43 B
394,finland,$27.29 B,sampo,$15.9 B
395,china,$19.42 B,china merchants shekou industrial zone holdings,$23.41 B
396,china,$33.26 B,haier smart home,$35.16 B
397,ireland,$58.35 B,eaton,$19.63 B
398,south korea,$11.99 B,sk,$85.9 B
399,ireland,$44.22 B,johnson controls international,$24.19 B
400,brazil,$17.48 B,jbs,$64.99 B
401,saudi arabia,$60.71 B,saudi telecom,$16.91 B
402,bermuda,$15.89 B,jardine matheson,$35.86 B
403,canada,$86.33 B,canadian national railway,$11.55 B
404,united states,$93.79 B,stryker,$17.11 B
405,finland,$29.66 B,nokia,$26.24 B
406,japan,$22.76 B,mitsubishi electric,$40.34 B
407,japan,$16.36 B,nissan motor,$79.17 B
408,india,$20.42 B,tata steel,$31.07 B
409,netherlands,$23.41 B,heineken,$25.93 B
410,united kingdom,$30.15 B,bae systems,$26.85 B
411,united arab emirates,$83.82 B,etisalat,$14.52 B
412,united kingdom,$23.74 B,bt group,$28.84 B
413,taiwan,$19.63 B,ctbc financial,$14.93 B
414,russia,$38.07 B,novatek,$15.4 B
415,china,$9.36 B,greenland holdings group,$84.53 B
416,germany,$28.86 B,rwe group,$28.99 B
417,japan,$46.78 B,daikin industries,$26.88 B
418,netherlands,$11.76 B,aegon,$26.33 B
419,china,$32.49 B,baidu,$19.31 B
420,sweden,$28.6 B,ericsson,$26.95 B
421,japan,$24.66 B,canon,$31.98 B
422,united states,$22.75 B,lennar,$28.42 B
423,china,$18.84 B,bank of nanjing,$12.17 B
424,netherlands,$26.39 B,philips,$20.28 B
425,united states,$52.47 B,keurig dr pepper,$12.68 B
426,china,$83.05 B,china yangtze power,$8.52 B
427,norway,$34.31 B,dnb bank,$7.79 B
428,united states,$55.6 B,emerson electric,$18.55 B
429,united kingdom,$20.62 B,imperial brands,$22.66 B
430,canada,$104.45 B,boeing,$62.29 B
431,united states,$43.66 B,general mills,$18.63 B
432,india,$31.32 B,axis bank,$11.41 B
433,canada,$24.82 B,national bank of canada,$9 B
434,united states,$94.7 B,the est̩e lauder companies,$17.77 B
435,united kingdom,$20.19 B,cnh industrial,$33.43 B
436,canada,$13.28 B,fairfax financial,$23.57 B
437,germany,$41.08 B,adidas,$25.1 B
438,france,$22.85 B,michelin group,$28.13 B
439,united states,$67.06 B,norfolk southern,$11.14 B
440,united states,$18.25 B,principal financial group,$14.26 B
441,united states,$53.11 B,sempra,$13.06 B
442,finland,$15.64 B,fortum,$132.85 B
443,mexico,$37.88 B,grupo mexico,$14.77 B
444,united states,$25.28 B,d.r. horton,$28.89 B
445,united states,$47.86 B,l3harris technologies,$17.81 B
446,south africa,$40.31 B,naspers,$7.01 B
447,south africa,$18.06 B,standard bank group,$15.9 B
448,canada,$55.95 B,tc energy,$10.48 B
449,russia,$37.75 B,norilsk nickel,$17.81 B
450,spain,$29.75 B,naturgy energy group,$26.17 B
451,canada,$65.39 B,waste management,$17.93 B
452,germany,$28.33 B,henkel,$23.72 B
453,taiwan,$46.45 B,mediatek,$17.66 B
454,japan,$62.03 B,recruit holdings,$24.8 B
455,china,$21.93 B,hengli petrochemical,$30.17 B
456,united states,$40.44 B,xcel energy,$13.37 B
457,united states,$41.92 B,corteva,$15.65 B
458,united states,$19.23 B,synchrony financial,$11.37 B
459,japan,$13.04 B,toyota tsusho,$69.53 B
460,japan,$18.92 B,toyota industries,$23.32 B
461,united kingdom,$204.56 B,astrazeneca,$38.68 B
462,china,$3.18 B,sunac china holdings,$38.49 B
463,china,$2.78 B,china evergrande group,$70.4 B
464,japan,$25.7 B,bridgestone,$29.54 B
465,united arab emirates,$26.14 B,emirates nbd,$8.6 B
466,japan,$15.82 B,daiwa house industry,$38.86 B
467,china,$68.56 B,jd.com,$147.63 B
468,united states,$43.42 B,kinder morgan,$16.61 B
469,china,$10.55 B,china national building,$42.58 B
470,united states,$26.35 B,fifth third bank,$8.27 B
471,south africa,$24.98 B,firstrand,$10.18 B
472,france,$15.77 B,carrefour,$87.81 B
473,japan,$29.14 B,fujitsu,$32.83 B
474,sweden,$24.72 B,seb ab,$7.55 B
475,russia,$10.48 B,surgutneftegas,$19.26 B
476,china,$8.91 B,new china life insurance,$34.44 B
477,canada,$42.24 B,barrick gold,$11.94 B
478,denmark,$38.65 B,dsv panalpina,$28.97 B
479,germany,$11.01 B,talanx,$51.73 B
480,united kingdom,$46.36 B,vodafone,$53.63 B
481,japan,$58.01 B,nintendo,$15.24 B
482,south korea,$11.47 B,hana financial group,$13.75 B
483,south korea,$15.65 B,hyundai mobis,$36.42 B
484,india,$20.32 B,ntpc,$17 B
485,malaysia,$24.74 B,maybank,$9.17 B
486,united states,$80.12 B,cme group,$4.69 B
487,united arab emirates,$42.24 B,taqa,$12.44 B
488,france,$54.16 B,pernod ricard,$11.58 B
489,indonesia,$26.88 B,bank mandiri,$9.53 B
490,mexico,$27.29 B,femsa,$27.38 B
491,united states,$29.79 B,paccar,$23.54 B
492,united states,$34.18 B,consolidated edison,$13.67 B
493,japan,$20.04 B,mitsui fudosan,$18.26 B
494,taiwan,$26.68 B,evergreen marine corp. (taiwan),$17.52 B
495,japan,$22.06 B,komatsu,$24.51 B
496,china,$24.76 B,shaanxi coal industry,$22.28 B
497,hong kong,$11.89 B,lenovo group,$70.56 B
498,japan,$51.27 B,fast retailing,$19.27 B
499,united kingdom,$52.66 B,london stock exchange,$9.27 B
500,germany,$32.71 B,vonovia,$6.55 B
501,united kingdom,$21.03 B,aviva,$45.13 B
502,united states,$64.22 B,sherwin-williams,$19.95 B
503,japan,$22.93 B,fujifilm holdings,$22.57 B
504,united states,$125.37 B,intuit,$11.41 B
505,united states,$64.61 B,lam research,$16.72 B
506,austria,$13.97 B,erste group bank,$11.43 B
507,united states,$11.2 B,lincoln national,$19.18 B
508,united states,$35.55 B,carrier global,$20.61 B
509,united states,$16.2 B,dish network,$17.88 B
510,china,$11.14 B,china coal energy,$35.86 B
511,germany,$14.14 B,continental,$39.91 B
512,russia,$3.15 B,vtb bank,$21.3 B
513,japan,$38.94 B,murata manufacturing,$16.28 B
514,india,$31.13 B,larsen & toubro,$20.53 B
515,united states,$13.79 B,ally financial,$10.84 B
516,china,$52.53 B,netease,$13.59 B
517,indonesia,$67.62 B,bank central asia,$6.1 B
518,sweden,$21.5 B,volvo car,$32.85 B
519,canada,$24.88 B,intact financial,$14.63 B
520,denmark,$49.11 B,orsted,$10.99 B
521,united states,$28.3 B,cummins,$24.02 B
522,united states,$42.73 B,williams,$10.57 B
523,france,$35.59 B,capgemini,$21.46 B
524,united states,$126.34 B,prologis,$4.83 B
525,france,$28.56 B,thales,$19.14 B
526,france,$13.13 B,bouygues,$44.43 B
527,mexico,$21.04 B,banorte,$10.61 B
528,hong kong,$25.13 B,ck asset holdings,$8.32 B
529,france,$31.81 B,orange,$50.26 B
530,switzerland,$34.84 B,kuehne & nagel international,$35.88 B
531,united states,$16.83 B,bunge,$59.15 B
532,south korea,$9.59 B,samsung life insurance,$25.44 B
533,united states,$45.55 B,vmware,$12.85 B
534,united states,$15.57 B,albertsons,$71.89 B
535,china,$10.5 B,crrc,$34.8 B
536,united states,$27.96 B,cbre group,$27.75 B
537,japan,$18.19 B,toshiba,$30.13 B
538,south korea,$14.64 B,samsung c&t,$30.09 B
539,india,$87.21 B,infosys,$16.33 B
540,united kingdom,$36.7 B,prudential,$26.52 B
541,china,$14.32 B,yankuang energy group,$16.86 B
542,canada,$69.42 B,canadian pacific railway,$6.38 B
543,united states,$15.94 B,loews,$14.67 B
544,japan,$67.25 B,tokyo electron,$17.09 B
545,south korea,$17.87 B,lg electronics,$66.12 B
546,australia,$94.67 B,csl,$10.59 B
547,canada,$18.14 B,magna international,$36.25 B
548,united states,$81.25 B,analog devices,$8.44 B
549,japan,$21.19 B,kubota,$19.99 B
550,united states,$53.86 B,air products & chemicals,$10.94 B
