01-DDD-investors,04-iGMM-selectinvestors
"atomico, hanaco venture capital, triplepoint capital","accel, northzone ventures, institutional venture partners"
"temasek, guggenheim investments, qatar investment authority","lightspeed venture partners, social capital, accel"
"general catalyst, nexus venture partners, dell technologies capital","sequoia capital india, tiger global management, matrix partners india"
"awz ventures, blackstone, insight partners","insight venture partners, lowercase capital, polaris partners"
"fifth wall ventures, jbv capital, array ventures","menlo ventures, spark capital, union square ventures"
"insight partners, lightspeed venture partners, cyberstarts","accel, y combinator, index ventures"
"alpargatas, gs growth, lightspeed venture partners","volkswagen group, ford autonomous vehicles"
"andreessen horowitz, triangle peak partners, ignition partners","norwest venture partners, next world capital, wing venture capital"
"prysm capital, baillie gifford & co., tdm growth partners","morgan creek digital, marcy venture partners, 10t fund"
"horizons ventures, sequoia capital india, alpha jwc ventures","tencent, morningside group"
"cherry ventures, felix capital, 83north","initialized capital, general catalyst, signalfire"
"thrive capital, general catalyst, coatue management","third point, electric capital, coinbase ventures"
"kkr, ftv capital, ten eleven ventures","general atlantic, goldman sachs, new enterprise associates"
"danone manifesto ventures, 1955 capital, breakthrough energy ventures","slack fund, accel, skip capital"
"newalpha, xange private equity, tencent holdings","institutional venture partners, sequoia capital, general atlantic"
"advent international, bain capital ventures, silversmith capital partners","sequoia capital china, warburg pincus, general catalyst"
"qualcomm ventures, nine intelligence capital, hillhouse capital management","idg capital, bank of china group investment,, sdic cmc investment management"
"dst global, general catalyst, monashees+","ta associates, softbank group, gs growth"
"general atlantic, elevation capital, beenext",technology crossover ventures
"rre ventures+, highland capital partners, the carlyle group","accel partners, softbank group, sequoia capital"
"andreessen horowitz, intel capital, foundation capital","bpi france, kerala ventures, accel"
"khosla ventures, general catalyst, navitas capital","new enterprise associates, accomplice, ia ventures"
"goldman sachs asset management, 3l","union square ventures, ribbit capital, vy capital"
"index ventures, benchmark, thrive capital","atomico, insight partners, coatue management"
"paladin capital group, greycroft, scale venture partners",barter ventures
"bluerun ventures, grand flight investment, meituan dianping","thrive capital, benchmark, menloventures"
"global founders capital, 468 capital, redalpine venture partners","warmsun holding, idg capital partners"
"sequoia capital china, linear venture, hearst ventures","pine brook, american express ventures, kleiner perkins caufield & byers"
"accel, falcon edge capital, norwest venture partners","insight partners, sequoia capital, index ventures"
"korea investment private equity, atinum investment, korea investment partners","blackrock, blackstone, ubs"
"google ventures, cathay innovation, njf capital","venrock, battery ventures, insight partners"
"khosla ventures,general catalyst, victory park capital","nextview ventures, eniac ventures, sequoia capital"
"equal ventures, uncork capital, andreessen horowitz","alibaba group, boyu capital, borui capital"
"innovation endeavors, aleph, temasek","tencent, baidu, huasheng capital"
"acero capital, general catalyst, m12","technology crossover ventures, a&e television networks"
"valor capital group, lightrock, softbank group","thrive capital, maverick ventures, redpoint ventures"
"iag capital partners, augmentum fintech, northzone ventures","battery ventures, storm ventures, redpoint ventures"
"lerer hippeau, munich re ventures, eclipse ventures","aglae ventures, eurazeo, daphni"
"true ventures, altimeter capital, redpoint ventures","blackstone, technology crossover ventures, summit partners"
"sequoia capital india, the times group, gmo venturepartners","vy capital, 8vc, craft ventures"
"coatue management, insight partners, trinity ventures","nexus venture partners, crv, insight partners"
"left lane capital, galaxy interactive, tru arrow partners","matrix partners, andreessen horowitz, general catalyst"
"speedinvest, valar ventures, uniqa ventures","highland europe, eurazeo, canaan partners"
"index ventures, idinvest partners, daphni","founders fund. accel, creandum"
"greylock partners, lux capital, general atlantic","dst global, andreessen horowitz, sequoia capital, redpoint e.ventures"
"ggv capital, gsr ventures, freesfund","index ventures, battery ventures, iconiq capital"
"3one4 capital partners, bertelsmann india investments, vertex ventures se asia",insight partners
"softbank ventures asia, alpha jwc ventures, insignia ventures partners","kaszek ventures, general atlantic, softbank group"
ftv capital,credit suisse
"vitruvian partners, merieux equity partners, straumann","ant financial services group, ggv capital"
"sequoia capital, thrive capital, sound ventures","dst global, sequoia capital china, tencent holdings"
"accel, tiger global management, omidyar network","runa capital, acton capital partners, point nine capital"
"accomplice, juxtapose, firstmark capital","bessemer venture partners, qualcomm ventures, kleiner perkins caufield & byers"
"accel, y combinator, amasia","hillhouse capital management, linear venture, morningside venture capital"
"b capital group, monk's hill ventures, dynamic parcel distribution","baidu capital, linear venture, tencent"
"tencent holdings, hillhouse capital management","general atlantic, 3i group, huagai capital"
"nfx, plum alley, mayfield","walden international, google ventures, intel capital"
"andreessen horowitz, dst global, idg capital","accel, technology crossover ventures, leapfrog investments"
"female founders fund, oak hc/ft partners, sequoia capital","clermont group, coltrane asset management, toscafund asset management"
"yunqi partners, softbank group, ivision ventures","insight partners, andalusian capital partners"
"anthemis, connect ventures, northzone ventures","matrix partners india, falcon edge capital, softbank group"
"hillhouse capital management, sequoia capital china, linear venture","google ventures, benchmark, firstmark capital"
"goldman sachs asset management, sdp investment, alibaba group","sequoia capital india, temasek, paypal ventures"
"greylock partners, google ventures, blackrock","alven capital, valar ventures, tencent holdings"
"accomplice, oak investment partners, georgian partners","softbank group, tiger global management, matrix partners india"
"wing venture capital, slow ventures, uncork capital","eight roads ventures, greycroft, ignition partners"
"advent international, psg, providence equity partners","capital one growth ventures, citi ventures, omers ventures"
"kleiner perkins caufield & byers, nightdragon security, venrock","falcon edge capital, omidyar network, sequoia capital india"
"qiming venture partners, vivo capital, sequoia capital china","india quotient, elevation capital, lightspeed venture partners"
"ardian, bain capital","two sigma ventures, flint capital, commerce ventures"
"general catalyst, future ventures, au21","venture highway, sequoia capital india, prosus ventures"
"sequoia capital, dcm ventures, insight partners","oak hc/ft partners, artis ventures, westcap group"
"greylock partners, google ventures, blackrock","kaszek ventures, amadeus capital partners, quona capital"
"vertex ventures se asia, global founders capital, visa ventures","sierra ventures, battery ventures, asset management ventures"
"firstmark capital, georgian partners, norwest venture partners","china grand prosperity investment, silk road huacheng, oriza equity investment"
"foundry group, scale venture partners, softbank group","threshold ventures, lightspeed venture partners, crosslink capital"
"madrona venture group, tiger global management, madera technology partners","creandum, founders, kinnevik"
"hyde park venture partners,	fundersclub. bain capital ventures","advent international,general catalyst,insight partners"
"advance venture partners, susquehanna growth equity, lupa systems","greylock partners, venrock, providence ventures"
"day one ventures, coinbase ventures, andreessen horowitz","alven capital, firstmark capital, capitalg"
"javelin venture partners, ttv capital, peterson ventures","y combinator, accel, t. rowe price"
"foundation capital, 	summit partners, adams street partners","general catalyst, viking global investors, t. rowe price"
"genesis partners, aleph, insight partners","ontario teachers' pension plan, goldman sachs"
"salesforce ventures, next47, pereg ventures","accel, insight partners, burda principal investments"
"bessemer venture partners, morevc, team8","sequoia capital china, tencent holdings, sinovation ventures"
"ggv capital, hillhouse capital management, idg capital","two sigma ventures, flint capital, commerce ventures"
"singtel innov8, alpha jwc ventures, golden gate ventures","passion capital, thrive capital, orange digital ventures"
"insight partners, ignition partners, georgian partners","cdh investments, goldstone investments, qiming venture partners"
"delian capital, china international capital corporation, sequoia capital china","salesforce ventures, seedcamp, omers ventures"
"netease capital, northern light venture capital, microsoft","chiratae ventures, premjiinvest, softbank"
"northzone ventures, maveron, johnson & johnson innovation","mayfield fund, m12, trinity ventures"
"optum ventures, qiming venture partners, transformation capital","atop capital, idinvest partners, qiming venture partners"
"dragonfly captial, qiming venture partners, dst global","general atlantic, blackstone, iconiq growth"
"sequoia capital, founders fund, bling capital","lightspeed venture partners, redpoint ventures, viking global investors"
"version one ventures, uncork capital, bessemer venture partners","benchmark, accel, softbank group"
"eclipse ventures, fidelity investments, moore capital management","playground global, bond, tribe capital"
"griffin gaming partners, andreessen horowitz, battery ventures","sequoia capital china, qiming venture partners, tencent holdings"
"iris capital, accel, elaia partners","lightspeed venture partners, khosla ventures, geodesic capital"
"xingwang investment management, china capital investment group, matrix partners china","vista equity partners, wincove, tdr capital"
bain capital,"andreessen horowitz, amplify partners, sequoia capital"
"invus group, hanaco venture capital, westcap group",sequoia capital
general atlantic,"venrock, institutional venture partners, goldman sachs"
"helion venture partners, bain capital tech opportunities, sequoia capital india","speedinvest, valar ventures, uniqa ventures"
"xbto ventures, raven one ventures, sk ventures","goodwater capital, ifly, xvc venture capital"
"eastern bell capital, danhua capital, msa capital","redbird capital partners, cj enm, tencent holdings"
"accel, cobalt capital, andreessen horowitz","new enterprise associates, sequoia capital, comcast ventures"
"balderton capital, next world capital, draper esprit","tiger global management, dst global, sequoia capital india"
"smilegate investment, dsc investments, ktb ventures",formation 8
"thrive capital, durable capital partners, g squared","ant financial services group, russia-china investment fund, foxconn technology company"
"flagship pioneering, alexandria venture investments, investment corporation of dubai","softbank group, general atlantic"
"pantera capital, cadenza ventures, blocktower capital","khosla ventures, horizons ventures, temasek holdings"
"tdk ventures, social capital, d1 capital partners","new enterprise associates, starr investment holdings"
"silverton partners, accel, ballast point ventures","zeev ventures, ribbit capital, tlv partners"
"american family ventures, cox enterprises, omers ventures","index ventures, thrive capital, crv"
"yinhong equity investment fund, e fund, ideal international","dragoneer investment group, hellman & friedman, jmi equity"
"owl ventures, technology crossover ventures, tao capital partners","sequoia capital, bessemer venture partners, threshold ventures"
"tlv partners, lightspeed venture partners, m12","andreessen horowitz, tq ventures"
"sequoia capital china, shunwei capital partners, qualgro","accel, insight partners, bond capital"
"bojiang capital, hongdao capital, mobai capital","drive capital, general catalyst, ascension ventures"
"c5 capital, hemisphere ventures, the venture collective","greylock partners, lightspeed venture partners, khosla ventures"
"b capital group,, ge ventures, mckesson ventures","accel, aleph, american express ventures"
"bertelsmann asia investments, sequoia capital china, nio capital","softbank group, norwest venture partners"
"greatpoint ventures, tiger global management, menlo ventures","georgian partners, craft ventures"
"matrix partners china, sequoia capital china, hundreds capital","benchmark, foundation capital, sequoia capital"
"scb 10x, krungsri finnovate, ewtp capital","blackrock, kleiner perkins caulfield & byers, google ventures"
"crv, y combinator, initialized capital","new enterprise associates, pear, cowboy ventures"
"andreessen horowitz, andreessen horowitz, institutional venture partners, accel","fifth wall ventures, energize ventures, 	iconiq capital"
"scale venture partners, bond, tiger global management","accel, silversmith capital partners, capitalg"
"storm ventures, dfj dragonfund, new enterprise associates","andreessen horowitz, thrive capital, sound ventures"
"flybridge capital partners, softbank group, monashees+","fairfax financial holdings, a91 partners, tvs capital"
"lightspeed venture partners, kleiner perkins caufield & byers, origin ventures","greylock partners, insight partners,menlo ventures"
"insight partners, bain capital ventures","china health industry investment fund, china renaissance, and sequoia capital china"
"union square ventures, insight partners, spark capital","new enterprise associates, new leaf venture partners, charter venture capital"
"global founders capital, shea ventures, greycroft","google ventures, battery ventures, dst global"
"costanoa ventures, data collective, salesforce ventures","y combinator, atomico, accel"
"sozo ventures, caffeinated capital, sequoia capital","greylock partners, capitalg, y combinator"
"novator partners, true, causeway media partners","blackstone, iconiq growth, general atlantic"
"union square ventures, altos ventures, costanoa ventures","casa verde capital, gron ventures, thrity five ventures"
"tiger global management, hedosophia","softbank group, sequoia capital, wing venture capital"
"idg capital, francisco partners, zhenfund","norwest venture partners, goldman sachs, dell technologies capital"
"wellington management, eurazeo, citi ventures","upfront ventures, webb investment network, d1 capital partners"
"wrvi capital, caffeinated capital, y combinator","qualcomm ventures, samsung ventures, silver lake"
"mmc ventures, bgf ventures, unilever ventures","breakthrough energy ventures, capricorn investment group, valor equity partners"
one equity partners,"bessemer venture partners, insight partners, new era ventures"
"lightspeed venture partners, data collective, 8vc","hillhouse capital management, softbank group, qiming venture partners"
"olx group, kck group, exor seeds","menlo ventures, alkeon capital management, citi ventures"
"jackson square ventures, greenoaks capital management, softbank group","y combinator, andreessen horowitz, wonder ventures"
"technology crossover ventures, alkeon capital management, general atlantic",01 advisors. kleiner perkins caufield & byers. andreessen horowitz
"investment corporation of dubai, centralway","silver lake, iconiq capital"
"aglae ventures, global founders capital, alven capital","nextview ventures, promus ventures, two sigma ventures"
"tal education group, legend star, alibaba group","andreessen horowitz, lux capital, general catalyst"
"union square ventures, summerhill venture partners, mithril capital management","newview capital, maveron, ridge ventures"
china prosperity capital,"dragoneer investment group, dst global, franklin templeton"
"dst global, sequoia capital china, gaorong capital",eqt partners
softbank group,"activant capital group, alaska permanent fund, baillie gifford & co."
"astanor ventures, upfront ventures, idinvest partners",kuang-chi
"matrix partners china, bright venture capita, shenzhen capital group","first round capital, sequoia capital, index ventures"
"sbi investment korea, partners investment, gic","general catalyst, hca healthcare"
"ftv capital, endeavor","elaia partners, 83north, felix capital"
"koch disruptive technologies, teamworthy ventures, ggv capital","airbus ventures, index ventures, advent international"
"boc international, toposcend capital, hongxiu vc","westcap group, caisse de depot et placement du quebec"
"yunfeng capital, sdic innovation investment management, shang qi capital","dn capital, left lane capital, coatue management"
"china everbright limited, idg capital, iflytek","madrona venture group, shasta ventures, salesforce ventures"
"georgian co-investment fund, itech capital, galaxy digital","kleiner perkins caufield & byers, lightspeed venture partners, true ventures"
"prometheus capital, matrix partners china, jd capital management","insight partners, tiger global management, accel"
"qiming venture partners, china broadband capital, cdh investments","matrix partners, initialized capital, tiger global management"
"v star capital, gf xinde investment management co., haitong leading capital management","mithril capital management, y combinator, capricorn investment group"
"innova capital - fip, 3g capital management, prosus ventures","goldman sachs, vebventures, insight partners"
"one luxury group, eurazeo","blume ventures, nexus venture partners, sequoia capital india"
"fosun rz capital, oceanwide holdings, shenzhen qianhe capital management co.","new enterprise associates, coatue management, tiger global management"
"china investment corporation, new enterprise associates","tiger global management, kalaari capital"
"u.s.-china green fund, founder h fund, richland equities","andreessen horowitz, softbank group, temasek holdings"
"sequoia capital china, ing, alibaba entrepreneurs fund","china environmental protection industry, china fortune ocean"
"k2 global, 500 startups","insight partners, salesforce ventures, vertex ventures"
"sinovation ventures, tencent holdings, sequoia capital china","index ventures, coatue management, andreessen horowitz"
"blue label telecoms, net1 ueps technologies","jtc group, qatar investment authority, fidelity investment"
"k2 ventures, matrix partners china, idg capital","geely, sig asia investments, china state capital venture capital fund"
"standard chartered, finsight ventures, affirma capital","bessemer venture partners, sutter hill ventures, matrix partners"
"co-energy finance, grandland","greycroft, sands capital, revolution growth"
gcp capital partners,"andreessen horowitz, ia ventures, felicis ventures"
"lakestar, battery ventures, new enterprise associates","sequoia capital china, dst global, dst global"
"goldman sachs, insights venture partners, pritzker group venture capital","moore strategic ventures, dst global, sequoia capital india"
"berkshire partners, norwest venture partners","boldstart ventures, lerer hippeau, kenetic capital"
"sequoia capital china, sig asia investments, zhenfund",alibaba pictures group
"tencent, vcanbio","institutional venture partners, atomico, earlybird venture capital"
"kkr, alibaba group, ping an insurance","intel capital, sutter hill ventures, venturetech"
"qiming venture partners, temasek holdings, silverlink capital","tiger global, sequoia capital, google capital"
"tencent holdings, dcm ventures","thrive capital, founders fund, cocnord health partners"
"saif partners china, baidu, idg capital","sequoia capital india, softbank, bertelsmann india investments"
"silicon valley bank, qed investors, european founders fund","ame cloud ventures, future perfect ventures, blockchain capital"
"accel partners, comcast ventures, general atlantic","m12, westbridge capital, lightspeed venture partners"
"idg capital, northern light venture capital, dcm ventures","accel, sequoia capital, y combinator"
"morningside venture capital, idg capital, dcm ventures","thrive capital, alliance consumer growth, imaginary ventures"
ginko ventures,"the column group, foresite capital, foresite capital"
"warburg pincus, summit partners, sands capital",sequoia capital
"58.com, tencent holdings","next47, first round capital, sequoia capital"
"china minsheng investment, baidu, wanxin media","playground global, m12, blackrock"
"matrix partners china, ventech china, shunwei capital partners","dst global, lightspeed venture partners, microsoft scaleup"
"5y capital, matrix partners china, k2vc","susquehanna growth equity, citi ventures, iconiq capital"
"silver lake partners, general atlantic","kaszek ventures, qualcomm ventures, accel"
"kleiner perkins caufield & byers, softbank corp., sherpalo ventures","sequoia capital china, sina weibo, kleiner perkins caufield & byers, redpoint ventures"
"resolute ventures, shima capital, circle ventures","global founders capital, east ventures, expedia inc."
"matrix partners, passport capital, rho ventures","morningside ventures, warburg pincus, creditease fintech investment fund"
"sequoia capital china, zhenfund, k2 ventures",cpp investment board
hinduja group,"general catalyst, digital currency group, accel"
none,"sequoia capital china, xiang he capital, ggv capital"
"accel partners, greylock partners, lowercase capital","holtzbrinck ventures, unternehmertum venture capital, general atlantic"
"banyan capital, new horizon capital, idg capital partners","benchmark, bessemer venture partners"
railway pension trustee co. ltd.,"artiman ventures, plug and play ventures, anthos capital"
"softbankgroup, blackrock, alibaba group","sequoia capital israel, scale venture partners, commerce ventures"
"insight partners, toba capital, spring ventures","iconiq capital, openview venture partners"
"brv capital management, bualuang ventures","consensys ventures, valar ventures, puc"
"bluerun ventures, leap global partners, cervin ventures","silversmith capital partners, susquehanna growth equity, tiger global management"
"lightspeed venture partners, coatue management","cambridge innovation capital, lgt capital partners, escala capital"
"astorg partners, princeville global, beyond net zero","spectrum equity, iconiq capital, grayhawk capital"
"index ventures, eqt ventures, workday ventures",iconiq capital
"bdc capital, georgian, bessemer venture partners","brookfield asset management, blackstone, data collective"
andreessen horowitz,"balderton capital, general catalyst, tiger global management"
"meson capital partners, fifth wall ventures, ogci climate investments","uncork capital, threshold ventures, bloomberg beta"
"mouro capital, hanaco venture capital, gramercy ventures","jackson square ventures, general atlantic, lightspeed venture partners"
"placeholder capital, coinbase ventures, binance ventures","lightspeed venture partners, lead edge capital, coatue management"
"silverton partners, tusk ventures, crv","coatue management, atlantic food labs, dst global"
"lightrock, greyhound capital, endeavor","fabric ventures, 500 global, standard crypto"
"sequoia capital china, gopher asset management, shanghai electric group","uniion square ventures, tiger global management, lightspeed venture capital"
"accel, sands capital, international finance corporation","tiger global management, insight partners, jump capital"
"intel capital, aviv venture capital","tiger global management, sequoia capital india, ribbit capital"
"shell ventures, blackstone, moore strategic ventures","accel, summit partners, google ventures"
"american family ventures, greycroft, signalfire","83north, riverpark ventures, pitango venture capital"
"bain capital tech opportunities, andreessen horowitz, sequoia capital","andreessen horowitz, blockchain capital, lux capital"
"founders fund, upfront ventures, 	01 advisors","coatue management, bmo capital, schonfeld strategic advisors"
"fundersclub, y combinator, tiger global management","khosla ventures, thrive capital, y combinator"
"sequoia capital china, rich land capital, merrysunny wealth","green visor capital, cre venture capital, greycroft"
"lindeman asia investment, nichi-iko pharmaceutical","tiger global management, tiger brokers, dcm ventures"
"af ventures, siddhi capital, sc.holdings","battery ventures, andreessen horowitz, ribbit capital"
"saif partners india, warburg pincus, trifecta capital advisors","index ventures, sequoia capital, general catalyst"
"qf capital, qc capital, unicom innovation venture capital","new enterprise associates, accel, bond"
"beijing juneng hesheng industry investment fund, beijing shuju xinrong fund","bnk to the future, trammell ventures, sbi investment"
inflexion private equity,khosla ventures
"new enterprise associates, greylock partners, andreessen horowitz","founders fund, quantum energy partners, bedrock capital"
"franklin templeton, motive partners. apollo global management","monashees+, andreessen horowitz, qed investors"
"jump capital, pantera capital, greylock partners","point72 ventures, route 66 ventures, accel"
"shenzhen capital group, robert bosch venture capital, septwolves ventures","mubadala capital, bond, prosus ventures"
"fireside ventures, sequoia capital india, stellaris venture partners","index ventures, temasek, portag3 ventures"
"blume ventures, jsw ventures, ivycap ventures","tiger global management, blue lake capital, zhenfund"
"kleiner perkins caufield & byers, s28 capital, insight partners","sequoia capital, baillie gifford & co., google ventures"
"kaiser permanente ventures, endeavour vision, lrvhealth","dell technologies capital, pitango venture capital, amadeus capital partners"
"goldman sachs asset management, story3 capital partners","data collective, formation 8, general catalyst partners"
"andreessen horowitz, founders fund","institutional venture partners, new enterprise associates, javelin venture partners"
"andreessen horowitz, bessemer venture partners, khosla ventures,","makers fund, index ventures, inova ventures participacees"
"gsv ventures, westbridge capital","general atlantic, insight partners, vintage investment partners"
"general catalyst, inspired capital, flybridge capital partners","hd capital, qihoo 360 technology, china fortune land development"
"new enterprise associates, koch disruptive technologies, evolution equity partners","notion capital, scentan ventures, kite ventures"
"westbridge capital, gsv ventures, elevar equity",goldman sachs asset management
"insight partners, e.ventures, general atlantic","forest partners, softbank ventures asia"
"edison partners, georgian partners, venturelink",kkr
"chiratae ventures, softbank group, trifecta capital","british patient capital, seb venture capital, iq capital"
"khosla ventures, general catalyst, blumberg capital",motive partners
"foundation capital, 	frontier ventures, altair capital","general atlantic, piton capital, partech partners"
"mangrove capital partners,14w. forgelight","redpoint ventures, goldcrest capital, insight partners"
"m13, lightspeed venture partners, lone pine capital","contour venture partners, battery ventures, core capital partners"
" monashees+, foundation capital, base10 partners","insight partners, jackson square ventures, liberty gloval ventures"
"sequoia capital india, rocketship.vc, lightspeed india partners","jungle ventures, accel, venture highway"
"pritzker group venture capital, accel, hyde park venture partners","vertex ventures israel, bessemer venture partners, emerge"
"zeev ventures, group11, chicago ventures","jd.com, baidu, vision plus capital"
" cmfg ventures, accomplice, moderne ventures","foundry group, general atlantic, blackrock"
"intact ventures, munich re ventures, general atlantic","big bets, general atlantic, softbank latin america ventures"
"8vc, norwest venture partners, tiger global management","forerunner ventures, lifeline ventures, msd capital"
"500 global, rakuten ventures, golden gate ventures","khosla ventures, horizons ventures, founders fund"
