,name,trade_name,address_name,postalcode,city,state,country,location_type
31,ABC GARDEN OU,,Variku tee 6-1,11911,Tallinn,ESTONIA,ESTONIA,Headquarter
32,,,,,,,,
33,,,,,,,,
34,CREMOFIN SRL,,VIA MODENA 53,41014,CASTELVETRO DI MODENA,ITALY,ITALY,Headquarter
35,BRANDGATE GROUP OU,,Erika tn 14,10416,Tallinn,ESTONIA,ESTONIA,Headquarter
36,MERCK SHARP & DOHME LLC,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
37,,,,,,,,
38,FEDRIGONI SPA,,VIA ENRICO FERMI 13/F,37135,VERONA,ITALY,ITALY,Headquarter
39,AURUM OU,,Kullassepa tn 4,10146,Tallinn,ESTONIA,ESTONIA,Single address
40,MERCK SHARP & DOHME (I.A.) LLC,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
41,Nottinghamshire Healthcare N H S Foundation Trust,,Duncan Macmillan House Porchester Road,              NG3 6AA,NOTTINGHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
42,EIFFAGE INFRAESTRUCTURAS SA,,PIAZZA ATTIAS 13,57125,LIVORNO,ITALY,ITALY,Single address
43,BOLT TECHNOLOGY OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Headquarter
44,MERCK SHARP & DOHME (ARGENTINA) INC.,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
45,LIBERTY FINANCE MANAGEMENT (LIG) LTD,,2nd Floor 40 Grosvenor Place,              SW1X 7GG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
46,SAFE SPA,,VIA FERRUCCIO LAMBORGHINI 18,40017,SAN GIOVANNI IN PERSICETO,ITALY,ITALY,Headquarter
47,GAME MACHINE OU,,Ravala pst 8,10143,Tallinn,ESTONIA,ESTONIA,Headquarter
48,HL MANDO AMERICA CORPORATION,MANDO,4201 NORTHPARK DR,368019667,OPELIKA,Alabama(AL),UNITED STATES,Headquarter
49,,,,,,,,
50,STMICROELECTRONICS SRL,STM,VIA CAMILLO OLIVETTI 2,20864,AGRATE BRIANZA,ITALY,ITALY,
51,MILWORKS OU,,Sarruse tn 3,13816,Tallinn,ESTONIA,ESTONIA,Single address
52,,,,,,,,
53,,,,,,,,
54,TRAVAGLINI LOGISTIC AND TRANSPORT SRL,TRAVAGLINI,VIA PALERMO 21-23,66041,ATESSA,ITALY,ITALY,
55,BOLT OPERATIONS OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Headquarter
56,,,,,,,,
57,,,,,,,,
58,HUNTSMAN GOMET SRL,,STRADA TOMBOLETO 12,10010,AZEGLIO,ITALY,ITALY,Headquarter
59,B-BUS OU,,Narva mnt 5,10117,Tallinn,ESTONIA,ESTONIA,Single address
60,VERIZON INTERNATIONAL HOLDINGS INC.,,3900 N WASHINGTON ST STE 2,198022137,WILMINGTON,Delaware(DE),UNITED STATES,Headquarter
61,,,,,,,,
62,JOHNSON CONTROLS ITALIA SRL,,VIA MILANESE 124,20092,CINISELLO BALSAMO,ITALY,ITALY,Headquarter
63,LUMINOR BANK AS,,Liivalaia tn 45,10145,Tallinn,ESTONIA,ESTONIA,Headquarter
64,,,,,,,,
65,TURNER BROADCASTING SYSTEM EUROPE LIMITED,,Turner House 16 Great Marlborough Street,              W1F 7HS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
66,JOHNSON ELECTRIC ASTI SRL,,CORSO ALESSANDRIA 395,14100,ASTI,ITALY,ITALY,Headquarter
67,TALLINK AS,,Sadama tn 5,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
68,,,,,,,,
69,,,,,,,,
70,MOBY SPA,,VIA LARGA 26,20122,MILANO,ITALY,ITALY,Headquarter
71,TALLINK GRUPP AS,,Sadama tn 5,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
72,,,,,,,,
73,CVC ADVISERS LIMITED,,111 Strand,              WC2R 0AG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
74,GALPERTI ENGINEERING AND FLOW CONTROL SPA,,VIA PRATI DELLA ROSA 17,23823,COLICO (ZONA INDUSTRIALE ),ITALY,ITALY,Headquarter
75,TOP CONNECT OU,,Vaike-Paala tn 1,11415,Tallinn,ESTONIA,ESTONIA,Headquarter
76,ALABAMA POWER COMPANY,,600 N 18TH ST,352032200,BIRMINGHAM,Alabama(AL),UNITED STATES,Headquarter
77,PENGUIN RANDOM HOUSE LIMITED,,20 VAUXHALL BRIDGE ROAD,              SW1V 2SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
78,ABB SPA,,VIA LUCIANO LAMA 33,20099,SESTO SAN GIOVANNI,ITALY,ITALY,Headquarter
79,PONTOS BALTIC AS,,Viru valjak 4,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
80,,,,,,,,
81,THE RANDOM HOUSE GROUP LIMITED,,Whole Building 20 Vauxhall Bridge Road,              SW1V 2SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
82,OLI SPA,,VIA CANALAZZO 35,41036,MEDOLLA,ITALY,ITALY,Headquarter
83,SANDMANI GRUPI AS,,Laki poik 6,12918,Tallinn,ESTONIA,ESTONIA,Headquarter
84,,,,,,,,
85,,,,,,,,
86,OLI EBIKE SYSTEMS SRL,,STRADA DEGLI SCHIOCCHI 12,41124,MODENA,ITALY,ITALY,Headquarter
87,PRFOODS AS,,Parnu mnt 141,11314,Tallinn,ESTONIA,ESTONIA,Headquarter
88,,,,,,,,
89,BOUYGUES E&S SOLUTIONS LIMITED,BOUYGUES CONSTRUCTION,Becket House 1 Lambeth Palace Road,              SE1 7EU,LONDON,UNITED KINGDOM,UNITED KINGDOM,
90,BUSINESS INTEGRATION PARTNERS SPA,,PIAZZA SAN BABILA 5,20122,MILANO,ITALY,ITALY,Headquarter
91,SCHNEIDER ELECTRIC EESTI AS,,Parnu mnt 139e/2,11317,Tallinn,ESTONIA,ESTONIA,Single address
92,WALMART INC.,,702 SW 8TH ST,727166299,BENTONVILLE,Arkansas(AR),UNITED STATES,Headquarter
93,BOUYGUES (U.K.) LIMITED,,Becket House 1 Lambeth Palace Road,              SE1 7EU,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
94,SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI GE.S.A.C. SPA,AEROPORTO INTERNAZIONALE DI NAPOLI,UFFICI DIREZIONALI GESAC SNC,80100,NAPOLI (AEROPORTO DI CAPODICHINO ),ITALY,ITALY,
95,,,,,,,,
96,,,,,,,,
97,DELOITTE LLP,,1 New Street Square,              EC4A 3HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
98,UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA,,CORSO VITTORIO EMANUELE 292,80135,NAPOLI,ITALY,ITALY,Headquarter
99,IIZI KINDLUSTUSMAAKLER AS,,Telliskivi tn 60/2,10412,Tallinn,ESTONIA,ESTONIA,Headquarter
100,,,,,,,,
101,DELOITTE MCS LIMITED,DELOITTE,1 New Street Square,              EC4A 3HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
102,LOMBARD INTERNATIONAL ASSURANCE S.A.,,PIAZZA SAN MARCO 3,20121,MILANO,ITALY,ITALY,Headquarter
103,MARSH KINDLUSTUSMAAKLER AS,,Tartu mnt 18,10145,Tallinn,ESTONIA,ESTONIA,Single address
104,,,,,,,,
105,,,,,,,,
106,PM SRL,,VIALE SERENISSIMA 20,30030,VIGONOVO,ITALY,ITALY,Headquarter
107,,,,,,,,
108,EVOQUA WATER TECHNOLOGIES LLC,,210 6TH AVE STE 3300,152222603,PITTSBURGH,Pennsylvania(PA),UNITED STATES,Headquarter
109,ABELLIO SCOTRAIL LTD,,Culzean House 36 Renfield Street,              G2 1LU,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,Headquarter
110,BIOCHEM SRL,,VIA GIOVANNI BENINI 13,40069,ZOLA PREDOSA,ITALY,ITALY,Headquarter
111,MAKSEKESKUS HOLDING OU,,Niine tn 11,10414,Tallinn,ESTONIA,ESTONIA,Headquarter
112,INSTITUTIONAL SHAREHOLDER SERVICES INC.,ISS,702 KING FARM BLVD STE 400,208505774,ROCKVILLE,Maryland(MD),UNITED STATES,Headquarter
113,DEMEX LIMITED,,Bernera Works Psalters Lane,              S61 1DQ,ROTHERHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
114,4WARD SRL,,VIA LOMBARDIA 2/A,20068,PESCHIERA BORROMEO,ITALY,ITALY,Headquarter
115,MAKSEKESKUS AS,,Niine tn 11,10414,Tallinn,ESTONIA,ESTONIA,Single address
116,,,,,,,,
117,GENERAL MEDITERRANEAN HOLDING (UK) LIMITED,,137-143 Hammersmith Road,              W14 0QL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
118,AGCO ITALIA SPA,,VIA DELL'INDUSTRIA 63,36042,BREGANZE,ITALY,ITALY,Headquarter
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,LAVERDA AGCO SPA,,VIA FRANCESCO LAVERDA 15/17,36042,BREGANZE,ITALY,ITALY,Headquarter
123,MEDIABRANDS DIGITAL OU,,Tehnika tn 55,10136,Tallinn,ESTONIA,ESTONIA,Headquarter
124,,,,,,,,
125,PARITY GROUP PUBLIC LIMITED COMPANY,,82 St. John Street,              EC1M 4JN,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
126,VETROELITE SRL,,VIA I MAGGIO 4,31024,ORMELLE,ITALY,ITALY,Headquarter
127,TALLINNA LINNATRANSPORT AS,,Kadaka tee 62a,12618,Tallinn,ESTONIA,ESTONIA,Single address
128,TIMBERLAND LLC,,200 DOMAIN DR,38852575,STRATHAM,New Hampshire(NH),UNITED STATES,Headquarter
129,,,,,,,,
130,VETROELITE PACKAGING SRL,,VIA FOGGIA 177/A,76121,BARLETTA,ITALY,ITALY,Headquarter
131,ADMIRAL MARKETS AS,,Maakri tn 19/1,10145,Tallinn,ESTONIA,ESTONIA,Single address
132,,,,,,,,
133,LINKLATERS LLP,,One Silk Street,              EC2Y 8HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
134,,,,,,,,
135,ADMIRALS GROUP AS,,Maakri tn 19/1,10145,Tallinn,ESTONIA,ESTONIA,Headquarter
136,,,,,,,,
137,LINKLATERS BUSINESS SERVICES,,1 Silk Street,              EC2Y 8HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
138,GRANITIFIANDRE SPA,,VIA RADICI NORD 112,42014,CASTELLARANO,ITALY,ITALY,Headquarter
139,FIBENOL OU,,Moisa tn 4,13522,Tallinn,ESTONIA,ESTONIA,Single address
140,,,,,,,,
141,,,,,,,,
142,GENERALI ITALIA SPA,,VIA MAROCCHESA 14,31021,MOGLIANO VENETO,ITALY,ITALY,Headquarter
143,,,,,,,,
144,MARTIN TOOL WORKS INC,,2050 MITCHELL BLVD,601934544,SCHAUMBURG,Illinois(IL),UNITED STATES,Single address
145,,,,,,,,
146,EZ SERVICE SRL,,VIALE ROMA 99/100,13835,VALDILANA,ITALY,ITALY,Headquarter
147,,,,,,,,
148,HLT PROPERTY ACQUISITION LLC,HILTON IN THE WALT DISNEY WORLD RESORT,1751 HOTEL PLAZA BLVD,328308430,LAKE BUENA VISTA,Florida(FL),UNITED STATES,Headquarter
149,VML 2017 PENSION TRUSTEES LIMITED,Vauxhall Motors,Pinley House 2 Sunbeam Way,              CV3 1ND,COVENTRY,UNITED KINGDOM,UNITED KINGDOM,
150,INVESTIS INSURANCE BROKER SPA O IN BREVE INVESTIS BROKER SPA,,VIA SAN DALMAZZO 15,10122,TORINO,ITALY,ITALY,Headquarter
151,,,,,,,,
152,,,,,,,,
153,CENTRESOFT LIMITED,,6 Pavilion Drive Holford,              B6 7BB,BIRMINGHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
154,DREAM YACHT ITALIA SRL,,VIALE ISOLA BIANCA 1 A,7026,OLBIA,ITALY,ITALY,Headquarter
155,IDEAL GROUP AS,,Tartu mnt 80,10112,Tallinn,ESTONIA,ESTONIA,Headquarter
156,TISHMAN DOLPHIN LIMITED PARTNERSHIP,,1500 EPCOT RESORT BLVD,328308428,LAKE BUENA VISTA,Florida(FL),UNITED STATES,Headquarter
157,,,,,,,,
158,HILDING ANDERS ITALY SRL,,VIA VERONA 20,36020,POVE DEL GRAPPA,ITALY,ITALY,Headquarter
159,LUMINOR PENSIONS ESTONIA AS,,Liivalaia tn 45,10145,Tallinn,ESTONIA,ESTONIA,Headquarter
160,B OREGON LEASING LLC,,55 W 46TH ST STE 2204,100364277,NEW YORK,New York(NY),UNITED STATES,Single address
161,BRAY CONTROLS (UK) LIMITED,BRAY VALVE & CONTROLS (UK),16-18 Fountain Crescent Inchinnan Business Park Inchinnan,              PA4 9RE,RENFREW,UNITED KINGDOM,UNITED KINGDOM,
162,C-MAP ITALY SRL,,VIA MARINA DI LEVANTE 19,55049,VIAREGGIO,ITALY,ITALY,Headquarter
163,DIGITAL LEDGER OU,,Tartu mnt 43,10128,Tallinn,ESTONIA,ESTONIA,Single address
164,B OREGON OWNER LLC,,55 W 46TH ST STE 2204,100364277,NEW YORK,New York(NY),UNITED STATES,Single address
165,ARABIC NEWS BROADCASTING UK LTD,,137-143 Hammersmith Road Hammersmith,              W14 0QL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
166,INGENICO ITALIA SPA,,VIA GIORGIO STEPHENSON 43/A,20157,MILANO,ITALY,ITALY,Headquarter
167,VALMET TECHNOLOGIES OU,,Roosikrantsi tn 2,10119,Tallinn,ESTONIA,ESTONIA,Headquarter
168,,,,,,,,
169,BOLUDA TOWAGE LONDON LTD.,,London Gateway Logistic Centre 1st Floor North Sea Crossing,              SS17 9ER,STANFORD-LE-HOPE,UNITED KINGDOM,UNITED KINGDOM,Single address
170,VALEO SPA,,VIA ASTI 89,10026,SANTENA,ITALY,ITALY,Headquarter
171,ESTONIA CAPITAL OU,,Ravala pst 8,10143,Tallinn,ESTONIA,ESTONIA,Headquarter
172,EMERGO GLOBAL CONSULTING LLC,,2500 BEE CAVES RD # I,787465869,AUSTIN,Texas(TX),UNITED STATES,Headquarter
173,DTW 1991 UNDERWRITING LIMITED,,71 Fenchurch Street,              EC3M 4BS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
174,SERVIER ITALIA SPA,,VIA LUCA PASSI 85,166,ROMA,ITALY,ITALY,Headquarter
175,BOLT SERVICES EE OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Single address
176,MODERN SYSTEMS CORPORATION,,3200 WINDY HILL RD SE STE 230,303398584,ATLANTA,Georgia(GA),UNITED STATES,Headquarter
177,0044 LIMITED,,Park House Clifton Park,              YO30 5PB,YORK,UNITED KINGDOM,UNITED KINGDOM,Single address
178,MAISONS DU MONDE ITALIE SRL,,VIA TIZIANO 32,20145,MILANO,ITALY,ITALY,Headquarter
179,BOLT HOLDINGS OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Headquarter
180,,,,,,,,
181,LCH LIMITED,,10 PATERNOSTER SQUARE,              EC4M 7LS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
182,PAVAN SPA,,VIA MONTE GRAPPA 8,35015,GALLIERA VENETA,ITALY,ITALY,Headquarter
183,,,,,,,,
184,,,,,,,,
185,VESTEY FOODS INTERNATIONAL LIMITED,,29 Ullswater Crescent,              CR5 2HR,COULSDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
186,PRYSMIAN POWERLINK SRL,,VIA CHIESE 6,20126,MILANO,ITALY,ITALY,Headquarter
187,RINGCENTRAL ESTONIA OU,,Parnu mnt 22,10141,Tallinn,ESTONIA,ESTONIA,Single address
188,,,,,,,,
189,ABELS MOVING SERVICES LIMITED,,Wimbledon Avenue,              IP27 0NZ,BRANDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
190,PRYSMIAN SPA,,VIA CHIESE 6,20126,MILANO,ITALY,ITALY,Headquarter
191,SWEDBANK AS,,Liivalaia 8,15040,Tallinn,ESTONIA,ESTONIA,Headquarter
192,PALANTIR TECHNOLOGIES INC.,PALANTIR,1200 17TH S FL 15,802025835,DENVER,Colorado(CO),UNITED STATES,Headquarter
193,ABEL & COLE LIMITED,,16 Waterside Way,              SW17 0HB,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
194,ELECTRONIC AND OPTICAL SENSING SOLUTIONS SRL IN BREVE EOSS SRL,,VIA CHIESE 6,20126,MILANO,ITALY,ITALY,Headquarter
195,SWEDBANK LIFE INSURANCE SE,,Liivalaia tn 8,10118,Tallinn,ESTONIA,ESTONIA,Headquarter
196,PALANTIR INTERNATIONAL INC.,,1555 BLAKE ST STE 250,802021866,DENVER,Colorado(CO),UNITED STATES,Headquarter
197,,,,,,,,
198,AMMOTEC ITALIA SRL,,VIA GALILEO GALILEI 56,25046,CAZZAGO SAN MARTINO,ITALY,ITALY,Single address
199,SWEDBANK P&C INSURANCE AS,,Liivalaia tn 8,10118,Tallinn,ESTONIA,ESTONIA,Single address
200,,,,,,,,
201,PIB RISK SERVICES LIMITED,,Rossingtons Business Park West Carr Road,              DN22 7SW,RETFORD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
202,I.I.S. 'MARCONI GALLETTI EINAUDI',,VIA ALDO OLIVA 15,28845,DOMODOSSOLA,ITALY,ITALY,Headquarter
203,LHV KINDLUSTUS AS,,Tartu mnt 2,10145,Tallinn,ESTONIA,ESTONIA,Single address
204,,,,,,,,
205,PIB GROUP LIMITED,,1 Minster Court,              EC3R 7AA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
206,THE BRIDGE SPA,,VIA ERNESTO CODIGNOLA 14/16,50018,SCANDICCI,ITALY,ITALY,Headquarter
207,TAVRIDA ELECTRIC EXPORT AS,,Visase tn 14,11415,Tallinn,ESTONIA,ESTONIA,Headquarter
208,PALANTIR TECHNOLOGIES HOLDINGS LLC,,1555 BLAKE ST STE 250,802021866,DENVER,Colorado(CO),UNITED STATES,Single address
209,,,,,,,,
210,VALENTINO SPA,,VIALE DEI LANIFICI 1,36078,VALDAGNO (MAGLIO ),ITALY,ITALY,Headquarter
211,SMARTSWAP OU,,Rannaku pst 12,10917,Tallinn,ESTONIA,ESTONIA,Single address
212,PALANTIR TECHNOLOGIES CANADA INC.,,1555 BLAKE ST STE 250,802021866,DENVER,Colorado(CO),UNITED STATES,Single address
213,J.P. MORGAN TRUST COMPANY (JERSEY) LIMITED,J P MORGAN CHASE BANK,Grenville Street St. Helier,              JE2 4UF,JERSEY,UNITED KINGDOM,UNITED KINGDOM,
214,AEP TICKETING SOLUTIONS SRL,,VIA DEI COLLI 240,50058,SIGNA,ITALY,ITALY,Headquarter
215,MAXIMA EESTI OU,,Aiandi tn 13/2,12918,Tallinn,ESTONIA,ESTONIA,Headquarter
216,PALANTIR TECHNOLOGIES QFC LLC,,1555 BLAKE ST STE 250,802021866,DENVER,Colorado(CO),UNITED STATES,Single address
217,VOLVO CONSTRUCTION EQUIPMENT HAULERS LIMITED,,Newhouse Industrial Estate,              ML1 5RY,MOTHERWELL,UNITED KINGDOM,UNITED KINGDOM,Headquarter
218,ALLIANZ SPA,,PIAZZA TRE TORRI 3,20145,MILANO,ITALY,ITALY,Headquarter
219,FINVAULT EXCHANGE OU,,Rannaku pst 12,10917,Tallinn,ESTONIA,ESTONIA,Single address
220,,,,,,,,
221,FCE BANK PLC,,Arterial Road Laindon,              SS15 6EE,BASILDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
222,ALLIANZ DIRECT SPA,,PIAZZA TRE TORRI 3,20145,MILANO,ITALY,ITALY,Headquarter
223,LHV PANK AS,,Tartu mnt 2,10145,Tallinn,ESTONIA,ESTONIA,Headquarter
224,NASA LANGLEY RESEARCH CENTER,NASA,11 LANGLEY BLVD,236812143,HAMPTON,Virginia(VA),UNITED STATES,Headquarter
225,ALPRO (UK) LIMITED,ALPRO,Altendiez Way Latimer Business Park Burton Latimer,              NN15 5YT,KETTERING,UNITED KINGDOM,UNITED KINGDOM,
226,ENI PLENITUDE SPA SOCIETA' BENEFIT,,PIAZZA EZIO VANONI 1,20097,SAN DONATO MILANESE,ITALY,ITALY,Headquarter
227,GREEN IT OU,,Mustamae tee 3,15033,Tallinn,ESTONIA,ESTONIA,Single address
228,MACANDREWS & FORBES INCORPORATED,,35 E 62ND ST,100658014,NEW YORK,New York(NY),UNITED STATES,Headquarter
229,CRODA EUROPE LIMITED,,Cowick Hall Snaith,              DN14 9AA,GOOLE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
230,DUAL ITALIA SPA,,VIA EDMONDO DE AMICIS 51,20123,MILANO,ITALY,ITALY,Headquarter
231,,,,,,,,
232,,,,,,,,
233,CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,CRODA,Cowick Hall Snaith,              DN14 9AA,GOOLE,UNITED KINGDOM,UNITED KINGDOM,
234,MERCITALIA RAIL SRL,,PIAZZA DELLA CROCE ROSSA 1,161,ROMA,ITALY,ITALY,Headquarter
235,SCAN SHIPPING OU,,Kopli tn 19,10412,Tallinn,ESTONIA,ESTONIA,Single address
236,SURFACE MINING COMMISSION ALABAMA,,1811 2ND AVE FL 2,355015382,JASPER,Alabama(AL),UNITED STATES,Headquarter
237,CRODA INVESTMENTS NO 3 LIMITED,,Cowick Hall Snaith,              DN14 9AA,GOOLE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
238,MARINI SPA,,VIA ROMA 50,48011,ALFONSINE,ITALY,ITALY,Headquarter
239,TS SHIPPING OU,,Sadama tn 25/2,10111,Tallinn,ESTONIA,ESTONIA,Single address
240,COMPASS GROUP L.L.C.,,590 MADISON AVE FL 34,100228533,NEW YORK,New York(NY),UNITED STATES,Headquarter
241,JOHNSON ELECTRIC INTERNATIONAL (UK) LIMITED,,Metropolitan House Longrigg,              NE16 3AS,NEWCASTLE-UPON-TYNE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
242,RAI WAY SPA,,VIA TEULADA 66,195,ROMA,ITALY,ITALY,Headquarter
243,DSVH OU,,Voidu tn 6,11214,Tallinn,ESTONIA,ESTONIA,Headquarter
244,,,,,,,,
245,,,,,,,,
246,BREMBO SPA,,VIA BREMBO 25,24035,CURNO,ITALY,ITALY,Headquarter
247,,,,,,,,
248,GE POWER & WATER,,1 RIVER RD BLDG 5 419,123456000,SCHENECTADY,New York(NY),UNITED STATES,Single address
249,TOR CURRENCY EXCHANGE LIMITED,,St. Marys Terrace,              TR18 4DZ,PENZANCE,UNITED KINGDOM,UNITED KINGDOM,Headquarter
250,NUOVA FOURB SRL,BREMBO,VIA MONTE ORTIGARA 5,24121,BERGAMO,ITALY,ITALY,
251,3P LOGISTICS OU,,Laki poik 2,12919,Tallinn,ESTONIA,ESTONIA,Single address
252,,,,,,,,
253,QBE UK LIMITED,,Plantation Place 30 Fenchurch Street,              EC3M 3BD,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
254,POLYWORKS EUROPA (ITALIA) SRL,,VIA CERESIO 7,20154,MILANO,ITALY,ITALY,Headquarter
255,NG INVESTEERINGUD OU,,Hobujaama tn 4,10151,Tallinn,ESTONIA,ESTONIA,Headquarter
256,PRO MACH INC,,89 PARTNERSHIP WAY,452411580,CINCINNATI,Ohio(OH),UNITED STATES,Single address
257,MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED,,20 Fenchurch Street,              EC3M 3AZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
258,ARISTON SPA,,VIALE ARISTIDE MERLONI 45,60044,FABRIANO,ITALY,ITALY,Headquarter
259,BLRT GRUPP AS,,Kopli tn 103,11712,Tallinn,ESTONIA,ESTONIA,Headquarter
260,,,,,,,,
261,HCC INTERNATIONAL INSURANCE COMPANY PLC,,1 Aldgate,              EC3N 1RE,TOWER,UNITED KINGDOM,UNITED KINGDOM,Headquarter
262,UNIVERSITA' DEGLI STUDI DI PARMA,,STRADA DELL'UNIVERSITA' 12,43121,PARMA,ITALY,ITALY,Headquarter
263,EKSPRESS GRUPP AS,,Parda tn 6,10151,Tallinn,ESTONIA,ESTONIA,Headquarter
264,,,,,,,,
265,BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED,,4Th Floor 8 Fenchurch Place,              EC3M 4AJ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
266,ITT ITALIA SRL,,VIA SAN MARTINO 87,12032,BARGE,ITALY,ITALY,Headquarter
267,,,,,,,,
268,,,,,,,,
