02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
consumer services,industrials,computer software,"['entertainment', 'motion picture']"
consumer goods,oil & gas,financial services,"['entertainment', 'motion picture']"
consumer goods,health care,telecommunications,['motion picture']
technology,financials,financial services,['film']
telecommunications,logistics,oil and gas,"['mass media', 'entertainment']"
telecommunications,industrials,petroleum industry,[]
consumer services,consumer goods,"packaging, aerospace","['entertainment', 'motion picture']"
financials,consumer goods,beverage,"['entertainment', 'mass media']"
telecommunications,basic materials,financial services,"['film, tv technology']"
industrials,consumer goods,financial services,['bollywood']
industrials,financials,video games,"['film', 'media', 'music']"
consumer services,consumer goods,banking financial services,"['motion pictures', 'video games', 'tv commercials']"
health care,industrials,banking financial services,['film production']
industrials,industrials,financial services,['mass media']
basic materials,industrials,banking financial services,['motion pictures']
technology,technology,food processing,['video games']
technology,basic materials,bookselling,['motion pictures']
technology,industrials,metals and mining,['film industry']
industrials,industrials,chemicals,['motion pictures']
consumer goods,industrials,food and beverage,['motion pictures']
health care,consumer goods,shoemaking retail manufacture of leather and related products,['cinema']
consumer goods,industrials,retail,['film']
consumer goods,consumer goods,internet artificial intelligence cloud computing,['animated films.']
consumer services,consumer goods,pharmaceuticals chemicals biotechnology healthcare,['film']
technology,robotics,"medical equipment, consulting",['media']
technology,telecommunications,major appliances small appliances electronics technology,"['production', 'tv-production', 'entertainment', 'sketch shows', 'tv shows', 'sitcoms']"
technology,consumer services,mass media,['motion pictures']
technology,consumer goods,fashion,"['entertainment, media']"
industrials,financials,retail,[]
utilities,utilities,telecommunications,['film']
industrials,financials,conglomerate,['film']
industrials,basic materials,conglomerate,['media']
industrials,industrials,textile,"['film, television']"
technology,industrials,power tools home improvement products hardware fastening technology,"['film', 'television']"
consumer goods,consumer services,investment management,['film and television production']
industrials,health care,automotive,['motion pictures']
financials,conglomerates,consumer electronics,['film production']
financials,industrials,mass media,['feature films and tv drama']
technology,financials,financial services,"['film, television']"
consumer goods,financials,audio electronics,['exploitation film studio']
consumer goods,technology,aerospace defense,"['computer animation', 'motion pictures']"
consumer services,industrials,aerospace,['film and tv']
health care,technology,retail entertainment,[]
industrials,consumer goods,conglomerate,"['motion picture exhibition, distribution and production']"
industrials,consumer goods,conglomerate,['film']
conglomerates,utilities,manufacturing,['motion pictures']
industrials,utilities,auto and truck parts,"['film production', 'home video']"
consumer services,industrials,auto and truck parts,['film production']
consumer goods,consumer goods,oil and gas,"['entertainment', 'film production', 'television production']"
consumer goods,consumer goods,fashion,"['animated', 'films']"
consumer goods,industrials,telecommunications,['motion pictures']
consumer goods,technology,internet,['film studio']
financials,industrials,electric automotive,['film production']
consumer goods,consumer goods,confectionery,['film studio']
consumer services,financials,video games,['entertainment']
consumer goods,basic materials,electronics,['film']
industrials,consumer services,information technology consulting outsourcing,['film']
telecommunications,financials,electronics,['motion pictures']
basic materials,industrials,financial services,"['entertainment', 'home video']"
basic materials,consumer services,conglomerate,['film']
consumer goods,financials,conglomerate,['motion pictures']
industrials,basic materials,conglomerate,['entertainment']
industrials,basic materials,beverages,"['film', 'television', 'animation']"
technology,consumer goods,retail wholesaling,"['film', 'television']"
consumer services,consumer goods,heavy equipment engines financial services,"['production company', 'film distributor']"
technology,industrials,electronics,['motion pictures']
financials,financials,"telecommunications, consumer electronics",['motion pictures']
technology,consumer services,retail,['motion pictures']
industrials,industrials,confectionery,"['film industry', 'entertainment']"
technology,consumer goods,telecommunications,['film production']
technology,consumer services,television manufacturer,"['film', 'television']"
financials,consumer services,fashion,"['motion picture', 'production company']"
financials,basic materials,agriculture,['entertainment']
financials,consumer goods,energy oil and gas,['film studio']
consumer goods,industrials,banking,['motion pictures']
technology,consumer services,conglomerate,['motion pictures']
consumer goods,consumer goods,insurance and reinsurance,['film']
technology,consumer goods,shipping and logistics,"['television production', 'television syndication']"
industrials,financials,networking hardware networking software,['entertainment']
consumer goods,consumer goods,financial services,['film']
industrials,health care,consumer electronics,"['entertainment', 'motion pictures', 'motion pictures']"
financials,technology,beverage,['entertainment']
consumer services,technology,restaurants retail coffee and tea,[]
industrials,oil and gas,information technology consulting outsourcing,"['film', 'television']"
consumer goods,basic materials,consumer goods,['motion pictures']
consumer services,financials,aviation,['films']
consumer goods,consumer goods,business services,['film']
industrials,consumer services,oil and gas,['film']
consumer goods,industrials,oil and gas,['film']
consumer goods,consumer goods,retail,['entertainment']
financials,technology,beauty,"['film', 'television', 'motion pictures']"
financials,consumer goods,consumer electronics,['film']
financials,health care,financial services,[]
consumer goods,industrials,"wholesale trade, retail & consumer services, clothing & clothing accessories",['production studio']
consumer services,health care,financial services,['film']
consumer services,industrials,"heavy equipment, automotive",['film']
consumer services,industrials,consumer electronics,"['motion pictures', 'animation']"
basic materials,financials,conglomerate,[]
industrials,financials,conglomerate,['motion pictures']
oil & gas,consumer services,networking equipment,['film']
consumer goods,technology,consumer goods,['film']
technology,consumer goods,"electrical equipment, chemicals","['motion picture exhibition, distribution and production']"
utilities,consumer services,automotive,['motion pictures']
consumer services,technology,conglomerate construction materials,['entertainment']
technology,technology,automotive,"['film industry', 'video games']"
technology,basic materials,food processing,['entertainment']
health care,consumer goods,font design branding,[]
basic materials,industrials,font design branding,['film distribution']
consumer services,consumer services,retail,['motion pictures']
technology,industrials,retail,['film']
health care,basic materials,computer hardware computer software,"['television production', 'video games', 'video games', 'sports']"
consumer goods,technology,professional services,[]
technology,consumer services,professional services,['film distribution']
consumer goods,telecommunications,banking financial services,['motion picture']
technology,telecommunications,beverages,['motion picture']
financials,financials,restaurants,[]
industrials,basic materials,consumer electronics,['movie studio']
consumer services,financials,chemicals,"['motion pictures', 'motion pictures']"
telecommunications,consumer goods,"retail, variety, discount",['entertainment']
consumer services,consumer goods,software,['film studio']
consumer goods,consumer goods,agribusiness,['entertainment']
consumer services,consumer goods,foodservice franchising,['entertainment']
industrials,industrials,entertainment,['film']
consumer services,financials,chemicals,"['film', 'television']"
conglomerates,basic materials,information technology consulting outsourcing,"['film', 'entertainment', 'mass media']"
industrials,basic materials,household appliances,"['animation', 'motion pictures']"
consumer goods,consumer goods,e-commerce,['film studio']
basic materials,telecommunications,video games,['film']
technology,industrials,"aerospace, defense",['film']
oil & gas,industrials,electrical equipment,['film studio']
consumer goods,consumer services,typography,['film']
consumer goods,health care,oil and gas,[]
consumer services,health care,telecommunications networking,['film studio']
health care,industrials,cosmetics,"['motion picture', 'media', 'publishing']"
consumer goods,industrials,telecommunication,['film studio']
industrials,consumer services,telecommunication,['motion pictures']
industrials,health care,container shipping marine transportation,['film']
basic materials,consumer services,investment banking,['film production and distribution']
consumer goods,basic materials,energy: oil and gas,['production company']
technology,industrials,food manufacturing,['entertainment']
industrials,basic materials,professional services,['entertainment']
technology,industrials,stationery,['film']
health care,industrials,telecommunications equipment,['film']
health care,financials,retail,"['motion pictures', 'television programs']"
consumer goods,consumer goods,sportswear sports equipment,['entertainment']
industrials,industrials,e-commerce services transportation,['film']
industrials,industrials,food,['entertainment']
consumer goods,consumer services,sportswear sports goods,['television production']
consumer goods,consumer goods,sportswear sports goods,[]
industrials,financials,financial sector,['film studio']
industrials,technology,type foundry,"['motion pictures', 'television films']"
financials,consumer services,"type foundry, stock photography",['entertainment']
technology,consumer goods,cloud security cybersecurity network security,['entertainment']
health care,industrials,fashion,['film studio']
consumer services,industrials,electronics,"['film', 'television']"
technology,basic materials,"information technology, communications, education","['entertainment', 'home video']"
financials,consumer goods,document solutions digital imaging medical imaging cosmetics regenerative medicine stem cells biologics,['film']
consumer goods,consumer services,computer hardware consulting cloud computing telecommunications data storage consumer electronics,['film studio']
industrials,industrials,computer hardware consulting cloud computing telecommunications data storage consumer electronics,['motion pictures']
technology,consumer services,conglomerate,['film']
industrials,consumer services,retail,['film']
consumer services,consumer services,retail,['entertainment']
basic materials,technology,technology,['entertainment']
technology,telecommunications,research & advisory services,['film']
consumer services,consumer services,oil and gas,['film']
consumer goods,financials,online media retail,['entertainment']
technology,consumer services,conglomerate,['entertainment']
financials,financials,"electronics, household appliances","['home video', 'motion pictures']"
technology,oil & gas,food processing,"['motion pictures', 'television']"
industrials,financials,automotive,['entertainment']
industrials,financials,financial services,['film']
industrials,industrials,iron and steel,"['film', 'television programming']"
consumer services,industrials,bicycle manufacturing,"['movies', 'television', 'home entertainment', 'home video', 'movie theaters']"
consumer services,consumer goods,telecommunications remittance mass media,"['television production', 'television syndication']"
consumer goods,industrials,video games,['motion picture']
technology,financials,video games,[]
consumer services,conglomerates,fashion,['entertainment']
financials,consumer services,pharmaceutical biotechnology,"['film', 'television production']"
financials,basic materials,automotive,['film']
industrials,consumer services,manufacturing,['film industry']
utilities,financials,artificial intelligence advertising cloud computing computer software computer hardware internet,"['film production', 'television production', 'theatrical production', 'publishing']"
industrials,financials,"internet, it consulting, smes",[]
technology,consumer services,technology videography consumer electronics,[]
technology,consumer services,technology videography consumer electronics,"['entertainment', 'film']"
basic materials,consumer services,luxury goods,"['film', 'television']"
industrial,consumer services,home appliances consumer electronics,['production company']
consumer goods,consumer services,retail,"['film production', 'film distribution']"
technology,financials,confectionery,['motion pictures']
consumer services,financials,"casual dining restaurants, casinos, hotels","['film, television']"
basic materials,technology,fossil fuel,['motion pictures']
technology,consumer services,auto and truck parts,['motion pictures']
consumer services,consumer services,food,"['television', 'film', 'education', 'content management', 'new biz']"
conglomerates,financials,food,['motion pictures']
consumer goods,consumer goods,retail,['film production']
financials,consumer goods,toys and entertainment,"['entertainment', 'mass media', 'production']"
financials,consumer services,media,['entertainment']
utilities,industrials,fmcg,['entertainment']
consumer services,basic materials,information technology,"['mass media', 'e-commerce', 'real estate', 'investment services']"
industrials,consumer services,manufacturing,['entertainment']
financials,consumer goods,pharmaceuticals,['oil and gas']
consumer goods,telecommunications,conglomerate,['film']
livestock,conglomerates,manufacturing,[]
health care,industrials,conglomerate,['film']
industrials,oil & gas,computer hardware,"['cgi animation', 'motion pictures']"
industrials,utilities,financial services,['oil and gas']
telecommunications,telecommunications,telecommunications equipment,['film']
technology,technology,entertainment,['film']
technology,technology,consumer electronics telecom equipment networking equipment semiconductors artificial intelligence automation cloud computing internet of things,['oil']
telecommunications,oil & gas,banking,['oil and gas']
technology,oil & gas,"defense, shipbuilding, defense technologies",['oil and gas']
telecommunications,consumer goods,chemicals,['motion pictures']
consumer services,basic materials,telecommunications,['cinema']
telecommunications,consumer services,consumer electronics,['energy']
industrials,financials,automotive,['motion pictures']
consumer goods,consumer goods,information technology,['cinema']
technology,consumer services,financial services,['motion pictures']
telecommunications,telecommunications,financial services,['oil and gas']
industrials,industrials,construction property infrastructure plantations industry,['petroleum and natural gas']
technology,financials,construction property infrastructure plantations industry,"['petroleum', 'energy']"
financials,financials,conglomerate,[]
consumer services,financials,retail,"['energy', 'oil and gas']"
basic materials,financials,manufacturing,['petroleum']
utilities,industrials,information technology consulting outsourcing,['motion pictures']
consumer goods,consumer goods,financial services,"['animation', 'motion pictures']"
consumer goods,telecommunications,diversified machinery,"['animation', 'motion pictures']"
industrials,industrials,semiconductors computer hardware autonomous cars automation artificial intelligence,['motion pictures']
utilities,industrials,financial services,"['motion pictures', 'television']"
basic materials,industrials,manufacturing,"['animation', 'motion pictures']"
industrials,telecommunications,confections,"['metals', 'mining']"
industrials,oil & gas,confections,"['conglomerate', 'natural gas wholesaling', 'lpg wholesaling', 'electricity generation', 'electricity retailing', 'natural gas retailing']"
financials,consumer services,food beverage,['oil and gas']
consumer goods,consumer goods,conglomerate,['energy']
industrials,consumer goods,various,['energy']
consumer goods,consumer services,various,['energy']
industrials,consumer goods,pharmaceutical medical technology consumer healthcare,['petroleum industry']
consumer goods,industrials,restaurants,"['motion pictures', 'television']"
consumer services,consumer goods,financial services,['petroleum industry']
consumer goods,health care,electronics,['oil and gas']
consumer services,industrials,consumer electronics,['licensing']
technology,telecommunications,financial services,"['broadcast media', 'television production']"
consumer services,industrials,heavy equipment automotive defense,['motion pictures']
technology,consumer goods,sports equipment textile,['motion pictures']
conglomerates,consumer goods,food processing,['petroleum industry']
conglomerates,consumer goods,food,['petroleum industry']
industrials,consumer services,beverage,['oil and gas']
basic materials,consumer services,personal care,['petroleum industry']
industrials,financials,storage devices,[]
consumer services,consumer services,storage devices,"['theatrical distribution', 'film production', 'marketing']"
technology,financials,storage devices,[]
health care,consumer services,"heavy equipment (construction, mining and forestry), defense technology",['petroleum industry']
technology,industrials,video games entertainment,"['film distribution', 'film production', 'television production']"
industrials,technology,electronics,['entertainment']
consumer services,industrials,"music, entertainment, karaoke",['petroleum industry']
consumer goods,industrials,professional services,['petroleum industry']
financials,consumer services,food,['chemical industry']
financials,industrials,dairy products,['petroleum industry']
financials,industrials,semiconductors,['petroleum']
financials,industrials,"publishing, travel retail, live entertainment, media",['petroleum industry']
financials,telecommunications,conglomerate,['conglomerate']
financials,consumer services,aviation,['motion picture']
consumer goods,consumer goods,e-commerce,['petroleum industry']
financials,consumer goods,textile,[]
consumer services,technology,manufacturing,[]
consumer services,consumer services,confectionery,['film']
consumer goods,consumer services,computer hardware electronics,"['film and television', 'video games']"
industrials,industrials,conglomerate,['oil and gas']
consumer goods,utilities,aerospace industry defence industry space industry,"['motion picture, theatre, television, video games']"
consumer goods,industrials,"manufacturing, engineering",['petroleum industry']
industrials,financials,"manufacturing, engineering",['petroleum industry']
oil & gas,industrials,consumer electronics home appliances computer hardwares,['petroleum industry']
utilities,telecommunications,chemical industry,['petroleum industry']
industrials,industrials,chemical industry,['petroleum']
industrials,technology,language localization software testing e-learning,['petroleum industry']
industrials,oil & gas,conglomerate,['petroleum industry']
industrials,technology,advanced technologies information security aerospace defense,['oil and gas']
consumer services,industrials,consumer goods,['entertainment (movie)']
consumer goods,industrials,conglomerate,"['television production', 'film']"
health care,technology,coffee shop,['natural gas']
consumer goods,consumer services,coffee shop,['film']
consumer services,oil & gas,oil and gas,['petroleum industry']
consumer goods,industrials,pharmaceuticals,['japanese animation']
consumer goods,consumer goods,automotive,"['petroleum industry', 'mining']"
consumer services,consumer services,"eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing","['film, anime']"
utilities,consumer goods,chemicals,[]
utilities,consumer goods,sport cars,['oil and gas']
consumer services,consumer goods,retail,['petroleum industry']
telecommunications,industrials,conglomerate,['petroleum industry']
consumer goods,industrials,food veterinary services,['petroleum industry']
industrials,consumer services,musical instruments,['petroleum industry']
consumer goods,industrials,amplification musical instrument manufacturing,['petroleum industry']
conglomerates,consumer goods,amplification musical instrument manufacturing,['oil and gas industry']
industrials,consumer goods,alcoholic beverages,['oil and gas']
oil & gas,industrials,freight transport,['oil and gas']
utilities,consumer services,food processing,['petroleum']
conglomerates,consumer services,"food processing, snack, dairy products",['oil and gas']
technology,consumer services,toys and entertainment,['energy']
utilities,technology,toys and entertainment,['oil and gas']
consumer goods,basic materials,frozen food,['petroleum']
consumer goods,consumer goods,"restaurants, real estate[1][2]",[]
utilities,utilities,semiconductors gpus graphics cards consumer electronics computer hardware,['motion pictures']
consumer goods,health care,food pharmaceutical healthcare,['motion pictures']
industrials,industrials,consumer electronics,['motion picture']
consumer goods,consumer goods,consumer electronics,"['film production', 'film distribution']"
consumer services,financials,beverages diversified financial services it/bpo manufacturing health telecommunications plantation power hospitality logistics media,['motion pictures']
utilities,financials,automotive,"['entertainment', 'music', 'film production']"
consumer services,consumer goods,social media social network advertising consumer electronics virtual reality,['film']
consumer goods,industrials,retail,['entertainment']
consumer services,consumer services,auto and truck parts,['oil and gas']
industrials,consumer goods,computer hardware electronics,"['music', 'entertainment']"
financials,financials,electronics consumer electronics computer hardwares home appliances,['petroleum industry']
industrials,consumer services,information technology,['entertainment(2001-present)']
consumer goods,industrials,sports equipment,['energy']
consumer services,telecommunications,life sciences biotech,['petroleum']
financials,consumer goods,variety store,['oil and gas industry']
consumer services,consumer services,information technology consulting outsourcing,['oil and petroleum']
consumer goods,industrials,electrical equipment electronics,"['petroleum and natural gas exploration, development and production']"
consumer goods,industrials,electrical equipment electronics,['oil and natural gas']
consumer goods,consumer services,pre-press and pre-media services machinery industry and plant construction,['oil & gas drilling & exploration']
consumer goods,industrials,pre-press and pre-media services machinery industry and plant construction,"['film, producer']"
consumer goods,industrials,food,['oil and gas']
consumer services,consumer goods,food,['oil & gas drilling & exploration']
financials,consumer goods,casual dining/chain restaurant,['oil and gas']
technology,consumer services,entertainment,['oil and gas industry']
consumer services,financials,media entertainment,"['oil', 'natural gas']"
consumer services,financials,footwear,"['entertainment', 'software']"
consumer services,consumer goods,consumer goods,[]
conglomerates,industrials,food processing,['motion picture']
financials,consumer services,information technology electronics,[]
industrials,consumer services,cloud computing storage device,['petroleum industry']
conglomerates,consumer services,apparel accessories sports equipment,['petroleum industry']
industrials,industrials,apparel accessories sports equipment,['oil and gas']
consumer services,consumer services,consumer electronics,['oil and gas exploration']
industrials,consumer services,video games electronics,['oil and gas industry']
industrials,consumer services,automotive,['entertainment']
consumer goods,consumer services,telecommunications technology electronics,[]
consumer services,consumer services,metals,['entertainment']
consumer goods,consumer services,pharmaceuticals,['entertainment']
consumer services,technology,"pharmaceuticals, health care",['entertainment']
industrials,industrials,electronics,['entertainment']
consumer services,financials,"windows, doors, roller shutters, aluminium",['entertainment']
consumer services,consumer services,telecommunications,['entertainment']
industrials,financials,telecommunications,['oil']
technology,consumer services,retail,['oil and gas industry']
utilities,consumer services,enterprise software business software cloud computing computer hardware consulting,['utilities']
consumer services,consumer services,telecommunications,['oil and gas']
oil & gas,consumer services,food retail,['oil and gas']
consumer services,consumer services,jewellery retail,['petroleum']
consumer services,financials,conglomerate,['petroleum']
industrials,consumer services,stationery,['petroleum']
consumer goods,technology,media entertainment,['petroleum']
consumer goods,telecommunications,wireless / uav,['oil and gas']
industrials,consumer services,textile footwear,['oil and gas']
industrials,basic materials,restaurants,['petroleum']
industrials,technology,beverages food processing,['oil and gas']
oil & gas,consumer services,consulting,['refining']
telecommunications,consumer services,oil and gas,['motion pictures']
consumer services,industrials,alcohol,['motion pictures']
technology,consumer services,alcohol,['motion pictures']
industrials,financials,oil and gas industry,['media & entertainment']
consumer goods,consumer services,pharmaceutical biotechnology,['film production']
consumer goods,consumer services,conglomerate,[]
telecommunications,telecommunications,financial services,['entertainment']
consumer services,consumer services,financial services,['films']
consumer services,utilities,consumer electronics,"['film production', 'film distribution']"
consumer services,consumer services,automotive,['entertainment']
technology,utilities,stationery,['entertainment']
consumer services,utilities,stationery,['oil and gas']
consumer goods,consumer services,stationery,['oil and gas']
consumer goods,consumer services,telecommunications,['petroleum']
consumer goods,consumer services,restaurants,['oil and gas industry']
technology,industrials,consumer goods,['oil and gas']
telecommunications,financials,automotive,['oil and gas']
consumer services,financials,fashion,[]
consumer goods,financials,insurance retirement investment,['oil and gas industry']
consumer goods,financials,clothing,['petroleum industry']
consumer goods,consumer goods,professional services,['petroleum']
industrials,consumer services,banking and financial services,['oil and gas']
conglomerates,consumer goods,banking and financial services,['oil and gas']
health care,financials,telecoms equipments semiconductors,"['film', 'television']"
industrials,industrials,oil and gas,['motion picture']
industrials,health care,financial services,"['entertainment', 'entertainment']"
consumer services,consumer services,"recyclable packing, packaging, packaging machinery",['entertainment']
telecommunications,consumer services,consumer goods,['oil and gas']
consumer services,consumer services,published media,['petroleum']
industrials,consumer services,published media,['petroleum industry']
industrials,consumer services,industrial services,['entertainment']
industrials,consumer services,conglomerate,['petroleum']
industrials,consumer services,automotive,['petroleum']
consumer services,consumer services,petroleum,['oil and gas']
consumer goods,consumer services,"electronics, imaging",['film']
technology,oil & gas,conglomerate,['film']
technology,financials,electronics,"['motion pictures', 'television']"
consumer services,industrials,electronics,['motion picture']
industrials,telecommunications,financial services,[]
industrials,financials,energy petroleum,"['oil', 'natural gas']"
industrials,basic materials,conglomerate,['energy']
technology,consumer services,aluminium,['renewable energy']
consumer goods,telecommunications,automotive,['energy industry']
financials,consumer services,aerospace and defence,"['energy', 'oil']"
financials,technology,retail,['oil']
real estate,technology,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,"['oil and gas', 'retail', 'mobility']"
industrials,technology,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,['energy industry']
financials,consumer services,writing implements,[]
consumer goods,consumer services,conglomerate,['film production']
basic materials,financials,storage devices,['film industry']
telecommunications,consumer services,engineering,"['filmmaking', 'film distribution']"
financials,consumer services,wholesale[1],['entertainment']
financials,technology,pharmaceuticals biotechnology healthcare,['motion pictures']
consumer goods,consumer services,oil and gas,['film']
consumer services,technology,enterprise software business software cloud computing consulting,['film']
telecommunications,industrials,"consumer products energy & commodities financial services health public sector retail telecommunications, media & technology transportation & mobility travel & hospitality",['gas and oil (exploration and production)']
basic materials,consumer services,aviation,['film']
consumer services,industrials,telecommunications technology data centers product engineering semiconductor industrials,['petroleum industry']
industrials,technology,oil and gas chemical nuclear coal tar,['electric utility']
financials,consumer services,oilfield services and equipment,['oil and gas industry']
utilities,consumer goods,stationery sports equipment,['petroleum']
oil & gas,consumer goods,electrical equipment,['electricity generation']
oil & gas,industrials,vertical transportation,['petroleum']
technology,financials,"toys, figurines",['oil and gas']
financials,industrials,banking financial services,['retail']
telecommunications,industrials,children's literacy and education,"['retail', 'home improvement']"
consumer goods,telecommunications,electronics watchmaking,['retailing']
oil & gas,financials,retail,['retail']
basic materials,telecommunications,audio electronics,"['retail', 'horeca']"
industrials,consumer services,robotics toys,['retail']
industrials,industrials,toys and entertainment,['retail']
consumer goods,telecommunications,furnishings,['retail']
consumer services,consumer services,computer storage,"['oil, gas, petrochemistry and recycling']"
consumer services,financials,mass media,['entertainment']
health care,consumer goods,furnishings,['film production']
consumer goods,consumer services,serviced offices,['motion pictures']
consumer goods,consumer goods,"steel, mining",['oil']
consumer goods,consumer goods,air freight and logistics,['energy storage']
financials,industrials,quality,['motion picture']
financials,consumer goods,quality,['film production']
consumer services,consumer goods,consumer goods,['consumer electronics']
financials,consumer services,e-commerce,['petroleum industry']
industrials,consumer goods,conglomerate,"['oil and gas exploration', 'extraction']"
consumer services,financials,property development property investment hospitality,[]
consumer services,industrials,human resources software,['oil and gas']
consumer goods,industrials,telecommunications,['supermarket']
consumer goods,consumer services,oil and gas,['wholesale distribution']
consumer goods,industrials,manufacturing,['oil and gas']
technology,industrials,manufacturing,"['restaurants', 'coffee', 'retail beverages', 'entertainment']"
industrials,consumer goods,animation production,['retail']
consumer services,telecommunications,conglomerate,['coffee']
consumer goods,basic materials,financial services,"['chinese cinema', 'hong kong cinema']"
industrials,consumer goods,internet,['film']
consumer services,consumer goods,conglomerate,['film']
consumer services,consumer goods,audio,['film']
consumer services,consumer goods,audio,"['animation', 'film production']"
consumer goods,technology,rail transport machinery,['film production']
telecommunications,consumer goods,automotive industry,['cinema of hong kong']
oil & gas,consumer goods,conglomerate,['film']
oil & gas,industrials,conglomerate,['entertainment']
industrials,industrials,conglomerate,['oil and gas industry']
financials,telecommunications,media entertainment,['energy']
telecommunications,consumer services,stationery,['oil and gas industry']
consumer services,consumer services,"banking, financial services","['film production', 'animations', 'dubbing']"
consumer services,industrials,coffee shop,['gas utility']
industrials,telecommunications,"banking, financial services",['oil and gas']
oil & gas,consumer goods,retail / grocery,['petroleum']
industrials,basic materials,restaurants,['oil and gas']
telecommunications,financials,automotive production systems,"['oil', 'petroleum refining', 'aviation']"
technology,basic materials,beverage,['oil and gas']
technology,telecommunications,automotive,['oil']
technology,industrials,"fashion, crystal, and jewelry","['oil', 'gas']"
consumer services,industrials,"beverages, malt",['oil and gas']
consumer goods,financials,"beverages, malt",['retail']
telecommunications,industrials,"beverages, malt",['retail']
health care,health care,video games,['e-commerce']
conglomerates,consumer services,"fashion, accessories",['retail']
industrials,financials,retail,['oil and gas']
technology,health care,automotive,['e-commerce']
technology,industrials,food,"['media', 'holding company']"
telecommunications,consumer goods,food processing,['retail']
consumer goods,consumer services,consumer electronics home appliances finance,"['retailing', 'warehouse club']"
conglomerates,consumer goods,information technology consulting outsourcing,['retail']
telecommunications,consumer goods,electronics,['retail']
health care,industrials,electronics,['retail']
basic materials,consumer services,information technology consulting outsourcing,['manufacturing']
industrials,industrials,information technology consulting outsourcing,['coffee']
financials,industrials,telecommunications,"['restaurants ', 'retail coffee and tea']"
health care,consumer goods,telecommunications it consulting,['coffee']
financials,industrials,conglomerate,[]
consumer services,consumer goods,retailing,"['food processing', 'beverages']"
consumer goods,industrials,food processing,['restaurants']
technology,health care,watchmaking jewellery,['coffee']
wine making,consumer services,retail,['coffee industry']
technology,industrials,automotive renewable energy,['coffee shop']
industrials,consumer goods,food packaging,['chinese cinema']
consumer goods,technology,telecommunications,['coffee shop']
consumer services,industrials,semiconductors,['film production']
consumer services,consumer goods,aerospace industry automotive industry defense industry,['cinema of hong kong']
consumer goods,industrials,mass media,['film industry']
consumer services,industrials,food,['film']
