,Name,MasterCap,Country,Industry,Sector
74,NEPI Rockcastle plc,$7.94 B,United Kingdom,Real EstateDiversified,Real Estate
75,Melrose Industries plc,$7.93 B,United Kingdom,Specialty Industrial Machinery,Industrials
76,Pershing Square Holdings Ord,$7.88 B,United Kingdom,Asset Management,Financials
77,Capri Holdings Limited,$7.79 B,United Kingdom,Apparel Manufacturing,Consumer Discretionary
78,Meggitt plc,$7.79 B,United Kingdom,Aerospace & Defense,Industrials
79,Land Securities Group plc,$7.76 B,United Kingdom,REITDiversified,Real Estate
80,M&G plc,$7.59 B,United Kingdom,Asset Management,Financials
81,Smiths Group plc,$7.57 B,United Kingdom,Specialty Industrial Machinery,Industrials
82,Whitbread plc,$7.55 B,United Kingdom,Restaurants,Consumer Discretionary
83,Pearson plc,$7.52 B,United Kingdom,Publishing,Communication Services
84,J Sainsbury plc,$7.42 B,United Kingdom,Grocery Stores,Consumer Staples
85,Allfunds Group plc,$7.28 B,United Kingdom,Asset Management,Financials
86,Kingfisher plc,$7.10 B,United Kingdom,Home Improvement Retail,Consumer Discretionary
87,Rightmove plc,$7.09 B,United Kingdom,Internet Content & Information,Communication Services
88,Airtel Africa plc,$7.02 B,United Kingdom,Telecom Services,Communication Services
89,Barratt Developments plc,$7.02 B,United Kingdom,Residential Construction,Consumer Discretionary
90,Intermediate Capital Group plc,$6.77 B,United Kingdom,Asset Management,Financials
91,Electrocomponents plc,$6.64 B,United Kingdom,Industrial Distribution,Industrials
92,British Land Company plc,$6.51 B,United Kingdom,REITDiversified,Real Estate
93,Endeavour Mining Corporation,$6.35 B,United Kingdom,Gold,Basic Materials
94,Taylor Wimpey plc,$6.25 B,United Kingdom,Residential Construction,Consumer Discretionary
95,Hargreaves Lansdown plc,$6.25 B,United Kingdom,Asset Management,Financials
96,The Unite Group plc,$6.12 B,United Kingdom,REITDiversified,Real Estate
97,Janus Henderson Group plc,$6.10 B,United Kingdom,Asset Management,Financials
98,The Berkeley Group Holdings plc,$6.07 B,United Kingdom,Residential Construction,Consumer Discretionary
99,F&C Investment Trust plc,$6.06 B,United Kingdom,Asset Management,Financials
100,Pepco Group N.V.,$6.03 B,United Kingdom,Discount Stores,Consumer Staples
101,Howden Joinery Group plc,$5.98 B,United Kingdom,"Furnishings, Fixtures & Appliances",Consumer Discretionary
102,nVent Electric plc,$5.97 B,United Kingdom,Electrical Equipment & Parts,Industrials
103,Investec plc,"(Jan. 1, 2022)",United Kingdom,Capital Markets,Financials
104,Pennon Group plc,$5.91 B,United Kingdom,UtilitiesRegulated Water,Utilities
105,DS Smith plc,$5.78 B,United Kingdom,Packaging & Containers,Consumer Discretionary
106,The Weir Group plc,$5.74 B,United Kingdom,Specialty Industrial Machinery,Industrials
107,Dechra Pharmaceuticals plc,$5.72 B,United Kingdom,Drug ManufacturersGeneral,Healthcare
108,Sareum Holdings plc,$5.60 B,United Kingdom,Biotechnology,Healthcare
109,Convatec Group plc,$5.49 B,United Kingdom,Medical Instruments & Supplies,Healthcare
110,Tritax Big Box REIT plc,$5.48 B,United Kingdom,REITRetail,Real Estate
111,Farfetch Limited,$5.29 B,United Kingdom,Internet Retail,Consumer Discretionary
112,RIT Capital Partners,$5.28 B,United Kingdom,Asset Management,Financials
113,Mimecast Limited,$5.12 B,United Kingdom,SoftwareInfrastructure,Technology
114,International Game Technology PLC,$5.06 B,United Kingdom,Gambling,Consumer Discretionary
115,Direct Line Insurance Group plc,$4.92 B,United Kingdom,InsuranceDiversified,Financials
116,Derwent London plc,$4.82 B,United Kingdom,REITOffice,Real Estate
117,IMI plc,$4.79 B,United Kingdom,Specialty Industrial Machinery,Industrials
118,Johnson Matthey plc,$4.79 B,United Kingdom,Specialty Chemicals,Basic Materials
119,HICL Infrastructure plc,$4.59 B,United Kingdom,Asset Management,Financials
120,Wizz Air Holdings plc,$4.52 B,United Kingdom,Airlines,Industrials
121,Atotech Ltd,$4.48 B,United Kingdom,Electronic Components,Technology
122,Computacenter plc,$4.44 B,United Kingdom,Information Technology Services,Technology
123,Frasers Group plc,$4.33 B,United Kingdom,Specialty Retail,Consumer Discretionary
124,Man Group plc,$4.33 B,United Kingdom,Asset Management,Financials
125,Royal Mail plc,$4.31 B,United Kingdom,Integrated Freight & Logistics,Industrials
126,Softcat plc,$4.31 B,United Kingdom,Information Technology Services,Technology
127,ITV plc,$4.30 B,United Kingdom,Broadcasting,Communication Services
128,Diploma plc,$4.25 B,United Kingdom,Industrial Distribution,Industrials
129,Rotork plc,"(Jan. 1, 2022)",United Kingdom,Specialty Industrial Machinery,Industrials
130,Abcam plc,$4.21 B,United Kingdom,Biotechnology,Healthcare
131,Future plc,$4.20 B,United Kingdom,Publishing,Communication Services
132,Darktrace plc,$4.13 B,United Kingdom,SoftwareInfrastructure,Technology
133,3I Infrastructure plc,$4.11 B,United Kingdom,Asset Management,Financials
134,Drax Group plc,$4.11 B,United Kingdom,UtilitiesRenewable,Utilities
135,IG Group Holdings plc,$4.04 B,United Kingdom,Capital Markets,Financials
136,Polar Capital Technology Trust,$4.04 B,United Kingdom,Asset Management,Financials
137,Nomad Foods Limited,$4.04 B,United Kingdom,Packaged Foods,Consumer Staples
138,Tate & Lyle plc,$4.01 B,United Kingdom,Packaged Foods,Consumer Staples
139,LivaNova PLC,$3.99 B,United Kingdom,Medical Devices,Healthcare
140,William Hill plc,"(March 13, 2021)",United Kingdom,Gambling,Consumer Discretionary
141,Bellway plc,$3.95 B,United Kingdom,Residential Construction,Consumer Discretionary
142,Alliance Trust plc,$3.93 B,United Kingdom,Asset Management,Financials
143,Greencoat UK Wind plc,$3.92 B,United Kingdom,Asset Management,Financials
144,Atlantica Sustainable Infrastructure plc,$3.87 B,United Kingdom,UtilitiesRenewable,Utilities
145,Safestore Holdings plc,$3.76 B,United Kingdom,REITIndustrial,Real Estate
146,HomeServe plc,$3.72 B,United Kingdom,Specialty Business Services,Industrials
147,The Renewables Infrastructure Group Limited,$3.71 B,United Kingdom,Asset Management,Financials
148,International Public Partnerships Ld,$3.70 B,United Kingdom,Asset Management,Financials
149,Renishaw plc,$3.66 B,United Kingdom,Scientific & Technical Instruments,Technology
150,Travis Perkins plc,$3.63 B,United Kingdom,Building Products & Equipment,Industrials
151,TechnipFMC plc,$3.58 B,United Kingdom,Oil & Gas Equipment & Services,Energy
152,Watches of Switzerland Group plc,$3.57 B,United Kingdom,Luxury Goods,Consumer Discretionary
153,Big Yellow Group plc,$3.57 B,United Kingdom,REITIndustrial,Real Estate
154,Beazley plc,$3.45 B,United Kingdom,InsuranceProperty & Casualty,Financials
155,Smithson Investment Trust plc,$3.43 B,United Kingdom,Asset Management,Financials
156,Monks Investment Trust,$3.42 B,United Kingdom,Asset Management,Financials
157,Inchcape plc,$3.41 B,United Kingdom,Auto & Truck Dealerships,Consumer Discretionary
158,Jet2 plc,$3.35 B,United Kingdom,Travel Services,Consumer Discretionary
159,OSB Group plc,$3.35 B,United Kingdom,Mortgage Finance,Financials
160,Greggs plc,$3.33 B,United Kingdom,Grocery Stores,Consumer Staples
161,easyJet plc,$3.33 B,United Kingdom,Airlines,Industrials
162,Virgin Money UK plc,$3.31 B,United Kingdom,Banks,Financials
163,LondonMetric Property plc,$3.31 B,United Kingdom,REITDiversified,Real Estate
164,Dr. Martens plc,$3.17 B,United Kingdom,Footwear & Accessories,Consumer Discretionary
165,Quilter plc,$3.16 B,United Kingdom,Asset Management,Financials
166,Games Workshop Group plc,$3.14 B,United Kingdom,Leisure,Consumer Discretionary
167,Shaftesbury plc,$3.10 B,United Kingdom,REITRetail,Real Estate
168,Ultra Electronics Holdings plc,$3.10 B,United Kingdom,Aerospace & Defense,Industrials
169,Britvic plc,$2.93 B,United Kingdom,BeveragesNon-Alcoholic,Consumer Staples
170,Dunelm Group plc,$2.91 B,United Kingdom,Specialty Retail,Consumer Discretionary
171,Energean plc,$2.83 B,United Kingdom,Oil & Gas E&P,Energy
172,Worldwide Healthcare,$2.77 B,United Kingdom,Asset Management,Financials
173,Fevertree Drinks plc,$2.77 B,United Kingdom,BeveragesNon-Alcoholic,Consumer Staples
174,Vistry Group plc,$2.76 B,United Kingdom,Residential Construction,Consumer Discretionary
175,Hays plc,$2.69 B,United Kingdom,Staffing & Employment Services,Industrials
176,Grainger plc,$2.68 B,United Kingdom,Real Estate Services,Real Estate
177,ITM Power plc,$2.64 B,United Kingdom,Electronic Components,Technology
178,Primary Health Properties plc,$2.61 B,United Kingdom,REITHealthcare Facilities,Real Estate
179,Witan Investment Trust plc,$2.60 B,United Kingdom,Asset Management,Financials
180,Caledonia Investments plc,$2.59 B,United Kingdom,Asset Management,Financials
181,"Pershing Square Holdings, Ltd.","(Sept. 1, 2018)",United Kingdom,Asset Management,Financials
182,Deliveroo plc,$2.55 B,United Kingdom,Internet Retail,Consumer Discretionary
183,Cranswick plc,$2.52 B,United Kingdom,Packaged Foods,Consumer Staples
184,Great Portland Estates plc,"(Jan. 1, 2022)",United Kingdom,REITOffice,Real Estate
185,HgCapital Trust plc,$2.48 B,United Kingdom,Asset Management,Financials
186,Zimplats Holdings Limited,$2.48 B,United Kingdom,Other Precious Metals & Mining,Basic Materials
187,WH Smith plc,$2.48 B,United Kingdom,Specialty Retail,Consumer Discretionary
188,Finsbury Growth & Income Trust plc,$2.46 B,United Kingdom,Asset Management,Financials
189,Redrow plc,$2.44 B,United Kingdom,Residential Construction,Consumer Discretionary
190,Playtech plc,$2.44 B,United Kingdom,Gambling,Consumer Discretionary
191,Close Brothers Group plc,$2.43 B,United Kingdom,Capital Markets,Financials
192,Pets at Home Group plc,$2.37 B,United Kingdom,Specialty Retail,Consumer Discretionary
193,SSP Group plc,$2.35 B,United Kingdom,Restaurants,Consumer Discretionary
194,Assura plc,$2.35 B,United Kingdom,REITHealthcare Facilities,Real Estate
195,Diversey Holdings Ltd,$2.35 B,United Kingdom,Personal Services,Consumer Discretionary
196,The City of London Investment Trust plc,$2.34 B,United Kingdom,Asset Management,Financials
197,Serco Group plc,$2.34 B,United Kingdom,Specialty Business Services,Industrials
198,Manchester United plc,$2.33 B,United Kingdom,Leisure,Consumer Discretionary
199,Domino's Pizza Group plc,$2.32 B,United Kingdom,Restaurants,Consumer Discretionary
200,Vivo Energy plc,$2.27 B,United Kingdom,Oil & Gas Refining & Marketing,Energy
201,QinetiQ Group plc,$2.27 B,United Kingdom,Aerospace & Defense,Industrials
202,Mercantile Investment Trust (The) plc,$2.26 B,United Kingdom,Asset Management,Financials
203,Sequoia Economic Infrastructure Inc Ord,$2.24 B,United Kingdom,Asset Management,Financials
204,Balfour Beatty plc,$2.24 B,United Kingdom,Engineering & Construction,Industrials
205,Kainos Group plc,$2.22 B,United Kingdom,SoftwareApplication,Technology
206,Aggreko plc,"(March 13, 2021)",United Kingdom,Rental & Leasing Services,Industrials
207,Personal Assets Trust,$2.18 B,United Kingdom,Asset Management,Financials
208,Babcock International Group plc,$2.16 B,United Kingdom,Engineering & Construction,Industrials
209,Ashmore Group plc,$2.14 B,United Kingdom,Asset Management,Financials
210,Murray International Trust plc,$2.11 B,United Kingdom,Asset Management,Financials
211,PageGroup plc,$2.11 B,United Kingdom,Staffing & Employment Services,Industrials
212,Harbourvest Global Private Equity Limited,"(March 13, 2021)",United Kingdom,Asset Management,Financials
213,Gamesys Group plc,"(March 13, 2021)",United Kingdom,Gambling,Consumer Discretionary
214,John Laing Group plc,"(March 13, 2021)",United Kingdom,Engineering & Construction,Industrials
215,Dixons Carphone plc,"(March 13, 2021)",United Kingdom,Specialty Retail,Consumer Discretionary
216,Victrex plc,$2.06 B,United Kingdom,Specialty Chemicals,Basic Materials
217,S4 Capital plc,$2.05 B,United Kingdom,Advertising Agencies,Communication Services
218,Savills plc,$2.04 B,United Kingdom,Real Estate Services,Real Estate
219,ASOS plc,$2.03 B,United Kingdom,Internet Retail,Consumer Discretionary
220,Brewin Dolphin Holdings plc,$2.03 B,United Kingdom,Asset Management,Financials
221,Calisen plc,"(March 13, 2021)",United Kingdom,Electrical Equipment & Parts,Industrials
222,JPMorgan American Investment Trust plc,$1.98 B,United Kingdom,Asset Management,Financials
223,Burford Capital Limited,$1.97 B,United Kingdom,Asset Management,Financials
224,YouGov plc,$1.96 B,United Kingdom,Advertising Agencies,Communication Services
225,Capital & Counties Properties plc,$1.95 B,United Kingdom,REITRetail,Real Estate
226,Sanne Group plc,$1.94 B,United Kingdom,Asset Management,Financials
227,Secure Income REIT Ord,$1.94 B,United Kingdom,REITDiversified,Real Estate
228,National Express Group plc,$1.92 B,United Kingdom,Railroads,Industrials
229,GlobalData plc,$1.90 B,United Kingdom,Consulting Services,Industrials
230,Polypipe Group plc,"(March 13, 2021)",United Kingdom,Building Products & Equipment,Industrials
231,TR Property Investment Trust,$1.89 B,United Kingdom,Asset Management,Financials
232,Countryside Properties plc,$1.87 B,United Kingdom,Residential Construction,Consumer Discretionary
233,Spirent Communications plc,$1.87 B,United Kingdom,SoftwareInfrastructure,Technology
234,RWS Holdings plc,$1.87 B,United Kingdom,Consulting Services,Industrials
235,IntegraFin Holdings plc,$1.86 B,United Kingdom,Asset Management,Financials
236,Mitchells & Butlers plc,$1.85 B,United Kingdom,Restaurants,Consumer Discretionary
237,The Bankers Investment Trust plc,$1.83 B,United Kingdom,Asset Management,Financials
238,Ascential plc,$1.83 B,United Kingdom,Advertising Agencies,Communication Services
239,Micro Focus International plc,$1.81 B,United Kingdom,SoftwareInfrastructure,Technology
240,Hammerson plc,$1.79 B,United Kingdom,REITRetail,Real Estate
241,Sirius Real Estate Limited,$1.79 B,United Kingdom,Real Estate Services,Real Estate
242,Marshalls plc,$1.78 B,United Kingdom,Building Materials,Basic Materials
243,JPMorgan Emerging Markets Investment Trust plc,$1.78 B,United Kingdom,Asset Management,Financials
244,Ceres Power Holdings plc,$1.77 B,United Kingdom,Electrical Equipment & Parts,Industrials
245,BlackRock World Mining Trust plc,$1.77 B,United Kingdom,Asset Management,Financials
246,Impax Environmental Markets Trust plc,$1.74 B,United Kingdom,Asset Management,Financials
247,James Halstead plc,"(Jan. 1, 2022)",United Kingdom,Building Products & Equipment,Industrials
248,Hipgnosis Songs Fund Limited,$1.71 B,United Kingdom,Asset Management,Financials
249,Alphawave IP Group plc,$1.71 B,United Kingdom,Semiconductors,Technology
250,Impax Asset Management Group plc,$1.70 B,United Kingdom,Asset Management,Financials
251,Paragon Banking Group plc,$1.70 B,United Kingdom,Mortgage Finance,Financials
252,ContourGlobal plc,$1.68 B,United Kingdom,UtilitiesRenewable,Utilities
253,Synthomer plc,$1.68 B,United Kingdom,Specialty Chemicals,Basic Materials
254,Oxford Instruments plc,$1.67 B,United Kingdom,Semiconductor Equipment & Materials,Technology
255,AJ Bell plc,$1.66 B,United Kingdom,Capital Markets,Financials
256,Gamma Communications plc,$1.66 B,United Kingdom,Telecom Services,Communication Services
257,CVS Group plc,$1.65 B,United Kingdom,Personal Services,Consumer Discretionary
258,Workspace Group plc,$1.65 B,United Kingdom,REITOffice,Real Estate
259,RSA Insurance Group plc,$1.65 B,United Kingdom,InsuranceProperty & Casualty,Financials
260,Auction Technology Group plc,$1.64 B,United Kingdom,SoftwareApplication,Technology
261,Daily Mail and General Trust plc,"(Jan. 1, 2022)",United Kingdom,Publishing,Communication Services
262,Blue Prism Group plc,"(Jan. 1, 2022)",United Kingdom,SoftwareInfrastructure,Technology
263,Fidelity European Values plc,$1.63 B,United Kingdom,Asset Management,Financials
264,Helios Towers plc,$1.61 B,United Kingdom,Telecom Services,Communication Services
265,Next Fifteen Communications Group plc,$1.61 B,United Kingdom,Advertising Agencies,Communication Services
266,Clinigen Group plc,$1.61 B,United Kingdom,Medical Distribution,Healthcare
267,Trainline plc,$1.60 B,United Kingdom,Travel Services,Consumer Discretionary
268,Aberforth Smaller Companies Trust plc,$1.60 B,United Kingdom,Asset Management,Financials
269,FDM Group (Holdings) plc,$1.60 B,United Kingdom,Information Technology Services,Technology
270,Herald Investment Trust,$1.59 B,United Kingdom,Asset Management,Financials
271,Learning Technologies Group plc,$1.59 B,United Kingdom,Education & Training Services,Consumer Staples
272,Bodycote plc,$1.58 B,United Kingdom,Specialty Industrial Machinery,Industrials
273,Atrium European Real Estate Ltd,"(Jan. 1, 2022)",United Kingdom,Real Estate Services,Real Estate
274,Telecom Plus plc,$1.58 B,United Kingdom,UtilitiesDiversified,Utilities
275,Draper Esprit plc,$1.57 B,United Kingdom,Asset Management,Financials
276,TP ICAP plc,$1.57 B,United Kingdom,Capital Markets,Financials
277,Hill & Smith Holdings plc,$1.55 B,United Kingdom,Engineering & Construction,Industrials
278,Bytes Technology Group plc,$1.54 B,United Kingdom,SoftwareApplication,Technology
279,TalkTalk Telecom Group plc,"(March 13, 2021)",United Kingdom,Telecom Services,Communication Services
280,Globalworth Real Estate Investments Limited,$1.54 B,United Kingdom,Real Estate Services,Real Estate
281,Rathbone Brothers plc,$1.53 B,United Kingdom,Asset Management,Financials
282,UK Commercial Property REIT Limited,$1.52 B,United Kingdom,Asset Management,Financials
283,BBGI Global Infrastructure SA,$1.52 B,United Kingdom,Asset Management,Financials
284,Jupiter Fund Management plc,$1.50 B,United Kingdom,Asset Management,Financials
285,Octopus Titan VCT plc,"(Jan. 1, 2022)",United Kingdom,Asset Management,Financials
286,JTC plc,$1.49 B,United Kingdom,Asset Management,Financials
287,Aston Martin Lagonda Global Holdings plc,$1.49 B,United Kingdom,Auto Manufacturers,Consumer Discretionary
288,Coats Group plc,$1.46 B,United Kingdom,Textile Manufacturing,Consumer Discretionary
289,John Wood Group plc,$1.45 B,United Kingdom,Oil & Gas Integrated,Energy
290,Cairn Energy plc,$1.45 B,United Kingdom,Oil & Gas E&P,Energy
291,Clarkson plc,$1.44 B,United Kingdom,Marine Shipping,Industrials
292,Edinburgh Investment Trust plc,$1.43 B,United Kingdom,Asset Management,Financials
293,Serica Energy plc,$1.43 B,United Kingdom,Oil & Gas E&P,Energy
294,Morgan Sindall Group plc,$1.43 B,United Kingdom,Engineering & Construction,Industrials
295,Avi Global Trust plc,$1.42 B,United Kingdom,Asset Management,Financials
296,Syncona Limited,$1.42 B,United Kingdom,Asset Management,Financials
297,Euromoney Institutional Investor plc,$1.41 B,United Kingdom,Financial Data & Stock Exchanges,Financials
298,Redde Northgate plc,$1.40 B,United Kingdom,Rental & Leasing Services,Industrials
299,Ferroglobe PLC,$1.38 B,United Kingdom,Other Industrial Metals & Mining,Basic Materials
300,Victoria plc,$1.37 B,United Kingdom,"Furnishings, Fixtures & Appliances",Consumer Discretionary
301,Murray Income Trust plc,$1.36 B,United Kingdom,Asset Management,Financials
302,Moneysupermarket.com Group plc,$1.36 B,United Kingdom,Internet Content & Information,Communication Services
303,Centamin plc,$1.36 B,United Kingdom,Gold,Basic Materials
304,Vectura Group plc,"(Oct. 1, 2021)",United Kingdom,Drug ManufacturersGeneral,Healthcare
305,GB Group plc,$1.35 B,United Kingdom,SoftwareApplication,Technology
306,Supermarket Income REIT plc,$1.35 B,United Kingdom,REITRetail,Real Estate
307,Currys Plc,$1.34 B,United Kingdom,Specialty Retail,Consumer Discretionary
308,Immunocore Holdings plc,$1.34 B,United Kingdom,Biotechnology,Healthcare
309,Apax Global Alpha Limited,$1.33 B,United Kingdom,Asset Management,Financials
310,Premier Foods plc,$1.33 B,United Kingdom,Packaged Foods,Consumer Staples
311,THG plc,$1.33 B,United Kingdom,Specialty Retail,Consumer Discretionary
312,Hilton Food Group plc,$1.32 B,United Kingdom,Packaged Foods,Consumer Staples
313,JD Wetherspoon plc,$1.31 B,United Kingdom,Restaurants,Consumer Discretionary
314,Biffa plc,$1.29 B,United Kingdom,Waste Management,Industrials
315,GCP Student Living plc,"(Dec. 1, 2021)",United Kingdom,Asset Management,Financials
316,GCP Infrastructure Investments,$1.29 B,United Kingdom,Asset Management,Financials
317,TI Fluid Systems plc,$1.28 B,United Kingdom,Auto Parts,Consumer Discretionary
318,"Merian Chrysalis Investment Co., Ltd.",$1.28 B,United Kingdom,Asset Management,Financials
319,Spire Healthcare Group plc,$1.27 B,United Kingdom,Medical Care Facilities,Healthcare
320,Essentra plc,$1.26 B,United Kingdom,Specialty Chemicals,Basic Materials
321,Law Debenture Corporation plc,$1.26 B,United Kingdom,Asset Management,Financials
322,Clipper Logistics plc,$1.24 B,United Kingdom,Integrated Freight & Logistics,Industrials
323,IP Group plc,$1.24 B,United Kingdom,Asset Management,Financials
324,Vesuvius plc,$1.22 B,United Kingdom,Steel,Basic Materials
325,St. Modwen Properties plc,"(March 13, 2021)",United Kingdom,Real EstateDevelopment,Real Estate
326,Stolt-Nielsen Ltd,$1.22 B,United Kingdom,Marine Shipping,Industrials
327,European Opportunities Trust plc,"(Jan. 1, 2022)",United Kingdom,Asset Management,Financials
328,LXI REIT,$1.21 B,United Kingdom,REITDiversified,Real Estate
329,BMO Commercial Property Trust,$1.21 B,United Kingdom,Asset Management,Financials
330,BB Healthcare Trust plc,$1.19 B,United Kingdom,Asset Management,Financials
331,Just Group plc,$1.18 B,United Kingdom,InsuranceSpecialty,Financials
332,Schroder AsiaPacific Fund plc,$1.18 B,United Kingdom,Asset Management,Financials
333,Sumo Group plc,"(Jan. 1, 2022)",United Kingdom,Electronic Gaming & Multimedia,Communication Services
334,Myovant Sciences Ltd.,$1.18 B,United Kingdom,Biotechnology,Healthcare
335,Morgan Advanced Materials plc,$1.18 B,United Kingdom,Specialty Industrial Machinery,Industrials
336,Smart Metering Systems plc,$1.17 B,United Kingdom,Electrical Equipment & Parts,Industrials
337,Edinburgh Worldwide Investment Trust plc,$1.16 B,United Kingdom,Asset Management,Financials
338,EMIS Group plc,$1.16 B,United Kingdom,Health Information Services,Healthcare
