,INDEX,URL,Name,Trade Name,Address Name,Postalcode,City,State,Country,Location type
23,23,https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html,SWEDBANK SUPPORT OU,,Liivalaia tn 8,10118,Tallinn,ESTONIA,ESTONIA,Single address
24,24,https://www.info-clipper.com/en/company/united-states/international-sourcing-company-inc.usdefrt4i.html,"INTERNATIONAL SOURCING COMPANY, INC.",,4025 VISCOUNT AVE,381186106,MEMPHIS,Tennessee(TN),UNITED STATES,Headquarter
25,25,https://www.info-clipper.com/en/company/united-kingdom/ronly-limited.gbde5qo3b.html,RONLY LIMITED,,201 Haverstock Hill,              NW3 4QG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
26,26,https://www.info-clipper.com/en/company/italy/ciro-paone-spa.itd78oejy.html,CIRO PAONE SPA,,VIALE DELLE INDUSTRIE SNC,80022,ARZANO,ITALY,ITALY,Headquarter
27,27,https://www.info-clipper.com/en/company/estonia/astel-garden-group-ou.eedbcyj27.html,ASTEL GARDEN GROUP OU,,Veski poik 3,75301,"Assaku alevik, Rae vald",ESTONIA,ESTONIA,Headquarter
28,28,https://www.info-clipper.com/en/company/united-states/bridgestone-americas-inc.usd1of1y2.html,"BRIDGESTONE AMERICAS, INC.",BRIDGESTONE AMERICAS SOURCING,200 4TH AVE S STE 100,372012256,NASHVILLE,Tennessee(TN),UNITED STATES,Headquarter
29,29,https://www.info-clipper.com/en/company/united-kingdom/the-encore-group-limited.gbd4sm5kg.html,THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,,Industrial Road Hertburn Industrial Estate Hertburn,              NE37 2SA,WASHINGTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
30,30,https://www.info-clipper.com/en/company/italy/diamalteria-italiana-srl.itd79knic.html,DIAMALTERIA ITALIANA SRL,,PIAZZA SICILIA 6,20146,MILANO,ITALY,ITALY,Headquarter
31,31,https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html,ABC GARDEN OU,,Variku tee 6-1,11911,Tallinn,ESTONIA,ESTONIA,Headquarter
32,32,https://www.info-clipper.com/en/company/united-states/united-rentals-inc.usd2wzg5l.html,"UNITED RENTALS, INC.",,100 1ST STAMFORD PL STE 700,69029200,STAMFORD,Connecticut(CT),UNITED STATES,Headquarter
33,33,https://www.info-clipper.com/en/company/united-kingdom/dassault-systemes-uk-limited.gbdalk20y.html,DASSAULT SYSTEMES UK LIMITED,,"Unit 9, Riley Court Milburn Hill Road",              CV4 7HP,COVENTRY,UNITED KINGDOM,UNITED KINGDOM,Headquarter
34,34,https://www.info-clipper.com/en/company/italy/cremofin-srl.itdatvecg.html,CREMOFIN SRL,,VIA MODENA 53,41014,CASTELVETRO DI MODENA,ITALY,ITALY,Headquarter
35,35,https://www.info-clipper.com/en/company/estonia/brandgate-group-ou.eed9crrp0.html,BRANDGATE GROUP OU,,Erika tn 14,10416,Tallinn,ESTONIA,ESTONIA,Headquarter
36,36,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usds8o1.html,MERCK SHARP & DOHME LLC,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
37,37,https://www.info-clipper.com/en/company/united-kingdom/imperial-college-london-limited.gbd70wecd.html,IMPERIAL COLLEGE LONDON LIMITED,,"FACULTY BUILDING, LEVEL 1 SOUTH KENSINGTON CAMPUS",              SW7 2AZ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
38,38,https://www.info-clipper.com/en/company/italy/fedrigoni-spa.itd8i5y9w.html,FEDRIGONI SPA,,VIA ENRICO FERMI 13/F,37135,VERONA,ITALY,ITALY,Headquarter
39,39,https://www.info-clipper.com/en/company/estonia/aurum-ou.eedao69xw.html,AURUM OU,,Kullassepa tn 4,10146,Tallinn,ESTONIA,ESTONIA,Single address
40,40,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-llc.usdm4mki.html,MERCK SHARP & DOHME (I.A.) LLC,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
41,41,https://www.info-clipper.com/en/company/united-kingdom/nottinghamshire-healthcare-n-h-s-foundation-trust.gbd3u0k45.html,Nottinghamshire Healthcare N H S Foundation Trust,,Duncan Macmillan House Porchester Road,              NG3 6AA,NOTTINGHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
42,42,https://www.info-clipper.com/en/company/italy/eiffage-infraestructuras-sa.itd78mbsm.html,EIFFAGE INFRAESTRUCTURAS SA,,PIAZZA ATTIAS 13,57125,LIVORNO,ITALY,ITALY,Single address
43,43,https://www.info-clipper.com/en/company/estonia/bolt-technology-ou.eed8d5oj6.html,BOLT TECHNOLOGY OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Headquarter
44,44,https://www.info-clipper.com/en/company/united-states/merck-sharp-dohme-inc.usdczdpty.html,MERCK SHARP & DOHME (ARGENTINA) INC.,,126 E LINCOLN AVE,70654607,RAHWAY,New Jersey(NJ),UNITED STATES,Headquarter
45,45,https://www.info-clipper.com/en/company/united-kingdom/liberty-finance-management-ltd.gbd3nr7ik.html,LIBERTY FINANCE MANAGEMENT (LIG) LTD,,2nd Floor 40 Grosvenor Place,              SW1X 7GG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
46,46,https://www.info-clipper.com/en/company/italy/safe-spa.itd5m8l01.html,SAFE SPA,,VIA FERRUCCIO LAMBORGHINI 18,40017,SAN GIOVANNI IN PERSICETO,ITALY,ITALY,Headquarter
47,47,https://www.info-clipper.com/en/company/estonia/game-machine-ou.eed604i0t.html,GAME MACHINE OU,,Ravala pst 8,10143,Tallinn,ESTONIA,ESTONIA,Headquarter
48,48,https://www.info-clipper.com/en/company/united-states/hl-mando-america-corporation.usdfdctrs.html,HL MANDO AMERICA CORPORATION,MANDO,4201 NORTHPARK DR,368019667,OPELIKA,Alabama(AL),UNITED STATES,Headquarter
49,49,https://www.info-clipper.com/en/company/united-kingdom/gcp-asset-management-ltd.gbd3qniyk.html,GCP ASSET MANAGEMENT (UK) LTD,,"2nd Floor Kingsbourne House, 229-231 High Holborn",              WC1V 7DA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
50,50,https://www.info-clipper.com/en/company/italy/stmicroelectronics-srl.itd783g70.html,STMICROELECTRONICS SRL,STM,VIA CAMILLO OLIVETTI 2,20864,AGRATE BRIANZA,ITALY,ITALY,
51,51,https://www.info-clipper.com/en/company/estonia/milworks-ou.eed604b6u.html,MILWORKS OU,,Sarruse tn 3,13816,Tallinn,ESTONIA,ESTONIA,Single address
52,52,https://www.info-clipper.com/en/company/united-states/hyatt-hotels-of-florida-inc.usd2fxy9g.html,"HYATT HOTELS OF FLORIDA, INC.",HYATT REGENCY ORLANDO,9801 INTERNATIONAL DR,328198104,ORLANDO,Florida(FL),UNITED STATES,Single address
53,53,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-limited.gbd3qnj0a.html,GARNET UK 7 NEW LIMITED,,"2nd Floor Kingsbourne House, 229-231 High Holborn",              WC1V 7DA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
54,54,https://www.info-clipper.com/en/company/italy/travaglini-logistic-and-transport-srl.itd8yjfru.html,TRAVAGLINI LOGISTIC AND TRANSPORT SRL,TRAVAGLINI,VIA PALERMO 21-23,66041,ATESSA,ITALY,ITALY,
55,55,https://www.info-clipper.com/en/company/estonia/bolt-operations-ou.eed8vcqq5.html,BOLT OPERATIONS OU,,Vana-Louna tn 15,10134,Tallinn,ESTONIA,ESTONIA,Headquarter
56,56,https://www.info-clipper.com/en/company/united-states/kolb-lena-inc.usdvoe4t.html,"KOLB-LENA, INC.",,3990 N SUNNYSIDE RD,610489613,LENA,Illinois(IL),UNITED STATES,Single address
57,57,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-residential-limited.gbd3qqt9p.html,GARNET UK 7 NEW RESIDENTIAL LIMITED,,"2nd Floor Kingsbourne House, 229-231 High Holborn",              WC1V 7DA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
58,58,https://www.info-clipper.com/en/company/italy/huntsman-gomet-srl.itd78qypq.html,HUNTSMAN GOMET SRL,,STRADA TOMBOLETO 12,10010,AZEGLIO,ITALY,ITALY,Headquarter
59,59,https://www.info-clipper.com/en/company/estonia/b-bus-ou.eed8vcsxg.html,B-BUS OU,,Narva mnt 5,10117,Tallinn,ESTONIA,ESTONIA,Single address
60,60,https://www.info-clipper.com/en/company/united-states/verizon-international-holdings-inc.usddpw757.html,VERIZON INTERNATIONAL HOLDINGS INC.,,3900 N WASHINGTON ST STE 2,198022137,WILMINGTON,Delaware(DE),UNITED STATES,Headquarter
61,61,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-23-new-limited.gbd3qstzt.html,GARNET UK 23 NEW LIMITED,,"2nd Floor Kingsbourne House, 229-231 High Holborn",              WC1V 7DA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
62,62,https://www.info-clipper.com/en/company/italy/johnson-controls-italia-srl.itd72wh92.html,JOHNSON CONTROLS ITALIA SRL,,VIA MILANESE 124,20092,CINISELLO BALSAMO,ITALY,ITALY,Headquarter
63,63,https://www.info-clipper.com/en/company/estonia/luminor-bank-as.eed9crwlr.html,LUMINOR BANK AS,,Liivalaia tn 45,10145,Tallinn,ESTONIA,ESTONIA,Headquarter
64,64,https://www.info-clipper.com/en/company/united-states/micro-focus-international-holdings-inc.usd1y0wi3.html,"MICRO FOCUS (US) INTERNATIONAL HOLDINGS, INC.",,1209 N ORANGE ST,198011120,WILMINGTON,Delaware(DE),UNITED STATES,Headquarter
65,65,https://www.info-clipper.com/en/company/united-kingdom/turner-broadcasting-system-europe-limited.gbd4w10u9.html,TURNER BROADCASTING SYSTEM EUROPE LIMITED,,Turner House 16 Great Marlborough Street,              W1F 7HS,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
66,66,https://www.info-clipper.com/en/company/italy/johnson-electric-asti-srl.itd73fmxg.html,JOHNSON ELECTRIC ASTI SRL,,CORSO ALESSANDRIA 395,14100,ASTI,ITALY,ITALY,Headquarter
67,67,https://www.info-clipper.com/en/company/estonia/tallink-as.eed626xgr.html,TALLINK AS,,Sadama tn 5,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
68,68,https://www.info-clipper.com/en/company/united-states/usf-international-holdings-llc.usd1yblms.html,"USF INTERNATIONAL HOLDINGS, LLC",,1209 ORANGE STE,198011120,WILMINGTON,Delaware(DE),UNITED STATES,Headquarter
69,69,https://www.info-clipper.com/en/company/united-kingdom/southern-parks-limited.gbd3lwnlc.html,SOUTHERN PARKS LIMITED,Aria Resorts,"The Maylands Building 200 Maylands Avenue, Hemel Hempstead Industrial Estate",              HP2 7TG,HEMEL HEMPSTEAD,UNITED KINGDOM,UNITED KINGDOM,
70,70,https://www.info-clipper.com/en/company/italy/moby-spa.itd7a2prk.html,MOBY SPA,,VIA LARGA 26,20122,MILANO,ITALY,ITALY,Headquarter
71,71,https://www.info-clipper.com/en/company/estonia/tallink-grupp-as.eedao5lpi.html,TALLINK GRUPP AS,,Sadama tn 5,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
72,72,https://www.info-clipper.com/en/company/united-states/gantrex-inc.usd213tq3.html,"GANTREX, INC.",,6000 TOWN CENTER BLVD STE 240,153175841,CANONSBURG,Pennsylvania(PA),UNITED STATES,Single address
73,73,https://www.info-clipper.com/en/company/united-kingdom/cvc-advisers-limited.gbdc5dfag.html,CVC ADVISERS LIMITED,,111 Strand,              WC2R 0AG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
74,74,https://www.info-clipper.com/en/company/italy/galperti-engineering-and-flow-control-spa.itd8i2fj4.html,GALPERTI ENGINEERING AND FLOW CONTROL SPA,,VIA PRATI DELLA ROSA 17,23823,COLICO (ZONA INDUSTRIALE ),ITALY,ITALY,Headquarter
75,75,https://www.info-clipper.com/en/company/estonia/top-connect-ou.eed8unvvo.html,TOP CONNECT OU,,Vaike-Paala tn 1,11415,Tallinn,ESTONIA,ESTONIA,Headquarter
76,76,https://www.info-clipper.com/en/company/united-states/alabama-power-company.usd43w60.html,ALABAMA POWER COMPANY,,600 N 18TH ST,352032200,BIRMINGHAM,Alabama(AL),UNITED STATES,Headquarter
77,77,https://www.info-clipper.com/en/company/united-kingdom/penguin-random-house-limited.gbd3smzhu.html,PENGUIN RANDOM HOUSE LIMITED,,20 VAUXHALL BRIDGE ROAD,              SW1V 2SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
78,78,https://www.info-clipper.com/en/company/italy/abb-spa.itd72y6i2.html,ABB SPA,,VIA LUCIANO LAMA 33,20099,SESTO SAN GIOVANNI,ITALY,ITALY,Headquarter
79,79,https://www.info-clipper.com/en/company/estonia/pontos-baltic-as.eedanofin.html,PONTOS BALTIC AS,,Viru valjak 4,10111,Tallinn,ESTONIA,ESTONIA,Headquarter
80,80,https://www.info-clipper.com/en/company/united-states/construction-partners-inc.usd5zdwd.html,"CONSTRUCTION PARTNERS, INC.",,290 HEALTHWEST DR STE 2,363032051,DOTHAN,Alabama(AL),UNITED STATES,Headquarter
81,81,https://www.info-clipper.com/en/company/united-kingdom/the-random-house-group-limited.gbd3i7f2t.html,THE RANDOM HOUSE GROUP LIMITED,,Whole Building 20 Vauxhall Bridge Road,              SW1V 2SA,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
82,82,https://www.info-clipper.com/en/company/italy/oli-spa.itd73gt5d.html,OLI SPA,,VIA CANALAZZO 35,41036,MEDOLLA,ITALY,ITALY,Headquarter
83,83,https://www.info-clipper.com/en/company/estonia/sandmani-grupi-as.eed898jkc.html,SANDMANI GRUPI AS,,Laki poik 6,12918,Tallinn,ESTONIA,ESTONIA,Headquarter
84,84,https://www.info-clipper.com/en/company/united-states/gadsden-regional-medical-center-llc.usd2jg16a.html,"GADSDEN REGIONAL MEDICAL CENTER, LLC",,1007 GOODYEAR AVE,359031100,GADSDEN,Alabama(AL),UNITED STATES,Headquarter
85,85,https://www.info-clipper.com/en/company/united-kingdom/avanti-gas-limited.gbd4rp22h.html,AVANTI GAS LIMITED,,"Fao Sophie Leedham Ugi House Gisborne Close, Staveley",              S43 3JT,CHESTERFIELD,UNITED KINGDOM,UNITED KINGDOM,Headquarter
86,86,https://www.info-clipper.com/en/company/italy/oli-ebike-systems-srl.itd7au74p.html,OLI EBIKE SYSTEMS SRL,,STRADA DEGLI SCHIOCCHI 12,41124,MODENA,ITALY,ITALY,Headquarter
87,87,https://www.info-clipper.com/en/company/estonia/prfoods-as.eed9co32f.html,PRFOODS AS,,Parnu mnt 141,11314,Tallinn,ESTONIA,ESTONIA,Headquarter
88,88,https://www.info-clipper.com/en/company/united-states/luminate-capital-partners-ii-lp.usd1btgka.html,"LUMINATE CAPITAL PARTNERS II, LP",,1 LETTERMAN DR STE CM 500,941291496,SAN FRANCISCO,California(CA),UNITED STATES,Headquarter
89,89,https://www.info-clipper.com/en/company/united-kingdom/bouygues-es-solutions-limited.gbd3obmrq.html,BOUYGUES E&S SOLUTIONS LIMITED,BOUYGUES CONSTRUCTION,Becket House 1 Lambeth Palace Road,              SE1 7EU,LONDON,UNITED KINGDOM,UNITED KINGDOM,
90,90,https://www.info-clipper.com/en/company/italy/business-integration-partners-spa.itd7ep1t8.html,BUSINESS INTEGRATION PARTNERS SPA,,PIAZZA SAN BABILA 5,20122,MILANO,ITALY,ITALY,Headquarter
91,91,https://www.info-clipper.com/en/company/estonia/schneider-electric-eesti-as.eedao7t44.html,SCHNEIDER ELECTRIC EESTI AS,,Parnu mnt 139e/2,11317,Tallinn,ESTONIA,ESTONIA,Single address
92,92,https://www.info-clipper.com/en/company/united-states/walmart-inc.usduxmvd.html,WALMART INC.,,702 SW 8TH ST,727166299,BENTONVILLE,Arkansas(AR),UNITED STATES,Headquarter
93,93,https://www.info-clipper.com/en/company/united-kingdom/bouygues-limited.gbd8vg5kt.html,BOUYGUES (U.K.) LIMITED,,Becket House 1 Lambeth Palace Road,              SE1 7EU,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
94,94,https://www.info-clipper.com/en/company/italy/societa-gestione-servizi-aeroporti-campani-gesac-spa.itd74p0fn.html,SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI GE.S.A.C. SPA,AEROPORTO INTERNAZIONALE DI NAPOLI,UFFICI DIREZIONALI GESAC SNC,80100,NAPOLI (AEROPORTO DI CAPODICHINO ),ITALY,ITALY,
95,95,https://www.info-clipper.com/en/company/estonia/kodumaja-as.eed9ct6ci.html,KODUMAJA AS,,Puidu tn 2,50411,"Tartu, Tartu",ESTONIA,ESTONIA,Headquarter
96,96,https://www.info-clipper.com/en/company/united-states/wal-mart-stores-east-lp.usddqkpnf.html,"WAL-MART STORES EAST, LP",WALMART,702 SW 8TH ST,727166299,BENTONVILLE,Arkansas(AR),UNITED STATES,Headquarter
97,97,https://www.info-clipper.com/en/company/united-kingdom/deloitte-llp.gbd6173h7.html,DELOITTE LLP,,1 New Street Square,              EC4A 3HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
98,98,https://www.info-clipper.com/en/company/italy/universita-degli-studi-suor-orsola-benincasa.itd7ep0go.html,UNIVERSITA' DEGLI STUDI SUOR ORSOLA BENINCASA,,CORSO VITTORIO EMANUELE 292,80135,NAPOLI,ITALY,ITALY,Headquarter
99,99,https://www.info-clipper.com/en/company/estonia/iizi-kindlustusmaakler-as.eed5ycjcj.html,IIZI KINDLUSTUSMAAKLER AS,,Telliskivi tn 60/2,10412,Tallinn,ESTONIA,ESTONIA,Headquarter
100,100,https://www.info-clipper.com/en/company/united-states/palo-alto-networks-inc.usd39yxhf.html,"PALO ALTO NETWORKS, INC.",,3000 TANNERY WAY,950542832,SANTA CLARA,California(CA),UNITED STATES,Headquarter
101,101,https://www.info-clipper.com/en/company/united-kingdom/deloitte-mcs-limited.gbd69lict.html,DELOITTE MCS LIMITED,DELOITTE,1 New Street Square,              EC4A 3HQ,LONDON,UNITED KINGDOM,UNITED KINGDOM,
102,102,https://www.info-clipper.com/en/company/italy/lombard-international-assurance-sa.itd76t5j4.html,LOMBARD INTERNATIONAL ASSURANCE S.A.,,PIAZZA SAN MARCO 3,20121,MILANO,ITALY,ITALY,Headquarter
103,103,https://www.info-clipper.com/en/company/estonia/marsh-kindlustusmaakler-as.eedaphxhc.html,MARSH KINDLUSTUSMAAKLER AS,,Tartu mnt 18,10145,Tallinn,ESTONIA,ESTONIA,Single address
104,104,https://www.info-clipper.com/en/company/united-states/tonoga-inc.usd18mwm.html,"TONOGA, INC.",TACONIC,95-136 COONBROOK RD,12138,PETERSBURG,New York(NY),UNITED STATES,Headquarter
105,105,https://www.info-clipper.com/en/company/united-kingdom/first-mtr-south-western-trains-limited.gbd3lw6qg.html,FIRST MTR SOUTH WESTERN TRAINS LIMITED,,"8th Floor The Point, 37 North Wharf Road",              W2 1AF,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
106,106,https://www.info-clipper.com/en/company/italy/pm-srl.itd78dcsx.html,PM SRL,,VIALE SERENISSIMA 20,30030,VIGONOVO,ITALY,ITALY,Headquarter
107,107,https://www.info-clipper.com/en/company/estonia/kroonpress-as.eed952xci.html,KROONPRESS AS,,Tahe tn 133,50107,"Tartu, Tartu",ESTONIA,ESTONIA,Single address
108,108,https://www.info-clipper.com/en/company/united-states/evoqua-water-technologies-llc.usd2hs2fi.html,EVOQUA WATER TECHNOLOGIES LLC,,210 6TH AVE STE 3300,152222603,PITTSBURGH,Pennsylvania(PA),UNITED STATES,Headquarter
109,109,https://www.info-clipper.com/en/company/united-kingdom/abellio-scotrail-ltd.gbd3mnavy.html,ABELLIO SCOTRAIL LTD,,Culzean House 36 Renfield Street,              G2 1LU,GLASGOW,UNITED KINGDOM,UNITED KINGDOM,Headquarter
110,110,https://www.info-clipper.com/en/company/italy/biochem-srl.itd77bwtu.html,BIOCHEM SRL,,VIA GIOVANNI BENINI 13,40069,ZOLA PREDOSA,ITALY,ITALY,Headquarter
111,111,https://www.info-clipper.com/en/company/estonia/maksekeskus-holding-ou.eed8d5c96.html,MAKSEKESKUS HOLDING OU,,Niine tn 11,10414,Tallinn,ESTONIA,ESTONIA,Headquarter
112,112,https://www.info-clipper.com/en/company/united-states/institutional-shareholder-services-inc.usddrtyjd.html,INSTITUTIONAL SHAREHOLDER SERVICES INC.,ISS,702 KING FARM BLVD STE 400,208505774,ROCKVILLE,Maryland(MD),UNITED STATES,Headquarter
113,113,https://www.info-clipper.com/en/company/united-kingdom/demex-limited.gbd3iw6z4.html,DEMEX LIMITED,,Bernera Works Psalters Lane,              S61 1DQ,ROTHERHAM,UNITED KINGDOM,UNITED KINGDOM,Headquarter
114,114,https://www.info-clipper.com/en/company/italy/4ward-srl.itd5llxjn.html,4WARD SRL,,VIA LOMBARDIA 2/A,20068,PESCHIERA BORROMEO,ITALY,ITALY,Headquarter
115,115,https://www.info-clipper.com/en/company/estonia/maksekeskus-as.eed8d5d1q.html,MAKSEKESKUS AS,,Niine tn 11,10414,Tallinn,ESTONIA,ESTONIA,Single address
116,116,https://www.info-clipper.com/en/company/united-states/iss-corporate-solutions-inc.usd1bi6ta.html,"ISS CORPORATE SOLUTIONS, INC.",,702 KING FARM BLVD STE 400,208505774,ROCKVILLE,Maryland(MD),UNITED STATES,Single address
117,117,https://www.info-clipper.com/en/company/united-kingdom/general-mediterranean-holding-limited.gbdcpytbe.html,GENERAL MEDITERRANEAN HOLDING (UK) LIMITED,,137-143 Hammersmith Road,              W14 0QL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
118,118,https://www.info-clipper.com/en/company/italy/agco-italia-spa.itd7dqe29.html,AGCO ITALIA SPA,,VIA DELL'INDUSTRIA 63,36042,BREGANZE,ITALY,ITALY,Headquarter
119,119,https://www.info-clipper.com/en/company/estonia/electroair-ou.eed9cnfty.html,ELECTROAIR OU,,"Kapteni tee 1, Soodevahe kula",75322,Rae vald,ESTONIA,ESTONIA,Headquarter
120,120,https://www.info-clipper.com/en/company/united-states/poudre-valley-health-care-inc.usd1blvnr.html,"POUDRE VALLEY HEALTH CARE, INC.",POUDRE VALLEY HEALTH SYSTEM,12401 E 17TH AVE STE B132,800452589,AURORA,Colorado(CO),UNITED STATES,Headquarter
