10-DeBiGa-company_number,09-wissel-company_id
09885862,13314919
13068425,ni020878
13356464,08270634
13931405,06444154
09829855,10404429
13708994,11110680
12309256,ni046379
10314381,09890289
02878700,10031919
14464630,12398650
08395714,11462160
06359457,14447904
09832052,14321350
12096745,06011936
11364947,13161152
08580642,05893487
14290013,02582252
05426609,03927283
10037314,02901548
11830877,08399446
11830973,00765796
08852919,09796894
13995032,04231075
08951053,sc715946
13617163,07928733
12228895,04873117
13498678,04960184
13172026,sc698858
11709570,08123633
05387265,14183305
12834586,01000705
06007065,13338164
12165534,oc334853
08472743,13364767
13720297,06173623
14514753,00798638
09926665,09248328
13923859,10331817
08598367,04279870
14058427,oc367065
13961406,12851569
13652712,sc593532
07758217,09961069
sc454159,08319935
sc680939,12483305
14140338,13337187
06118192,09544468
10859997,09370027
sc749269,08148399
12456116,14248512
12690763,14270320
13299257,13629774
11204720,07175159
10349010,14231736
12069117,07629399
09707570,08811760
14095949,07985434
12233357,04682878
12604405,12645082
13956605,sc215088
13180921,12678029
10780377,sc442126
12845714,10949383
12316887,08557141
13653328,10152930
14451849,13410894
06039287,13955142
12692916,11039556
12858359,11508125
13941433,12415725
12711490,05708069
13296576,03809060
13052080,07238880
13306730,12783317
13472924,05810574
08654811,02366877
10839182,10206962
13609653,05695000
07742711,13184738
02849460,09777505
01738505,ni007615
sc669232,13422649
04737081,13597891
13772064,sc737544
14425610,07416625
11820371,07416627
14359911,14220290
sc651891,13402022
04783844,08883523
10847099,07686948
12875584,09154565
09441821,03053166
05990454,13174935
09521948,06314521
13864544,10186944
13480462,11030460
12810111,12397712
12697348,13526075
14113329,13294102
13693139,02877984
09977042,06531101
12990474,13247158
13606856,05474317
12828187,01196085
13581326,10785826
sc671881,07158426
13159237,14138514
14395794,12473035
10295476,13866936
11970648,04925741
13363275,sc300742
13973925,06969099
12877967,12210981
14430511,ni046774
13582700,12950207
08701618,12481985
11926448,14114985
11448026,10665417
13627114,08346437
09437738,02876838
04564275,13603692
12726122,13800384
sc314491,09613109
10897107,13978389
09618349,12752153
sc497687,13477996
09048465,ni072800
10915366,11820924
sc171230,02937412
05258290,13605499
13503289,11804176
14135731,04934937
06479900,05637175
13517134,nc000877
sc344267,05027399
08069023,11683273
03303440,12330781
12238999,04187425
12330122,13223050
11097180,09721611
13358667,08885279
11053160,11197112
14486546,09259852
11366303,10856818
13388418,06769315
14337965,ni631646
11669499,04739937
05298025,11688521
10393813,04752498
14511969,13222468
13743330,11575206
14450924,10315128
12856272,06061982
14127223,08631144
sc660773,09816338
12767920,sc538115
12943383,08953343
12205454,02608782
07837953,14375117
11488609,10517617
sc641016,13250209
11746651,12292329
08656803,11732211
10931036,04887707
10410274,11912189
13857603,01367417
02715647,08197566
09608921,ni603110
08086394,03555679
13170061,09879067
06713274,12815472
01715198,12446233
05815689,14277188
12770921,12942516
ni033367,09315693
03123397,05073490
13609371,sc031700
05022796,13121252
12640895,01972122
13513745,13373123
sc193652,14475463
03714220,09482598
11590897,09975095
13121876,09959524
08919684,09548971
14201408,14173945
10939706,08437860
10634709,10842485
06309382,06566364
sc657852,07026205
14111550,12888559
sc404563,ni063712
13277185,ni012993
12309065,sc509982
12273043,10331293
11369006,sc698355
12975128,10622551
12214753,13678303
13947437,08779464
13091686,sc021442
08496108,07983471
07813277,13042395
13577092,04218643
sc697422,sc357211
12548173,05429930
09214173,12788584
14435343,10963663
05755312,01918382
05105449,09397621
12088550,04050768
07009732,04422146
07010433,11744919
09619480,14262645
12441746,10645660
04481186,10972614
10456275,oc430862
08470458,04686184
13822023,12748567
12544284,14173929
11313579,11272629
14158059,11227667
05854962,12138216
13472099,12673107
11926582,13341374
11504276,05035950
13827839,13432748
10523664,07648075
14226536,05074801
08452831,13251353
12567579,sc209321
10451158,08137798
00156201,sc229884
12896722,sc221255
10885643,04602120
10657985,08240650
10296408,04902501
10781956,ni047044
13182585,12142307
11874018,10413172
08264820,10116707
13071562,11239944
10402962,11090732
12374381,06029410
02293358,04675537
02293426,10721059
12703073,07650795
07205388,12518033
09343012,13166258
14074903,13616500
13153011,10944331
13545808,05090055
11814854,10152787
11699509,13974022
13112042,12449905
13171403,11190024
14206544,07856269
13895597,oc414982
06604357,06912265
13516592,13303615
10808917,10613086
08430743,01327043
10502936,10189986
13481042,01667869
04548577,08799004
14504877,05667926
11800954,13625195
07777855,08987032
02571767,05139824
12713891,13830790
09018410,14339083
12980029,09557607
11861883,09287106
11084960,ce019439
14430164,10063628
05601248,13388220
07836642,01892122
07353384,14512982
13378021,07766711
13536113,12254028
13115243,13725957
13816252,sc517705
13249383,ni644095
10635916,02049568
12179882,10800134
12126949,13176359
08533727,14046167
04597998,08843314
12984620,oc415015
09948938,07725021
09256681,13677035
12710386,14289655
12142258,03700068
09869370,oe000274
11218667,oe005554
05405688,oe004259
12543470,03863609
13769070,02194840
14199490,06319289
13960085,sc718959
14436690,09059436
10688739,11314291
13332010,07186438
sc552172,13868037
sc487619,13325787
10294941,13978388
13336560,08462356
12565785,13487034
14120449,09168098
12198393,08002262
13910942,04439713
05988713,09223715
05878002,05417066
12316966,02624561
ni690496,02749566
02661954,07152868
10870177,07423668
12513149,07294515
13112198,14294535
07973915,01672336
13959940,04938525
13506309,09653415
07235405,09651777
12733942,sc521695
14316227,06151492
12449452,14399462
07390391,09602756
08167612,07323011
06619416,12735030
13910253,05489297
04870742,12210370
04903182,02603923
12317481,10450055
sc607014,12823515
11575856,00300725
05777883,09673678
10888001,07916301
08795529,03765048
12710792,14135899
11280731,04924584
09277355,06002383
08147579,11553064
09151301,13779897
11695617,09465652
07223697,04586172
12393001,11410173
12147499,03544709
11598056,06880793
11001993,09389029
13143246,12528692
13682935,10254862
05933010,10209920
14004401,09478770
04668459,10472333
14322531,07582828
sc618695,09953116
03633645,oc374949
14339454,08452109
09251373,09831283
13533163,14325212
14151742,05608276
04520588,10881949
10451314,oc363316
13110390,11216847
07527678,14499715
05729702,11535646
11346035,05457606
08418725,sc420013
09551010,11560928
07340089,14095087
07215345,11138821
13583444,12747849
12264789,11742133
14211350,14362099
12015830,06639683
13178343,03655883
12486776,07857813
sc468819,11755863
13600635,08305177
10045024,10171945
06884751,sc728158
12857181,03141191
04523103,sc474204
12285595,05348765
06650863,14201200
11636520,11535009
10604822,01703423
14511366,09858026
08815798,08853895
14216092,04168481
10523606,09547887
09327801,12920899
14371834,11734872
12488787,10257975
08452025,07787965
11223774,sc558621
07948599,07848780
09625525,13815695
13764756,08030670
04358857,07222962
02486963,07418355
14128966,06961239
13155595,04816848
09221395,oe002580
05569163,oe004868
07199058,13580949
13191832,10660446
12690382,12165575
03411600,ni620836
11089173,08811937
10112479,09710301
06508402,07572466
06304205,08401456
05136590,11672274
07527559,14323514
13192694,03571315
11291951,07045551
14209460,13364423
07720268,13797648
12456024,10812947
11478457,09656426
13139489,11784942
09114144,13571755
06942852,13547229
13603463,08730893
07545088,13631175
13901552,10554665
09131786,oc331335
05426172,08850431
12231484,11831200
06877650,sl000992
09238404,08899655
12924143,04576381
14112221,11508751
13271475,08857062
10888699,09630031
06833684,08665860
11971796,oc308889
13832009,10428454
12767620,13033252
12304360,01891416
13337918,09143617
11249456,04775700
11984638,05700091
09555370,13525320
12862336,13553304
07792233,09172224
09712910,04371908
13629039,07803793
12059527,sc390819
12586129,05413320
12594388,ni657014
10201192,ni607056
07200758,09703238
10395341,08932552
10912269,09759339
13956031,04726329
02470898,03948680
10142924,03958092
12191003,08438545
12834240,11755676
10228293,04165711
14249981,12631709
07950308,05385722
13294442,12569037
10714426,12863781
11513658,14477531
11362866,10895117
13163094,07944632
09549733,11761515
07000379,08354790
14169714,13765682
13993534,03580480
08595544,06313786
13212405,04432980
13847313,09521586
08767196,09849862
13856276,07267950
08144530,04772049
12513276,05485254
11660185,05938627
sc534235,12198640
07303719,10602149
07349756,10323433
14218076,13712925
13649503,09790933
04598873,06733836
11478027,08259049
13488778,04861785
13030068,13200368
07831530,05254744
08090214,06891751
08032275,05961562
11571956,01859206
11870971,08909065
09965694,03273361
09162431,sc733882
11570984,07210413
10836293,14309324
14193025,12716371
11201240,09597607
12869527,13197124
12363072,07830401
14006472,09142997
09100043,09885537
11513839,03293902
09749714,00513373
05326843,10417412
11535320,04501781
12997298,09019264
14492644,12303094
04483756,04726961
12162122,13043564
12509193,14098925
12079679,13003366
05584834,07724740
03817634,10881293
09489557,sc637697
09152771,13680118
12992871,12490919
08095116,07787733
08298919,01889567
13089770,13863327
11424445,06646047
07791798,12764858
sc750473,11447808
11368159,04747246
11324958,05477585
08115442,12049967
12604913,04242052
13494174,04155681
12312679,14259534
11577369,09632444
11841114,10660585
13958589,08717748
07101904,09023960
10802284,06609663
06659747,05444092
14332478,06225699
12829960,08465242
07672633,08007381
08683300,08457291
12741608,04563745
sc738813,06752360
06627642,10518924
14107040,08965852
07778850,12052887
05609207,14368539
12977762,14413802
sc730018,06036413
sc696923,07117346
sc699117,13870181
12605411,06953697
12653100,13303315
12750173,07539616
12388566,07238104
12334258,10054866
13688802,05185959
13699211,13347223
14400771,06010721
06764952,03613822
13441443,10152713
11748938,05678121
sc691300,08983080
07485649,07117483
11919349,08982832
11557957,04876066
09779811,08459445
11806378,04981338
13445752,05474436
10391122,04887094
11183695,07423308
11717200,10839436
12670328,sc398683
09631479,13450067
08706006,05451705
13501994,11279372
13579298,04669391
08764836,06031677
07460239,03126173
13989203,11469288
sc645214,14183141
08236852,10943864
13621902,06412938
13345686,09896180
12646542,10777448
12629623,12202596
06268853,08141613
13475353,13525976
08925404,06114734
07155647,08670960
13171159,09498108
04607049,01925762
14416248,08152328
12877605,09751086
sc650884,07897537
09607699,12806232
13933863,07410289
10414675,10826963
07897604,13525330
08925621,06967263
13004221,10149764
12372065,11412824
10331670,12333258
sc633832,09598747
13259632,06247294
10027642,11603326
sc704164,08894447
07857651,03732089
08923032,10225200
09763209,oc326642
13891781,oc325837
03331015,08275655
ni692801,10620697
12708139,12560540
sc527862,04042014
11790367,04988230
04036270,12980282
12711965,08307104
07236648,11033956
13384330,14501364
07709029,06043707
11645096,08217655
11485801,04807398
12737321,10403844
07734429,08394973
13706904,09828834
08840406,sc418296
09308874,12424695
09793051,04072502
14399390,14317441
07576661,05189726
12186649,10327048
13687811,12147483
06292233,09030607
13619052,11553803
sc706950,05857215
13556137,03130360
03700068,04072498
sc170717,11389177
02277126,06030342
10420643,04335614
14024199,13737301
08716080,14024451
12615761,04860061
11717999,08141726
11007082,13890070
10600209,12880435
02438711,05151879
14071022,10181385
13825792,07635346
02821551,05423299
13863144,02133923
12816020,03858670
12816840,14035006
04069819,02806165
10784937,09237666
13557471,07159206
12707424,04897300
14298838,09960460
10662576,04685114
08532825,03534187
13002859,01905954
sc631218,13892484
09428039,11821194
sc463246,06156635
09744355,05609731
02921121,12172734
12392594,sl003323
sc347493,sc342416
09716939,09112787
13944238,04488153
04621816,08700983
13816296,13056268
06774726,08362532
02966713,06382697
14476655,07385721
08246268,11379371
13777322,08892170
08922280,sc583819
08225109,07281751
13064486,14243388
sc202640,06856669
05965639,10681714
13992230,ni050105
07851519,ni640129
10302615,04934226
13116656,11246690
13639302,06255843
04471854,06322341
sc603452,11162297
14200283,05838700
13092034,10010057
06386521,03754523
09473399,09753544
04268338,10943440
11805999,11655688
08096459,oc319757
13047509,sc251041
07107897,11343620
12283735,05708370
13488965,06622548
08661397,11089214
11213192,08173223
06601683,01880477
06868625,14072943
sc746873,02468908
14294296,09478702
12855191,05183224
03325927,14341794
10411553,01632054
12829476,10048912
10414197,08191109
11640740,sl000187
09580652,10009785
12643741,08480209
11506288,11952264
12176877,sc510889
13622757,07156038
sc266485,05244260
12665084,06055703
13422991,12733842
06588709,14042123
sc088749,07133996
08544199,10732337
10437636,03385029
09365335,09061407
sc633091,13789174
11413741,01442819
12461879,10256311
07435486,05373066
07296201,00457943
09581336,00803095
ni067643,04578708
11901584,05957434
10694238,08733909
12823303,12955613
02465580,04580237
sc439513,11930313
14511163,05169555
09370227,10508131
05129799,08052680
10339495,11306011
13895568,13702047
04967995,12450418
11599881,05324151
13233005,09551036
04422354,03562040
10866872,10441242
03278246,13958308
14426167,05253681
12385061,14083610
06237019,09503190
ni685430,11938451
05268870,07006401
13763640,ni048822
12942975,03887190
12373030,06589798
12318779,sl001374
11259737,12919069
12687913,09041907
06041675,04379681
08789309,09838044
13093645,04690379
12057903,13575169
07093848,02777317
09530724,09743956
12482057,09084344
13383984,02150642
sc538455,13266475
13646896,01957440
10688339,10591985
sc742024,00691463
sc051023,04196611
14429707,02263737
11077804,06182745
10612565,04906186
04473206,10034594
01402515,11236012
11531983,06923297
10791283,03388815
11578260,10738357
10782432,05538742
07966802,09991557
12772225,10072571
03550153,13458299
02815248,ni623058
00651735,10928411
14162357,10038589
07113155,08079135
04180454,08782623
07447916,09345542
10761432,13465333
11936895,02021082
08428744,09772548
sc401529,07028961
08428113,04820783
10797105,04944953
08025101,08948068
11424867,12400905
12172141,03841278
14055668,04332509
10482757,
04927536,
12440630,
09273767,
13808173,
09722803,
sc615874,
06510298,
07265897,
11292492,
10422145,
04341564,
14539851,
09081546,
13676553,
13067143,
14209792,
13931325,
ni644417,
11056146,
10983986,
10646383,
11518480,
12813217,
14585771,
07612397,
11780535,
13801492,
11894732,
07385734,
14415338,
14304373,
11589151,
08619030,
11882243,
sc562843,
11737912,
13615662,
09544276,
13566537,
08403190,
14593981,
13752337,
04549093,
10322856,
04373365,
08787680,
08966753,
02887612,
sc386692,
12148468,
00988322,
11696269,
09237090,
11570391,
07264274,
11281138,
04534829,
13001728,
08780474,
02815246,
08997285,
08536845,
sc509606,
11015000,
sc635260,
13746125,
08579792,
04700916,
07211304,
ni622324,
05662641,
14593099,
13226023,
11239923,
14323665,
10808585,
10133204,
08793069,
07190539,
05829318,
sc246865,
01436611,
11336517,
13736322,
14032234,
ni020878,
12928818,
ni045191,
04430617,
09723843,
06444154,
12601620,
13314919,
ni046379,
10404429,
08270634,
10231094,
11110680,
09526489,
06161773,
11140286,
14376514,
07021006,
11777800,
11112583,
10340144,
05009792,
11696612,
12158323,
14412914,
09756351,
07834864,
14465200,
14079334,
08453166,
sc035324,
06323076,
02841685,
10487485,
09890289,
13308071,
12398650,
14520703,
13679666,
12693459,
08318439,
10031919,
10725938,
04177340,
12854017,
05893487,
08326788,
03927283,
02582252,
07843146,
11101501,
07469309,
13910182,
08021182,
09366915,
09819069,
14187679,
05783305,
12067578,
11800524,
13508664,
13112285,
08792849,
12029495,
14044844,
12895780,
13569453,
14063604,
sc399352,
07413977,
11041533,
08434807,
13102345,
13031381,
08411592,
14331885,
10386720,
07928733,
14504231,
13392010,
12752324,
09596177,
14584786,
11339631,
13638232,
11823668,
14345477,
13770494,
10734654,
12876787,
07837695,
11252563,
12297673,
11876705,
12411595,
05200462,
14196419,
ni630453,
sc715946,
07454749,
13490146,
09497862,
11785599,
04873117,
06246905,
08759376,
09579961,
12226926,
12524662,
sc699410,
13830401,
00798638,
10448189,
05136167,
12700469,
11917513,
06393354,
14048146,
12483305,
03236352,
13455721,
09887022,
11454126,
04812683,
13253675,
06829605,
08937644,
01067168,
13595826,
11651675,
13979467,
11137540,
14042395,
13672084,
04522861,
08690545,
sc615655,
12289160,
12935949,
09961069,
sc593532,
12851569,
08319935,
14248512,
08148399,
09544468,
14231736,
07175159,
13629774,
14270320,
09370027,
08939567,
12020561,
04939224,
01105924,
00574548,
08937226,
10262998,
02073797,
10502721,
11915206,
11764940,
07998015,
11911694,
11495513,
06028829,
06126387,
13763494,
11926667,
09065529,
11357048,
09840271,
10756440,
12451331,
13165726,
08967658,
08462358,
05218738,
12309970,
00856804,
12702639,
sc288927,
13901171,
sc653171,
13661359,
00738335,
09082049,
10755805,
10527153,
10972649,
11379290,
10949383,
ni048735,
10152930,
08557141,
10029706,
11777840,
11976950,
13533505,
07981686,
03951475,
07458231,
13764115,
10349326,
14392137,
sc720561,
08897545,
01118923,
14299204,
sc432623,
12207810,
10653357,
14076405,
13118043,
01292679,
05303571,
13410894,
14129415,
12415725,
13955142,
11508125,
11039556,
03809060,
05708069,
05810574,
02366877,
12783317,
09181657,
09777505,
12942513,
sc241573,
11057648,
11197746,
14013137,
12237042,
02111266,
14123810,
01899193,
07150182,
13975073,
06491901,
02453219,
04478689,
ni681443,
09591770,
12394672,
13196119,
07416625,
sc737544,
13597891,
13184738,
ni007615,
13422649,
08260757,
05695000,
10206962,
07238880,
07416627,
ni034251,
03201721,
10271585,
13402022,
03053166,
09154565,
07686948,
11030460,
10186944,
06314521,
13174935,
02877984,
13247158,
06531101,
01196085,
13616343,
10355499,
10785826,
05474317,
13192770,
13223643,
ni651785,
ni656815,
13442869,
13838550,
13706775,
07690503,
14170529,
10078419,
12246435,
08536487,
13067874,
13150095,
10598482,
04983855,
00519168,
14076542,
13603145,
14127184,
11769544,
11859289,
12398094,
07158426,
13866936,
14138514,
00404594,
12473035,
11532281,
05065523,
06969099,
12481985,
12950207,
ni046774,
sc300742,
04925741,
10665417,
12210981,
02876838,
14114985,
12758126,
12752153,
14013639,
08346437,
09613109,
13601417,
13900914,
10093507,
11321604,
12485902,
14153318,
13978389,
12025395,
05499493,
05763238,
09721055,
sc669896,
10521467,
13995080,
13293223,
04851646,
10732860,
02411915,
08911786,
10394798,
14534823,
10791536,
13641045,
12309162,
10598052,
09704401,
09369455,
11646226,
12329841,
08682613,
13136300,
sc465974,
11844685,
14581538,
07750029,
13125532,
11254354,
09217504,
ni648827,
12452086,
13800384,
07249420,
13603692,
06125885,
01659372,
13908133,
13120409,
11728616,
12055264,
07281923,
11450810,
12721083,
14008659,
05539186,
04477915,
13939265,
08001032,
09817358,
05763442,
11823293,
11826425,
03413437,
14007336,
09986969,
11820924,
07983455,
ni072800,
13477996,
11801115,
10789503,
11804176,
05637175,
04934937,
01164034,
13605499,
02937412,
13934783,
05027399,
12330781,
11683273,
13549602,
08885279,
13223050,
04187425,
11197112,
09721611,
12349913,
09961430,
09059224,
11656139,
11364781,
10663086,
09058841,
06418827,
11024761,
12089496,
sc755133,
12038551,
11822814,
12703509,
14123774,
03700037,
11326149,
05987608,
06769315,
10856818,
09259852,
10074624,
13413203,
10306800,
sc064319,
14399313,
sc608264,
11142384,
06611635,
11235690,
01010386,
12424601,
09572686,
07545122,
13326980,
12792902,
11031434,
04822848,
12488870,
11616086,
11282015,
04739937,
11575206,
04752498,
06061982,
08631144,
10315128,
11312329,
00559486,
13222468,
08621792,
03491084,
01049354,
02048265,
03369455,
10996091,
14168484,
04984585,
09026105,
14216720,
14252852,
11912189,
04887707,
03781030,
05303352,
12233182,
10901636,
10039664,
sc490776,
11732211,
12292329,
10517617,
14375117,
07750005,
02608782,
sc538115,
ni603110,
01367417,
08953343,
14277188,
10541792,
14173945,
09975095,
09959524,
07379703,
13137178,
07873328,
04801417,
14261696,
13962083,
06131760,
11581754,
11710302,
13789295,
05383823,
12936498,
13580205,
08018613,
08437860,
sc509982,
ni012993,
08779464,
05429930,
12788584,
04218643,
sc357211,
13042395,
07983471,
12324292,
01064338,
12773903,
sc537905,
13828860,
sc465341,
03235166,
12978094,
01918382,
11481662,
09816338,
07291294,
00511385,
11744919,
04422146,
13678303,
13250209,
07648075,
