address_name,city,country,name,location_type,postalcode,state,trade_name
126 e lincoln ave,rahway,united states,merck sharp & dohme (i.a.) llc,headquarter,70654607,new jersey(nj),
duncan macmillan house porchester road,nottingham,united kingdom,nottinghamshire healthcare n h s foundation trust,headquarter,              ng3 6aa,united kingdom,
piazza attias 13,livorno,italy,eiffage infraestructuras sa,single address,57125,italy,
vana-louna tn 15,tallinn,estonia,bolt technology ou,headquarter,10134,estonia,
126 e lincoln ave,rahway,united states,merck sharp & dohme (argentina) inc.,headquarter,70654607,new jersey(nj),
2nd floor 40 grosvenor place,london,united kingdom,liberty finance management (lig) ltd,single address,              sw1x 7gg,united kingdom,
via ferruccio lamborghini 18,san giovanni in persiceto,italy,safe spa,headquarter,40017,italy,
ravala pst 8,tallinn,estonia,game machine ou,headquarter,10143,estonia,
4201 northpark dr,opelika,united states,hl mando america corporation,headquarter,368019667,alabama(al),MANDO
"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,gcp asset management (uk) ltd,single address,              wc1v 7da,united kingdom,
via camillo olivetti 2,agrate brianza,italy,stmicroelectronics srl,,20864,italy,STM
sarruse tn 3,tallinn,estonia,milworks ou,single address,13816,estonia,
9801 international dr,orlando,united states,"hyatt hotels of florida, inc.",single address,328198104,florida(fl),HYATT REGENCY ORLANDO
"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 7 new limited,single address,              wc1v 7da,united kingdom,
via palermo 21-23,atessa,italy,travaglini logistic and transport srl,,66041,italy,TRAVAGLINI
vana-louna tn 15,tallinn,estonia,bolt operations ou,headquarter,10134,estonia,
3990 n sunnyside rd,lena,united states,"kolb-lena, inc.",single address,610489613,illinois(il),
"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 7 new residential limited,single address,              wc1v 7da,united kingdom,
strada tomboleto 12,azeglio,italy,huntsman gomet srl,headquarter,10010,italy,
narva mnt 5,tallinn,estonia,b-bus ou,single address,10117,estonia,
3900 n washington st ste 2,wilmington,united states,verizon international holdings inc.,headquarter,198022137,delaware(de),
"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 23 new limited,single address,              wc1v 7da,united kingdom,
via milanese 124,cinisello balsamo,italy,johnson controls italia srl,headquarter,20092,italy,
liivalaia tn 45,tallinn,estonia,luminor bank as,headquarter,10145,estonia,
1209 n orange st,wilmington,united states,"micro focus (us) international holdings, inc.",headquarter,198011120,delaware(de),
turner house 16 great marlborough street,london,united kingdom,turner broadcasting system europe limited,headquarter,              w1f 7hs,united kingdom,
corso alessandria 395,asti,italy,johnson electric asti srl,headquarter,14100,italy,
sadama tn 5,tallinn,estonia,tallink as,headquarter,10111,estonia,
1209 orange ste,wilmington,united states,"usf international holdings, llc",headquarter,198011120,delaware(de),
"the maylands building 200 maylands avenue, hemel hempstead industrial estate",hemel hempstead,united kingdom,southern parks limited,,              hp2 7tg,united kingdom,Aria Resorts
via larga 26,milano,italy,moby spa,headquarter,20122,italy,
sadama tn 5,tallinn,estonia,tallink grupp as,headquarter,10111,estonia,
6000 town center blvd ste 240,canonsburg,united states,"gantrex, inc.",single address,153175841,pennsylvania(pa),
111 strand,london,united kingdom,cvc advisers limited,headquarter,              wc2r 0ag,united kingdom,
via prati della rosa 17,colico (zona industriale ),italy,galperti engineering and flow control spa,headquarter,23823,italy,
vaike-paala tn 1,tallinn,estonia,top connect ou,headquarter,11415,estonia,
600 n 18th st,birmingham,united states,alabama power company,headquarter,352032200,alabama(al),
20 vauxhall bridge road,london,united kingdom,penguin random house limited,headquarter,              sw1v 2sa,united kingdom,
via luciano lama 33,sesto san giovanni,italy,abb spa,headquarter,20099,italy,
viru valjak 4,tallinn,estonia,pontos baltic as,headquarter,10111,estonia,
290 healthwest dr ste 2,dothan,united states,"construction partners, inc.",headquarter,363032051,alabama(al),
whole building 20 vauxhall bridge road,london,united kingdom,the random house group limited,headquarter,              sw1v 2sa,united kingdom,
via canalazzo 35,medolla,italy,oli spa,headquarter,41036,italy,
laki poik 6,tallinn,estonia,sandmani grupi as,headquarter,12918,estonia,
1007 goodyear ave,gadsden,united states,"gadsden regional medical center, llc",headquarter,359031100,alabama(al),
"fao sophie leedham ugi house gisborne close, staveley",chesterfield,united kingdom,avanti gas limited,headquarter,              s43 3jt,united kingdom,
strada degli schiocchi 12,modena,italy,oli ebike systems srl,headquarter,41124,italy,
parnu mnt 141,tallinn,estonia,prfoods as,headquarter,11314,estonia,
1 letterman dr ste cm 500,san francisco,united states,"luminate capital partners ii, lp",headquarter,941291496,california(ca),
becket house 1 lambeth palace road,london,united kingdom,bouygues e&s solutions limited,,              se1 7eu,united kingdom,BOUYGUES CONSTRUCTION
piazza san babila 5,milano,italy,business integration partners spa,headquarter,20122,italy,
parnu mnt 139e/2,tallinn,estonia,schneider electric eesti as,single address,11317,estonia,
702 sw 8th st,bentonville,united states,walmart inc.,headquarter,727166299,arkansas(ar),
becket house 1 lambeth palace road,london,united kingdom,bouygues (u.k.) limited,headquarter,              se1 7eu,united kingdom,
uffici direzionali gesac snc,napoli (aeroporto di capodichino ),italy,societa' gestione servizi aeroporti campani ge.s.a.c. spa,,80100,italy,AEROPORTO INTERNAZIONALE DI NAPOLI
puidu tn 2,"tartu, tartu",estonia,kodumaja as,headquarter,50411,estonia,
702 sw 8th st,bentonville,united states,"wal-mart stores east, lp",headquarter,727166299,arkansas(ar),WALMART
1 new street square,london,united kingdom,deloitte llp,headquarter,              ec4a 3hq,united kingdom,
corso vittorio emanuele 292,napoli,italy,universita' degli studi suor orsola benincasa,headquarter,80135,italy,
telliskivi tn 60/2,tallinn,estonia,iizi kindlustusmaakler as,headquarter,10412,estonia,
3000 tannery way,santa clara,united states,"palo alto networks, inc.",headquarter,950542832,california(ca),
1 new street square,london,united kingdom,deloitte mcs limited,,              ec4a 3hq,united kingdom,DELOITTE
piazza san marco 3,milano,italy,lombard international assurance s.a.,headquarter,20121,italy,
tartu mnt 18,tallinn,estonia,marsh kindlustusmaakler as,single address,10145,estonia,
95-136 coonbrook rd,petersburg,united states,"tonoga, inc.",headquarter,12138,new york(ny),TACONIC
"8th floor the point, 37 north wharf road",london,united kingdom,first mtr south western trains limited,single address,              w2 1af,united kingdom,
viale serenissima 20,vigonovo,italy,pm srl,headquarter,30030,italy,
tahe tn 133,"tartu, tartu",estonia,kroonpress as,single address,50107,estonia,
210 6th ave ste 3300,pittsburgh,united states,evoqua water technologies llc,headquarter,152222603,pennsylvania(pa),
culzean house 36 renfield street,glasgow,united kingdom,abellio scotrail ltd,headquarter,              g2 1lu,united kingdom,
via giovanni benini 13,zola predosa,italy,biochem srl,headquarter,40069,italy,
niine tn 11,tallinn,estonia,maksekeskus holding ou,headquarter,10414,estonia,
702 king farm blvd ste 400,rockville,united states,institutional shareholder services inc.,headquarter,208505774,maryland(md),ISS
bernera works psalters lane,rotherham,united kingdom,demex limited,headquarter,              s61 1dq,united kingdom,
via lombardia 2/a,peschiera borromeo,italy,4ward srl,headquarter,20068,italy,
niine tn 11,tallinn,estonia,maksekeskus as,single address,10414,estonia,
702 king farm blvd ste 400,rockville,united states,"iss corporate solutions, inc.",single address,208505774,maryland(md),
137-143 hammersmith road,london,united kingdom,general mediterranean holding (uk) limited,headquarter,              w14 0ql,united kingdom,
via dell'industria 63,breganze,italy,agco italia spa,headquarter,36042,italy,
"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair ou,headquarter,75322,estonia,
12401 e 17th ave ste b132,aurora,united states,"poudre valley health care, inc.",headquarter,800452589,colorado(co),POUDRE VALLEY HEALTH SYSTEM
"2nd floor the rex building, 62 queen street",london,united kingdom,momentum global investment management limited,,              ec4r 1eb,united kingdom,Momentum Investment Solutions & Consulting
via francesco laverda 15/17,breganze,italy,laverda agco spa,headquarter,36042,italy,
tehnika tn 55,tallinn,estonia,mediabrands digital ou,headquarter,10136,estonia,
475 anton blvd,costa mesa,united states,"experian information solutions, inc.",headquarter,926267037,california(ca),EXPERIAN
82 st. john street,london,united kingdom,parity group public limited company,headquarter,              ec1m 4jn,united kingdom,
via i maggio 4,ormelle,italy,vetroelite srl,headquarter,31024,italy,
kadaka tee 62a,tallinn,estonia,tallinna linnatransport as,single address,12618,estonia,
200 domain dr,stratham,united states,timberland llc,headquarter,38852575,new hampshire(nh),
"po box 48, second floor, sir walter raleigh house 48-50 the esplanade, st. helier",jersey,united kingdom,cso oil & gas technology (west africa) limited,single address,              je2 3qb,united kingdom,
via foggia 177/a,barletta,italy,vetroelite packaging srl,headquarter,76121,italy,
maakri tn 19/1,tallinn,estonia,admiral markets as,single address,10145,estonia,
300 franklin square dr,somerset,united states,"merck, sharp & dohme (europe) inc.",headquarter,88734187,new jersey(nj),MERCK
one silk street,london,united kingdom,linklaters llp,headquarter,              ec2y 8hq,united kingdom,
via benigno crespi 19,"milano (maciachini business park, mac1 )",italy,tua assicurazioni spa,headquarter,20159,italy,
maakri tn 19/1,tallinn,estonia,admirals group as,headquarter,10145,estonia,
3 paragon dr,montvale,united states,"pentax of america, inc.",headquarter,76451782,new jersey(nj),
1 silk street,london,united kingdom,linklaters business services,headquarter,              ec2y 8hq,united kingdom,
via radici nord 112,castellarano,italy,granitifiandre spa,headquarter,42014,italy,
moisa tn 4,tallinn,estonia,fibenol ou,single address,13522,estonia,
913 s burnside ave,gonzales,united states,"eatelcorp, l.l.c.",headquarter,707374258,louisiana(la),
"dorna house one, guildford road west end",woking,united kingdom,sopheon plc,headquarter,              gu24 9pw,united kingdom,
via marocchesa 14,mogliano veneto,italy,generali italia spa,headquarter,31021,italy,
"liimi, moldre kula",torva vald,estonia,combiwood ou,headquarter,68612,estonia,
2050 mitchell blvd,schaumburg,united states,martin tool works inc,single address,601934544,illinois(il),
"chalton house uk1-101-135, luton road",luton,united kingdom,vauxhall motors limited,headquarter,              lu4 9tt,united kingdom,
viale roma 99/100,valdilana,italy,ez service srl,headquarter,13835,italy,
"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair group as,headquarter,75322,estonia,
1751 hotel plaza blvd,lake buena vista,united states,hlt property acquisition llc,headquarter,328308430,florida(fl),HILTON IN THE WALT DISNEY WORLD RESORT
pinley house 2 sunbeam way,coventry,united kingdom,vml 2017 pension trustees limited,,              cv3 1nd,united kingdom,Vauxhall Motors
via san dalmazzo 15,torino,italy,investis insurance broker spa o in breve investis broker spa,headquarter,10122,italy,
"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair technologies ou,headquarter,75322,estonia,
1375 buena vista dr fl 4,lake buena vista,united states,"walt disney parks and resorts u.s., inc.",headquarter,328308402,florida(fl),
6 pavilion drive holford,birmingham,united kingdom,centresoft limited,headquarter,              b6 7bb,united kingdom,
viale isola bianca 1 a,olbia,italy,dream yacht italia srl,headquarter,7026,italy,
tartu mnt 80,tallinn,estonia,ideal group as,headquarter,10112,estonia,
1500 epcot resort blvd,lake buena vista,united states,tishman dolphin limited partnership,headquarter,328308428,florida(fl),
"aberdeen solution centre harvest avenue, d2 business park dyce",aberdeen,united kingdom,emerson sales uk limited,headquarter,              ab21 0bq,united kingdom,
via verona 20,pove del grappa,italy,hilding anders italy srl,headquarter,36020,italy,
liivalaia tn 45,tallinn,estonia,luminor pensions estonia as,headquarter,10145,estonia,
55 w 46th st ste 2204,new york,united states,b oregon leasing llc,single address,100364277,new york(ny),
16-18 fountain crescent inchinnan business park inchinnan,renfrew,united kingdom,bray controls (uk) limited,,              pa4 9re,united kingdom,BRAY VALVE & CONTROLS (UK)
via marina di levante 19,viareggio,italy,c-map italy srl,headquarter,55049,italy,
tartu mnt 43,tallinn,estonia,digital ledger ou,single address,10128,estonia,
55 w 46th st ste 2204,new york,united states,b oregon owner llc,single address,100364277,new york(ny),
137-143 hammersmith road hammersmith,london,united kingdom,arabic news broadcasting uk ltd,single address,              w14 0ql,united kingdom,
via giorgio stephenson 43/a,milano,italy,ingenico italia spa,headquarter,20157,italy,
roosikrantsi tn 2,tallinn,estonia,valmet technologies ou,headquarter,10119,estonia,
1441 broadway ste 5116,new york,united states,"ideanomics, inc.",headquarter,100181905,new york(ny),
london gateway logistic centre 1st floor north sea crossing,stanford-le-hope,united kingdom,boluda towage london ltd.,single address,              ss17 9er,united kingdom,
via asti 89,santena,italy,valeo spa,headquarter,10026,italy,
ravala pst 8,tallinn,estonia,estonia capital ou,headquarter,10143,estonia,
2500 bee caves rd rank_ i,austin,united states,emergo global consulting llc,headquarter,787465869,texas(tx),
71 fenchurch street,london,united kingdom,dtw 1991 underwriting limited,single address,              ec3m 4bs,united kingdom,
via luca passi 85,roma,italy,servier italia spa,headquarter,166,italy,
vana-louna tn 15,tallinn,estonia,bolt services ee ou,single address,10134,estonia,
3200 windy hill rd se ste 230,atlanta,united states,modern systems corporation,headquarter,303398584,georgia(ga),
park house clifton park,york,united kingdom,0044 limited,single address,              yo30 5pb,united kingdom,
via tiziano 32,milano,italy,maisons du monde italie srl,headquarter,20145,italy,
vana-louna tn 15,tallinn,estonia,bolt holdings ou,headquarter,10134,estonia,
600 bird bay dr w,venice,united states,"ned davis research, inc.",headquarter,342858020,florida(fl),
10 paternoster square,london,united kingdom,lch limited,headquarter,              ec4m 7ls,united kingdom,
via monte grappa 8,galliera veneta,italy,pavan spa,headquarter,35015,italy,
vana-sauga tn 40,"parnu, parnu",estonia,scanfil ou,single address,80044,estonia,
63 calle de la fortaleza,san juan,united states,"puerto rico, commonwealth of",headquarter,9011501,puerto rico(pr),
29 ullswater crescent,coulsdon,united kingdom,vestey foods international limited,headquarter,              cr5 2hr,united kingdom,
via chiese 6,milano,italy,prysmian powerlink srl,headquarter,20126,italy,
parnu mnt 22,tallinn,estonia,ringcentral estonia ou,single address,10141,estonia,
100 church st,new york,united states,"ice data indices, llc",single address,100072601,new york(ny),
wimbledon avenue,brandon,united kingdom,abels moving services limited,headquarter,              ip27 0nz,united kingdom,
via chiese 6,milano,italy,prysmian spa,headquarter,20126,italy,
liivalaia 8,tallinn,estonia,swedbank as,headquarter,15040,estonia,
1200 17th s fl 15,denver,united states,palantir technologies inc.,headquarter,802025835,colorado(co),PALANTIR
16 waterside way,london,united kingdom,abel & cole limited,headquarter,              sw17 0hb,united kingdom,
via chiese 6,milano,italy,electronic and optical sensing solutions srl in breve eoss srl,headquarter,20126,italy,
liivalaia tn 8,tallinn,estonia,swedbank life insurance se,headquarter,10118,estonia,
1555 blake st ste 250,denver,united states,palantir international inc.,headquarter,802021866,colorado(co),
"harvest house origin way, europarc",grimsby,united kingdom,yara limited,single address,              dn37 9tz,united kingdom,
via galileo galilei 56,cazzago san martino,italy,ammotec italia srl,single address,25046,italy,
liivalaia tn 8,tallinn,estonia,swedbank p&c insurance as,single address,10118,estonia,
1030 delta blvd,atlanta,united states,"delta air lines, inc.",headquarter,303541989,georgia(ga),DELTA
rossingtons business park west carr road,retford,united kingdom,pib risk services limited,headquarter,              dn22 7sw,united kingdom,
via aldo oliva 15,domodossola,italy,i.i.s. 'marconi galletti einaudi',headquarter,28845,italy,
tartu mnt 2,tallinn,estonia,lhv kindlustus as,single address,10145,estonia,
1001 international blvd,atlanta,united states,"delta technology, llc",headquarter,303541802,georgia(ga),
1 minster court,london,united kingdom,pib group limited,headquarter,              ec3r 7aa,united kingdom,
via ernesto codignola 14/16,scandicci,italy,the bridge spa,headquarter,50018,italy,
visase tn 14,tallinn,estonia,tavrida electric export as,headquarter,11415,estonia,
1555 blake st ste 250,denver,united states,palantir technologies holdings llc,single address,802021866,colorado(co),
25 bank street canary wharf,london,united kingdom,"jpmorgan chase bank, national association",,              e14 5jp,united kingdom,JPMorgan Chase Bank
viale dei lanifici 1,valdagno (maglio ),italy,valentino spa,headquarter,36078,italy,
rannaku pst 12,tallinn,estonia,smartswap ou,single address,10917,estonia,
1555 blake st ste 250,denver,united states,palantir technologies canada inc.,single address,802021866,colorado(co),
grenville street st. helier,jersey,united kingdom,j.p. morgan trust company (jersey) limited,,              je2 4uf,united kingdom,J P MORGAN CHASE BANK
via dei colli 240,signa,italy,aep ticketing solutions srl,headquarter,50058,italy,
aiandi tn 13/2,tallinn,estonia,maxima eesti ou,headquarter,12918,estonia,
1555 blake st ste 250,denver,united states,palantir technologies qfc llc,single address,802021866,colorado(co),
newhouse industrial estate,motherwell,united kingdom,volvo construction equipment haulers limited,headquarter,              ml1 5ry,united kingdom,
piazza tre torri 3,milano,italy,allianz spa,headquarter,20145,italy,
rannaku pst 12,tallinn,estonia,finvault exchange ou,single address,10917,estonia,
8100 airbus military dr,mobile,united states,"airbus ds military aircraft, inc.",headquarter,366085031,alabama(al),
arterial road laindon,basildon,united kingdom,fce bank plc,headquarter,              ss15 6ee,united kingdom,
piazza tre torri 3,milano,italy,allianz direct spa,headquarter,20145,italy,
tartu mnt 2,tallinn,estonia,lhv pank as,headquarter,10145,estonia,
11 langley blvd,hampton,united states,nasa langley research center,headquarter,236812143,virginia(va),NASA
altendiez way latimer business park burton latimer,kettering,united kingdom,alpro (uk) limited,,              nn15 5yt,united kingdom,ALPRO
piazza ezio vanoni 1,san donato milanese,italy,eni plenitude spa societa' benefit,headquarter,20097,italy,
mustamae tee 3,tallinn,estonia,green it ou,single address,15033,estonia,
35 e 62nd st,new york,united states,macandrews & forbes incorporated,headquarter,100658014,new york(ny),
cowick hall snaith,goole,united kingdom,croda europe limited,headquarter,              dn14 9aa,united kingdom,
via edmondo de amicis 51,milano,italy,dual italia spa,headquarter,20123,italy,
jogeva mnt 29,"poltsamaa, poltsamaa vald",estonia,green window ou,single address,48105,estonia,
1 state street plaza 24th fl,new york,united states,"sterling infosystems, inc.",headquarter,100041561,new york(ny),
cowick hall snaith,goole,united kingdom,croda international public limited company,,              dn14 9aa,united kingdom,CRODA
piazza della croce rossa 1,roma,italy,mercitalia rail srl,headquarter,161,italy,
kopli tn 19,tallinn,estonia,scan shipping ou,single address,10412,estonia,
1811 2nd ave fl 2,jasper,united states,surface mining commission alabama,headquarter,355015382,alabama(al),
cowick hall snaith,goole,united kingdom,croda investments no 3 limited,headquarter,              dn14 9aa,united kingdom,
via roma 50,alfonsine,italy,marini spa,headquarter,48011,italy,
sadama tn 25/2,tallinn,estonia,ts shipping ou,single address,10111,estonia,
590 madison ave fl 34,new york,united states,compass group l.l.c.,headquarter,100228533,new york(ny),
metropolitan house longrigg,newcastle-upon-tyne,united kingdom,johnson electric international (uk) limited,headquarter,              ne16 3as,united kingdom,
via teulada 66,roma,italy,rai way spa,headquarter,195,italy,
voidu tn 6,tallinn,estonia,dsvh ou,headquarter,11214,estonia,
2400 yorkmont rd,charlotte,united states,"compass group usa, inc.",headquarter,282174511,north carolina(nc),
"5th floor rex house, 4-12 lower regent street",london,united kingdom,general nuclear international limited,headquarter,              sw1y 4pe,united kingdom,
via brembo 25,curno,italy,brembo spa,headquarter,24035,italy,
ulikooli tn 2,"tartu, tartu",estonia,smartmatic-cybernetica centre of excellence for internet voting ou,single address,51003,estonia,
1 river rd bldg 5 419,schenectady,united states,ge power & water,single address,123456000,new york(ny),
st. marys terrace,penzance,united kingdom,tor currency exchange limited,headquarter,              tr18 4dz,united kingdom,
via monte ortigara 5,bergamo,italy,nuova fourb srl,,24121,italy,BREMBO
laki poik 2,tallinn,estonia,3p logistics ou,single address,12919,estonia,
900 w shore rd,port washington,united states,"npd group, l.p., the",headquarter,110504663,new york(ny),
plantation place 30 fenchurch street,london,united kingdom,qbe uk limited,headquarter,              ec3m 3bd,united kingdom,
via ceresio 7,milano,italy,polyworks europa (italia) srl,headquarter,20154,italy,
hobujaama tn 4,tallinn,estonia,ng investeeringud ou,headquarter,10151,estonia,
89 partnership way,cincinnati,united states,pro mach inc,single address,452411580,ohio(oh),
20 fenchurch street,london,united kingdom,markel international insurance company limited,headquarter,              ec3m 3az,united kingdom,
viale aristide merloni 45,fabriano,italy,ariston spa,headquarter,60044,italy,
kopli tn 103,tallinn,estonia,blrt grupp as,headquarter,11712,estonia,
2000 westchester ave,purchase,united states,"atlas air, inc.",headquarter,105772543,new york(ny),
1 aldgate,tower,united kingdom,hcc international insurance company plc,headquarter,              ec3n 1re,united kingdom,
strada dell'universita' 12,parma,italy,universita' degli studi di parma,headquarter,43121,italy,
parda tn 6,tallinn,estonia,ekspress grupp as,headquarter,10151,estonia,
11700 great oaks way ste 210,alpharetta,united states,"verifone, inc.",single address,300222463,georgia(ga),
4th floor 8 fenchurch place,london,united kingdom,berkshire hathaway international insurance limited,headquarter,              ec3m 4aj,united kingdom,
via san martino 87,barge,italy,itt italia srl,headquarter,12032,italy,
vaike-turu tn 5-81,"tartu, tartu",estonia,24 holding ou,headquarter,51004,estonia,
700 e ste 400 butterfield rd,lombard,united states,"waste management of illinois, inc.",headquarter,60148,illinois(il),WASTE MANAGEMENT
7-8 floor 6 bevis marks,london,united kingdom,navigators international insurance company ltd,headquarter,              ec3a 7ba,united kingdom,
via albert einstein 24,campi bisenzio,italy,kickoff spa,headquarter,50013,italy,
jarvevana tee 7b,tallinn,estonia,hepsor as,headquarter,10112,estonia,
731 lexington ave,new york,united states,bloomberg finance l.p.,headquarter,100221331,new york(ny),
one creechurch place,london,united kingdom,travelers insurance company limited,headquarter,              ec3a 5af,united kingdom,
via santa maria segreta 2 n 03,milano,italy,bain & c. italy inc.,headquarter,20123,italy,
sadama tn 25/2,tallinn,estonia,ts laevad ou,,10111,estonia,VALDO  KALM
1520 bridgegate dr ste 208,diamond bar,united states,cycle link (u.s.a.) inc.,single address,917653937,california(ca),CYCLE LINK
the ham,westbury,united kingdom,savencia fromage & dairy uk ltd,headquarter,              ba13 4ha,united kingdom,
viale luca gaurico 209,roma,italy,horiba italia srl,headquarter,143,italy,
lootsa tn 8,tallinn,estonia,nord connect ou,headquarter,11415,estonia,
4000 warner blvd,burbank,united states,warner bros. distributing inc.,headquarter,915220002,california(ca),
13 bramley road,london,united kingdom,wmg global ventures limited,headquarter,              w10 6sz,united kingdom,
via lombardia 17,sovico (/19 ),italy,canali spa,headquarter,20845,italy,
liivalao tn 14,tallinn,estonia,me group baltic ou,single address,11216,estonia,
4000 warner blvd,burbank,united states,warner bros. enterprises llc,headquarter,915220002,california(ca),
croston road farington moss,leyland,united kingdom,leyland trucks limited,single address,              pr26 6lz,united kingdom,
viale rimembranza 20,bene vagienna,italy,industria grafica eurostampa spa,headquarter,12041,italy,
laki poik 6,tallinn,estonia,raglor ou,headquarter,12918,estonia,
777 s santa fe ave,los angeles,united states,warner bros. records inc.,headquarter,900211750,california(ca),
farrington road,burnley,united kingdom,mann + hummel vokes-air limited,headquarter,              bb11 5sy,united kingdom,
via eritrea 20/i,brescia,italy,camozzi group spa,headquarter,25126,italy,
kanepi tn 3-8,tallinn,estonia,segment invest ou,single address,10314,estonia,
4000 warner blvd,burbank,united states,"warner bros. (transatlantic), inc.",headquarter,915220002,california(ca),WARNER BROS
farrington road,burnley,united kingdom,mann + hummel vokes air treatment holdings limited,headquarter,              bb11 5sy,united kingdom,
via ostiense 133,roma,italy,universita' degli studi roma tre,headquarter,154,italy,
maakri tn 19/1,tallinn,estonia,arco vara as,headquarter,10145,estonia,
4001 w olive ave,burbank,united states,warner bros. consumer products inc.,headquarter,915054272,california(ca),
"unit 8 peckleton lane business park peckleton common, peckleton",leicester,united kingdom,k.j.n. automation limited,single address,              le9 7rn,united kingdom,
piazzale aldo moro 5,roma,italy,universita' degli studi di roma la sapienza,headquarter,185,italy,
kai tn 1,tallinn,estonia,yerblues ou,single address,10111,estonia,
4000 warner blvd,burbank,united states,warner bros. technical operations inc.,headquarter,915220002,california(ca),
the tower 48 goffs park road,crawley,united kingdom,hunt and palmer plc,headquarter,              rh11 8xx,united kingdom,
via europa 26,porto mantovano,italy,ufi filters spa,headquarter,46047,italy,
ravala pst 8,tallinn,estonia,ghuni jatigram ou,single address,10143,estonia,
8600 gateway blvd e near pendale rd.,universal city,united states,"dreamworks, inc.",headquarter,91608,california(ca),
western drive,bristol,united kingdom,radiodetection limited,headquarter,              bs14 0af,united kingdom,
via enrico mattei 42,bologna,italy,brt spa,,40138,italy,BARTOLINI EXPRESS COURIER
ulikooli tn 2,"tartu, tartu",estonia,perforce software as,headquarter,51003,estonia,
