,index,address_name,city,country,name,location_type,postalcode,state,trade_name
109,109,culzean house 36 renfield street,glasgow,united kingdom,abellio scotrail ltd,headquarter,              g2 1lu,united kingdom,
110,110,via giovanni benini 13,zola predosa,italy,biochem srl,headquarter,40069,italy,
111,111,niine tn 11,tallinn,estonia,maksekeskus holding ou,headquarter,10414,estonia,
112,112,702 king farm blvd ste 400,rockville,united states,institutional shareholder services inc.,headquarter,208505774,maryland(md),ISS
113,113,bernera works psalters lane,rotherham,united kingdom,demex limited,headquarter,              s61 1dq,united kingdom,
114,114,via lombardia 2/a,peschiera borromeo,italy,4ward srl,headquarter,20068,italy,
115,115,niine tn 11,tallinn,estonia,maksekeskus as,single address,10414,estonia,
116,116,702 king farm blvd ste 400,rockville,united states,"iss corporate solutions, inc.",single address,208505774,maryland(md),
117,117,137-143 hammersmith road,london,united kingdom,general mediterranean holding (uk) limited,headquarter,              w14 0ql,united kingdom,
118,118,via dell'industria 63,breganze,italy,agco italia spa,headquarter,36042,italy,
119,119,"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair ou,headquarter,75322,estonia,
120,120,12401 e 17th ave ste b132,aurora,united states,"poudre valley health care, inc.",headquarter,800452589,colorado(co),POUDRE VALLEY HEALTH SYSTEM
121,121,"2nd floor the rex building, 62 queen street",london,united kingdom,momentum global investment management limited,,              ec4r 1eb,united kingdom,Momentum Investment Solutions & Consulting
122,122,via francesco laverda 15/17,breganze,italy,laverda agco spa,headquarter,36042,italy,
123,123,tehnika tn 55,tallinn,estonia,mediabrands digital ou,headquarter,10136,estonia,
124,124,475 anton blvd,costa mesa,united states,"experian information solutions, inc.",headquarter,926267037,california(ca),EXPERIAN
125,125,82 st. john street,london,united kingdom,parity group public limited company,headquarter,              ec1m 4jn,united kingdom,
126,126,via i maggio 4,ormelle,italy,vetroelite srl,headquarter,31024,italy,
127,127,kadaka tee 62a,tallinn,estonia,tallinna linnatransport as,single address,12618,estonia,
128,128,200 domain dr,stratham,united states,timberland llc,headquarter,38852575,new hampshire(nh),
129,129,"po box 48, second floor, sir walter raleigh house 48-50 the esplanade, st. helier",jersey,united kingdom,cso oil & gas technology (west africa) limited,single address,              je2 3qb,united kingdom,
130,130,via foggia 177/a,barletta,italy,vetroelite packaging srl,headquarter,76121,italy,
131,131,maakri tn 19/1,tallinn,estonia,admiral markets as,single address,10145,estonia,
132,132,300 franklin square dr,somerset,united states,"merck, sharp & dohme (europe) inc.",headquarter,88734187,new jersey(nj),MERCK
133,133,one silk street,london,united kingdom,linklaters llp,headquarter,              ec2y 8hq,united kingdom,
134,134,via benigno crespi 19,"milano (maciachini business park, mac1 )",italy,tua assicurazioni spa,headquarter,20159,italy,
135,135,maakri tn 19/1,tallinn,estonia,admirals group as,headquarter,10145,estonia,
136,136,3 paragon dr,montvale,united states,"pentax of america, inc.",headquarter,76451782,new jersey(nj),
137,137,1 silk street,london,united kingdom,linklaters business services,headquarter,              ec2y 8hq,united kingdom,
138,138,via radici nord 112,castellarano,italy,granitifiandre spa,headquarter,42014,italy,
139,139,moisa tn 4,tallinn,estonia,fibenol ou,single address,13522,estonia,
140,140,913 s burnside ave,gonzales,united states,"eatelcorp, l.l.c.",headquarter,707374258,louisiana(la),
141,141,"dorna house one, guildford road west end",woking,united kingdom,sopheon plc,headquarter,              gu24 9pw,united kingdom,
142,142,via marocchesa 14,mogliano veneto,italy,generali italia spa,headquarter,31021,italy,
143,143,"liimi, moldre kula",torva vald,estonia,combiwood ou,headquarter,68612,estonia,
144,144,2050 mitchell blvd,schaumburg,united states,martin tool works inc,single address,601934544,illinois(il),
145,145,"chalton house uk1-101-135, luton road",luton,united kingdom,vauxhall motors limited,headquarter,              lu4 9tt,united kingdom,
146,146,viale roma 99/100,valdilana,italy,ez service srl,headquarter,13835,italy,
147,147,"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair group as,headquarter,75322,estonia,
148,148,1751 hotel plaza blvd,lake buena vista,united states,hlt property acquisition llc,headquarter,328308430,florida(fl),HILTON IN THE WALT DISNEY WORLD RESORT
149,149,pinley house 2 sunbeam way,coventry,united kingdom,vml 2017 pension trustees limited,,              cv3 1nd,united kingdom,Vauxhall Motors
150,150,via san dalmazzo 15,torino,italy,investis insurance broker spa o in breve investis broker spa,headquarter,10122,italy,
151,151,"kapteni tee 1, soodevahe kula",rae vald,estonia,electroair technologies ou,headquarter,75322,estonia,
152,152,1375 buena vista dr fl 4,lake buena vista,united states,"walt disney parks and resorts u.s., inc.",headquarter,328308402,florida(fl),
153,153,6 pavilion drive holford,birmingham,united kingdom,centresoft limited,headquarter,              b6 7bb,united kingdom,
154,154,viale isola bianca 1 a,olbia,italy,dream yacht italia srl,headquarter,7026,italy,
155,155,tartu mnt 80,tallinn,estonia,ideal group as,headquarter,10112,estonia,
156,156,1500 epcot resort blvd,lake buena vista,united states,tishman dolphin limited partnership,headquarter,328308428,florida(fl),
157,157,"aberdeen solution centre harvest avenue, d2 business park dyce",aberdeen,united kingdom,emerson sales uk limited,headquarter,              ab21 0bq,united kingdom,
158,158,via verona 20,pove del grappa,italy,hilding anders italy srl,headquarter,36020,italy,
159,159,liivalaia tn 45,tallinn,estonia,luminor pensions estonia as,headquarter,10145,estonia,
160,160,55 w 46th st ste 2204,new york,united states,b oregon leasing llc,single address,100364277,new york(ny),
161,161,16-18 fountain crescent inchinnan business park inchinnan,renfrew,united kingdom,bray controls (uk) limited,,              pa4 9re,united kingdom,BRAY VALVE & CONTROLS (UK)
162,162,via marina di levante 19,viareggio,italy,c-map italy srl,headquarter,55049,italy,
163,163,tartu mnt 43,tallinn,estonia,digital ledger ou,single address,10128,estonia,
164,164,55 w 46th st ste 2204,new york,united states,b oregon owner llc,single address,100364277,new york(ny),
165,165,137-143 hammersmith road hammersmith,london,united kingdom,arabic news broadcasting uk ltd,single address,              w14 0ql,united kingdom,
166,166,via giorgio stephenson 43/a,milano,italy,ingenico italia spa,headquarter,20157,italy,
167,167,roosikrantsi tn 2,tallinn,estonia,valmet technologies ou,headquarter,10119,estonia,
168,168,1441 broadway ste 5116,new york,united states,"ideanomics, inc.",headquarter,100181905,new york(ny),
169,169,london gateway logistic centre 1st floor north sea crossing,stanford-le-hope,united kingdom,boluda towage london ltd.,single address,              ss17 9er,united kingdom,
170,170,via asti 89,santena,italy,valeo spa,headquarter,10026,italy,
171,171,ravala pst 8,tallinn,estonia,estonia capital ou,headquarter,10143,estonia,
172,172,2500 bee caves rd rank_ i,austin,united states,emergo global consulting llc,headquarter,787465869,texas(tx),
173,173,71 fenchurch street,london,united kingdom,dtw 1991 underwriting limited,single address,              ec3m 4bs,united kingdom,
174,174,via luca passi 85,roma,italy,servier italia spa,headquarter,166,italy,
175,175,vana-louna tn 15,tallinn,estonia,bolt services ee ou,single address,10134,estonia,
176,176,3200 windy hill rd se ste 230,atlanta,united states,modern systems corporation,headquarter,303398584,georgia(ga),
177,177,park house clifton park,york,united kingdom,0044 limited,single address,              yo30 5pb,united kingdom,
178,178,via tiziano 32,milano,italy,maisons du monde italie srl,headquarter,20145,italy,
179,179,vana-louna tn 15,tallinn,estonia,bolt holdings ou,headquarter,10134,estonia,
180,180,600 bird bay dr w,venice,united states,"ned davis research, inc.",headquarter,342858020,florida(fl),
181,181,10 paternoster square,london,united kingdom,lch limited,headquarter,              ec4m 7ls,united kingdom,
182,182,via monte grappa 8,galliera veneta,italy,pavan spa,headquarter,35015,italy,
183,183,vana-sauga tn 40,"parnu, parnu",estonia,scanfil ou,single address,80044,estonia,
184,184,63 calle de la fortaleza,san juan,united states,"puerto rico, commonwealth of",headquarter,9011501,puerto rico(pr),
185,185,29 ullswater crescent,coulsdon,united kingdom,vestey foods international limited,headquarter,              cr5 2hr,united kingdom,
186,186,via chiese 6,milano,italy,prysmian powerlink srl,headquarter,20126,italy,
187,187,parnu mnt 22,tallinn,estonia,ringcentral estonia ou,single address,10141,estonia,
188,188,100 church st,new york,united states,"ice data indices, llc",single address,100072601,new york(ny),
189,189,wimbledon avenue,brandon,united kingdom,abels moving services limited,headquarter,              ip27 0nz,united kingdom,
190,190,via chiese 6,milano,italy,prysmian spa,headquarter,20126,italy,
191,191,liivalaia 8,tallinn,estonia,swedbank as,headquarter,15040,estonia,
192,192,1200 17th s fl 15,denver,united states,palantir technologies inc.,headquarter,802025835,colorado(co),PALANTIR
193,193,16 waterside way,london,united kingdom,abel & cole limited,headquarter,              sw17 0hb,united kingdom,
194,194,via chiese 6,milano,italy,electronic and optical sensing solutions srl in breve eoss srl,headquarter,20126,italy,
195,195,liivalaia tn 8,tallinn,estonia,swedbank life insurance se,headquarter,10118,estonia,
196,196,1555 blake st ste 250,denver,united states,palantir international inc.,headquarter,802021866,colorado(co),
197,197,"harvest house origin way, europarc",grimsby,united kingdom,yara limited,single address,              dn37 9tz,united kingdom,
198,198,via galileo galilei 56,cazzago san martino,italy,ammotec italia srl,single address,25046,italy,
199,199,liivalaia tn 8,tallinn,estonia,swedbank p&c insurance as,single address,10118,estonia,
200,200,1030 delta blvd,atlanta,united states,"delta air lines, inc.",headquarter,303541989,georgia(ga),DELTA
201,201,rossingtons business park west carr road,retford,united kingdom,pib risk services limited,headquarter,              dn22 7sw,united kingdom,
202,202,via aldo oliva 15,domodossola,italy,i.i.s. 'marconi galletti einaudi',headquarter,28845,italy,
203,203,tartu mnt 2,tallinn,estonia,lhv kindlustus as,single address,10145,estonia,
204,204,1001 international blvd,atlanta,united states,"delta technology, llc",headquarter,303541802,georgia(ga),
205,205,1 minster court,london,united kingdom,pib group limited,headquarter,              ec3r 7aa,united kingdom,
206,206,via ernesto codignola 14/16,scandicci,italy,the bridge spa,headquarter,50018,italy,
207,207,visase tn 14,tallinn,estonia,tavrida electric export as,headquarter,11415,estonia,
208,208,1555 blake st ste 250,denver,united states,palantir technologies holdings llc,single address,802021866,colorado(co),
209,209,25 bank street canary wharf,london,united kingdom,"jpmorgan chase bank, national association",,              e14 5jp,united kingdom,JPMorgan Chase Bank
210,210,viale dei lanifici 1,valdagno (maglio ),italy,valentino spa,headquarter,36078,italy,
211,211,rannaku pst 12,tallinn,estonia,smartswap ou,single address,10917,estonia,
212,212,1555 blake st ste 250,denver,united states,palantir technologies canada inc.,single address,802021866,colorado(co),
213,213,grenville street st. helier,jersey,united kingdom,j.p. morgan trust company (jersey) limited,,              je2 4uf,united kingdom,J P MORGAN CHASE BANK
214,214,via dei colli 240,signa,italy,aep ticketing solutions srl,headquarter,50058,italy,
215,215,aiandi tn 13/2,tallinn,estonia,maxima eesti ou,headquarter,12918,estonia,
216,216,1555 blake st ste 250,denver,united states,palantir technologies qfc llc,single address,802021866,colorado(co),
217,217,newhouse industrial estate,motherwell,united kingdom,volvo construction equipment haulers limited,headquarter,              ml1 5ry,united kingdom,
218,218,piazza tre torri 3,milano,italy,allianz spa,headquarter,20145,italy,
219,219,rannaku pst 12,tallinn,estonia,finvault exchange ou,single address,10917,estonia,
220,220,8100 airbus military dr,mobile,united states,"airbus ds military aircraft, inc.",headquarter,366085031,alabama(al),
221,221,arterial road laindon,basildon,united kingdom,fce bank plc,headquarter,              ss15 6ee,united kingdom,
222,222,piazza tre torri 3,milano,italy,allianz direct spa,headquarter,20145,italy,
223,223,tartu mnt 2,tallinn,estonia,lhv pank as,headquarter,10145,estonia,
224,224,11 langley blvd,hampton,united states,nasa langley research center,headquarter,236812143,virginia(va),NASA
225,225,altendiez way latimer business park burton latimer,kettering,united kingdom,alpro (uk) limited,,              nn15 5yt,united kingdom,ALPRO
226,226,piazza ezio vanoni 1,san donato milanese,italy,eni plenitude spa societa' benefit,headquarter,20097,italy,
227,227,mustamae tee 3,tallinn,estonia,green it ou,single address,15033,estonia,
228,228,35 e 62nd st,new york,united states,macandrews & forbes incorporated,headquarter,100658014,new york(ny),
229,229,cowick hall snaith,goole,united kingdom,croda europe limited,headquarter,              dn14 9aa,united kingdom,
230,230,via edmondo de amicis 51,milano,italy,dual italia spa,headquarter,20123,italy,
231,231,jogeva mnt 29,"poltsamaa, poltsamaa vald",estonia,green window ou,single address,48105,estonia,
232,232,1 state street plaza 24th fl,new york,united states,"sterling infosystems, inc.",headquarter,100041561,new york(ny),
233,233,cowick hall snaith,goole,united kingdom,croda international public limited company,,              dn14 9aa,united kingdom,CRODA
234,234,piazza della croce rossa 1,roma,italy,mercitalia rail srl,headquarter,161,italy,
235,235,kopli tn 19,tallinn,estonia,scan shipping ou,single address,10412,estonia,
236,236,1811 2nd ave fl 2,jasper,united states,surface mining commission alabama,headquarter,355015382,alabama(al),
237,237,cowick hall snaith,goole,united kingdom,croda investments no 3 limited,headquarter,              dn14 9aa,united kingdom,
238,238,via roma 50,alfonsine,italy,marini spa,headquarter,48011,italy,
239,239,sadama tn 25/2,tallinn,estonia,ts shipping ou,single address,10111,estonia,
240,240,590 madison ave fl 34,new york,united states,compass group l.l.c.,headquarter,100228533,new york(ny),
241,241,metropolitan house longrigg,newcastle-upon-tyne,united kingdom,johnson electric international (uk) limited,headquarter,              ne16 3as,united kingdom,
242,242,via teulada 66,roma,italy,rai way spa,headquarter,195,italy,
243,243,voidu tn 6,tallinn,estonia,dsvh ou,headquarter,11214,estonia,
244,244,2400 yorkmont rd,charlotte,united states,"compass group usa, inc.",headquarter,282174511,north carolina(nc),
245,245,"5th floor rex house, 4-12 lower regent street",london,united kingdom,general nuclear international limited,headquarter,              sw1y 4pe,united kingdom,
246,246,via brembo 25,curno,italy,brembo spa,headquarter,24035,italy,
247,247,ulikooli tn 2,"tartu, tartu",estonia,smartmatic-cybernetica centre of excellence for internet voting ou,single address,51003,estonia,
248,248,1 river rd bldg 5 419,schenectady,united states,ge power & water,single address,123456000,new york(ny),
249,249,st. marys terrace,penzance,united kingdom,tor currency exchange limited,headquarter,              tr18 4dz,united kingdom,
250,250,via monte ortigara 5,bergamo,italy,nuova fourb srl,,24121,italy,BREMBO
251,251,laki poik 2,tallinn,estonia,3p logistics ou,single address,12919,estonia,
252,252,900 w shore rd,port washington,united states,"npd group, l.p., the",headquarter,110504663,new york(ny),
253,253,plantation place 30 fenchurch street,london,united kingdom,qbe uk limited,headquarter,              ec3m 3bd,united kingdom,
254,254,via ceresio 7,milano,italy,polyworks europa (italia) srl,headquarter,20154,italy,
255,255,hobujaama tn 4,tallinn,estonia,ng investeeringud ou,headquarter,10151,estonia,
256,256,89 partnership way,cincinnati,united states,pro mach inc,single address,452411580,ohio(oh),
257,257,20 fenchurch street,london,united kingdom,markel international insurance company limited,headquarter,              ec3m 3az,united kingdom,
258,258,viale aristide merloni 45,fabriano,italy,ariston spa,headquarter,60044,italy,
259,259,kopli tn 103,tallinn,estonia,blrt grupp as,headquarter,11712,estonia,
260,260,2000 westchester ave,purchase,united states,"atlas air, inc.",headquarter,105772543,new york(ny),
261,261,1 aldgate,tower,united kingdom,hcc international insurance company plc,headquarter,              ec3n 1re,united kingdom,
262,262,strada dell'universita' 12,parma,italy,universita' degli studi di parma,headquarter,43121,italy,
263,263,parda tn 6,tallinn,estonia,ekspress grupp as,headquarter,10151,estonia,
264,264,11700 great oaks way ste 210,alpharetta,united states,"verifone, inc.",single address,300222463,georgia(ga),
265,265,4th floor 8 fenchurch place,london,united kingdom,berkshire hathaway international insurance limited,headquarter,              ec3m 4aj,united kingdom,
266,266,via san martino 87,barge,italy,itt italia srl,headquarter,12032,italy,
267,267,vaike-turu tn 5-81,"tartu, tartu",estonia,24 holding ou,headquarter,51004,estonia,
268,268,700 e ste 400 butterfield rd,lombard,united states,"waste management of illinois, inc.",headquarter,60148,illinois(il),WASTE MANAGEMENT
269,269,7-8 floor 6 bevis marks,london,united kingdom,navigators international insurance company ltd,headquarter,              ec3a 7ba,united kingdom,
270,270,via albert einstein 24,campi bisenzio,italy,kickoff spa,headquarter,50013,italy,
271,271,jarvevana tee 7b,tallinn,estonia,hepsor as,headquarter,10112,estonia,
272,272,731 lexington ave,new york,united states,bloomberg finance l.p.,headquarter,100221331,new york(ny),
273,273,one creechurch place,london,united kingdom,travelers insurance company limited,headquarter,              ec3a 5af,united kingdom,
274,274,via santa maria segreta 2 n 03,milano,italy,bain & c. italy inc.,headquarter,20123,italy,
275,275,sadama tn 25/2,tallinn,estonia,ts laevad ou,,10111,estonia,VALDO  KALM
276,276,1520 bridgegate dr ste 208,diamond bar,united states,cycle link (u.s.a.) inc.,single address,917653937,california(ca),CYCLE LINK
277,277,the ham,westbury,united kingdom,savencia fromage & dairy uk ltd,headquarter,              ba13 4ha,united kingdom,
278,278,viale luca gaurico 209,roma,italy,horiba italia srl,headquarter,143,italy,
279,279,lootsa tn 8,tallinn,estonia,nord connect ou,headquarter,11415,estonia,
280,280,4000 warner blvd,burbank,united states,warner bros. distributing inc.,headquarter,915220002,california(ca),
281,281,13 bramley road,london,united kingdom,wmg global ventures limited,headquarter,              w10 6sz,united kingdom,
