,index,address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
50,50,"room 401, 4th floor, office tower c, vanton center, no.6 chaowai street, chaoyang district, beijing, 100020",china,consumer packaged goods,doll_74.1 m,dachan food (asia) ltd,"8,071",doll_1.0 b,,www.dachanfoodasia.com/en/aboutus.php
51,51,"adolf fredriks kyrkogata 9, stockholm, 10355",sweden,pharmaceuticals and healthcare,0,praktikertjanst ab,"6,700",doll_1.0 b,46 10 1280000,www.praktikertjanst.se
52,52,"china nonferrous building, no. 10, anding road, chaoyang district, beijing, 100029",china,metals and mining,doll_1.5 b,china non-ferrous metal industry’s foreign engineering and construction co ltd,"4,797",doll_1.0 b,86 10 84427227,www.nfc.com.cn
53,53,"asa norte, brasilia, 70.040-912",brazil,financial services,doll_13.4 b,bb seguridade participacoes sa,,doll_1.0 b,55 61 34932929,www.bbseguridaderi.com.br/pt
54,54,"suite 700, 2000 mckinney ave, dallas, texas, 75201",united states of america,financial services,doll_3.0 b,texas capital bancshares inc,"1,751",doll_1.0 b,1 214 9326600,www.texascapitalbank.com
55,55,"no.1 lutai avenue, high-tech zone, zibo, shandong , 255086",china,pharmaceuticals and healthcare,doll_2.1 b,shandong xinhua pharmaceutical co ltd,"6,540",doll_1.0 b,86 533 2166666,www.xhzy.com
56,56,"no.385, tiyu south street, shijiazhuang, hebei, 050023",china,construction,doll_1.4 b,hbis resources co ltd,"4,004",doll_1.0 b,86 311 66500923,www.hbiszy.com
57,57,"7, main gulberg, lahore, 54000",pakistan,consumer packaged goods,doll_76.6 m,nishat mills ltd,"27,760",doll_1.0 b,92 42 35716351,www.nishatmillsltd.com
58,58,"2800 post oak blvd ste 3800, houston, texas, 77056-6170",united states of america,financial services,0,cadence bancorp,"1,818",doll_1.0 b,1 713 8714000,www.cadencebancorporation.com
59,59,"po box 91976, auckland, 1142",new zealand,consumer packaged goods,doll_3.5 b,the a2 milk company ltd,421,doll_1.0 b,64 9 3755998,thea2milkcompany.com
60,60,"parc technologique des fontaines, chemin des franques, bernin, villard-bonnot, rhone alpes, 38190",france,technology and communications,doll_5.8 b,soitec sa,"1,847",doll_1.0 b,33 4 76927500,www.soitec.com
61,61,"jalan jenderal sudirman no.51, bangka belitung, pangkal pinang, 33121",indonesia,metals and mining,doll_623.9 m,pt timah tbk,"4,564",doll_1.0 b,62 21 23528000,www.timah.com
62,62,"osaka center bldg., 4-1-3, kyutaro-machi, chuo-ku, osaka-shi, 541-8566",japan,chemicals,doll_107.3 m,unitika ltd,"3,037",doll_1.0 b,81 6 62815695,www.unitika.co.jp
63,63,"399 park avenue, 38th floor, new york, 10022",united states of america,financial services,doll_5.1 b,owl rock capital corp,,doll_1.0 b,1 212 4193000,www.owlrockcapitalcorporation.com
64,64,"suite 1802, jl. cilandak kko no. 1, lantai 18, gedung tmt 1, jakarta selatan, 12560",indonesia,metals and mining,doll_573.9 m,pt abm investama tbk,"6,652",doll_1.0 b,62 21 29976767,www.abm-investama.com
65,65,"3400 gateway blvd, fremont, california, 94538-6583",united states of america,technology and communications,doll_1.3 b,bizlink holding inc,"5,003",doll_1.0 b,886 2 82261000,www.bizlinktech.com
66,66,"8 rue mouatamid ibnou abbad, bp 3098 roches noires, casablanca",morocco,consumer packaged goods,doll_1.6 b,cosumar sa,"1,380",doll_1.0 b,212 52 2678300,www.cosumar.co.ma
67,67,"insjon, leksand, 79385",sweden,retailing,doll_410.6 m,clas ohlson ab,"3,186",doll_1.0 b,46 247 44400,www.clasohlson.com/se
68,68,"carretera de fuencarral a alcobendas, n 4, madrid, 28049",spain,media,doll_1.1 b,mediaset espana comunicacion sa,"1,587",doll_1.0 b,34 913 966300,www.mediaset.es
69,69,"via nazionale, 320, angri, 84012",italy,consumer packaged goods,0,la doria spa,810,doll_1.0 b,39 081 5166111,www.gruppoladoria.it
70,70,"175 w jackson blvd ste 1000, chicago, illinois, 60604-2863",united states of america,financial services,doll_1.3 b,enova international inc,"1,463",doll_1.0 b,1 312 5684200,www.enova.com
71,71,"sinar mas land plaza, menara 2, lt.5 jl. mh. thamrin no 51, jakarta pusat, 10350",indonesia,paper and packaging,doll_1.4 b,pt pabrik kertas tjiwi kimia tbk,"5,300",doll_1.0 b,62 21 29650800,tjiwikimia.co.id
72,72,"av. paseo de la republica n 4675, lima, 15047",peru,construction,doll_182.8 m,aenza saa,"33,169",doll_1.0 b,51 1 2136565,www.aenza.com.pe
73,73,"3460 preston ridge rd, alpharetta, georgia, 30005-2058",united states of america,paper and packaging,doll_561.9 m,neenah inc,"2,493",doll_1.0 b,1 678 5666500,www.neenah.com
74,74,"giesshuebelstrasse 45, zuerich, 8045",switzerland,industrial goods and machinery,doll_1.4 b,bystronic ag,"3,636",doll_1.0 b,41 44 4682449,www.bystronic.com
75,75,"61 front street, 2 church street, hamilton, hm11",bermuda,financial services,doll_4.3 b,essent group ltd,350,doll_1.0 b,1 441 2979901,essentgroup.com
76,76,"620 eighth avenue, 45th floor, new york, 10018",united states of america,technology and communications,doll_22.1 b,datadog inc,"3,200",doll_1.0 b,1 917 5126452,www.datadoghq.com
77,77,"xunqiao, linhai city, taizhou, zhejiang, 317024",china,pharmaceuticals and healthcare,doll_4.9 b,zhejiang huahai pharmaceutical co ltd,"7,019",doll_1.0 b,8657685991096,www.huahaipharm.com
78,78,"8-9f, kingdom technology mansion, gaoxin south fifth ave,south section, hi-tech zone, nanshan district, shenzhen, guangdong, 518057",china,technology and communications,doll_1.8 b,shenzhen kingdom sci-tech co ltd,"8,888",doll_1.0 b,86 755 86393989,www.szkingdom.com
79,79,"chiltern hill, test city, new postcode, chalfont st peter, sl99fg",united kingdom,business and consumer services,doll_1.9 b,rws holdings plc,"7,796",doll_1.0 b,44 1753 480200,www.rws.com
80,80,"28/f the world centre, 330 sen. gil puyat avenue, manila, 1634",philippines,construction,doll_1.2 b,megaworld corp,924,doll_1.0 b,63 2 88946431,www.megaworldcorp.com
81,81,"22 st. clair avenue east, suite 500, toronto, ontario, m4t2s5",canada,construction,doll_3.8 b,choice properties real estate investment trust,298,doll_1.0 b,1 416 9606990,www.choicereit.ca
82,82,"22 cherry hill dr, danvers, massachusetts, 01923-2575",united states of america,medical equipment,0,abiomed inc,"2,003",doll_1.0 b,1 978 7775410,www.abiomed.com
83,83,"10th floor, 350 mission street, san francisco, california, 94105",united states of america,technology and communications,doll_2.0 b,yelp inc,"4,400",doll_1.0 b,1 303 7962850,www.yelp.com
84,84,"8 temasek boulevard, rank_36-02 suntec tower three, singapore, 038988",singapore,agriculture and forestry,doll_1.7 b,first resources ltd,"8,066",doll_1.0 b,65 6 6020200,www.first-resources.com
85,85,"toa nha tpbank, so 57, pho ly thuong kie, phuong tran hung dao, quan hoan kiem, hanoi",vietnam,financial services,doll_1.6 b,tien phong commercial joint stock bank,"8,968",doll_1.0 b,84 4 37683683,tpb.vn
86,86,"citeureup factory complex, jl. mayor oking jayaatmaja, bogor, 16810",indonesia,construction,doll_2.4 b,pt indocement tunggal prakarsa tbk,"4,668",doll_1.0 b,62 21 2512121,www.indocement.co.id
87,87,"3 rue de la reine, luxembourg, l2418",luxembourg,technology and communications,doll_245.8 m,solutions 30 se,"7,487",doll_1.0 b,,www.solutions30.com
88,88,"16th floor, metroplaza, tower ii, 223 hing fong road, kwai chung, new territories, hong kong",hong kong,retailing,doll_242.2 m,texwinca holdings ltd,"10,903",doll_1.0 b,852  26107116,www.texwinca.com
89,89,"20 eastbourne terrace, london, w26lg",united kingdom,medical equipment,doll_3.0 b,livanova plc,"3,000",doll_1.0 b,44 20 33250662,www.livanova.com/home.action
90,90,"seestrasse 103, maennedorf, 8708",switzerland,medical equipment,doll_5.6 b,tecan group ltd,"3,291",doll_1.0 b,41 44 9228111,www.tecan.com
91,91,"6th floor, no. 106-2, section 2, chung shan north road, jhongshan dist., taipei, 110",taiwan,textiles,doll_1.9 b,makalot industrial co ltd,"23,773",doll_1.0 b,886 2 23455588,www.makalot.com.tw
92,92,"nsic new mdbp building, 3rd floor, okhla industrial estate, new delhi, 110020",india,transport and logistics,doll_5.3 b,container corporation of india ltd,"1,359",doll_1.0 b,91 11 41222500,www.concorindia.com
93,93,"gotthardstrasse 31, altdorf, 6460",switzerland,industrial goods and machinery,doll_2.8 b,datwyler holding inc,"8,679",doll_1.0 b,41 41 8751100,www.datwyler.com
94,94,"oksenoyveien 10, lysaker, 1366",norway,energy and utilities,doll_5.6 b,aker asa,"2,358",doll_1.0 b,47 2 4130000,www.akerasa.com
95,95,"one vision drive, natick, massachusetts, 01760",united states of america,technology and communications,doll_8.8 b,cognex corp,"2,257",doll_1.0 b,1 508 6503000,www.cognex.com
96,96,"postterminalen, conrad mohrsv. 29, p.o. box 6101, bergen, 5892",norway,transport and logistics,doll_744.2 m,odfjell se,"2,299",doll_1.0 b,47 55 270000,www.odfjell.com
97,97,"2-10-3, nagata-cho, chiyoda-ku, tokyo, 100-8141",japan,technology and communications,doll_619.8 m,mitsubishi research institute inc,"4,235",doll_1.0 b,81 3 51572111,www.mri.co.jp
98,98,"23f-1, no.98, shizheng north, 7th road, xitun district, taichung, 407",taiwan,consumer packaged goods,doll_3.1 b,nien made enterprise co ltd,"7,664",doll_1.0 b,886 43 6000999,www.nienmade.com.tw
99,99,"avenida vicente suarez y calle sexta, s/n zona industrial nombre de dios, chihuahua, 31105",mexico,construction,doll_2.7 b,gcc sab de cv,"3,028",doll_1.0 b,52 614 4423100,www.gcc.com
100,100,"7272 wisconsin ave., suite 1800, bethesda, maryland, 20814",united states of america,alternative energy,doll_3.2 b,enviva inc,"1,196",doll_1.0 b,1 301 6575560,www.envivabiomass.com
101,101,"parkgatan 49, goeteborg, 41138",sweden,construction,doll_6.0 b,fastighets ab balder,"1,139",doll_1.0 b,46 31 109570,www.balder.se
102,102,"8 amal street,  afeq industrial park, p.o. box 435, rosh ha'ayin, 4809229",israel,technology and communications,doll_1.3 b,partner communications co ltd,"2,588",doll_1.0 b,,www.partner.co.il
103,103,"1-1-7 nishikaniya, minami-ku, minami-ku, hiroshima-shi, 732-0804",japan,financial services,0,the hiroshima bank ltd,"3,439",doll_1.0 b,81 82 2455151,www.hirogin-hd.co.jp/
104,104,"8-15 nihonbashi honcho 4-chome, 3rd floor neo kawai building, chuo-ku, tokyo, 103-0027",japan,consumer packaged goods,doll_151.0 m,"lacto japan co., ltd.",323,doll_1.0 b,81 3 62143831,www.lactojapan.com
105,105,"400 birmingham hwy, chattanooga, tennessee, 37419-2346",united states of america,transport and logistics,doll_486.9 m,"covenant logistics group, inc.","4,500",doll_1.0 b,1 423 8211212,www.covenantlogistics.com
106,106,"21680 haggerty rd, northville, michigan, 48167-8994",united states of america,automotive,doll_2.4 b,gentherm inc,"10,474",doll_1.0 b,1 248 5040500,www.gentherm.com
107,107,"vilaadecans business park, edif. brasil, carrer de catalunya, 83, barcelona , 08840",spain,transport and logistics,0,vueling airlines sa,"3,969",doll_1.0 b,34 93 3787878,www.vueling.com
108,108,"10th floor, 6175 south willow drive, greenwood village, colorado, 80111",united states of america,technology and communications,doll_1.8 b,csg systems international inc,"5,200",doll_1.0 b,1 303 2002000,www.csgi.com
109,109,"1-15-1, nihombashi, chuo-ku, tokyo, 103-0027",japan,chemicals,doll_969.7 m,nihon parkerizing co ltd,"4,353",doll_1.0 b,81 3 32784333,www.parker.co.jp
110,110,"unionbank plaza, ortigas center, meralco avenue cor.onyx & sapphire roads, pasig, 1605",philippines,financial services,doll_3.9 b,unionbank of the philippines,"3,676",doll_1.0 b,63 2 86676388,www.unionbankph.com
111,111,"ole maaloees vej 3, copenhagen n, shenzhen, guangdong, 518083",china,medical equipment,doll_3.3 b,bgi genomics co ltd,"4,333",doll_1.0 b,86 755 36307065,www.bgi.com
112,112,"carrera 13 no. 27-47, bogota",colombia,financial services,doll_952.9 m,banco de occidente,"3,353",doll_1.0 b,57 1 7464000,www.bancodeoccidente.com.co
113,113,"925 west maude avenue, sunnyvale, california, 94085",united states of america,technology and communications,0,proofpoint inc,"3,658",doll_1.1 b,1 408 5174710,www.proofpoint.com
114,114,"1661 worthington rd ste 100, west palm beach, florida, 33409-6493",united states of america,financial services,doll_262.3 m,ocwen financial corp,"5,700",doll_1.1 b,1 561 6828000,www.ocwen.com
115,115,"18-6, nihombashi kabuto-cho, chuo-ku, tokyo, 103-0026",japan,consumer packaged goods,doll_371.0 m,s&b foods inc,"2,122",doll_1.1 b,81 3 36680551,www.sbfoods.co.jp
116,116,"36f, scramble square, 2-24-12, shibuya, shibuya-ku, tokyo, 150-6136",japan,technology and communications,doll_1.5 b,mixi inc,"1,452",doll_1.1 b,81 3 68979500,mixi.co.jp
117,117,"214, muha-ro, paltan-myeon, hwaseong, 18536",south korea,pharmaceuticals and healthcare,doll_2.6 b,hanmi pharmaceuticals co ltd,"2,095",doll_1.1 b,82 31 3505600,www.hanmi.co.kr
118,118,"3-3-20, chuo, aoba-ku, sendai-shi, miyagi, 980-8777",japan,financial services,doll_1.3 b,the 77 bank ltd,"2,754",doll_1.1 b,81 22 2671111,www.77bank.co.jp
119,119,"142-48, s. v. road, jogeshwari (west), mumbai, 400093",india,construction,doll_3.7 b,the supreme industries ltd,"5,228",doll_1.1 b,91 22 67710000,www.supreme.co.in
120,120,"no.116, megan road, megan village, dacun, 515",taiwan,leisure and arts,doll_1.8 b,merida industry co ltd,"3,768",doll_1.1 b,886 48 526171,www.merida-bikes.com
121,121,"3-28-1, jingumae, shibuya-ku, tokyo, 150-0001",japan,retailing,doll_399.0 m,united arrows ltd.,"4,213",doll_1.1 b,81 3 57856325,www.united-arrows.co.jp
122,122,"275, mamedo-cho, kohoku-ku, yokohama-shi, kanagawa, 222-8558",japan,technology and communications,doll_1.4 b,amano corp,"4,786",doll_1.1 b,81 45 4011441,www.amano.co.jp
123,123,"7501 w memorial rd, oklahoma city, 73142-1404",united states of america,technology and communications,doll_18.0 b,paycom software inc,"5,385",doll_1.1 b,1 405 7226900,www.paycom.com
124,124,"riedenmatt 4, stans, 6370",switzerland,technology and communications,doll_2.5 b,softwareone holding ag,"8,890",doll_1.1 b,,www.softwareone.com
125,125,"no. 1 jiangdong avenue, jintan district, changzhou, jiangsu, 213200",china,clean technology,doll_4.5 b,china aviation lithium battery co ltd,,doll_1.1 b,86 379 60339688,www.calb-tech.com
126,126,"chatham maritime, osb house quayside, kent, me44qz",united kingdom,financial services,doll_2.7 b,osb group plc,"1,826",doll_1.1 b,44 1634 848944,www.osb.co.uk
127,127,"no.318, rueiguang road, neihu district, taipei, 114",taiwan,technology and communications,doll_654.7 m,systex corp,"4,363",doll_1.1 b,886 2 77201888,tw.systex.com
128,128,"level 3, crown towers, 8 whiteman street, southbank, melbourne, victoria, 3006",australia,leisure and arts,0,crown resorts ltd,"11,500",doll_1.1 b,61 3 92928824,www.crownresorts.com.au
129,129,"carfrsa plza cvzli mh.tgy yl  cad, no:67a blok b maltepe, istanbul, 34846",turkey,retailing,doll_441.9 m,carrefoursa carrefour sabanci ticaret merkezi as,"11,154",doll_1.1 b,90 216 6550000,www.carrefoursa.com
130,130,"fazenda sao martinho, s/nr., zona rural, pradopolis, 14.850-000",brazil,chemicals,doll_1.6 b,sao martinho sa,"7,869",doll_1.1 b,55 16 39819000,www.saomartinho.com.br
131,131,"4-78, 1-chome, wakinohama-cho, chuo-ku, kobe-shi, hyogo, 651-0072",japan,clean technology,0,kobelco eco-solutions co ltd,"1,330",doll_1.1 b,81 78 2328018,www.kobelco-eco.co.jp
132,132,"no.22, section 3, chungshan north road, taipei, 104",taiwan,technology and communications,doll_2.6 b,tatung co ltd,"32,222",doll_1.1 b,886 2 25925252,www.tatung.com.tw
133,133,"plaza tol taman mini indah, jakarta, 13550",indonesia,construction,doll_1.5 b,pt jasa marga (persero) tbk,"8,049",doll_1.1 b,62 21 8413630,www.jasamarga.com
134,134,"90, sudo-ro, bucheon, 14519",south korea,technology and communications,doll_1.5 b,db hitek co ltd,"2,004",doll_1.1 b,82 32 6804700,www.dbhitek.co.kr
135,135,"36/f, everbright centre, 108 gloucester road, hong kong",hong kong,financial services,doll_830.0 m,dah sing financial holdings ltd,"3,014",doll_1.1 b,852  25078866,www.dahsing.com/html/tc/about_us/aboutus.html
136,136,"27 avenue carnot, paris, 91300",france,energy and utilities,doll_605.0 m,cgg sa,"3,312",doll_1.1 b,33 1 64474500,www.cgg.com
137,137,"suite 3500, 200 international circle, hunt valley, maryland, 21030",united states of america,construction,doll_6.6 b,omega healthcare investors inc,70,doll_1.1 b,1 410 4271700,www.omegahealthcare.com
138,138,"aleksanterinkatu 52 b, pl 220, helsinki, 00100",finland,retailing,doll_355.0 m,stockmann plc,"6,449",doll_1.1 b,358 9 1211,www.stockmanngroup.com
139,139,"11 harbor park dr, port washington, new york, 11050",united states of america,retailing,doll_952.4 m,global industrial co,"1,480",doll_1.1 b,1 516 6087000,www.globalindustrial.com
140,140,"no. 118 wenquan road, zhaoyuan city, yantai, shandong , 265400",china,metals and mining,doll_3.8 b,zhaojin mining industry co ltd,"6,755",doll_1.1 b,86 535 8266009,en.zhaojin.com.cn
141,141,"john m. keynesplein 33, amsterdam, 1066ep",netherlands,business and consumer services,doll_550.2 m,brunel international nv,"12,219",doll_1.1 b,31 20 3125000,www.brunelinternational.net
142,142,"islami bk tower, 40 dilkusha c/a, dhaka, 1000",bangladesh,financial services,doll_561.4 m,islami bank bangladesh ltd,"19,193",doll_1.1 b,880 2 9563040,www.islamibankbd.com
143,143,"wisma ijm, jalan yong shook lin, selangor darul ehsan, 46050",malaysia,construction,doll_1.3 b,ijm corporation berhad,"2,878",doll_1.1 b,60 3 79858288,www.ijm.com
144,144,"2/f dmci bldg. pasong tamo extension, makati, 2281",philippines,metals and mining,doll_2.7 b,semirara mining and power corp,"3,943",doll_1.1 b,63 88 83000,www.semiraramining.com
145,145,"u 2 170-180 bourke rd, alexandria, new south wales, 2015",australia,consumer packaged goods,doll_2.1 b,breville group ltd,610,doll_1.1 b,61 2 93848100,www.brevillegroup.com.au
146,146,"akasaka intercity air, 1-8-1, akasaka, minato-ku, tokyo, 107-0052",japan,technology and communications,doll_1.1 b,sky perfect jsat holdings inc,841,doll_1.1 b,81 3 55711500,www.skyperfectjsat.space/company/resume/sjh
