04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
alb,300122,300122,300122,300122,csx
fe,eqr,eqr,eqr,eqr,sivb
600188,2412,2412,2412,2412,601919
0002,trow,trow,trow,trow,rwe
stmn,hal,hal,hal,hal,lvs
len,tsn,tsn,tsn,tsn,600438
1303,dfs,dfs,dfs,dfs,rci.b
uri,knin,knin,knin,knin,edf
axisbank,6954,6954,6954,6954,ams
sanb11,0066,0066,0066,66,4503
6503,600048,600048,600048,600048,keys
mdb,kkr,kkr,kkr,kkr,bll
lh,8411,8411,8411,8411,5110
hig,ptt,ptt,ptt,ptt,wy
ebk,ad,ad,ad,ad,ndaq
li,000002,000002,000002,2,spot
9022,iff,iff,iff,iff,cprt
tef,eric.a,eric.a,eric.a,eric.a,2882
rblx,1109,1109,1109,1109,ucg
sand,zm,zm,zm,zm,kdb
vna,otis,otis,otis,otis,mtch
603392,slf,slf,slf,slf,wltw
evo,rok,rok,rok,rok,1010
5108,aptv,aptv,aptv,aptv,vws
zbh,cve,cve,cve,cve,cmi
300015,db1,db1,db1,db1,alz
601225,ora,ora,ora,ora,are
anss,hes,hes,hes,hes,sgo
lisn,nwg,nwg,nwg,nwg,wst
tsco,rost,rost,rost,rost,6702
2881,wec,wec,wec,wec,awk
