_id,ltable_id,rtable_id,ltable_name,ltable_country,ltable_revenue_2022,ltable_profit,ltable_assets,ltable_market_value,rtable_name,rtable_country,rtable_revenue_2022,rtable_profit,rtable_assets,rtable_market_value
126,949,116,joint stock commercial bank for foreign trade of vietnam,vietnam,doll_3.91 b,,,doll_16.94 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
127,953,116,bank of baroda,india,doll_12.06 b,,,doll_7.54 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
128,999,116,union bank of india,india,doll_11.28 b,,,doll_3.62 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
129,119,119,thermo fisher scientific,united states,doll_39.21 b,,,doll_219.71 b,thermo fisher scientific,united states,doll_39.21 b,doll_7.72 b,doll_95.12 b,doll_219.71 b
130,122,122,costco wholesale,united states,doll_210.22 b,,,doll_253.39 b,costco wholesale,united states,doll_210.22 b,doll_5.51 b,doll_63.08 b,doll_253.39 b
131,123,123,hon hai precision,taiwan,doll_214.6 b,,,doll_49.04 b,hon hai precision,taiwan,doll_214.6 b,doll_4.99 b,doll_141.28 b,doll_49.04 b
132,125,125,charter communications,united states,doll_51.68 b,,,doll_97.92 b,charter communications,united states,doll_51.68 b,doll_4.65 b,doll_143.39 b,doll_97.92 b
133,131,131,us bancorp,united states,doll_23.12 b,,,doll_75.48 b,us bancorp,united states,doll_23.12 b,doll_7.21 b,doll_586.52 b,doll_75.48 b
134,134,134,abbott laboratories,united states,doll_44.51 b,,,doll_210.98 b,abbott laboratories,united states,doll_44.51 b,doll_7.7 b,doll_75.2 b,doll_210.98 b
135,136,136,china shenhua energy,china,doll_52.02 b,,,doll_62.81 b,china shenhua energy,china,doll_52.02 b,doll_8 b,doll_95.81 b,doll_62.81 b
136,510,136,china coal energy,china,doll_35.86 b,,,doll_11.14 b,china shenhua energy,china,doll_52.02 b,doll_8 b,doll_95.81 b,doll_62.81 b
137,695,136,china energy engineering,china,doll_49.75 b,,,doll_4.17 b,china shenhua energy,china,doll_52.02 b,doll_8 b,doll_95.81 b,doll_62.81 b
138,137,137,itaãº unibanco holding,brazil,doll_35.96 b,,,doll_52.89 b,itaú unibanco holding,brazil,doll_35.96 b,doll_4.96 b,doll_372.3 b,doll_52.89 b
139,141,141,charles schwab,united states,doll_18.98 b,,,doll_127.6 b,charles schwab,united states,doll_18.98 b,doll_5.77 b,doll_681 b,doll_127.6 b
140,142,142,truist financial,united states,doll_23.19 b,,,doll_67.64 b,truist financial,united states,doll_23.19 b,doll_6.44 b,doll_544.34 b,doll_67.64 b
141,146,146,hyundai motor,south korea,doll_102.7 b,,,doll_37.61 b,hyundai motor,south korea,doll_102.7 b,doll_4.32 b,doll_196.8 b,doll_37.61 b
142,150,150,bbva-banco bilbao vizcaya,spain,doll_41.98 b,,,doll_35.28 b,bbva-banco bilbao vizcaya,spain,doll_41.98 b,doll_5.04 b,doll_753.83 b,doll_35.28 b
143,152,152,deere & company,united states,doll_44.45 b,,,doll_123.81 b,deere & company,united states,doll_44.45 b,doll_5.64 b,doll_79.61 b,doll_123.81 b
144,153,153,hdfc bank,india,doll_22.51 b,,,doll_98.28 b,hdfc bank,india,doll_22.51 b,doll_5.11 b,doll_280.16 b,doll_98.28 b
145,155,155,munich re,germany,doll_84.88 b,,,doll_35.48 b,munich re,germany,doll_84.88 b,doll_3.47 b,doll_358.97 b,doll_35.48 b
146,159,159,generali group,italy,doll_102.13 b,,,doll_31.36 b,generali group,italy,doll_102.13 b,doll_3.37 b,doll_664.52 b,doll_31.36 b
147,163,163,deutsche post,germany,doll_96.62 b,,,doll_55.04 b,deutsche post,germany,doll_96.62 b,doll_5.97 b,doll_75.14 b,doll_55.04 b
148,164,164,pnc financial services,united states,doll_19.93 b,,,doll_71.9 b,pnc financial services,united states,doll_19.93 b,doll_5.25 b,doll_541.25 b,doll_71.9 b
149,333,164,discover financial services,united states,doll_12.8 b,,,doll_31.69 b,pnc financial services,united states,doll_19.93 b,doll_5.25 b,doll_541.25 b,doll_71.9 b
150,377,164,hartford financial services,united states,doll_22.39 b,,,doll_23.65 b,pnc financial services,united states,doll_19.93 b,doll_5.25 b,doll_541.25 b,doll_71.9 b
151,169,169,sk hynix,south korea,doll_37.55 b,,,doll_61.31 b,sk hynix,south korea,doll_37.55 b,doll_8.39 b,doll_81.08 b,doll_61.31 b
152,171,171,lockheed martin,united states,doll_65.75 b,,,doll_118.82 b,lockheed martin,united states,doll_65.75 b,doll_6.21 b,doll_51.51 b,doll_118.82 b
153,96,173,lloyds banking group,united kingdom,doll_58.48 b,,,doll_41.34 b,westpac banking group,australia,doll_20.46 b,doll_4.1 b,doll_677.03 b,doll_61.42 b
154,173,173,westpac banking group,australia,doll_20.46 b,,,doll_61.42 b,westpac banking group,australia,doll_20.46 b,doll_4.1 b,doll_677.03 b,doll_61.42 b
155,174,174,duke energy,united states,doll_25.1 b,,,doll_87.98 b,duke energy,united states,doll_25.1 b,doll_3.91 b,doll_174.18 b,doll_87.98 b
156,175,175,dell technologies,united states,doll_106.84 b,,,doll_35.64 b,dell technologies,united states,doll_106.84 b,doll_5.56 b,doll_92.73 b,doll_35.64 b
157,177,177,tokio marine holdings,japan,doll_50.57 b,,,doll_35.19 b,tokio marine holdings,japan,doll_50.57 b,doll_3.85 b,doll_234.91 b,doll_35.19 b
158,180,180,anglo american,united kingdom,doll_41.52 b,,,doll_59.44 b,anglo american,united kingdom,doll_41.52 b,doll_8.54 b,doll_65.98 b,doll_59.44 b
159,181,181,banco bradesco,brazil,doll_28.33 b,,,doll_43.16 b,banco bradesco,brazil,doll_28.33 b,doll_4.07 b,doll_296.89 b,doll_43.16 b
160,184,184,honeywell international,united states,doll_34.39 b,,,doll_130.67 b,honeywell international,united states,doll_34.39 b,doll_5.54 b,doll_64.47 b,doll_130.67 b
161,188,188,canadian imperial bank,canada,doll_18.66 b,,,doll_51.21 b,canadian imperial bank,canada,doll_18.66 b,doll_5.33 b,doll_677.51 b,doll_51.21 b
162,189,189,poly developments & holdings group,china,doll_42.94 b,,,doll_32.81 b,poly developments & holdings group,china,doll_42.94 b,doll_4.25 b,doll_219.65 b,doll_32.81 b
163,242,189,longfor group holdings,china,doll_34.8 b,,,doll_30.05 b,poly developments & holdings group,china,doll_42.94 b,doll_4.25 b,doll_219.65 b,doll_32.81 b
164,415,189,greenland holdings group,china,doll_84.53 b,,,doll_9.36 b,poly developments & holdings group,china,doll_42.94 b,doll_4.25 b,doll_219.65 b,doll_32.81 b
165,573,189,asahi group holdings,japan,doll_20.35 b,,,doll_17.94 b,poly developments & holdings group,china,doll_42.94 b,doll_4.25 b,doll_219.65 b,doll_32.81 b
166,795,189,cifi holdings group,china,doll_16.77 b,,,doll_4.19 b,poly developments & holdings group,china,doll_42.94 b,doll_4.25 b,doll_219.65 b,doll_32.81 b
