02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,healthcare,financials,basic materials
utilities,utilities,technology,utilities,financials,consumer discretionary,communication services
utilities,utilities,financials,utilities,real estate,utilities,healthcare
basic materials,basic materials,energy,basic materials,consumer staples,utilities,technology
communication services,communication services,financials,communication services,energy,basic materials,technology
basic materials,basic materials,consumer discretionary,basic materials,industrials,communication services,communication services
technology,technology,financials,technology,communication services,basic materials,industrials
consumer staples,consumer staples,industrials,consumer staples,basic materials,technology,industrials
technology,technology,healthcare,technology,communication services,consumer staples,financials
healthcare,healthcare,consumer staples,healthcare,consumer discretionary,technology,consumer discretionary
healthcare,healthcare,financials,healthcare,real estate,healthcare,financials
,energy,financials,energy,healthcare,healthcare,industrials
financials,financials,communication services,financials,financials,,technology
technology,technology,financials,technology,consumer discretionary,financials,technology
industrials,industrials,communication services,industrials,,technology,financials
technology,technology,financials,technology,,industrials,technology
consumer discretionary,consumer discretionary,utilities,consumer discretionary,,technology,healthcare
communication services,communication services,basic materials,communication services,,consumer discretionary,healthcare
industrials,industrials,communication services,industrials,,communication services,energy
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,,industrials,industrials
financials,financials,technology,financials,,consumer discretionary,energy
consumer staples,consumer staples,technology,consumer staples,,financials,financials
technology,technology,communication services,technology,,consumer staples,financials
real estate,real estate,industrials,real estate,,technology,consumer discretionary
financials,financials,industrials,financials,,real estate,industrials
communication services,communication services,financials,communication services,,financials,consumer staples
financials,financials,consumer discretionary,financials,,communication services,financials
industrials,industrials,financials,industrials,,financials,healthcare
industrials,industrials,industrials,industrials,,industrials,consumer staples
healthcare,healthcare,technology,healthcare,,industrials,consumer staples
basic materials,basic materials,technology,basic materials,,healthcare,communication services
utilities,utilities,financials,utilities,,basic materials,basic materials
,consumer discretionary,technology,consumer discretionary,,utilities,consumer discretionary
industrials,industrials,healthcare,industrials,,industrials,communication services
financials,financials,healthcare,financials,,financials,communication services
consumer discretionary,consumer discretionary,energy,consumer discretionary,,consumer discretionary,financials
communication services,communication services,consumer staples,communication services,,communication services,technology
communication services,communication services,technology,communication services,,communication services,consumer staples
financials,financials,healthcare,financials,,financials,technology
healthcare,healthcare,consumer staples,healthcare,,healthcare,basic materials
consumer discretionary,consumer discretionary,technology,consumer discretionary,,consumer discretionary,consumer discretionary
real estate,real estate,consumer discretionary,real estate,,real estate,consumer discretionary
healthcare,healthcare,healthcare,healthcare,,healthcare,financials
technology,technology,financials,technology,,technology,healthcare
industrials,industrials,healthcare,industrials,,industrials,industrials
healthcare,healthcare,technology,healthcare,,healthcare,real estate
financials,financials,communication services,financials,,financials,consumer staples
consumer staples,consumer staples,technology,consumer staples,,consumer staples,financials
financials,financials,financials,financials,,financials,financials
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,,consumer discretionary,consumer staples
consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,,consumer discretionary,technology
,utilities,communication services,utilities,,,healthcare
industrials,industrials,energy,industrials,,industrials,technology
industrials,industrials,technology,industrials,,industrials,real estate
