,name,world_rank,marketValue,marketCap,CEO,country
24,SAMSUNG ELECTRONICS,15,438.840 Billion USD,444.460 Billion USD,Lee Kun-hee,South Korea
25,UNITEDHEALTH GROUP,16,431.930 Billion USD,392.510 Billion USD,Andrew Witty,USA
26,HOME DEPOT,17,411.020 Billion USD,345.210 Billion USD,Frank Blake,USA
27,LVMH,18,409.480 Billion USD,380.100 Billion USD,Bernard Arnault,France
28,BANK OF AMERICA CORPORATION,19,402.490 Billion USD,351.320 Billion USD,Brian Moynihan,USA
29,WALMART,20,401.910 Billion USD,415.000 Billion USD,Doug McMillon,USA
30,PROCTER & GAMBLE COMPANY,21,393.820 Billion USD,345.770 Billion USD,Jon R. Moeller,USA
31,KWEICHOW MOUTAI,22,382.350 Billion USD,305.700 Billion USD,Li Bao Fang,China
32,NESTLE AG,23,372.720 Billion USD,348.550 Billion USD,Suresh Narayanan,Switzerland
33,MASTERCARD,24,363.200 Billion USD,341.650 Billion USD,Michael Miebach,USA
34,ROCHE HOLDING AG,25,356.150 Billion USD,350.650 Billion USD,Christoph Franz,Switzerland
35,ALIBABA GROUP HOLDING,26,351.900 Billion USD,453.300 Billion USD,Daniel Zhang,China
36,PFIZER,27,312.750 Billion USD,258.300 Billion USD,Albert Bourla,USA
37,ASML HOLDING,28,307.330 Billion USD,341.360 Billion USD,Gerard Kleisterlee,Netherlands
38,EXXON MOBIL CORPORATION,29,291.610 Billion USD,230.810 Billion USD,Darren W. Woods,USA
39,THE WALT DISNEY COMPANY,30,286.880 Billion USD,329.450 Billion USD,Susan Arnold,USA
40,QUALCOMM,60,202.060 Billion USD,165.470 Billion USD,Paul E. Jacobs,USA
41,NOVARTIS AG,61,201.260 Billion USD,206.760 Billion USD,Joerg Reinhardt,Switzerland
42,CHINA MERCHANTS BANK,62,199.860 Billion USD,198.770 Billion USD,MIAO Jianmin,China
43,MCDONALD'S CORPORATION,63,199.560 Billion USD,177.340 Billion USD,Enrique Hernandez,USA
44,CONTEMPORARY AMPEREX TECHNOLOGY,64,197.130 Billion USD,170.700 Billion USD,Ying Ming Wu,China
45,TATA CONSULTANCY SERVICES (TCS),65,193.870 Billion USD,195.160 Billion USD,,India
46,UNITED PARCEL SERVICE (UPS),66,189.610 Billion USD,170.400 Billion USD,William R. Johnson,USA
47,AT&T,67,187.740 Billion USD,195.780 Billion USD,Edward Whitacre Jr.,USA
48,MORGAN STANLEY,68,186.710 Billion USD,190.540 Billion USD,James P. Gorman,USA
49,CHINA CONSTRUCTION BANK CORPORATION,69,182.170 Billion USD,186.030 Billion USD,Tian Guoli,China
50,ROYAL DUTCH SHELL,70,181.560 Billion USD,155.530 Billion USD,,Netherlands
51,ASTRAZENECA,71,178.120 Billion USD,181.450 Billion USD,,UK
52,THE CHARLES SCHWAB CORPORATION,72,173.440 Billion USD,137.540 Billion USD,Charles R. Schwab,USA
53,HERMES INTERNATIONAL,73,172.040 Billion USD,155.710 Billion USD,,France
54,LINDE AG,74,171.940 Billion USD,162.340 Billion USD,,UK
55,NEXTERA ENERGY,75,169.550 Billion USD,164.770 Billion USD,James L Robo,USA
56,LOWE'S COMPANIES,76,169.170 Billion USD,141.940 Billion USD,Marvin Ellison,USA
57,TEXAS INSTRUMENTS,77,165.720 Billion USD,176.730 Billion USD,Thomas J Engibous,USA
58,UNION PACIFIC CORPORATION,78,163.790 Billion USD,141.410 Billion USD,Lance M. Fritz,USA
59,BHP GROUP,79,162.910 Billion USD,167.240 Billion USD,,Australia
60,CHEVRON CORPORATION,41,241.020 Billion USD,187.140 Billion USD,mike wirth,USA
61,PEPSICO,42,240.690 Billion USD,216.150 Billion USD,Ramon L. Laguarta,USA
62,ABBOTT LABORATORIES,43,239.710 Billion USD,224.030 Billion USD,Robert Ford,USA
63,NETFLIX,44,239.660 Billion USD,251.920 Billion USD,Reed Hastings,USA
64,TATA GROUP,44,44,,Ratan N Tata,India
65,THERMO FISHER SCIENTIFIC,45,239.220 Billion USD,219.270 Billion USD,Marc N. Casper,USA
66,ABBVIE,46,238.450 Billion USD,213.440 Billion USD,Richard A. Gonzalez,USA
67,COSTCO WHOLESALE CORPORATION,47,237.760 Billion USD,201.360 Billion USD,Hamilton E. James,USA
68,ACCENTURE,48,234.500 Billion USD,213.430 Billion USD,Pierre Nanterme,Ireland
69,ORACLE CORPORATION,49,233.690 Billion USD,249.740 Billion USD,Larry Ellison,USA
70,SAP SE,80,162.540 Billion USD,178.440 Billion USD,Hasso Plattner,Germany
71,TORONTO-DOMINION BANK,90,144.320 Billion USD,118.220 Billion USD,Brian M. Levitt,Canada
72,PETROCHINA COMPANY,91,143.700 Billion USD,128.700 Billion USD,Dai Houliang,China
73,CHRISTIAN DIOR,92,143.380 Billion USD,139.230 Billion USD,Pietro Beccari,France
74,AGRICULTURAL BANK OF CHINA,81,160.760 Billion USD,160.550 Billion USD,Gu Shu,China
75,INTUIT,82,160.710 Billion USD,154.690 Billion USD,Suzanne Nora Johnson,USA
76,MEITUAN DIANPING,83,160.510 Billion USD,201.890 Billion USD,Wang Xing,China
77,ROYAL BANK OF CANADA,84,159.750 Billion USD,146.400 Billion USD,David I. McKay,Canada
78,ADVANCED MICRO DEVICES (AMD),85,159.410 Billion USD,134.300 Billion USD,Hector de J. Ruiz,USA
79,SONY CORPORATION,86,156.010 Billion USD,129.060 Billion USD,Kenichiro Yoshida,Japan
80,PHILIP MORRIS INTERNATIONAL,87,154.340 Billion USD,160.530 Billion USD,Jacek Olczak,USA
81,PING AN INSURANCE (GROUP) COMPANY OF CHINA,88,150.120 Billion USD,145.860 Billion USD,Peter Ma,China
82,HONEYWELL INTERNATIONAL,89,148.530 Billion USD,160.110 Billion USD,,USA
83,SHOPIFY,93,143.340 Billion USD,190.100 Billion USD,Tobias Albin Lutke,Canada
84,KEYENCE CORPORATION,94,142.420 Billion USD,148.070 Billion USD,Yu Nakata,Japan
85,MEDTRONIC,95,141.390 Billion USD,179.590 Billion USD,Geoff Martha,Ireland
86,BRISTOL-MYERS SQUIBB COMPANY,96,139.460 Billion USD,148.570 Billion USD,Dr. Caforio,USA
87,SIEMENS,97,138.710 Billion USD,131.560 Billion USD,,Germany
88,TOTALENERGIES SE,98,138.010 Billion USD,117.070 Billion USD,,France
89,CVS HEALTH CORPORATION,99,137.540 Billion USD,114.000 Billion USD,David W. Dorman,USA
90,NOVO NORDISK A/S,50,231.350 Billion USD,229.040 Billion USD,Helge Lund,Denmark
91,COMCAST CORPORATION,51,228.670 Billion USD,278.500 Billion USD,Brian L. Roberts,USA
92,VERIZON COMMUNICATIONS,52,227.690 Billion USD,227.710 Billion USD,Hans Vestberg,USA
93,SALESFORCE.COM,53,224.880 Billion USD,259.700 Billion USD,Marc Benioff,USA
94,RELIANCE INDUSTRIES,54,220.760 Billion USD,214.910 Billion USD,,India
95,PAYPAL HOLDINGS,55,220.420 Billion USD,339.180 Billion USD,John J. Donahoe,USA
96,WELLS FARGO & COMPANY,56,218.380 Billion USD,187.660 Billion USD,Steven Black,USA
97,INTEL CORPORATION,57,217.340 Billion USD,219.320 Billion USD,Patrick P. Gelsinger,USA
98,DANAHER CORPORATION,58,211.280 Billion USD,231.420 Billion USD,Rainer M. Blair,USA
99,MERCK & CO,59,202.830 Billion USD,193.120 Billion USD,Kenneth C. Frazier,USA
100,UNILEVER GROUP,100,137.220 Billion USD,145.300 Billion USD,,Netherlands
101,T-MOBILE US,101,137.070 Billion USD,172.090 Billion USD,Timotheus Hottges,USA
102,BANK OF CHINA,102,135.640 Billion USD,129.970 Billion USD,Liu Liange,China
103,BLACKROCK,103,135.550 Billion USD,144.120 Billion USD,Laurence D,USA
104,SCHWARZ GROUP,103,103,103,,Germany
105,RAYTHEON TECHNOLOGIES CORPORATION,104,135.370 Billion USD,127.810 Billion USD,Gregory J. Hayes,USA
106,AMERICAN EXPRESS COMPANY,105,135.070 Billion USD,131.840 Billion USD,Stephen J. Squeri,USA
107,VOLKSWAGEN,106,134.250 Billion USD,147.140 Billion USD,,Germany
108,APPLIED MATERIALS,107,134.000 Billion USD,122.010 Billion USD,Thomas J. Iannotti,USA
109,HSBC HOLDINGS,108,132.940 Billion USD,108.530 Billion USD,,UK
110,THE GOLDMAN SACHS GROUP,109,132.600 Billion USD,139.390 Billion USD,David Solomon,USA
111,WULIANGYE YIBIN,110,132.390 Billion USD,120.940 Billion USD,Zeng Congqin,China
112,CITI GROUP,111,130.530 Billion USD,145.750 Billion USD,John C. Dugan,USA
113,CHINA MOBILE,112,130.510 Billion USD,127.770 Billion USD,Yang Jie,China
114,AMGEN,113,128.030 Billion USD,128.070 Billion USD,Robert A. Bradway,USA
115,YOUTUBE,113,113,113,,USA
116,ESTEE LAUDER COMPANIES,114,127.760 Billion USD,123.020 Billion USD,William P. Lauder,USA
117,BOEING COMPANY,115,126.650 Billion USD,128.660 Billion USD,,USA
118,SANOFI,116,126.370 Billion USD,130.900 Billion USD,,France
119,STARBUCKS CORPORATION,117,126.200 Billion USD,138.530 Billion USD,Howard Schultz,USA
120,COMMONWEALTH BANK OF AUSTRALIA,118,125.770 Billion USD,132.470 Billion USD,,Australia
121,AIA GROUP,119,125.620 Billion USD,147.550 Billion USD,Lee Yuan Siong,Hong Kong
122,DIAGEO,120,123.290 Billion USD,112.110 Billion USD,,UK
123,AMERICAN TOWER CORPORATION (REIT),121,121.400 Billion USD,133.740 Billion USD,James D. Taiclet Jr.,USA
124,CATERPILLAR,122,121.270 Billion USD,115.440 Billion USD,Jim Umpleby,USA
125,IBM,123,120.850 Billion USD,125.790 Billion USD,,USA
126,RIO TINTO GROUP,124,116.980 Billion USD,121.550 Billion USD,,UK
127,DEERE & COMPANY,125,116.400 Billion USD,118.130 Billion USD,John C. May,USA
128,INTUITIVE SURGICAL,126,115.850 Billion USD,125.360 Billion USD,Craig H. Barratt ,USA
129,HDFC BANK,127,114.330 Billion USD,121.600 Billion USD,,India
130,PROLOGIS,128,113.660 Billion USD,99.902 Billion USD,Hamid Moghadam,USA
131,SERVICENOW,129,112.710 Billion USD,127.500 Billion USD,Fred Luddy,USA
132,GENERAL ELECTRIC COMPANY,130,111.350 Billion USD,115.700 Billion USD,,USA
133,TARGET CORPORATION,131,110.570 Billion USD,120.540 Billion USD,Navneet Kapoor,USA
134,GLAXOSMITHKLINE,132,110.320 Billion USD,102.500 Billion USD,,UK
135,CHINA LIFE INSURANCE COMPANY,133,109.770 Billion USD,105.170 Billion USD,Yang Mingsheng,China
136,ANHEUSER-BUSCH INBEV,134,109.500 Billion USD,123.700 Billion USD,,Belgium
137,CHARTER COMMUNICATIONS,135,109.450 Billion USD,150.120 Billion USD,Thomas M. Rutledge,USA
138,GAZPROM,136,108.150 Billion USD,102.610 Billion USD,Viktor Zubkov,Russia
139,S&P GLOBAL,137,107.670 Billion USD,106.960 Billion USD,Richard E. Thornburgh,USA
140,SCHNEIDER ELECTRIC,138,107.120 Billion USD,100.250 Billion USD,,France
141,INGRAM MICRO,139,139,139,,USA
142,VANGUARD GROUP,139,139,,Tim Buckley,USA
143,CONOCOPHILLIPS COMPANY,140,106.360 Billion USD,74.359 Billion USD,Ryan Lance,USA
144,JD.COM,141,106.000 Billion USD,122.680 Billion USD,Richard Qiangdong Liu,China
145,MICRON TECHNOLOGY,142,105.800 Billion USD,82.968 Billion USD,Robert E. Switz,USA
146,ANTHEM,143,105.580 Billion USD,91.462 Billion USD,Elizabeth E. Tallett,USA
147,AIRBNB,144,105.510 Billion USD,97.433 Billion USD,Brian Chesky,USA
148,AIRBUS,145,105.090 Billion USD,108.800 Billion USD,,Netherlands
149,KOCH INDUSTRIES,145,145,145,Charles G. Koch,USA
150,BYTEDANCE,145,145,145,Zhang Yiming,China
151,SEA LIMITED,146,104.350 Billion USD,181.990 Billion USD,Forrest Li,Singapore
152,3M COMPANY,147,103.700 Billion USD,112.680 Billion USD,Mike Roman,USA
153,ALLIANZ SE,148,103.280 Billion USD,97.559 Billion USD,,Germany
154,INFOSYS,149,102.720 Billion USD,101.040 Billion USD,,India
155,MERCK KGAA O.N.,150,102.500 Billion USD,103.430 Billion USD,,Germany
156,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,151,101.570 Billion USD,98.171 Billion USD,Satoshi Miura,Japan
157,NTT DOCOMO,152,101.260 Billion USD,97.019 Billion USD,Motoyuki Ii,Japan
158,KERING,153,101.130 Billion USD,101.460 Billion USD,,France
159,AUTOMATIC DATA PROCESSING (ADP),154,100.640 Billion USD,88.441 Billion USD,Arthur F. Weinbach,USA
160,BOOKING HOLDINGS,155,99.972 Billion USD,94.424 Billion USD,Robert J. Mylod Jr,USA
161,ZOETIS,156,99.872 Billion USD,97.222 Billion USD,JUAN RAMÓN ALAIX,USA
162,STRYKER CORPORATION,157,99.429 Billion USD,104.490 Billion USD,Kevin A. Lobo,USA
163,LOCKHEED MARTIN CORPORATION,158,99.322 Billion USD,100.260 Billion USD,Marillyn Hewson,USA
164,INDITEX (INDUSTRIA DE DISENO TEXTIL),159,98.655 Billion USD,106.260 Billion USD,Marta Ortega,Spain
165,FORD MOTOR COMPANY,160,97.668 Billion USD,52.052 Billion USD,William Clay Ford Jr.,USA
166,BP P.L.C.,161,97.619 Billion USD,83.106 Billion USD,,UK
167,CSL,162,97.072 Billion USD,104.100 Billion USD,,Australia
168,AL RAJHI BANKING AND INVESTMENT CORPORATION,163,94.931 Billion USD,81.675 Billion USD,Abdullah bin Sulaiman,Saudi Arabia
169,ROBERT BOSCH,163,163,163,Stefan Hartung,Germany
170,THE PNC FINANCIAL SERVICES GROUP,164,94.557 Billion USD,81.216 Billion USD,Jim Rohr,USA
171,SAUDI BASIC INDUSTRIES CORPORATION (SABIC),165,94.398 Billion USD,99.468 Billion USD,Abdulaziz Saleh Aljarbou,Saudi Arabia
172,LAM RESEARCH CORPORATION,166,94.235 Billion USD,85.857 Billion USD,Abhijit Y. Talwalkar,USA
173,MONDELEZ INTERNATIONAL,167,94.230 Billion USD,86.888 Billion USD,Dirk Van de Put,USA
174,BYD COMPANY,168,92.257 Billion USD,111.350 Billion USD,Wang Chuanfu,China
175,DEUTSCHE TELEKOM AG,169,92.028 Billion USD,100.940 Billion USD,,Germany
176,SNOWFLAKE,170,91.792 Billion USD,90.118 Billion USD,Frank Slootman,USA
177,ALTRIA GROUP,171,91.427 Billion USD,92.628 Billion USD,Mr. Farrell,USA
178,AUDI AG,171,171,82.150 Billion USD,,Germany
179,DELOITTE,171,171,171,Punit Renjen,UK
180,BNP PARIBAS,172,90.457 Billion USD,81.165 Billion USD,,France
181,U.S. BANCORP,173,90.451 Billion USD,85.088 Billion USD,Andrew Cecere,USA
182,GENERAL MOTORS COMPANY,174,90.407 Billion USD,71.149 Billion USD,Mary Barra,USA
183,CARGILL,174,174,174,,USA
184,RECRUIT HOLDINGS,175,90.237 Billion USD,96.041 Billion USD,Masumi Minegishi,Japan
185,BROOKFIELD ASSET MANAGEMENT,176,89.968 Billion USD,87.110 Billion USD,Frank McKenna,Canada
186,EQUINOR ASA,177,89.918 Billion USD,69.062 Billion USD,Marit Arnstad,Norway
187,BRITISH AMERICAN TOBACCO,178,89.470 Billion USD,86.485 Billion USD,,UK
188,MERCEDEC BENZ GROUP AG,179,89.412 Billion USD,89.843 Billion USD,,Germany
189,GILEAD SCIENCES,180,89.387 Billion USD,91.252 Billion USD,Daniel ODay,USA
190,ESSILOR LUXOTTICA,181,89.047 Billion USD,87.399 Billion USD,,France
191,THE TJX COMPANIES,182,88.726 Billion USD,87.449 Billion USD,Ernie Herrman,USA
192,ANALOG DEVICES,183,88.697 Billion USD,87.571 Billion USD,Vincent Roche,USA
193,BANK OF NOVA SCOTIA,184,87.963 Billion USD,75.020 Billion USD,Brian J. Porter,Canada
194,TOKYO ELECTRON LIMITED,185,87.398 Billion USD,67.213 Billion USD,Tetsuo Tsuneishi,Japan
195,CANADIAN NATIONAL RAILWAY COMPANY,186,87.195 Billion USD,83.116 Billion USD,Robert Pace,Canada
196,TRUIST FINANCIAL CORPORATION,187,86.768 Billion USD,76.165 Billion USD,William H. “Bill” Rogers Jr,USA
197,MODERNA,188,86.710 Billion USD,152.050 Billion USD,Stephane Bancel,USA
198,CHUBB,189,86.661 Billion USD,80.693 Billion USD,Evan G. Greenberg,Switzerland
199,SWATCH GROUP AG,190,85.629 Billion USD,72.635 Billion USD,Nayla Hayek,Switzerland
200,MIDEA GROUP,191,85.137 Billion USD,72.414 Billion USD,Fang Hongbo,China
201,SHERWIN-WILLIAMS COMPANY,192,84.747 Billion USD,79.957 Billion USD,John G. Morikis,USA
202,PRICEWATERHOUSECOOPERS,193,193,193,Sanjeev Krishan,UK
203,COMPAGNIE FINANCIERE RICHEMONT SA,194,84.500 Billion USD,62.283 Billion USD,Jerome Lambert,Switzerland
204,AIR LIQUIDE,195,84.264 Billion USD,84.795 Billion USD,,France
205,CROWN CASTLE INTERNATIONAL CORPORATION,196,84.163 Billion USD,84.373 Billion USD,Landis Martin,USA
206,SBERBANK OF RUSSIA,197,83.756 Billion USD,101.810 Billion USD,Sergey Ignatiev,Russia
207,CSX CORPORATION,198,83.196 Billion USD,73.339 Billion USD,Michael J. Ward,USA
208,BLACKSTONE GROUP,199,82.928 Billion USD,89.938 Billion USD,Stephen A. Schwarzman,USA
209,ALLERGAN,200,200,200,Brenton L. Saunders,Ireland
210,MARSH & MCLENNAN COMPANIES,200,82.707 Billion USD,79.642 Billion USD,,USA
211,PUBLIX,200,200,200,Ed Crenshaw,USA
212,ENBRIDGE,201,82.219 Billion USD,79.749 Billion USD,Al Monaco,Canada
213,SOFTBANK GROUP,202,81.219 Billion USD,111.870 Billion USD,Masayoshi Son,Japan
214,SIEMENS HEALTHINEERS AG,203,81.178 Billion USD,78.575 Billion USD,,Germany
215,CME GROUP,204,80.879 Billion USD,72.445 Billion USD,Terrence A. Duffy,USA
216,UBER TECHNOLOGIES,205,80.534 Billion USD,73.753 Billion USD,Ronald Sugar,USA
217,DUKE ENERGY CORPORATION,206,80.396 Billion USD,80.519 Billion USD,"James E. Rogers, Jr.",USA
218,NATIONAL COMMERCIAL BANK,207,79.842 Billion USD,73.057 Billion USD,Michael Lee-Chin,Saudi Arabia
219,LIFE INSURANCE CORPORATION OF INDIA,207,,,,India
220,ENEL,208,79.770 Billion USD,93.913 Billion USD,Michele Crisostomo,Italy
221,PSBC (POSTAL SAVINGS BANK OF CHINA),209,79.132 Billion USD,73.135 Billion USD,Lv Jiajin,China
222,CHINA YANGTZE POWER,210,78.971 Billion USD,67.612 Billion USD,Ming Shan Lei,China
223,MITSUBISHI UFJ FINANCIAL GROUP,211,78.838 Billion USD,70.953 Billion USD,Hironori Kamezawa,Japan
224,DEUTSCHE POST AG,212,78.472 Billion USD,86.161 Billion USD,,Germany
225,RELIANCE JIO,212,212,,,India
226,HCA HEALTHCARE,213,78.443 Billion USD,80.990 Billion USD,Thomas Frist III,USA
227,ATLAS COPCO AB,214,78.380 Billion USD,81.730 Billion USD,Mats Rahmstrom,Sweden
228,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),215,77.722 Billion USD,74.987 Billion USD,Dai Houliang,China
229,INVESTOR AB (PUBL),216,77.328 Billion USD,76.632 Billion USD,Jacob Wallenberg,Sweden
230,CIGNA CORPORATION,217,77.282 Billion USD,71.984 Billion USD,H Edward Hanway,USA
231,ILLINOIS TOOL WORKS,218,77.256 Billion USD,73.343 Billion USD,E. Scott Santi,USA
232,ATLASSIAN CORPORATION,219,76.763 Billion USD,92.469 Billion USD,Shona Brown,Australia
233,EDWARDS LIFESCIENCES CORPORATION,220,76.356 Billion USD,73.042 Billion USD,Michael A Mussallem,USA
234,HINDUSTAN UNILEVER,221,76.085 Billion USD,89.838 Billion USD,,India
235,RIVIAN AUTOMOTIVE INC,221,76.220 Billion USD,"2,707",Robert Joseph Scaringe,USA
236,ABB,222,76.037 Billion USD,74.202 Billion USD,Morten Wierod,Switzerland
237,ROSNEFT OIL COMPANY,223,75.445 Billion USD,71.568 Billion USD,Gerhard Schroder,Russia
238,ADYEN,224,75.414 Billion USD,95.554 Billion USD,,Netherlands
239,INTERCONTINENTAL EXCHANGE,225,75.074 Billion USD,67.314 Billion USD,Jeffrey C. Sprecher,USA
240,AXA,226,74.588 Billion USD,67.669 Billion USD,Antoine Gosset-Grainville,France
241,BANK OF MONTREAL,227,73.370 Billion USD,64.522 Billion USD,George A Cope,Canada
242,ICICI BANK,228,73.325 Billion USD,69.454 Billion USD,,India
243,HONG KONG EXCHANGES AND CLEARING (HKEX),229,73.044 Billion USD,81.454 Billion USD,Laura Cha,Hong Kong
244,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,230,72.956 Billion USD,74.514 Billion USD,Chen Zongnian,China
245,SK HYNIX,231,72.832 Billion USD,63.866 Billion USD,Lee Seok-Hee,South Korea
246,THE SOUTHERN COMPANY,232,72.745 Billion USD,69.597 Billion USD,David M. Ratcliffe,USA
247,BECTON DICKINSON AND COMPANY,233,72.444 Billion USD,72.286 Billion USD,Edward J. Ludwig,USA
248,NORFOLK SOUTHERN CORPORATION,234,72.227 Billion USD,62.617 Billion USD,Charles Moorman,USA
249,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,235,72.144 Billion USD,58.797 Billion USD,Pang Kang,China
250,IBERDROLA,236,72.100 Billion USD,78.478 Billion USD,Jose Ignacio Sanchez Galan,Spain
251,FISERV,237,71.853 Billion USD,78.001 Billion USD,Frank Bisignano,USA
252,VALE SA,238,71.751 Billion USD,95.523 Billion USD,Jose Luciano Duarte Penido,Brazil
253,FIDELITY NATIONAL INFORMATION SERVICES,239,71.635 Billion USD,78.922 Billion USD,Gary A. Norcross,USA
254,SHIN-ETSU CHEMICAL,240,71.309 Billion USD,69.588 Billion USD,Chihiro Kanagawa,Japan
255,DASSAULT SYSTEMES,241,71.224 Billion USD,74.752 Billion USD,,France
256,COLGATE-PALMOLIVE COMPANY,242,71.170 Billion USD,66.104 Billion USD,Noel R. Wallace,USA
257,GLENCORE,243,70.870 Billion USD,60.237 Billion USD,,Switzerland
258,BAYERISCHE MOTOREN WERKE (BMW),244,70.505 Billion USD,61.301 Billion USD,,Germany
259,CANADIAN PACIFIC RAILWAY,245,70.397 Billion USD,45.872 Billion USD,Andrew Reardon,Canada
260,ERNST & YOUNG,245,245,245,,UK
261,MARVELL TECHNOLOGY GROUP,246,70.128 Billion USD,50.396 Billion USD,Rick Hill,Bermuda
262,PINDUODUO,247,70.059 Billion USD,125.350 Billion USD,Colin Huang Zheng,China
263,FEDEX CORPORATION,248,69.949 Billion USD,70.724 Billion USD,Raj Subramaniam,USA
264,EQUINIX,249,69.777 Billion USD,76.000 Billion USD,Peter Van Camp,USA
265,NOVATEK,250,69.387 Billion USD,73.220 Billion USD,,Russia
266,MOODY'S CORPORATION,251,69.229 Billion USD,70.899 Billion USD,Raymond W. McDaniel,USA
267,"LUCID GROUP, INC.",252,69.115 Billion USD,32.308 Billion USD,Andrew Liveris,USA
268,NATIONAL AUSTRALIA BANK,253,69.038 Billion USD,69.046 Billion USD,,Australia
269,BASF SE,254,68.991 Billion USD,70.978 Billion USD,,Germany
270,A.P. MOLLER - MAERSK A/S,255,68.834 Billion USD,53.954 Billion USD,Soren Skou,Denmark
271,PETROLEO BRASILEIRO - PETROBRAS,256,68.812 Billion USD,68.487 Billion USD,Roberto Castello Branco,Brazil
272,ALDI,256,256,256,,Germany
273,KDDI CORPORATION,257,68.132 Billion USD,69.533 Billion USD,Takashi Tanaka,Japan
274,LONGI GREEN ENERGY TECHNOLOGY,258,68.086 Billion USD,69.039 Billion USD,Baoshen Zhong,China
275,ZURICH INSURANCE GROUP AG,259,67.906 Billion USD,65.651 Billion USD,Tom de Swaan,Switzerland
276,WASTE MANAGEMENT,260,67.667 Billion USD,65.317 Billion USD,Thomas (Tom) H . Weidemeyer,USA
277,NONGFU SPRING,261,66.972 Billion USD,59.798 Billion USD,,China
278,EATON CORPORATION,262,66.905 Billion USD,67.108 Billion USD,Craig Arnold,Ireland
279,NETEASE,263,66.904 Billion USD,67.760 Billion USD,Ding Lei,China
280,DENSO CORPORATION,264,66.747 Billion USD,54.482 Billion USD,Koji Arima,Japan
281,UBS GROUP AG,265,66.672 Billion USD,57.919 Billion USD,Colm Kelleher,Switzerland
282,SNAP INC,266,66.581 Billion USD,120.340 Billion USD,Michael Lynton,USA
283,INDUSTRIAL BANK,267,66.409 Billion USD,59.705 Billion USD,Yiping Tao,China
284,AMERICA MOVIL,268,66.199 Billion USD,65.350 Billion USD,Carlos Slim Domit,Mexico
285,PT BANK CENTRAL ASIA TBK,269,66.014 Billion USD,56.651 Billion USD,Jahja Setiaatmadja,Indonesia
286,AIR PRODUCTS AND CHEMICALS,270,65.931 Billion USD,59.660 Billion USD,Seifi Ghasemi,USA
287,ECOLAB,271,65.873 Billion USD,64.473 Billion USD,"Douglas M. Baker, Jr",USA
288,CAPITAL ONE FINANCIAL CORPORATION,272,65.839 Billion USD,74.042 Billion USD,Richard Fairbank,USA
289,NIDEC CORPORATION,273,65.389 Billion USD,67.613 Billion USD,Shigenobu Nagamori,Japan
290,DAIKIN INDUSTRIES,274,65.363 Billion USD,73.464 Billion USD,Noriyuki Inoue,Japan
291,BLOCK INC,275,65.289 Billion USD,123.230 Billion USD,Jack Dorsey,USA
292,DBS GROUP HOLDINGS,276,65.120 Billion USD,57.451 Billion USD,Dhanabalan,Singapore
