name,market_capitalization_USD,price,country
Analog Devices,84290000000,166,USA
Schneider Electric,83630000000,149,France
Glencore,83550000000,6,Switzerland
Canadian National Railway,83530000000,122,Canada
Altria Group,83240000000,46,USA
Enbridge,82670000000,41,Canada
EssilorLuxottica,82470000000,185,France
Vale,82360000000,18,Brazil
LG Energy Solution,81540000000,349,S. Korea
Duke Energy,80990000000,105,USA
Compagnie Financière Richemont,80710000000,142,Switzerland
Al Rajhi Bank,80610000000,20,S. Arabia
Regeneron Pharmaceuticals,80270000000,737,USA
Northrop Grumman,80250000000,521,USA
Progressive,78740000000,135,USA
General Electric,78600000000,72,USA
Air Liquide,78060000000,149,France
Southern Company,77980000000,72,USA
Volkswagen,77720000000,135,Germany
Schlumberger,77280000000,55,USA
BNP Paribas,76770000000,62,France
China Shenhua Energy,76120000000,4,China
Infosys,75410000000,18,India
EOG Resources,74870000000,127,USA
Mercedes-Benz,74850000000,70,Germany
Vertex Pharmaceuticals,74490000000,290,USA
ICICI Bank,74440000000,21,India
ServiceNow,74030000000,367,USA
Becton Dickinson,73720000000,259,USA
Target,73710000000,160,USA
Hindustan Unilever,73330000000,31,India
Sinopec,72940000000,1,China
Canadian Pacific Railway,72110000000,78,Canada
SABIC,72040000000,24,S. Arabia
HCA Healthcare,71950000000,255,USA
GlaxoSmithKline,71840000000,35,UK
U.S. Bancorp,70860000000,46,USA
Zurich Insurance Group,70360000000,474,Switzerland
Iberdrola,70180000000,11,Spain
3M,70040000000,127,USA
Illinois Tool Works,69710000000,227,USA
Moderna,69280000000,180,USA
China Yangtze Power,69050000000,3,China
Air Products and Chemicals,68850000000,310,USA
Zoetis,68810000000,148,USA
AXA,68460000000,29,France
General Dynamics,68150000000,248,USA
Kering,67890000000,555,France
CSX Corporation,67690000000,32,USA
Bank of Montreal,67440000000,95,Canada
China Tourism Group Duty Free,67360000000,33,China
Petrobras,67040000000,10,Brazil
Colgate-Palmolive,66800000000,80,USA
Boston Scientific,66350000000,46,USA
PNC Financial Services,66220000000,164,USA
DBS Group,65960000000,26,Singapore
Bank Central Asia,65570000000,1,Indonesia
Waste Management,65460000000,159,USA
KDDI,65020000000,30,Japan
State Bank of India,64930000000,7,India
Fiserv,64880000000,102,USA
Walmex,64770000000,4,Mexico
Eaton,64060000000,161,Ireland
SoftBank,63790000000,44,Japan
CNOOC,63700000000,1,China
Aon,63570000000,307,UK
UBS,63420000000,20,Switzerland
National Australia Bank,63360000000,20,Australia
Nongfu Spring,63190000000,6,China
Postal Savings Bank of China,63120000000,1,China
Crown Castle,63090000000,146,USA
CME Group,62980000000,175,USA
Equinix,62360000000,674,USA
Humana,62350000000,493,USA
BMW,62000000000,94,Germany
Micron Technology,61940000000,57,USA
America Movil,61210000000,19,Mexico
Sherwin-Williams,61100000000,236,USA
Fast Retailing,60960000000,597,Japan
ABB,60960000000,33,Switzerland
Truist Financial,60840000000,46,USA
Canadian Natural Resources,60780000000,55,Canada
Lam Research,60720000000,445,USA
Activision Blizzard,60720000000,78,USA
Freeport-McMoRan,60430000000,42,USA
Scotiabank,60040000000,50,Canada
Enel,60000000000,6,Italy
Norfolk Southern,59210000000,256,USA
Hong Kong Exchanges & Clearing,58800000000,46,Hong Kong
The Saudi National Bank,58720000000,13,S. Arabia
Intercontinental Exchange,58590000000,105,USA
Daiichi Sankyō,58440000000,30,Japan
Vinci,58430000000,104,France
Occidental Petroleum,57940000000,64,USA
MetLife,57730000000,74,USA
Bharti Airtel,57490000000,10,India
Housing Development Finance Corporation,57440000000,31,India
Charter Communications,57240000000,368,USA
Blackstone Group,57190000000,79,USA
Emerson,57030000000,98,USA
KLA,56890000000,398,USA
Atlas Copco,56740000000,11,Sweden
Investor AB,56500000000,18,Sweden
Thomson Reuters,56320000000,117,Canada
Heineken,56150000000,98,Netherlands
Mindray,56050000000,46,China
Airbnb,56040000000,89,USA
Anglo American,55910000000,42,UK
KKR & Co.,55710000000,48,USA
Siemens Healthineers,55640000000,50,Germany
RELX,55620000000,28,UK
Dollar General,55570000000,249,USA
Pioneer Natural Resources,55460000000,233,USA
Sumitomo Mitsui Financial Group,55320000000,8,Japan
Westpac Banking,55250000000,16,Australia
Verbund AG,55080000000,79,Austria
Safran,55050000000,129,France
China Telecom,55010000000,0,China
Midea,54920000000,8,China
Marathon Petroleum,54740000000,117,USA
McKesson,54730000000,386,USA
Industrial Bank,54650000000,3,China
Santander,54500000000,3,Spain
Enterprise Products,54380000000,25,USA
Life Insurance Corporation of India (LIC),54200000000,9,India
Vmware,53660000000,126,USA
United Heavy Machinery,53580000000,63,Russia
NetEase,53530000000,82,China
Monster Beverage,53480000000,102,USA
Foshan Haitian Flavouring and Food,53410000000,12,China
Moody's,53070000000,290,USA
Adani Enterprises,52810000000,46,India
O'Reilly Automotive,52720000000,843,USA
Uber,52650000000,26,USA
Recruit,52200000000,33,Japan
Kraft Heinz,52160000000,43,USA
Southern Copper,52100000000,67,USA
Bayer,51980000000,53,Germany
ENI,51960000000,30,Italy
Dominion Energy,51550000000,62,USA
Keurig Dr Pepper,51350000000,36,USA
BASF,51060000000,56,Germany
General Motors,51010000000,36,USA
Pernod Ricard,50810000000,196,France
General Mills,50680000000,86,USA
Ford,50570000000,13,USA
ITC,50370000000,4,India
Reckitt Benckiser,49980000000,70,UK
Saudi Telecom Company,49980000000,10,S. Arabia
Phillips 66,49950000000,106,USA
Stellantis,49640000000,15,Netherlands
American Electric Power,49600000000,97,USA
Valero Energy,49170000000,128,USA
EDF (Electricité de France),49100000000,13,France
Shin-Etsu Chemical,48900000000,121,Japan
Synopsys,48850000000,321,USA
Public Storage,48740000000,277,USA
Sempra Energy,48570000000,155,USA
Bank of Communications,48560000000,1,China
Marriott International,48550000000,153,USA
Dassault Systèmes,48520000000,37,France
Takeda Pharmaceutical,48430000000,16,Japan
ING,48210000000,13,Netherlands
Tokyo Electron,48100000000,309,Japan
Nintendo,48040000000,41,Japan
American International Group,47950000000,65,USA
ANZ Bank,47870000000,16,Australia
Munich RE (Münchener Rück),47750000000,342,Germany
Edwards Lifesciences,47610000000,77,USA
Bank Rakyat Indonesia,47510000000,0,Indonesia
Deutsche Post,47410000000,39,Germany
Adani Total Gas,47370000000,43,India
Archer Daniels Midland (ADM),47210000000,86,USA
London Stock Exchange,47100000000,85,UK
Roper Technologies,47050000000,444,USA
LONGi Green Energy Technology,47020000000,6,China
FedEx,46880000000,186,USA
Shopify,46870000000,37,Canada
National Grid,46860000000,64,UK
Amphenol,46750000000,79,USA
Kimberly-Clark,46720000000,138,USA
AutoZone,46660000000,2487,USA
Oriental Land,46430000000,142,Japan
Itaú Unibanco,46290000000,5,Brazil
The Hershey Company,46270000000,226,USA
Hikvision,46260000000,5,China
Hitachi,46120000000,49,Japan
Johnson Controls,46110000000,67,Ireland
Mitsubishi Corporation,46000000000,32,Japan
Baidu,45970000000,133,China
Alimentation Couche-Tard,45950000000,46,Canada
Aflac,45910000000,74,USA
Samsung Biologics,45650000000,634,S. Korea
Woodside Energy,45590000000,24,Australia
Budweiser APAC,45590000000,3,Hong Kong
DexCom,45450000000,116,USA
The Travelers Companies,45430000000,194,USA
Maaden,45400000000,18,S. Arabia
Fortescue,45330000000,15,Australia
Intesa Sanpaolo,45090000000,2,Italy
Macquarie,45010000000,116,Australia
Cintas,44900000000,442,USA
Universal Music Group,44870000000,25,Netherlands
SK Hynix,44850000000,65,S. Korea
Centene,44540000000,79,USA
Simon Property Group,44480000000,119,USA
Daikin,44460000000,152,Japan
Foxconn (Hon Hai Precision Industry),44420000000,3,Taiwan
Hess,44300000000,144,USA
Adyen,44140000000,1380,Netherlands
Motorola Solutions,44110000000,264,USA
Bayan Resources,43950000000,1,Indonesia
MercadoLibre,43930000000,873,Argentina
Bajaj Finance,43860000000,72,India
Cadence Design Systems,43790000000,160,USA
Agilent Technologies,43720000000,148,USA
Itōchū Shōji,43640000000,30,Japan
Kuaishou Technology,43590000000,10,China
Corteva,43590000000,61,USA
Exelon Corporation,43390000000,44,USA
Mitsui Bussan,43200000000,28,Japan
Kotak Mahindra Bank,42990000000,22,India
Wanhua Chemical,42750000000,14,China
Ambev,42650000000,3,Brazil
Suncor Energy,42600000000,31,Canada
Ecolab,42570000000,149,USA
S.F. Express,42410000000,9,China
Paychex,42330000000,117,USA
BCE,42080000000,46,Canada
Banco Santander Brasil,42060000000,6,Brazil
lululemon athletica,41980000000,329,Canada
Ross Stores,41860000000,122,USA
Newmont,41820000000,53,USA
Prudential,41780000000,30,UK
OCBC Bank,41770000000,9,Singapore
Kinder Morgan,41760000000,19,USA
Infineon,41750000000,32,Germany
CITIC Securities,41690000000,3,China
Workday,41410000000,161,USA
NXP Semiconductors,41360000000,160,Netherlands
Block,41260000000,69,USA
Ping An Bank,41230000000,2,China
Fidelity National Information Services,41120000000,69,USA
Ferrari,41110000000,224,Italy
Trane Technologies,41100000000,179,Ireland
Tokio Marine,40920000000,20,Japan
Chugai Pharmaceutical,40800000000,25,Japan
Palo Alto Networks,40770000000,135,USA
Nordea Bank,40750000000,11,Finland
TC Energy,40620000000,40,Canada
Republic Services,40560000000,128,USA
Honda,40530000000,24,Japan
Sun Hung Kai Properties,40500000000,14,Hong Kong
Nutrien,40500000000,77,Canada
Arthur J. Gallagher & Co.,40480000000,192,USA
Autodesk,40380000000,187,USA
Biogen,40210000000,279,USA
Realty Income,40180000000,64,USA
Devon Energy,40020000000,61,USA
Microchip Technology,40020000000,73,USA
Banco Bilbao Vizcaya Argentaria,40020000000,7,Spain
Snowflake,39890000000,124,USA
Compass Group,39880000000,23,UK
Sysco,39880000000,79,USA
Ørsted,39690000000,91,Denmark
Williams Companies,39660000000,33,USA
Parker-Hannifin,39610000000,309,USA
Zijin Mining,39580000000,2,China
Constellation Brands,39520000000,214,USA
Las Vegas Sands,39400000000,52,USA
Lloyds Banking Group,39360000000,2,UK
L3Harris Technologies,39250000000,206,USA
East Money Information,39120000000,3,China
Naspers,39070000000,37,South Africa
Xcel Energy,39010000000,71,USA
Chipotle Mexican Grill,38860000000,1402,USA
Bank of New York Mellon,38750000000,48,USA
Dow,38720000000,55,USA
Apollo Global Management,38590000000,64,USA
CIBC,38430000000,42,Canada
UOB,38400000000,23,Singapore
Volvo Group,38370000000,19,Sweden
Jardine Matheson,38340000000,53,Hong Kong
TE Connectivity,38190000000,120,Switzerland
IQVIA,38140000000,205,USA
Sika,38060000000,249,Switzerland
Fortinet,38030000000,49,USA
Muyuan Foods,37770000000,7,China
Energy Transfer Partners,37520000000,12,USA
MSCI,37500000000,469,USA
Allstate,37490000000,141,USA
Maersk,37350000000,2135,Denmark
Bank of China (Hong Kong),37340000000,4,Hong Kong
WuXi AppTec,37230000000,12,China
Prudential Financial,37170000000,101,USA
IDEXX Laboratories,37080000000,448,USA
Capital One,37050000000,97,USA
Mizuho Financial Group,37000000000,3,Japan
Xiaomi,36970000000,1,China
Nucor,36920000000,144,USA
Denso,36850000000,49,Japan
7-Eleven,36780000000,42,Japan
Yum! Brands,36700000000,130,USA
Halliburton,36510000000,40,USA
YANGHE,36500000000,24,China
Cenovus Energy,36480000000,19,Canada
Jiangsu Hengrui Medicine,36440000000,6,China
BioNTech,36420000000,150,Germany
Lonza,36270000000,489,Switzerland
WuXi Biologics,36230000000,17,China
Carrier,36060000000,43,USA
Anta Sports,36040000000,13,China
Wesfarmers,36010000000,32,Australia
Dupont De Nemours,36000000000,72,USA
Haleon,35960000000,8,UK
Neste,35680000000,46,Finland
Cheniere Energy,35520000000,143,USA
Larsen & Toubro,35520000000,25,India
Alcon,35460000000,72,Switzerland
TransDigm,35290000000,649,USA
Adani Green Energy,35270000000,22,India
Hilton Worldwide,35220000000,130,USA
Paccar,34880000000,100,USA
Axis Bank,34840000000,11,India
Japan Tobacco,34740000000,20,Japan
Consolidated Edison,34710000000,98,USA
Manulife Financial,34650000000,18,Canada
Asian Paints,34600000000,36,India
STMicroelectronics,34590000000,38,Switzerland
Arista Networks,34550000000,112,USA
Cummins,34390000000,244,USA
LG Chem,34370000000,466,S. Korea
Constellation Software,34240000000,1616,Canada
MediaTek,34210000000,22,Taiwan
Electronic Arts,34200000000,124,USA
Ameriprise Financial,34180000000,321,USA
Waste Connections,34150000000,133,USA
Adani Transmission,34090000000,31,India
Otis Worldwide,34090000000,82,USA
Haier Smart Home,33990000000,4,China
HCL Technologies,33950000000,13,India
Hoya,33790000000,95,Japan
Barrick Gold,33770000000,19,Canada
Hapag-Lloyd,33760000000,186,Germany
Pacific Gas and Electric,33720000000,16,USA
MPLX,33690000000,34,USA
China State Construction Engineering,33640000000,1,China
Barclays,33560000000,8,UK
AmerisourceBergen,33480000000,166,USA
Crédit Agricole,33470000000,11,France
Danone,33430000000,52,France
Old Dominion Freight Line,33220000000,301,USA
DSV,33180000000,151,Denmark
MTR Corporation,33140000000,5,Hong Kong
Ametek,33030000000,144,USA
NatWest Group,32980000000,7,UK
Welltower,32970000000,70,USA
ENGIE,32770000000,14,France
Kroger,32740000000,46,USA
BAE Systems,32720000000,11,UK
Cement Roadstone Holding,32480000000,44,Ireland
Holcim Group,32440000000,53,Switzerland
Mettler-Toledo,32310000000,1450,USA
Dollar Tree,32250000000,146,USA
D. R. Horton,32240000000,94,USA
Hang Seng Bank,32200000000,17,Hong Kong
Murata Manufacturing (Murata Seisakusho),32120000000,51,Japan
AIER Eye Hospital,32110000000,4,China
Illumina,32020000000,202,USA
Grupo México,31990000000,4,Mexico
Airports of Thailand,31930000000,2,Thailand
Vanke,31920000000,2,China
Enphase Energy,31750000000,234,USA
CITIC Bank,31750000000,1,China
Japan Post Bank,31740000000,8,Japan
Walgreens Boots Alliance,31570000000,37,USA
SBA Communications,31460000000,291,USA
China Pacific Insurance,31390000000,4,China
Experian,31380000000,34,Ireland
Keysight,31360000000,175,USA
CoStar Group,31360000000,77,USA
Bank of Ningbo,31310000000,5,China
Shanghai Pudong Development Bank,31310000000,1,China
China Overseas Land & Investment,31300000000,3,Hong Kong
Sea (Garena),31280000000,56,Singapore
PSEG,31250000000,63,USA
Singtel,31070000000,2,Singapore
Atlassian,30980000000,121,Australia
Telstra,30970000000,3,Australia
CITIC limited,30940000000,1,China
Brown Forman,30860000000,64,USA
Marvell Technology Group,30800000000,36,USA
Cognizant Technology Solutions,30700000000,60,USA
Interactive Brokers,30690000000,74,USA
Rockwell Automation,30690000000,268,USA
CaixaBank,30690000000,4,Spain
Maruti Suzuki India,30670000000,102,India
VICI Properties,30620000000,32,USA
ResMed,30590000000,209,USA
Samsung SDI,30580000000,217,S. Korea
Banco Bradesco,30480000000,3,Brazil
The People's Insurance Company (PICC),30390000000,1,China
Deutsche Börse,30380000000,165,Germany
Dell,30370000000,42,USA
People’s Insurance Company of China,30360000000,0,China
Nasdaq,30280000000,62,USA
Baker Hughes,30210000000,30,USA
PPG Industries,30200000000,129,USA
DMart,30150000000,47,India
DNB,30020000000,19,Norway
UniCredit,29970000000,15,Italy
Corning,29920000000,35,USA
WEC Energy Group,29890000000,95,USA
Eversource Energy,29880000000,86,USA
Luxshare Precision,29830000000,4,China
WEG ON,29820000000,7,Brazil
Digital Realty,29780000000,101,USA
Great Wall Motors,29760000000,4,China
Oneok,29750000000,67,USA
Hexagon,29730000000,11,Sweden
Copart,29710000000,62,USA
Restaurant Brands International,29710000000,66,Canada
Capgemini,29680000000,174,France
State Street Corporation,29600000000,81,USA
Coupang,29580000000,17,S. Korea
Nidec,29540000000,51,Japan
Vodafone,29340000000,11,UK
LyondellBasell,29330000000,90,USA
Hyundai,29320000000,31,S. Korea
Sun Pharmaceutical,29310000000,12,India
Yili Group,29290000000,5,China
Swiss Re,29280000000,101,Switzerland
Swisscom,29220000000,564,Switzerland
Chunghwa Telecom,29190000000,38,Taiwan
Ferguson,29080000000,140,UK
Bajaj Finserv,29070000000,17,India
Japan Post Holdings,29070000000,8,Japan
Telus,28970000000,20,Canada
Givaudan,28880000000,3130,Switzerland
Generali,28780000000,18,Italy
American Water Works,28770000000,158,USA
GlobalFoundries,28750000000,53,USA
Fomento Económico Mexicano,28700000000,80,Mexico
Loblaw Companies,28680000000,89,Canada
Henkel,28610000000,69,Germany
Verisk Analytics,28600000000,183,USA
Galaxy Entertainment,28540000000,7,Hong Kong
Ahold Delhaize,28460000000,29,Netherlands
Global Payments,28430000000,105,USA
Imperial Oil,28430000000,48,Canada
Genmab,28350000000,43,Denmark
Fanuc,28330000000,148,Japan
Bank Mandiri,28320000000,1,Indonesia
Compagnie de Saint-Gobain,28250000000,55,France
Discover Financial Services,28150000000,103,USA
Orange,28090000000,11,France
International Flavors & Fragrances,28040000000,110,USA
KBC,28000000000,67,Belgium
Sun Life Financial,28000000000,47,Canada
JD Health,28000000000,9,China
W. W. Grainger,27920000000,553,USA
Gree Electric Appliances,27910000000,5,China
RWE,27860000000,41,Germany
HP,27850000000,28,USA
Vestas Wind Systems,27850000000,28,Denmark
Kühne + Nagel,27810000000,233,Switzerland
SMC corp,27750000000,425,Japan
Alnylam Pharmaceuticals,27680000000,225,USA
Fastenal,27590000000,48,USA
KONE,27490000000,53,Finland
Nokia,27430000000,5,Finland
Willis Towers Watson,27430000000,253,UK
Transurban,27300000000,9,Australia
Constellation Energy,27300000000,84,USA
PTT PCL,27300000000,1,Thailand
Titan Company,27290000000,31,India
Woolworths Group,27290000000,22,Australia
Lennar,27260000000,96,USA
Warner Bros. Discovery,27240000000,11,USA
Shenzhen Inovance,27220000000,10,China
E.ON,27130000000,10,Germany
Foxconn Industrial Internet,27070000000,1,China
Adidas,27030000000,148,Germany
ON Semiconductor,27010000000,62,USA
Cheniere Energy,26970000000,56,USA
Franco-Nevada,26970000000,140,Canada
Aptiv,26630000000,98,Ireland
Maybank,26630000000,4,Malaysia
Coca-Cola European Partners,26470000000,57,UK
Zimmer Biomet,26370000000,126,USA
Sampo,26370000000,51,Finland
Astellas Pharma,26360000000,14,Japan
EQT,26330000000,22,Sweden
Daimler Truck,26240000000,32,Germany
United Rentals,26150000000,377,USA
Thales,25960000000,122,France
Gartner,25960000000,329,USA
Albemarle,25960000000,222,USA
Wipro,25950000000,5,India
M&T Bank,25920000000,150,USA
Ashtead,25880000000,59,UK
Beiersdorf,25860000000,114,Germany
Wolters Kluwer,25790000000,103,Netherlands
Intact Financial,25790000000,147,Canada
Deutsche Bank,25750000000,12,Germany
BTG Pactual,25750000000,2,Brazil
Horizon Therapeutics,25640000000,113,Ireland
Amadeus IT Group,25640000000,57,Spain
Hormel Foods,25630000000,47,USA
Saudi Electricity,25600000000,6,S. Arabia
CBRE Group,25560000000,81,USA
Edison International,25530000000,67,USA
BeiGene,25490000000,245,China
Agnico Eagle Mines,25400000000,55,Canada
Fujitsu,25390000000,130,Japan
Mobileye,25350000000,32,Israel
Seagen,25280000000,136,USA
Coloplast,25240000000,119,Denmark
Formosa Petrochemical,25190000000,3,Taiwan
Diamondback Energy,25130000000,138,USA
Naturgy,25110000000,26,Spain
The Hartford,25090000000,79,USA
T. Rowe Price,25090000000,112,USA
Equifax,25050000000,205,USA
EnBW Energie,25030000000,92,Germany
Sartorius,24990000000,346,Germany
Skandinaviska Enskilda Banken,24850000000,12,Sweden
Veeva Systems,24840000000,160,USA
CDW Corporation,24800000000,183,USA
ULTA Beauty,24730000000,486,USA
Kellogg's,24720000000,72,USA
Assa Abloy,24690000000,22,Sweden
Flutter Entertainment,24640000000,67,Ireland
Trip.com,24590000000,38,China
SAIC Motor,24570000000,2,China
Riyad Bank,24520000000,8,S. Arabia
Tractor Supply,24480000000,222,USA
eBay,24470000000,45,USA
Baxter,24420000000,48,USA
UltraTech Cement,24380000000,85,India
Yum China,24280000000,58,China
Cellnex Telecom,24260000000,34,Spain
Rogers Communication,24240000000,48,Canada
FirstEnergy,24220000000,42,USA
Alexandria Real Estate Equities,24210000000,148,USA
Hannover Rück,24110000000,200,Germany
Genuine Parts Company,24110000000,171,USA
Vulcan Materials,24100000000,181,USA
Bridgestone,24080000000,35,Japan
SMIC,24080000000,2,China
Standard Chartered,24060000000,8,UK
Telkom Indonesia,24060000000,24,Indonesia
China Resources Beer,23850000000,7,Hong Kong
CK Hutchison Holdings,23790000000,6,Hong Kong
Lindt,23780000000,10252,Switzerland
Partners Group,23770000000,912,Switzerland
Imperial Brands,23760000000,25,UK
Raymond James,23690000000,110,USA
Tyson Foods,23640000000,66,USA
Arch Capital,23630000000,64,Bermuda
Fubon Financial,23610000000,2,Taiwan
Fifth Third Bank,23550000000,34,USA
ArcelorMittal,23450000000,29,Luxembourg
Central Japan Railway,23320000000,119,Japan
National Bank of Canada,23300000000,69,Canada
Sirius XM,23290000000,6,USA
Sandvik,23280000000,19,Sweden
Equity Residential,23260000000,59,USA
Weyerhaeuser,23260000000,32,USA
Nestlé India,23220000000,241,India
Fortive,23180000000,66,USA
McCormick & Company,23150000000,86,USA
First Republic Bank,23140000000,127,USA
DTE Energy,23140000000,119,USA
China Securities,23100000000,4,China
Delta Air Lines,23100000000,36,USA
Delta Electronics,23010000000,9,Taiwan
Ecopetrol,22890000000,11,Colombia
AvalonBay Communities,22890000000,164,USA
Dai-ichi Life Holdings,22860000000,22,Japan
Great-West Lifeco,22840000000,25,Canada
Ameren,22830000000,88,USA
CK Asset Holdings,22790000000,6,Hong Kong
Sociedad Química y Minera,22750000000,80,Chile
Olympus,22750000000,18,Japan
Entergy,22710000000,108,USA
DiDi,22710000000,5,China
ZTO Express,22630000000,28,China
Banorte,22480000000,8,Mexico
CNH Industrial,22470000000,17,UK
Oil & Natural Gas,22450000000,2,India
China Everbright Bank,22450000000,0,China
Anhui Conch Cement,22370000000,4,China
Canon,22370000000,22,Japan
COSCO Shipping,22370000000,1,China
Ingersoll Rand,22310000000,55,Ireland
Legrand,22310000000,84,France
Goodman Group,22280000000,12,Australia
Koninklijke DSM,22250000000,127,Netherlands
KE Holdings,22250000000,18,China
Chow Tai Fook,22240000000,2,Hong Kong
Trina Solar,22220000000,10,China
CrowdStrike,22200000000,95,USA
PPL,22060000000,30,USA
Telefónica,22050000000,4,Spain
Repsol,22000000000,16,Spain
Hewlett Packard Enterprise,21930000000,17,USA
Evolution Gaming,21860000000,102,Sweden
Naver,21800000000,145,S. Korea
Martin Marietta,21800000000,351,USA
VeriSign,21760000000,205,USA
Michelin,21710000000,30,France
Techtronic Industries,21610000000,11,Hong Kong
Longfor Group,21550000000,3,China
LabCorp,21530000000,243,USA
