_id,ltable_id,rtable_id,ltable_name,ltable_country,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_categories,rtable_ceo,label
1898742,111206,117262,t. ammar limited,,54hayesgrove london se228df,,,,,,,,t a moscrop limited,,,,,,,,,,0
1129506,46471,136309,cabot corporation,united states,,,,doll_4.02 b,,,['chemicals'],,centene corporation,united states,,,,doll_36.72 m,,,,michael f. neidorff,0
67604,48954,34667,fomento económico mexicano,mexico,,,,doll_27.89 b,,,,,fomento económico mexicano,mexico,,,,doll_28.7 b,,,,,1
54092,135898,59632,union pacific corporation,united states,,,,doll_1.41 b,,,,lance m. fritz,universal corporation,united states,,,,doll_1.33 b,,,,,0
29862,34237,25395,regeneron pharmaceuticals,united states,,,,doll_80.27 b,,,,,rvl pharmaceuticals,united states,,,,doll_0.12 b,,,pharmaceuticals biotech ,,0
5721,37888,15283,warby parker,united states,,,,doll_1.78 b,,,,,warby parker,united states,,,,doll_1.84 b,,,['glasses and contact lenses'],,1
42993,147483,22790,power corporation of canada,canada,,,,doll_22.68 b,,doll_2.37 b,,,power corporation of canada,canada,,,,doll_17.50 b,,,none,,1
510368,30654,59093,coursera,united states,,,,doll_1.94 b,,,,,coursera,united states,,,,doll_1.98 b,,,,,1
40758,178491,57256,wallenius lines,,,1934,,,,,,,wan hai lines,taiwan,,,,doll_6.82 b,,,,,0
20730,18247,18247,rsa insurance group,uk,,,,doll_1.32 b,,,['insurance'],,rsa insurance group,uk,,,,doll_1.32 b,,,['insurance'],,1
68530,63165,64663,dolphin entertainment,,,,202.0,doll_23.79 m,doll_39.87 m,-doll_3.94 m,,,don't nod entertainment,,,,308.0,doll_91.57 m,doll_11.89 m,-doll_8.58 m,,,0
1184,69621,34499,xcel energy inc.,united states,,,,doll_39.76 b,,,,,xcel energy,united states,,,,doll_39.01 b,,,,,1
59614,151162,58595,dorman products,united states,,,,doll_3.42 b,,doll_131 m,,,dorman products,united states,,,,doll_2.81 b,,,,,1
218584,92457,27025,schneider electric,france,,,,doll_85.36 b,doll_34.16 b,doll_3.79 b,,,schneider electric,france,,,,doll_89.68 b,,,,,1
184767,116816,116909,u belper limited,,,,,,,,,,u dream limited,,,,,,,,,,0
3710,37073,2798,esab,united states,,,,doll_3.12 b,,,,,esab,,,1987,,,,,,,1
89670,136150,66713,reckitt benckiser group,uk,,,,doll_54.78 m,,,,,reckitt benckiser,,,,40.0,doll_52.40 b,doll_14.99 b,doll_3.74 b,,,1
17908,66465,27453,vodafone,,,,104.0,doll_30.61 b,doll_69.89 b,-doll_7.81 b,,,vodafone,uk,,,,doll_30.61 b,,,,,1
3518,140963,94162,xiamen xiangyu,china,,,,doll_2.6 m,,,,,xiamen xinde,china,,,,doll_501 m,doll_16.82 b,doll_-23.8 m,,,0
2038,63006,54770,xeris pharmaceuticals,,,,294.0,doll_0.17 b,doll_98.77 m,-doll_0.13 b,,,x4 pharmaceuticals,united states,,,,doll_0.10 b,,,,,0
29809,182066,25284,rri rhein ruhr international,,,1942,,,,,,,reading international,united states,,,,doll_98.92 m,,,entertainment real-estate ,,0
395979,60004,156036,multi commodity exchange,india,,,,doll_0.98 b,,,,,multi commodity exchange of india,india,,,,doll_1.1 b,,doll_18.0 m,,,1
3132,31300,1765,nextgen healthcare,united states,,,,doll_1.21 b,,,,,novartis healthcare,,,1996,,,,,,,0
115787,116790,116743,u & u motors ltd,,,,,,,,,,u & i solutions ltd,,,,,,,,,,0
119903,50825,56332,f.n.b. corporation,united states,,,,doll_4.47 b,,,,,fox corporation,united states,,,,doll_16.70 b,,,,,0
176077,148138,47421,bunzl,uk,,,,doll_12.68 b,,doll_579.0 m,,,bunzl,uk,,,,doll_12.45 b,,,[],,1
607020,136699,67831,crrc corporation,china,,,,doll_26.96 m,,,,liu hualong,corvel corporation,,,,4.233,doll_2.65 b,doll_0.68 b,doll_83.68 m,,,0
123534,33723,33826,biora therapeutics,united states,,,,doll_38.11 m,,,,,bellerophon therapeutics,united states,,,,doll_23.09 m,,,,,0
309953,113642,113961,v & m assets limited,,,,,,,,,,v & p consultants limited,,,,,,,,,,0
12684,140191,150871,yintai gold,china,,,,doll_3.63 m,,,,,yintai gold,china,,,,doll_3.73 b,,doll_185.0 m,,,1
61992,93170,28350,pko bank polski,poland,,,,doll_10.9 b,doll_4.45 b,doll_1.26 b,,,pko bank polski,poland,,,,doll_10.18 b,,,,,1
106203,40519,42837,pulse biosciences,united states,,,,doll_100.0 m,,,,,pulse biosciences,united states,,,,doll_94.55 m,,,['medicaldevices'],,1
147247,135938,147176,danaher corporation,united states,,,,doll_2.31 b,,,,rainer m. blair,devon energy corporation,united states,,,,doll_33.1 b,,doll_2.81 b,,david a. hager,0
61923,61265,62623,livevox,united states,,,,doll_0.27 b,,,,,livevox,,,,650.0,doll_0.26 b,doll_0.13 b,-doll_39.72 m,,,1
230482,148986,148986,ziroom,china,,,,0.0,,0.0,,,ziroom,china,,,,0.0,,0.0,,,1
11161,47973,147059,yum! brands,united states,,,,doll_36.13 b,,,['restaurantchains'],,yum! brands,united states,,,,doll_39.68 b,,doll_1.57 b,,david gibbs,1
111298,17716,38979,navios maritime partners,,,,,doll_0.78 b,,,,,navios maritime partners,monaco,,,,doll_750.0 m,,,,,1
50134,149376,67792,watts water technologies,united states,,,,doll_6.29 b,,doll_165.0 m,,,watts water technologies,,,,4.597,doll_5.31 b,doll_1.95 b,doll_0.30 b,,,1
139918,176074,143723,lifestyle communities,australia,,not found,,,155 million usd,,,not found,lifestyle communities,australia,,,,doll_1.51 m,,,,,1
48401,56618,66631,wpp,uk,,,,doll_12.19 b,,,,,wpp,,,,115.0,doll_12.14 b,doll_13.23 b,-doll_3.21 b,,,1
52606,54355,54997,lineage cell therapeutics,united states,,,,doll_0.21 b,,,,,leap therapeutics,united states,,,,doll_50.99 m,,,,,0
74974,118159,118283,q & a mechanical limited,,,,,,,,,,q a s international limited,,,,,,,,,,0
186318,116719,116913,u & i fuels limited,,,,,,,,,,u drive cars limited,,,,,,,,,,0
219928,46350,29481,aurubis,germany,,,,doll_3.55 b,,,[],,aurubis,germany,,,,doll_4.35 b,,,,,1
35885,39307,24152,first financial,united states,,,,doll_540.0 m,,,,,first bancorp,united states,,,,doll_1.66 b,,,banks financial-services ,,0
107749,50255,178491,wan hai lines,taiwan,,,,doll_6.62 b,,,,,wallenius lines,,,1934,,,,,,,0
172648,174203,174203,dutch bros inc.,united states,,1992,,,497 million usd,,,not found,dutch bros inc.,united states,,1992,,,497 million usd,,,not found,1
1849,57763,50704,x5 retail group,netherlands,,,,doll_4.87 b,,,,,x5 retail group,netherlands,,,,doll_4.87 b,,,,,1
51697,123384,123384,opis srl,italy,,,,,,,,,opis srl,italy,,,,,,,,,1
493181,183602,149845,fomento de construcciones y contratas,,,1900,,,,,,,fomento de construcciones y contratas,spain,,,,doll_5.2 b,,doll_580.0 m,,,1
424858,150028,51358,santen pharmaceutical,japan,,,,doll_4.88 b,,doll_199.0 m,,,santen pharmaceutical,japan,,,,doll_3.11 b,,,,,0
129901,66636,69299,glaxosmithkline,,,,90.096,doll_72.42 b,doll_42.86 b,doll_6.58 b,,,glaxosmithkline plc,united kingdom,,,,doll_109.98 b,,,,,1
228004,137123,27866,santos,australia,,,,doll_9.46 m,,,,,santos,australia,,,,doll_16.94 b,,,,,1
203073,64787,138583,zhongsheng group,,,,37.172,doll_14.73 b,doll_27.47 b,doll_1.98 b,,,zhejiang longsheng group,china,,,,doll_6.59 m,,,,,0
27330,31706,23630,rites,india,,,,doll_0.99 b,,,,,rites,india,,,,doll_10 b,,,engineering professional-services ,,1
397397,32462,54270,the manitowoc company,united states,,,,doll_0.41 b,,,,,the beachbody company,united states,,,,doll_0.24 b,,,,,0
32729,137352,49136,whirlpool corporation,united states,,,,doll_13.89 m,,,,jeff m. fettig,waters corporation,united states,,,,doll_20.43 b,,,,,0
9924,27634,22039,olympus,japan,,,,doll_22.81 b,,,,,olympus,japan,,,,doll_24.00 b,,,none,,1
226515,116313,113676,v a machinery limited,,,,,,,,,,v & m interiors limited,,,,,,,,,,0
271433,98986,99986,neosperience,italy,,,160.0,,doll_16.37 m,,,,neosperience,italy,,,160.0,,doll_16.37 m,,,,1
92540,21693,147464,weichai power,china,,,,doll_13.82 b,,,manufacturing ,,weichai power,china,,,,doll_23.01 b,,doll_1.35 b,,,1
340218,112570,112536,food compliance limited,,,,,,,,,,food circle limited,,,,,,,,,,0
85519,136064,74400,deutsche post ag,germany,,,,doll_86.16 m,,,,,deutsche post ag,germany,,,,doll_59.80 b,,,,,1
21863,114972,8011,new age medical limited,,,,,,,,,,newtech medical devices,,,2007,,,,,,,0
122152,118387,118399,q college property limited,,,,,,,,,,q content store limited,,,,,,,,,,0
240394,115139,115115,good and nice limited,,,,,,,,,,good alpha limited,,,,,,,,,,0
598111,118562,118562,p a b ventures ltd,,,,,,,,,,p a b ventures ltd,,,,,,,,,,1
15769,28367,28367,koç holding,turkey,,,,doll_9.98 b,,,,,koç holding,turkey,,,,doll_9.98 b,,,,,1
67625,20038,51472,excelerate energy,united states,,,,doll_2.67 b,,,oil-gas energy ,,excelerate energy,united states,,,,doll_2.90 b,,,,,1
8385,43779,16732,kamada,israel,,,,doll_0.20 b,,,[],,kamada,israel,,,,doll_0.22 b,,,,,1
71959,38596,54790,enanta pharmaceuticals,united states,,,,doll_13 b,,,,,eyepoint pharmaceuticals,united states,,,,doll_97.13 m,,,,,0
5119,62562,142819,xpel,,,,709.0,doll_2.01 b,doll_0.31 b,doll_50.53 m,,,xpel,united states,,,,doll_2.1 m,,,,,1
21990,147246,34793,weyerhaeuser company,united states,,,,doll_30.22 b,,doll_2.61 b,,devin w. stockfish,weyerhaeuser,united states,,,,doll_23.26 b,,,,,1
66566,74145,72185,unitedhealth group incorporated,united states,,,,doll_488.52 b,,,,,unitedhealth group incorporated,united states,,,,doll_488.52 b,,,,,1
117856,116228,116082,z cyber limited,,,,,,,,,,z & y limited,,,,,,,,,,0
250643,63136,33345,citizens inc,,,,215.0,doll_0.12 b,doll_0.23 b,-doll_16.21 m,,,citizens inc,united states,,,,doll_0.12 b,,,,,1
68407,174899,150105,orient corporation,japan,,1951,,,doll_1.677 m,,,not found,oji holdings corporation,japan,,,,doll_4.76 b,,doll_639.0 m,,,0
1496368,124644,124830,sure careers,,,2014,,,,,,,split careers,,,2015,,,,,,,0
597456,116569,116629,v & o contractors ltd,,,,,,,,,,v & s estates ltd,,,,,,,,,,0
26459,69519,20788,fedex corporation,united states,,,,doll_63.25 b,,,,,f.n.b. corporation,united states,,,,doll_4.70 b,,,banks financial-services ,,0
13026,174234,24572,jeudan a/s,denmark,,1898,,,244 million usd,,,not found,jeudan,denmark,,,,doll_2.17 b,,,real-estate ,,1
88973,154449,147496,kureha corporation,japan,,,,doll_1.47 b,,doll_103.0 m,,,kyocera corporation,japan,,,,doll_22.29 b,,doll_18 b,,,0
4151,149193,35778,qantas airways,australia,,,,doll_6.81 b,,doll_-595.0 m,,,qantas airways,australia,,,,doll_7.7 b,,,,,1
1673492,63327,144156,air lease corporation,,,,129.0,doll_4.82 b,doll_2.31 b,-doll_77.28 m,,,askul corporation,japan,,,,doll_1.63 m,,,,,0
42945,115910,115911,z & a convenience limited,,,,,,,,,,z and a consulting limited,,,,,,,,,,0
10042,29044,21209,konami holdings,japan,,,,doll_5.81 b,,,,,konami holdings,japan,,,,doll_6.28 b,,,video-games entertainment tech ,,1
1782839,111112,117167,t a francis electrical limited,,4crossstreet beeston nottingham england ng92nx,,,,,,,,t a francis electrical limited,,,,,,,,,,1
113289,113140,113322,v a g repair services limited,,,,,,,,,,v & a properties limited,,,,,,,,,,0
1480439,117074,113778,t a advisory limited,,,,,,,,,,t & a design limited,,,,,,,,,,0
531437,136621,63506,slack technologies,united states,,,,doll_27.0 m,,,,stewart butterfield,sonim technologies,,,,77.0,doll_22.05 m,doll_61.64 m,-doll_24.63 m,,,0
27012,148561,50036,oracle corporation japan,japan,,,,doll_9.55 b,,doll_373.0 m,,,oracle corp japan,japan,,,,doll_7.85 b,,,,,1
94904,66282,94731,london stock exchange,,,,23.261,doll_48.97 b,doll_1.94 b,doll_0.41 b,,,london stock exchange,united kingdom,,,,doll_52.66 b,doll_9.27 b,,,,1
66826,92328,65864,lloyds banking group,united kingdom,,,,doll_41.34 b,doll_58.48 b,doll_7.36 b,,,lloyds banking group,,,,57.955,doll_40.54 b,doll_21.51 b,doll_7.59 b,,,1
196139,136255,145700,iqvia holdings,united states,,,,doll_49.77 m,,,,ari bousbib,ies holdings,united states,,,,doll_12 m,,,,,0
267886,28791,97139,novatek microelectronics,taiwan,,,,doll_6.93 b,,,,,novatek microelectronics corp.,taiwan,,not found,not found,,doll_4.8,1 b,,,1
266147,122999,119704,hlt property acquisition llc,united states,,,,,,,,,hlt property acquisition llc,united states,,,,,,,,,1
68546,40427,55025,remark holdings,united states,,,,doll_120.0 m,,,,,rafael holdings,united states,,,,doll_45.51 m,,,,,0
24623,48611,22871,enterprise products,united states,,,,doll_52.95 b,,,,,enterprise products,united states,,,,doll_55.98 b,,,oil-gas energy ,,1
78986,179981,72422,dassault systèmes,,,1981,,,,,,,dassault systèmes se,france,,,,doll_62.75 b,,,,,1
131801,65931,54076,melrose industries,,,,37.336,doll_7.47 b,doll_9.29 b,-doll_0.62 b,,,miller industries,united states,,,,doll_0.31 b,,,,,0
317268,115056,114836,new albion wind limited,,,,,,,,,,new advance limited,,,,,,,,,,0
25382,62008,18414,gibraltar industries,,,,2.011,doll_1.59 b,doll_1.41 b,doll_0.12 b,,,gibraltar industries,united states,,,,doll_1.52 b,,,,,1
83980,25327,19944,capricor therapeutics,united states,,,,doll_0.10 b,,,pharmaceuticals biotech ,,corcept therapeutics,united states,,,,doll_2.52 b,,,pharmaceuticals biotech ,,0
16440,31078,26072,verve therapeutics,united states,,,,doll_1.41 b,,,,,voyager therapeutics,united states,,,,doll_0.36 b,,,biotech pharmaceuticals genomics gene-therapy ,,0
99831,17434,60615,hyliion,united states,,,,doll_0.56 b,,,['electric vehicles'],,hyliion,united states,,,,doll_0.56 b,,,,,0
154176,69227,61779,moody's corporation,united states,,,,doll_62.58 b,,,,,marcus corporation,,,,2.925,doll_0.48 b,doll_0.68 b,doll_6.73 m,,,0
75300,47518,56567,erie indemnity,united states,,,,doll_14.15 b,,,['insurance'],,erie indemnity,united states,,,,doll_12.73 b,,,,,1
851835,92645,92645,ctbc financial,taiwan,,,,doll_19.63 b,doll_14.93 b,doll_1.94 b,,,ctbc financial,taiwan,,,,doll_19.63 b,doll_14.93 b,doll_1.94 b,,,1
9136,59865,18057,jamieson wellness,canada,,,,doll_1.10 b,,,,,jamieson wellness,canada,,,,doll_1.10 b,,,['dietary supplements'],,1
85209,145416,145416,keeson technology corporation,china,,,,doll_0.78 m,,,,,keeson technology corporation,china,,,,doll_0.78 m,,,,,1
115085,122581,123450,dynata italy srl,italy,,,,,,,,,deluxe ets italy srl,italy,,,,,,,,,0
216805,50823,30460,thor industries,united states,,,,doll_4.47 b,,,,,trinity industries,united states,,,,doll_2.28 b,,,,,0
11195,137146,22481,knorr-bremse,germany,,,,doll_19.57 m,,,,prof. dr. klaus mangold,knorr-bremse,germany,,,,doll_10.28 b,,,automotive-suppliers ,,1
1067428,110937,110958,a and a accounting services limited,,2acorngrove kingswood surrey kt206qt,,,,,,,,a & a automotive services ltd,,45acheadleroad cheadlehulme cheadle england sk85eu,,,,,,,,0
283953,61620,33726,sensient technologies,,,,3.844,doll_3.27 b,doll_1.42 b,doll_0.18 b,,,shift technologies,united states,,,,doll_37.05 m,,,,,0
7456,29123,36189,zomato,india,,,,doll_5.54 b,,,,,zomato,india,,,,doll_5.72 b,,,,,1
33351,26088,32999,danimer scientific,united states,,,,doll_0.23 b,,,chemicals ,,danimer scientific,united states,,,,doll_0.21 b,,,,,1
1101898,112121,112217,software major limited,,,,,,,,,,software solved limited,,,,,,,,,,0
49451,64279,38765,recipe unlimited,,,,,doll_0.90 b,,,,,recipe unlimited,canada,,,,doll_900.0 m,,,,,1
103636,156375,56125,grupo kuo,mexico,,,,doll_14 b,,doll_136.0 m,,,grupo bimbo,mexico,,,,doll_21.68 b,,,,,0
30250,57136,21392,hess midstream,united states,,,,doll_7.46 b,,,,,hess midstream,united states,,,,doll_7.67 b,,,oil-gas energy ,,1
26348,47194,49936,jbs,brazil,,,,doll_9.15 b,,,['food'],,jbs,brazil,,,,doll_8.64 b,,,,,1
5182,140710,53109,qurate retail,united states,,,,doll_4.49 m,,,,,qurate retail group,united states,,,,doll_0.84 b,,,,,1
17042,69588,22142,longi green energy technology co. ltd,china,,,,doll_42.68 b,,,,,longi green energy technology,china,,,,doll_50.61 b,,,electricity energy renewable-energy ,,1
119193,98798,103227,radar consulting italia,italy,,,17.0,,doll_1.58 m,,,,radar consulting italia,italy,,,17,,doll_1.58 m,,,,1
37309,143907,63645,ocumension therapeutics,china,,,,doll_1.61 m,,,,,ovid therapeutics,,,,44.0,doll_0.16 b,doll_1.45 m,-doll_68.97 m,,,0
1010,65636,21527,yuanta financial holding,,,,14.856,doll_9.37 b,doll_3.35 b,doll_19 b,,,yuanta financial holding,taiwan,,,,doll_9.37 b,,,banks financial-services ,,1
181951,94297,184145,deutsche telekom,germany,,,,doll_91.72 b,doll_128.59 b,,,,deutsche bank,,,0,,,,,,,0
23849,32861,16846,humacyte,united states,,,,doll_0.25 b,,,,,humacyte,united states,,,,doll_0.25 b,,,['biotech'],,1
226525,116323,113676,v & a coatings limited,,,,,,,,,,v & m interiors limited,,,,,,,,,,0
55917,44404,26331,pennantpark floating rate,united states,,,,doll_0.51 b,,,['investment'],,pennantpark floating rate,united states,,,,doll_0.54 b,,,investment ,,1
619336,114519,114545,beauty and the ink ltd,,,,,,,,,,beauty arena ltd,,,,,,,,,,0
217458,118099,118038,r aldridge limited,,,,,,,,,,r a howard limited,,,,,,,,,,0
1007,56874,21527,yuanta financial holding,taiwan,,,,doll_9.37 b,,,,,yuanta financial holding,taiwan,,,,doll_9.37 b,,,banks financial-services ,,1
160030,118386,118492,q commerce limited,,,,,,,,,,q communications limited,,,,,,,,,,0
35232,50293,51374,wesco international,united states,,,,doll_6.43 b,,,,,weatherford international,united states,,,,doll_3.07 b,,,,,0
11581,93021,55507,zoetis,united states,,,,doll_85.74 b,doll_7.78 b,doll_2.04 b,,,zoetis,united states,,,,doll_76.34 b,,,,,1
