,country,market_value_apr_2022,name,revenue_2022
280,canada,doll_57.39 b,nutrien,doll_27.63 b
281,sweden,doll_63.51 b,investor ab,doll_12.81 b
282,south korea,doll_25.82 b,kia,doll_61.01 b
283,france,doll_31.17 b,saint-gobain,doll_52.2 b
284,denmark,doll_252.91 b,novo nordisk,doll_22.38 b
285,south korea,doll_18.03 b,posco,doll_66.66 b
286,united kingdom,doll_116.05 b,diageo,doll_19 b
287,netherlands,doll_30.57 b,royal ahold delhaize n.v.,doll_89.36 b
288,china,doll_14.37 b,picc,doll_90.1 b
289,united states,doll_68.82 b,dominion energy,doll_13.96 b
290,united states,doll_41.23 b,kroger,doll_137.89 b
291,china,doll_23.35 b,baoshan iron & steel,doll_55.52 b
292,china,doll_343.32 b,kweichow moutai,doll_14.6 b
293,china,doll_37.03 b,xiaomi,doll_50.91 b
294,china,doll_37.67 b,bank of ningbo,doll_13.71 b
295,colombia,doll_36.07 b,ecopetrol,doll_23.43 b
296,united kingdom,doll_34.94 b,lyondellbasell industries,doll_46.15 b
297,china,doll_148.42 b,contemporary amperex technology,doll_20.14 b
298,italy,doll_21.62 b,unicredit,doll_27.79 b
299,united states,doll_33.25 b,amerisourcebergen,doll_221.1 b
300,france,doll_79.45 b,essilorluxottica,doll_23.43 b
301,spain,doll_68.15 b,inditex,doll_32.57 b
302,united states,doll_89.63 b,starbucks,doll_30.36 b
303,united states,doll_43.29 b,nucor,doll_39.96 b
304,united states,doll_65.71 b,intercontinentalexchange,doll_10.15 b
305,united states,doll_73.7 b,tjx cos,doll_48.55 b
306,belgium,doll_29.5 b,kbc group,doll_14.81 b
307,united kingdom,doll_25.89 b,tesco,doll_84.17 b
308,china,doll_23.25 b,boe technology group,doll_33.78 b
309,united states,doll_132.17 b,blackstone,doll_15.47 b
310,united states,doll_50.58 b,american electric,doll_16.62 b
311,australia,doll_55.44 b,macquarie group,doll_11.21 b
312,japan,doll_19.7 b,marubeni,doll_72.32 b
313,switzerland,doll_24.7 b,swiss re,doll_46 b
314,united states,doll_67.97 b,eog resources,doll_19.78 b
315,france,doll_16.12 b,cnp assurances,doll_51.78 b
316,united states,doll_93.89 b,automatic data processing,doll_15.7 b
317,united states,doll_40.23 b,phillips 66,doll_111.7 b
318,united states,doll_33.74 b,tyson foods,doll_49.52 b
319,spain,doll_20.8 b,repsol,doll_58.8 b
320,japan,doll_20.28 b,sumitomo,doll_48.22 b
321,switzerland,doll_30.19 b,holcim,doll_29.35 b
322,united states,doll_100.66 b,altria group,doll_21.11 b
323,united states,doll_99.65 b,applied materials,doll_24.15 b
324,germany,doll_22.61 b,daimler truck holding,doll_47 b
325,china,doll_41.33 b,zijin mining group,doll_37.21 b
326,saudi arabia,doll_86.46 b,the saudi national bank,doll_8.63 b
327,switzerland,doll_69.46 b,richemont,doll_19.81 b
328,france,doll_70.75 b,kering,doll_20.86 b
329,saudi arabia,doll_29.83 b,saudi electricity,doll_18.49 b
330,france,doll_37.97 b,danone,doll_28.65 b
331,japan,doll_14.92 b,nippon steel,doll_57.54 b
332,south korea,doll_30.55 b,lg chem,doll_37.26 b
333,united states,doll_31.69 b,discover financial services,doll_12.8 b
334,canada,doll_46.65 b,couche tard,doll_58.66 b
335,china,doll_13.28 b,huaxia bank,doll_26.38 b
336,netherlands,doll_15.72 b,nn group,doll_22.38 b
337,united states,doll_880 m,fannie mae,doll_100.33 b
338,germany,doll_20.43 b,fresenius,doll_44.26 b
339,united states,doll_85.88 b,marsh & mclennan,doll_20.33 b
340,united states,doll_30.97 b,ameriprise financial,doll_13.89 b
341,united states,doll_72.63 b,becton dickinson,doll_19.93 b
342,japan,doll_20.98 b,panasonic,doll_65.97 b
343,japan,doll_16.51 b,ms&ad insurance,doll_41.89 b
344,japan,doll_21.71 b,orix,doll_22.73 b
345,china,doll_32.19 b,citic securities,doll_11.74 b
346,united arab emirates,doll_69.08 b,first abu dhabi bank,doll_8.25 b
347,canada,doll_51.83 b,bce,doll_18.7 b
348,united states,doll_58.86 b,schlumberger,doll_23.67 b
349,united states,doll_159.94 b,texas instruments,doll_18.34 b
350,indonesia,doll_50.14 b,bank rakyat indonesia (bri),doll_12.77 b
351,united kingdom,doll_19.69 b,standard chartered,doll_18.88 b
352,ireland,doll_31.77 b,crh,doll_31 b
353,china,doll_15.09 b,bank of beijing,doll_19.38 b
354,united states,doll_20.13 b,paramount,doll_28.59 b
355,china,doll_17.05 b,bank of jiangsu,doll_17.9 b
356,united states,doll_34.51 b,dupont de nemours,doll_16.65 b
357,china,doll_27.82 b,gree electric appliances,doll_27.88 b
358,india,doll_16.53 b,indian oil,doll_72.2 b
359,united states,doll_56.92 b,dollar general,doll_34.22 b
360,united states,doll_52.89 b,kraft heinz company,doll_26.04 b
361,singapore,doll_20.86 b,wilmar international,doll_65.84 b
362,united states,doll_488 m,freddie mac,doll_62.24 b
363,united states,doll_20.48 b,hewlett packard enterprise,doll_27.86 b
364,japan,doll_30.53 b,japan tobacco,doll_21.16 b
365,italy,doll_13.6 b,poste italiane,doll_37.48 b
366,singapore,doll_37.99 b,united overseas bank,doll_8.89 b
367,hong kong,doll_15.05 b,china unicom,doll_50.83 b
368,united states,doll_42.19 b,valero energy,doll_114 b
369,united states,doll_75.34 b,csx,doll_13.12 b
370,denmark,doll_14.7 b,danske bank,doll_24.8 b
371,australia,doll_47.37 b,fortescue metals group,doll_20.93 b
372,china,doll_8.69 b,china railway construction,doll_157.66 b
373,united states,doll_56.56 b,moderna,doll_18.4 b
374,australia,doll_34.61 b,woolworths,doll_38.84 b
375,china,doll_26.78 b,anhui conch cement,doll_26.05 b
376,united states,doll_193.1 b,adobe,doll_16.13 b
377,united states,doll_23.65 b,hartford financial services,doll_22.39 b
378,united states,doll_26.04 b,state street,doll_11.54 b
379,saudi arabia,doll_119.85 b,al rajhi bank,doll_6.74 b
380,china,doll_16.34 b,power construction corporation of china,doll_70.28 b
381,japan,doll_57.46 b,shin-etsu chemical,doll_17.2 b
382,united states,doll_63.16 b,fiserv,doll_16.23 b
383,united states,doll_74.68 b,regeneron pharmaceuticals,doll_16.07 b
384,japan,doll_11.38 b,eneos holdings,doll_90.31 b
385,india,doll_172.79 b,tata consultancy services,doll_25.73 b
386,japan,doll_13.91 b,sompo,doll_35.67 b
387,austria,doll_16.24 b,omv group,doll_42.02 b
388,switzerland,doll_19.73 b,swiss life holding,doll_23.54 b
389,china,doll_14.76 b,bank of shanghai,doll_15.94 b
390,united states,doll_119.49 b,american tower,doll_9.36 b
391,united states,doll_57.38 b,pioneer natural resources,doll_17.87 b
392,hong kong,doll_34.81 b,sun hung kai properties,doll_10.26 b
393,china,doll_38.63 b,wanhua chemical group,doll_22.43 b
394,finland,doll_27.29 b,sampo,doll_15.9 b
395,china,doll_19.42 b,china merchants shekou industrial zone holdings,doll_23.41 b
396,china,doll_33.26 b,haier smart home,doll_35.16 b
397,ireland,doll_58.35 b,eaton,doll_19.63 b
398,south korea,doll_11.99 b,sk,doll_85.9 b
399,ireland,doll_44.22 b,johnson controls international,doll_24.19 b
400,brazil,doll_17.48 b,jbs,doll_64.99 b
401,saudi arabia,doll_60.71 b,saudi telecom,doll_16.91 b
402,bermuda,doll_15.89 b,jardine matheson,doll_35.86 b
403,canada,doll_86.33 b,canadian national railway,doll_11.55 b
404,united states,doll_93.79 b,stryker,doll_17.11 b
405,finland,doll_29.66 b,nokia,doll_26.24 b
406,japan,doll_22.76 b,mitsubishi electric,doll_40.34 b
407,japan,doll_16.36 b,nissan motor,doll_79.17 b
408,india,doll_20.42 b,tata steel,doll_31.07 b
409,netherlands,doll_23.41 b,heineken,doll_25.93 b
410,united kingdom,doll_30.15 b,bae systems,doll_26.85 b
411,united arab emirates,doll_83.82 b,etisalat,doll_14.52 b
412,united kingdom,doll_23.74 b,bt group,doll_28.84 b
413,taiwan,doll_19.63 b,ctbc financial,doll_14.93 b
414,russia,doll_38.07 b,novatek,doll_15.4 b
415,china,doll_9.36 b,greenland holdings group,doll_84.53 b
416,germany,doll_28.86 b,rwe group,doll_28.99 b
417,japan,doll_46.78 b,daikin industries,doll_26.88 b
418,netherlands,doll_11.76 b,aegon,doll_26.33 b
419,china,doll_32.49 b,baidu,doll_19.31 b
420,sweden,doll_28.6 b,ericsson,doll_26.95 b
421,japan,doll_24.66 b,canon,doll_31.98 b
422,united states,doll_22.75 b,lennar,doll_28.42 b
423,china,doll_18.84 b,bank of nanjing,doll_12.17 b
424,netherlands,doll_26.39 b,philips,doll_20.28 b
425,united states,doll_52.47 b,keurig dr pepper,doll_12.68 b
426,china,doll_83.05 b,china yangtze power,doll_8.52 b
427,norway,doll_34.31 b,dnb bank,doll_7.79 b
428,united states,doll_55.6 b,emerson electric,doll_18.55 b
429,united kingdom,doll_20.62 b,imperial brands,doll_22.66 b
430,canada,doll_104.45 b,boeing,doll_62.29 b
431,united states,doll_43.66 b,general mills,doll_18.63 b
432,india,doll_31.32 b,axis bank,doll_11.41 b
433,canada,doll_24.82 b,national bank of canada,doll_9 b
434,united states,doll_94.7 b,the estã©e lauder companies,doll_17.77 b
435,united kingdom,doll_20.19 b,cnh industrial,doll_33.43 b
436,canada,doll_13.28 b,fairfax financial,doll_23.57 b
437,germany,doll_41.08 b,adidas,doll_25.1 b
438,france,doll_22.85 b,michelin group,doll_28.13 b
439,united states,doll_67.06 b,norfolk southern,doll_11.14 b
440,united states,doll_18.25 b,principal financial group,doll_14.26 b
441,united states,doll_53.11 b,sempra,doll_13.06 b
442,finland,doll_15.64 b,fortum,doll_132.85 b
443,mexico,doll_37.88 b,grupo mexico,doll_14.77 b
444,united states,doll_25.28 b,d.r. horton,doll_28.89 b
445,united states,doll_47.86 b,l3harris technologies,doll_17.81 b
446,south africa,doll_40.31 b,naspers,doll_7.01 b
447,south africa,doll_18.06 b,standard bank group,doll_15.9 b
448,canada,doll_55.95 b,tc energy,doll_10.48 b
449,russia,doll_37.75 b,norilsk nickel,doll_17.81 b
450,spain,doll_29.75 b,naturgy energy group,doll_26.17 b
451,canada,doll_65.39 b,waste management,doll_17.93 b
452,germany,doll_28.33 b,henkel,doll_23.72 b
453,taiwan,doll_46.45 b,mediatek,doll_17.66 b
454,japan,doll_62.03 b,recruit holdings,doll_24.8 b
455,china,doll_21.93 b,hengli petrochemical,doll_30.17 b
456,united states,doll_40.44 b,xcel energy,doll_13.37 b
457,united states,doll_41.92 b,corteva,doll_15.65 b
458,united states,doll_19.23 b,synchrony financial,doll_11.37 b
459,japan,doll_13.04 b,toyota tsusho,doll_69.53 b
460,japan,doll_18.92 b,toyota industries,doll_23.32 b
461,united kingdom,doll_204.56 b,astrazeneca,doll_38.68 b
462,china,doll_3.18 b,sunac china holdings,doll_38.49 b
463,china,doll_2.78 b,china evergrande group,doll_70.4 b
464,japan,doll_25.7 b,bridgestone,doll_29.54 b
465,united arab emirates,doll_26.14 b,emirates nbd,doll_8.6 b
466,japan,doll_15.82 b,daiwa house industry,doll_38.86 b
467,china,doll_68.56 b,jd.com,doll_147.63 b
468,united states,doll_43.42 b,kinder morgan,doll_16.61 b
469,china,doll_10.55 b,china national building,doll_42.58 b
470,united states,doll_26.35 b,fifth third bank,doll_8.27 b
471,south africa,doll_24.98 b,firstrand,doll_10.18 b
472,france,doll_15.77 b,carrefour,doll_87.81 b
473,japan,doll_29.14 b,fujitsu,doll_32.83 b
474,sweden,doll_24.72 b,seb ab,doll_7.55 b
