,link,name,industry,founded,country,ceo,employees,revenue
16,https://www.forbes.com/companies/ping-an-insurance,ping an insurance group,insurance,1988,china,yonglin xie sin yin tan,"355,982",doll_181.4b
17,https://www.forbes.com/companies/wells-fargo,wells fargo,banking,1852,united states,charles william scharf,"247,848",doll_84.1b
18,https://www.forbes.com/companies/verizon-communications,verizon communications,"telecommunications services, cable supplier",1983,united states,hans vestberg,"118,400",doll_134.3b
19,https://www.forbes.com/companies/att,at&t,telecommunications services,1876,united states,john stankey,"203,000",doll_163b
20,https://www.forbes.com/companies/petrochina,petrochina,oil & gas operations,1999,china,yi lin wang,"476,223",doll_380.3b
21,https://www.forbes.com/companies/unitedhealth-group,unitedhealth group,insurance,1977,united states,andrew witty,"360,000",doll_297.6b
22,https://www.forbes.com/companies/walmart,walmart,retailing,1962,united states,c. douglas mcmillon,"2,300,000",doll_572.8b
23,https://www.forbes.com/companies/china-merchants-bank,china merchants bank,banking,1987,china,miao jianmin,"103,669",doll_71.1b
24,https://www.forbes.com/companies/volkswagen-group,volkswagen group,consumer durables,1937,germany,herbert diess,"672,789",doll_295.7b
25,https://www.forbes.com/companies/chevron,chevron,"construction, oil & gas operations, mining and chemicals",1879,united states,michael k. wirth,"23,729",doll_156.3b
26,https://www.forbes.com/companies/citigroup,citigroup,banking and financial services,1812,united states,jane fraser,"223,400",doll_79.9b
27,https://www.forbes.com/companies/tencent-holdings,tencent holdings,it software & services,1998,china,hua teng ma,"112,771",doll_86.9b
28,https://www.forbes.com/companies/total,total,oil & gas operations,1924,france,patrick pouyanné,"101,309",doll_185.1b
29,https://www.forbes.com/companies/postal-savings-bank-of-china,postal savings bank of china (psbc),banking,1919,china,xue wen zhang,"193,946",doll_77.6b
30,https://www.forbes.com/companies/china-mobile,china mobile,telecommunications services,1997,hong kong,xin dong,"449,934",doll_131.5b
31,https://www.forbes.com/companies/comcast,comcast,media & advertising,1963,united states,brian l. roberts,"132,300",doll_116.4b
32,https://www.forbes.com/companies/alibaba-group,alibaba group,retailing,1999,china,yong zhang,"251,462",doll_129.8b
33,https://www.forbes.com/companies/meta-platforms,meta platforms,"it, internet, software & services",2004,united states,mark elliot zuckerberg,"71,970",doll_117.9b
34,https://www.forbes.com/companies/allianz,allianz,insurance,1890,germany,oliver bäte,"155,411",doll_138.6b
35,https://www.forbes.com/companies/morgan-stanley,morgan stanley,diversified financials,1924,united states,james p. gorman,"74,814",doll_60.2b
36,https://www.forbes.com/companies/goldman-sachs-group,goldman sachs group,diversified financials,1869,united states,david michael solomon,"43,900",doll_62.8b
37,https://www.forbes.com/companies/hsbc-holdings,hsbc holdings,banking,1865,united kingdom,noel paul quinn,"220,000",doll_59.3b
38,https://www.forbes.com/companies/bnp-paribas,bnp paribas,banking,1953,france,jean-laurent bonnafé,"205,771",doll_127.4b
39,https://www.forbes.com/companies/johnson-johnson,johnson & johnson,drugs & biotechnology,1886,united states,joaquin duato,"130,000",doll_94.9b
40,https://www.forbes.com/companies/mercedes-benz-group,mercedes-benz group,consumer durables,1883,germany,ola källenius,"172,425",doll_178.9b
41,https://www.forbes.com/companies/cvs-health,cvs health,retailing,1963,united states,karen s. lynch,"300,000",doll_292b
42,https://www.forbes.com/companies/pfizer,pfizer,drugs & biotechnology,1849,united states,albert bourla,"29,000",doll_81.5b
43,https://www.forbes.com/companies/softbank,softbank,telecommunications services,1981,japan,masayoshi son,"58,786",doll_96.9b
44,https://www.forbes.com/companies/sinopec,sinopec,oil & gas operations,2000,china,fu chengyu,"385,691",doll_384.8b
45,https://www.forbes.com/companies/rbc,rbc,banking and financial services,1864,canada,david ian mckay,"89,000",doll_45.2b
46,https://www.forbes.com/companies/nestle,nestlé,"food, drink & tobacco",1866,switzerland,ulf mark schneider,"276,000",doll_95.3b
47,https://www.forbes.com/companies/axa-group,axa group,insurance,1816,france,thomas buberl,"110,477",doll_145.2b
48,https://www.forbes.com/companies/gazprom,gazprom,oil & gas operations,1989,russia,alexei borisovich miller,"477,600",doll_117.3b
49,https://www.forbes.com/companies/bp,bp,oil & gas operations,1909,united kingdom,bernard looney,"65,900",doll_158b
50,https://www.forbes.com/companies/intel,intel,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1968,united states,patrick gelsinger,"121,100",doll_79b
51,https://www.forbes.com/companies/td-bank-group,td bank group,banking and financial services,1855,canada,bharat b. masrani,"90,000",doll_38.5b
52,https://www.forbes.com/companies/nippon-tel-tel,nippon telegraph & tel,telecommunications services,1952,japan,jun sawada,"324,667",doll_110.4b
53,https://www.forbes.com/companies/reliance-industries,reliance industries,oil & gas operations,1973,india,mukesh dhirubhai ambani,"236,334",doll_86.9b
54,https://www.forbes.com/companies/industrial-bank,industrial bank ,banking,1988,china,yiping tao,"62,537",doll_60.5b
55,https://www.forbes.com/companies/sony,sony,consumer durables,1960,japan,kenichiro yoshida,"109,700",doll_89.9b
56,https://www.forbes.com/companies/santander,santander,banking and financial services,1857,spain,josé antonio álvarez,"200,651",doll_78.2b
57,https://www.forbes.com/companies/mitsubishi-ufj-financial,mitsubishi ufj financial,banking,2005,japan,hironori kamezawa,"138,161",doll_48.3b
58,https://www.forbes.com/companies/taiwan-semiconductor,taiwan semiconductor,semiconductors,1987,taiwan,che chia wei,"65,152",doll_61.5b
59,https://www.forbes.com/companies/ford-motor,ford motor,automotive (automotive and suppliers),1903,canada,james d. farley jr.,"183,000",doll_136.3b
60,https://www.forbes.com/companies/lvmh-moet-hennessy-louis-vuitton,lvmh moët hennessy louis vuitton,"clothing, shoes, sports equipment",1987,france,bernard arnault,"175,000",doll_75.9b
61,https://www.forbes.com/companies/bank-of-communications,bank of communications,banking,1908,china,ren deqi,"90,238",doll_76b
62,https://www.forbes.com/companies/procter-gamble,procter & gamble,packaged goods,1837,united states,jon r. moeller,"26,000",doll_79.6b
63,https://www.forbes.com/companies/bmw-group,bmw group,consumer durables,1916,germany,oliver zipse,"118,909",doll_131.5b
64,https://www.forbes.com/companies/petrobras,petrobras,oil & gas operations,1953,brazil,josé mauro ferreira,"45,532",doll_83.9b
65,https://www.forbes.com/companies/deutsche-telekom,deutsche telekom,"telecommunications services, cable supplier",1995,germany,timotheus höttges,"217,000",doll_128.6b
66,https://www.forbes.com/companies/abbvie,abbvie,drugs & biotechnology,2013,united states,richard a. gonzalez,"50,000",doll_56.2b
67,https://www.forbes.com/companies/novartis,novartis,drugs & biotechnology,1996,switzerland,vasant narasimhan,"108,000",doll_51.6b
68,https://www.forbes.com/companies/general-motors,general motors,automotive (automotive and suppliers),1908,united states,mary t. barra,"94,448",doll_127b
69,https://www.forbes.com/companies/equinor,equinor,oil & gas operations,1972,norway,anders opedal,"21,126",doll_88.4b
70,https://www.forbes.com/companies/china-life-insurance,china life insurance,insurance,2003,china,heng xuan su,"103,262",doll_130.5b
71,https://www.forbes.com/companies/roche-holding,roche holding,drugs & biotechnology,1896,switzerland,severin schwan,"100,920",doll_68.7b
72,https://www.forbes.com/companies/aia-group,aia group,insurance,1919,hong kong,yuan xiang li,"23,000",doll_45.2b
73,https://www.forbes.com/companies/metlife,metlife,insurance,1868,united states,michel a. khalaf,"43,000",doll_71.1b
74,https://www.forbes.com/companies/bhp-group-ltd,bhp group,"construction, oil & gas operations, mining and chemicals",1885,australia,mike henry,"80,000",doll_65.5b
75,https://www.forbes.com/companies/the-home-depot,the home depot,retail and wholesale,1978,canada,edward p. decker,"490,600",doll_151.2b
76,https://www.forbes.com/companies/american-express,american express,banking and financial services,1850,united states,stephen j. squeri,"22,000",doll_46.3b
77,https://www.forbes.com/companies/siemens,siemens,"engineering, manufacturing",1847,germany,roland emil busch,"303,000",doll_76.5b
78,https://www.forbes.com/companies/stellantis,stellantis,consumer durables,2021,netherlands,carlos tavares,"281,595",doll_176.6b
79,https://www.forbes.com/companies/zurich-insurance-group,zurich insurance group,insurance,1872,switzerland,mario greco,"56,000",doll_69.6b
80,https://www.forbes.com/companies/rosneft,rosneft,oil & gas operations,1993,russia,igor ivanovich sechin,not found,doll_111.4b
81,https://www.forbes.com/companies/rio-tinto,rio tinto,"construction, oil & gas operations, mining and chemicals",1873,united kingdom,jakob stausholm,"49,000",doll_63.5b
82,https://www.forbes.com/companies/brookfield-asset-management,brookfield asset management,banking and financial services,1899,canada,james bruce flatt,"150,000",doll_78.8b
83,https://www.forbes.com/companies/cigna,cigna,insurance,1792,united states,david cordani,"73,700",doll_174.3b
84,https://www.forbes.com/companies/prudential-financial,prudential financial,banking and financial services,1875,united states,charles f. lowrey,"15,364",doll_70.9b
85,https://www.forbes.com/companies/pepsico,pepsico,"food, drink & tobacco",1965,united states,ramon l. laguarta,"309,000",doll_79.5b
86,https://www.forbes.com/companies/merck-co,merck & co.,drugs & biotechnology,1891,united states,robert m. davis,"27,000",doll_50.4b
87,https://www.forbes.com/companies/elevance-health,elevance health,drugs & biotechnology,2004,united states,gail k. boudreaux,"98,200",doll_144.3b
88,https://www.forbes.com/companies/bank-of-nova-scotia,bank of nova scotia,banking,1832,canada,brian johnston porter,"89,488",doll_30.4b
89,https://www.forbes.com/companies/american-international-group,american international group,insurance,1919,united states,peter s. zaffino,"36,600",doll_52.1b
90,https://www.forbes.com/companies/glencore-international,glencore international,materials,1974,switzerland,gary nagle,"135,000",doll_203.4b
91,https://www.forbes.com/companies/cisco-systems,cisco systems,"it, internet, software & services",1984,united states,chuck robbins,"38,000",doll_51.5b
92,https://www.forbes.com/companies/anheuser-busch-inbev,anheuser-busch inbev,"food, soft beverages, alcohol & tobacco",2008,belgium,michel dimitrios doukeris,"169,000",doll_54.3b
93,https://www.forbes.com/companies/walt-disney,walt disney,media & advertising,1923,united states,robert a. chapek,"190,000",doll_73b
94,https://www.forbes.com/companies/chubb,chubb,insurance,1985,switzerland,evan g. greenberg,"31,000",doll_41b
95,https://www.forbes.com/companies/citic,citic,trading companies,1979,hong kong,zhen ming chang,"310,000",doll_91.2b
96,https://www.forbes.com/companies/lloyds-banking-group,lloyds banking group,banking,2009,united kingdom,charlie nunn,"57,955",doll_58.5b
97,https://www.forbes.com/companies/ibm,ibm,"it, internet, software & services",1911,united states,arvind krishna,"282,100",doll_67.3b
98,https://www.forbes.com/companies/sanofi,sanofi ,drugs & biotechnology,2004,france,paul hudson,"95,000",doll_44.6b
99,https://www.forbes.com/companies/united-parcel-service,united parcel service,transportation and logistics,1907,united states,carol b. tomé,"534,000",doll_97.2b
100,https://www.forbes.com/companies/british-american-tobacco,british american tobacco,"food, drink & tobacco",1902,united kingdom,jack bowles,"55,981",doll_35.3b
101,https://www.forbes.com/companies/ubs,ubs,banking,1862,switzerland,ralph hamers,"71,385",doll_35.2b
102,https://www.forbes.com/companies/honda-motor,honda motor,automotive (automotive and suppliers),1959,japan,toshihiro mibe,"211,374",doll_130.2b
103,https://www.forbes.com/companies/mitsubishi,mitsubishi,trading companies,1870,japan,takehiko kakiuchi,"82,997",doll_146.9b
104,https://www.forbes.com/companies/china-state-construction-engineering,china state construction engineering,construction,1982,china,xiang ming wang,"335,038",doll_205.8b
105,https://www.forbes.com/companies/state-bank-of-india,state bank of india,banking,1955,india,swaminathan janakiraman,"245,652",doll_54.4b
106,https://www.forbes.com/companies/commonwealth-bank,commonwealth bank,banking,1911,australia,matthew comyn,"44,375",doll_21.9b
107,https://www.forbes.com/companies/shanghai-pudong-development,shanghai pudong development,banking,1992,china,guo fu gao,"61,686",doll_54.8b
108,https://www.forbes.com/companies/raytheon-technologies,raytheon technologies,aerospace & defense,1922,united states,gregory j. hayes,"174,000",doll_64.4b
109,https://www.forbes.com/companies/enel,enel,utilities,1962,italy,francesco starace,"66,279",doll_99.4b
110,https://www.forbes.com/companies/eni,eni,oil & gas operations,1953,italy,claudio descalzi,"30,775",doll_90.5b
111,https://www.forbes.com/companies/capital-one,capital one,banking and financial services,1994,united states,richard d. fairbank ,"50,767",doll_32.1b
112,https://www.forbes.com/companies/bristol-myers-squibb,bristol myers squibb,drugs & biotechnology,1933,united states,giovanni caforio,"32,200",doll_46.4b
113,https://www.forbes.com/companies/coca-cola,coca-cola,"food, soft beverages, alcohol & tobacco",1892,united states,james quincey,"79,000",doll_38.7b
114,https://www.forbes.com/companies/oracle,oracle,"it, internet, software & services",1977,united states,safara catz,"133,000",doll_41.8b
115,https://www.forbes.com/companies/sberbank,sberbank,banking,1841,russia,herman oskarovich gref,"287,866",doll_57.4b
116,https://www.forbes.com/companies/bank-of-montreal,bank of montreal,banking and financial services,1817,canada,darryl white,"43,863",doll_26.5b
117,https://www.forbes.com/companies/vale,vale,materials,1942,brazil,eduardo de salles bartolomeo,"72,266",doll_54.4b
118,https://www.forbes.com/companies/edf,edf ,utilities,1955,france,jean-bernard levy,"165,790",doll_99.8b
119,https://www.forbes.com/companies/thermo-fisher-scientific,thermo fisher scientific,drugs & biotechnology,1983,united states,marc n. casper ,"130,000",doll_39.2b
120,https://www.forbes.com/companies/credit-agricole,credit agricole,banking and financial services,1894,france,philippe brassac,"147,000",doll_73.6b
121,https://www.forbes.com/companies/airbus,airbus,"engineering, manufacturing",1970,netherlands,guillaume faury,"126,495",doll_61.6b
122,https://www.forbes.com/companies/costco-wholesale,costco wholesale,retail and wholesale,1983,united states,w. craig jelinek,"192,000",doll_210.2b
123,https://www.forbes.com/companies/hon-hai-precision,hon hai precision ,technology hardware & equipment,1974,taiwan,yang-wei liu,not found,doll_214.6b
124,https://www.forbes.com/companies/unilever,unilever,packaged goods,1929,united kingdom,alan jope,"148,000",doll_62b
125,https://www.forbes.com/companies/charter-communications,charter communications,media,1993,united states,thomas m. rutledge,"93,700",doll_51.7b
126,https://www.forbes.com/companies/sumitomo-mitsui-financial,sumitomo mitsui financial,banking,2002,japan,jun ohta,"86,781",doll_35.5b
127,https://www.forbes.com/companies/conocophillips,conocophillips,"construction, oil & gas operations, mining and chemicals",1875,united states,ryan lance,"9,400",doll_46.1b
128,https://www.forbes.com/companies/glaxosmithkline,glaxosmithkline,drugs & biotechnology,2000,united kingdom,emma n. walmsley,"90,096",doll_46.9b
129,https://www.forbes.com/companies/intesa-sanpaolo,intesa sanpaolo,banking,2007,italy,carlo messina,"108,043",doll_47.8b
130,https://www.forbes.com/companies/manulife,manulife,banking and financial services,1887,canada,roy gori,"38,000",doll_47.2b
131,https://www.forbes.com/companies/us-bancorp,us bancorp,banking,1929,united states,andrew j. cecere,"68,796",doll_23.1b
132,https://www.forbes.com/companies/basf,basf,chemicals,1865,germany,martin brudermüller,"111,047",doll_92.9b
133,https://www.forbes.com/companies/cnooc,cnooc,oil & gas operations,1999,hong kong,xin huai zhou,"19,086",doll_37.8b
134,https://www.forbes.com/companies/abbott-laboratories,abbott laboratories,health care equipment & services,1888,united states,robert b. ford,"113,000",doll_44.5b
135,https://www.forbes.com/companies/iberdrola,iberdrola,utilities,1992,spain,josé ignacio sánchez galán,"45,000",doll_46.2b
136,https://www.forbes.com/companies/china-shenhua-energy,china shenhua energy,materials,2004,china,zhi ren lu,"77,872",doll_52b
137,https://www.forbes.com/companies/itau-unibanco-holding,itaú unibanco holding,banking,1944,brazil,milton maluhy filho,"99,600",doll_36b
138,https://www.forbes.com/companies/caterpillar,caterpillar,"engineering, manufacturing",1925,united states,james umpleby,"107,700",doll_51b
139,https://www.forbes.com/companies/mitsui,mitsui,trading companies,1947,japan,kenichi hori,"44,509",doll_108.3b
140,https://www.forbes.com/companies/itochu,itochu,trading companies,1858,japan,masahiro okafuji,"125,944",doll_108b
141,https://www.forbes.com/companies/charles-schwab,charles schwab,banking and financial services,1971,united states,walter w. bettinger ii,"33,000",doll_19b
142,https://www.forbes.com/companies/truist-financial,truist financial,banking,1872,united states,william h. rogers jr.,"52,641",doll_23.2b
143,https://www.forbes.com/companies/enbridge,enbridge,"construction, oil & gas operations, mining and chemicals",1949,canada,albert monaco,"13,000",doll_37.6b
144,https://www.forbes.com/companies/hitachi,hitachi,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1910,japan,toshiaki higashihara,"368,247",doll_91.9b
145,https://www.forbes.com/companies/kddi,kddi,telecommunications services,1984,japan,", tomonari sato","47,320",doll_49.2b
146,https://www.forbes.com/companies/hyundai-motor,hyundai motor,consumer durables,1967,south korea,chung eui-sun,"71,982",doll_102.7b
147,https://www.forbes.com/companies/china-citic-bank,china citic bank,banking,1987,china,he ying fang,"55,419",doll_57b
148,https://www.forbes.com/companies/visa,visa,banking and financial services,1958,united states,alfred f. kelly jr.,"21,500",doll_25.5b
149,https://www.forbes.com/companies/target,target,retail and wholesale,1902,united states,brian cornell,"450,000",doll_106b
150,https://www.forbes.com/companies/bbva-banco-bilbao-vizcaya,bbva-banco bilbao vizcaya,banking,1999,spain,onur genç,"110,432",doll_42b
151,https://www.forbes.com/companies/tesla,tesla,consumer durables,2003,united states,elon reeve musk,"99,290",doll_53.8b
152,https://www.forbes.com/companies/john-deere,deere & company,capital goods,1837,united states,john c. may,"75,600",doll_44.5b
153,https://www.forbes.com/companies/hdfc-bank,hdfc bank,banking,1994,india,sashidhar jagdishan,"141,579",doll_22.5b
154,https://www.forbes.com/companies/barclays,barclays,banking and financial services,1896,united kingdom,c. s. venkatakrishnan,"83,500",doll_30.2b
155,https://www.forbes.com/companies/munich-re,munich re,insurance,1880,germany,joachim wenning phd,"39,281",doll_84.9b
156,https://www.forbes.com/companies/japan-post-holdings,japan post holdings,insurance,1871,japan,hiroya masuda,"243,612",doll_103.6b
157,https://www.forbes.com/companies/walgreens,walgreens,retail and wholesale,1901,united states,stefano pessina,"315,000",doll_135.9b
158,https://www.forbes.com/companies/danaher,danaher,"engineering, manufacturing",1984,united states,rainer m. blair,"80,000",doll_30.3b
159,https://www.forbes.com/companies/generali-group,generali group,insurance,1831,italy,philippe donnet,"75,000",doll_102.1b
160,https://www.forbes.com/companies/moller-maersk,møller-maersk,transportation,2009,denmark,søren skou,"2,852",doll_62b
161,https://www.forbes.com/companies/lowes,lowe's,retailing,1921,united states,marvin r. ellison,"340,000",doll_96.2b
162,https://www.forbes.com/companies/fedex,fedex,transportation and logistics,1971,united states,frederick w. smith,"600,000",doll_91.5b
163,https://www.forbes.com/companies/deutsche-post,deutsche post,transportation,1995,germany,frank appel,"592,263",doll_96.6b
164,https://www.forbes.com/companies/pnc-financial-services,pnc financial services,banking and financial services,1845,united states,william s. demchak,"59,426",doll_19.9b
165,https://www.forbes.com/companies/broadcom,broadcom,semiconductors,1961,united states,hock e. tan,"20,000",doll_28.5b
166,https://www.forbes.com/companies/lukoil,lukoil,oil & gas operations,1991,russia,vadim nikolayevich vorobyov,not found,doll_125.1b
167,https://www.forbes.com/companies/medtronic,medtronic,health care equipment & services,1949,ireland,geoffrey straub martha,"90,000",doll_31.8b
168,https://www.forbes.com/companies/sap,sap,"it, internet, software & services",1972,germany,christian klein,"105,000",doll_33.2b
169,https://www.forbes.com/companies/sk-hynix,sk hynix,semiconductors,1949,south korea,seok-hee lee,"30,135",doll_37.5b
170,https://www.forbes.com/companies/engie,engie ,oil & gas operations,2008,france,catherine macgregor,"171,474",doll_68.4b
171,https://www.forbes.com/companies/lockheed-martin,lockheed martin,aerospace & defense,1912,united states,james d. taiclet,"106,020",doll_65.8b
172,https://www.forbes.com/companies/blackrock,blackrock,diversified financials,1988,united states,laurence douglas fink,"18,400",doll_20.3b
173,https://www.forbes.com/companies/westpac-banking,westpac banking group,banking,1817,australia,peter francis king,"40,143",doll_20.5b
174,https://www.forbes.com/companies/duke-energy,duke energy,utilities,1904,united states,lynn j. good,"27,605",doll_25.1b
175,https://www.forbes.com/companies/dell-technologies,dell technologies,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1984,united states,michael dell,"42,560",doll_106.8b
176,https://www.forbes.com/companies/vinci,vinci,"construction, oil & gas operations, mining and chemicals",1899,france,xavier huillard,"219,299",doll_59.1b
177,https://www.forbes.com/companies/tokio-marine-holdings,tokio marine holdings,insurance,1879,japan,satoru komiya,"43,257",doll_50.6b
178,https://www.forbes.com/companies/america-movil,américa móvil,"telecommunications services, cable supplier",2000,mexico,daniel hajj aboumrad,"181,205",doll_48.4b
179,https://www.forbes.com/companies/eon,e.on,utilities,2000,germany,leonhard birnbaum,"72,000",doll_91.4b
180,https://www.forbes.com/companies/anglo-american,anglo american,materials,1917,united kingdom,duncan graham wanblad,"63,698",doll_41.5b
181,https://www.forbes.com/companies/banco-bradesco,banco bradesco,banking,1943,brazil,octávio de lazari jr.,"87,274",doll_28.3b
182,https://www.forbes.com/companies/ing-group,ing group,diversified financials,1991,netherlands,steven van rijswijk,"56,000",doll_21.5b
183,https://www.forbes.com/companies/accenture,accenture,professional services,1955,ireland,julie spellman sweet,"624,000",doll_56.7b
184,https://www.forbes.com/companies/honeywell-international,honeywell international,conglomerates,1906,united states,darius adamczyk,"99,000",doll_34.4b
185,https://www.forbes.com/companies/mizuho-financial,mizuho financial,banking,2003,japan,masahiro kihara,"54,492",doll_26.8b
186,https://www.forbes.com/companies/linde,linde,chemicals,1879,united kingdom,sanjiv lamba,"72,327",doll_30.8b
187,https://www.forbes.com/companies/arcelormittal,arcelormittal,materials,2006,luxembourg,aditya mittal,"157,909",doll_76.7b
188,https://www.forbes.com/companies/canadian-imperial-bank,canadian imperial bank,banking,1867,canada,victor dodig,"45,282",doll_18.7b
189,https://www.forbes.com/companies/poly-developments-holdings-group,poly developments & holdings group,construction,1992,china,dong li zhou,"61,854",doll_42.9b
190,https://www.forbes.com/companies/micron-technology,micron technology,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1978,united states,sanjay mehrotra,"43,000",doll_31.2b
191,https://www.forbes.com/companies/anz,anz,banking and financial services,1835,australia,shayne cary elliott,"40,211",doll_18.4b
192,https://www.forbes.com/companies/fubon-financial,fubon financial,insurance,2001,taiwan,yue han,"45,174",doll_33.2b
193,https://www.forbes.com/companies/china-telecom,china telecom,telecommunications services,2002,china,rui wen ke,"278,922",doll_68.2b
194,https://www.forbes.com/companies/hca-healthcare,hca healthcare,health care equipment & services,1968,united states,samuel n. hazen,"284,000",doll_59.7b
195,https://www.forbes.com/companies/dow,dow,"construction, oil & gas operations, mining and chemicals",1897,united states,jim fitterling,"35,700",doll_58.4b
196,https://www.forbes.com/companies/telefonica,telefónica,telecommunications services,1924,spain,josé maría álvarez-pallete lópez,"104,150",doll_46.4b
197,https://www.forbes.com/companies/china-vanke,china vanke,construction,1984,china,jiu sheng zhu,"139,494",doll_71.4b
198,https://www.forbes.com/companies/national-australia-bank,nab - national australia bank,banking,1981,australia,ross maxwell mcewan,"33,275",doll_15.8b
199,https://www.forbes.com/companies/cathay-financial,cathay financial,insurance,1975,taiwan,chang li,"57,100",doll_34.5b
200,https://www.forbes.com/companies/qualcomm,qualcomm,semiconductors,1985,united states,cristiano r. amon,"45,000",doll_36b
201,https://www.forbes.com/companies/loreal,l'oréal,packaged goods,1909,france,nicolas hieronimus,"85,252",doll_38.2b
202,https://www.forbes.com/companies/allstate,allstate,insurance,1931,canada,thomas joseph wilson ii,"54,700",doll_50.6b
203,https://www.forbes.com/companies/saic-motor,saic motor,consumer durables,1955,china,not found,"204,815",doll_121.4b
204,https://www.forbes.com/companies/icici-bank,icici bank,banking,1994,india,sandeep bakhshi,"98,750",doll_21.9b
205,https://www.forbes.com/companies/china-everbright-bank,china everbright bank,banking,1992,china,haijiao ge,"46,175",doll_42.4b
206,https://www.forbes.com/companies/gilead-sciences,gilead sciences,drugs & biotechnology,1987,united states,daniel o'day,"14,000",doll_27.4b
207,https://www.forbes.com/companies/china-pacific-insurance,china pacific insurance,insurance,1991,china,candy yuen,"107,000",doll_68.1b
208,https://www.forbes.com/companies/nvidia,nvidia,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1993,united states,jensen huang,"22,473",doll_26.9b
209,https://www.forbes.com/companies/amgen,amgen,drugs & biotechnology,1980,united states,robert a. bradway,"24,200",doll_26b
210,https://www.forbes.com/companies/union-pacific,union pacific,transportation,1862,united states,lance m. fritz,"29,905",doll_22.7b
211,https://www.forbes.com/companies/dai-ichi-life-insurance,dai-ichi life insurance,insurance,1902,japan,seiji inagaki,"64,823",doll_66.7b
212,https://www.forbes.com/companies/nike,nike,"clothing, shoes, sports equipment",1964,united states,john j. donahoe ii,"73,300",doll_46.9b
213,https://www.forbes.com/companies/takeda-pharmaceutical,takeda pharmaceutical,drugs & biotechnology,1781,japan,christophe weber,"47,099",doll_31.5b
214,https://www.forbes.com/companies/philip-morris-international,philip morris international,"food, drink & tobacco",1847,united states,jacek olczak,"69,600",doll_31.5b
215,https://www.forbes.com/companies/paypal,paypal,banking and financial services,1998,united states,dan schulman,"30,900",doll_25.6b
216,https://www.forbes.com/companies/china-resources-land,china resources land,construction,1994,hong kong,yong tang,"49,478",doll_33.6b
217,https://www.forbes.com/companies/oversea-chinese-banking,oversea-chinese banking,banking,1912,singapore,pik kuen wong,"30,809",doll_22.9b
218,https://www.forbes.com/companies/midea-group,midea group,"engineering, manufacturing",1968,china,fang hongbo,"166,000",doll_50.6b
219,https://www.forbes.com/companies/travelers,travelers,insurance,1864,united states,alan d. schnitzer,"30,000",doll_35.3b
220,https://www.forbes.com/companies/eli-lilly,eli lilly,drugs & biotechnology,1876,united states,david a. ricks,"36,000",doll_28.3b
221,https://www.forbes.com/companies/mondelez-international,mondelez international,"food, drink & tobacco",2012,united states,dirk van de put,"79,000",doll_28.7b
222,https://www.forbes.com/companies/mcdonalds,mcdonald's,"hotels, restaurants & leisure",1955,united states,christopher j. kempczinski,"200,000",doll_23.2b
223,https://www.forbes.com/companies/general-electric,general electric,"engineering, manufacturing",1892,canada,h. lawrence culp jr.,"168,000",doll_74.1b
