ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
Guillaume Faury,netherlands,117.260 Billion USD,85.683 Billion USD,105.090 Billion USD,airbus,"125,888","57,468 Million USD",industries
Oliver Bate,germany,105.918 Billion USD,100.760 Billion USD,103.280 Billion USD,allianz se,"150,269","114,040 Million USD",financial services
Belen Garijo,germany,52.675 Billion USD,74.308 Billion USD,102.500 Billion USD,merck kgaa o.n.,"58,408","21,695 Million USD",healthcare
Francois-Henri Pinault,france,84.010 Billion USD,90.434 Billion USD,101.130 Billion USD,kering,"38,553","19,445 Million USD",consumer cyclical
Pablo Isla,spain,110.958 Billion USD,99.765 Billion USD,98.655 Billion USD,inditex (industria de diseno textil),"144,116","27,708 Million USD",consumer cyclical
Bernard Looney,uk,128.560 Billion USD,70.503 Billion USD,97.619 Billion USD,bp p.l.c.,"60,000","157,740 Million USD",energy
Timotheus Hottges,germany,78.317 Billion USD,87.242 Billion USD,92.028 Billion USD,deutsche telekom ag,"226,291","119,890 Million USD",communication services
Jean-Laurent Bonnafe,france,74.764 Billion USD,65.494 Billion USD,90.457 Billion USD,bnp paribas,"190,000",0 Million USD,financial services
Anders Opedal,norway,67.450 Billion USD,54.549 Billion USD,89.918 Billion USD,equinor asa,"21,245","88,744 Million USD",energy
Jack Bowles,uk,100.584 Billion USD,84.670 Billion USD,89.470 Billion USD,british american tobacco,"55,000","33,620 Million USD",consumer defensive
Ola Kallenius,germany,61.298 Billion USD,75.286 Billion USD,89.412 Billion USD,mercedec benz group ag,"288,481","203,830 Million USD",consumer cyclical
Francesco Milleri,france,66.781 Billion USD,67.824 Billion USD,89.047 Billion USD,essilor luxottica,"151,017","21,842 Million USD",healthcare
Evan G. Greenberg,switzerland,70.056 Billion USD,69.474 Billion USD,86.661 Billion USD,chubb,"31,000","40,963 Million USD",financial services
Nick Hayek Jr.,switzerland,14.536 Billion USD,14.068 Billion USD,85.629 Billion USD,swatch group ag,"32,424","7,774 Million USD",consumer cyclical
Jerome Lambert,switzerland,45.102 Billion USD,51.795 Billion USD,84.500 Billion USD,compagnie financiere richemont sa,"34,760","19,915 Million USD",consumer cyclical
Francois Jackow,france,70.861 Billion USD,77.178 Billion USD,84.264 Billion USD,air liquide,"67,000","25,714 Million USD",basic materials
Herman Gref,russia,90.327 Billion USD,78.877 Billion USD,83.756 Billion USD,sberbank of russia,"285,555",0 Million USD,financial services
Bernd Montag,germany,47.672 Billion USD,55.393 Billion USD,81.178 Billion USD,siemens healthineers ag,"52,000","19,833 Million USD",healthcare
Francesco Starace,italy,82.055 Billion USD,102.430 Billion USD,79.770 Billion USD,enel,"66,438","94,862 Million USD",utilities
Frank Appel,germany,47.723 Billion USD,61.106 Billion USD,78.472 Billion USD,deutsche post ag,"571,974","90,085 Million USD",industries
Mats Rahmstrom,sweden,49.329 Billion USD,59.441 Billion USD,78.380 Billion USD,atlas copco ab,"40,000","11,646 Million USD",industries
Johan Forssell,sweden,43.995 Billion USD,55.421 Billion USD,77.328 Billion USD,investor ab (publ),"20,054","5,459 Million USD",financial services
Bjorn Rosengren,switzerland,53.280 Billion USD,58.228 Billion USD,76.037 Billion USD,abb,"105,000","28,945 Million USD",industries
Igor Sechin,russia,77.998 Billion USD,56.470 Billion USD,75.445 Billion USD,rosneft oil company,"315,000","78,849 Million USD",energy
Pieter van der,netherlands,24.983 Billion USD,70.244 Billion USD,75.414 Billion USD,adyen,"1,750","6,606 Million USD",technology
Thomas Buberl,france,68.457 Billion USD,56.640 Billion USD,74.588 Billion USD,axa,"96,595","111,660 Million USD",financial services
Jose Ignacio Sanchez Galan,spain,63.052 Billion USD,86.565 Billion USD,72.100 Billion USD,iberdrola,"45,000","43,104 Million USD",utilities
Bernard Charles,france,42.904 Billion USD,53.310 Billion USD,71.224 Billion USD,dassault systemes,"19,789","5,356 Million USD",technology
Gary Nagle,switzerland,42.021 Billion USD,42.453 Billion USD,70.870 Billion USD,glencore,"134,878","203,750 Million USD",basic materials
NULL,germany,54.028 Billion USD,56.772 Billion USD,70.505 Billion USD,bayerische motoren werke (bmw),"120,726","111,210 Million USD",consumer cyclical
Leonid Viktorovich Mikhelson,russia,61.322 Billion USD,51.530 Billion USD,69.387 Billion USD,novatek,"16,821","10,411 Million USD",energy
NULL,germany,70.793 Billion USD,72.387 Billion USD,68.991 Billion USD,basf se,"110,302","86,615 Million USD",basic materials
Soren Skou,denmark,28.030 Billion USD,41.974 Billion USD,68.834 Billion USD,a.p. moller - maersk a/s,"80,000","61,787 Million USD",industries
Mario Greco,switzerland,62.111 Billion USD,61.899 Billion USD,67.906 Billion USD,zurich insurance group ag,"52,930","65,801 Million USD",financial services
Craig Arnold,ireland,39.310 Billion USD,47.888 Billion USD,66.905 Billion USD,eaton corporation,"85,947","19,628 Million USD",industries
Ralph Hamers,switzerland,46.416 Billion USD,51.211 Billion USD,66.672 Billion USD,ubs group ag,"71,551",0 Million USD,financial services
Carlos Tavares,netherlands,NULL,47.530 Billion USD,64.800 Billion USD,stellantis n.v,"189,512","164,660 Million USD",automobile
BENEDETTO VIGNA,italy,42.029 Billion USD,57.566 Billion USD,62.961 Billion USD,ferrari,"4,556","4,706 Million USD",consumer cyclical
Laxman Narasimhan,uk,57.941 Billion USD,63.484 Billion USD,62.297 Billion USD,reckitt benckiser group,"43,000","17,323 Million USD",consumer defensive
Jose Antonio Alvarez,spain,71.788 Billion USD,54.044 Billion USD,61.025 Billion USD,banco santander,"191,189",0 Million USD,financial services
Martin Lundstedt,sweden,35.336 Billion USD,48.101 Billion USD,60.845 Billion USD,ab volvo,"95,850","39,083 Million USD",industries
Xavier Huillard,france,64.245 Billion USD,55.686 Billion USD,60.651 Billion USD,vinci,"217,731","55,080 Million USD",industries
Alexandre Ricard,france,47.441 Billion USD,49.849 Billion USD,60.061 Billion USD,pernod ricard,"18,500","8,821 Million USD",consumer defensive
DUNCAN WANBLAD,uk,39.779 Billion USD,45.192 Billion USD,59.386 Billion USD,anglo american,"90,000","41,554 Million USD",basic materials
Reinhard Ploss,germany,29.405 Billion USD,49.718 Billion USD,59.352 Billion USD,infineon technologies ag,"50,288","12,188 Million USD",technology
Vagit Alekperov,russia,66.226 Billion USD,45.541 Billion USD,59.246 Billion USD,pjsc lukoil,"101,000","110,010 Million USD",energy
Kurt Sievers,netherlands,35.769 Billion USD,44.483 Billion USD,58.859 Billion USD,nxp semiconductors,"31,000","11,063 Million USD",technology
Erik Engstrom,uk,48.354 Billion USD,47.199 Billion USD,58.743 Billion USD,relx,"33,500","9,482 Million USD",communication services
Pierre-Alain Ruffieux,switzerland,27.306 Billion USD,47.276 Billion USD,57.618 Billion USD,lonza group,"16,218","5,750 Million USD",healthcare
Steven van Rijswijk,netherlands,47.989 Billion USD,36.659 Billion USD,56.183 Billion USD,ing group,"57,000",0 Million USD,financial services
Rolf Habben Jansen,germany,15.139 Billion USD,19.669 Billion USD,55.995 Billion USD,hapag-lloyd,"14,100","24,545 Million USD",industries
Michael Strugl,austria,17.611 Billion USD,29.551 Billion USD,55.641 Billion USD,verbund ag,"2,980","4,776 Million USD",utilities
Paul Schuler,switzerland,26.539 Billion USD,38.362 Billion USD,55.610 Billion USD,sika ag,"24,848","9,835 Million USD",basic materials
NULL,russia,NULL,NULL,55.251 Billion USD,open joint stock company omz,NULL,387 Million USD,industries
Kasper Rorsted,germany,64.440 Billion USD,70.751 Billion USD,54.843 Billion USD,adidas,"62,285","23,400 Million USD",consumer cyclical
Werner Baumann,germany,78.085 Billion USD,57.610 Billion USD,54.460 Billion USD,bayer,"99,538","48,577 Million USD",healthcare
Olivier Andries,france,65.788 Billion USD,60.282 Billion USD,54.377 Billion USD,safran,"76,800","16,677 Million USD",industries
Carlo Messina,italy,46.651 Billion USD,45.193 Billion USD,53.948 Billion USD,intesa sanpaolo,"105,615","22,427 Million USD",financial services
David Schwimmer,uk,35.743 Billion USD,43.305 Billion USD,53.536 Billion USD,london stock exchange group,"24,158","8,823 Million USD",financial services
Jens Bjorn Andersen,denmark,26.448 Billion USD,37.874 Billion USD,52.508 Billion USD,dsv panalpina,"56,000","26,981 Million USD",industries
John Pettigrew,uk,43.268 Billion USD,41.826 Billion USD,52.115 Billion USD,national grid transco,"23,683","21,730 Million USD",utilities
Terrence Curtin,switzerland,32.389 Billion USD,40.043 Billion USD,51.743 Billion USD,te connectivity,"89,000","14,293 Million USD",technology
Claudio Descalzi,italy,56.976 Billion USD,37.260 Billion USD,51.734 Billion USD,eni s.p.a.,"31,495","84,380 Million USD",energy
NULL,germany,8.123 Billion USD,19.629 Billion USD,51.375 Billion USD,biontech se,"1,941","18,970 Million USD",healthcare
Charlie Nunn,uk,58.757 Billion USD,35.299 Billion USD,51.001 Billion USD,lloyds banking group,"61,576",0 Million USD,financial services
Lance Uggla,uk,30.142 Billion USD,37.882 Billion USD,50.254 Billion USD,ihs markit,"16,000","1,860 Million USD",industries
Frank Vang-Jensen,finland,34.476 Billion USD,32.835 Billion USD,49.607 Billion USD,nordea bank abp,"28,051",0 Million USD,financial services
Charles F. Lowrey,uk,50.487 Billion USD,47.903 Billion USD,49.339 Billion USD,prudential,"18,687","26,500 Million USD",financial services
Christian Sinding,sweden,11.604 Billion USD,24.261 Billion USD,48.284 Billion USD,eqt ab (publ),"1,160",150 Million USD,financial services
NULL,uk,NULL,5.823 Billion USD,6.537 Billion USD,f&c investment trust,NULL,"1,275 Million USD",investments
C. S. Venkatakrishnan,uk,42.108 Billion USD,34.698 Billion USD,47.535 Billion USD,barclays plc,"83,000",0 Million USD,financial services
Simon A Borrows,uk,13.982 Billion USD,27.376 Billion USD,47.296 Billion USD,3i group,282,"4,882 Million USD",financial services
Vladimir Potanin,russia,49.697 Billion USD,51.115 Billion USD,47.226 Billion USD,mmc norilsk nickel,"75,901","17,852 Million USD",basic materials
Mads Nipper,denmark,43.383 Billion USD,85.753 Billion USD,46.812 Billion USD,orsted a/s,"6,429","11,496 Million USD",utilities
Philippe Brassac,france,42.590 Billion USD,36.631 Billion USD,46.250 Billion USD,credit agricole,"73,037",0 Million USD,financial services
Gilles Andrier,switzerland,29.034 Billion USD,38.532 Billion USD,46.065 Billion USD,givaudan sa,"16,842","7,105 Million USD",basic materials
Kevin P. Clark,ireland,24.587 Billion USD,35.182 Billion USD,45.844 Billion USD,aptiv,"151,000","15,618 Million USD",consumer cyclical
Jean-Marc Chery,switzerland,24.827 Billion USD,33.637 Billion USD,45.434 Billion USD,stmicroelectronics,"48,254","13,249 Million USD",technology
NULL,ireland,NULL,34.427 Billion USD,44.959 Billion USD,trane technologies plc,"37,000","14,136 Million USD",industry machinery
Joachim Wenning,germany,42.927 Billion USD,41.423 Billion USD,43.178 Billion USD,munchener ruckversicherungs-gesellschaft,"39,642","76,540 Million USD",financial services
Nick Read,uk,51.930 Billion USD,44.228 Billion USD,43.005 Billion USD,vodafone group,"105,000","53,685 Million USD",communication services
Daniel Ek,sweden,26.472 Billion USD,59.655 Billion USD,42.828 Billion USD,spotify technology,"6,617","10,654 Million USD",communication services
Brian Cassin,ireland,30.293 Billion USD,34.833 Billion USD,42.818 Billion USD,experian,"17,800","6,288 Million USD",industries
Rolf Eberhard Buch,germany,29.359 Billion USD,41.167 Billion USD,41.881 Billion USD,vonovia se,"10,622","3,622 Million USD",real estate
Onur Genc,spain,38.366 Billion USD,33.030 Billion USD,41.592 Billion USD,banco bilbao vizcaya argentaria,"110,432",0 Million USD,financial services
Dominic Blakemore,uk,40.778 Billion USD,33.248 Billion USD,41.111 Billion USD,compass group,"478,070","23,442 Million USD",consumer cyclical
Albert Manifold,ireland,32.175 Billion USD,32.392 Billion USD,41.041 Billion USD,crh plc,"79,200","30,981 Million USD",basic materials
Veronique Penchienati Bosetta,switzerland,53.720 Billion USD,42.539 Billion USD,40.795 Billion USD,danone,"101,911","26,758 Million USD",consumer defensive
Ola Rollen,sweden,21.601 Billion USD,33.334 Billion USD,40.645 Billion USD,hexagon ab (publ),"20,532","4,784 Million USD",technology
David Layton,switzerland,24.318 Billion USD,31.213 Billion USD,40.541 Billion USD,partners group holding ag,"1,519","2,688 Million USD",financial services
David J. Endicott,switzerland,27.556 Billion USD,32.946 Billion USD,39.766 Billion USD,alcon,"23,655","8,291 Million USD",healthcare
Peter Vanacker,finland,27.033 Billion USD,55.316 Billion USD,39.108 Billion USD,neste oyj,"4,825","16,693 Million USD",energy
Aiman Ezzat,france,20.904 Billion USD,25.017 Billion USD,38.876 Billion USD,capgemini se,"289,501","20,012 Million USD",technology
Joachim Kreuzburg,germany,15.435 Billion USD,28.673 Billion USD,38.531 Billion USD,sartorius stedim biotech,"9,016","3,180 Million USD",healthcare
Benoit Bazin,france,22.564 Billion USD,24.203 Billion USD,38.477 Billion USD,compagnie de saint-gobain,"167,552","48,664 Million USD",ceramic products
Kevin Murphy,uk,20.269 Billion USD,27.339 Billion USD,38.468 Billion USD,ferguson,"34,352","22,792 Million USD",industries
Dr. Detlef Trefzger,switzerland,20.313 Billion USD,27.533 Billion USD,38.466 Billion USD,kuehne + nagel international ag,"78,249","34,867 Million USD",industries
Johan Thijs,belgium,31.905 Billion USD,29.064 Billion USD,38.016 Billion USD,kbc group nv,"33,916",0 Million USD,financial services
Alison Rose,uk,39.388 Billion USD,27.807 Billion USD,37.790 Billion USD,natwest group,"59,900",0 Million USD,banking services
Borje Ekholm,sweden,30.747 Billion USD,39.838 Billion USD,37.525 Billion USD,ericsson,"101,322","24,393 Million USD",technology
Dimitri de Vreeze,netherlands,23.047 Billion USD,29.568 Billion USD,37.187 Billion USD,dsm,"23,127","9,201 Million USD",basic materials
Jean-Bernard Levy,france,34.932 Billion USD,48.662 Billion USD,37.063 Billion USD,edf (electricite de france),"20,477","93,076 Million USD",utilities
Henrik Ehrnrooth,finland,33.917 Billion USD,41.954 Billion USD,36.770 Billion USD,kone oyj,"61,380","11,586 Million USD",industries
Brendan Horgan,uk,14.376 Billion USD,21.123 Billion USD,36.701 Billion USD,ashtead group,"19,386","7,962 Million USD",industries
Kjerstin Braathen,norway,29.967 Billion USD,30.189 Billion USD,36.683 Billion USD,dnb asa,"9,200",0 Million USD,financial services
Catherine MacGregor,france,39.782 Billion USD,36.848 Billion USD,36.436 Billion USD,engie,"171,000","63,768 Million USD",utilities
Carsten Knobel,germany,42.232 Billion USD,44.557 Billion USD,35.831 Billion USD,henkel ag,"52,600","22,113 Million USD",consumer defensive
Andrea Orcel,italy,33.729 Billion USD,20.837 Billion USD,35.779 Billion USD,unicredit,"90,836","18,591 Million USD",financial services
Pekka Lundmark,finland,22.288 Billion USD,21.769 Billion USD,35.653 Billion USD,nokia corporation,"87,927","24,467 Million USD",technology
Stefan Widing,sweden,25.713 Billion USD,30.542 Billion USD,35.192 Billion USD,sandvik ab,"37,125","10,406 Million USD",industries
Frans Muller,netherlands,27.665 Billion USD,29.466 Billion USD,35.061 Billion USD,ahold delhaize,"232,000","83,312 Million USD",consumer defensive
Leonhard Birnbaum,germany,24.333 Billion USD,28.779 Billion USD,34.939 Billion USD,e.on se,"78,126","77,335 Million USD",utilities
Kristian Villumsen,denmark,26.318 Billion USD,32.457 Billion USD,34.558 Billion USD,coloplast a/s,"12,568","2,875 Million USD",healthcare
Tobias Martinez Gimeno,spain,14.069 Billion USD,29.097 Billion USD,34.194 Billion USD,cellnex telecom,"2,877","2,437 Million USD",communication services
Nico Delvaux,sweden,28.633 Billion USD,27.207 Billion USD,33.270 Billion USD,assa abloy ab (publ),"48,000","9,976 Million USD",industries
Frans van Houten,netherlands,44.275 Billion USD,48.973 Billion USD,33.230 Billion USD,philips,"81,592","17,151 Million USD",healthcare
Philippe Donnet,italy,32.607 Billion USD,27.258 Billion USD,33.226 Billion USD,assicurazioni generali,"72,644","92,763 Million USD",financial services
Bhavesh V. Patel,netherlands,31.312 Billion USD,30.607 Billion USD,32.483 Billion USD,lyondellbasell industries,"19,200","46,173 Million USD",basic materials
NULL,germany,NULL,NULL,2.888 Billion USD,software aktiengesellschaft,NULL,833 Million USD,technology
Jan Jenisch,switzerland,21.645 Billion USD,33.813 Billion USD,32.100 Billion USD,holcim ltd,"67,409","28,525 Million USD",basic materials
Helena Helmersson,sweden,35.101 Billion USD,38.477 Billion USD,32.080 Billion USD,h & m hennes & mauritz ab,"153,000","20,892 Million USD",consumer cyclical
Luis Maroto,spain,35.212 Billion USD,32.656 Billion USD,31.937 Billion USD,amadeus it group,"19,000","2,942 Million USD",technology
Lakshmi Mittal,luxembourg,18.120 Billion USD,24.556 Billion USD,31.726 Billion USD,arcelormittal,"167,743","76,571 Million USD",basic materials
Guillaume Daniellot,switzerland,15.499 Billion USD,18.350 Billion USD,31.426 Billion USD,straumann holding ag,"7,340","2,148 Million USD",healthcare
Hans Dieter Potsch,germany,23.572 Billion USD,21.034 Billion USD,31.386 Billion USD,porsche automobil holding se,916,0 Million USD,consumer cyclical
NULL,france,29.859 Billion USD,17.460 Billion USD,31.344 Billion USD,societe generale,"152,050",0 Million USD,financial services
Francisco Miguel Reynes Massanet,spain,24.667 Billion USD,22.387 Billion USD,31.139 Billion USD,naturgy energy group,"10,540","24,398 Million USD",utilities
Florent Menegaux,france,21.983 Billion USD,22.792 Billion USD,31.126 Billion USD,michelin,"117,500","26,222 Million USD",consumer cyclical
Benoit Coquart,france,21.989 Billion USD,23.764 Billion USD,31.083 Billion USD,legrand sa,"36,726","7,707 Million USD",industries
Dieter Weisskopf,switzerland,21.060 Billion USD,23.241 Billion USD,31.017 Billion USD,chocoladefabriken lindt & sprungli ag,"13,500","4,874 Million USD",consumer defensive
Johan Torgeby,sweden,21.828 Billion USD,22.339 Billion USD,30.552 Billion USD,skandinaviska enskilda banken ab (publ.),"15,500",0 Million USD,financial services
Theodor Weimer,germany,29.108 Billion USD,31.104 Billion USD,30.349 Billion USD,deutsche borse,"7,238","4,899 Million USD",financial services
Ken Murphy,uk,32.996 Billion USD,30.989 Billion USD,30.115 Billion USD,tesco,"367,321","72,299 Million USD",consumer defensive
Gerteric Lindquist,sweden,10.359 Billion USD,16.710 Billion USD,29.791 Billion USD,nibe industrier ab (publ),"18,700","3,237 Million USD",industries
Christian Mumenthaler,switzerland,32.403 Billion USD,26.019 Billion USD,29.683 Billion USD,swiss re,"13,189","46,001 Million USD",financial services
Christian Sewing,germany,16.857 Billion USD,22.724 Billion USD,29.519 Billion USD,deutsche bank,"84,512","25,306 Million USD",financial services
Helena Hedblom,sweden,15.363 Billion USD,21.320 Billion USD,29.023 Billion USD,epiroc ab (publ),"13,840","4,163 Million USD",industries
Urs Schaeppi,switzerland,27.457 Billion USD,27.664 Billion USD,28.912 Billion USD,swisscom ag,"19,062","11,888 Million USD",communication services
Carl Hess,uk,25.967 Billion USD,27.148 Billion USD,28.854 Billion USD,willis towers watson public company,"46,600","8,998 Million USD",financial services
Christian Buhl,switzerland,20.337 Billion USD,22.682 Billion USD,28.741 Billion USD,geberit ag,"11,908","3,678 Million USD",industries
Nancy McKinstry,netherlands,19.591 Billion USD,22.070 Billion USD,28.489 Billion USD,wolters kluwer,"19,169","5,258 Million USD",communication services
Stephane Richard,france,39.294 Billion USD,31.509 Billion USD,28.197 Billion USD,orange s.a,"142,150","46,859 Million USD",communication services
Henrik Andersen,denmark,19.452 Billion USD,46.277 Billion USD,28.082 Billion USD,vestas wind systems a/s,"29,378","17,177 Million USD",industries
Thomas Oetterli,switzerland,26.586 Billion USD,29.319 Billion USD,28.054 Billion USD,schindler holding ag,"66,674","11,944 Million USD",industries
Martin Carlesund,sweden,5.793 Billion USD,21.440 Billion USD,27.955 Billion USD,evolution gaming group ab (publ),"5,054","1,177 Million USD",consumer cyclical
Torbjorn Magnusson,finland,24.582 Billion USD,23.379 Billion USD,27.885 Billion USD,sampo oyj,"9,813","14,823 Million USD",financial services
Edmond Scanlon,ireland,22.023 Billion USD,28.633 Billion USD,27.278 Billion USD,kerry group,"26,000","8,100 Million USD",consumer defensive
Stephan Sturm,germany,37.793 Billion USD,30.278 Billion USD,27.032 Billion USD,fresenius se,"311,269","41,347 Million USD",healthcare
Peter Jackson,ireland,20.132 Billion USD,36.058 Billion USD,26.926 Billion USD,flutter entertainment,"14,802","7,901 Million USD",consumer cyclical
Dolf van den Brink,netherlands,27.795 Billion USD,26.960 Billion USD,26.890 Billion USD,heineken holding,"84,000","24,179 Million USD",consumer defensive
Markus Krebber,germany,18.740 Billion USD,28.467 Billion USD,26.492 Billion USD,rwe,"19,498","24,519 Million USD",utilities
Damian Paul Gammell,uk,23.649 Billion USD,22.085 Billion USD,26.436 Billion USD,coca-cola europacific partners plc,"33,200","15,167 Million USD",consumer defensive
Michael O'Leary,ireland,18.407 Billion USD,25.366 Billion USD,26.286 Billion USD,ryanair holdings,"15,016","4,799 Million USD",industries
Markus Rauramo,finland,22.066 Billion USD,21.309 Billion USD,26.201 Billion USD,fortum oyj,"19,933","123,860 Million USD",utilities
Daniel Julien,france,14.376 Billion USD,20.518 Billion USD,26.036 Billion USD,teleperformance se,"383,233","7,841 Million USD",industries
Magdalena Martullo-Blocher,switzerland,15.334 Billion USD,22.332 Billion USD,25.924 Billion USD,ems-chemie holding ag,"2,653","2,339 Million USD",basic materials
Antoine Frerot,france,15.152 Billion USD,13.786 Billion USD,25.903 Billion USD,veolia environnement,"171,450","28,500 Million USD",industries
Jose Maria Alvarez-Pallete Lopez,spain,37.098 Billion USD,20.749 Billion USD,25.322 Billion USD,telefonica sa,"114,042","43,283 Million USD",communication services
NULL,ireland,14.142 Billion USD,14.254 Billion USD,25.068 Billion USD,kingspan group,"15,500","7,160 Million USD",industries
Nigel Wilson,uk,24.020 Billion USD,21.720 Billion USD,24.974 Billion USD,legal & general group,"13,876","58,239 Million USD",financial services
Maurici Lucena Betriu,spain,28.411 Billion USD,25.974 Billion USD,24.610 Billion USD,aena s.m.e,"8,771","2,554 Million USD",industries
Cees 't Hart,denmark,21.859 Billion USD,23.423 Billion USD,24.428 Billion USD,carlsberg a/s,"40,010","9,862 Million USD",consumer defensive
Thomas Gottstein,switzerland,33.894 Billion USD,31.600 Billion USD,24.376 Billion USD,credit suisse group,"48,770",0 Million USD,financial services
Niklas Oestberg,germany,14.969 Billion USD,30.812 Billion USD,24.268 Billion USD,delivery hero se,"22,000","5,853 Million USD",online food delivery
Frankie Ng,switzerland,20.839 Billion USD,23.990 Billion USD,24.206 Billion USD,sgs sa,"94,000","6,809 Million USD",industries
Vicente Reynal,ireland,14.759 Billion USD,19.028 Billion USD,24.170 Billion USD,ingersoll-rand (ireland),"15,900","5,150 Million USD",industries
Johan Hjertonsson,sweden,10.218 Billion USD,15.444 Billion USD,24.169 Billion USD,investment ab latour (publ),NULL,"1,950 Million USD",financial services
Gonzalo Gortazar Rotaeche,spain,19.263 Billion USD,15.292 Billion USD,24.065 Billion USD,caixabank,"36,597",0 Million USD,financial services
NULL,uk,24.674 Billion USD,21.512 Billion USD,24.023 Billion USD,bae systems,"90,500","25,553 Million USD",industries
Philip Jansen,uk,26.305 Billion USD,17.934 Billion USD,23.734 Billion USD,bt group,"99,700","24,558 Million USD",communication services
Jan G. J. van de Winkel,denmark,14.474 Billion USD,26.503 Billion USD,23.695 Billion USD,genmab a/s,781,"1,255 Million USD",healthcare
NULL,germany,23.664 Billion USD,18.937 Billion USD,23.677 Billion USD,hannover ruck se,"3,073","28,844 Million USD",financial services
Alistair Phillips-Davies,uk,19.795 Billion USD,21.373 Billion USD,23.668 Billion USD,sse plc,"12,489","10,139 Million USD",utilities
NULL,uk,10.630 Billion USD,24.444 Billion USD,23.531 Billion USD,scottish mortgage investment trust,NULL,"-2,986 Million USD",financial services
Dan Carestio,ireland,12.904 Billion USD,16.172 Billion USD,23.486 Billion USD,steris,"13,000","4,584 Million USD",healthcare
