,name,market_capitalization_usd,price,country
141,keyence,93710000000.0,386.0,japan
142,mondelez,92880000000.0,68.0,usa
143,cigna,92540000000.0,303.0,usa
144,porsche,91830000000.0,101.0,germany
145,citigroup,91630000000.0,47.0,usa
146,british american tobacco,90970000000.0,41.0,uk
147,csl,90620000000.0,188.0,australia
148,allianz,89930000000.0,223.0,germany
149,mitsubishi ufj financial,89730000000.0,7.0,japan
150,inditex,89720000000.0,14.0,spain
151,applied materials,88010000000.0,104.0,usa
152,paypal,87180000000.0,76.0,usa
153,merck kgaa,85660000000.0,197.0,germany
154,marsh & mclennan companies,84790000000.0,171.0,usa
155,booking holdings (booking.com),84530000000.0,2179.0,usa
156,analog devices,84290000000.0,166.0,usa
157,schneider electric,83630000000.0,149.0,france
158,glencore,83550000000.0,6.0,switzerland
159,canadian national railway,83530000000.0,122.0,canada
160,altria group,83240000000.0,46.0,usa
161,enbridge,82670000000.0,41.0,canada
162,essilorluxottica,82470000000.0,185.0,france
163,vale,82360000000.0,18.0,brazil
164,lg energy solution,81540000000.0,349.0,s. korea
165,duke energy,80990000000.0,105.0,usa
166,compagnie financière richemont,80710000000.0,142.0,switzerland
167,al rajhi bank,80610000000.0,20.0,s. arabia
168,regeneron pharmaceuticals,80270000000.0,737.0,usa
169,northrop grumman,80250000000.0,521.0,usa
170,progressive,78740000000.0,135.0,usa
171,general electric,78600000000.0,72.0,usa
172,air liquide,78060000000.0,149.0,france
173,southern company,77980000000.0,72.0,usa
174,volkswagen,77720000000.0,135.0,germany
175,schlumberger,77280000000.0,55.0,usa
176,bnp paribas,76770000000.0,62.0,france
177,china shenhua energy,76120000000.0,4.0,china
178,infosys,75410000000.0,18.0,india
179,eog resources,74870000000.0,127.0,usa
180,mercedes-benz,74850000000.0,70.0,germany
181,vertex pharmaceuticals,74490000000.0,290.0,usa
182,icici bank,74440000000.0,21.0,india
183,servicenow,74030000000.0,367.0,usa
184,becton dickinson,73720000000.0,259.0,usa
185,target,73710000000.0,160.0,usa
186,hindustan unilever,73330000000.0,31.0,india
187,sinopec,72940000000.0,1.0,china
188,canadian pacific railway,72110000000.0,78.0,canada
189,sabic,72040000000.0,24.0,s. arabia
190,hca healthcare,71950000000.0,255.0,usa
191,glaxosmithkline,71840000000.0,35.0,uk
192,u.s. bancorp,70860000000.0,46.0,usa
193,zurich insurance group,70360000000.0,474.0,switzerland
194,iberdrola,70180000000.0,11.0,spain
195,3m,70040000000.0,127.0,usa
196,illinois tool works,69710000000.0,227.0,usa
197,moderna,69280000000.0,180.0,usa
198,china yangtze power,69050000000.0,3.0,china
199,air products and chemicals,68850000000.0,310.0,usa
200,zoetis,68810000000.0,148.0,usa
201,axa,68460000000.0,29.0,france
202,general dynamics,68150000000.0,248.0,usa
203,kering,67890000000.0,555.0,france
204,csx corporation,67690000000.0,32.0,usa
205,bank of montreal,67440000000.0,95.0,canada
206,china tourism group duty free,67360000000.0,33.0,china
207,petrobras,67040000000.0,10.0,brazil
208,colgate-palmolive,66800000000.0,80.0,usa
209,boston scientific,66350000000.0,46.0,usa
210,pnc financial services,66220000000.0,164.0,usa
211,dbs group,65960000000.0,26.0,singapore
212,bank central asia,65570000000.0,1.0,indonesia
213,waste management,65460000000.0,159.0,usa
214,kddi,65020000000.0,30.0,japan
215,state bank of india,64930000000.0,7.0,india
216,fiserv,64880000000.0,102.0,usa
217,walmex,64770000000.0,4.0,mexico
218,eaton,64060000000.0,161.0,ireland
219,softbank,63790000000.0,44.0,japan
220,cnooc,63700000000.0,1.0,china
221,aon,63570000000.0,307.0,uk
222,ubs,63420000000.0,20.0,switzerland
223,national australia bank,63360000000.0,20.0,australia
224,nongfu spring,63190000000.0,6.0,china
225,postal savings bank of china,63120000000.0,1.0,china
226,crown castle,63090000000.0,146.0,usa
227,cme group,62980000000.0,175.0,usa
228,equinix,62360000000.0,674.0,usa
229,humana,62350000000.0,493.0,usa
230,bmw,62000000000.0,94.0,germany
231,micron technology,61940000000.0,57.0,usa
232,america movil,61210000000.0,19.0,mexico
233,sherwin-williams,61100000000.0,236.0,usa
234,fast retailing,60960000000.0,597.0,japan
235,abb,60960000000.0,33.0,switzerland
236,truist financial,60840000000.0,46.0,usa
237,canadian natural resources,60780000000.0,55.0,canada
238,lam research,60720000000.0,445.0,usa
239,activision blizzard,60720000000.0,78.0,usa
240,freeport-mcmoran,60430000000.0,42.0,usa
241,scotiabank,60040000000.0,50.0,canada
242,enel,60000000000.0,6.0,italy
243,norfolk southern,59210000000.0,256.0,usa
244,hong kong exchanges & clearing,58800000000.0,46.0,hong kong
245,the saudi national bank,58720000000.0,13.0,s. arabia
246,intercontinental exchange,58590000000.0,105.0,usa
247,daiichi sankyō,58440000000.0,30.0,japan
248,vinci,58430000000.0,104.0,france
249,occidental petroleum,57940000000.0,64.0,usa
250,metlife,57730000000.0,74.0,usa
251,bharti airtel,57490000000.0,10.0,india
252,housing development finance corporation,57440000000.0,31.0,india
253,charter communications,57240000000.0,368.0,usa
254,blackstone group,57190000000.0,79.0,usa
255,emerson,57030000000.0,98.0,usa
256,kla,56890000000.0,398.0,usa
257,atlas copco,56740000000.0,11.0,sweden
258,investor ab,56500000000.0,18.0,sweden
259,thomson reuters,56320000000.0,117.0,canada
260,heineken,56150000000.0,98.0,netherlands
261,mindray,56050000000.0,46.0,china
262,airbnb,56040000000.0,89.0,usa
263,anglo american,55910000000.0,42.0,uk
264,kkr & co.,55710000000.0,48.0,usa
265,siemens healthineers,55640000000.0,50.0,germany
266,relx,55620000000.0,28.0,uk
267,dollar general,55570000000.0,249.0,usa
268,pioneer natural resources,55460000000.0,233.0,usa
269,sumitomo mitsui financial group,55320000000.0,8.0,japan
270,westpac banking,55250000000.0,16.0,australia
271,verbund ag,55080000000.0,79.0,austria
272,safran,55050000000.0,129.0,france
273,china telecom,55010000000.0,0.0,china
274,midea,54920000000.0,8.0,china
275,marathon petroleum,54740000000.0,117.0,usa
276,mckesson,54730000000.0,386.0,usa
277,industrial bank,54650000000.0,3.0,china
278,santander,54500000000.0,3.0,spain
279,enterprise products,54380000000.0,25.0,usa
280,life insurance corporation of india (lic),54200000000.0,9.0,india
281,vmware,53660000000.0,126.0,usa
282,united heavy machinery,53580000000.0,63.0,russia
283,netease,53530000000.0,82.0,china
284,monster beverage,53480000000.0,102.0,usa
285,foshan haitian flavouring and food,53410000000.0,12.0,china
286,moody's,53070000000.0,290.0,usa
287,adani enterprises,52810000000.0,46.0,india
288,o'reilly automotive,52720000000.0,843.0,usa
289,uber,52650000000.0,26.0,usa
290,recruit,52200000000.0,33.0,japan
291,kraft heinz,52160000000.0,43.0,usa
292,southern copper,52100000000.0,67.0,usa
293,bayer,51980000000.0,53.0,germany
294,eni,51960000000.0,30.0,italy
295,dominion energy,51550000000.0,62.0,usa
296,keurig dr pepper,51350000000.0,36.0,usa
297,basf,51060000000.0,56.0,germany
298,general motors,51010000000.0,36.0,usa
299,pernod ricard,50810000000.0,196.0,france
300,general mills,50680000000.0,86.0,usa
301,ford,50570000000.0,13.0,usa
302,itc,50370000000.0,4.0,india
303,reckitt benckiser,49980000000.0,70.0,uk
304,saudi telecom company,49980000000.0,10.0,s. arabia
305,phillips 66,49950000000.0,106.0,usa
306,stellantis,49640000000.0,15.0,netherlands
307,american electric power,49600000000.0,97.0,usa
308,valero energy,49170000000.0,128.0,usa
309,edf (electricité de france),49100000000.0,13.0,france
310,shin-etsu chemical,48900000000.0,121.0,japan
311,synopsys,48850000000.0,321.0,usa
312,public storage,48740000000.0,277.0,usa
313,sempra energy,48570000000.0,155.0,usa
314,bank of communications,48560000000.0,1.0,china
315,marriott international,48550000000.0,153.0,usa
316,dassault systèmes,48520000000.0,37.0,france
317,takeda pharmaceutical,48430000000.0,16.0,japan
318,ing,48210000000.0,13.0,netherlands
319,tokyo electron,48100000000.0,309.0,japan
320,nintendo,48040000000.0,41.0,japan
321,american international group,47950000000.0,65.0,usa
322,anz bank,47870000000.0,16.0,australia
323,munich re (münchener rück),47750000000.0,342.0,germany
324,edwards lifesciences,47610000000.0,77.0,usa
325,bank rakyat indonesia,47510000000.0,0.0,indonesia
326,deutsche post,47410000000.0,39.0,germany
327,adani total gas,47370000000.0,43.0,india
328,archer daniels midland (adm),47210000000.0,86.0,usa
329,london stock exchange,47100000000.0,85.0,uk
330,roper technologies,47050000000.0,444.0,usa
331,longi green energy technology,47020000000.0,6.0,china
332,fedex,46880000000.0,186.0,usa
333,shopify,46870000000.0,37.0,canada
334,national grid,46860000000.0,64.0,uk
335,amphenol,46750000000.0,79.0,usa
336,kimberly-clark,46720000000.0,138.0,usa
337,autozone,46660000000.0,2487.0,usa
338,oriental land,46430000000.0,142.0,japan
339,itaú unibanco,46290000000.0,5.0,brazil
340,the hershey company,46270000000.0,226.0,usa
341,hikvision,46260000000.0,5.0,china
342,hitachi,46120000000.0,49.0,japan
343,johnson controls,46110000000.0,67.0,ireland
344,mitsubishi corporation,46000000000.0,32.0,japan
345,baidu,45970000000.0,133.0,china
346,alimentation couche-tard,45950000000.0,46.0,canada
347,aflac,45910000000.0,74.0,usa
348,samsung biologics,45650000000.0,634.0,s. korea
349,woodside energy,45590000000.0,24.0,australia
350,budweiser apac,45590000000.0,3.0,hong kong
351,dexcom,45450000000.0,116.0,usa
352,the travelers companies,45430000000.0,194.0,usa
353,maaden,45400000000.0,18.0,s. arabia
354,fortescue,45330000000.0,15.0,australia
355,intesa sanpaolo,45090000000.0,2.0,italy
356,macquarie,45010000000.0,116.0,australia
357,cintas,44900000000.0,442.0,usa
358,universal music group,44870000000.0,25.0,netherlands
359,sk hynix,44850000000.0,65.0,s. korea
360,centene,44540000000.0,79.0,usa
361,simon property group,44480000000.0,119.0,usa
362,daikin,44460000000.0,152.0,japan
363,foxconn (hon hai precision industry),44420000000.0,3.0,taiwan
364,hess,44300000000.0,144.0,usa
365,adyen,44140000000.0,1380.0,netherlands
366,motorola solutions,44110000000.0,264.0,usa
367,bayan resources,43950000000.0,1.0,indonesia
368,mercadolibre,43930000000.0,873.0,argentina
369,bajaj finance,43860000000.0,72.0,india
370,cadence design systems,43790000000.0,160.0,usa
371,agilent technologies,43720000000.0,148.0,usa
372,itōchū shōji,43640000000.0,30.0,japan
373,kuaishou technology,43590000000.0,10.0,china
374,corteva,43590000000.0,61.0,usa
375,exelon corporation,43390000000.0,44.0,usa
376,mitsui bussan,43200000000.0,28.0,japan
377,kotak mahindra bank,42990000000.0,22.0,india
378,wanhua chemical,42750000000.0,14.0,china
379,ambev,42650000000.0,3.0,brazil
380,suncor energy,42600000000.0,31.0,canada
381,ecolab,42570000000.0,149.0,usa
382,s.f. express,42410000000.0,9.0,china
383,paychex,42330000000.0,117.0,usa
384,bce,42080000000.0,46.0,canada
385,banco santander brasil,42060000000.0,6.0,brazil
386,lululemon athletica,41980000000.0,329.0,canada
387,ross stores,41860000000.0,122.0,usa
388,newmont,41820000000.0,53.0,usa
389,prudential,41780000000.0,30.0,uk
390,ocbc bank,41770000000.0,9.0,singapore
391,kinder morgan,41760000000.0,19.0,usa
392,infineon,41750000000.0,32.0,germany
393,citic securities,41690000000.0,3.0,china
394,workday,41410000000.0,161.0,usa
395,nxp semiconductors,41360000000.0,160.0,netherlands
396,block,41260000000.0,69.0,usa
397,ping an bank,41230000000.0,2.0,china
398,fidelity national information services,41120000000.0,69.0,usa
399,ferrari,41110000000.0,224.0,italy
400,trane technologies,41100000000.0,179.0,ireland
401,tokio marine,40920000000.0,20.0,japan
402,chugai pharmaceutical,40800000000.0,25.0,japan
403,palo alto networks,40770000000.0,135.0,usa
404,nordea bank,40750000000.0,11.0,finland
405,tc energy,40620000000.0,40.0,canada
406,republic services,40560000000.0,128.0,usa
407,honda,40530000000.0,24.0,japan
408,sun hung kai properties,40500000000.0,14.0,hong kong
409,nutrien,40500000000.0,77.0,canada
410,arthur j. gallagher & co.,40480000000.0,192.0,usa
411,autodesk,40380000000.0,187.0,usa
412,biogen,40210000000.0,279.0,usa
413,realty income,40180000000.0,64.0,usa
414,devon energy,40020000000.0,61.0,usa
415,microchip technology,40020000000.0,73.0,usa
416,banco bilbao vizcaya argentaria,40020000000.0,7.0,spain
417,snowflake,39890000000.0,124.0,usa
418,compass group,39880000000.0,23.0,uk
419,sysco,39880000000.0,79.0,usa
420,ørsted,39690000000.0,91.0,denmark
421,williams companies,39660000000.0,33.0,usa
422,parker-hannifin,39610000000.0,309.0,usa
423,zijin mining,39580000000.0,2.0,china
424,constellation brands,39520000000.0,214.0,usa
425,las vegas sands,39400000000.0,52.0,usa
426,lloyds banking group,39360000000.0,2.0,uk
427,l3harris technologies,39250000000.0,206.0,usa
428,east money information,39120000000.0,3.0,china
429,naspers,39070000000.0,37.0,south africa
430,xcel energy,39010000000.0,71.0,usa
431,chipotle mexican grill,38860000000.0,1402.0,usa
432,bank of new york mellon,38750000000.0,48.0,usa
433,dow,38720000000.0,55.0,usa
434,apollo global management,38590000000.0,64.0,usa
435,cibc,38430000000.0,42.0,canada
436,uob,38400000000.0,23.0,singapore
437,volvo group,38370000000.0,19.0,sweden
438,jardine matheson,38340000000.0,53.0,hong kong
439,te connectivity,38190000000.0,120.0,switzerland
440,iqvia,38140000000.0,205.0,usa
441,sika,38060000000.0,249.0,switzerland
442,fortinet,38030000000.0,49.0,usa
443,muyuan foods,37770000000.0,7.0,china
444,energy transfer partners,37520000000.0,12.0,usa
445,msci,37500000000.0,469.0,usa
446,allstate,37490000000.0,141.0,usa
447,maersk,37350000000.0,2135.0,denmark
448,bank of china (hong kong),37340000000.0,4.0,hong kong
449,wuxi apptec,37230000000.0,12.0,china
450,prudential financial,37170000000.0,101.0,usa
451,idexx laboratories,37080000000.0,448.0,usa
452,capital one,37050000000.0,97.0,usa
453,mizuho financial group,37000000000.0,3.0,japan
454,xiaomi,36970000000.0,1.0,china
455,nucor,36920000000.0,144.0,usa
456,denso,36850000000.0,49.0,japan
457,7-eleven,36780000000.0,42.0,japan
458,yum! brands,36700000000.0,130.0,usa
459,halliburton,36510000000.0,40.0,usa
460,yanghe,36500000000.0,24.0,china
461,cenovus energy,36480000000.0,19.0,canada
462,jiangsu hengrui medicine,36440000000.0,6.0,china
463,biontech,36420000000.0,150.0,germany
464,lonza,36270000000.0,489.0,switzerland
465,wuxi biologics,36230000000.0,17.0,china
466,carrier,36060000000.0,43.0,usa
467,anta sports,36040000000.0,13.0,china
468,wesfarmers,36010000000.0,32.0,australia
469,dupont de nemours,36000000000.0,72.0,usa
470,haleon,35960000000.0,8.0,uk
471,neste,35680000000.0,46.0,finland
472,cheniere energy,35520000000.0,143.0,usa
473,larsen & toubro,35520000000.0,25.0,india
474,alcon,35460000000.0,72.0,switzerland
475,transdigm,35290000000.0,649.0,usa
476,adani green energy,35270000000.0,22.0,india
477,hilton worldwide,35220000000.0,130.0,usa
478,paccar,34880000000.0,100.0,usa
479,axis bank,34840000000.0,11.0,india
480,japan tobacco,34740000000.0,20.0,japan
481,consolidated edison,34710000000.0,98.0,usa
482,manulife financial,34650000000.0,18.0,canada
483,asian paints,34600000000.0,36.0,india
484,stmicroelectronics,34590000000.0,38.0,switzerland
485,arista networks,34550000000.0,112.0,usa
486,cummins,34390000000.0,244.0,usa
487,lg chem,34370000000.0,466.0,s. korea
488,constellation software,34240000000.0,1616.0,canada
489,mediatek,34210000000.0,22.0,taiwan
490,electronic arts,34200000000.0,124.0,usa
491,ameriprise financial,34180000000.0,321.0,usa
492,waste connections,34150000000.0,133.0,usa
493,adani transmission,34090000000.0,31.0,india
494,otis worldwide,34090000000.0,82.0,usa
495,haier smart home,33990000000.0,4.0,china
496,hcl technologies,33950000000.0,13.0,india
497,hoya,33790000000.0,95.0,japan
498,barrick gold,33770000000.0,19.0,canada
499,hapag-lloyd,33760000000.0,186.0,germany
500,pacific gas and electric,33720000000.0,16.0,usa
501,mplx,33690000000.0,34.0,usa
502,china state construction engineering,33640000000.0,1.0,china
503,barclays,33560000000.0,8.0,uk
504,amerisourcebergen,33480000000.0,166.0,usa
505,crédit agricole,33470000000.0,11.0,france
506,danone,33430000000.0,52.0,france
507,old dominion freight line,33220000000.0,301.0,usa
508,dsv,33180000000.0,151.0,denmark
509,mtr corporation,33140000000.0,5.0,hong kong
510,ametek,33030000000.0,144.0,usa
511,natwest group,32980000000.0,7.0,uk
512,welltower,32970000000.0,70.0,usa
513,engie,32770000000.0,14.0,france
514,kroger,32740000000.0,46.0,usa
515,bae systems,32720000000.0,11.0,uk
516,cement roadstone holding,32480000000.0,44.0,ireland
517,holcim group,32440000000.0,53.0,switzerland
518,mettler-toledo,32310000000.0,1450.0,usa
519,dollar tree,32250000000.0,146.0,usa
520,d. r. horton,32240000000.0,94.0,usa
521,hang seng bank,32200000000.0,17.0,hong kong
522,murata manufacturing (murata seisakusho),32120000000.0,51.0,japan
523,aier eye hospital,32110000000.0,4.0,china
524,illumina,32020000000.0,202.0,usa
525,grupo méxico,31990000000.0,4.0,mexico
526,airports of thailand,31930000000.0,2.0,thailand
527,vanke,31920000000.0,2.0,china
528,enphase energy,31750000000.0,234.0,usa
529,citic bank,31750000000.0,1.0,china
530,japan post bank,31740000000.0,8.0,japan
531,walgreens boots alliance,31570000000.0,37.0,usa
532,sba communications,31460000000.0,291.0,usa
533,china pacific insurance,31390000000.0,4.0,china
534,experian,31380000000.0,34.0,ireland
535,keysight,31360000000.0,175.0,usa
536,costar group,31360000000.0,77.0,usa
537,bank of ningbo,31310000000.0,5.0,china
538,shanghai pudong development bank,31310000000.0,1.0,china
539,china overseas land & investment,31300000000.0,3.0,hong kong
540,sea (garena),31280000000.0,56.0,singapore
541,pseg,31250000000.0,63.0,usa
542,singtel,31070000000.0,2.0,singapore
543,atlassian,30980000000.0,121.0,australia
544,telstra,30970000000.0,3.0,australia
545,citic limited,30940000000.0,1.0,china
546,brown forman,30860000000.0,64.0,usa
547,marvell technology group,30800000000.0,36.0,usa
548,cognizant technology solutions,30700000000.0,60.0,usa
549,interactive brokers,30690000000.0,74.0,usa
550,rockwell automation,30690000000.0,268.0,usa
551,caixabank,30690000000.0,4.0,spain
552,maruti suzuki india,30670000000.0,102.0,india
553,vici properties,30620000000.0,32.0,usa
554,resmed,30590000000.0,209.0,usa
555,samsung sdi,30580000000.0,217.0,s. korea
556,banco bradesco,30480000000.0,3.0,brazil
557,the people's insurance company (picc),30390000000.0,1.0,china
558,deutsche börse,30380000000.0,165.0,germany
559,dell,30370000000.0,42.0,usa
560,people’s insurance company of china,30360000000.0,0.0,china
561,nasdaq,30280000000.0,62.0,usa
562,baker hughes,30210000000.0,30.0,usa
563,ppg industries,30200000000.0,129.0,usa
564,dmart,30150000000.0,47.0,india
565,dnb,30020000000.0,19.0,norway
566,unicredit,29970000000.0,15.0,italy
567,corning,29920000000.0,35.0,usa
568,wec energy group,29890000000.0,95.0,usa
569,eversource energy,29880000000.0,86.0,usa
570,luxshare precision,29830000000.0,4.0,china
571,weg on,29820000000.0,7.0,brazil
572,digital realty,29780000000.0,101.0,usa
573,great wall motors,29760000000.0,4.0,china
574,oneok,29750000000.0,67.0,usa
575,hexagon,29730000000.0,11.0,sweden
576,copart,29710000000.0,62.0,usa
577,restaurant brands international,29710000000.0,66.0,canada
578,capgemini,29680000000.0,174.0,france
579,state street corporation,29600000000.0,81.0,usa
580,coupang,29580000000.0,17.0,s. korea
581,nidec,29540000000.0,51.0,japan
582,vodafone,29340000000.0,11.0,uk
583,lyondellbasell,29330000000.0,90.0,usa
584,hyundai,29320000000.0,31.0,s. korea
585,sun pharmaceutical,29310000000.0,12.0,india
586,yili group,29290000000.0,5.0,china
587,swiss re,29280000000.0,101.0,switzerland
588,swisscom,29220000000.0,564.0,switzerland
589,chunghwa telecom,29190000000.0,38.0,taiwan
590,ferguson,29080000000.0,140.0,uk
591,bajaj finserv,29070000000.0,17.0,india
592,japan post holdings,29070000000.0,8.0,japan
593,telus,28970000000.0,20.0,canada
594,givaudan,28880000000.0,3130.0,switzerland
595,generali,28780000000.0,18.0,italy
596,american water works,28770000000.0,158.0,usa
597,globalfoundries,28750000000.0,53.0,usa
598,fomento económico mexicano,28700000000.0,80.0,mexico
599,loblaw companies,28680000000.0,89.0,canada
600,henkel,28610000000.0,69.0,germany
601,verisk analytics,28600000000.0,183.0,usa
602,galaxy entertainment,28540000000.0,7.0,hong kong
603,ahold delhaize,28460000000.0,29.0,netherlands
604,global payments,28430000000.0,105.0,usa
605,imperial oil,28430000000.0,48.0,canada
606,genmab,28350000000.0,43.0,denmark
607,fanuc,28330000000.0,148.0,japan
608,bank mandiri,28320000000.0,1.0,indonesia
609,compagnie de saint-gobain,28250000000.0,55.0,france
610,discover financial services,28150000000.0,103.0,usa
611,orange,28090000000.0,11.0,france
612,international flavors & fragrances,28040000000.0,110.0,usa
613,kbc,28000000000.0,67.0,belgium
614,sun life financial,28000000000.0,47.0,canada
615,jd health,28000000000.0,9.0,china
616,w. w. grainger,27920000000.0,553.0,usa
617,gree electric appliances,27910000000.0,5.0,china
618,rwe,27860000000.0,41.0,germany
619,hp,27850000000.0,28.0,usa
620,vestas wind systems,27850000000.0,28.0,denmark
621,kühne + nagel,27810000000.0,233.0,switzerland
622,smc corp,27750000000.0,425.0,japan
623,alnylam pharmaceuticals,27680000000.0,225.0,usa
624,fastenal,27590000000.0,48.0,usa
625,kone,27490000000.0,53.0,finland
626,nokia,27430000000.0,5.0,finland
627,willis towers watson,27430000000.0,253.0,uk
628,transurban,27300000000.0,9.0,australia
629,constellation energy,27300000000.0,84.0,usa
630,ptt pcl,27300000000.0,1.0,thailand
631,titan company,27290000000.0,31.0,india
632,woolworths group,27290000000.0,22.0,australia
633,lennar,27260000000.0,96.0,usa
