,name,rank,marketcap,country,share_price,change1d,change1y,categories
155,"StepStone Group
",3220,$2.95 B,usa,$29.07,1.47%,-21.77%,financial-services investment 
156,"Sumitomo Chemical
India",3221,$2.95 B,india,$5.91,-0.25%,11.30%,chemicals 
157,Immunocore,3222,$2.95 B,united-kingdom,$61.60,-0.28%,168.41%,biotech pharmaceuticals 
158,Dycom Industries,3224,$2.95 B,usa,$99.82,2.39%,3.52%,engineering professional-services 
159,Cvent,3230,$2.93 B,usa,$6.02,1.86%,-13.63%,software tech 
160,"Brink's
",3216,$2.95 B,usa,$63.65,-0.42%,-12.56%,None
161,Harmony Biosciences,3219,$2.95 B,usa,$49.76,1.48%,35.67%,pharmaceuticals biotech 
162,BancFirst,3213,$2.96 B,usa,$90.12,-0.55%,16.24%,banks financial-services 
163,Viva Energy,3214,$2.95 B,australia,$1.91,-0.36%,12.35%,oil-gas energy 
164,Prospect Capital,3212,$2.96 B,usa,$7.46,0.47%,-14.90%,investment 
165,MaxLinear,3210,$2.96 B,usa,$37.77,2.05%,-42.72%,None
166,"SMA Solar Technology
",3200,$2.98 B,germany,$85.90,-0.25%,123.23%,None
167,HighPeak Energy,3211,$2.96 B,usa,$26.20,1.74%,40.32%,oil-gas energy 
168,Prothena,3215,$2.95 B,ireland,$57.28,2.62%,44.90%,pharmaceuticals biotech 
169,Siegfried Holding,3205,$2.97 B,switzerland,$700.50,-0.23%,-17.13%,pharmaceuticals biotech 
170,Kinaxis,3199,$2.98 B,canada,$107.23,2.38%,-15.16%,software tech 
171,Intercorp Financial Services,3204,$2.97 B,None,$25.81,0.23%,-18.53%,financial-services insurance 
172,Shangri-La,3202,$2.98 B,hong-kong,$0.83,-0.15%,-1.19%,hotels travel 
173,EVO Payments,3203,$2.98 B,usa,$33.90,0.06%,41.54%,financial-services tech 
174,"Suntec REIT
",3206,$2.97 B,singapore,$1.04,0.00%,-8.77%,real-estate investment reit 
175,InMode,3209,$2.96 B,israel,$35.72,1.25%,-28.56%,None
176,CONMED,3208,$2.96 B,usa,$97.40,1.45%,-27.98%,medical-devices 
177,Growthpoint Properties,3207,$2.97 B,south-africa,$0.87,1.03%,-1.14%,real-estate investment reit 
178,Yuhan,3190,$3.01 B,south-korea,$42.84,-0.19%,-15.67%,pharmaceuticals biotech chemicals 
179,"GMR Group
",3188,$3.01 B,india,$0.50,1.12%,-16.67%,None
180,"Papa John's Pizza
",3198,$2.98 B,usa,$84.58,1.04%,-28.41%,pizza food restaurant-chains 
181,Hisense Visual Technology,3183,$3.02 B,china,$2.31,-0.32%,-5.33%,electronics tech tech-hardware 
182,Graham Holdings,3185,$3.02 B,usa,$629.32,0.49%,-0.54%,media-press 
183,Freshpet,3184,$3.02 B,usa,$62.93,-0.47%,-31.02%,food 
184,Viscofan,3194,$3.00 B,spain,$65.11,-1.07%,7.27%,None
185,ATS Automation,3197,$2.99 B,canada,$32.63,3.97%,-18.63%,None
186,"Samsung Heavy Industries
",3193,$3.00 B,south-korea,$147.91,0.00%,-7.44%,None
187,Marel,3196,$3.00 B,None,$3.99,1.94%,-38.90%,food 
188,Archaea Energy,3191,$3.01 B,usa,$26.00,0.00%,51.96%,energy renewable-energy 
189,Federal Signal,3187,$3.02 B,usa,$49.82,0.46%,19.07%,None
190,"CNX Resources
",3186,$3.02 B,usa,$16.74,0.48%,6.02%,None
191,Nomad Foods,3195,$3.00 B,united-kingdom,$17.25,-0.12%,-35.00%,food 
192,"PIERER Mobility
",3192,$3.00 B,None,$85.90,1.67%,-15.70%,motorcycle-manufacturers 
193,Mainova,3189,$3.01 B,germany,$548.44,0.00%,-17.13%,utility-companies energy electricity 
194,BIC,3181,$3.02 B,france,$69.18,0.16%,24.18%,None
195,Syngene International,3180,$3.02 B,india,$7.54,1.38%,-10.24%,None
196,Guoco,3175,$3.03 B,hong-kong,$9.22,2.78%,-16.86%,investment 
197,Squarespace,3172,$3.03 B,usa,$22.21,1.93%,-24.84%,tech internet software 
198,Amot Investment,3170,$3.04 B,israel,$6.48,1.47%,-28.16%,real-estate investment 
199,Softcat,3171,$3.04 B,united-kingdom,$15.25,-0.08%,-35.08%,it-security it-services tech 
200,LivaNova,3176,$3.03 B,united-kingdom,$56.66,-0.11%,-33.16%,medical-devices 
201,MultiChoice Group,3169,$3.04 B,south-africa,$7.16,-1.05%,-1.51%,media-press entertainment 
202,"Rajesh Exports
",3182,$3.02 B,india,$10.24,1.34%,-19.94%,retail luxury-goods 
203,"ABM Industries
",3178,$3.02 B,usa,$46.12,0.94%,2.10%,None
204,Vienna Airport,3173,$3.03 B,None,$36.16,-0.45%,12.79%,airports infrastructure 
205,"PJT Partners
",3167,$3.04 B,usa,$76.97,0.48%,5.28%,None
206,"Main Street Capital
",3174,$3.03 B,usa,$39.30,0.28%,-10.86%,None
207,Ingevity,3179,$3.02 B,usa,$80.95,0.85%,9.44%,None
208,"Axsome Therapeutics
",3177,$3.03 B,usa,$69.79,2.35%,144.02%,pharmaceuticals biotech 
209,Texas Capital Bancshares,3168,$3.04 B,usa,$61.06,-1.84%,-8.68%,financial-services banks 
210,Comstock Resources,3165,$3.05 B,usa,$13.06,0.00%,46.91%,oil-gas energy 
211,Kumho Petrochemical,3164,$3.05 B,south-korea,$118.41,-1.35%,-15.95%,chemicals 
212,Privia Health Group,3154,$3.07 B,usa,$26.92,0.88%,22.01%,healthcare 
213,Premium Brands,3155,$3.07 B,canada,$68.61,0.59%,-29.26%,food 
214,Wienerberger,3166,$3.05 B,None,$28.06,-0.31%,-25.57%,building-materials 
215,Sabra Health Care REIT,3160,$3.06 B,usa,$13.26,0.15%,-7.34%,real-estate investment reit 
216,"EPR Properties
",3158,$3.06 B,usa,$40.87,0.10%,-14.14%,None
217,"MakeMyTrip
",3152,$3.08 B,india,$29.27,-0.48%,9.26%,travel internet online-travel tech 
218,Iluka Resources,3151,$3.08 B,australia,$7.25,-0.19%,-8.46%,mining 
219,"ACI Worldwide
",3163,$3.05 B,usa,$27.20,0.68%,-21.29%,None
220,"Hostess Brands
",3161,$3.06 B,usa,$22.86,-0.57%,12.72%,food 
221,Linamar,3156,$3.07 B,canada,$49.56,0.48%,-23.41%,manufacturing 
222,"KB Home
",3157,$3.06 B,usa,$35.86,1.92%,-26.87%,construction 
223,"Santen Pharmaceutical
",3153,$3.07 B,japan,$7.93,1.79%,-34.30%,pharmaceuticals 
224,"Nordic Semiconductor
",3162,$3.05 B,norway,$16.02,-4.15%,-49.54%,semiconductors tech 
225,OVH Groupe,3159,$3.06 B,france,$16.09,-1.20%,-44.44%,internet tech telecommunication software 
226,Ströer,3145,$3.09 B,germany,$54.52,-0.79%,-30.20%,None
227,"AbCellera
",3147,$3.08 B,canada,$10.78,2.32%,7.31%,biotech pharmaceuticals 
228,Eastern Bankshares,3141,$3.09 B,usa,$17.54,-0.68%,-20.42%,banks financial-services 
229,Alvotech,3150,$3.08 B,None,$12.40,0.00%,None,biotech pharmaceuticals 
230,CD Projekt,3140,$3.09 B,poland,$31.03,3.76%,-35.39%,video-games tech 
231,Exxaro Resources,3143,$3.09 B,south-africa,$12.78,0.30%,23.48%,mining coal-mining energy 
232,"Kansai Paint
",3146,$3.08 B,japan,$13.21,2.77%,-37.33%,chemicals paint-and-coating 
233,Lion Corp,3144,$3.09 B,japan,$10.88,-0.99%,-17.45%,consumer-goods 
234,PagSeguro,3148,$3.08 B,brazil,$9.36,3.20%,-58.31%,None
235,AMP Limited,3149,$3.08 B,australia,$0.94,0.37%,34.29%,asset-management investment 
236,National Vision Holdings,3139,$3.09 B,usa,$39.28,0.90%,-0.41%,None
237,LXP Industrial Trust,3142,$3.09 B,usa,$11.20,0.04%,-20.81%,None
238,Ultragenyx,3138,$3.10 B,usa,$44.27,4.16%,-38.56%,pharmaceuticals biotech 
239,"Enel Chile
",3137,$3.10 B,chile,$2.18,1.63%,9.80%,utility-companies electricity energy 
240,"Avista
",3136,$3.10 B,usa,$42.10,-0.71%,-3.55%,None
241,VZ Holding,3132,$3.10 B,switzerland,$79.06,0.55%,-22.84%,asset-management financial-services investment 
242,TripAdvisor,3127,$3.12 B,usa,$22.20,2.35%,-23.34%,online-travel internet 
243,"Tower Bersama Infrastructure
",3124,$3.12 B,indonesia,$0.14,-0.48%,-30.00%,telecommunication 
244,NEXTDC,3134,$3.10 B,australia,$6.78,0.62%,-15.78%,it-services tech 
245,Frontline,3125,$3.12 B,None,$14.04,-0.64%,85.96%,transportation maritime-transportation oil-gas 
246,"Oil India
",3131,$3.11 B,india,$2.87,3.21%,-4.97%,oil-gas energy 
247,Boralex,3130,$3.11 B,canada,$30.28,-0.30%,23.84%,energy renewable-energy electricity 
248,"Cushman & Wakefield
",3122,$3.12 B,usa,$13.86,1.13%,-36.44%,None
249,Moelis & Company,3133,$3.10 B,usa,$45.19,0.67%,-24.10%,financial-services 
250,"Phoenix Mills
",3135,$3.10 B,india,$17.33,-1.60%,27.52%,real-estate 
251,St. Galler Kantonalbank,3126,$3.12 B,switzerland,$522.00,0.10%,6.91%,banks financial-services 
252,Plexus,3123,$3.12 B,usa,$113.05,0.42%,21.74%,None
253,Euronav,3128,$3.11 B,belgium,$15.46,1.21%,66.72%,transportation 
254,Mister Car Wash,3129,$3.11 B,usa,$10.22,0.89%,-38.77%,None
255,Pegasystems,3118,$3.13 B,usa,$38.12,7.02%,-61.70%,software tech 
256,StoneCo,3120,$3.13 B,brazil,$10.02,2.98%,-39.71%,financial-services 
257,Chindata,3108,$3.14 B,china,$8.58,-1.72%,61.58%,it-services tech 
258,Evolent Health,3115,$3.13 B,usa,$31.00,0.47%,22.22%,healthcare 
259,Plains GP,3119,$3.13 B,usa,$13.00,0.97%,8.74%,oil-gas energy 
260,SIG (Semen Indonesia),3113,$3.14 B,indonesia,$0.45,-2.84%,-2.17%,cement building-materials 
261,3M India,3114,$3.13 B,india,$278.52,0.08%,-17.18%,glove-ppe 
262,Asana,3107,$3.15 B,usa,$14.80,3.03%,-75.40%,software tech 
263,Hannon Armstrong,3112,$3.14 B,usa,$35.31,1.82%,-23.55%,None
264,Mr. Cooper Group,3106,$3.15 B,usa,$44.66,0.34%,0.36%,None
265,Cathay General Bancorp,3117,$3.13 B,usa,$42.14,-1.38%,-10.17%,None
266,Braze,3116,$3.13 B,usa,$32.76,2.71%,-47.67%,software tech 
267,"Tata Chemicals
",3121,$3.13 B,india,$12.29,1.19%,-11.20%,chemicals 
268,"Strauss Group
",3111,$3.14 B,israel,$26.48,0.97%,-16.02%,food 
269,Sigma Lithium,3109,$3.14 B,canada,$30.39,2.29%,183.22%,mining 
270,"Equitrans Midstream
",3110,$3.14 B,usa,$7.26,0.90%,-34.78%,None
271,"Stepan Company
",3484,$2.48 B,usa,$111.93,0.22%,-8.02%,None
272,"Globalstar
",3476,$2.50 B,usa,$1.39,2.93%,33.61%,telecommunication aerospace 
273,CASIO,3483,$2.49 B,japan,$10.42,1.58%,-15.63%,electronics manufacturing 
274,QinetiQ,3486,$2.47 B,united-kingdom,$4.22,0.29%,14.05%,defense-contractors 
275,EngageSmart,3102,$3.15 B,usa,$19.08,1.31%,-9.71%,software tech 
276,Encavis,3105,$3.15 B,germany,$19.53,-3.51%,20.18%,renewable-energy energy electricity 
277,"Jumbo S.A.
",3477,$2.50 B,None,$17.89,0.30%,12.16%,retail 
278,IHS Towers,3479,$2.49 B,united-kingdom,$7.53,0.80%,-35.75%,telecommunication infrastructure 
279,SoftwareONE,3482,$2.49 B,switzerland,$15.71,1.53%,-24.00%,software tech 
280,Galapagos NV,3103,$3.15 B,belgium,$47.91,-0.19%,-13.19%,pharmaceuticals biotech 
281,Jamf,3480,$2.49 B,usa,$20.56,2.54%,-40.25%,software tech 
282,Amylyx Pharmaceuticals,3485,$2.48 B,usa,$37.52,0.25%,82.02%,pharmaceuticals biotech 
283,Beach Energy,3481,$2.49 B,australia,$1.09,-2.18%,3.81%,oil-gas energy 
284,NetLink Trust,3475,$2.50 B,singapore,$0.64,0.59%,-12.33%,telecommunication 
285,Carter's,3104,$3.15 B,usa,$82.60,0.71%,-14.25%,clothing retail 
286,SATS,3478,$2.49 B,singapore,$2.22,0.68%,-26.00%,food 
287,"Piper Sandler
",3463,$2.52 B,usa,$141.74,0.38%,-15.32%,banks financial-services investment 
288,Compagnie Plastic Omnium,3472,$2.51 B,france,$17.43,0.50%,-36.62%,automotive-suppliers manufacturing 
289,PagerDuty,3471,$2.51 B,usa,$27.99,0.97%,-9.71%,None
290,WIN Semiconductors,3469,$2.52 B,taiwan,$5.94,0.56%,-51.94%,semiconductors manufacturing tech tech-hardware 
291,Bata India,3468,$2.52 B,india,$19.61,0.56%,-28.56%,footwear 
292,"Corcept Therapeutics
",3465,$2.52 B,usa,$23.45,2.27%,27.10%,pharmaceuticals biotech 
293,ReNew Power,3470,$2.51 B,india,$6.50,3.17%,3.17%,utility-companies renewable-energy energy 
294,"OPC Energy
",3474,$2.50 B,israel,$11.17,1.57%,3.71%,electricity energy 
295,"Revolution Medicines
",3461,$2.53 B,usa,$28.51,4.13%,8.78%,None
296,SSP Group,3467,$2.52 B,united-kingdom,$3.17,1.73%,-18.09%,restaurant-chains food 
