,name,valuation,dateJoined,country,city,industry,investors,founded,stage,totalRaised
12,Nuro,$8.6B,2/11/2019,United States,Mountain View,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital",2016,Series D,$2.132B
13,Tanium,$9B,3/31/2015,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2007,Unattributed VC,$1.171B
14,Pony.ai,$8.5B,7/11/2018,United States,Fremont,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures",2016,Series D,$1.093B
15,SumUp,$8.5B,7/16/2019,United Kingdom,London,Fintech,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2012,Debt - III,$2.03B
16,Chainalysis,$8.6B,11/23/2020,United States,New York,Fintech,"Addition, Benhcmark, Accel",2014,Series F,$536.72M
17,N26,$9.23B,1/10/2019,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2013,Series E,$1.722B
18,HEYTEA,$9.28B,7/1/2019,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",2012,Series D,$579.23M
19,ServiceTitan,$9.5B,11/14/2018,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2012,Series G,$1.099B
20,KuCoin,$10B,5/10/2022,Seychelles,Victoria,Fintech,"IDG Capital, Matrix Partners China, Jump Crypto",2017,Corporate Minority,$180M
21,Thrasio,$10B,7/15/2020,United States,Walpole,E-commerce & direct-to-consumer,"Upper90, RiverPark Ventures, Advent International",2018,Series D,$3.396B
22,Chehaoduo,$10B,3/12/2016,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",2015,Series E,$4.304B
23,reddit,$10B,7/31/2017,United States,San Francisco,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management",2005,Series F,$1.326B
24,TripActions,$9.2B,11/8/2018,United States,Palo Alto,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2015,Line of Credit,$1.644B
25,Digital Currency Group,$10B,11/1/2021,United States,New York,Fintech,"Ribbit Capital, capitalG, Softbank Group",2015,Line of Credit,$600M
26,VulcanForms,$1B,7/5/2022,United States,Burlington,"Supply chain, logistics, & delivery","Eclipse Ventures, D1 Capital Partners, Industry Ventures",2015,Series C,$355M
27,Talkdesk,$10B,10/3/2018,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",2011,Series D,$504.77M
28,SingleStore,$1B,7/12/2022,United States,San Francisco,Data management & analytics,"Google Ventures, Accel, Data Collective",2011,Series F - III,$464.12M
29,Northvolt,$9.08B,6/12/2019,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",2016,Convertible Note,$7.262B
30,LeadSquared,$1B,6/21/2022,India,Bengaluru,Internet software & services,"Gaja Capital Partners, Stakeboat Capital, WestBridge Capital",2011,Series C,$189.2M
31,Unstoppable Domains,$1B,7/27/2022,United States,Las Vegas,Internet software & services,"Boost VC, Draper Associates, Gaingels",2018,Series A,$71.84M
32,JupiterOne,$1B,6/2/2022,United States,Morrisville,Cybersecurity,"Bain Capital Ventures, Splunk Ventures, Cisco Investments",2018,Series C,$119M
33,Glean,$1B,5/18/2022,United States,Palo Alto,Internet software & services,"General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners",2019,Series C,$155.3M
34,CareBridge,$1B,6/8/2022,United States,Nashville,Health,"Bain Capital Ventures, Splunk Ventures, Cisco Investments",2019,Series B,$180M
35,FourKites,$1B,6/21/2022,United States,Chicago,"Supply chain, logistics, & delivery","Hyde Park Venture Partners, Bain Capital Ventures, Hyde Park Angels",2014,Corporate Minority - II,$242.9M
36,OutSystems,$9.5B,6/5/2018,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",2001,Series E,$572.01M
37,Remarkable,$1B,5/10/2022,Norway,Oslo,Internet software & services,Spark Capital,2013,Series B,$25M
38,Polarium,$1B,5/3/2022,Sweden,Kista,Other,AMF Pensionsforsakring,2015,Unattributed - III,$199.83M
39,Habi,$1B,5/11/2022,Colombia,Bogota,Fintech,"Homebrew, Inspired Capital, Tiger Global Management",2019,Line of Credit - II,$396.8M
40,Opn,$1B,5/9/2022,Japan,Tokyo,Fintech,"Sinar Mas Digital Ventures, JIC Venture Growth Investments, Golden Gate Ventures",2013,Debt,$220.4M
41,Notion Labs,$10B,4/1/2020,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",2016,Seed VC - II,$342M
42,Taxfix,$1B,4/28/2022,Germany,Berlin,Fintech,"Valar Ventures, Index Ventures, Creandum",2016,Series D,$330.36M
43,Immuta,$1B,6/8/2022,United States,Boston,Data management & analytics,"DFJ Growth Fund, Dell Technologies Capital, Ten Eleven Ventures",2015,Series E,$259.5M
44,Divergent 3D,$1B,4/25/2022,United States,Torrance,Auto & transportation,"Hedosophia, Horizons Ventures, Alumni Ventures Group",2014,Corporate Minority,$428M
45,Lalamove,$10B,2/21/2019,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2013,Series F,$2.475B
46,Gusto,$10B,12/18/2015,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2011,Series E - II,$746.12M
47,FLASH,$1B,3/16/2022,United States,Austin,Fintech,"L Catterton, Trellis Partners, Vista Equity Partners",2011,Unattributed,$362.05M
48,LayerZero Labs,$1B,3/30/2022,United States,New York,Internet software & services,"Andreessen Horowitz, FTX Ventures, Tiger Global Management",2021,Shareholder Liquidity,$143.3M
49,Electric,$1B,3/29/2022,United States,New York,Cybersecurity,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",2016,Series D - III,$212.15M
50,Grover,$1B,4/7/2022,Germany,Berlin,E-commerce & direct-to-consumer,"Varengold Bank, Circularity Capital, Coparion",2015,Line of Credit - III,$2.293B
51,BostonGene,$1B,4/6/2022,United States,Waltham,Health,"Japan Industrial Partners, Impact Investment Capital, NEC",2015,Series B,$200M
52,Vayyar,$1B,6/6/2022,Israel,Yehud,Hardware,"Battery Ventures, Bessemer Venture Partners, MoreVC",2011,Series E,$296M
53,Open,$1B,5/2/2022,India,Bengaluru,Fintech,"3one4 Capital Partners, Tiger Global Management, Temasek",2018,Series D,$187.4M
54,Genies,$1B,4/12/2022,United States,Venice,Internet software & services,"New Enterprise Associates, Tull Investment Group, Silver Lake",2017,Series C,$266.26M
55,Oyster,$1B,4/20/2022,United States,Wilmington,Fintech,"Emergence Capital, Slack Fund, PayPal Ventures",2019,Series C,$224.2M
56,CommerceIQ,$1B,3/21/2022,United States,Palo Alto,Artificial Intelligence,"Trinity Ventures, Madrona Venture Group, Shasta Ventures",2012,Series D,$195.5M
57,Aptos,$1B,3/15/2022,United States,Palo Alto,Internet software & services,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management",2021,Unattributed VC,$350M
58,BlueVoyant,$1B,2/23/2022,United States,New York,Cybersecurity,"8VC, Liberty Strategic Capital, Eden Global Partners",2017,Series D,$525.5M
59,Gauntlet Networks,$1B,3/7/2022,United States,New York,Fintech,"Polychain Capital, Paradigm, Ribbit Capital",2018,Series B,$44.94M
60,Factorial,$1B,10/11/2022,Spain,Barcelona,Internet software & services,"K Fund, Creandum, CRV",2016,None,None
61,Tarana Wireless,$1B,3/23/2022,United States,Milpitas,Mobile & telecommunications,"Prime Movers Lab, Khosla Ventures, I Squared Capital",2009,Series E,$379.64M
62,Veev,$1B,2/24/2022,United States,San Mateo,Internet software & services,"Zeev Ventures, Bond, Fifth Wall Ventures",None,None,None
63,Vendr,$1B,2/24/2022,United States,Boston,Fintech,"Craft Ventures, F-Prime Capital, Sound Ventures",2018,Series B,$216.15M
64,Glia,$1B,3/21/2022,United States,New York,Fintech,"Wildcat Capital Management, Insight Partners, Tola Capital",2012,Unattributed,$167.35M
65,Omada Health,$1B,2/23/2022,United States,San Francisco,Health,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz",2011,Series E,$449.72M
66,UPSIDE Foods,$1B,4/21/2022,United States,Berkeley,Other,"Battery Ventures, Adams Street Partners, Coatue Management",2015,Series C,$610.85M
67,RapidAPI,$1B,3/23/2022,United States,San Francisco,Internet software & services,"Green Bay Ventures, M12, Andreessen Horowitz",2014,Series D,$272.73M
68,NexHealth,$1B,4/21/2022,United States,San Francisco,Health,"iSeed Ventures, Point Nine Capital, Buckley Ventures",2017,Series C,$177.36M
69,Watershed,$1B,2/8/2022,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Sequoia Capital",None,None,None
70,Axelar,$1B,2/15/2022,Canada,Waterloo,Internet software & services,"Lemniscap VC, North Island Ventures, Polychain Capital",2020,Series B,$63.75M
71,Payhawk,$1B,2/14/2022,United Kingdom,London,Fintech,"Earlybird Venture Capital, Eleven Ventures, QED Investors",2018,Series B - II,$236.5M
72,Dune Analytics,$1B,2/2/2022,Norway,Oslo,Data management & analytics,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",2018,Series B,$79.42M
73,Fever Labs,$1B,1/26/2022	,United States,New York,Internet software & services,"Accel, 14W, GS Growth",2012,Series E,$315.43M
74,Scalapay,$1B,2/23/2022,Italy,Milan,Fintech,"Fasanara Capital, Tiger Global Management, Baleen Capital",2019,Series B - II,$727M
75,Scandit,$1B,2/9/2022,Switzerland,Zurich,"Supply chain, logistics, & delivery","Atomico, NGP Capital, Google Ventures",2009,Series D,$273M
76,CHEQ,$1B,2/22/2022,United States,New York,Cybersecurity ,"Battery Ventures, Tiger Global Management, Hanaco Ventures",2022,Seed VC,$10M
77,Esusu,$1B,1/27/2022	,United States,New York,Fintech,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",2015,Series B,$144.43M
78,Betterfly,$1B,2/1/2022,Chile,Santiago,Artificial intelligence,"QED Investors, DST Global, Endeavor",2018,Series C - II,$212.5M
79,Hasura,$1B,2/22/2022,India,Bengaluru,Internet software & services,"Nexus Venture Partners, Vertex Ventures, STRIVE",2017,Series C,$136.51M
80,Timescale,$1B,2/22/2022,United States,New York,Internet software & services,"New Enterprise Associates, Benchmark, Two Sigma Ventures",2015,Series C,$181.06M
81,Darwinbox,$1B,1/25/2022	,India,Hyderabad,Internet software & services,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",2015,Series D - III,$115.37M
82,Fractal Analytics,$1B,1/5/2022,India,Mumbai,Data management & analytics,"TPG Capital, Apax Partners, TA Associates",2000,Private Equity - III,$688M
83,Assent,$1B,1/6/2022,Canada,Ottawa,"Supply chain, logistics, & delivery","Vista Equity Partners, Warburg Pincus, First Ascent Ventures",2010,Private Equity,$501.64M
84,VOI,$1B,12/21/2021,Sweden,Stockholm,Travel,"Vostok New Ventures, The Raine Group, Balderton Capital",2018,Series D,$517.9M
85,InFarm,$1B,12/16/2021,Germany,Berlin,Other,"Atomico, Hanaco Venture Capital, TriplePoint Capital",2013,Series D,$601.59M
86,ONE,$1B,12/8/2021,Singapore,,Internet software & services,"Temasek, Guggenheim Investments, Qatar Investment Authority",2011,Series F,$486M
87,Minio,$1B,1/26/2022	,United States,Palo Alto,Data management & analytics,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital",2014,Series B,$126.3M
88,Pentera,$1B,1/11/2022	,Israel,Petah Tikva,Cybersecurity ,"AWZ Ventures, Blackstone, Insight Partners",2015,Series C,$185M
89,Placer.ai,$1B,1/12/2022	,United States,Los Altos,Artificial intelligence,"Fifth Wall Ventures, JBV Capital, Array Ventures",2016,Unattributed,$192.85M
90,Noname Security,$1B,12/15/2021,United States,Palo Alto,Cybersecurity,"Insight Partners, Lightspeed Venture Partners, CyberStarts",2020,Series C,$220M
91,Rothy's,$1B,12/21/2021,United States,San Francisco,Consumer & retail,"Alpargatas, GS Growth, Lightspeed Venture Partners",2016,Series B,$517.24M
92,SnapLogic,$1B,12/13/2021,United States,San Mateo,Internet software & services,"Andreessen Horowitz, Triangle Peak Partners, Ignition Partners",2006,Series I,$397.86M
93,Pet Circle,$1B,12/6/2021,Australia,Alexandria,E-commerce & direct-to-consumer,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners",2011,Series C,$126.35M
94,Kopi Kenangan,$1B,12/27/2021,Indonesia,Jakarta,Consumer & retail,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures",2017,Series C,$233M
95,SellerX,$1B,12/9/2021,Germany,Berlin,E-commerce & direct-to-consumer,"Cherry Ventures, Felix Capital, 83North",2020,Debt - II,$766.7M
96,Cadence,$1B,12/14/2021,United States,New York,Health,"Thrive Capital, General Catalyst, Coatue Management",2020,Series B,$141M
97,ReliaQuest,$1B,12/1/2021,United States,Tampa,Cybersecurity,"KKR, FTV Capital, Ten Eleven Ventures",2007,Unattributed VC,$330M
98,Nature's Fynd,$1B,7/19/2021,United States,Chicago,Consumer & retail,"Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures",2012,Grant - II,$513.24M
99,Lydia,$1B,12/8/2021,France,Paris,Fintech,"NewAlpha, XAnge Private Equity, Tencent Holdings",2011,Series C,$260.33M
100,Iodine Software,$1B,12/1/2021,United States,Austin,Data management & analytics,"Advent International, Bain Capital Ventures, Silversmith Capital Partners",2010,Private Equity,None
101,Haomao.AI,$1B,12/22/2021,China,Beijing,Artificial Intelligence,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management",2019,Series A - II,$203.91M
102,Clara,$1B,12/6/2021,Mexico,Mexico City,Fintech,"DST Global, General Catalyst, Monashees+",2020,Line of Credit,$268.5M
103,NoBroker,$1B,11/23/2021,India,Bengaluru,Internet software & services,"General Atlantic, Elevation Capital, BEENEXT",2014,Series E,$371.4M
104,YipitData,$1B,12/6/2021,United States,New York,Internet software & services,"RRE Ventures+, Highland Capital Partners, The Carlyle Group",2008,Series E,$492.05M
105,Anyscale,$1B,12/7/2021,United States,Berkeley,Artificial Intelligence,"Andreessen Horowitz, Intel Capital, Foundation Capital",2019,Series C - II,$259.6M
106,Lessen,$1B,11/30/2021,United States,Scottsdale,Internet software & services,"Khosla Ventures, General Catalyst, Navitas Capital",2019,Debt,$705M
107,PLACE,$1B,11/17/2021,United States,Bellingham,Internet software & services,"Goldman Sachs Asset Management, 3L",2020,Incubator/Accelerator,$100M
108,Stytch,$1B,11/18/2021,United States,San Francisco,Cybersecurity,"Index Ventures, Benchmark, Thrive Capital",None,Series B,$126M
109,Expel,$1B,11/18/2021,United States,Herndon,Cybersecurity,"Paladin Capital Group, Greycroft, Scale Venture Partners",2016,Series E - II,$288.8M
110,Gaussian Robotics,$1.1B,11/10/2021,China,Shanghai,Hardware,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping",2013,Series D - III,$361.53M
111,Razor,$1B,11/8/2021,Germany,Berlin,Consumer & retail,"Global Founders Capital, 468 Capital, Redalpine Venture Partners",2020,Series C,$1.033B
112,Tezign,$1B,11/2/2021,China,Shanghai,Internet software & services,"Sequoia Capital China, Linear Venture, Hearst Ventures",2015,Series D,$110M
113,Mensa Brands,$1B,11/16/2021,India,Bengaluru,Other,"Accel, Falcon Edge Capital, Norwest Venture Partners",2021,Series B,$228.58M
114,IGAWorks,$1B,11/8/2021,South Korea,Seoul,Internet software & services,"Korea Investment Private Equity, Atinum Investment, Korea Investment Partners",2006,Series F,$56.9M
115,Owkin,$1B,11/18/2021,United States,New York,Artificial Intelligence,"Google Ventures, Cathay Innovation, NJF Capital",2016,Corporate Minority,$334.1M
116,Heyday,$1B,11/16/2021,United States,Chicago,E-commerce & direct-to-consumer,"Khosla Ventures,General Catalyst, Victory Park Capital",2017,Acquired,$6.62M
117,Wrapbook,$1B,11/10/2021,United States,New York,Fintech,"Equal Ventures, Uncork Capital, Andreessen Horowitz",2018,Series B,$130.6M
118,Fabric,$1B,10/26/2021,United States,New York,"Supply chain, logistics, & delivery","Innovation Endeavors, Aleph, Temasek",1999,Acquired,None
119,Contrast Security,$1B,11/9/2021,United States,Los Altos,Cybersecurity,"Acero Capital, General Catalyst, M12",2014,Series E,$269M
120,CargoX,$1B,10/21/2021,Brazil,Sao Paulo,"Supply chain, logistics, & delivery","Valor Capital Group, Lightrock, Softbank Group",2015,Series F,$377.93M
121,Zopa,$1B,10/19/2021,United Kingdom,London,Fintech,"IAG Capital Partners, Augmentum Fintech, Northzone Ventures",2005,Series J,$671.93M
122,Augury,$1B,10/26/2021,United States,New York,Artificial intelligence,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",2011,Series E,$294M
123,Solo.io,$1B,10/7/2021,United States,Cambridge,Internet software & services,"True Ventures, Altimeter Capital, Redpoint Ventures",2017,Series C,$171.85M
124,MobiKwik,$1B,10/13/2021,India,Gurugram,Fintech,"Sequoia Capital India, The Times Group, GMO VenturePartners",2009,Debt - IV,$260.07M
125,Weights & Biases,$1B,10/13/2021,United States,San Francisco,Artificial intelligence,"Coatue Management, Insight Partners, Trinity Ventures",2017,Corporate Minority,$200M
126,Masterworks,$1B,10/5/2021,United States,New York,Fintech,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners",2017,Unattributed,$111.25M
127,Savage X Fenty,$1B,2/10/2021,United States,El Segundo,E-commerce & direct-to-consumer,"Speedinvest, Valar Ventures, Uniqa Ventures",2018,Series C,$310M
128,Swile,$1B,10/11/2021,France,Montpellier,Fintech,"Index Ventures, IDInvest Partners, Daphni",2016,Convertible Note,$328.43M
129,Chronosphere,$1B,10/7/2021,United States,New York,Data management & analytics,"Greylock Partners, Lux Capital, General Atlantic",2019,Series C - II,$370.34M
130,Moka,$1B,11/2/2021,China,Beijing,Internet software & services,"GGV Capital, GSR Ventures, FreesFund",2015,Series C,$142.27M
131,Licious,$1B,10/5/2021,India,Bengaluru,E-commerce & direct-to-consumer,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia",2015,Series F - III,$488M
132,Ajaib,$1B,10/4/2021,Indonesia,Jakarta,Fintech,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",2018,Series B,$245.22M
133,Vagaro,$1B,11/3/2021,United States,Dublin,Internet software & services,FTV Capital,2009,Growth Equity - II,$64.5M
134,Dental Monitoring,$1B,10/21/2021,France,Paris,Health,"Vitruvian Partners, Merieux Equity Partners, Straumann",2014,Series B,$210.08M
135,TrialSpark,$1B,9/30/2021,United States,New York,Health,"Sequoia Capital, Thrive Capital, Sound Ventures",2014,Series C,$238.3M
136,Vedantu,$1B,9/29/2021,India,Bengaluru,Edtech,"Accel, Tiger Global Management, Omidyar Network",2014,Series E - II,$308.38M
137,Orchard,$1B,9/9/2021,United States,New York,Fintech,"Accomplice, Juxtapose, FirstMark Capital",None,Convertible Note,None
138,Xendit,$1B,9/14/2021,Indonesia,Jakarta,Fintech,"Accel, Y Combinator, Amasia",2014,Option/Warrant - II,$515.01M
139,Ninja Van,$1B,9/27/2021,Singapore,,"Supply chain, logistics, & delivery","B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",2014,Series E,$976.5M
140,HAYDON,$1B,9/24/2021,China,Shanghai,Consumer & retail,"Tencent Holdings, Hillhouse Capital Management",2020,Series A - II,$100M
141,Mammoth Biosciences,$1B,9/9/2021,United States,Brisbane,Health,"NFX, Plum Alley, Mayfield",None,Incubator/Accelerator,None
142,Cider,$1B,9/2/2021,Hong Kong,,E-commerce & direct-to-consumer,"Andreessen Horowitz, DST Global, IDG Capital",2020,Series B,$131.46M
143,Maven Clinic,$1B,8/17/2021,United States,New York,Health,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital",2014,Series E,$289.47M
144,Keenon Robotics,$1B,9/15/2021,China,Shanghai,"Supply chain, logistics, & delivery","Yunqi Partners, SoftBank Group, iVision Ventures",2010,Series D,$228.79M
145,TrueLayer,$1B,9/21/2021,United Kingdom,London,Fintech,"Anthemis, Connect Ventures, Northzone Ventures",2016,Series E,$271.8M
146,Agile Robots,$1B,9/9/2021,Germany,Munich,Hardware,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",2018,Series C - II,$380M
147,1KMXC,$1B,8/30/2021,China,Hangzhou,Hardware,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group",2014,Series D - II,$98.96M
148,Gelato,$1B,8/16/2021,Norway,Oslo,E-commerce & direct-to-consumer,"Greylock Partners, Google Ventures, BlackRock",2007,Series B,$293.61M
149,Freshbooks,$1B,8/10/2021,Canada,Toronto,Fintech,"Accomplice, Oak Investment Partners, Georgian Partners",2003,Line of Credit,$303.75M
150,Human Interest,$1B,8/4/2021,United States,San Francisco,Fintech,"Wing Venture Capital, Slow Ventures, Uncork Capital",2015,Unattributed,$335.02M
151,Assembly,$1B,9/21/2021,United States,Culver City,Internet software & services,"Advent International, PSG, Providence Equity Partners",2019,Private Equity - II,None
152,Interos,$1B,7/22/2021,United States,Arlington,"Supply chain, logistics, & delivery","Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock",2005,Series C - III,$132.35M
153,dMed Biopharmaceutical,$1B,7/12/2021,China,Shanghai,Health,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",2016,Series C - II,$244.1M
154,Berlin Brands Group,$1B,9/1/2021,Germany,Berlin,E-commerce & direct-to-consumer,"Ardian, Bain Capital",2005,Private Equity - II,$938.71M
155,MobileCoin,$1.06B,7/7/2021,United States,San Francisco,Fintech,"General Catalyst, Future Ventures, AU21",2018,Series B,$108.03M
156,PicsArt,$1B,8/26/2021,United States,San Francisco,Mobile & telecommunications,"Sequoia Capital, DCM Ventures, Insight Partners",None,Option/Warrant,$175M
157,Snorkel AI,$1B,8/9/2021,United States,Palo Alto,Artificial intelligence,"Greylock Partners, Google Ventures, BlackRock",2019,Series C,$135M
158,NIUM,$1B,7/13/2021,Singapore,,Fintech,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures",2014,Series D - II,$264.1M
159,Bluecore,$1B,8/5/2021,United States,New York,Artificial intelligence,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",2013,Series E,$238.12M
160,Pantheon Systems,$1B,7/13/2021,United States,San Francisco,Internet software & services,"Foundry Group, Scale Venture Partners, SoftBank Group",2020,Seed,$150K
161,Amperity,$1B,7/13/2021,United States,Seattle,Artificial intelligence,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners",2016,Series D,$217.3M
162,ShipBob,$1B,6/29/2021,United States,Chicago,"Supply chain, logistics, & delivery","Hyde Park Venture Partners,	FundersClub. Bain Capital Ventures",2014,Series E,$331.1M
163,Morning Consult,$1B,6/8/2021,United States,Washington DC,Internet software & services,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems",2014,Series B,$91M
164,Worldcoin,$1B,6/29/2021,United States,San Francisco,Fintech,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",None,Unattributed,$97.27M
165,SmartAsset,$1B,6/24/2021,United States,New York,Fintech,"Javelin Venture Partners, TTV Capital, Peterson Ventures",2012,Series D,$157.62M
166,Visier,$1B,6/29/2021,Canada,Vancouver,Internet software & services,"Foundation Capital, 	Summit Partners, Adams Street Partners",2010,Series E,$216.5M
167,JoyTunes,$1B,6/21/2021,Israel,Tel Aviv,Edtech,"Genesis Partners, Aleph, Insight Partners",2011,Series D,$91.5M
168,Bringg,$1B,6/16/2021,Israel,Tel Aviv,"Supply chain, logistics, & delivery","Salesforce Ventures, next47, Pereg Ventures",2013,Series E,$184.5M
169,Claroty,$1B,6/17/2021,United States,New York,Cybersecurity,"Bessemer Venture Partners, MoreVC, Team8",2015,Series E,$632M
170,Xiaoe Tech,$1B,6/15/2021,China,Shenzhen,Internet software & services,"GGV Capital, Hillhouse Capital Management, IDG Capital",2015,Series D,$138.82M
171,Carro,$1B,6/14/2021,Singapore,,E-commerce & direct-to-consumer,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",2015,Series D,$684.52M
172,Tractable,$1B,6/16/2021,United Kingdom,London,Artificial intelligence,"Insight Partners, Ignition Partners, Georgian Partners",2014,Series D,$119.83M
173,EcoFlow,$1B,6/10/2021,China,Shenzhen,Hardware,"Delian Capital, China International Capital Corporation, Sequoia Capital China",2017,Series B,$110.59M
174,Xiaoice,$1B,7/12/2021,China,Beijing,E-commerce & direct-to-consumer,"NetEase Capital, Northern Light Venture Capital, Microsoft",2020,Series B,$138.4M
175,Thirty Madison,$1B,6/2/2021,United States,New York,Health,"Northzone Ventures, Maveron, Johnson & Johnson Innovation",1993,Growth Equity - II,$18.54M
176,LetsGetChecked,$1B,6/7/2021,Ireland,Dublin,Health,"Optum Ventures, Qiming Venture Partners, Transformation Capital",2015,Series D - II,$283M
177,Matrixport,$1.05B,6/1/2021,Singapore,,Fintech,"Dragonfly Captial, Qiming Venture Partners, DST Global",2019,Series C,$100M
178,Vise,$1B,5/18/2021,United States,New York,Fintech,"Sequoia Capital, Founders Fund, Bling Capital",2016,Series C,$126.55M
179,Shippo,$1B,6/2/2021,United States,San Francisco,"Supply chain, logistics, & delivery","Version One Ventures, Uncork Capital, Bessemer Venture Partners",2013,Series E,$154.03M
180,TensTorrent,$1B,5/5/2021,Canada,Toronto,Artificial intelligence,"Eclipse Ventures, Fidelity Investments, Moore Capital Management",2016,Series B,$221.03M
181,Shift Technology,$1B,5/6/2021,France,Paris,Artificial intelligence,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures",2014,Series D - II,$319.72M
182,Forte Labs,$1.73B,5/12/2021,United States,San Francisco,Fintech,"Iris Capital, Accel, Elaia Partners",2018,Series B,$910M
183,Zihaiguo,$1B,5/6/2021,China,Chongqing,Consumer & retail,"Xingwang Investment Management, China Capital Investment Group, Matrix Partners China",2018,Series C - III,$64.08M
184,Carson Group,$1B,7/14/2021,United States,Lincoln,Fintech,Bain Capital,None,None,None
