"Name","MasterCap","Country","Industry","Sector"
"Persimmon plc","$9.07 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Burberry Group plc","$8.90 B","United Kingdom","Luxury Goods","Consumer Discretionary"
"NovoCure Limited","$8.54 B","United Kingdom","Medical Instruments & Supplies","Healthcare"
"Endava plc","$8.10 B","United Kingdom","Software—Infrastructure","Technology"
"Phoenix Group Holdings plc","$8.10 B","United Kingdom","Insurance—Life","Financials"
"Auto Trader Group plc","$8.03 B","United Kingdom","Internet Content & Information","Communication Services"
"NEPI Rockcastle plc","$7.94 B","United Kingdom","Real Estate—Diversified","Real Estate"
"Melrose Industries plc","$7.93 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Pershing Square Holdings Ord","$7.88 B","United Kingdom","Asset Management","Financials"
"Capri Holdings Limited","$7.79 B","United Kingdom","Apparel Manufacturing","Consumer Discretionary"
"Meggitt plc","$7.79 B","United Kingdom","Aerospace & Defense","Industrials"
"Land Securities Group plc","$7.76 B","United Kingdom","REIT—Diversified","Real Estate"
"M&G plc","$7.59 B","United Kingdom","Asset Management","Financials"
"Smiths Group plc","$7.57 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Whitbread plc","$7.55 B","United Kingdom","Restaurants","Consumer Discretionary"
"Pearson plc","$7.52 B","United Kingdom","Publishing","Communication Services"
"J Sainsbury plc","$7.42 B","United Kingdom","Grocery Stores","Consumer Staples"
"Allfunds Group plc","$7.28 B","United Kingdom","Asset Management","Financials"
"Kingfisher plc","$7.10 B","United Kingdom","Home Improvement Retail","Consumer Discretionary"
"Rightmove plc","$7.09 B","United Kingdom","Internet Content & Information","Communication Services"
"Airtel Africa plc","$7.02 B","United Kingdom","Telecom Services","Communication Services"
"Barratt Developments plc","$7.02 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Intermediate Capital Group plc","$6.77 B","United Kingdom","Asset Management","Financials"
"Electrocomponents plc","$6.64 B","United Kingdom","Industrial Distribution","Industrials"
"British Land Company plc","$6.51 B","United Kingdom","REIT—Diversified","Real Estate"
"Endeavour Mining Corporation","$6.35 B","United Kingdom","Gold","Basic Materials"
"Taylor Wimpey plc","$6.25 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Hargreaves Lansdown plc","$6.25 B","United Kingdom","Asset Management","Financials"
"The Unite Group plc","$6.12 B","United Kingdom","REIT—Diversified","Real Estate"
"Janus Henderson Group plc","$6.10 B","United Kingdom","Asset Management","Financials"
"The Berkeley Group Holdings plc","$6.07 B","United Kingdom","Residential Construction","Consumer Discretionary"
"F&C Investment Trust plc","$6.06 B","United Kingdom","Asset Management","Financials"
"Pepco Group N.V.","$6.03 B","United Kingdom","Discount Stores","Consumer Staples"
"Howden Joinery Group plc","$5.98 B","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"nVent Electric plc","$5.97 B","United Kingdom","Electrical Equipment & Parts","Industrials"
"Investec plc","(Jan. 1, 2022)","United Kingdom","Capital Markets","Financials"
"Pennon Group plc","$5.91 B","United Kingdom","Utilities—Regulated Water","Utilities"
"DS Smith plc","$5.78 B","United Kingdom","Packaging & Containers","Consumer Discretionary"
"The Weir Group plc","$5.74 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Dechra Pharmaceuticals plc","$5.72 B","United Kingdom","Drug Manufacturers—General","Healthcare"
"Sareum Holdings plc","$5.60 B","United Kingdom","Biotechnology","Healthcare"
"Convatec Group plc","$5.49 B","United Kingdom","Medical Instruments & Supplies","Healthcare"
"Tritax Big Box REIT plc","$5.48 B","United Kingdom","REIT—Retail","Real Estate"
"Farfetch Limited","$5.29 B","United Kingdom","Internet Retail","Consumer Discretionary"
"RIT Capital Partners","$5.28 B","United Kingdom","Asset Management","Financials"
"Mimecast Limited","$5.12 B","United Kingdom","Software—Infrastructure","Technology"
"International Game Technology PLC","$5.06 B","United Kingdom","Gambling","Consumer Discretionary"
"Direct Line Insurance Group plc","$4.92 B","United Kingdom","Insurance—Diversified","Financials"
"Derwent London plc","$4.82 B","United Kingdom","REIT—Office","Real Estate"
"IMI plc","$4.79 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Johnson Matthey plc","$4.79 B","United Kingdom","Specialty Chemicals","Basic Materials"
"HICL Infrastructure plc","$4.59 B","United Kingdom","Asset Management","Financials"
"Wizz Air Holdings plc","$4.52 B","United Kingdom","Airlines","Industrials"
"Atotech Ltd","$4.48 B","United Kingdom","Electronic Components","Technology"
"Computacenter plc","$4.44 B","United Kingdom","Information Technology Services","Technology"
"Frasers Group plc","$4.33 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Man Group plc","$4.33 B","United Kingdom","Asset Management","Financials"
"Royal Mail plc","$4.31 B","United Kingdom","Integrated Freight & Logistics","Industrials"
"Softcat plc","$4.31 B","United Kingdom","Information Technology Services","Technology"
"ITV plc","$4.30 B","United Kingdom","Broadcasting","Communication Services"
"Diploma plc","$4.25 B","United Kingdom","Industrial Distribution","Industrials"
"Rotork plc","(Jan. 1, 2022)","United Kingdom","Specialty Industrial Machinery","Industrials"
"Abcam plc","$4.21 B","United Kingdom","Biotechnology","Healthcare"
"Future plc","$4.20 B","United Kingdom","Publishing","Communication Services"
"Darktrace plc","$4.13 B","United Kingdom","Software—Infrastructure","Technology"
"3I Infrastructure plc","$4.11 B","United Kingdom","Asset Management","Financials"
"Drax Group plc","$4.11 B","United Kingdom","Utilities—Renewable","Utilities"
"IG Group Holdings plc","$4.04 B","United Kingdom","Capital Markets","Financials"
"Polar Capital Technology Trust","$4.04 B","United Kingdom","Asset Management","Financials"
"Nomad Foods Limited","$4.04 B","United Kingdom","Packaged Foods","Consumer Staples"
"Tate & Lyle plc","$4.01 B","United Kingdom","Packaged Foods","Consumer Staples"
"LivaNova PLC","$3.99 B","United Kingdom","Medical Devices","Healthcare"
"William Hill plc","(March 13, 2021)","United Kingdom","Gambling","Consumer Discretionary"
"Bellway plc","$3.95 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Alliance Trust plc","$3.93 B","United Kingdom","Asset Management","Financials"
"Greencoat UK Wind plc","$3.92 B","United Kingdom","Asset Management","Financials"
"Atlantica Sustainable Infrastructure plc","$3.87 B","United Kingdom","Utilities—Renewable","Utilities"
"Safestore Holdings plc","$3.76 B","United Kingdom","REIT—Industrial","Real Estate"
"HomeServe plc","$3.72 B","United Kingdom","Specialty Business Services","Industrials"
"The Renewables Infrastructure Group Limited","$3.71 B","United Kingdom","Asset Management","Financials"
"International Public Partnerships Ld","$3.70 B","United Kingdom","Asset Management","Financials"
"Renishaw plc","$3.66 B","United Kingdom","Scientific & Technical Instruments","Technology"
"Travis Perkins plc","$3.63 B","United Kingdom","Building Products & Equipment","Industrials"
"TechnipFMC plc","$3.58 B","United Kingdom","Oil & Gas Equipment & Services","Energy"
"Watches of Switzerland Group plc","$3.57 B","United Kingdom","Luxury Goods","Consumer Discretionary"
"Big Yellow Group plc","$3.57 B","United Kingdom","REIT—Industrial","Real Estate"
"Beazley plc","$3.45 B","United Kingdom","Insurance—Property & Casualty","Financials"
"Smithson Investment Trust plc","$3.43 B","United Kingdom","Asset Management","Financials"
"Monks Investment Trust","$3.42 B","United Kingdom","Asset Management","Financials"
"Inchcape plc","$3.41 B","United Kingdom","Auto & Truck Dealerships","Consumer Discretionary"
"Jet2 plc","$3.35 B","United Kingdom","Travel Services","Consumer Discretionary"
"OSB Group plc","$3.35 B","United Kingdom","Mortgage Finance","Financials"
"Greggs plc","$3.33 B","United Kingdom","Grocery Stores","Consumer Staples"
"easyJet plc","$3.33 B","United Kingdom","Airlines","Industrials"
"Virgin Money UK plc","$3.31 B","United Kingdom","Banks","Financials"
"LondonMetric Property plc","$3.31 B","United Kingdom","REIT—Diversified","Real Estate"
"Dr. Martens plc","$3.17 B","United Kingdom","Footwear & Accessories","Consumer Discretionary"
"Quilter plc","$3.16 B","United Kingdom","Asset Management","Financials"
"Games Workshop Group plc","$3.14 B","United Kingdom","Leisure","Consumer Discretionary"
"Shaftesbury plc","$3.10 B","United Kingdom","REIT—Retail","Real Estate"
"Ultra Electronics Holdings plc","$3.10 B","United Kingdom","Aerospace & Defense","Industrials"
"Britvic plc","$2.93 B","United Kingdom","Beverages—Non-Alcoholic","Consumer Staples"
"Dunelm Group plc","$2.91 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Energean plc","$2.83 B","United Kingdom","Oil & Gas E&P","Energy"
"Worldwide Healthcare","$2.77 B","United Kingdom","Asset Management","Financials"
"Fevertree Drinks plc","$2.77 B","United Kingdom","Beverages—Non-Alcoholic","Consumer Staples"
"Vistry Group plc","$2.76 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Hays plc","$2.69 B","United Kingdom","Staffing & Employment Services","Industrials"
"Grainger plc","$2.68 B","United Kingdom","Real Estate Services","Real Estate"
"ITM Power plc","$2.64 B","United Kingdom","Electronic Components","Technology"
"Primary Health Properties plc","$2.61 B","United Kingdom","REIT—Healthcare Facilities","Real Estate"
"Witan Investment Trust plc","$2.60 B","United Kingdom","Asset Management","Financials"
"Caledonia Investments plc","$2.59 B","United Kingdom","Asset Management","Financials"
"Pershing Square Holdings, Ltd.","(Sept. 1, 2018)","United Kingdom","Asset Management","Financials"
"Deliveroo plc","$2.55 B","United Kingdom","Internet Retail","Consumer Discretionary"
"Cranswick plc","$2.52 B","United Kingdom","Packaged Foods","Consumer Staples"
"Great Portland Estates plc","(Jan. 1, 2022)","United Kingdom","REIT—Office","Real Estate"
"HgCapital Trust plc","$2.48 B","United Kingdom","Asset Management","Financials"
"Zimplats Holdings Limited","$2.48 B","United Kingdom","Other Precious Metals & Mining","Basic Materials"
"WH Smith plc","$2.48 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Finsbury Growth & Income Trust plc","$2.46 B","United Kingdom","Asset Management","Financials"
"Redrow plc","$2.44 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Playtech plc","$2.44 B","United Kingdom","Gambling","Consumer Discretionary"
"Close Brothers Group plc","$2.43 B","United Kingdom","Capital Markets","Financials"
"Pets at Home Group plc","$2.37 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"SSP Group plc","$2.35 B","United Kingdom","Restaurants","Consumer Discretionary"
"Assura plc","$2.35 B","United Kingdom","REIT—Healthcare Facilities","Real Estate"
"Diversey Holdings Ltd","$2.35 B","United Kingdom","Personal Services","Consumer Discretionary"
"The City of London Investment Trust plc","$2.34 B","United Kingdom","Asset Management","Financials"
"Serco Group plc","$2.34 B","United Kingdom","Specialty Business Services","Industrials"
"Manchester United plc","$2.33 B","United Kingdom","Leisure","Consumer Discretionary"
"Domino's Pizza Group plc","$2.32 B","United Kingdom","Restaurants","Consumer Discretionary"
"Vivo Energy plc","$2.27 B","United Kingdom","Oil & Gas Refining & Marketing","Energy"
"QinetiQ Group plc","$2.27 B","United Kingdom","Aerospace & Defense","Industrials"
"Mercantile Investment Trust (The) plc","$2.26 B","United Kingdom","Asset Management","Financials"
"Sequoia Economic Infrastructure Inc Ord","$2.24 B","United Kingdom","Asset Management","Financials"
"Balfour Beatty plc","$2.24 B","United Kingdom","Engineering & Construction","Industrials"
"Kainos Group plc","$2.22 B","United Kingdom","Software—Application","Technology"
"Aggreko plc","(March 13, 2021)","United Kingdom","Rental & Leasing Services","Industrials"
"Personal Assets Trust","$2.18 B","United Kingdom","Asset Management","Financials"
"Babcock International Group plc","$2.16 B","United Kingdom","Engineering & Construction","Industrials"
"Ashmore Group plc","$2.14 B","United Kingdom","Asset Management","Financials"
"Murray International Trust plc","$2.11 B","United Kingdom","Asset Management","Financials"
"PageGroup plc","$2.11 B","United Kingdom","Staffing & Employment Services","Industrials"
"Harbourvest Global Private Equity Limited","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Gamesys Group plc","(March 13, 2021)","United Kingdom","Gambling","Consumer Discretionary"
"John Laing Group plc","(March 13, 2021)","United Kingdom","Engineering & Construction","Industrials"
"Dixons Carphone plc","(March 13, 2021)","United Kingdom","Specialty Retail","Consumer Discretionary"
"Victrex plc","$2.06 B","United Kingdom","Specialty Chemicals","Basic Materials"
"S4 Capital plc","$2.05 B","United Kingdom","Advertising Agencies","Communication Services"
"Savills plc","$2.04 B","United Kingdom","Real Estate Services","Real Estate"
"ASOS plc","$2.03 B","United Kingdom","Internet Retail","Consumer Discretionary"
"Brewin Dolphin Holdings plc","$2.03 B","United Kingdom","Asset Management","Financials"
"Calisen plc","(March 13, 2021)","United Kingdom","Electrical Equipment & Parts","Industrials"
"JPMorgan American Investment Trust plc","$1.98 B","United Kingdom","Asset Management","Financials"
"Burford Capital Limited","$1.97 B","United Kingdom","Asset Management","Financials"
"YouGov plc","$1.96 B","United Kingdom","Advertising Agencies","Communication Services"
"Capital & Counties Properties plc","$1.95 B","United Kingdom","REIT—Retail","Real Estate"
"Sanne Group plc","$1.94 B","United Kingdom","Asset Management","Financials"
"Secure Income REIT Ord","$1.94 B","United Kingdom","REIT—Diversified","Real Estate"
"National Express Group plc","$1.92 B","United Kingdom","Railroads","Industrials"
"GlobalData plc","$1.90 B","United Kingdom","Consulting Services","Industrials"
"Polypipe Group plc","(March 13, 2021)","United Kingdom","Building Products & Equipment","Industrials"
"TR Property Investment Trust","$1.89 B","United Kingdom","Asset Management","Financials"
"Countryside Properties plc","$1.87 B","United Kingdom","Residential Construction","Consumer Discretionary"
"Spirent Communications plc","$1.87 B","United Kingdom","Software—Infrastructure","Technology"
"RWS Holdings plc","$1.87 B","United Kingdom","Consulting Services","Industrials"
"IntegraFin Holdings plc","$1.86 B","United Kingdom","Asset Management","Financials"
"Mitchells & Butlers plc","$1.85 B","United Kingdom","Restaurants","Consumer Discretionary"
"The Bankers Investment Trust plc","$1.83 B","United Kingdom","Asset Management","Financials"
"Ascential plc","$1.83 B","United Kingdom","Advertising Agencies","Communication Services"
"Micro Focus International plc","$1.81 B","United Kingdom","Software—Infrastructure","Technology"
"Hammerson plc","$1.79 B","United Kingdom","REIT—Retail","Real Estate"
"Sirius Real Estate Limited","$1.79 B","United Kingdom","Real Estate Services","Real Estate"
"Marshalls plc","$1.78 B","United Kingdom","Building Materials","Basic Materials"
"JPMorgan Emerging Markets Investment Trust plc","$1.78 B","United Kingdom","Asset Management","Financials"
"Ceres Power Holdings plc","$1.77 B","United Kingdom","Electrical Equipment & Parts","Industrials"
"BlackRock World Mining Trust plc","$1.77 B","United Kingdom","Asset Management","Financials"
"Impax Environmental Markets Trust plc","$1.74 B","United Kingdom","Asset Management","Financials"
"James Halstead plc","(Jan. 1, 2022)","United Kingdom","Building Products & Equipment","Industrials"
"Hipgnosis Songs Fund Limited","$1.71 B","United Kingdom","Asset Management","Financials"
"Alphawave IP Group plc","$1.71 B","United Kingdom","Semiconductors","Technology"
"Impax Asset Management Group plc","$1.70 B","United Kingdom","Asset Management","Financials"
"Paragon Banking Group plc","$1.70 B","United Kingdom","Mortgage Finance","Financials"
"ContourGlobal plc","$1.68 B","United Kingdom","Utilities—Renewable","Utilities"
"Synthomer plc","$1.68 B","United Kingdom","Specialty Chemicals","Basic Materials"
"Oxford Instruments plc","$1.67 B","United Kingdom","Semiconductor Equipment & Materials","Technology"
"AJ Bell plc","$1.66 B","United Kingdom","Capital Markets","Financials"
"Gamma Communications plc","$1.66 B","United Kingdom","Telecom Services","Communication Services"
"CVS Group plc","$1.65 B","United Kingdom","Personal Services","Consumer Discretionary"
"Workspace Group plc","$1.65 B","United Kingdom","REIT—Office","Real Estate"
"RSA Insurance Group plc","$1.65 B","United Kingdom","Insurance—Property & Casualty","Financials"
"Auction Technology Group plc","$1.64 B","United Kingdom","Software—Application","Technology"
"Daily Mail and General Trust plc","(Jan. 1, 2022)","United Kingdom","Publishing","Communication Services"
"Blue Prism Group plc","(Jan. 1, 2022)","United Kingdom","Software—Infrastructure","Technology"
"Fidelity European Values plc","$1.63 B","United Kingdom","Asset Management","Financials"
"Helios Towers plc","$1.61 B","United Kingdom","Telecom Services","Communication Services"
"Next Fifteen Communications Group plc","$1.61 B","United Kingdom","Advertising Agencies","Communication Services"
"Clinigen Group plc","$1.61 B","United Kingdom","Medical Distribution","Healthcare"
"Trainline plc","$1.60 B","United Kingdom","Travel Services","Consumer Discretionary"
"Aberforth Smaller Companies Trust plc","$1.60 B","United Kingdom","Asset Management","Financials"
"FDM Group (Holdings) plc","$1.60 B","United Kingdom","Information Technology Services","Technology"
"Herald Investment Trust","$1.59 B","United Kingdom","Asset Management","Financials"
"Learning Technologies Group plc","$1.59 B","United Kingdom","Education & Training Services","Consumer Staples"
"Bodycote plc","$1.58 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Atrium European Real Estate Ltd","(Jan. 1, 2022)","United Kingdom","Real Estate Services","Real Estate"
"Telecom Plus plc","$1.58 B","United Kingdom","Utilities—Diversified","Utilities"
"Draper Esprit plc","$1.57 B","United Kingdom","Asset Management","Financials"
"TP ICAP plc","$1.57 B","United Kingdom","Capital Markets","Financials"
"Hill & Smith Holdings plc","$1.55 B","United Kingdom","Engineering & Construction","Industrials"
"Bytes Technology Group plc","$1.54 B","United Kingdom","Software—Application","Technology"
"TalkTalk Telecom Group plc","(March 13, 2021)","United Kingdom","Telecom Services","Communication Services"
"Globalworth Real Estate Investments Limited","$1.54 B","United Kingdom","Real Estate Services","Real Estate"
"Rathbone Brothers plc","$1.53 B","United Kingdom","Asset Management","Financials"
"UK Commercial Property REIT Limited","$1.52 B","United Kingdom","Asset Management","Financials"
"BBGI Global Infrastructure SA","$1.52 B","United Kingdom","Asset Management","Financials"
"Jupiter Fund Management plc","$1.50 B","United Kingdom","Asset Management","Financials"
"Octopus Titan VCT plc","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"JTC plc","$1.49 B","United Kingdom","Asset Management","Financials"
"Aston Martin Lagonda Global Holdings plc","$1.49 B","United Kingdom","Auto Manufacturers","Consumer Discretionary"
"Coats Group plc","$1.46 B","United Kingdom","Textile Manufacturing","Consumer Discretionary"
"John Wood Group plc","$1.45 B","United Kingdom","Oil & Gas Integrated","Energy"
"Cairn Energy plc","$1.45 B","United Kingdom","Oil & Gas E&P","Energy"
"Clarkson plc","$1.44 B","United Kingdom","Marine Shipping","Industrials"
"Edinburgh Investment Trust plc","$1.43 B","United Kingdom","Asset Management","Financials"
"Serica Energy plc","$1.43 B","United Kingdom","Oil & Gas E&P","Energy"
"Morgan Sindall Group plc","$1.43 B","United Kingdom","Engineering & Construction","Industrials"
"Avi Global Trust plc","$1.42 B","United Kingdom","Asset Management","Financials"
"Syncona Limited","$1.42 B","United Kingdom","Asset Management","Financials"
"Euromoney Institutional Investor plc","$1.41 B","United Kingdom","Financial Data & Stock Exchanges","Financials"
"Redde Northgate plc","$1.40 B","United Kingdom","Rental & Leasing Services","Industrials"
"Ferroglobe PLC","$1.38 B","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Victoria plc","$1.37 B","United Kingdom","Furnishings, Fixtures & Appliances","Consumer Discretionary"
"Murray Income Trust plc","$1.36 B","United Kingdom","Asset Management","Financials"
"Moneysupermarket.com Group plc","$1.36 B","United Kingdom","Internet Content & Information","Communication Services"
"Centamin plc","$1.36 B","United Kingdom","Gold","Basic Materials"
"Vectura Group plc","(Oct. 1, 2021)","United Kingdom","Drug Manufacturers—General","Healthcare"
"GB Group plc","$1.35 B","United Kingdom","Software—Application","Technology"
"Supermarket Income REIT plc","$1.35 B","United Kingdom","REIT—Retail","Real Estate"
"Currys Plc","$1.34 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Immunocore Holdings plc","$1.34 B","United Kingdom","Biotechnology","Healthcare"
"Apax Global Alpha Limited","$1.33 B","United Kingdom","Asset Management","Financials"
"Premier Foods plc","$1.33 B","United Kingdom","Packaged Foods","Consumer Staples"
"THG plc","$1.33 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Hilton Food Group plc","$1.32 B","United Kingdom","Packaged Foods","Consumer Staples"
"JD Wetherspoon plc","$1.31 B","United Kingdom","Restaurants","Consumer Discretionary"
"Biffa plc","$1.29 B","United Kingdom","Waste Management","Industrials"
"GCP Student Living plc","(Dec. 1, 2021)","United Kingdom","Asset Management","Financials"
"GCP Infrastructure Investments","$1.29 B","United Kingdom","Asset Management","Financials"
"TI Fluid Systems plc","$1.28 B","United Kingdom","Auto Parts","Consumer Discretionary"
"Merian Chrysalis Investment Co., Ltd.","$1.28 B","United Kingdom","Asset Management","Financials"
"Spire Healthcare Group plc","$1.27 B","United Kingdom","Medical Care Facilities","Healthcare"
"Essentra plc","$1.26 B","United Kingdom","Specialty Chemicals","Basic Materials"
"Law Debenture Corporation plc","$1.26 B","United Kingdom","Asset Management","Financials"
"Clipper Logistics plc","$1.24 B","United Kingdom","Integrated Freight & Logistics","Industrials"
"IP Group plc","$1.24 B","United Kingdom","Asset Management","Financials"
"Vesuvius plc","$1.22 B","United Kingdom","Steel","Basic Materials"
"St. Modwen Properties plc","(March 13, 2021)","United Kingdom","Real Estate—Development","Real Estate"
"Stolt-Nielsen Ltd","$1.22 B","United Kingdom","Marine Shipping","Industrials"
"European Opportunities Trust plc","(Jan. 1, 2022)","United Kingdom","Asset Management","Financials"
"LXI REIT","$1.21 B","United Kingdom","REIT—Diversified","Real Estate"
"BMO Commercial Property Trust","$1.21 B","United Kingdom","Asset Management","Financials"
"BB Healthcare Trust plc","$1.19 B","United Kingdom","Asset Management","Financials"
"Just Group plc","$1.18 B","United Kingdom","Insurance—Specialty","Financials"
"Schroder AsiaPacific Fund plc","$1.18 B","United Kingdom","Asset Management","Financials"
"Sumo Group plc","(Jan. 1, 2022)","United Kingdom","Electronic Gaming & Multimedia","Communication Services"
"Myovant Sciences Ltd.","$1.18 B","United Kingdom","Biotechnology","Healthcare"
"Morgan Advanced Materials plc","$1.18 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Smart Metering Systems plc","$1.17 B","United Kingdom","Electrical Equipment & Parts","Industrials"
"Edinburgh Worldwide Investment Trust plc","$1.16 B","United Kingdom","Asset Management","Financials"
"EMIS Group plc","$1.16 B","United Kingdom","Health Information Services","Healthcare"
"VinaCapital Vietnam Opportunity Fund Limited","$1.14 B","United Kingdom","Asset Management","Financials"
