,name,industry,sector,headquarters,founded,notes
2814,abu garcia,consumer goods,recreational products,svängsta[5],1921,"fishing reels, part of newell brands (us)"
2815,acando,technology,software,stockholm,2001,it consulting
2816,acast,technology,software,stockholm,2014,podcast streaming software
2817,acne studios,consumer goods,clothing & accessories,stockholm,1997,fashion
2818,åf,industrials,business support services,stockholm,1895,consulting
2819,aga,oil & gas,exploration & production,luleå,1904,"defunct natural gas, now part of linde ag"
2820,åhléns,consumer services,broadline retailers,stockholm,1899,retail department stores
2821,alfa laval,industrials,industrial machinery,lund,1883,heavy industry
2822,alfdex,industrials,industrial machinery,landskrona,2002,industrial separators
2823,ap&t,industrials,industrial machinery,ulricehamn,1989,metal forming machinery
2824,apoteket,health care,pharmaceuticals,stockholm,1970,state pharma
2825,aptilo networks,telecommunications,mobile telecommunications,stockholm,2001,mobile services
2826,arcam,industrials,industrial suppliers,mölndal,1997,3d printing
2827,asea,industrials,diversified industrials,västerås,1883,"manufacturer, defunct 1988"
2828,abb,industrials,industrial machinery,västerås/zürich,1988,"robotics, automation"
2829,assa abloy,industrials,industrial suppliers,stockholm,1994,locks
2830,astra ab,health care,pharmaceuticals,södertälje,1913,"defunct 1999, now merged into astrazeneca (uk)"
2831,atlas copco,industrials,diversified industrials,nacka,1873,industrials
2832,atlet,industrials,commercial vehicles & trucks,mölnlycke,1958,"trucks, part of nissan (japan)"
2833,autoliv,industrials,business support services,stockholm,1997,automotive safety
2834,avalanche studios,technology,software,stockholm,2003,video games
2835,avanza,financials,investment services,stockholm,1999,stock broker
2836,axel johnson,conglomerates,-,stockholm,1873[6],"retail holdings, part of axel johnson group"
2837,axel johnson group,conglomerates,-,stockholm,1873,diversified holdings
2838,axfood,consumer services,food retailers & wholesalers,stockholm,1964,"grocery chain, part of axel johnson ab"
2839,axis communications,technology,computer hardware,lund,1984,"network cameras, part of canon inc. (japan)"
2840,bae systems,industrials,defense,örnsköldsvik,2006[7],"defence, part of bae systems (uk)"
2841,bahco,industrials,diversified industrials,enköping,1886,part of snap-on (us)
2842,bahnhof,telecommunications,fixed line telecommunications,stockholm,1994,internet service provider
2843,ballograf,consumer goods,nondurable household products,gothenburg,1945,ballpoint pens and pencils
2844,berg propulsion,industrials,industrial machinery,gothenburg,1912,controllable pitch propellers
2845,betsson,consumer services,gambling,stockholm,1963,online gambling
2846,biacore,health care,biotechnology,uppsala,1984,part of ge healthcare (us)
2847,billerudkorsnäs,basic materials,paper,solna,2012,paper
2848,bindomatic,industrials,industrial suppliers,stockholm,1974,office supplies
2849,biogaia,health care,pharmaceuticals,stockholm,1990,probiotic
2850,björn borg,consumer goods,clothing & accessories,stockholm,2004,fashion
2851,bofors,industrials,defense,karlskoga,1873,arms
2852,boghammar marin ab,industrials,commercial vehicles & trucks,lidingö,1906,shipyard
2853,boliden,basic materials,general mining,stockholm,1931,mining
2854,bolinder-munktell,industrials,commercial vehicles & trucks,eskilstuna,1932,"defunct, now a part of volvo construction equipment"
2855,bona ab,industrials,building materials & fixtures,malmö,1919,flooring
2856,bonnier group,consumer services,broadcasting & entertainment,stockholm,1804,media group
2857,braathens regional aviation,consumer services,airlines,malmö,1981,airline
2858,bredbandsbolaget,telecommunications,fixed line telecommunications,stockholm[8],1998,"triple play services, part of telenor (norway)"
2859,brio,consumer goods,toys,malmö,1884,toys
2860,bure equity,financials,investment services,stockholm,1992,investments
2861,camfil,industrials,industrial machinery,stockholm,1963,air filtration
2862,carnegie investment bank,financials,investment services,stockholm,1803,financial services
2863,casino cosmopol,consumer services,gambling,stockholm,1999,state gambling operator
2864,cederroth,health care,health care providers,upplands väsby,1895,personal health care
2865,cheap monday,consumer goods,clothing & accessories,stockholm,2000,clothing
2866,clas ohlson,consumer services,home improvement retailers,insjön,1918,hardware stores
2867,clavia,consumer goods,recreational products,stockholm,1983,musical instruments
2868,cloetta,consumer goods,food products,stockholm,1862,chocolate
2869,columbitech,technology,software,stockholm,2000,wireless security
2870,com hem,telecommunications,fixed line telecommunications,stockholm,1983,triple play services
2871,comviq,telecommunications,fixed line telecommunications,stockholm,1981,"merged into tele2, retained as a brand"
2872,coop norden,consumer services,food retailers & wholesalers,stockholm,2001,"retail chain, defunct 2008"
2873,danir ab,financials,investment services,malmö,1986,investments
2874,dataphone,telecommunications,mobile telecommunications,stockholm,2001,telecommunications
2875,datasaab,industrials,business support services,linköping,1954,"computer division of saab, defunct"
2876,delaval,industrials,commercial vehicles & trucks,tumba,1883,farm machines
2877,destination gotland,consumer services,travel & tourism,visby,1998,ferry line
2878,diamyd medical,health care,biotechnology,stockholm,1994[9],research
2879,dockstavarvet,industrials,commercial vehicles & trucks,docksta,1905,"shipyard, part of saab group since 2017"
2880,domnarvet,basic materials,iron & steel,borlänge,1872,"iron, part of ssab"
2881,doro,technology,telecommunications equipment,malmö,1974[10],telecom products
2882,draim,technology,software,nacka,2003,games
2883,ea dice,technology,software,stockholm,1992,video games
2884,elanders,industrials,business support services,mölnlycke,1908,printing
2885,electrolux,consumer goods,durable household products,stockholm,1919,appliances
2886,elekta,health care,health care providers,stockholm,1972,radiation therapy
2887,elektron,consumer goods,recreational products,gothenburg,1998,synthesizers
2888,elfa international,consumer goods,furnishings,malmö,1948,shelving
2889,ellos,consumer services,broadline retailers,borås,1947,e-commerce
2890,enea ab,technology,software,kista,1968,information technology
2891,eniro,technology,internet,stockholm,2000,"directory, search services"
2892,epidemic sound,technology,internet,stockholm,2009,global royalty-free soundtrack
2893,ericsson,technology,telecommunications equipment,stockholm,1876,communication technology
2894,esab,industrials,business support services,gothenburg,1904,"welding, part of colfax corporation (us)"
2895,eskilstuna energy and environment,utilities,conventional electricity,eskilstuna,1993,state power
2896,esselte,industrials,industrial suppliers,stockholm,1913,"office products, part of j.w. childs associates (us)"
2897,european spallation source,industrials,business support services,lund,2013,research
2898,fagerhult group,industrials,building materials & fixtures,habo,1945[11],lighting
2899,fatshark,technology,software,stockholm,2008,video games
2900,filippa k,consumer goods,clothing & accessories,stockholm,1993,clothing
2901,fjällräven,consumer goods,clothing & accessories,örnsköldsvik,1960,outdoor clothing
2902,fkab,industrials,business support services,uddevalla,1961,ship design
2903,föreningsbanken,financials,banks,stockholm,1992,"rural bank, defunct 1997"
2904,forex bank,financials,investment services,stockholm,1927,currency exchange
2905,frictional games,technology,software,helsingborg,2007,video games
2906,galvin green,consumer goods,clothing & accessories,växjö,1990,golf clothing
2907,gb glace,consumer goods,food products,stockholm,1942,"ice cream, subsidiary of unilever (uk and the netherlands)"
2908,gekås,consumer services,broadline retailers,falkenberg,1963,swedish superstore
2909,getinge group,health care,medical equipment,gothenburg,1904,medical technology
2910,göinge mekaniska,industrials,heavy construction,hässleholm,1946,"steel buildings, defunct 2005. merged into skanska"
2911,green cargo,industrials,delivery services,solna,2001,state logistics
2912,grimaldi industri,conglomerates,-,stockholm,1970,"consumer goods, industrials"
2913,gunnebo group,industrials,business support services,gothenburg,1889,security
2914,h&m,consumer services,apparel retailers,stockholm,1947,retail clothing
2915,haglöfs,consumer goods,recreational products,torsång,1914,outdoor equipment
2916,hagström,consumer goods,recreational products,älvdalen,1925,musical instruments
2917,haldex,consumer goods,auto parts,landskrona,1887,automotive parts
2918,hallberg-rassy,consumer goods,recreational products,ellös,1943,sailing yachts
2919,handelsbanken,financials,banks,stockholm,1871,bank
2920,hasselblad,consumer goods,recreational products,gothenburg,1841,cameras
2921,hästens,consumer services,specialty retailers,köping,1852,beds
2922,hestra,consumer goods,clothing & accessories,hestra,1936,gloves
2923,hexagon ab,industrials,business support services,stockholm,1992,metrology
2924,hms industrial networks,telecommunications,fixed line telecommunications,halmstad,1988,industrial communications
2925,höganäs ab,basic materials,iron & steel,höganäs,1797,powdered metals
2926,holmen,basic materials,paper,stockholm,1875,paper
2927,husaberg,consumer goods,automobiles,mattighofen,1988,motorcycles
2928,husqvarna group,industrials,industrial suppliers,stockholm,1689,commercial tools
2929,hydrauliska industri ab,industrials,commercial vehicles & trucks,hudiksvall,1944,"lifts and cranes, part of cargotec (finland)"
2930,iar systems,technology,software,uppsala,1983,software
2931,ica gruppen,consumer services,broadline retailers,stockholm,1938,retailing group
2932,ifs ab,technology,software,linköping,1983,software
2933,ikano bank,financials,banks,malmö,1995,bank
2934,imint image intelligence ab,technology,software,uppsala,2007,software
2935,infranord,industrials,railroads,solna,2010,railways
2936,ingate systems,technology,software,stockholm,2001,data security
2937,intertex,technology,computer hardware,stockholm,2001,computer peripherals
2938,investment ab latour,financials,investment services,gothenburg,1984,investments
2939,investment ab öresund,financials,investment services,stockholm,1961,investments
2940,investor ab,financials,investment services,stockholm,1916,investments
2941,isadora,consumer goods,personal products,malmö,1983,cosmetics
2942,izettle,technology,software,stockholm,2011,financial technology
2943,j.lindeberg,consumer goods,clothing & accessories,stockholm,1997,clothing
2944,jeeves,technology,software,stockholm,1992,software
2945,jernhusen,industrials,railroads,stockholm,2001,railways
2946,jofa,consumer goods,recreational products,malung,1926,"sport equipment, part of reebok (us)"
2947,jonsereds fabrikers ab,industrials,industrial machinery,jonsered,1832,part of husqvarna group
2948,kinnevik ab,financials,investment services,stockholm,1936,investments
2949,klarna,consumer services,broadline retailers,stockholm,2005,e-commerce
2950,kockums naval solutions,industrials,commercial vehicles & trucks,malmö,1840,shipyard
2951,koenigsegg,consumer goods,automobiles,ängelholm,1994,automotive
2952,kooperativa förbundet,consumer services,consumer co-operatives,stockholm,1899,retailing group
2953,kopparbergs brewery,consumer goods,brewers,kopparberg,1882,brewery
2954,kosta glasbruk,industrials,building materials & fixtures,kosta,1742,glass
2955,krönleins,consumer goods,brewers,halmstad,1836,brewery
2956,kungsörnen,consumer goods,food products,järna,1929,food
2957,l e lundbergföretagen,financials,investment services,stockholm,1944,investments
2958,länsförsäkringar,financials,full line insurance,stockholm[12],1801,insurance cooperative
2959,länsförsäkringar bank,financials,banks,stockholm,1996[13],"bank, part of länsförsäkringar"
2960,lantmännen,consumer goods,farming & fishing,stockholm,2001,agriculture cooperative
2961,leovegas,consumer services,gambling,stockholm,2011,mobile gaming
2962,lindex,consumer services,apparel retailers,gothenburg,1954,fashion retailer
2963,linjeflyg,consumer services,airlines,stockholm,1957,"airline, defunct 1993, acquired by sas"
2964,lkab,basic materials,general mining,luleå,1890,mining
2965,loomis,industrials,business support services,stockholm,1997,security
2966,lundin petroleum,oil & gas,exploration & production,stockholm,2001,petroleum
2967,luxor ab,consumer goods,consumer electronics,motala,1923,"defunct home electronics, acquired by nokia (finland)"
2968,machinegames,technology,software,uppsala,2009,"video games, part of zenimax media (us)"
2969,mälarenergi,utilities,conventional electricity,västerås,1861,power
2970,maratone studios,consumer services,broadcasting & entertainment,stockholm,2001,music production
2971,massive entertainment,technology,software,malmö,1997,"video games, part of ubisoft (france)"
2972,mecel,technology,software,gothenburg,1982,software and systems consulting
2973,meda ab,health care,pharmaceuticals,solna,1954,pharmaceutical
2974,micromy,basic materials,specialty chemicals,täby,2009,industrial coatings
2975,modern times group (mtg),consumer services,broadcasting & entertainment,stockholm,1987,digital entertainment
2976,mojang,technology,software,stockholm,2009,"video games, acquired by microsoft (us)"
2977,mölnlycke health care,health care,medical equipment,gothenburg,1849,medical device
2978,monark,consumer goods,recreational products,vansbro,1908,bicycle
2979,mysql ab,technology,software,uppsala,1995,"defunct 2008, acquired by sun microsystems (us)"
2980,najad yachts,consumer goods,recreational products,henån,1971,sailing yachts
2981,nanoradio,technology,semiconductors,kista,2004,"wireless semiconductors, part of samsung (south korea)"
2982,nasdaq nordic,financials,investment services,stockholm,2003,"stock exchange, part of nasdaq, inc. (us)"
2983,ncc ab,industrials,heavy construction,solna,1988,construction
2984,neogames,consumer services,publishing,gothenburg,2006,role-playing game publisher
2985,neonode,telecommunications,computer hardware,stockholm,2001,touch technology
2986,nextjet,consumer services,airlines,stockholm,2002,regional airline
2987,nobia,consumer goods,durable household products,stockholm,1996,kitchen goods
2988,nobina,consumer services,travel & tourism,stockholm,1999,public transport
2989,nohab,industrials,diversified industrials,trollhättan,1916,"manufacturing, defunct 1979"
