05-MalPatSaj-country,07-silvestri-country,08-slytherin-country
india,india,india
south africa,south africa,south africa
russia,russia,russia
japan,japan,japan
united kingdom,united kingdom,united kingdom
india,india,india
united kingdom,united kingdom,united kingdom
taiwan,taiwan,taiwan
china,china,china
taiwan,taiwan,taiwan
united states,united states,united states
chile,chile,chile
germany,germany,germany
china,china,china
australia,australia,australia
malaysia,malaysia,malaysia
south korea,south korea,south korea
japan,japan,japan
japan,japan,japan
china,china,china
japan,japan,japan
united states,united states,united states
united states,united states,united states
india,india,india
poland,poland,poland
south africa,south africa,south africa
united kingdom,united kingdom,united kingdom
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
china,china,china
japan,japan,japan
united states,united states,united states
china,china,china
switzerland,switzerland,switzerland
united states,united states,united states
united states,united states,united states
united states,united states,united states
italy,italy,italy
united states,united states,united states
china,china,china
japan,japan,japan
japan,japan,japan
united states,united states,united states
ireland,ireland,ireland
japan,japan,japan
saudi arabia,saudi arabia,saudi arabia
united states,united states,united states
taiwan,taiwan,taiwan
sweden,sweden,sweden
china,china,china
netherlands,netherlands,netherlands
united states,united states,united states
germany,germany,germany
india,india,india
south korea,south korea,south korea
south korea,south korea,south korea
south korea,south korea,south korea
china,china,china
united states,united states,united states
russia,russia,russia
turkey,turkey,turkey
united states,united states,united states
luxembourg,luxembourg,luxembourg
czech republic,czech republic,czech republic
japan,japan,japan
japan,japan,japan
netherlands,netherlands,netherlands
italy,italy,italy
japan,japan,japan
hong kong,hong kong,hong kong
spain,spain,spain
malaysia,malaysia,malaysia
finland,finland,finland
south korea,south korea,south korea
china,china,china
china,china,china
united states,united states,united states
australia,australia,australia
japan,japan,japan
turkey,turkey,turkey
taiwan,taiwan,taiwan
chile,chile,chile
south korea,south korea,south korea
ireland,ireland,ireland
united states,united states,united states
china,china,china
united states,united states,united states
china,china,china
japan,japan,japan
japan,japan,japan
taiwan,taiwan,taiwan
united kingdom,united kingdom,united kingdom
china,china,china
china,china,china
china,china,china
united states,united states,united states
germany,germany,germany
united kingdom,united kingdom,united kingdom
canada,canada,canada
china,china,china
sweden,sweden,sweden
united states,united states,united states
india,india,india
united states,united states,united states
united states,united states,united states
taiwan,taiwan,taiwan
united states,united states,united states
united states,united states,united states
italy,italy,italy
denmark,denmark,denmark
japan,japan,japan
china,china,china
denmark,denmark,denmark
united states,united states,united states
china,china,china
poland,poland,poland
china,china,china
hong kong,hong kong,hong kong
united kingdom,united kingdom,united kingdom
south korea,south korea,south korea
united states,united states,united states
russia,russia,russia
united states,united states,united states
switzerland,switzerland,switzerland
south africa,south africa,south africa
united arab emirates,united arab emirates,united arab emirates
vietnam,vietnam,vietnam
united states,united states,united states
china,china,china
brazil,brazil,brazil
india,india,india
south korea,south korea,south korea
united states,united states,united states
australia,australia,australia
hungary,hungary,hungary
ireland,ireland,ireland
united states,united states,united states
south korea,south korea,south korea
brazil,brazil,brazil
united states,united states,united states
qatar,qatar,qatar
united states,united states,united states
china,china,china
united states,united states,united states
united states,united states,united states
belgium,belgium,belgium
canada,canada,canada
saudi arabia,saudi arabia,saudi arabia
japan,japan,japan
south africa,south africa,south africa
united states,united states,united states
united states,united states,united states
colombia,colombia,colombia
united states,united states,united states
china,china,china
china,china,china
canada,canada,canada
poland,poland,poland
japan,japan,japan
china,china,china
united states,united states,united states
china,china,china
united states,united states,united states
colombia,colombia,colombia
thailand,thailand,thailand
hong kong,hong kong,hong kong
united kingdom,united kingdom,united kingdom
united arab emirates,united arab emirates,united arab emirates
brazil,brazil,brazil
hong kong,hong kong,hong kong
canada,canada,canada
canada,canada,canada
ireland,ireland,ireland
united states,united states,united states
japan,japan,japan
united states,united states,united states
india,india,india
japan,,japan
united states,,united states
brazil,,brazil
hong kong,,hong kong
south korea,,south korea
taiwan,,taiwan
hungary,,hungary
philippines,,philippines
united states,,united states
united states,,united states
taiwan,,taiwan
united states,,united states
hong kong,,hong kong
japan,,japan
china,,china
france,,france
china,,china
japan,,japan
china,,china
china,,china
australia,,australia
canada,,canada
united states,,united states
china,,china
united states,,united states
switzerland,,switzerland
taiwan,,taiwan
united states,,united states
united states,,united states
japan,,japan
germany,,germany
united states,,united states
united states,,united states
switzerland,,switzerland
united states,,united states
israel,,israel
united states,,united states
qatar,,qatar
south korea,,south korea
united kingdom,,united kingdom
india,,india
taiwan,,taiwan
switzerland,,switzerland
united states,,united states
united kingdom,,united kingdom
united states,,united states
taiwan,,taiwan
united states,,united states
united states,,united states
thailand,,thailand
spain,,spain
israel,,israel
united states,,united states
austria,,austria
united states,,united states
china,,china
united kingdom,,united kingdom
saudi arabia,,saudi arabia
netherlands,,netherlands
japan,,japan
china,,china
taiwan,,taiwan
india,,india
norway,,norway
belgium,,belgium
united states,,united states
netherlands,,netherlands
united states,,united states
united states,,united states
netherlands,,netherlands
south africa,,south africa
taiwan,,taiwan
united states,,united states
singapore,,singapore
united states,,united states
united states,,united states
china,,china
russia,,russia
china,,china
canada,,canada
china,,china
germany,,germany
china,,china
japan,,japan
china,,china
kuwait,,kuwait
mexico,,mexico
united states,,united states
japan,,japan
united states,,united states
hong kong,,hong kong
spain,,spain
japan,,japan
italy,,italy
china,,china
china,,china
china,,china
france,,france
china,,china
united states,,united states
united states,,united states
united states,,united states
china,,china
united states,,united states
philippines,,philippines
united states,,united states
china,,china
united states,,united states
united states,,united states
italy,,italy
peru,,peru
united states,,united states
hong kong,,hong kong
united states,,united states
thailand,,thailand
china,,china
france,,france
china,,china
south korea,,south korea
china,,china
united states,,united states
canada,,canada
switzerland,,switzerland
hong kong,,hong kong
switzerland,,switzerland
russia,,russia
united states,,united states
united states,,united states
united states,,united states
taiwan,,taiwan
switzerland,,switzerland
china,,china
france,,france
united states,,united states
united states,,united states
united kingdom,,united kingdom
china,,china
china,,china
taiwan,,taiwan
united states,,united states
south korea,,south korea
brazil,,brazil
china,,china
spain,,spain
united states,,united states
united kingdom,,united kingdom
italy,,italy
south africa,,south africa
south korea,,south korea
china,,china
united kingdom,,united kingdom
france,,france
united states,,united states
indonesia,,indonesia
united states,,united states
south africa,,south africa
china,,china
united states,,united states
japan,,japan
united kingdom,,united kingdom
norway,,norway
united states,,united states
united states,,united states
south korea,,south korea
chile,,chile
south korea,,south korea
singapore,,singapore
sweden,,sweden
united states,,united states
japan,,japan
india,,india
united states,,united states
hong kong,,hong kong
united states,,united states
mexico,,mexico
sweden,,sweden
israel,,israel
china,,china
united states,,united states
china,,china
japan,,japan
china,,china
china,,china
united states,,united states
russia,,russia
united states,,united states
united states,,united states
united arab emirates,,united arab emirates
japan,,japan
china,,china
austria,,austria
hong kong,,hong kong
china,,china
china,,china
china,,china
greece,,greece
united states,,united states
japan,,japan
belgium,,belgium
united states,,united states
taiwan,,taiwan
china,,china
ireland,,ireland
germany,,germany
united states,,united states
united states,,united states
united states,,united states
japan,,japan
italy,,italy
poland,,poland
united states,,united states
ireland,,ireland
south korea,,south korea
sweden,,sweden
india,,india
china,,china
hong kong,,hong kong
united states,,united states
italy,,italy
united states,,united states
united states,,united states
united states,,united states
japan,,japan
china,,china
turkey,,turkey
italy,,italy
united states,,united states
portugal,,portugal
united states,,united states
united states,,united states
australia,,australia
france,,france
japan,,japan
united states,,united states
luxembourg,,luxembourg
australia,,australia
malaysia,,malaysia
united states,,united states
united states,,united states
china,,china
philippines,,philippines
france,,france
japan,,japan
japan,,japan
greece,,greece
china,,china
south korea,,south korea
united kingdom,,united kingdom
luxembourg,,luxembourg
sweden,,sweden
china,,china
hong kong,,hong kong
china,,china
united states,,united states
united states,,united states
china,,china
canada,,canada
brazil,,brazil
united states,,united states
israel,,israel
thailand,,thailand
turkey,,turkey
japan,,japan
china,,china
japan,,japan
netherlands,,netherlands
united states,,united states
china,,china
canada,,canada
austria,,austria
china,,china
china,,china
united states,,united states
united states,,united states
china,,china
united states,,united states
mexico,,mexico
china,,china
france,,france
norway,,norway
spain,,spain
singapore,,singapore
china,,china
united states,,united states
canada,,canada
japan,,japan
japan,,japan
china,,china
united states,,united states
sweden,,sweden
germany,,germany
israel,,israel
russia,,russia
south africa,,south africa
hong kong,,hong kong
united states,,united states
south korea,,south korea
sweden,,sweden
china,,china
italy,,italy
china,,china
netherlands,,netherlands
france,,france
united states,,united states
hong kong,,hong kong
united states,,united states
ireland,,ireland
australia,,australia
canada,,canada
saudi arabia,,saudi arabia
united states,,united states
united states,,united states
united states,,united states
china,,china
united states,,united states
ireland,,ireland
united states,,united states
united kingdom,,united kingdom
sweden,,sweden
united states,,united states
thailand,,thailand
china,,china
south korea,,south korea
brazil,,brazil
united states,,united states
sweden,,sweden
france,,france
united states,,united states
belgium,,belgium
united kingdom,,united kingdom
south korea,,south korea
russia,,russia
china,,china
china,,china
united states,,united states
france,,france
japan,,japan
china,,china
sweden,,sweden
united states,,united states
united kingdom,,united kingdom
united states,,united states
germany,,germany
switzerland,,switzerland
taiwan,,taiwan
china,,china
israel,,israel
united states,,united states
india,,india
united states,,united states
ireland,,ireland
china,,china
turkey,,turkey
canada,,canada
switzerland,,switzerland
australia,,australia
hong kong,,hong kong
japan,,japan
japan,,japan
japan,,japan
germany,,germany
india,,india
united states,,united states
united states,,united states
japan,,japan
thailand,,thailand
taiwan,,taiwan
china,,china
china,,china
china,,china
hong kong,,hong kong
australia,,australia
united states,,united states
netherlands,,netherlands
portugal,,portugal
japan,,japan
united states,,united states
united states,,united states
china,,china
russia,,russia
united states,,united states
turkey,,turkey
united states,,united states
china,,china
mexico,,mexico
china,,china
china,,china
germany,,germany
united states,,united states
italy,,italy
japan,,japan
south korea,,south korea
japan,,japan
luxembourg,,luxembourg
denmark,,denmark
germany,,germany
china,,china
united states,,united states
netherlands,,netherlands
qatar,,qatar
uruguay,,uruguay
united states,,united states
japan,,japan
hong kong,,hong kong
united states,,united states
china,,china
united states,,united states
united states,,united states
luxembourg,,luxembourg
finland,,finland
south korea,,south korea
united states,,united states
china,,china
hong kong,,hong kong
france,,france
india,,india
united states,,united states
china,,china
united states,,united states
china,,china
china,,china
switzerland,,switzerland
united states,,united states
united states,,united states
japan,,japan
canada,,canada
china,,china
japan,,japan
morocco,,morocco
taiwan,,taiwan
united states,,united states
sweden,,sweden
japan,,japan
united states,,united states
france,,france
japan,,japan
united states,,united states
united states,,united states
china,,china
united states,,united states
germany,,germany
china,,china
united states,,united states
united states,,united states
china,,china
united states,,united states
united states,,united states
taiwan,,taiwan
united states,,united states
united states,,united states
united states,,united states
united states,,united states
india,,india
united states,,united states
japan,,japan
canada,,canada
japan,,japan
brazil,,brazil
united states,,united states
france,,france
china,,china
bahrain,,bahrain
united states,,united states
united states,,united states
united states,,united states
switzerland,,switzerland
france,,france
united states,,united states
china,,china
brazil,,brazil
thailand,,thailand
india,,india
china,,china
united states,,united states
united states,,united states
united states,,united states
united states,,united states
turkey,,turkey
united states,,united states
united states,,united states
united states,,united states
chile,,chile
south korea,,south korea
china,,china
united states,,united states
japan,,japan
thailand,,thailand
united states,,united states
ireland,,ireland
australia,,australia
hong kong,,hong kong
united states,,united states
china,,china
hong kong,,hong kong
brazil,,brazil
china,,china
spain,,spain
united states,,united states
china,,china
united states,,united states
cayman islands,,cayman islands
united states,,united states
france,,france
united states,,united states
united states,,united states
south korea,,south korea
south korea,,south korea
italy,,italy
united states,,united states
united states,,united states
switzerland,,switzerland
china,,china
united states,,united states
thailand,,thailand
united states,,united states
united states,,united states
poland,,poland
kuwait,,kuwait
japan,,japan
hong kong,,hong kong
united states,,united states
france,,france
united kingdom,,united kingdom
kazakhstan,,kazakhstan
india,,india
malaysia,,malaysia
qatar,,qatar
united kingdom,,united kingdom
united states,,united states
united states,,united states
united states,,united states
japan,,japan
switzerland,,switzerland
singapore,,singapore
united states,,united states
france,,france
