00-avengers-address
"viale regina margherita 137, roma, 00198, roma, italy"
"via valpantena 18/g, verona, 37142, verona, italy"
"via michelino 59, bologna, 40127, bologna, italy"
"via della piovola 138, empoli, 50053, firenze, italy"
"viale egidio galbani 70, roma, 00156, roma, italy"
"via enrico stendhal 47, milano, 20144, milano, italy"
"corso giulio cesare 424/95/c, torino, 10156, torino, italy"
"via enrico mattei 42, bologna, 40138, bologna, italy"
"via lodovico seitz 47, treviso, 31100, treviso, italy"
"via del serafico 89, roma, 00142, roma, italy"
"contrada della misericordia 14, vicenza, 36100, vicenza, italy"
"via leopoldo serra 32, roma, 00153, roma, italy"
"via matteo civitali 1, milano, 20148, milano, italy"
"strada 8 palazzo n milanofiori, rozzano, 20089, milano, italy"
"via ignazio gardella 2, milano, 20149, milano, italy"
"via ansperto 7, milano, 20123, milano, italy"
"via enrico fermi 13/f, verona, 37135, verona, italy"
"viale bianca maria 24, milano, 20129, milano, italy"
"via borgonuovo 14, milano, 20121, milano, italy"
"via piave 1, altavilla vicentina, 36077, vicenza, italy"
"via flavio gioia 8, milano, 20149, milano, italy"
"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy"
"zona industriale di baragiano snc, balvano, 85050, potenza, italy"
"via del pino 1, empoli, 50053, firenze, italy"
"viale europa 46, cologno monzese, 20093, milano, italy"
"via guglielmo marconi 36, bologna, 40122, bologna, italy"
"strada cipata 79, mantova, 46100, mantova, italy"
"via dei mercanti 3, forli', 47122, forli'-cesena, italy"
"via antonio sant'elia, corato, 70033, bari, italy"
"via dell'industria 2, breganze, 36042, vicenza, italy"
"via nicola lorenzi 8, genova, 16152, genova, italy"
"via verizzo 1030, pieve di soligo, 31053, treviso, italy"
"via giorgio perlasca 20/c, fidenza, 43036, parma, italy"
"via giuseppe verdi 11, bergamo, 24121, bergamo, italy"
"via brigata liguria 3/19, genova, 16121, genova, italy"
"strada dell'universita' 1, parma, 43121, parma, italy"
"via gioacchino rossini 6/8, milano, 20122, milano, italy"
"piazza della repubblica 28, milano, 20124, milano, italy"
"piazza della repubblica 28, milano, 20124, milano, italy"
"via enzo ratti 2, montano lucino, 22070, como, italy"
"via leopoldo serra 32, roma, 00153, roma, italy"
"ponte francesco morosini 41, genova, 16126, genova, italy"
"via dante alighieri 5, trieste, 34122, trieste, italy"
"via fersina 23, trento, 38123, trento, italy"
"piazzale pietro ferrero 1, alba, 12051, cuneo, italy"
"zona industriale snc, luogosano, 83040, avellino, italy"
"via delle sette regole 21, scandicci, 50018, firenze, italy"
"viale europa 44/46 48, cologno monzese, 20093, milano, italy"
"via barberini 28, roma, 00187, roma, italy"
"corso sempione 55, milano, 20149, milano, italy"
"via adele bei 340, cesena, 47522, forli'-cesena, italy"
"piazza guglielmo marconi 25, roma, 00144, roma, italy"
"via marco ulpio traiano 57, milano, 20149, milano, italy"
"via vivaro 2, alba, 12051, cuneo, italy"
"viale francesco cassani 14, treviglio, 24047, bergamo, italy"
"via cardinale guglielmo massaia 83, torino, 10147, torino, italy"
"via xx settembre 58/c, bergamo, 24122, bergamo, italy"
"zona industriale, osoppo, 33010, udine, italy"
"zona industriale snc, osoppo, 33010, udine, italy"
"via luigi sani 1, reggio emilia, 42121, reggio emilia, italy"
"via i maggio 99, rivalta di torino, 10040, torino, italy"
"via dodiciville 8, bolzano, 39100, bolzano, italy"
"via terraglio 17, venezia, 30174, venezia, italy"
"via eden fumagalli, brugherio, 20861, monza e brianza, italy"
"via del rio 400, cesena, 47522, forli'-cesena, italy"
"piazza borromeo 14, milano, 20123, milano, italy"
"via achille grandi 18, brescia, 25125, brescia, italy"
"via agostino bertani 2, milano, 20154, milano, italy"
"via padana superiore 19, vimodrone, 20055, milano, italy"
"via marostica 1, milano, 20146, milano, italy"
"via marostica 1, milano, 20146, milano, italy"
"via madre anna maria adorni 1, parma, 43121, parma, italy"
"via stazione 4, cosio valtellino, 23013, sondrio, italy"
"via giacomo venturi 1-2, valsamoggia, 40053, bologna, italy"
"viale luigi bodio 37/b, milano, 20158, milano, italy"
"corso orbassano 367, torino, 10137, torino, italy"
"via paolo di dono 3/a, roma, 00142, roma, italy"
"via lavoratori autobianchi 1, desio, 20832, monza e brianza, italy"
"piazza giuseppe garibaldi 4, sarzana, 19038, la spezia, italy"
"via francesco baracca 2/4 6, aprilia, 04011, latina, italy"
"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy"
"riviera francia 9/11, padova, 35127, padova, italy"
"riviera francia 9/11, padova, 35127, padova, italy"
"lungostura lazio 3a, torino, 10100, torino, italy"
"via del mulino 6, assago, 20057, milano, italy"
"via cadriano 27/2, bologna, 40127, bologna, italy"
"piazzale giulio douhet 31, roma, 00143, roma, italy"
"corso susa 13/15, caselette, 10040, torino, italy"
"via salaria 1039, roma, 00138, roma, italy"
"via salaria 1039, roma, 00138, roma, italy"
"piazzale dell'agricoltura 24, roma, 00144, roma, italy"
"via cadriano 36, bologna, 40127, bologna, italy"
"via dell'unione 1, milano, 20122, milano, italy"
"via xxv aprile 23, san donato milanese, 20097, milano, italy"
"via marchese campodisola 13, napoli, 80133, napoli, italy"
"viale giorgio ribotta 11, roma, 00144, roma, italy"
"via tomacelli 146, roma, 00186, roma, italy"
"viale leone tolstoj 65, san giuliano milanese, 20098, milano, italy"
"viale giosue' carducci 48, bologna, 40125, bologna, italy"
"viale giosue' carducci 48, bologna, 40125, bologna, italy"
"via dodiciville 8, bolzano, 39100, bolzano, italy"
"via ciovassino 1/a, milano, 20121, milano, italy"
"via john fitzgerald kennedy 5, campegine, 42040, reggio emilia, italy"
"via valpantena 18/g, verona, 37142, verona, italy"
"via giuseppe verdi 8, bedizzole, 25081, brescia, italy"
"via solferino 1, lodi, 26900, lodi, italy"
"corso giovanni lanza 101, torino, 10133, torino, italy"
"viale thomas alva edison 110, sesto san giovanni, 20099, milano, italy"
"via baione 200, monopoli, 70043, bari, italy"
"via guglielmo marconi 24, rozzano, 20089, milano, italy"
"viale bianca maria 25, milano, 20122, milano, italy"
"corso nino bixio 8, alba, 12051, cuneo, italy"
"piazzale guido donegani 12, ferrara, 44122, ferrara, italy"
"frazione valcozzena 10, agordo, 32021, belluno, italy"
"via mare adriatico 122, spoltore, 65010, pescara, italy"
"via monte napoleone 8, milano, 20121, milano, italy"
"via olanda 2, padova, 35127, padova, italy"
"via leonida bissolati 20, roma, 00187, roma, italy"
"strada del portone 95, grugliasco, 10095, torino, italy"
"via olanda 2, padova, 35127, padova, italy"
"via mecenate 86, milano, 20138, milano, italy"
"via mecenate 86, milano, 20138, milano, italy"
"viale europa 190, roma, 00144, roma, italy"
"via ruggero boscovich 27, milano, 20124, milano, italy"
"strada statale per alessandria 6/a, tortona, 15057, alessandria, italy"
"viale della scienza 25, vicenza, 36100, vicenza, italy"
"strada provinciale 11 padana superiore 2/b, cernusco sul naviglio, 20063, milano, italy"
"viale dei lanifici 1, valdagno, 36078, vicenza, italy"
"via cumiana 14, rivoli, 10098, torino, italy"
"via carlo poma 11, pomezia, 00071, roma, italy"
"via portamurata 8/a, guastalla, 42016, reggio emilia, italy"
"via mozzoni localita' s.domenico, ottaviano, 80044, napoli, italy"
"piazza john fitzgerald kennedy 3, ravenna, 48121, ravenna, italy"
"via crescentino, saluggia, 13040, vercelli, italy"
"localita' castelluccio 11, capolona, 52010, arezzo, italy"
"viale cesare pavese 385, roma, 00144, roma, italy"
"corso lino zanussi 24, porcia, 33080, pordenone, italy"
"via ubaldo poli 4, zola predosa, 40069, bologna, italy"
"via cuneo 34, cherasco, 12062, cuneo, italy"
"corso giulio cesare 268, torino, 10154, torino, italy"
"via garbagnate 63, lainate, 20045, milano, italy"
"via aurelia 915, roma, 00165, roma, italy"
"via michelino 105, bologna, 40127, bologna, italy"
"via michelino 105, bologna, 40127, bologna, italy"
"corso vercelli 120/c, novara, 28100, novara, italy"
"via dei tornabuoni 2, firenze, 50123, firenze, italy"
"via i maggio 99, rivalta di torino, 10040, torino, italy"
"corso europa 2, milano, 20122, milano, italy"
"viale francesco cassani 15, treviglio, 24047, bergamo, italy"
"via giovanni battista pergolesi 25, milano, 20124, milano, italy"
"via de marini 1, genova, 16149, genova, italy"
"via de marini 1, genova, 16149, genova, italy"
"via martin piaggio 17/4, genova, 16122, genova, italy"
"viale delle industrie snc, vimodrone, 20055, milano, italy"
"via bolladore 64, sondalo, 23035, sondrio, italy"
"via dei campi della rienza 30, brunico, 39031, bolzano, italy"
"galleria camillo benso conte di cavour 4, bologna, 40124, bologna, italy"
"piazza iv novembre 7, milano, 20124, milano, italy"
"frazione masio 24, poirino, 10046, torino, italy"
"via nelson mandela 4, vercelli, 13100, vercelli, italy"
"via giulio vincenzo bona 101, roma, 00156, roma, italy"
"viale monte grappa 3/5, milano, 20124, milano, italy"
"via jacopo da diacceto 48, firenze, 50123, firenze, italy"
"via delle primule 5, cogliate, 20815, monza e brianza, italy"
"via michele coppino 104, viareggio, 55049, lucca, italy"
"lungadige galtarossa 8, verona, 37133, verona, italy"
"via vezza d'oglio 7, milano, 20139, milano, italy"
"via rochdale 5, reggio emilia, 42122, reggio emilia, italy"
"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy"
"galleria guglielmo marconi 1, bologna, 40122, bologna, italy"
"via clementino bonfiglioli 1, calderara di reno, 40012, bologna, italy"
"via giuseppe verdi 6, san pietro mosezzo, 28060, novara, italy"
"via gian carlo clerici 342, bresso, 20091, milano, italy"
"via venezia 1, trebaseleghe, 35010, padova, italy"
"via pantano 28, milano, 20122, milano, italy"
"via antonio sant'elia zona industriale snc, corato, 70033, bari, italy"
"via taranto 40, nola, 80035, napoli, italy"
"via palesella 1, cerea, 37053, verona, italy"
"via pinerolo 44, airasca, 10060, torino, italy"
"via carlo donat cattin 5, cernusco sul naviglio, 20063, milano, italy"
"galleria spagna 9, padova, 35127, padova, italy"
"galleria spagna 9, padova, 35127, padova, italy"
"via rodolfo morandi 30, san donato milanese, 20097, milano, italy"
"via alfred bernhard nobel 4/a, parma, 43122, parma, italy"
"via taranto 40, nola, 80035, napoli, italy"
"via istituto santa maria della pieta' 6, venezia, 30173, venezia, italy"
"via adriano olivetti snc, termoli, 86039, campobasso, italy"
"viale luca gaurico 187, roma, 00143, roma, italy"
"via moggia 75/a, lavagna, 16033, genova, italy"
"via ugo panziera 16, prato, 59100, prato, italy"
"via gaetano negri 1, milano, 20123, milano, italy"
"via carlo goldoni 10, milano, 20129, milano, italy"
"via carlo goldoni 10, milano, 20129, milano, italy"
"via milano 10, san donato milanese, 20097, milano, italy"
"via fiorenzo semini 12, genova, 16163, genova, italy"
"via antonio pacinotti 25, san giovanni lupatoto, 37057, verona, italy"
"via delle azalee 19, buccinasco, 20090, milano, italy"
"via giulio vincenzo bona 65, roma, 00156, roma, italy"
"stradone vigliena 39, napoli, 80146, napoli, italy"
"via della chiocana 3, magione, 06063, perugia, italy"
"viale amelia 70, roma, 00181, roma, italy"
"via aristide nonis 68/a, marostica, 36063, vicenza, italy"
"via dell'innovazione 1, camisano vicentino, 36043, vicenza, italy"
"via di macchia palocco 223, roma, 00125, roma, italy"
"viale fulvio testi 280, milano, 20126, milano, italy"
"via marie curie 2, bolzano, 39100, bolzano, italy"
"palazzo meucci via francesco sforza, basiglio, 20079, milano, italy"
"viale aldo borletti 61/63, corbetta, 20011, milano, italy"
"piazza indro montanelli 30, sesto san giovanni, 20099, milano, italy"
"riviera maestri del lavoro 24, padova, 35127, padova, italy"
"via casilina 125, roma, 00176, roma, italy"
"via degli aldobrandeschi 300, roma, 00163, roma, italy"
"contrada milocca snc, assoro, 94010, enna, italy"
"via nerio nannetti 1, zola predosa, 40069, bologna, italy"
"via di casal boccone 188/190, roma, 00137, roma, italy"
"piazza dei santi apostoli 66, roma, 00187, roma, italy"
"via santena 1, villastellone, 10029, torino, italy"
"viale certosa 239, milano, 20151, milano, italy"
"viale monte grappa 3/5, milano, 20124, milano, italy"
"via emilia san pietro 4, reggio emilia, 42121, reggio emilia, italy"
"piazza del calendario 3, milano, 20126, milano, italy"
"via baiona 203, ravenna, 48123, ravenna, italy"
"viale regina margherita 125, roma, 00198, roma, italy"
"via napoli 220, casandrino, 80025, napoli, italy"
"lungotorrente secca 3/a, genova, 16163, genova, italy"
"via giuseppe mazzini 36, valguarnera caropepe, 94019, enna, italy"
"via emilia 1, san donato milanese, 20097, milano, italy"
"foro buonaparte 67, milano, 20121, milano, italy"
"via san polo 152, brescia, 25134, brescia, italy"
"via assano 1791, cesena, 47521, forli'-cesena, italy"
"via sebastiano caboto 1, corsico, 20094, milano, italy"
"viale thomas alva edison 110, sesto san giovanni, 20099, milano, italy"
"via san michele 36, scandicci, 50018, firenze, italy"
"localita' conti maltraverso 1, montebello vicentino, 36054, vicenza, italy"
"via einaudi 18/22, cermenate, 22072, como, italy"
"localita' merlaro 2, vestone, 25078, brescia, italy"
"via giovanni ansaldo 7, forli', 47122, forli'-cesena, italy"
"via alessandro manzoni 41, milano, 20121, milano, italy"
"piazza caduti 6 luglio 1944 1, dalmine, 24044, bergamo, italy"
"piazza giuseppe garibaldi 16, sondrio, 23100, sondrio, italy"
"via dell'industria 22, conselice, 48017, ravenna, italy"
"viale lombardia 20, bollate, 20021, milano, italy"
"via aldo moro 95, arco, 38062, trento, italy"
"strada di scorrimento 2, vado ligure, 17047, savona, italy"
"via leonardo da vinci 4, guastalla, 42016, reggio emilia, italy"
"viale enrico forlanini 23, milano, 20134, milano, italy"
"via tortona 9, milano, 20144, milano, italy"
"via del mulino 6, assago, 20057, milano, italy"
"via gaspare gozzi 1/a, milano, 20129, milano, italy"
"corso felice cavallotti 30, sanremo, 18038, imperia, italy"
"via gaudenzio fantoli 15/2 15/8, milano, 20138, milano, italy"
"via ottavio moreno 23, savigliano, 12038, cuneo, italy"
"corso felice cavallotti 30, sanremo, 18038, imperia, italy"
"via caldera 21, milano, 20153, milano, italy"
"viale luigi borri 231, varese, 21100, varese, italy"
"via chiese 6, milano, 20126, milano, italy"
"foro buonaparte 10, milano, 20121, milano, italy"
"via regona 3, pizzighettone, 26026, cremona, italy"
"via colombara 113, venezia, 30176, venezia, italy"
"piazza giovine italia 3, milano, 20123, milano, italy"
"via colombara 113, venezia, 30176, venezia, italy"
"via orna 35, brendola, 36040, vicenza, italy"
"via moggia 75/a, lavagna, 16033, genova, italy"
"via bolzano 63, appiano sulla strada del vino, 39057, bolzano, italy"
"via salaria 1039, roma, 00138, roma, italy"
"via invorio 24/a, torino, 10146, torino, italy"
"via venezia 58, campo san martino, 35010, padova, italy"
"via basento 19, san giuliano milanese, 20098, milano, italy"
"via angelo rizzoli 8, milano, 20132, milano, italy"
"via xii ottobre 1, genova, 16121, genova, italy"
"galleria passarella 2, milano, 20122, milano, italy"
"via antonio pacinotti 3, bolzano, 39100, bolzano, italy"
"via carlo amoretti 78, milano, 20157, milano, italy"
"strada statale s.s. aurelia km. 237 snc, piombino, 57025, livorno, italy"
"via massaua 6, milano, 20146, milano, italy"
"via filippo della valle 1, sant'elpidio a mare, 63811, fermo, italy"
"via settecamini 116, sant'elpidio a mare, 63811, fermo, italy"
"via del lavoro 45, solbiate arno, 21048, varese, italy"
"via gardizza 9/b, conselice, 48017, ravenna, italy"
"mura di santa chiara 1, genova, 16128, genova, italy"
"via antonio gramsci 731/733, sesto fiorentino, 50019, firenze, italy"
"corso inghilterra 3, torino, 10138, torino, italy"
"via antonio salieri 36, oppeano, 37050, verona, italy"
"via oderzo 68, prata di pordenone, 33080, pordenone, italy"
"via canareggio 1823/1, borgo veneto, 35046, padova, italy"
"via mensa 3, lugo, 48022, ravenna, italy"
"via casilina sud snc km90,200, torrice, 03020, frosinone, italy"
"via della meccanica 16, pesaro, 61122, pesaro e urbino, italy"
"via emilia 69/71/77, rimini, 47921, rimini, italy"
"via massimo gorki 69, cinisello balsamo, 20092, milano, italy"
"viale fratelli rosselli 46, pesaro, 61121, pesaro e urbino, italy"
"via carlo goldoni 10, milano, 20129, milano, italy"
"localita' linfano, arco, 38062, trento, italy"
"via emilia 2614, longiano, 47020, forli'-cesena, italy"
"via francesco albani 65, milano, 20148, milano, italy"
"via dei ciclamini 4, modugno, 70026, bari, italy"
"via consolatico superiore 96/98, busseto, 43011, parma, italy"
"viale alessandro marchetti 105, roma, 00148, roma, italy"
"via nelson mandela 4, vercelli, 13100, vercelli, italy"
"viuzzo di porto 4/b, scandicci, 50018, firenze, italy"
"via del teatro 5, trieste, 34121, trieste, italy"
"via anna maria mozzoni 12, milano, 20152, milano, italy"
"via san bovio 3, segrate, 20054, milano, italy"
"via consortile, avellino, 83100, avellino, italy"
"via lorenteggio 240, milano, 20147, milano, italy"
"piazza poli 37/42, roma, 00187, roma, italy"
"via antonio cavalieri ducati 3, bologna, 40132, bologna, italy"
"via enrico cialdini 16, milano, 20161, milano, italy"
"piazza delle donne lavoratrici 2, trento, 38121, trento, italy"
"largo augusto 8, milano, 20122, milano, italy"
"via napoli 220, casandrino, 80025, napoli, italy"
"strada serravalle 65, novi ligure, 15067, alessandria, italy"
"piazza san fedele 2, milano, 20121, milano, italy"
"via circonvallazione est 1, stezzano, 24040, bergamo, italy"
"via giovanni spadolini 5, milano, 20141, milano, italy"
"corso europa 2, boltiere, 24040, bergamo, italy"
"via vitorchiano 151, roma, 00189, roma, italy"
"via artigiani 2, maclodio, 25030, brescia, italy"
"via francesco primaticcio 155, milano, 20147, milano, italy"
"passeggio sant'andrea 4, trieste, 34123, trieste, italy"
"via granarolo 175/3, faenza, 48018, ravenna, italy"
"via bartolomeo zucchi 1, monza, 20900, monza e brianza, italy"
"viale dell'agricoltura 7, verona, 37135, verona, italy"
"via padana superiore 19, vimodrone, 20055, milano, italy"
"via messina 38, milano, 20154, milano, italy"
"viale aristide merloni 45, fabriano, 60044, ancona, italy"
"viale lombardia 29, viadana, 46019, mantova, italy"
"via federico confalonieri 4, milano, 20124, milano, italy"
"via filippo da desio 60, desio, 20832, monza e brianza, italy"
"via enrico fermi 51, scanzorosciate, 24020, bergamo, italy"
"viale parco dell'industria 5, corciano, 06073, perugia, italy"
"piazzetta dei sapienti 1, corciano, 06073, perugia, italy"
"via castellana 90, istrana, 31036, treviso, italy"
"viale ita marzotto 8, fossalta di portogruaro, 30025, venezia, italy"
"via san magno 31, corato, 70033, bari, italy"
"corso pietro rolandi 10, quarona, 13017, vercelli, italy"
"strada gherbella 320, modena, 41126, modena, italy"
