00-avengers-categories
"['unitedstates', 'technology', 'consumerelectronics', 'unitedstatestechnology', 'unitedstatesconsumerelectronics']"
"['china', 'consumerstaples', 'beverages—wineries&distilleries', 'chinaconsumerstaples', 'chinabeverages—wineries&distilleries']"
"['unitedstates', 'energy', 'oil&gasintegrated', 'unitedstatesenergy', 'unitedstatesoil&gasintegrated']"
"['switzerland', 'healthcare', 'drugmanufacturers—general', 'switzerlandhealthcare', 'switzerlanddrugmanufacturers—general']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']"
"['southkorea', 'technology', 'consumerelectronics', 'southkoreatechnology', 'southkoreaconsumerelectronics']"
"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']"
"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']"
"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['taiwan', 'technology', 'semiconductors', 'taiwantechnology', 'taiwansemiconductors']"
"['unitedstates', 'communicationservices', 'internetcontent&information', 'unitedstatescommunicationservices', 'unitedstatesinternetcontent&information']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'financials', 'financialconglomerates', 'unitedstatesfinancials', 'unitedstatesfinancialconglomerates']"
"['unitedstates', 'consumerdiscretionary', 'automanufacturers', 'unitedstatesconsumerdiscretionary', 'unitedstatesautomanufacturers']"
"['unitedstates', 'consumerdiscretionary', 'internetretail', 'unitedstatesconsumerdiscretionary', 'unitedstatesinternetretail']"
"['unitedstates', 'communicationservices', 'internetcontent&information', 'unitedstatescommunicationservices', 'unitedstatesinternetcontent&information']"
"['saudiarabia', 'energy', 'oil&gasintegrated', 'saudiarabiaenergy', 'saudiarabiaoil&gasintegrated']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['ireland', 'healthcare', 'medicaldevices', 'irelandhealthcare', 'irelandmedicaldevices']"
"['unitedstates', 'consumerstaples', 'tobacco', 'unitedstatesconsumerstaples', 'unitedstatestobacco']"
"['unitedstates', 'financials', 'capitalmarkets', 'unitedstatesfinancials', 'unitedstatescapitalmarkets']"
"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
"['unitedstates', 'communicationservices', 'entertainment', 'unitedstatescommunicationservices', 'unitedstatesentertainment']"
"['unitedstates', 'financials', 'capitalmarkets', 'unitedstatesfinancials', 'unitedstatescapitalmarkets']"
"['unitedstates', 'communicationservices', 'telecomservices', 'unitedstatescommunicationservices', 'unitedstatestelecomservices']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['unitedkingdom', 'basicmaterials', 'specialtychemicals', 'unitedkingdombasicmaterials', 'unitedkingdomspecialtychemicals']"
"['netherlands', 'communicationservices', 'internetcontent&information', 'netherlandscommunicationservices', 'netherlandsinternetcontent&information']"
"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'communicationservices', 'telecomservices', 'unitedstatescommunicationservices', 'unitedstatestelecomservices']"
"['unitedstates', 'industrials', 'railroads', 'unitedstatesindustrials', 'unitedstatesrailroads']"
"['china', 'industrials', 'electricalequipment&parts', 'chinaindustrials', 'chinaelectricalequipment&parts']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'consumerdiscretionary', 'restaurants', 'unitedstatesconsumerdiscretionary', 'unitedstatesrestaurants']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'industrials', 'integratedfreight&logistics', 'unitedstatesindustrials', 'unitedstatesintegratedfreight&logistics']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedkingdom', 'healthcare', 'drugmanufacturers—general', 'unitedkingdomhealthcare', 'unitedkingdomdrugmanufacturers—general']"
"['switzerland', 'healthcare', 'drugmanufacturers—general', 'switzerlandhealthcare', 'switzerlanddrugmanufacturers—general']"
"['unitedkingdom', 'energy', 'oil&gasintegrated', 'unitedkingdomenergy', 'unitedkingdomoil&gasintegrated']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'industrials', 'farm&heavyconstructionmachinery', 'unitedstatesindustrials', 'unitedstatesfarm&heavyconstructionmachinery']"
"['france', 'healthcare', 'drugmanufacturers—general', 'francehealthcare', 'francedrugmanufacturers—general']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['germany', 'technology', 'software—application', 'germanytechnology', 'germanysoftware—application']"
"['china', 'financials', 'insurance—life', 'chinafinancials', 'chinainsurance—life']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['france', 'energy', 'oil&gasintegrated', 'franceenergy', 'franceoil&gasintegrated']"
"['hongkong', 'communicationservices', 'telecomservices', 'hongkongcommunicationservices', 'hongkongtelecomservices']"
"['unitedkingdom', 'financials', 'banks', 'unitedkingdomfinancials', 'unitedkingdombanks']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']"
"['unitedstates', 'consumerdiscretionary', 'homeimprovementretail', 'unitedstatesconsumerdiscretionary', 'unitedstateshomeimprovementretail']"
"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']"
"['china', 'energy', 'oil&gasintegrated', 'chinaenergy', 'chinaoil&gasintegrated']"
"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
"['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['china', 'financials', 'insurance—life', 'chinafinancials', 'chinainsurance—life']"
"['netherlands', 'industrials', 'aerospace&defense', 'netherlandsindustrials', 'netherlandsaerospace&defense']"
"['brazil', 'energy', 'oil&gasintegrated', 'brazilenergy', 'braziloil&gasintegrated']"
"['germany', 'financials', 'insurance—diversified', 'germanyfinancials', 'germanyinsurance—diversified']"
"['switzerland', 'financials', 'insurance—property&casualty', 'switzerlandfinancials', 'switzerlandinsurance—property&casualty']"
"['germany', 'consumerdiscretionary', 'automanufacturers', 'germanyconsumerdiscretionary', 'germanyautomanufacturers']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']"
"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']"
"['unitedstates', 'healthcare', 'medicaldevices', 'unitedstateshealthcare', 'unitedstatesmedicaldevices']"
"['unitedkingdom', 'consumerstaples', 'tobacco', 'unitedkingdomconsumerstaples', 'unitedkingdomtobacco']"
"['unitedstates', 'consumerstaples', 'tobacco', 'unitedstatesconsumerstaples', 'unitedstatestobacco']"
"['japan', 'communicationservices', 'telecomservices', 'japancommunicationservices', 'japantelecomservices']"
"['saudiarabia', 'basicmaterials', 'chemicals', 'saudiarabiabasicmaterials', 'saudiarabiachemicals']"
"['china', 'consumerdiscretionary', 'automanufacturers', 'chinaconsumerdiscretionary', 'chinaautomanufacturers']"
"['unitedstates', 'communicationservices', 'entertainment', 'unitedstatescommunicationservices', 'unitedstatesentertainment']"
"['unitedstates', 'communicationservices', 'internetcontent&information', 'unitedstatescommunicationservices', 'unitedstatesinternetcontent&information']"
"['saudiarabia', 'financials', 'banks', 'saudiarabiafinancials', 'saudiarabiabanks']"
"['india', 'technology', 'informationtechnologyservices', 'indiatechnology', 'indiainformationtechnologyservices']"
"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['brazil', 'basicmaterials', 'otherindustrialmetals&mining', 'brazilbasicmaterials', 'brazilotherindustrialmetals&mining']"
"['unitedstates', 'consumerdiscretionary', 'restaurants', 'unitedstatesconsumerdiscretionary', 'unitedstatesrestaurants']"
"['germany', 'consumerdiscretionary', 'automanufacturers', 'germanyconsumerdiscretionary', 'germanyautomanufacturers']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedkingdom', 'healthcare', 'drugmanufacturers—general', 'unitedkingdomhealthcare', 'unitedkingdomdrugmanufacturers—general']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['spain', 'consumerdiscretionary', 'apparelretail', 'spainconsumerdiscretionary', 'spainapparelretail']"
"['australia', 'industrials', 'infrastructureoperations', 'australiaindustrials', 'australiainfrastructureoperations']"
"['unitedstates', 'financials', 'capitalmarkets', 'unitedstatesfinancials', 'unitedstatescapitalmarkets']"
"['japan', 'technology', 'scientific&technicalinstruments', 'japantechnology', 'japanscientific&technicalinstruments']"
"['china', 'consumerdiscretionary', 'internetretail', 'chinaconsumerdiscretionary', 'chinainternetretail']"
"['germany', 'industrials', 'specialtyindustrialmachinery', 'germanyindustrials', 'germanyspecialtyindustrialmachinery']"
"['unitedstates', 'realestate', 'reit—specialty', 'unitedstatesrealestate', 'unitedstatesreit—specialty']"
"['unitedkingdom', 'consumerstaples', 'beverages—wineries&distilleries', 'unitedkingdomconsumerstaples', 'unitedkingdombeverages—wineries&distilleries']"
"['india', 'financials', 'banks', 'indiafinancials', 'indiabanks']"
"['unitedstates', 'financials', 'assetmanagement', 'unitedstatesfinancials', 'unitedstatesassetmanagement']"
"['unitedkingdom', 'consumerstaples', 'household&personalproducts', 'unitedkingdomconsumerstaples', 'unitedkingdomhousehold&personalproducts']"
"['unitedstates', 'technology', 'informationtechnologyservices', 'unitedstatestechnology', 'unitedstatesinformationtechnologyservices']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['unitedstates', 'technology', 'semiconductorequipment&materials', 'unitedstatestechnology', 'unitedstatessemiconductorequipment&materials']"
"['unitedstates', 'realestate', 'reit—industrial', 'unitedstatesrealestate', 'unitedstatesreit—industrial']"
"['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']"
"['energy', 'oil&gasintegrated']"
"['belgium', 'consumerstaples', 'beverages—brewers', 'belgiumconsumerstaples', 'belgiumbeverages—brewers']"
"['unitedstates', 'industrials', 'farm&heavyconstructionmachinery', 'unitedstatesindustrials', 'unitedstatesfarm&heavyconstructionmachinery']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['hongkong', 'financials', 'insurance—life', 'hongkongfinancials', 'hongkonginsurance—life']"
"['unitedkingdom', 'basicmaterials', 'otherindustrialmetals&mining', 'unitedkingdombasicmaterials', 'unitedkingdomotherindustrialmetals&mining']"
"['japan', 'technology', 'consumerelectronics', 'japantechnology', 'japanconsumerelectronics']"
"['japan', 'technology', 'semiconductorequipment&materials', 'japantechnology', 'japansemiconductorequipment&materials']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['france', 'healthcare', 'medicalinstruments&supplies', 'francehealthcare', 'francemedicalinstruments&supplies']"
"['unitedstates', 'realestate', 'reit—specialty', 'unitedstatesrealestate', 'unitedstatesreit—specialty']"
"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']"
"['unitedstates', 'healthcare', 'medicalcarefacilities', 'unitedstateshealthcare', 'unitedstatesmedicalcarefacilities']"
"['france', 'basicmaterials', 'chemicals', 'francebasicmaterials', 'francechemicals']"
"['canada', 'technology', 'software—application', 'canadatechnology', 'canadasoftware—application']"
"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']"
"['japan', 'financials', 'banks', 'japanfinancials', 'japanbanks']"
"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']"
"['unitedstates', 'financials', 'insurancebrokers', 'unitedstatesfinancials', 'unitedstatesinsurancebrokers']"
"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']"
"['switzerland', 'basicmaterials', 'otherindustrialmetals&mining', 'switzerlandbasicmaterials', 'switzerlandotherindustrialmetals&mining']"
"['canada', 'financials', 'assetmanagement', 'canadafinancials', 'canadaassetmanagement']"
"['unitedstates', 'financials', 'assetmanagement', 'unitedstatesfinancials', 'unitedstatesassetmanagement']"
"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['australia', 'healthcare', 'biotechnology', 'australiahealthcare', 'australiabiotechnology']"
"['unitedstates', 'healthcare', 'drugmanufacturers—specialty&generic', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—specialty&generic']"
"['unitedstates', 'basicmaterials', 'chemicals', 'unitedstatesbasicmaterials', 'unitedstateschemicals']"
"['china', 'consumerdiscretionary', 'internetretail', 'chinaconsumerdiscretionary', 'chinainternetretail']"
"['unitedstates', 'consumerstaples', 'confectioners', 'unitedstatesconsumerstaples', 'unitedstatesconfectioners']"
"['germany', 'healthcare', 'drugmanufacturers—specialty&generic', 'germanyhealthcare', 'germanydrugmanufacturers—specialty&generic']"
"['germany', 'communicationservices', 'telecomservices', 'germanycommunicationservices', 'germanytelecomservices']"
"['france', 'industrials', 'specialtyindustrialmachinery', 'franceindustrials', 'francespecialtyindustrialmachinery']"
"['canada', 'energy', 'oil&gasmidstream', 'canadaenergy', 'canadaoil&gasmidstream']"
"['canada', 'industrials', 'railroads', 'canadaindustrials', 'canadarailroads']"
"['unitedstates', 'consumerdiscretionary', 'travelservices', 'unitedstatesconsumerdiscretionary', 'unitedstatestravelservices']"
"['china', 'energy', 'thermalcoal', 'chinaenergy', 'chinathermalcoal']"
"['unitedkingdom', 'energy', 'oil&gasintegrated', 'unitedkingdomenergy', 'unitedkingdomoil&gasintegrated']"
"['unitedstates', 'industrials', 'staffing&employmentservices', 'unitedstatesindustrials', 'unitedstatesstaffing&employmentservices']"
"['unitedstates', 'healthcare', 'medicaldevices', 'unitedstateshealthcare', 'unitedstatesmedicaldevices']"
"['switzerland', 'financials', 'insurance—diversified', 'switzerlandfinancials', 'switzerlandinsurance—diversified']"
"['australia', 'technology', 'software—application', 'australiatechnology', 'australiasoftware—application']"
"['unitedstates', 'consumerdiscretionary', 'apparelretail', 'unitedstatesconsumerdiscretionary', 'unitedstatesapparelretail']"
"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']"
"['canada', 'energy', 'oil&gase&p', 'canadaenergy', 'canadaoil&gase&p']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'healthcare', 'biotechnology', 'unitedstateshealthcare', 'unitedstatesbiotechnology']"
"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']"
"['unitedstates', 'healthcare', 'medicalinstruments&supplies', 'unitedstateshealthcare', 'unitedstatesmedicalinstruments&supplies']"
"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']"
"['unitedstates', 'technology', 'semiconductorequipment&materials', 'unitedstatestechnology', 'unitedstatessemiconductorequipment&materials']"
"['unitedstates', 'utilities', 'utilities—regulatedelectric', 'unitedstatesutilities', 'unitedstatesutilities—regulatedelectric']"
"['china', 'energy', 'oil&gasintegrated', 'chinaenergy', 'chinaoil&gasintegrated']"
"['china', 'utilities', 'utilities—independentpowerproducers', 'chinautilities', 'chinautilities—independentpowerproducers']"
"['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']"
"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']"
"['unitedstates', 'consumerdiscretionary', 'automanufacturers', 'unitedstatesconsumerdiscretionary', 'unitedstatesautomanufacturers']"
"['unitedstates', 'financials', 'insurance—life', 'unitedstatesfinancials', 'unitedstatesinsurance—life']"
"['france', 'technology', 'software—application', 'francetechnology', 'francesoftware—application']"
"['unitedstates', 'utilities', 'utilities—diversified', 'unitedstatesutilities', 'unitedstatesutilities—diversified']"
"['unitedstates', 'healthcare', 'medicaldevices', 'unitedstateshealthcare', 'unitedstatesmedicaldevices']"
"['unitedstates', 'industrials', 'integratedfreight&logistics', 'unitedstatesindustrials', 'unitedstatesintegratedfreight&logistics']"
"['japan', 'basicmaterials', 'chemicals', 'japanbasicmaterials', 'japanchemicals']"
"['denmark', 'industrials', 'marineshipping', 'denmarkindustrials', 'denmarkmarineshipping']"
"['southkorea', 'technology', 'semiconductors', 'southkoreatechnology', 'southkoreasemiconductors']"
"['japan', 'consumerdiscretionary', 'leisure', 'japanconsumerdiscretionary', 'japanleisure']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['unitedstates', 'utilities', 'utilities—diversified', 'unitedstatesutilities', 'unitedstatesutilities—diversified']"
"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']"
"['unitedstates', 'consumerdiscretionary', 'automanufacturers', 'unitedstatesconsumerdiscretionary', 'unitedstatesautomanufacturers']"
"['unitedstates', 'basicmaterials', 'gold', 'unitedstatesbasicmaterials', 'unitedstatesgold']"
"['unitedstates', 'realestate', 'reit—specialty', 'unitedstatesrealestate', 'unitedstatesreit—specialty']"
"['india', 'financials', 'banks', 'indiafinancials', 'indiabanks']"
"['singapore', 'financials', 'banks', 'singaporefinancials', 'singaporebanks']"
"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']"
"['unitedstates', 'industrials', 'wastemanagement', 'unitedstatesindustrials', 'unitedstateswastemanagement']"
"['switzerland', 'industrials', 'electricalequipment&parts', 'switzerlandindustrials', 'switzerlandelectricalequipment&parts']"
"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']"
"['unitedstates', 'financials', 'insurance—property&casualty', 'unitedstatesfinancials', 'unitedstatesinsurance—property&casualty']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['unitedstates', 'healthcare', 'biotechnology', 'unitedstateshealthcare', 'unitedstatesbiotechnology']"
"['unitedstates', 'basicmaterials', 'specialtychemicals', 'unitedstatesbasicmaterials', 'unitedstatesspecialtychemicals']"
"['germany', 'healthcare', 'drugmanufacturers—general', 'germanyhealthcare', 'germanydrugmanufacturers—general']"
"['japan', 'industrials', 'staffing&employmentservices', 'japanindustrials', 'japanstaffing&employmentservices']"
"['spain', 'utilities', 'utilities—diversified', 'spainutilities', 'spainutilities—diversified']"
"['unitedstates', 'technology', 'informationtechnologyservices', 'unitedstatestechnology', 'unitedstatesinformationtechnologyservices']"
"['russia', 'financials', 'banks', 'russiafinancials', 'russiabanks']"
"['switzerland', 'financials', 'banks', 'switzerlandfinancials', 'switzerlandbanks']"
"['unitedstates', 'realestate', 'reit—industrial', 'unitedstatesrealestate', 'unitedstatesreit—industrial']"
"['mexico', 'communicationservices', 'telecomservices', 'mexicocommunicationservices', 'mexicotelecomservices']"
"['france', 'financials', 'banks', 'francefinancials', 'francebanks']"
"['italy', 'utilities', 'utilities—diversified', 'italyutilities', 'italyutilities—diversified']"
"['unitedstates', 'utilities', 'utilities—diversified', 'unitedstatesutilities', 'unitedstatesutilities—diversified']"
"['france', 'financials', 'insurance—diversified', 'francefinancials', 'franceinsurance—diversified']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['unitedstates', 'healthcare', 'biotechnology', 'unitedstateshealthcare', 'unitedstatesbiotechnology']"
"['unitedkingdom', 'basicmaterials', 'otherindustrialmetals&mining', 'unitedkingdombasicmaterials', 'unitedkingdomotherindustrialmetals&mining']"
"['germany', 'healthcare', 'diagnostics&research', 'germanyhealthcare', 'germanydiagnostics&research']"
"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']"
"['indonesia', 'financials', 'banks', 'indonesiafinancials', 'indonesiabanks']"
"['mexico', 'consumerstaples', 'discountstores', 'mexicoconsumerstaples', 'mexicodiscountstores']"
"['unitedstates', 'basicmaterials', 'copper', 'unitedstatesbasicmaterials', 'unitedstatescopper']"
"['unitedstates', 'industrials', 'railroads', 'unitedstatesindustrials', 'unitedstatesrailroads']"
"['japan', 'communicationservices', 'telecomservices', 'japancommunicationservices', 'japantelecomservices']"
"['unitedstates', 'industrials', 'aerospace&defense', 'unitedstatesindustrials', 'unitedstatesaerospace&defense']"
"['unitedkingdom', 'financials', 'insurancebrokers', 'unitedkingdomfinancials', 'unitedkingdominsurancebrokers']"
"['unitedkingdom', 'communicationservices', 'publishing', 'unitedkingdomcommunicationservices', 'unitedkingdompublishing']"
"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']"
"['france', 'industrials', 'engineering&construction', 'franceindustrials', 'franceengineering&construction']"
"['china', 'healthcare', 'medicaldevices', 'chinahealthcare', 'chinamedicaldevices']"
"['unitedstates', 'basicmaterials', 'copper', 'unitedstatesbasicmaterials', 'unitedstatescopper']"
"['saudiarabia', 'communicationservices', 'telecomservices', 'saudiarabiacommunicationservices', 'saudiarabiatelecomservices']"
"['china', 'consumerstaples', 'beverages—non-alcoholic', 'chinaconsumerstaples', 'chinabeverages—non-alcoholic']"
"['unitedkingdom', 'consumerstaples', 'household&personalproducts', 'unitedkingdomconsumerstaples', 'unitedkingdomhousehold&personalproducts']"
"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']"
"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']"
"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']"
"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']"
"['hongkong', 'financials', 'financialdata&stockexchanges', 'hongkongfinancials', 'hongkongfinancialdata&stockexchanges']"
"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']"
