00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
germany,usa,china,switzerland,,usa,usa
usa,japan,germany,australia,USA,japan,usa
canada,norway,uk,china,USA,japan,india
japan,france,ireland,china,,uk,usa
india,germany,usa,usa,,china,usa
mexico,canada,usa,usa,,usa,france
usa,usa,usa,usa,,canada,germany
,none,mexico,usa,Singapore,austria,usa
japan,poland,china,germany,South Korea,china,usa
usa,south-africa,usa,usa,,canada,usa
uk,japan,japan,mexico,Ireland,mexico,usa
china,japan,usa,usa,,germany,usa
china,brazil,usa,japan,,sweden,usa
usa,australia,italy,switzerland,,usa,switzerland
usa,usa,canada,usa,,usa,usa
usa,usa,usa,canada,Canada,usa,usa
ireland,usa,usa,usa,,india,usa
japan,chile,usa,usa,USA,brazil,japan
singapore,usa,usa,usa,,india,usa
usa,switzerland,switzerland,canada,,usa,italy
usa,usa,usa,italy,,sweden,sweden
mexico,indonesia,usa,usa,,usa,usa
india,australia,france,hong kong,India,usa,china
usa,none,china,s. arabia,,switzerland,ireland
usa,india,sweden,usa,France,china,china
canada,canada,canada,japan,Switzerland,germany,usa
usa,usa,japan,france,,switzerland,canada
saudi arabia,usa,usa,usa,,canada,china
australia,india,germany,usa,USA,s. arabia,usa
usa,switzerland,germany,india,USA,mexico,india
japan,usa,japan,india,Brazil,usa,usa
france,belgium,usa,usa,USA,usa,united arab emirates
usa,usa,usa,usa,,usa,usa
japan,usa,china,usa,USA,usa,usa
canada,brazil,uae,usa,USA,france,germany
france,china,usa,sweden,,usa,germany
usa,usa,usa,sweden,Canada,usa,uk
usa,usa,usa,canada,USA,italy,france
china,indonesia,usa,netherlands,,usa,hong kong
usa,india,usa,china,USA,usa,usa
russia,usa,s. arabia,usa,Denmark,india,japan
usa,usa,usa,uk,,australia,china
usa,usa,hong kong,usa,,canada,sweden
france,usa,sweden,germany,Sweden,uk,usa
italy,usa,china,uk,USA,usa,usa
france,india,usa,usa,Canada,usa,usa
usa,israel,france,usa,Switzerland,usa,usa
uk,canada,india,japan,,india,china
russia,usa,australia,australia,,hong kong,australia
usa,usa,uk,austria,,netherlands,japan
usa,usa,china,france,,usa,usa
uk,japan,china,china,,germany,usa
usa,united-kingdom,usa,china,,usa,
japan,usa,austria,usa,USA,china,usa
canada,germany,netherlands,usa,,usa,saudi arabia
usa,none,usa,china,France,china,netherlands
usa,united-kingdom,usa,spain,,russia,canada
india,switzerland,japan,usa,,usa,uk
usa,belgium,usa,india,Mexico,china,spain
usa,usa,spain,usa,,france,india
usa,usa,china,russia,,china,usa
usa,australia,canada,china,,usa,china
uk,singapore,usa,usa,India,uk,
netherlands,usa,usa,china,South Korea,usa,china
usa,singapore,uk,usa,Belgium,usa,usa
italy,usa,india,india,Ireland,usa,usa
australia,france,italy,usa,South Korea,usa,india
usa,usa,india,usa,,usa,usa
china,taiwan,argentina,japan,,uk,japan
usa,india,france,usa,,japan,russia
canada,usa,usa,usa,,japan,france
china,india,russia,germany,,china,china
germany,israel,usa,italy,USA,russia,india
usa,usa,usa,usa,,usa,italy
france,united-kingdom,japan,usa,,usa,usa
usa,usa,germany,germany,,usa,usa
japan,none,uk,usa,,india,germany
china,finland,usa,france,USA,france,japan
russia,india,usa,usa,,uk,usa
usa,usa,usa,usa,Spain,usa,usa
ireland,switzerland,australia,india,India,usa,usa
japan,canada,usa,uk,USA,usa,australia
russia,usa,usa,s. arabia,,japan,japan
usa,usa,germany,usa,,italy,usa
india,none,france,netherlands,,usa,canada
usa,usa,japan,usa,Japan,usa,china
usa,switzerland,usa,usa,Norway,usa,india
usa,usa,usa,france,,france,uk
germany,usa,usa,japan,Hong Kong,japan,germany
japan,singapore,usa,usa,,france,usa
indonesia,switzerland,india,usa,,usa,usa
australia,japan,usa,usa,,usa,japan
usa,usa,japan,china,USA,china,france
,usa,france,usa,Japan,japan,uk
usa,none,usa,france,India,spain,japan
china,usa,usa,japan,,india,usa
south korea,chile,india,netherlands,Mexico,germany,germany
usa,canada,s. arabia,japan,Russia,canada,china
usa,japan,india,japan,BM,australia,usa
usa,india,japan,usa,Australia,usa,france
taiwan,australia,china,australia,USA,s. arabia,saudi arabia
usa,new-zealand,china,germany,,usa,usa
usa,china,netherlands,usa,USA,japan,japan
india,united-kingdom,netherlands,indonesia,UK,usa,usa
japan,saudi-arabia,canada,germany,USA,canada,usa
usa,united-kingdom,australia,india,,indonesia,australia
usa,usa,uk,usa,,japan,japan
usa,india,japan,uk,,usa,usa
japan,usa,china,usa,,china,saudi arabia
usa,usa,germany,china,Australia,japan,usa
usa,china,usa,usa,,usa,usa
canada,usa,brazil,canada,,usa,usa
brazil,usa,usa,uk,Belgium,india,netherlands
france,india,usa,usa,,,japan
brazil,united-kingdom,usa,usa,,usa,australia
netherlands,canada,australia,usa,Germany,japan,south korea
china,usa,usa,japan,China,netherlands,netherlands
india,france,japan,brazil,USA,china,india
saudi arabia,usa,uae,usa,,usa,australia
japan,usa,japan,china,,russia,japan
spain,chile,s. arabia,japan,,usa,brazil
germany,usa,japan,ireland,,usa,usa
japan,canada,china,japan,,japan,indonesia
netherlands,china,australia,china,China,russia,germany
australia,united-kingdom,usa,canada,,usa,
usa,hong-kong,usa,usa,USA,japan,usa
usa,germany,usa,s. korea,,usa,uk
usa,usa,s. korea,australia,,usa,united arab emirates
india,usa,usa,hong kong,,brazil,usa
usa,india,italy,usa,,japan,china
usa,usa,ireland,usa,India,usa,netherlands
hong kong,usa,usa,s. arabia,South Africa,canada,usa
india,israel,usa,australia,USA,uk,usa
japan,usa,canada,italy,,china,usa
china,canada,netherlands,australia,,usa,indonesia
china,usa,usa,usa,Hong Kong,usa,usa
usa,usa,usa,netherlands,,australia,usa
italy,brazil,uk,s. korea,,taiwan,japan
china,switzerland,usa,usa,USA,ireland,canada
usa,usa,s. korea,usa,Sweden,usa,usa
usa,usa,japan,japan,,germany,usa
canada,usa,usa,taiwan,USA,germany,china
south korea,united-kingdom,japan,usa,Canada,usa,japan
canada,usa,usa,netherlands,,usa,south korea
usa,none,usa,usa,,germany,china
usa,germany,japan,indonesia,Japan,australia,italy
canada,usa,netherlands,argentina,,india,usa
japan,india,indonesia,india,,usa,china
usa,canada,usa,usa,USA,s. korea,usa
netherlands,china,usa,usa,USA,netherlands,usa
usa,usa,china,japan,,netherlands,ireland
germany,france,germany,china,Belgium,usa,uk
netherlands,south-africa,taiwan,usa,,,taiwan
usa,usa,usa,usa,USA,usa,italy
usa,south-korea,india,japan,,usa,usa
netherlands,usa,china,india,,netherlands,canada
germany,usa,china,china,South Korea,usa,usa
usa,spain,china,brazil,France,usa,china
usa,india,netherlands,canada,France,usa,usa
usa,canada,usa,usa,,gentina,usa
usa,united-kingdom,usa,china,,germany,usa
usa,sweden,china,usa,Canada,usa,usa
japan,india,indonesia,canada,Norway,japan,china
usa,mexico,usa,brazil,Japan,usa,germany
australia,usa,canada,canada,Ireland,usa,usa
usa,usa,usa,usa,Sweden,s. arabia,usa
japan,south-africa,china,usa,,usa,usa
usa,india,uk,uk,,australia,china
usa,finland,india,singapore,,,india
saudi arabia,germany,usa,usa,Japan,usa,netherlands
canada,usa,hong kong,germany,,usa,
usa,usa,brazil,china,,canada,usa
uk,usa,usa,usa,USA,usa,usa
japan,ireland,usa,netherlands,USA,canada,canada
usa,canada,china,usa,,brazil,usa
china,usa,usa,china,China,malaysia,
china,south-africa,usa,usa,Singapore,s. korea,india
usa,turkey,italy,italy,,usa,singapore
usa,usa,singapore,ireland,China,italy,china
usa,south-korea,usa,japan,,canada,usa
china,india,usa,japan,USA,usa,japan
japan,turkey,canada,usa,,japan,canada
usa,indonesia,brazil,finland,South Korea,uk,brazil
usa,usa,canada,canada,,usa,usa
china,india,usa,usa,USA,usa,hong kong
australia,germany,finland,japan,USA,canada,japan
usa,germany,usa,hong kong,South Korea,usa,usa
china,denmark,usa,canada,USA,china,usa
denmark,usa,japan,usa,Germany,china,usa
india,usa,ireland,usa,India,china,south africa
india,usa,south africa,usa,Netherlands,usa,switzerland
usa,usa,usa,usa,,singapore,sweden
usa,usa,usa,usa,,italy,usa
sweden,india,china,usa,Ireland,hong kong,finland
usa,usa,usa,spain,UK,japan,usa
usa,usa,switzerland,usa,,china,brazil
canada,italy,japan,uk,Belgium,usa,usa
taiwan,united-kingdom,usa,usa,USA,usa,spain
singapore,new-zealand,spain,denmark,,ireland,usa
denmark,denmark,usa,usa,Japan,usa,uk
finland,usa,usa,usa,,usa,china
usa,saudi-arabia,usa,china,Turkey,usa,hong kong
usa,japan,usa,usa,,usa,uk
usa,india,denmark,usa,Taiwan,japan,china
uk,usa,usa,uk,,usa,usa
switzerland,usa,usa,usa,,russia,china
finland,new-zealand,usa,china,,russia,canada
usa,india,usa,south africa,,usa,usa
usa,united-kingdom,japan,usa,,usa,usa
china,canada,china,usa,Sweden,usa,usa
china,usa,uk,usa,,canada,japan
switzerland,india,japan,usa,Singapore,denmark,japan
brazil,spain,china,usa,USA,switzerland,usa
switzerland,usa,usa,canada,Japan,switzerland,usa
russia,india,india,singapore,USA,usa,usa
russia,japan,usa,sweden,Brazil,india,australia
canada,usa,uk,hong kong,USA,hong kong,usa
india,usa,usa,switzerland,Jersey,finland,germany
china,india,usa,usa,USA,australia,canada
usa,usa,hong kong,switzerland,,singapore,usa
south korea,usa,canada,usa,,china,usa
hong kong,denmark,china,china,,usa,japan
singapore,usa,usa,usa,,uk,usa
uk,canada,switzerland,usa,USA,usa,switzerland
usa,usa,japan,usa,,sweden,canada
usa,usa,usa,denmark,,china,usa
japan,usa,usa,hong kong,,finland,usa
japan,usa,china,china,USA,usa,usa
australia,usa,canada,usa,USA,canada,china
usa,usa,china,usa,,usa,usa
ireland,usa,usa,usa,,china,ireland
germany,usa,switzerland,japan,,india,australia
usa,germany,usa,china,,usa,japan
usa,canada,sweden,usa,Japan,china,india
canada,indonesia,usa,japan,Malaysia,hong kong,usa
usa,usa,canada,japan,Israel,japan,
japan,usa,usa,usa,USA,usa,china
italy,turkey,usa,usa,Turkey,uk,switzerland
usa,australia,usa,china,South Korea,,switzerland
usa,china,australia,canada,USA,usa,china
germany,usa,usa,china,,japan,india
south korea,usa,denmark,germany,USA,japan,usa
usa,usa,usa,switzerland,Canada,switzerland,usa
usa,usa,s. korea,china,India,usa,denmark
uk,usa,japan,usa,France,australia,hong kong
usa,united-arab-emirates,finland,china,USA,usa,usa
japan,usa,australia,australia,,brazil,india
hong kong,united-kingdom,germany,usa,,singapore,china
usa,belgium,china,uk,,china,usa
usa,france,singapore,finland,,usa,usa
denmark,japan,usa,usa,South Korea,india,finland
usa,france,hong kong,india,UK,usa,denmark
hong kong,usa,usa,switzerland,,france,south korea
switzerland,turkey,usa,usa,,usa,japan
south korea,usa,switzerland,india,USA,s. korea,singapore
usa,none,india,usa,Germany,uk,uk
usa,hong-kong,usa,usa,UK,china,singapore
china,canada,canada,india,USA,usa,usa
china,usa,china,japan,Japan,usa,india
spain,singapore,usa,usa,,china,switzerland
japan,usa,taiwan,canada,,india,hong kong
india,none,india,india,Sweden,usa,
usa,indonesia,uk,switzerland,,usa,usa
usa,indonesia,usa,usa,USA,usa,usa
australia,usa,usa,usa,,canada,usa
usa,switzerland,india,s. korea,,spain,canada
germany,south-africa,hong kong,canada,USA,taiwan,taiwan
usa,india,switzerland,taiwan,USA,switzerland,usa
usa,none,mexico,usa,,hong kong,china
france,usa,japan,usa,Italy,usa,japan
usa,india,china,usa,USA,usa,uk
japan,usa,canada,india,Netherlands,india,china
usa,usa,usa,usa,USA,switzerland,canada
china,none,usa,china,USA,south africa,usa
usa,usa,uk,india,Hong Kong,china,uk
japan,denmark,uk,japan,USA,denmark,japan
india,usa,canada,canada,,usa,usa
sweden,canada,usa,germany,Canada,usa,usa
switzerland,usa,usa,usa,Japan,germany,usa
switzerland,usa,germany,usa,,usa,france
china,mexico,france,china,,usa,india
uk,usa,japan,uk,,india,usa
japan,usa,france,usa,USA,ireland,france
brazil,usa,usa,france,Japan,usa,china
australia,usa,france,france,,usa,
usa,south-korea,usa,usa,,usa,usa
denmark,india,usa,denmark,USA,japan,usa
uk,india,usa,hong kong,Japan,japan,germany
china,usa,usa,usa,India,china,usa
indonesia,usa,canada,uk,USA,france,china
china,usa,japan,usa,Greece,,usa
india,finland,india,france,USA,china,usa
switzerland,switzerland,india,usa,Japan,usa,usa
usa,usa,china,uk,,canada,switzerland
usa,canada,usa,ireland,Switzerland,usa,ireland
india,italy,denmark,switzerland,Denmark,usa,ireland
usa,poland,usa,usa,Indonesia,usa,hong kong
usa,japan,china,usa,Saudi Arabia,usa,usa
south africa,usa,ireland,usa,Denmark,usa,usa
singapore,usa,japan,hong kong,USA,usa,china
usa,canada,singapore,japan,,india,canada
usa,united-kingdom,usa,china,,,usa
usa,usa,s. korea,usa,USA,germany,usa
india,united-kingdom,china,mexico,,usa,usa
france,south-korea,switzerland,thailand,,china,usa
usa,usa,usa,china,,usa,south korea
usa,finland,usa,usa,,usa,australia
usa,usa,usa,china,,usa,china
usa,usa,hong kong,japan,India,s. korea,usa
china,usa,usa,usa,Canada,usa,china
hong kong,usa,china,usa,India,china,india
china,hong-kong,usa,china,Germany,usa,usa
usa,usa,usa,ireland,Turkey,australia,france
usa,brazil,usa,usa,Sweden,usa,usa
usa,usa,usa,usa,Switzerland,uk,japan
usa,united-kingdom,usa,china,,china,germany
uk,norway,usa,china,,uk,china
canada,united-kingdom,china,hong kong,Australia,hong kong,usa
usa,japan,germany,singapore,Denmark,usa,usa
usa,united-kingdom,usa,usa,Japan,usa,uk
usa,usa,usa,singapore,Japan,switzerland,thailand
usa,canada,australia,australia,Canada,uk,usa
usa,usa,usa,australia,,china,france
china,none,usa,china,India,china,spain
india,indonesia,ireland,usa,,india,usa
ireland,germany,usa,usa,India,hong kong,china
usa,usa,usa,usa,,japan,usa
usa,usa,brazil,usa,Japan,usa,japan
china,usa,china,usa,,usa,usa
usa,usa,japan,spain,Luxembourg,india,usa
canada,usa,usa,india,Japan,china,usa
canada,usa,usa,usa,,france,japan
usa,usa,thailand,usa,South Korea,usa,usa
france,usa,china,s. korea,USA,singapore,usa
singapore,spain,usa,brazil,,usa,south korea
usa,usa,france,china,USA,france,china
china,usa,usa,germany,India,usa,italy
switzerland,united-kingdom,spain,usa,USA,china,china
canada,poland,usa,china,USA,china,hong kong
usa,germany,usa,usa,UK,canada,india
south korea,germany,usa,usa,USA,sweden,usa
china,germany,china,usa,Norway,s. korea,usa
hong kong,usa,denmark,india,,usa,usa
netherlands,india,uk,norway,USA,china,uk
hong kong,usa,china,italy,,germany,indonesia
australia,spain,hong kong,usa,,ireland,belgium
china,usa,usa,usa,,denmark,usa
china,usa,s. korea,usa,India,usa,denmark
usa,israel,india,china,,canada,china
usa,japan,usa,brazil,USA,thailand,japan
usa,none,italy,usa,,denmark,usa
canada,japan,brazil,china,,china,usa
germany,usa,usa,usa,,china,usa
usa,australia,usa,sweden,Brazil,china,china
japan,sweden,china,usa,USA,usa,brazil
canada,india,singapore,canada,USA,mexico,usa
norway,usa,sweden,france,,usa,usa
china,germany,china,usa,Japan,usa,china
china,usa,japan,s. korea,USA,netherlands,hong kong
usa,usa,china,japan,,usa,germany
canada,usa,germany,uk,USA,usa,singapore
ireland,united-arab-emirates,japan,usa,,usa,italy
thailand,turkey,uk,s. korea,USA,usa,usa
france,norway,india,india,,china,hong kong
usa,germany,usa,china,,china,india
usa,usa,usa,switzerland,,japan,canada
usa,none,usa,switzerland,,canada,usa
india,japan,mexico,taiwan,,uk,usa
germany,australia,belgium,uk,,canada,usa
uk,united-kingdom,hong kong,india,Japan,,usa
usa,usa,usa,japan,Indonesia,usa,france
china,france,switzerland,canada,,brazil,usa
uk,india,japan,switzerland,USA,australia,mexico
china,usa,canada,italy,,usa,brazil
brazil,none,hong kong,usa,,usa,usa
usa,usa,germany,usa,Saudi Arabia,india,sweden
japan,china,netherlands,mexico,USA,japan,switzerland
china,italy,s. korea,canada,USA,hong kong,canada
usa,usa,usa,germany,Saudi Arabia,norway,canada
usa,japan,france,usa,USA,usa,germany
usa,usa,switzerland,hong kong,Canada,germany,netherlands
usa,saudi-arabia,china,netherlands,,hong kong,taiwan
finland,usa,italy,usa,,japan,japan
france,usa,thailand,canada,,usa,australia
denmark,usa,finland,denmark,France,canada,south korea
canada,france,germany,japan,Singapore,italy,china
china,usa,canada,indonesia,,china,australia
usa,chile,usa,france,,usa,switzerland
uk,usa,sweden,usa,UK,usa,
usa,usa,norway,france,USA,japan,usa
saudi arabia,israel,india,usa,,usa,usa
spain,canada,usa,belgium,UK,switzerland,finland
germany,usa,australia,canada,Canada,usa,germany
china,japan,usa,china,USA,s. korea,thailand
uk,none,taiwan,usa,Chile,sweden,usa
usa,usa,usa,china,USA,israel,canada
japan,usa,usa,germany,,usa,norway
thailand,united-kingdom,usa,usa,,australia,usa
hong kong,usa,usa,denmark,India,usa,usa
japan,japan,uk,switzerland,USA,usa,canada
france,usa,usa,japan,,usa,uk
saudi arabia,japan,usa,usa,,taiwan,usa
netherlands,netherlands,australia,usa,,brazil,switzerland
usa,indonesia,switzerland,finland,,indonesia,sweden
usa,switzerland,canada,finland,Austria,indonesia,usa
usa,usa,france,uk,,finland,usa
canada,brazil,switzerland,australia,,france,usa
usa,usa,germany,usa,,mexico,china
usa,germany,usa,thailand,Canada,spain,china
mexico,usa,canada,india,Japan,usa,ireland
usa,usa,usa,australia,USA,china,canada
china,saudi-arabia,china,usa,USA,netherlands,usa
usa,united-kingdom,usa,usa,,japan,germany
india,india,finland,china,,canada,india
malaysia,ireland,china,germany,New Zealand,germany,spain
ireland,germany,canada,china,,usa,france
canada,china,germany,germany,,usa,china
japan,usa,canada,usa,USA,spain,germany
usa,usa,usa,usa,Netherlands,uk,usa
finland,japan,usa,canada,,canada,japan
switzerland,taiwan,indonesia,ireland,USA,india,china
china,india,spain,malaysia,Switzerland,usa,france
japan,united-kingdom,usa,uk,,switzerland,japan
spain,taiwan,uk,usa,,italy,spain
sweden,japan,uk,finland,USA,china,usa
hong kong,usa,ireland,japan,,uk,israel
usa,taiwan,china,sweden,Switzerland,usa,usa
australia,taiwan,usa,germany,,usa,usa
taiwan,united-kingdom,germany,usa,,switzerland,germany
chile,israel,usa,france,USA,finland,netherlands
india,italy,usa,usa,USA,china,uk
china,india,ireland,usa,Australia,china,india
usa,india,india,india,,uk,finland
italy,germany,spain,usa,USA,china,usa
china,none,japan,uk,,usa,ireland
usa,usa,japan,germany,,finland,usa
usa,usa,china,netherlands,,usa,spain
