00-avengers-categories,01-DDD-categories,04-iGMM-categories
"['automakers', 'tech', 'electric vehicles', 'bitcoin', 'manufacturing', 'ev charging', 'autonomous driving']",construction ,['Insurance']
"['healthcare', 'insurance', 'dow jones']",electronics ,
['investment'],real-estate ,
"['e-commerce', 'internet', 'tech', 'retail']",energy electricity utility-companies ,
"['software', 'tech', 'dow jones', 'video games']",financial-services ,
"['internet', 'tech', 'software', 'autonomous driving']",consumer-goods ,
"['energy', 'oil&gas']",banks financial-services ,
"['banks', 'financial services']",biotech medical-devices ,
"['banks', 'financial services']",retail ,['Luxurygoods']
"['healthcare', 'insurance']",none,
"['banks', 'dow jones', 'financial services']",none,
"['oil&gas', 'energy']",financial-services ,
"['aerospace', 'defense contractors', 'aircraft manufacturers', 'manufacturing']",pulp-and-paper ,
['retail'],pulp-and-paper ,
['investment'],real-estate investment reit ,
"['food', 'consumer goods']",real-estate investment reit ,['Insurance']
"['railways', 'transportation', 'infrastructure']",none,
"['tech', 'software', 'dow jones']",manufacturing specialty-vehicles ,[]
"['internet', 'tech', 'e-commerce']",none,['Tobacco']
"['tech', 'software', 'dax']",financial-services tech insurance ,['Food']
"['healthcare', 'pharmaceuticals', 'drugstore', 'retail']",none,
"['machinery manufacturing', 'manufacturing']",software tech ,['Food']
"['luxury goods', 'clothing']",biotech genomics ,
['telecommunication'],lidar tech tech-hardware autonomous-driving ,
"['banks', 'financial services']",pulp-and-paper packaging ,['Consumergoods']
"['batteries', 'electricity']",investment ,
"['tech', 'semiconductors', 'tech hardware']",hotels real-estate investment reit travel ,[]
"['entertainment', 'internet', 'tech']",beverages ,
"['banks', 'financial services']",none,
"['software', 'dow jones', 'tech']",software tech ,
"['dow jones', 'aerospace', 'defense contractors']",cement building-materials ,
"['aerospace', 'defense contractors']",mining ,['Investment']
['telecommunication'],none,
"['oil&gas', 'energy', 'cac 40']",real-estate reit investment ,['Beverages']
"['oil&gas', 'energy']",software tech it-security ,
"['banks', 'financial services']",chemicals ,['Financialservices']
"['pharmaceuticals', 'dow jones', 'biotech']",none,['Food']
"['it services', 'professional services']",none,
"['financial services', 'banks']",none,['Mining']
"['software', 'tech']",none,['Telecommunication']
"['telecommunication', 'media/press', 'entertainment']",real-estate ,['Beverages']
"['banks', 'financial services', 'investment']",healthcare ,
['mining'],real-estate ,['Mining']
"['telecommunication', 'dow jones']",professional-services it-services ,
"['semiconductors', 'tech', 'tech hardware']",none,
['tobacco'],electricity oil-gas utility-companies energy ,
"['dax', 'chemicals']",none,['Chemicals']
"['courier', 'transportation']",professional-services ,
"['luxury goods', 'cac 40']",none,[]
"['energy', 'electricity', 'utility companies', 'renewable energy']",reit real-estate investment ,['Electricity']
"['automakers', 'dax', 'manufacturing']",utility-companies energy electricity ,
"['banks', 'financial services']",real-estate investment reit ,
"['mining', 'coal mining', 'energy']",internet tech ,
"['railways', 'transportation']",banks financial-services ,
"['beverages', 'alcoholic beverages']",retail ,
['insurance'],cosmetics ,
"['semiconductors', 'tech', 'tech hardware']",airlines travel transportation ,[]
"['banks', 'financial services']",energy oil-gas ,['WasteRecycling']
['medical devices'],specialty-vehicles manufacturing ,[]
['food'],video-games entertainment ,
"['retail', 'clothing']",none,
"['aircraft manufacturers', 'aerospace', 'cac 40', 'manufacturing', 'dax']",manufacturing ,
['conglomerate'],banks financial-services ,
['telecommunication'],renewable-energy electricity energy manufacturing ,['Mining']
['tobacco'],none,
"['automakers', 'manufacturing']",healthcare ,
"['biotech', 'pharmaceuticals']",none,
['medical devices'],real-estate investment reit ,['Professionalservices']
"['telecommunication', 'real estate', 'reits', 'infrastructure']",real-estate investment reit ,
['insurance'],luxury-goods retail ,
"['automakers', 'manufacturing']",oil-gas oil-gas-equipment-services energy ,
"['tech hardware', 'tech', 'scientific & technical instruments']",pharmaceuticals biotech ,
"['video games', 'electronics', 'tech', 'entertainment', 'tech hardware']",none,['Transportation']
"['telecommunication', 'dax']",none,['Insurance']
['medical devices'],engineering manufacturing ,['Healthcare']
"['batteries', 'electricity', 'energy']",telecommunication ,
"['e-commerce', 'internet', 'retail', 'tech']",asset-management investment ,['Chemicals']
"['oil&gas', 'energy']",financial-services tech ,
"['alcoholic beverages', 'beverages']",none,[]
['investment'],none,
"['real estate', 'investment', 'reits']",engineering ,
"['aircraft manufacturers', 'aerospace', 'dow jones', 'manufacturing']",airlines travel transportation ,
"['e-commerce', 'internet', 'tech']",it-services ,
"['pharmaceuticals', 'biotech']",real-estate investment reit ,
"['software', 'it services', 'professional services', 'tech']",steel-producers steel-industry ,
['mining'],none,
"['engineering', 'dax']",semiconductors tech tech-hardware ,
"['cac 40', 'pharmaceuticals', 'biotech']",software biotech tech ,
['insurance'],mining gold-mining silver-mining ,
"['software', 'tech']",food ,
['insurance'],none,
"['energy', 'oil&gas', 'electricity']",utility-companies ,['Sportsgoods']
"['dow jones', 'financial services']",ports ,
['financial services'],pharmaceuticals biotech ,
"['alcoholic beverages', 'beverages']",none,[]
['insurance'],defense-contractors ,
['beverages'],none,[]
"['semiconductors', 'tech', 'dow jones', 'tech hardware', 'manufacturing']",financial-services banks ,[]
"['tech', 'semiconductors', 'electronics', 'tech hardware']",software professional-services ,
['banks'],none,
"['dow jones', 'machinery manufacturing', 'manufacturing']",none,
"['banks', 'financial services']",none,
"['banks', 'financial services']",none,[]
"['retail', 'supermarket chains']",retail ,
"['energy', 'electricity', 'oil&gas', 'utility companies']",none,['Telecommunication']
"['railways', 'transportation', 'infrastructure']",cannabis ,['Construction']
['insurance'],financial-services investment ,
['mining'],chemicals ,
"['cac 40', 'chemicals']",biotech pharmaceuticals ,[]
"['mining', 'coal mining', 'energy']",engineering professional-services ,
"['internet', 'travel', 'online travel', 'tech']",software tech ,
"['banks', 'financial services']",none,
"['pharmaceuticals', 'chemicals', 'dax']",pharmaceuticals biotech ,[]
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['energy', 'oil&gas']",oil-gas energy ,
"['clothing', 'retail']",investment ,[]
"['oil&gas', 'energy']",none,['Telecommunication']
"['software', 'internet', 'tech']",none,['Chemicals']
"['biotech', 'pharmaceuticals']",oil-gas energy ,['Dairycompanies']
"['aerospace', 'defense contractors']",pharmaceuticals biotech ,
"['cac 40', 'tech', 'professional services', 'software']",pharmaceuticals biotech ,['Realestate']
"['cac 40', 'glasses and contact lenses', 'luxury goods']",software tech ,['Beverages']
"['financial services', 'tech', 'internet', 'bitcoin']",financial-services insurance ,[]
"['banks', 'financial services']",hotels travel ,['RentalLeasingServices']
"['cosmetics and beauty', 'consumer goods']",financial-services tech ,
['tobacco'],real-estate investment reit ,['CAC40']
"['semiconductors', 'tech', 'manufacturing']",none,[]
"['professional services', 'it services']",medical-devices ,
"['insurance', 'dax']",real-estate investment reit ,[]
"['insurance', 'professional services']",pharmaceuticals biotech chemicals ,[]
"['pharmaceuticals', 'mrna therapeutics', 'biotech']",none,
"['tool manufacturers', 'manufacturing']",pizza food restaurant-chains ,['Banks']
"['dow jones', 'gloves & ppe']",electronics tech tech-hardware ,
['defense contractors'],media-press ,
['chemicals'],food ,[]
"['banks', 'financial services']",none,['Retail']
"['investment', 'financial services']",none,['Tires']
['insurance'],none,
['medical devices'],food ,['Food']
"['biotech', 'pharmaceuticals']",energy renewable-energy ,[]
"['cac 40', 'luxury goods']",none,[]
"['automakers', 'manufacturing', 'dax', 'autonomous driving']",none,
"['oil&gas', 'energy']",food ,['Construction']
"['pharmaceuticals', 'biotech']",motorcycle-manufacturers ,['Financialservices']
"['energy', 'oil&gas', 'electricity', 'utility companies']",utility-companies energy electricity ,
"['oil&gas', 'energy']",none,['Internet']
"['oil&gas', 'energy']",none,
['luxury goods'],investment ,
"['oil&gas', 'energy']",tech internet software ,[]
"['consumer goods', 'food']",real-estate investment ,['Construction']
"['electricity', 'energy']",it-security it-services tech ,
['waste & recycling'],medical-devices ,['Conglomerate']
['mining'],media-press entertainment ,
"['ridesharing', 'internet', 'tech', 'transportation']",retail luxury-goods ,[]
['retail'],none,[]
"['investment', 'conglomerate']",airports infrastructure ,['Healthcare']
"['cac 40', 'construction']",none,
['investment'],none,[]
"['banks', 'financial services']",none,
"['financial services', 'stock exchanges', 'stock/crypto exchanges']",pharmaceuticals biotech ,['Realestate']
"['railways', 'infrastructure']",financial-services banks ,
"['automakers', 'dax', 'manufacturing']",oil-gas energy ,
"['video games', 'esports', 'entertainment', 'tech']",chemicals ,['Engineering']
['engineering'],healthcare ,['Medicaldevices']
"['financial services', 'banks']",food ,['Financialservices']
"['tech', 'tech hardware', 'semiconductors']",building-materials ,
"['banks', 'financial services']",real-estate investment reit ,
"['banks', 'financial services']",none,
['manufacturing'],travel internet online-travel tech ,
['insurance'],mining ,['Financialservices']
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",none,
"['real estate', 'investment', 'reits', 'telecommunication', 'infrastructure']",food ,['Food']
['telecommunication'],manufacturing ,
"['healthcare', 'dax']",construction ,
['investment'],pharmaceuticals ,['Consumergoods']
"['banks', 'financial services']",semiconductors tech ,[]
"['clothing', 'retail']",internet tech telecommunication software ,
['telecommunication'],none,
['telecommunication'],biotech pharmaceuticals ,
"['oil&gas', 'energy']",banks financial-services ,
"['electricity', 'utility companies', 'energy']",biotech pharmaceuticals ,['Food']
"['pharmaceuticals', 'biotech']",video-games tech ,['Pharmaceuticals']
"['semiconductors', 'tech', 'tech hardware']",mining coal-mining energy ,
"['professional services', 'insurance']",chemicals paint-and-coating ,[]
['beverages'],consumer-goods ,
"['oil&gas', 'energy']",none,
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",asset-management investment ,
"['internet', 'tech', 'reits', 'real estate', 'investment']",none,
"['travel', 'internet', 'online travel', 'tech']",none,['Mining']
['conglomerate'],pharmaceuticals biotech ,
['telecommunication'],utility-companies electricity energy ,[]
"['banks', 'financial services']",none,
['consumer goods'],asset-management financial-services investment ,
"['banks', 'financial services']",online-travel internet ,
"['retail', 'supermarket chains']",telecommunication ,
"['banks', 'financial services']",it-services tech ,[]
['medical devices'],transportation maritime-transportation oil-gas ,
['paint & coating'],oil-gas energy ,[]
"['oil&gas', 'energy']",energy renewable-energy electricity ,[]
"['financial services', 'tech']",none,
['chemicals'],financial-services ,
"['banks', 'financial services']",real-estate ,[]
"['railways', 'transportation', 'infrastructure']",banks financial-services ,['Entertainment']
"['investment', 'financial services', 'telecommunication', 'conglomerate']",none,[]
"['insurance', 'cac 40']",transportation ,[]
['healthcare'],none,
"['banks', 'financial services']",software tech ,['Packaging']
"['banks', 'financial services']",financial-services ,['Insurance']
"['banks', 'financial services', 'cac 40']",it-services tech ,
"['banks', 'financial services']",healthcare ,[]
['insurance'],oil-gas energy ,[]
"['electricity', 'utility companies']",cement building-materials ,
"['energy', 'oil&gas', 'electricity', 'infrastructure']",glove-ppe ,['Utilitycompanies']
"['oil&gas', 'energy']",software tech ,[]
"['tech', 'software', 'it security', 'networking hardware']",none,
"['hotels', 'travel']",none,
"['alcoholic beverages', 'cac 40', 'beverages']",none,['Tobacco']
"['energy', 'oil&gas']",software tech ,['Food']
"['cac 40', 'aerospace', 'defense contractors']",chemicals ,['AutomotiveSuppliers']
"['software', 'semiconductors', 'tech', 'electronics', 'tech hardware']",food ,['Chemicals']
['consumer goods'],mining ,
"['machinery manufacturing', 'manufacturing']",none,
,none,
"['oil&gas', 'energy']",telecommunication aerospace ,
['mining'],electronics manufacturing ,
['beverages'],defense-contractors ,
"['electronics', 'semiconductors', 'tech', 'tech hardware']",software tech ,['Food']
"['e-commerce', 'internet', 'tech']",renewable-energy energy electricity ,
['healthcare'],retail ,['Food']
['beverages'],telecommunication infrastructure ,
['conglomerate'],software tech ,
['retail'],pharmaceuticals biotech ,['Beverages']
"['semiconductors', 'tech', 'tech hardware']",software tech ,
['financial services'],pharmaceuticals biotech ,
,oil-gas energy ,
,telecommunication ,[]
"['alcoholic beverages', 'beverages']",clothing retail ,[]
"['automakers', 'manufacturing']",food ,[]
"['electricity', 'utility companies', 'energy']",banks financial-services investment ,['Aircraftleasing']
"['banks', 'financial services']",automotive-suppliers manufacturing ,[]
"['automakers', 'manufacturing']",none,
"['medical devices', 'manufacturing']",semiconductors manufacturing tech tech-hardware ,
"['oil&gas', 'energy']",footwear ,
['media/press'],pharmaceuticals biotech ,
"['banks', 'financial services']",utility-companies renewable-energy energy ,
"['pharmaceuticals', 'chemicals', 'dax', 'biotech']",electricity energy ,['Chemicals']
"['manufacturing', 'engineering']",none,
"['software', 'cac 40', 'tech']",restaurant-chains food ,
"['real estate', 'investment', 'reits']",banks financial-services ,
['chemicals'],none,
"['electricity', 'energy', 'renewable energy']",none,[]
"['oil&gas', 'energy']",tires ,
['insurance'],software tech ,[]
,scientific-and-technical-instruments ,[]
"['banks', 'financial services']",oil-gas energy ,['Pulpandpaper']
"['banks', 'financial services']",pharmaceuticals biotech ,
,none,
"['banks', 'financial services']",insurance ,
"['scientific & technical instruments', 'tech']",real-estate ,['Electronics']
"['software', 'tech', 'electronics', 'tech hardware']",none,['Telecommunication']
"['courier', 'transportation']",none,
"['chemicals', 'dax']",none,['Infrastructure']
"['entertainment', 'hotels', 'travel']",reit real-estate investment ,
"['banks', 'financial services']",banks financial-services ,
"['banks', 'financial services', 'investment']",electricity utility-companies energy ,
['medical devices'],tech smart-home ,[]
"['e-commerce', 'internet', 'tech']",construction ,[]
['mining'],media-press telecommunication ,['Consumergoods']
"['home & kitchen appliances', 'manufacturing']",none,
"['biotech', 'manufacturing']",beverages alcoholic-beverages ,['Retail']
"['tech', 'software']",real-estate investment reit ,[]
"['agriculture', 'chemicals']",media-press video-games entertainment ,['Insurance']
,insurance ,['Insurance']
"['electronics', 'manufacturing', 'tech hardware', 'tech']",building-materials cement ,['Engineering']
"['alcoholic beverages', 'beverages']",construction ,
['food'],video-games entertainment ,['Retail']
"['energy', 'oil&gas', 'utility companies']",infrastructure construction ,['Chemicals']
['conglomerate'],telecommunication ,[]
"['healthcare', 'insurance']",retail ,
['food'],chemicals ,
"['electricity', 'energy']",electronics ,
['manufacturing'],manufacturing ,
['retail'],utility-companies electricity energy ,['Mining']
"['energy', 'oil&gas']",automotive-suppliers ,
"['retail', 'sports goods', 'clothing']",renewable-energy energy electricity ,
"['beverages', 'alcoholic beverages']",oil-gas energy ,[]
"['electricity', 'utility companies', 'energy']",chemicals ,
"['banks', 'financial services']",none,
"['automakers', 'manufacturing', 'cac 40']",e-commerce software tech ,[]
['food'],clothing ,['Insurance']
['financial services'],electricity energy ,['Insurance']
['telecommunication'],software tech healthcare ,
"['video games', 'electronics', 'entertainment', 'tech hardware', 'tech']",clothing retail ,
"['banks', 'financial services']",real-estate ,
"['courier', 'dax']",none,
"['engineering', 'conglomerate']",energy electricity ,
"['financial services', 'tech']",video-games entertainment ,['Pharmaceuticals']
"['banks', 'financial services']",delivery-services ,
"['oil&gas', 'energy']",real-estate investment reit ,[]
"['electricity', 'energy', 'utility companies']",none,
['food'],professional-services ,
['insurance'],none,
['food'],chemicals agriculture ,
"['tech', 'software']",mining coal-mining ,['Food']
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",none,['Mining']
['tobacco'],semiconductors tech tech-hardware ,['Financialservices']
"['staffing & employment services', 'professional services']",tech tech-hardware electronics ,
"['banks', 'financial services']",oil-gas energy ,
['telecommunication'],none,['Investment']
"['pharmaceuticals', 'biotech']",none,
"['banks', 'financial services']",real-estate ,
['electronics'],none,['Food']
,none,['Mining']
,banks financial-services ,
"['telecommunication', 'media/press']",telecommunications-equipment ,['Pharmaceuticals']
"['semiconductors', 'tech', 'tech hardware']",retail building-materials ,[]
"['energy', 'oil&gas']",none,
"['oil&gas', 'energy']",electronics ,
"['software', 'tech']",tech internet software ,['Food']
"['oil&gas', 'transportation', 'energy', 'infrastructure']",none,
"['pharmaceuticals', 'biotech']",banks financial-services ,
"['software', 'tech']",toys entertainment video-games ,['MediaPress']
['entertainment'],none,[]
['defense contractors'],none,
"['semiconductors', 'tech', 'dax', 'tech hardware']",specialty-vehicles manufacturing ,[]
"['banks', 'financial services']",financial-services investment ,
"['financial services', 'tech']",none,[]
"['oil&gas', 'energy']",maritime-transportation container-shipping transportation ,
"['semiconductors', 'tech', 'tech hardware']",none,
"['insurance', 'dax']",none,['Electronics']
['waste & recycling'],food ,['CAC40']
"['restaurant chains', 'food']",healthcare ,['Construction']
"['dow jones', 'insurance']",mining gold-mining ,
"['real estate', 'investment', 'reits']",retail ,
,medical-devices medical-equipment ,['WasteRecycling']
,none,['Insurance']
,agriculture food ,['Mining']
"['energy', 'oil&gas']",oil-gas energy ,[]
['professional services'],insurance ,['Pulpandpaper']
['conglomerate'],retail supermarkets ,
['telecommunications equipment'],banks financial-services ,
"['software', 'tech', 'electronics']",machinery-manufacturing manufacturing ,
['mining'],diagnostics biotech ,['Automakers']
['retail'],aerospace ,
"['biotech', 'manufacturing']",banks financial-services ,
"['electricity', 'energy', 'infrastructure', 'utility companies']",none,['AutomotiveSuppliers']
"['pharmaceuticals', 'biotech']",video-games professional-services ,['Buildingmaterials']
['manufacturing'],oil-gas energy infrastructure ,
"['banks', 'financial services']",mining coal-mining ,['Transportation']
"['video games', 'entertainment', 'tech']",retail ,[]
"['tech', 'tech hardware', 'semiconductors']",electricity energy ,
"['oil&gas', 'energy']",none,['Food']
"['oil&gas', 'transportation', 'infrastructure', 'energy']",retail supermarkets ,
['food'],financial-services ,[]
"['glasses and contact lenses', 'manufacturing']",beverages ,
,telecommunication ,[]
"['banks', 'financial services']",biotech pharmaceuticals ,
['courier'],financial-services ,['Buildingmaterials']
"['chemicals', 'retail', 'fertilizer companies']",none,[]
['waste & recycling'],telecommunication ,[]
['mining'],biotech pharmaceuticals ,['Tech']
"['transportation', 'maritime transportation', 'container shipping']",transportation ,['Realestate']
"['electricity', 'utility companies', 'energy']",none,[]
['professional services'],manufacturing ,[]
,manufacturing wire-and-cable-manufacturers ,
"['tech', 'semiconductors', 'tech hardware', 'manufacturing']",coal-mining mining energy ,
"['manufacturing', 'specialty vehicles']",entertainment media-press ,['Buildingmaterials']
,airlines travel transportation ,['Utilitycompanies']
"['hotels', 'travel']",food agriculture ,
"['oil&gas', 'energy']",clothing luxury-goods ,[]
"['semiconductors', 'tech', 'tech hardware']",real-estate investment reit ,[]
"['banks', 'financial services']",ports infrastructure ,
"['electricity', 'energy']",financial-services insurance ,['Electronics']
"['banks', 'financial services']",consumer-goods ,
"['oil&gas', 'energy']",construction ,['Banks']
"['mining', 'gold mining']",none,
"['real estate', 'investment', 'reits']",pharmaceuticals ,['Telecommunication']
"['banks', 'financial services']",education internet tech ,
['chemicals'],none,
"['oil&gas', 'engineering', 'energy']",food dairy ,
['insurance'],footwear ,
"['steel producers', 'steel industry']",reit real-estate investment ,
"['banks', 'financial services', 'investment']",real-estate investment reit ,['Manufacturing']
"['internet', 'tech']",none,
"['tech', 'tech hardware', 'electronics']",none,[]
"['banks', 'financial services']",renewable-energy electricity energy ,['Carrental']
"['pharmaceuticals', 'biotech']",none,[]
"['oil&gas', 'energy']",delivery-services transportation ,[]
['mining'],pharmaceuticals biotech ,[]
"['banks', 'financial services']",none,['Food']
"['renewable energy', 'electricity', 'energy']",software bitcoin tech ,['Biotech']
['chemicals'],paint-and-coating ,[]
"['professional services', 'it services', 'tech']",software tech ,
['chemicals'],electronics ,
"['alcoholic beverages', 'beverages']",software tech ,
['banks'],tech software internet ,
['food'],renewable-energy energy manufacturing ,['Electronics']
"['financial services', 'tech', 'bitcoin']",none,
,oil-gas energy ,
"['automakers', 'manufacturing']",airlines travel transportation ,
['insurance'],none,[]
['mining'],building-materials ,['Healthcare']
['electricity'],none,
,automotive-suppliers ,
"['pharmaceuticals', 'mrna therapeutics', 'biotech']",financial-services ,
['financial services'],automotive-suppliers manufacturing ,
"['retail', 'clothing']",pharmaceuticals ,['AutomotiveSuppliers']
"['mining', 'fertilizer companies']",healthcare ,['Food']
"['tech', 'electronics', 'networking hardware', 'tech hardware']",none,[]
"['automotive suppliers', 'manufacturing']",aircraft-manufacturers aerospace manufacturing ,[]
"['automakers', 'manufacturing']",airlines travel transportation ,[]
['insurance'],glove-ppe ,['Telecommunication']
"['tech', 'software', 'it security', 'networking hardware']",real-estate ,[]
"['stock exchanges', 'financial services', 'dax', 'stock/crypto exchanges']",advertising ,
"['e-commerce', 'internet', 'retail', 'tech']",none,[]
['insurance'],crispr pharmaceuticals genomics biotech gene-therapy ,[]
"['electricity', 'energy']",financial-services asset-management insurance ,['PaintCoating']
['insurance'],none,[]
['financial services'],healthcare ,['Healthcare']
"['electronics', 'tech', 'tech hardware']",tech ,
['real estate'],construction ,
['healthcare'],telecommunication ,
"['machinery manufacturing', 'manufacturing']",media-press entertainment ,
['transportation'],railways transportation ,['Electronics']
,video-games entertainment tech ,['Insurance']
"['conglomerate', 'investment']",none,
"['cac 40', 'semiconductors', 'tech', 'tech hardware', 'manufacturing']",banks financial-services ,
"['electricity', 'batteries']",clothing retail ,[]
"['alcoholic beverages', 'beverages']",transportation maritime-transportation oil-gas ,[]
['chemicals'],pharmaceuticals biotech ,[]
"['banks', 'financial services']",none,[]
"['financial services', 'internet']",none,[]
"['banks', 'financial services']",none,
"['supermarket chains', 'retail']",none,
"['conglomerate', 'construction', 'engineering']",packaging ,['Construction']
"['dow jones', 'retail', 'drugstore', 'pharmaceuticals']",telecommunication ,
,pulp-and-paper ,[]
"['tech', 'software']",entertainment ,
"['dow jones', 'chemicals']",pharmaceuticals biotech ,
"['transportation', 'container shipping', 'maritime transportation']",financial-services insurance ,[]
['restaurant chains'],fertilizer ,[]
"['video games', 'esports', 'entertainment', 'tech']",real-estate ,
"['cac 40', 'electricity', 'utility companies', 'energy']",none,['Medicaldevices']
"['banks', 'financial services']",none,[]
['tobacco'],none,[]
"['hotels', 'gambling', 'entertainment', 'travel']",medical-devices ,[]
"['pharmaceuticals', 'biotech']",none,['Healthcare']
,advertising ,['Realestate']
"['electronics', 'manufacturing']",pharmaceuticals biotech ,[]
['paint & coating'],none,
,real-estate investment reit ,['Retail']
['medical devices'],semiconductors tech tech-hardware ,[]
"['flavors & fragrances', 'cosmetics and beauty']",software tech ,
"['alcoholic beverages', 'beverages']",media-press entertainment ,
['telecommunication'],none,
"['banks', 'financial services']",none,[]
"['banks', 'financial services']",manufacturing ,['Chemicals']
['telecommunication'],renewable-energy energy ,
"['semiconductors', 'electronics', 'tech']",none,
"['pharmaceuticals', 'biotech']",chemicals ,['Engineering']
"['banks', 'financial services']",home-and-kitchen-appliances ,[]
"['pharmaceuticals', 'medical devices', 'biotech']",none,[]
"['banks', 'financial services']",reit real-estate investment ,['Sportsgoods']
"['automakers', 'manufacturing']",real-estate reit investment ,['Telecommunication']
['retail'],machinery-manufacturing ,[]
"['building materials', 'cement']",entertainment gambling ,['Financialservices']
"['internet', 'used car retailer', 'e-commerce', 'car retail']",manufacturing ,
"['real estate', 'investment', 'reits', 'telecommunication', 'infrastructure']",infrastructure energy renewable-energy electricity ,['Insurance']
['financial services'],utility-companies energy oil-gas electricity ,['Luxurygoods']
"['it services', 'professional services']",banks financial-services ,['Mining']
"['software', 'tech']",video-games entertainment tech ,['Chemicals']
"['internet', 'media/press', 'entertainment']",insurance ,['Pharmaceuticals']
['telecommunication'],none,[]
"['chemicals', 'paint & coating']",mining ,
"['tech', 'tech hardware', 'electronics']",retail food ,
"['real estate', 'investment', 'reits']",none,['Automakers']
"['automakers', 'manufacturing']",oil-gas transportation infrastructure ,
"['professional services', 'cac 40', 'it services']",tires ,
"['financial services', 'internet']",crispr pharmaceuticals genomics biotech gene-therapy ,
"['real estate', 'investment']",pulp-and-paper ,
"['electronics', 'manufacturing']",none,
,none,['Retail']
"['internet', 'tech']",renewable-energy energy ,[]
"['banks', 'financial services']",none,['Internet']
['sports goods'],tech semiconductors ,['Chemicals']
['chemicals'],construction ,[]
,utility-companies ,['Telecommunication']
['retail'],none,['Realestate']
['transportation'],banks financial-services ,
['consumer goods'],food ,
"['software', 'tech']",construction ,['Telecommunication']
['real estate'],retail ,['Medicaldevices']
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",oil-gas energy ,['Utilitycompanies']
"['oil&gas', 'energy']",tires ,[]
['aerospace'],energy oil-gas ,[]
"['tech', 'real estate']",none,
"['construction', 'engineering']",pulp-and-paper packaging ,['Telecommunication']
"['banks', 'financial services']",none,
['financial services'],none,['Realestate']
"['semiconductors', 'tech', 'tech hardware']",semiconductors tech manufacturing ,
"['retail', 'supermarket chains']",sports ,['Insurance']
"['electronics', 'tech', 'tech hardware']",none,
,none,[]
"['oil&gas', 'energy']",travel media-press ,['Realestate']
"['insurance', 'financial services']",none,
"['genomics', 'biotech', 'manufacturing']",none,['CosmeticsandBeauty']
"['cac 40', 'food']",food retail ,[]
"['internet', 'video games', 'e-commerce', 'financial services', 'entertainment', 'tech']",transportation ,
