04-iGMM-net_income,04-iGMM-revenue
"doll_1.219 b (fiscal year ended december 31, 2021)","doll_14.742 b (fiscal year ended december 31, 2021)"
doll_-267 m (2020),doll_10.571 b (2020)
cdoll_6.45 b (2021),cdoll_20.02 b (2021)
0,0
0,0
doll_3.775 b (2020),doll_27.200 b (2020)
0,0
0,0
doll_¥1.05 t (2018),doll_¥15.36 t (2018)
doll_1.10 b (2021),doll_4.06 b (2021)
doll_1.808 b (2020),doll_111.115 b (2020)
doll_1.02 b (2021),doll_26.04 b (2021)
doll_ 538.293 m (2013) doll_ 483.36 m (2012),"doll_ 3,238.128 m (2013) doll_ 2,993.489 m (2012)"
doll_-0.7 m (2020): 31,doll_3.973 b (2020): 31
"doll_0.656 b (fiscal year ended january 3, 2021)","doll_1.093 b (fiscal year ended january 3, 2021)"
0,0
doll_757.5 m (2021),doll_4.2 b (2021)
0,0
doll_1.558 b (2019),doll_14.9 b (2019)
0,0
0,0
adoll_6.50 b (2020),adoll_17.62 b (2020)
doll_1.064 b (fiscal year ended 31 december 2020),doll_8.879 b (fiscal year ended 31 december 2020)
doll_2.709 b (as of 2/2022),doll_85.249 b (as of 2/2022)
doll_6.50 b (2020),doll_63.49 b (2021)
0,0
"₹10,866 crore (doll_1.4 b) (2021)","₹75,000 crore (doll_9.8 b) (2021)"
0,0
doll_6.47 b (2019),doll_47.98 b (2019)
doll_350.158 m (2019),doll_5.586 b (2019)
doll_0.590 b (2020),doll_2.682 b (2020)
doll_876 m (2020) doll_430.62 m (2015),doll_7.09 b (2020) doll_4.476 b (2015)
0,doll_11.359 b (2020)
"doll_1.732 b (fiscal year ended augt 29, 2020)","doll_12.631 b (fiscal year ended augt 29, 2020)"
0,usd doll_14.9 b (fiscal 2021)
0,0
0,0
0,0
0,0
doll_−20.75 m (2021),doll_1.03 b (2021)
doll_−2.951 b (2020),doll_20.397 b (2020)
0,0
0,0
doll_1.473 b (fiscal year ended 2020),doll_11.526 b (fiscal year ended 2020)
doll_ 1.833 b (2019),doll_ 5.12 b (2019)
doll_601.82 m (2020),doll_1.69 b (2020)
0,0
doll_1.10b (fy 2020),doll_11.67b (fy 2020)
0,0
doll_ 605 m (2020),doll_ 7.4 b (2020)
doll_686 m (2019),doll_5.339 b (2020)
doll_456 m (2020),doll_139.5 b (2020)
doll_0.579 b (2019),doll_3.209 b (2019)
0,0
doll_1.98 b (2020),doll_17.46 b (2020)
doll_3.55 b (2021),doll_15.9 b (2021)
0,doll_ 0 1.687 b(2013)
adoll_1.602 b (2020),adoll_63.67 b (2020)
doll_ 1.1 b (2020) doll_ 656.6 m (2012),doll_ 4.4 bs (2020) doll_ 1.1 b (2012)
doll_0.802 b (fy2021),doll_5.372 b (fy2021)
0,usddoll_3.2 b (fy21)
0,0
0,0
0,0
doll_cn¥−5.611 b (2020),doll_cn¥16.258 b (2020)
doll_−260.3 m (2021),doll_656.4 m (2021)
0,0
doll_ 4.895 b (2017),doll_ 34.484 b (2017)
0,doll_4.92 b
doll_680 m (2021),doll_4.8 b (2021)
doll_ 1.693 b (2019)  doll_ 1.438 b (2018),doll_ 10.076 b (2019)  doll_ 9.696 b (2018)
cadoll_1.78 b (fy19) cadoll_1.62 b (fy18),cadoll_14.66 b (fy19) cadoll_14.37 b (fy18)
doll_£3.312 b (2021),doll_£10.512 b (2021)
doll_−3.093 b (2020),doll_4.667 b (2020)
doll_€3.226 b (2019),doll_€42.238 b (2019)
0,0
0,doll_21.4 b cad (2019)
doll_1.804 b (2020),doll_13.066 b (2020)
0,doll_7 b (2021)
0,0
doll_906 m (2020),doll_12.76 b (2020)
doll_672 m (2021),doll_2.7 b (2021)
0,0
doll_22.980 b kr (2021),doll_232.314 b kr (2021)
"doll_455,873 m (2019)",doll_11.656 b (2021)
0,0
0,0
0,0
0,0
0,0
-doll_647 m (2020),doll_38.954 b (2020)
doll_1.131 b cad (2019),doll_51.859 b cad (2020)
doll_380 m (2021),doll_1.5 b (2021)
doll_ −1.14 b (2020),doll_ 3.72 b (2020)
doll_€330 m (2021),doll_€22.202 b (2021)
0,0
doll_2.57 b (2021),doll_12.03 b (2021)
0,0
doll_734 m (2021),doll_1.300 b (2021)
0,0
0,doll_673 m (2020)
0,0
0,0
doll_ 861.3 m (2019),doll_ 5.2 b (2019)
doll_565 m (2019),doll_4.24 b (fy 2020)
0,0
0,0
0,0
doll_914 m (2019),doll_8.70 b (2021)
0,0
0,0
0,0
doll_520.1 m (2020),doll_4.128 b (2020)
doll_£697.4 m (2021),"doll_£4,472.6 m (2021)"
doll_780.088 m (2020),doll_5.505 b (2020)
0,doll_ 9.497 b (2019)
0,0
0,0
0,0
us doll_2.765 b (2020),us doll_10.583 b (2020)
0,doll_1.76 b
0,0
doll_436 m (2019),doll_1.491 b (2019)
0,0
cdoll_3.20 b (2021),cdoll_8.93 b (2021)
0,0
¥125.11 b doll_1.14 b (2019),¥3.59 t doll_32.67 b (2019)
doll_€2.5 b (2021),doll_€25.4 b (2021)
"cadoll_1,082 m (2020)","cadoll_12,143 m (2020)"
doll_1.368 b (2020),doll_ 12.177 b (2020)
doll_2.465 b (2018),doll_21.965 b (2018)
0,0
doll_–532.607 m (fiscal year ended 31 december 2020),doll_1.110 b (fiscal year ended 31 december 2021)
0,doll_2.63b  (2020)
doll_411 m (2020),doll_18.469 b (2020)
0,0
0,0
0,0
0,doll_4.929 b (2019)
doll_£1.472 b (2021),doll_£21.370 b (2021)
0,0
0,0
doll_254 m (2020),doll_1.677 b (2020)
−doll_141 m (2019),doll_401 m (2019)
doll_1.56 b (2018),doll_5.96 b (2018)
0,0
0,0
0,0
(doll_4.0 b) (2020),doll_3.6 b (2020)
doll_–1.828 b (2020),doll_1.861 b (2020)
0,0
doll_0.871 b (fiscal year ended 31 december 2020),doll_5.794 b (fiscal year ended 31 december 2020)
0,0
0,0
0,0
0,0
0,0
doll_1.469 b (q4 2020),doll_7.6 b (q4 2020)
doll_683.4 m (2020)  doll_677.9 m (2019),doll_6.7 b (2020)  doll_7.1 b (2019)
doll_1.01 b (2018),doll_13.8 b (2019)
0,0
0,0
doll_195 m (2020),doll_1.822 b (2020)
0,0
0,0
0,0
0,0
doll_999 m (2020),doll_12.3 b (2020)
cdoll_1.99 b (2020),cdoll_64.61 b (2020)
0,0
0,0
0,0
doll_402.3 m (2019),doll_3.164 b (2019)
doll_1.708 b (2019),doll_6.400 b (2019)
doll_1.776 b (2021),doll_6.12 b (2021)
0,0
doll_409.8 m (2016),doll_4.855 b (2016)
doll_504 m (fy 2020),doll_4.448 b (fy 2020)
doll_242 m (2021),doll_1.21 b (2021)
0,0
0,0
doll_817 m (fiscal year ended 31 december 2020),doll_4.815 b (fiscal year ended 31 december 2020)
doll_€760 m (2019),doll_€25.03 b (2019)
0,0
0,doll_ 11.1 b (2018)
0,0
0,doll_12.899 b (2019)
0,0
doll_480.4 m (2020),doll_2.613 b (2020)
"doll_2.447 b (fiscal year ended december 31, 2021)","doll_12.846 b (fiscal year ended december 31, 2021)"
−doll_462 m (2020),doll_5.587 b (2020)
0,0
0,0
0,0
0,0
0,0
doll_4.21 b (2021),doll_14.8 b (2018)
doll_0.521 b (2019),doll_2.960 b (2019)
0,0
doll_£(411.9) m (2021),"doll_£6,036.2 m (2021)"
doll_£322.8 m (2021),"doll_£1,889.6 m (2021)"
0,0
0,0
doll_2.29 b (2018),doll_40.82 b (2018)
0,doll_26.5 b  (2012)
0,0
0,0
0,0
0,0
doll_673 m (2020),doll_19.423 b (2020)
0,0
0,0
0,0
doll_346.9 m (2019),doll_2.656 b (2019)
0,doll_6.98 b (2019)
-doll_1.451 b (2020),doll_3.086 b (2020)
doll_302 m (2019),doll_9.172 b (2019)
0,0
0,0
doll_708 m (2018),doll_8.415 b (2018)
doll_486 m (2020),doll_4.97 b (2020)
0,0
0,0
0,0
"doll_0.585 b (fiscal year ended june 30, 2021)","doll_3.998 b (fiscal year ended june 30, 2021)"
0,doll_9.466 b usd (2017)
doll_196.290 m (2018),doll_1.016 b (2018)
0,0
0,0
0,0
0,us doll_219.75 m (2019) us doll_74.91 m (2018)
0,0
doll_588.886 m (2021),doll_3.372 b (2021)
0,0
0,0
0,0
doll_327.9 m (2019),0
0,0
doll_cn¥001.580 b (2017),"doll_113,814,236,000 renminbi (2016)"
0,0
0,0
0,0
0,0
doll_chf 2.847 b (2020),doll_chf 22.4 b (2020)
doll_−1.421.0 b (2020),doll_8.040 b (2020)
0,0
doll_43 m (2019),doll_1.997 b (2019) doll_1.847 b (2018)
doll_730 m (2021),doll_5.74 b (2021)
doll_486 m can (2012),doll_54.705 b can (2020)
0,0
doll_482 m  (2020),doll_20.580 b (2020)
0,0
doll_945 m (2020),doll_13.171 b (2020)
0,0
0,0
0,0
doll_904 m (2021),doll_2.167 b (2021)
doll_1.721 b (2018),doll_6.128 b (2018)
doll_ 59 m (2016),doll_ 4.3 b (2016)
0,0
doll_20.3 m (2017),"doll_2,309 m (2017)"
doll_199 m (2021),doll_1.84 b (2021)
0,0
0,doll_6.36 b (2016)
0,0
doll_0.307 b (2021) doll_0.470 b (2020),doll_5.301 b (2021)doll_4.463 b (2020)
0,0
0,0
doll_651 m (2021),doll_3.461 b (2021)
0,0
0,0
0,0
cdoll_1.118 b (2020),cdoll_12.164 b (2020)
0,0
doll_574 m (2017),doll_3.54 b (2017)
0,0
0,0
us doll_1.872 b (2021) us doll_1.115 b (2020),us doll_5.632 b (2021) us doll_3.776 b (2020)
doll_-€1.145 b (2021),doll_€1.636 b (2021)
0,0
doll_£2.036 b (2021),doll_£33.184 b (2021)
0,0
0,0
0,doll_2.1 b (2018)
0,0
0,0
0,doll_1.06 b (2021)doll_841.1 m (2020)
doll_1.476 b (2021),doll_11.722 b (2021)
0,0
doll_273.1 m (2021),doll_1.1 b (2021)
doll_0.160 b (2019),doll_1.264 b (2019)
0,0
0,doll_5.0 b d (2021)
0,0
doll_1.428 b (fiscal year ended 31 december 2020),doll_14.741 b (fiscal year ended 31 december 2020)
doll_£2.907 b (2021),doll_£32.791 b (2021)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
"doll_0.752 b (fiscal year ended december 31, 2020)","doll_6.680 b (fiscal year ended december 31, 2020)"
0,0
doll_ 2.313 b (2021),doll_ 14.701 b (2021)
0,0
0,0
doll_–5.26 b (2021),doll_1.53 b (2021)
0,0
us doll_738.9 m (2019),us doll_7.3 b (2019)
doll_ 811.5 m (2018),doll_ 2.433 b (2018)
doll_-77.84 m (2021),doll_1.3 b (2021)
doll_349.4 m (2021),doll_5.44 b (2021)
-doll_203 m (2021),doll_4.94 b (2021)
"doll_£4,067 m (2021)",doll_£546 m (2021)
"doll_565.0 m (fiscal year ended december 31, 2021)","doll_5.152 b (fiscal year ended december 31, 2021)"
0,0
doll_1.3 b (2021),doll_10.68 b (2021)
0,0
doll_2.42 b (2020),doll_25.29 b (2020)
0,doll_476 m (2020)
doll_105.812 mil (2020),doll_247.954 mil (2020)31_perc
doll_1.094 b (2020),doll_6.762 b (2018)
"doll_£2,043 m (2021)","doll_£45,450 m (2021)"
0,0
0,0
0,0
0,0
0,0
0,0
0,0
doll_516 m (2019),doll_9.165 b (2019)
doll_ 317.0 m (2020),doll_ 4.124 b (2020)
doll_1.216 b (fiscal year ended 31 december 2020),doll_7.536 b (fiscal year ended 31 december 2020)
0,0
0,0
0,0
0,0
0,0
"doll_1,498.3 m usd (fy21)",doll_5.109 b usd (fy21)
0,0
-doll_0.596 b (2020),doll_2.586 b (2020)
0,0
mxndoll_28.0 b (2019),mxndoll_506.7 b (2019)
0,0
"doll_3.806 b (fiscal year ended december 31, 2020)","doll_2.545 b (fiscal year ended december 31, 2020)"
0,0
0,0
"₹−13,016 crore (doll_−1.7 b) (2021)","₹319,247 crore (doll_42 b) (2021)"
0,0
0,0
doll_-848.41 m (2022),doll_1.3 b (2022)
0,0
doll_568 m (2020),doll_1.495 b (2020)
0,0
0,0
0,0
0,0
0,0
doll_1.344 b (2018),doll_13.547 b (2018)
doll_−0.32 b (2020),doll_27.0 b (2020)
0,0
0,0
0,0
0,0
doll_ 280 m (2019),doll_ 1.9 b (2019)
0,0
doll_−9.501 b (2021),doll_1.908 b (2021)
0,0
doll_992 m (2020),doll_4.19 b (2020)
0,0
0,0
0,0
0,0
doll_932 m (2020),doll_15.735 b (2020)
doll_827 m (2021),doll_2.632 b (2021)
0,0
0,0
0,0
0,0
0,0
0,0
doll_1.56 b (2020),doll_15.6 b (2020)
0,0
doll_264 m (2014),doll_3.22 b (2021)
0,0
"doll_£2,322.8 m (2021)","doll_£6,826.4 m (2021)"
0,0
doll_433 ms (2019),doll_3.8 b (2019)
0,0
doll_ -336 m (fy 2020),doll_ 2.36 b (fy 2020)
0,0
doll_1.406 b (fiscal year ended 2020),doll_10.113 b (fiscal year ended 2020)
doll_304m (fy2019),doll_2.78b (fy2019)
"doll_1.798 b (fiscal year ended january 30, 2021)","doll_47.262 b (fiscal year ended january 30, 2021)"
0,0
doll_721 m (2020),doll_4.7 b (2020)
0,0
0,0
0,0
0,doll_3.4 b (2015)
doll_492 m (2017),doll_1.17 b (2017)
-doll_4.517 b (2020),doll_2.813 b (2020)
0,doll_2.176 b(2020)
doll_-520.379 m (fye 31 dec. 2021),doll_1.541 b (fye 31 dec. 2021)
doll_4.767 b (2019),doll_47.007 b (2019)
0,0
doll_233 m (2019),doll_4.25 b (2019)
"doll_788.5 m (fiscal year ended december 31, 2020)","doll_18.467 b (fiscal year ended december 31, 2020)"
doll_ -104.2 m (2017),doll_ 8.9 b (2020)
0,0
0,0
0,0
doll_134 m (2020),doll_774.4 m (2020)
0,0
doll_375 m (2020),doll_3.128 b (2020)
"doll_1,079 b (2020)",doll_10.790 b  (2020)
0,0
0,0
0,0
"doll_4.430 b (fiscal year ended november 30, 2021)","doll_27.130 b (fiscal year ended november 30, 2021)"
0,0
doll_890 m (2020),doll_8.530 b (2020)
0,0
doll_ 3.0 b  (2017),doll_ 28.0 b  (2017)
doll_¥153.5 b (2014),"doll_¥4,394.4 b (2017)"
0,doll_873.8 m (2022)
doll_ 436.9 m (2015)  doll_ 511.2 m (2014),"doll_ 11,333.4 m (2018)"
doll_2.09 b (2019),doll_20.74 b (2019)
0,0
0,0
0,0
doll_€1.582 b (2020),doll_€43.076 b (2020)
0,0
0,0
0,0
0,0
0,0
0,0
0,doll_ 7.824 b (2017)
0,0
0,0
doll_451.3 m (2019),doll_1.516 b (2019)
0,0
doll_ 997.1 m (2021),doll_ 12.731 b (2021)
0,0
0,0
us doll_1.179 b (2020),us doll_2.218 b (2020)
0,0
0,0
0,0
"doll_0.755 b (fiscal year ended november 30, 2021)","doll_6.317 b (fiscal year ended november 30, 2021)"
0,0
0,0
doll_695.0 m (2020),doll_11.80 b (2020)
doll_1.038 b (2017),doll_14.091 b (2017)
0,0
doll_877 m (2021),doll_1.577 b (2021)
0,0
0,0
doll_629.9 m (2018),doll_5.878 b (2018)
0,0
doll_849 m (2013)30_perc,doll_12.6 b (2013)12.4_perc
0,0
0,0
cdoll_40.0 bil ytd dec'202064.8_perc,cdoll_60.6 bil ytd dec'202065.9_perc
doll_€1.195 b (2020),doll_€19.535 b (2020)
0,0
0,0
0,0
0,0
doll_−2.143 b (2020),doll_ 3.612 b (2020)
0,0
0,0
0,0
0,0
0,0
doll_621 m (2019),doll_4.3 b (2019)
"doll_0.585 b (fiscal year ended december 31, 2020)","doll_11.781 b (fiscal year ended december 31, 2020)"
0,0
doll_797 m (2020),doll_7.53 b (2020)
doll_ 1.031 b (2020),doll_ 5.627 b (2020)
"doll_–34 m (fiscal year ended december 31, 2021)","doll_9.668 b (fiscal year ended december 31, 2021)"
0,0
0,0
0,0
0,0
doll_188 m (2020),doll_2.391 b (2020)
doll_1.07 b (2019),doll_9.04 b (2019)
0,0
0,0
doll_1.811 b (2020),doll_19.811 b (2020)
0,0
doll_760 m (2020),doll_1.885 b (2020)
0,0
doll_241.7 m (2019),"doll_1,849.9 m (2019)"
0,0
doll_709 m (2020),doll_3.77 b (2020)
"doll_755.868 m (fiscal year ended december 31, 2020)","doll_23.826 b (fiscal year ended december 31, 2020)"
doll_2.512 b (2019),0
doll_£1.91 b (2021),doll_£19.52 b (2021)
"doll_1,508 m (2021)","doll_22,792 m (2021)"
0,0
0,0
0,0
0,0
doll_1.727 b (2021),doll_10.981 b (2021)
0,0
"doll_€2,621 m (2021)","doll_€30,981 m (2021)"
0,0
doll_1.23 b (2021),doll_9.86 b (2021)
0,0
0,0
us doll_2.695 b (2020),us doll_13.5 b (2020)
"adoll_1,060,200,000 2020-06-30","adoll_1,510,900,000 at 2020-06-30"
doll_305.45 m (2009),doll_12.6 b (2018)
doll_ 0.580 m (2018),doll_ 2.819 b (2020)
doll_rp 18.663 t (2019),doll_rp 135.567 t (2019)
"doll_1.059 b (fiscal year ended december 31, 2020)","doll_13.834 b (fiscal year ended december 31, 2020)"
0,0
0,0
0,0
doll_521.7 m usd (2016),doll_17.03 b usd (2016)
0,0
"doll_0.903 b (fiscal year ended april 30, 2021)","doll_4.526 b (fiscal year ended april 30, 2021)"
doll_£7.226 b (2021),doll_£21.940 b (2021)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
doll_1.54 m (2021),doll_213.99 b (2021)
0,doll_7.65 b (2017)
doll_1.02 b (2015),doll_11.94 b (2015)
doll_¥603.54 b (2017),doll_¥1.450 t (2017)
doll_4.88 b (2020),doll_20.64 b (2020)
0,0
0,0
0,0
0,0
doll_1.14 b (2020),doll_12.95 b (2020)
doll_ 2.061 b (2020),doll_ 43.185 b (2020)
doll_1.656 b (2018),doll_23.995 b (2018)
doll_ 1.22 b (2018),doll_ 6.20 b (2020)
doll_ntd 41 b and 230 m (as 2016),doll_usd 7.300 b (march 2016)
doll_962 m (2020),doll_2.571 b (2020)
0,0
"doll_858.1 m (fiscal year ended december 31, 2020)","doll_7.003 b (fiscal year ended december 31, 2020)"
0,0
doll_507.6 m (2015),doll_2.1 b (2015)
adoll_75 m (2013),adoll_1.057 b (2013)
0,0
doll_1.775 b (fiscal year ended 31 december 2020),doll_2.471 b (fiscal year ended 31 december 2020)
doll_ 448.636 m (2013)  doll_ 420.536 m (2012),"doll_ 3,326.106 m (2013)  doll_ 3,133.577 m (2012)"
doll_1.5 b(2020),doll_11.9 b(2020)
0,0
0,0
0,0
"doll_1.383 b (fiscal year ended december 31, 2021)","doll_13.676 b (fiscal year ended december 31, 2021)"
0,doll_9.3 b(2019)
doll_673 m (2020),"doll_4,015 m (2020)"
0,0
"doll_1.294 b (fy december 31, 2019)","doll_5.597 b (fy december 31, 2019)"
doll_1.122 b cad (2015),doll_26.888 b cad (2015)
doll_827 m (2020),doll_2.301 b (2020)
0,0
0,0
adoll_3.9 b (2017),adoll_26 b (2017)
0,0
doll_ 0.4 b (2019),doll_ 3.1 b (2019)
0,0
–doll_468 ma (2021),"doll_4,888 ma (2021)"
0,0
0,0
0,0
0,0
doll_1.21 b (2018),doll_14.3 b (2018)
0,0
doll_854.9 m (fiscal year ended 31 december 2020),doll_12.454 b (fiscal year ended 31 december 2020)
doll_3.04 b (2020),doll_5.54 b (2020)
doll_ doll_3.076 b (2019),doll_ doll_107.293 b (2019)
0,0
0,0
doll_£0.357 b (2021),doll_£17.908 b (2021)
0,0
0,0
0,0
"doll_1.341 b (fiscal year ended january 30, 2021)","doll_25.509 b (fiscal year ended january 30, 2021)"
0,0
0,0
0,0
doll_3.505 b (2021),doll_94.224 b (2021)
0,0
doll_-15.761 b (2020),doll_20.705 b (2020)
coldoll_1.587 t (2020),coldoll_50.223 t (2020)
doll_657 m (2019),doll_7.4 b (2019)
doll_(2.813) b (2021),doll_26.500 b (2021)
0,0
0,0
doll_1.792 b (2019),doll_10.8 b (2019)
doll_2.353 b (2020),doll_54.1 b (2020)
0,0
0,0
doll_868 m (2019),doll_7.41 b (2020)
0,0
0,0
doll_4.156  b (2018),doll_117.033 b (2018)
0,0
doll_4.847 b (2019),doll_44.675 b (2019)
doll_571 m (2015),doll_7.360 b (2015)
doll_2.808 b (2021),doll_12.206 b (2021)
0,0
doll_€366.9 m (2020),doll_€482.3 m (2020)
cadoll_5.9 b (2020),cadoll_39.0 b (2018)
doll_2.585 b (2020),doll_132.5 b (2020)
doll_1.143 b (2017),doll_55.371 b (2017)
0,0
doll_−720 m (2020),doll_4.307 b (2020)
0,0
0,0
doll_2.18 b (2020),doll_17.63 b (2020)
0,doll_ 14.217 b (2020)
0,0
doll_1.06 b (2020),doll_4.6 b (2020)
0,0
0,0
"doll_0.969 b (fiscal year ended december 31, 2020)","doll_10.153 b (fiscal year ended december 31, 2020)"
doll_1.6–2.1 b (2020),doll_30.8 b (2020)
0,0
doll_2.352 b (2020),doll_19.1 b (2020)
doll_180 m (fiscal year ended 31 december 2020),doll_11.700 b (fiscal year ended 31 december 2020)
0,0
"doll_3.288 b (fiscal year ended december 31, 2021)","doll_11.985 b (fiscal year ended december 31, 2021)"
"doll_4.325 b (fiscal year ended december 31, 2021)","doll_22.106 b (fiscal year ended december 31, 2021)"
doll_1.109 b (2020),doll_4.609 b (2020)
0,0
"doll_2.031 b (fiscal year ended february 28, 2021)","doll_9.355 b (fiscal year ended february 28, 2021)"
0,0
doll_2.622 b (2019),doll_31.581 b (2019)
0,doll_2.707 b (2021)
doll_€536 m (2021),doll_€43.809 b (2021)
0,0
doll_1.203 b (fiscal year ended 31 december 2020),doll_8.598 b (fiscal year ended 31 december 2020)
doll_1.01 b (2019),doll_7.9 b (2019)
"doll_¥186,886 m (fy 2012)[* 1]","doll_¥1,770,531 m (fy 2018)[* 1]"
doll_cn¥10.226 b (2021),doll_cn¥ 124.493 b (2021)
0,0
0,0
0,0
doll_5.5 b (2018),doll_ 74.0 b (2017)
0,doll_1.032 b (2018)
doll_721 m (2020),doll_20.139 b (2020)
doll_2.37 b (2021),doll_18.65 b (2021)
0,0
doll_-374 m (2020),doll_57.033 b (2020)
"doll_1,208.2 m (2021)",doll_3.790 b (2021)
0,0
"doll_–doll_92.629 m (fiscal year ended january 31, 2021)","doll_874.438 m (fiscal year ended january 31, 2021)"
0,0
doll_ 1.75 b (2020) doll_ 1.39 b (2019) doll_ 1.32 b (2018),doll_ 11.60 b (2020)| doll_ 10.15 b (2019) doll_ 9.54 b (2018)
doll_ 2.4 b (2018),doll_ 31.4 b (2018)
doll_2.05 b (2021),doll_11.767 b (2021)
doll_4.119 b can (2021),doll_41.133 b can (2021)
doll_1.126 b (2020): 35,doll_231.051 b (2020): 35
0,0
doll_6.31 b (2021),doll_54.97 b (2021)
doll_588.9 m (2020),doll_4.4 b (2020)
0,0
0,0
0,0
0,0
0,0
0,doll_17.8 b (2021 fy)
"doll_¥2,282,378 m (fy21)","¥27,214,594 m  doll_256.7 b (fy21)"
0,0
cadoll_3.25 b (fy19) cadoll_2.97 b (fy18),cadoll_23.96 b (fy19) cadoll_23.47 b (fy18)
0,0
doll_-€8.6 b (2020),doll_€44 b (2020)
0,0
doll_ 792.721 m (2020) doll_ 889.750 m (2019),doll_ 3.16 b (2020) doll_ 3.06 b (2019)
doll_1.906 b (2021),doll_11.063 b (2021)
0,0
0,0
