"Name","Industry","Headquarter","Ownership","Foundation Year"
"Maruti Suzuki","Automobile","New Delhi, Delhi, India","Public","1983 (40 yrs old)"
"IDFC FIRST Bank","Banking","Mumbai, Maharashtra, India","Public","2018 (5 yrs old)"
"HSBC","Banking","Pune, Maharashtra, India","Private","2002 (21 yrs old)"
"Bajaj Finserv","Insurance","Pune,Maharashtra, India","Public","2007 (16 yrs old)"
"Ericsson","Telecom","Stockholm,Stockholm County, Sweden","Private","1876 (147 yrs old)"
"Conneqt Business Solutions","Analytics & KPO","Mumbai, Maharashtra, India","Private","2002 (21 yrs old)"
"Mphasis","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Public","1998 (25 yrs old)"
"Startek","BPO","Mumbai, Maharashtra, India","Public","2017 (6 yrs old)"
"Dr. Reddy's","Pharma","Hyderabad/Secunderabad, Telangana, India","Public","1986 (37 yrs old)"
"Sutherland Global Services","IT Services & Consulting","Pittsford, New York, United States (USA)","Private","1986 (37 yrs old)"
"Cipla Pharmaceutical","Pharma","Mumbai, Maharashtra, India","Public","1935 (88 yrs old)"
"Yes Bank","Banking","Mumbai, Maharashtra, India","Public","2004 (19 yrs old)"
"Udaan","Internet","Bangalore,Karnataka, India","Private","2016 (7 yrs old)"
"Jana Small Finance Bank","Banking","Bangalore/Bengaluru, Karnataka, India","Public","2006 (17 yrs old)"
"Asian Paints","Chemicals","Mumbai, Maharashtra, India","Public","1942 (81 yrs old)"
"NTT DATA","IT Services & Consulting","Chiyoda City, Tokyo, Japan","Private","1988 (35 yrs old)"
"ICICI Prudential Life Insurance","Insurance","Mumbai, Maharashtra, India","Public","2000 (23 yrs old)"
"HDFC Life","Insurance","Mumbai, Maharashtra, India","Public","2000 (23 yrs old)"
"Lupin","Pharma","Mumbai, Maharashtra, India","Public","1968 (55 yrs old)"
"HCL Group","IT Services & Consulting","","",""
"PwC","Consulting","London, United Kingdom (UK)","Partnership","1998 (25 yrs old)"
"EXL Service","Analytics & KPO","New York City,New York, United States","Private","1999 (24 yrs old)"
"iEnergizer","BPO","Noida, Uttar Pradesh, India","Private","2000 (23 yrs old)"
"Indian Army","Defence & Aerospace","New Delhi, Delhi, India","Public","1895 (128 yrs old)"
"L&T Infotech","IT Services & Consulting","Mumbai, Maharashtra, India","Public","1996 (27 yrs old)"
"UltraTech Cement","Building Material","Mumbai, Maharashtra, India","Public","1983 (40 yrs old)"
"Bajaj Finance","NBFC","Pune, Maharashtra, India","Private","1987 (36 yrs old)"
"Home Credit Finance","Financial Services","Gurugram, India","Private","2012 (11 yrs old)"
"KPMG","Consulting","","Partnership","1987 (36 yrs old)"
"Paytm","BPO","Noida, India","Public","2010 (13 yrs old)"
"Mindtree","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Public","1999 (24 yrs old)"
"Hindustan Unilever","FMCG","Mumbai, Maharashtra, India","Public","1933 (90 yrs old)"
"ITC","FMCG","Kolkata, West Bengal, India","Public","1975 (48 yrs old)"
"Ujjivan Small Finance Bank","Banking","Bangalore/Bengaluru, Karnataka, India","Public","2017 (6 yrs old)"
"IIFL","Financial Services","Mumbai, Maharashtra, India","Public","1995 (28 yrs old)"
"Bandhan Bank","Banking","Kolkata, West Bengal, India","Public","2001 (22 yrs old)"
"OPPO","Consumer Electronics & Appliances","Dongguan, Guangdong, China","Public","2004 (19 yrs old)"
"JP Morgan Chase","Investment Banking / Venture Capital / Private Equity","New York, New York, United States (USA)","Private","2000 (23 yrs old)"
"Wells Fargo India","IT Services & Consulting","San Francisco, California, United States (USA)","Public","1852 (171 yrs old)"
"Zydus Cadila","Pharma","Ahmedabad, India, India","Public","1952 (71 yrs old)"
"Delhivery","Logistics","Delhi,NCT, India","Private","2011 (12 yrs old)"
"Shriram Transport Finance","NBFC","Mumbai, Maharashtra, India","Public","1979 (44 yrs old)"
"Sun Pharmaceutical Industries","Pharma","Mumbai, India","Public","1983 (40 yrs old)"
"Shapoorji Pallonji Group","Engineering & Construction","Mumbai, Maharashtra, India","Private","1865 (158 yrs old)"
"Ashok Leyland","Automobile","Chennai, Tamil Nadu, India","Public","1948 (75 yrs old)"
"Aurobindo Pharma","Pharma","Hyderabad/Secunderabad, Telangana, India","Public","1986 (37 yrs old)"
"Vivo","Consumer Electronics & Appliances","Gurgaon/Gurugram, Haryana, India","Private","2009 (14 yrs old)"
"Mahindra & Mahindra Financial Services","NBFC","Mumbai, Maharashtra, India","Public","1991 (32 yrs old)"
"AU Small Finance Bank","Financial Services","Jaipur, Rajasthan, India","Private","1996 (27 yrs old)"
"Siemens","Power","Munich,Bavaria, Germany","Public","1847 (176 yrs old)"
"Apollo Hospitals","Healthcare","San Francisco,California, United States","Public","1983 (40 yrs old)"
"Hewlett-Packard Enterprise","IT Services & Consulting","Houston,Texas, United States","Private","2015 (8 yrs old)"
"Nokia","Hardware & Networking","Espoo, Southern Finland, Finland","Private","1865 (158 yrs old)"
"Max Life Insurance","Insurance","Gurgaon/Gurugram, Haryana, India","JV","2000 (23 yrs old)"
"TATA Steel","Iron & Steel","Mumbai, Maharashtra, India","Public","1907 (116 yrs old)"
"TATA Steel","Iron & Steel","Mumbai, Maharashtra, India","Public","1907 (116 yrs old)"
"First Source","BPO","Mumbai, Maharashtra, India","Public","2001 (22 yrs old)"
"Hexaware Technologies","IT Services & Consulting","Mumbai, Maharashtra, India","Public","1990 (33 yrs old)"
"JSW Steel","Iron & Steel","Mumbai, Maharashtra, India","Public","1982 (41 yrs old)"
"Oracle","Software Product","Austin,Texas, United States","Public","1977 (46 yrs old)"
"Intelenet Global Services","BPO","Mumbai, Maharashtra, India","Private","2000 (23 yrs old)"
"Quess","Recruitment","Bangalore, India","Public","2007 (16 yrs old)"
"Reliance Communications","Telecom","Navi Mumbai, Maharashtra, India","Public","2002 (21 yrs old)"
"Tata Projects","Engineering & Construction","Mumbai, Maharashtra, India","Public","1979 (44 yrs old)"
"Future Group","Retail","Mumbai, Maharashtra, India","Private","2013 (10 yrs old)"
"JLL","Real Estate","Mumbai, Maharashtra, India","Private","1997 (26 yrs old)"
"Hero MotoCorp","Automobile","Gurgaon/Gurugram, Haryana, India","Public","1984 (39 yrs old)"
"Fidelity National Information Services","IT Services & Consulting","Jacksonville,Florida, United States","Private","1968 (55 yrs old)"
"JustDial","Internet","Mumbai,Maharashtra, India","Public","1996 (27 yrs old)"
"TVS Motor","Automobile","Chennai, Tamil Nadu, India","Public","1979 (44 yrs old)"
"Cyient","IT Services & Consulting","Hyderabad/Secunderabad, Telangana, India","Public","1991 (32 yrs old)"
"Oyo Rooms","Hospitality","Gurgaon,Haryana, India","Private","2013 (10 yrs old)"
"Bajaj Allianz Life Insurance","Insurance","Pune, India","Private","2001 (22 yrs old)"
"Hyundai Motor","Automobile","Seoul, South Korea","Private","1967 (56 yrs old)"
"Wipro BPS","IT Services & Consulting","Bengaluru, India","","2000 (23 yrs old)"
"Bosch","Auto Components","Gerlingen, Baden-Wuerttemberg, Germany","Public","1886 (137 yrs old)"
"Megha Engineering & Infrastructures","Engineering & Construction","Hyderabad/Secunderabad, Telangana, India","Private","1989 (34 yrs old)"
"Omega Healthcare","IT Services & Consulting","Florida, UnitedStates","Private","2004 (19 yrs old)"
"L&T Construction","Engineering & Construction","Chennai, India","Public","1944 (79 yrs old)"
"Atos Syntel","IT Services & Consulting","Troy, Michigan, United States (USA)","Private","1980 (43 yrs old)"
"D Mart","Retail","Mumbai, Maharashtra, India","Private","2000 (23 yrs old)"
"Manappuram Finance","NBFC","Thrissur/Trichur, Kerala, India","Public","1949 (74 yrs old)"
"SBI Cards & Payment Services","FinTech","Gurgaon/Gurugram, Haryana, India","Government","1998 (25 yrs old)"
"Samsung","Consumer Electronics & Appliances","Seoul, South Korea","Public","1938 (85 yrs old)"
"BNY Mellon","IT Services & Consulting","New York City, New York, United States (USA)","Private","2004 (19 yrs old)"
"Cummins","Automobile","Columbus, Indiana, United States (USA)","","1962 (61 yrs old)"
"Fullerton India","Financial Services","Mumbai, India","Private","2007 (16 yrs old)"
"IQVIA","Clinical Research","Durham, United States","Partnership","1982 (41 yrs old)"
"Nagarro","IT Services & Consulting","Munich, Bavaria, Germany","Private","1996 (27 yrs old)"
"Viatris","Pharma","Canonsburg, Pennsylvania, United States (USA)","","1961 (62 yrs old)"
"Aditya Birla Fashion and Retail","Retail","Mumbai, India","Private","2015 (8 yrs old)"
"BigBasket","Internet","Bangalore,Karnataka, India","Private","2011 (12 yrs old)"
"Amdocs","Software Product","Chesterfield,Missouri, United States","Private","1982 (41 yrs old)"
"CBRE","Real Estate","Los Angeles, California, United States (USA)","Private","1906 (117 yrs old)"
"Bosch Global Software Technologies","Software Product","Gerlingen, Germany","Private","1990 (33 yrs old)"
"Indiamart Intermesh","Internet","Noida,Uttar Pradesh, India","Private","1996 (27 yrs old)"
"Godrej & Boyce Manufacturing","FMCG","Mumbai, Maharashtra, India","Private","1897 (126 yrs old)"
"Schneider Electric","Industrial Automation","Paris, France","Private","1999 (24 yrs old)"
"Royal Enfield","Automobile","Gurgaon/Gurugram, Haryana, India","Private","1901 (122 yrs old)"
"UST","IT Services & Consulting","Aliso Viejo, California, United States (USA)","Private","2001 (22 yrs old)"
"Ford Motor","Other","Dearborn, Michigan, United States (USA)","Public","1903 (120 yrs old)"
"Ecom Express","Logistics","Gurgaon,Haryana, India","Private","2012 (11 yrs old)"
"JBM Group","Auto Components","Gurgaon/Gurugram, Haryana, India","Public","1983 (40 yrs old)"
"Equitas Small Finance Bank","Banking","Chennai, Tamil Nadu, India","Private","2007 (16 yrs old)"
"State Bank of India","Banking","Mumbai, Maharashtra, India","","1806 (217 yrs old)"
"Dell","Consumer Electronics & Appliances","Round Rock,Texas, United States","Private","1984 (39 yrs old)"
"ICICI Lombard General Insurance Company","Insurance","Mumbai, Maharashtra, India","Public","2001 (22 yrs old)"
"Whitehat jr","EdTech","Mumbai,Maharashtra, India","Private","2018 (5 yrs old)"
"Nagarjuna Construction Company","Engineering & Construction","Hyderabad/Secunderabad, Telangana, India","Public","1998 (25 yrs old)"
"UnitedHealth","Healthcare","Minnetonka, Minnesota, United States (USA)","Private","1977 (46 yrs old)"
"Bajaj Auto","Automobile","Pune, Maharashtra, India","Public","1945 (78 yrs old)"
"Muthoot Finance","NBFC","Kochi/Cochin, Kerala, India","Public","1939 (84 yrs old)"
"Tata Communications","Telecom","Mumbai, Maharashtra, India","Public","1986 (37 yrs old)"
"Muthoot Fincorp","NBFC","Trivandrum/Thiruvananthapuram, Kerala, India","Private","1887 (136 yrs old)"
"John Deere","IT Services & Consulting","Moline, Illinois, United States (USA)","Private","2001 (22 yrs old)"
"GlobalLogic","IT Services & Consulting","San Jose, California, United States (USA)","Private","2000 (23 yrs old)"
"Dominos Pizza","Hospitality","Ypsilanti, Michigan, United States (USA)","Public","1960 (63 yrs old)"
"Cholamandalam Investment & Finance","NBFC","Chennai, Tamil Nadu, India","Private","1978 (45 yrs old)"
"Wipro Consumer Care & Lighting","FMCG","Bangalore/Bengaluru, Karnataka, India","Private","1945 (78 yrs old)"
"L&T Financial Services","NBFC","Mumbai, Maharashtra, India","Public","1994 (29 yrs old)"
"SBI Life Insurance Company","Insurance","Mumbai, Maharashtra, India","Government","2001 (22 yrs old)"
"Capgemini Technology Services India Limited","","","",""
"Virtusa Consulting Services","IT Services & Consulting","Southborough, Massachusetts, United States (USA)","Private","1996 (27 yrs old)"
"Axis Direct","Financial Services","San Mateo,California, United States","Private","2011 (12 yrs old)"
"KEC International","Real Estate","Mumbai, Maharashtra, India","Public","1945 (78 yrs old)"
"Hetero Drugs","Pharma","Hyderabad/Secunderabad, Telangana, India","Private","1993 (30 yrs old)"
"LG Electronics","Consumer Electronics & Appliances","Seoul, Seoul, South Korea","Public","1958 (65 yrs old)"
"Wipro Infotech","IT Services & Consulting","Bangalore, India","Private","1945 (78 yrs old)"
"Motherson Sumi Systems","Auto Components","Noida, Uttar Pradesh, India","Public","1986 (37 yrs old)"
"Sodexo","Facility Management Services","Issy les Moulineaux, France","Private","2008 (15 yrs old)"
"Swiggy","Internet","Bangalore,Karnataka, India","Private","2014 (9 yrs old)"
"Thermax","Industrial Machinery","Pune, Maharashtra, India","Public","1980 (43 yrs old)"
"Optum","Healthcare","Minnesota, United States (USA)","Private","1977 (46 yrs old)"
"Abbott Healthcare","Pharma","Illinois City, Illinois, United States (USA)","Public","1991 (32 yrs old)"
"Intas Pharmaceuticals","Pharma","Ahmedabad, Gujrat, India","Private","2000 (23 yrs old)"
"Macleods Pharmaceuticals","Pharma","Mumbai, Maharashtra, India","Public","1986 (37 yrs old)"
"Subros","Auto Components","Noida, Uttar Pradesh, India","Public","1985 (38 yrs old)"
"Automatic Data Processing (ADP)","IT Services & Consulting","New Jersey, United States","","1949 (74 yrs old)"
"VE Commercial Vehicles","Automobile","Gurgaon/Gurugram, Haryana, India","Private","2008 (15 yrs old)"
"Varun Beverages","Beverage","Gurgaon/Gurugram, Haryana, India","Public","1995 (28 yrs old)"
"Hindustan Coca Cola Beverages","Beverage","Bangalore, India","Private","1997 (26 yrs old)"
"Piramal Capital Housing Finance","NBFC","Mumbai, India","","2020 (3 yrs old)"
"L&T Technology Services","IT Services & Consulting","Vadodara/Baroda, Gujarat, India","Public","2012 (11 yrs old)"
"Bel","Consumer Electronics & Appliances","Bangalore/Bengaluru, Karnataka, India","Private","1954 (69 yrs old)"
"Randstad","","Chennai, Tamil Nadu, India","Private","1992 (31 yrs old)"
"Pidilite Industries","Chemicals / Agri Inputs","Mumbai, Maharashtra, India","Public","1959 (64 yrs old)"
"CMS IT Services","IT Services & Consulting","Bangalore,Karnataka, India","Private","2014 (9 yrs old)"
"Indian Air Force","Defence & Aerospace","New Delhi, Delhi, India","Private","1932 (91 yrs old)"
"CARS24","Internet","Gurgaon,Haryana, India","Private","2015 (8 yrs old)"
"Cgi Group","IT Services & Consulting","Montreal, Quebec, Canada","Private","1976 (47 yrs old)"
"American Express","Financial Services","New York City,New York, United States","Private","1850 (173 yrs old)"
"Alembic Pharmaceuticals","Pharma","Vadodara/Baroda, Gujrat, India","Public","1907 (116 yrs old)"
"NatWest Group","Banking","","Government",""
"Alkem Laboratories","Pharma","Mumbai, Maharashtra, India","Public","1973 (50 yrs old)"
"Gati kwe","Logistics","Hyderabad/Secunderabad, Telangana, India","Private","2012 (11 yrs old)"
"Havells","Electrical Equipment","Noida, Uttar Pradesh, India","Public","1983 (40 yrs old)"
"Glenmark Pharmaceuticals","Pharma","Mumbai, Maharashtra, India","Public","1977 (46 yrs old)"
"ABB Group","Electrical Equipment","Zurich, Switzerland","Public","2001 (22 yrs old)"
"Deutsche Bank","Banking","Frankfurt, Germany","Private","1870 (153 yrs old)"
"Shoppers Stop","Retail","Mumbai, Maharashtra, India","Public","1991 (32 yrs old)"
"Simplex Infrastructures","Engineering & Construction","Kolkata, West Bengal, India","Public","1924 (99 yrs old)"
"Ipca Laboratories","Pharma","Mumbai, Maharashtra, India","Public","1949 (74 yrs old)"
"Honda Motorcycle & Scooter","Automobile","Gurgaon/Gurugram, Haryana, India","Private","1999 (24 yrs old)"
"Atos","IT Services & Consulting","Vilnius,Vilniaus Apskritis, Lithuania","Private","1997 (26 yrs old)"
"DTDC Express","Logistics","Bangalore/Bengaluru, Karnataka, India","Private","1990 (33 yrs old)"
"DCB Bank","Banking","Mumbai, Maharashtra, India","Private","1930 (93 yrs old)"
"Reliance Nippon Life Insurance","Insurance","Mumbai, Maharashtra, India","Private","2000 (23 yrs old)"
"Arvind Group","Fashion & Textile","Ahmedabad, Gujrat, India","Public","1931 (92 yrs old)"
"Hindalco Industries","Metals & Mining","Mumbai, Maharashtra, India","Public","1958 (65 yrs old)"
"McDonald's","Hospitality","Chicago, Illinois, United States (USA)","Private","1955 (68 yrs old)"
"Suzlon Group","Power","Pune,Maharashtra, India","Public","1995 (28 yrs old)"
"Muthoot Group","NBFC","Wedel,Schleswig-holstein, Germany","Public","1887 (136 yrs old)"
"Conduent","BPO","Florham Park, New Jersey, United States (USA)","Private","2017 (6 yrs old)"
"Wipro Enterprises Ltd","IT Services & Consulting","Bangalore, India","","1945 (78 yrs old)"
"Standard Chartered Bank","Financial Services","London, United Kingdom (UK)","Private","1969 (54 yrs old)"
"Team Lease","Recruitment","Bangalore/Bengaluru, Karnataka, India","Public","2016 (7 yrs old)"
"Standard Chartered Bank","Financial Services","London, United Kingdom (UK)","Private","1969 (54 yrs old)"
"24/7 Customer","Software Product","San Jose,California, United States","Private","2000 (23 yrs old)"
"Maersk","Logistics","Copenhagen, Denmark","Private","1904 (119 yrs old)"
"Vishal Mega Mart","Retail","Gurgaon/Gurugram, Haryana, India","Private","2008 (15 yrs old)"
"KocharTech","IT Services & Consulting","Gurgaon/Gurugram, Haryana, India","Private","1995 (28 yrs old)"
"Ekart Logistics","Logistics","San Francisco,California, United States","Private","2009 (14 yrs old)"
"MRF Tyres","Auto Components","Chennai, Tamil Nadu, India","Public","1946 (77 yrs old)"
"Bajaj Electricals","Consumer Electronics & Appliances","Mumbai, Maharashtra, India","Public","1938 (85 yrs old)"
"Titan Company","Other","Mumbai,Maharashtra, India","Public","2018 (5 yrs old)"
"Lava International","Telecom","Noida,Uttar Pradesh, India","Public","2009 (14 yrs old)"
"Publicis Sapient","IT Services & Consulting","New York, New York, United States (USA)","Private","1990 (33 yrs old)"
"Bank of America","Banking","Charlotte, UnitedStates","Private","1998 (25 yrs old)"
"Ceat Tyres","Auto Components","Mumbai, Maharashtra, India","Public","1958 (65 yrs old)"
"Huawei Technologies","IT Services & Consulting","Gurgaon/Gurugram, Haryana, India","Private","2002 (21 yrs old)"
"Tata AIA Life Insurance","Insurance","Mumbai, Maharashtra, India","Private","2001 (22 yrs old)"
"Jindal Steel and Power","Iron & Steel","Delhi/NCR, New Delhi, India","Private","1952 (71 yrs old)"
"RSPL Group","FMCG","Mumbai, Maharashtra, India","Private","1987 (36 yrs old)"
"Torrent Pharmaceuticals","Pharma","Ahmedabad, Gujrat, India","Public","1971 (52 yrs old)"
"ITC Infotech India","IT Services & Consulting","Bangalore/Bengaluru, Karnataka, India","Private","2000 (23 yrs old)"
"PNB MetLife","Insurance","Mumbai, Maharashtra, India","Private","2001 (22 yrs old)"
"Tractors and Farm Equipment","Automobile","Chennai, Tamil Nadu, India","Public","1960 (63 yrs old)"
"RBL Bank","Banking","Mumbai, Maharashtra, India","Public","1943 (80 yrs old)"
"ACC","Building Material","Mumbai, Maharashtra, India","Public","1936 (87 yrs old)"
"State Street Syntel","Financial Services","Mumbai, India","Private","2004 (19 yrs old)"
"Biocon Biologics India","Biotechnology","Bangalore/Bengaluru, Karnataka, India","Public","1978 (45 yrs old)"
"Capita","BPO/KPO","Indore, Madhya Pradesh, India","Private","2005 (18 yrs old)"
"IndiGo","Logistics","Boston,Massachusetts, United States","Private","2005 (18 yrs old)"
"Utkarsh Small Finance Bank","Banking","Varanasi,Uttar Pradesh, India","Public","2009 (14 yrs old)"
"Berger Paints","Chemicals","Kolkata, West Bengal, India","Public","1923 (100 yrs old)"
"Future Retail","Retail","San Francisco,California, United States","Public","1987 (36 yrs old)"
"Kotak Mahindara Life Insurance","Insurance","Mumbai, Maharashtra, India","Public","2001 (22 yrs old)"
"Aarti Industries","Chemicals","Mumbai, Maharashtra, India","Public","1975 (48 yrs old)"
"HDFC Ergo General Insurance","Insurance","Mumbai, Maharashtra, India","Public","2002 (21 yrs old)"
"Dabur","FMCG","Ghaziabad, Uttar Pradesh, India","Public","1884 (139 yrs old)"
"Cogent E Services","BPO","Noida, Uttar Pradesh, India","Private","2004 (19 yrs old)"
"GeBBS Healthcare Solutions","BPO","Culver City, California, United States (USA)","Private","2005 (18 yrs old)"
"Apollo Tyres","Auto Components","Gurgaon/Gurugram, Haryana, India","Public","1972 (51 yrs old)"
"Persistent Systems","IT Services & Consulting","Pune, Maharashtra, India","Public","1990 (33 yrs old)"
"KPIT Technologies","Software Product","Pune, Maharashtra, India","Public","1990 (33 yrs old)"
"JK Cement","Building Material","Gurgaon/Gurugram, Haryana, India","Public","1974 (49 yrs old)"
"R1 RCM","Accounting & Auditing","Murray, Utah, United States (USA)","Private","2003 (20 yrs old)"
"Patanjali Ayurved","FMCG","Haridwar, Uttarakhand, India","Private","2006 (17 yrs old)"
"Dilip Buildcon","Engineering & Construction","Bhopal, Madhya Pradesh, India","Public","1987 (36 yrs old)"
"Flex","Electronics Manufacturing","San Jose, Singapore","Private","1969 (54 yrs old)"
"PolicyBazaar","FinTech","Gurgaon,Haryana, India","Public","2008 (15 yrs old)"
"Rivigo","Internet","Gurgaon,Haryana, India","Private","2014 (9 yrs old)"
"Reliance Digital","Retail","Mumbai, Maharashtra, India","Private","2007 (16 yrs old)"
"Tata Teleservices","Telecom","Mumbai, Maharashtra, India","Public","1996 (27 yrs old)"
"Ola Cabs","Internet","Bangalore, India","Private","2010 (13 yrs old)"
"Access Healthcare","IT Services & Consulting","Dallas,Texas, United States","Private","2011 (12 yrs old)"
"Tata AIG","Insurance","Mumbai, Maharashtra, India","Private","2000 (23 yrs old)"
"Aakash Educational Services","EdTech","New Delhi, Delhi, India","Private","1988 (35 yrs old)"
"AFCONS Infrastructure","Real Estate","Mumbai, Maharashtra, India","Partnership","1959 (64 yrs old)"
"Eureka Forbes","Consumer Electronics & Appliances","Mumbai, Maharashtra, India","Private","1982 (41 yrs old)"
"Blue Dart Express","Logistics","Mumbai, Maharashtra, India","Public","1983 (40 yrs old)"
"Radisson Hotels","Hospitality","Minnetonka, Minnesota, United States (USA)","Private","1909 (114 yrs old)"
"Landmark Group","Retail","Dubai Marina, Dubai, United Arab Emirates (UAE)","Private","1973 (50 yrs old)"
"Paras Hospital","Healthcare","Gurgaon/Gurugram, Haryana, India","Private","2006 (17 yrs old)"
"JMC Projects","Engineering & Construction","Mumbai, Maharashtra, India","Public","1982 (41 yrs old)"
"Escorts Group","Automobile","Faridabad, Haryana, India","Public","1960 (63 yrs old)"
"Mankind Pharma","Pharma","New Delhi, Delhi, India","Private","1995 (28 yrs old)"
"Legato Health Technologies","Healthcare","Bangalore/Bengaluru, Karnataka, India","LLP","2017 (6 yrs old)"
"Nestle","Food Processing","Vevey, Switzerland","Public","1959 (64 yrs old)"
"Lifestyle","Retail","Bangalore/Bengaluru, Karnataka, India","Private","1999 (24 yrs old)"
"Max Healthcare","Healthcare","Delhi/NCR, New Delhi, India","Partnership","2001 (22 yrs old)"
"Synechron","IT Services & Consulting","New York, New York, United States (USA)","Private","2001 (22 yrs old)"
"Statestreet HCL Services","BPO","New Delhi, India","Private","2012 (11 yrs old)"
"I Process Services","Recruitment","Mumbai, Maharashtra, India","Private","2005 (18 yrs old)"
"Birlasoft","IT Services & Consulting","Pune, Maharashtra, India","Public","1995 (28 yrs old)"
"Fiserv","Financial Services","Brookfield,Wisconsin, United States","Private","1984 (39 yrs old)"
"G4S","Financial Services","Gurgaon/Gurugram, Haryana, India","Private","1996 (27 yrs old)"
"Voltas","Consumer Electronics & Appliances","Mumbai, Maharashtra, India","Public","1954 (69 yrs old)"
"Zensar Technologies","IT Services & Consulting","Pune, Maharashtra, India","Public","2001 (22 yrs old)"
"Birla Sun Life Insurance","Insurance","Mumbai, Maharashtra, India","Private","2000 (23 yrs old)"
"United Phosphorus","Agro Chemicals","Mumbai, Maharashtra, India","Public","1969 (54 yrs old)"
"Pfizer","Pharma","Chennai, Tamil Nadu, India","Public","2004 (19 yrs old)"
"AGS Health","Software Product","Washington DC, United States (USA)","Private","2011 (12 yrs old)"
"Walmart","Retail","Bangalore/Bengaluru, Karnataka, India","Private","2009 (14 yrs old)"
"Lenskart","Other","Faridabad, Haryana, India","Private","2010 (13 yrs old)"
"Life Insurance Corporation of India","Insurance","Mumbai, India","Private","1956 (67 yrs old)"
"HCL Infosystems","IT Services & Consulting","Noida, Uttar Pradesh, India","Public","1976 (47 yrs old)"
"Aditya Birla Group","Metals & Mining","Mumbai, Maharashtra, India","","1857 (166 yrs old)"
"HDFC Sales","Financial Services","Mumbai, Maharashtra, India","Private","2004 (19 yrs old)"
"Reliance SMSL","BPO","Mumbai, India","Public","2007 (16 yrs old)"
"Delhi Public School","Education & Training","Greater Noida, Uttar Pradesh, India","Public","1998 (25 yrs old)"
"Tata Technologies","IT Services & Consulting","Singapore, Singapore","Private","1989 (34 yrs old)"
"ACT Fibernet","Telecom","Bengaluru/Bangalore, Karnataka, India","Private","2000 (23 yrs old)"
"Micro Labs","Pharma","Bangalore/Bengaluru, Karnataka, India","Private","1973 (50 yrs old)"
