,Unnamed: 0,Name,Industry,Sector,Headquarters,Founded,Notes
71,71,Semperit,Basic materials,Commodity chemicals,Vienna,1824,Rubber products
72,72,SKIDATA,Industrials,Electronic equipment,Grödig,1977,Access systems
73,73,Steyr Mannlicher,Industrials,Defense,Sankt Ulrich bei Steyr,1864,Weapons and cars; see Magna Steyr
74,74,Steyr Motors GmbH,Industrials,Auto components,Sankt Ulrich bei Steyr,2001,Diesel engines
75,75,Steyr Tractor,Consumer goods,Automobiles,Floridsdorf,1907,"Tractors, now part of CNH Industrial"
76,76,Strabag,Industrials,Heavy construction,Vienna,1835,Construction
77,77,Stroh,Consumer goods,Distillers & vintners,Klagenfurt,1832,Rum
78,78,Swarovski,Consumer goods,Clothing & accessories,Wattens,1895,Jewelry and optical instruments
79,79,Taurob,Robotics,Autonomous robots,Vienna,2010,Robots for hazardous environments
80,80,Telekom Austria,Telecommunications,Fixed line telecommunications,Vienna,1998,Telecom
81,81,TourRadar,Consumer services,Travel & tourism,Vienna,2010,"Multi-day group tours, tour booking service"
82,82,Tushek&Spigel Supercars,Consumer goods,Automobiles,Graz,2012,Super sport cars
83,83,Uniqa,Financials,Full line insurance,Vienna,1922,Insurance
84,84,Verbund,Utilities,Alternative electricity,Vienna,1947,"Utilities, hydroelectric"
85,85,Vienna Insurance Group,Financials,Full line insurance,Vienna,1824,Insurance
86,86,Voestalpine,Basic materials,Iron & steel,Linz,1938,Steelmaker
87,87,Wienerberger,Industrials,Building materials & fixtures,Vienna,1819,Bricks
88,88,Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,1950,Lighting
89,89,Abelag Aviation,Consumer services,Airlines,Zaventem,1964,Charter airline
90,90,Ablynx,Health care,Biotechnology,Ghent[7],2001,Biopharma
91,91,Ackermans & van Haaren,Conglomerates,-,Antwerp,1876,"Construction, real estate, financial services"
92,92,AF Compressors,Industrials,Industrial Engineering,Liege,1870,Compressors
93,93,AG Real Estate,Financials,Real estate holding and development,Brussels,1824,Real estate
94,94,Ageas,Financials,Consumer finance,Brussels,1990,Financing
95,95,Agfa-Gevaert,Technology,Computer services,Mortsel,1867,Digital imaging and IT solutions
96,96,Agoria,Industrials,Business support services,Brussels,1946,Trade association
97,97,AIM Productions,Technology,Computer services,Hove,1994,IT
98,98,Alpro,Consumer goods,Food products,Ghent[8],1980,Soy products
99,99,Anheuser-Busch InBev,Consumer goods,Brewers,Leuven,2008,"Breweries, distributors; see also InBev brands"
100,100,Antwerp Water Works,Utilities,Water,Antwerp,1880,Water utility
101,101,Aquafin,Utilities,Water,Antwerp,1990,Wastewater
102,102,ASL Airlines Belgium,Industrials,Delivery services,Liège,1999,"Cargo airline, part of ASL Airlines Ireland"
103,103,Associated Weavers,Consumer goods,Clothing and accessories,Ronse,1964,Textile
104,104,Aveve,Consumer goods,Farming and fishing,Aalter,1890,Agriculture
105,105,Aviapartner,Industrials,Delivery services,Brussels,1949,Ground handling
106,106,Barco,Technology,Computer hardware,Kortrijk,1934,Display manufacturer
107,107,Base,Industrials,Business support services,Brussels,1993,Communications and design
108,108,Beaulieu International Group,Consumer goods,Clothing and accessories,Wielsbeke,1959,Textiles
109,109,Befimmo,Financials,Real estate holding and development,Brussels,1995,Real estate
110,110,Bekaert,Basic materials,Specialty chemicals,Kortrijk,1880,Metal transformations and coatings
111,111,Belgian Beer Café,Consumer services,Restaurants and bars,Leuven,1998,Cafe/restaurant
112,112,Belgian Investment Company for Developing Countries,Financials,Specialty finance,Brussels,2001,Financial NGO
113,113,Bpost,Industrials,Delivery services,Brussels,2000,Postal services
114,114,Brussels Airlines,Consumer services,Airlines,Brussels,2006,"Flag carrier airline, part of Lufthansa (Germany)"
115,115,Brussels Regional Investment Company,Financials,Specialty finance,Brussels,1984,Financing
116,116,Cockerill Sambre,Basic materials,Iron and steel,Seraing,1817,Partially Defunct in 1998
117,117,Carmeuse,Basic materials,General mining,Louvain-la-Neuve,1860,Lime and limestone mining
118,118,Cartamundi,Consumer goods,Toys,Turnhout,1970,Games
119,119,Cavalier Chocolate,Consumer goods,Food products,Eeklo,1996,Chocolatier
120,120,Claeys,Industrials,Commercial vehicles and trucks,Zedelgem,1906,"Farm equipment, defunct 1991"
121,121,Cofinimmo,Financials,Real estate services,Brussels,1983,Real estate
122,122,Colruyt Group,Consumer services,Food retailers and wholesalers,Halle,1925,"Retail, supermarkets"
123,123,Compagnie Maritime Belge,Industrials,Marine transportation,Antwerp,1895,Shipping
124,124,Confiserie Roodthooft,Consumer goods,Food products,Antwerp,1925,Confectioner
125,125,Copiepresse,Consumer services,Publishing,Brussels,2000,Newspaper
126,126,De Lijn,Consumer services,Travel and tourism,Mechelen,1991,State-owned public transportation
127,127,Deceuninck,Basic materials,Commodity chemicals,Hooglede,1937,PVC
128,128,Delhaize Group,Consumer goods,Food products,Brussels,1867,Food
129,129,DEME,Industrials,Heavy construction,Zwijndrecht,1991,Infrastructure
130,130,D'Ieteren,Consumer services,Specialized consumer services,Brussels,1805,Automotive services
131,131,DOMO Group,Consumer goods,Clothing and accessories,Ghent,1992,Textiles
132,132,Ecover,Consumer goods,Nondurable household products,Malle,1979,Cleaning products
133,133,Effortel,Financials,Financial services,Brussels,2005,Money movement
134,134,ETAP Lighting,Consumer goods,Building materials and fixtures,Malle,1949,Lighting
135,135,Eurogentec,Health care,Biotechnology,Seraing,1985,Biotech
136,136,EVS Broadcast Equipment,Technology,Telecommunications equipment,Liège,1994,Broadcasting equipment
137,137,Ferranti Computer Systems,Technology,Computer hardware,Antwerp,1976,"Computers, previously a part of Ferranti (UK)"
138,138,Fluxys,Oil and gas,Exploration and production,Brussels,2001,"Natural gas, subsidiary of Suez"
139,139,Forrest Group,Basic materials,General mining,Wavre,1922,Mining
140,140,Gimv,Financials,Equity investment instruments,Brussels,1980[9],Investing
141,141,Godiva Chocolatier,Consumer goods,Food products,Brussels,1926,Chocolatier
142,142,Group Joos,Consumer services,Publishing,Turnhout,1935,"Printing, document management"
143,143,Groupe Bruxelles Lambert,Industrials,Diversified industrials,Brussels,1902,Industrial holdings
144,144,Guylian,Consumer goods,Food products,Sint-Niklaas,1960,Chocolatier
145,145,IMEC,Technology,Computer services,Leuven,1984,Technology research center
146,146,Imperia Automobiles,Consumer goods,Automobiles,Liège,1906,"Automotive, revived in 2009"
147,147,Innogenetics,Health care,Biotechnology,Ghent,1985,"Diagnostics, IVD"
148,148,Jan De Nul,Industrials,Building materials and fixtures,Aalst,1938,"Construction, maritime maintenance"
149,149,Janssen Pharmaceutica,Health care,Pharmaceuticals,Beerse,1953,"Pharma, subsidiary of Johnson & Johnson"
150,150,Jonckheere,Industrials,Commercial vehicles and trucks,Roeselare,1881,Buses
151,151,Katoen Natie,Industrials,Delivery services,Antwerp,1854,Logistics
152,152,KBC Bank,Financials,Banks,Brussels,1985,Bank
153,153,Keytrade Bank,Financials,Investment services,Brussels,1998,Investments
154,154,Kinepolis,Consumer services,Recreational services,Ghent,1997,Movie theaters
155,155,Larian Studios,Technology,Software,Ghent,1996,Game developer
156,156,Libeco-Lagae,Consumer goods,Clothing and accessories,Meulebeke,1997,Textiles
157,157,Louis Delhaize Group,Consumer services,Food retailers and wholesalers,Charleroi,1875,"Retail, supermarkets"
158,158,Luciad NV,Technology,Computer services,Leuven,1999,Geographic Information Systems (GIS)
159,159,Materialise NV,Technology,Computer services,Leuven,1990,3D printing solutions
160,160,Metallo-Chimique,Basic materials,Nonferrous metals,Beerse,1919,Mining
161,161,Mutoh Europe nv,Consumer goods,Consumer electronics,Ostend,1990,Electronics
162,162,Namahn,Industrials,Business support services,Brussels,1987,Design consulting
163,163,National Railway Company of Belgium,Consumer services,Rail transport,Brussels,1926,Passenger rail
164,164,Compagnie Nationale à Portefeuille (CNP),Industrials,Diversified industrials,Gerpinnes,1981,Industrial holding
165,165,Nyrstar,Basic materials,General mining,Balen,2007,Mining
166,166,Option N.V.,Technology,Computer hardware,Leuven,1986,Wireless technology
167,167,Proost,Consumer services,Publishing,Turnhout,1913,Book publishing
168,168,Proximus,Telecommunications,Mobile telecommunications,Brussels,1994,"Mobile network, part of Proximus Group"
169,169,Proximus Group,Telecommunications,Fixed line telecommunications,Brussels,1930,State-owned telecommunications
170,170,Regional Investment Company of Wallonia,Financials,Investment services,Liège,1979,Investments
171,171,Reynaers Aluminium,Basic materials,Aluminum,Duffel,1965,Aluminium
172,172,RHJ International,Financials,Asset managers,Brussels,1786,Financial services group
173,173,Ridley Bikes,Consumer goods,Recreational products,Paal,1997,Bicycles
174,174,Saluc,Consumer goods,Recreational products,Péruwelz,1923,Ball manufacturing
175,175,Septentrio,Consumer goods,Consumer electronics,Leuven,2000,Electronics
176,176,Seyntex,Consumer goods,Clothing and accessories,Oostrozebeke,1908,Textiles
177,177,Skytech,Industrials,Aerospace,Brussels,1989,Helicopters
178,178,Sofina,Financials,Equity investment instruments,Brussels,1898,Investing
179,179,Solvay S.A.,Basic materials,Specialty chemicals,Brussels,1863,Industrial chemicals
180,180,Soudal,Basic materials,Specialty chemicals,Turnhout,1966,Silicone
181,181,Sugar refinery of Tienen,Consumer goods,Food products,Tienen,1836,Sugar
182,182,Telenet,Telecommunications,Fixed line telecommunications,Mechelen,1996,Broadband cable
183,183,Teleroute,Industrials,Delivery services,Brussels,1985,Freight
184,184,Thermote & Vanhalst,Industrials,Commercial vehicles and trucks,Waregem,1969,"Spare parts, accessories"
185,185,Thomas Cook Airlines Belgium,Consumer services,Airlines,Zaventem,2001,Charter airline
186,186,Tibotec,Health care,Pharmaceuticals,Mechelen,1994,"Pharma, subsidiary of Johnson & Johnson (US)"
187,187,TiGenix,Health care,Biotechnology,Leuven,2000,Biomedical
188,188,Tractebel,Industrials,Business support services,Brussels,1986,Engineering
189,189,Truvo,Industrials,Business support services,Antwerp,1968,"Local search, directories"
190,190,TUIfly Belgium,Consumer services,Airlines,Zaventem,2003,Airline
191,191,UCB,Health care,Pharmaceuticals,Brussels,1928,Pharma
192,192,UMedia,Consumer services,Broadcasting and entertainment,Brussels,2010,Film studio
193,193,Umicore,Basic materials,General mining,Brussels,1989,Materials and mining
194,194,Unibind,Industrials,Containers and packaging,Brussels,1939,Bookbinding
195,195,Union Minière du Haut Katanga,Basic materials,General mining,Brussels,1906,"Mining, defunct 1966"
196,196,Van Genechten Packaging,Industrials,Containers and packaging,Turnhout,1833,"Printing, packaging"
197,197,Van Hool,Industrials,Commercial vehicles and trucks,Koningshooikt,1947,Buses
198,198,Vanbreda International,Financials,Life insurance,Antwerp,1937,Health insurance
199,199,Vanparys,Consumer goods,Food products,Brussels,1889,Confectioner
200,200,Velleman,Industrials,Electronic equipment,Gavere,1975,Electronics
201,201,Vinçotte,Industrials,Business support services,Brussels,1873,Inspections
202,202,VLM Airlines,Consumer services,Airlines,Antwerp,1992,Airline
203,203,Volvo Car Gent,Consumer goods,Automobiles,Ghent,1965,Local subsidiary of Volvo (Sweden)
204,204,Walloon SME finance and guarantee company,Financials,Specialty finance,Liège,2002,Financing
205,205,Zetes,Technology,Technology hardware,Brussels,1984,Identification technology
206,206,Air VIA,Consumer services,Airlines,Sofia,1990,Charter airline
207,207,Ariana Brewery,Consumer goods,Brewers,Sofia,1884,"Brewery, defunct 2004"
208,208,Armimex,Industrials,Defense,Sofia,1992,"Arms and weaponry export, defunct 2003"
209,209,Arsenal AD,Industrials,Defense,Kazanlak,1878,Military equipment manufacture
210,210,Asarel Medet,Basic materials,Nonferrous metals,Panagyurishte,1964,Copper extraction and processing
211,211,Astika Brewery,Consumer goods,Brewers,Pazardzhik,1980,Brewery
212,212,Aukro.bg,Consumer services,Broadline retailers,Sofia,2007,"Online shopping, defunct 2013"
213,213,Balkanstroy,Industrials,Construction & materials,Sofia,1994,Engineering and construction
214,214,Balkantourist,Consumer services,Travel & tourism,Sofia,1948,Travel services
215,215,Balkanton,Consumer services,Record label,Sofia,1952,Record label
216,216,BH Air,Consumer services,Airlines,Sofia,2001,Passenger air transport
217,217,Black Sea Studios,Technology,Software,Sofia,2001,"Video and computer games development, defunct 2016"
218,218,Blizoo,Telecommunications,Fixed line telecommunications,Sofia,2010,Cable operator
219,219,Bulgaria Air,Consumer services,Airlines,Sofia,2002,Passenger and freight air transport
220,220,Bulgarian Agricultural and Commercial Bank,Financials,Banks,Sofia,1969,"Former state bank, rejoined central bank in 1971"
221,221,Bulgarian Air Charter,Consumer services,Airlines,Sofia,2000,Charter airline
222,222,Bulgarian Development Bank,Financials,Banks,Sofia,1999,Commercial bank
223,223,Bulgarian Energy Holding,Oil & gas,Exploration & production,Sofia,2008,"Energy, gas and nuclear power"
224,224,Bulgarian National Bank,Financials,Banks,Sofia,1879,Central bank
225,225,Bulgarian Postbank,Financials,Banks,Sofia,1991,Universal bank
226,226,Bulgarian Posts,Industrials,Delivery services,Sofia,1879,Postal and courier services
227,227,Bulgarian State Railways,Industrials,Railroads,Sofia,1885,Passenger and freight rail transport
228,228,Bulgartabac,Consumer goods,Tobacco,Sofia,1947,Tobacco holding firm
229,229,Cargoair,Industrials,Delivery services,Sofia,2007,Cargo airline
230,230,Central Cooperative Bank,Financials,Banks,Sofia,1991,Universal commercial bank
231,231,Chimimport,Conglomerates,-,Sofia,1947,"Chemicals, oil & gas, financials"
232,232,Corecom,Consumer services,Specialty retailers,Sofia,1960,Hard-currency retail
233,233,Cumerio Med,Basic materials,Nonferrous metals,Pirdop,1932,Copper smelting
234,234,Diema,Consumer services,Broadcasting & entertainment,Sofia,1999,Television
235,235,DSK Bank,Financials,Banks,Sofia,1951,"Bank, part of OTP Bank (Hungary)"
236,236,DZI,Financials,Full line insurance,Sofia,1946,Insurance
237,237,Economedia,Consumer services,Publishing,Sofia[1],1993[1],Media and publishing
238,238,Egmont Bulgaria,Consumer services,Publishing,Sofia,1991,"Publisher, part of Egmont Group (Denmark)"
239,239,Era,Consumer services,Publishing,Sofia,1996,Publisher
240,240,Eurofootball,Consumer services,Gambling,Sofia,1990,Sports betting and bookmaking
241,241,Fantastico,Consumer services,Food retailers & wholesalers,Sofia,1991,Supermarket
242,242,First Investment Bank,Financials,Banks,Sofia,1993,Banking
243,243,Girdap,Financials,Banks,Ruse,1881,"Private bank, defunct 1925"
244,244,Haemimont Games,Technology,Software,Sofia,1997,Video and computer games development
245,245,Heli Air Services,Consumer services,Airlines,Sofia,1990,Charter airline
246,246,Hotel Rodina,Consumer services,Hotels,Sofia,1979,Hotel
247,247,HVB Bank Biochim,Financials,Banks,Sofia,1986,"Bank, defunct 2007"
248,248,Kamenitza,Consumer goods,Brewers,Plovdiv,1881,Brewery
249,249,Karlsberg Bulgaria AD,Consumer goods,Brewers,Shumen,2002,Brewery
250,250,Kino Nova,Consumer services,Broadcasting & entertainment,Sofia,2011,movie channel
251,251,Kintex,Industrials,Defense,Sofia,1966,Arms and weaponry export
252,252,Kremikovtzi AD,Basic materials,Iron & steel,Sofia,1963,Metal and steelworks
253,253,"M3 Communications Group, Inc",Consumer services,Broadcasting & entertainment,Sofia,1994,Media consulting
254,254,Maxeurope,Consumer goods,Recreational products,Plovdiv,1996,Bicycles
255,255,Mtel (Mobiltel),Telecommunications,Mobile telecommunications,Sofia,1994,"Mobile phones, part of Telekom Austria"
256,256,Multigroup,Conglomerates,-,Sofia,1989[2],
257,257,Navibulgar,Industrials,Marine transportation,Varna,1892,Shipping company
258,258,LUKOIL Neftochim Burgas,Oil & gas,Exploration & production,Burgas,1961[3],"Refining, petrochemicals, part of Lukoil (Russia)"
259,259,NEK EAD,Utilities,Conventional electricity,Sofia,1991,Energy distribution
260,260,Neterra,Telecommunications,Fixed line telecommunications,Sofia,1996,IPTV and satellite broadcasting
261,261,Nimero,Technology,Software,Sofia,2009,Information technology
262,262,Ontotext,Technology,Software,Sofia,2000,Software development
263,263,Overgas,Oil & gas,Pipelines,Sofia,1991,Gas distribution
264,264,Petrol AD,Oil & gas,Pipelines,Sofia,1932,Oil distribution
265,265,Pirinsko Pivo,Consumer goods,Brewers,Blagoevgrad,1969,Brewery
266,266,Prista Oil,Basic materials,Specialty chemicals,Ruse,1993,Motor oils and industrial lubricants
267,267,Prosveta Publishing House,Consumer services,Publishing,Sofia,1945,Publishing
268,268,Raiffeisen Bulgaria,Financials,Banks,Sofia,1994,Universal bank
269,269,Sucreries Raffineries Bulgares,Consumer goods,Food products,Sofia,1897,"Sugar refinery, defunct 1916"
270,270,Technomarket,Consumer services,Consumer electronics,Sofia[4],1992,"Retail, consumer electronics"
271,271,Telenor Bulgaria,Telecommunications,Mobile telecommunications,Sofia,2001,"Mobile network, part of Telenor (Norway)"
272,272,TEREM,Industrials,Defense,Sofia,1963[5],Arms and weaponry manufacture
273,273,Texim Bank,Financials,Banks,Sofia,1992,Private bank
274,274,UniCredit Bulbank,Financials,Banks,Sofia,1964,Bank
275,275,Unionbank,Financials,Banks,Sofia,1991,Retail and commercial bank
276,276,United Bulgarian Bank,Financials,Banks,Sofia,1992,Commercial bank
277,277,Varna shipyard,Industrials,Shipbuilding,Varna,1907,Shipyard
278,278,Vitta Foods,Consumer goods,Food products,Svilengrad,2006,Frozen food and pastries
279,279,Vivacom,Telecommunications,Fixed line telecommunications,Sofia,1992,Telecom
280,280,VRZ Karlovo,Industrials,Commercial vehicles & trucks,Karlovo,1964,Railway cars and equipment
281,281,3. Maj,Industrials,Commercial vehicles & trucks,Rijeka,1892,Shipyard
282,282,3LHD,Industrials,Business support services,Zagreb,1994,Architecture
283,283,A1 Hrvatska,Telecommunications,Mobile telecommunications,Zagreb,1999,Mobile operator and ISP
284,284,LNG Hrvatska,Oil & gas,Exploration & production,Omišalj,2013,Natural gas
285,285,Adriatic Croatia International Club,Consumer services,Travel & tourism,Opatija,1983,Tourism
286,286,Adris Grupa,Consumer goods,Tobacco,Rovinj,2003,Tobacco
287,287,Agrokor,Consumer goods,Food products,Zagreb,1976,Merged into Fortenova Group in 2019
288,288,Aquarius Records,Consumer services,Broadcasting & entertainment,Zagreb,1995,Record label
289,289,Atlantic Grupa,Consumer goods,Food products,Zagreb,1991,Food products
290,290,Atlantska plovidba,Industrials,Marine transportation,Dubrovnik,1955,Shipping company
291,291,Badel 1862,Consumer goods,Distillers & vintners,Zagreb,1862,Alcoholic beverages
292,292,BioGnost,Health care,Pharmaceuticals,Zagreb,1990,Pharmaceuticals and biomedicine
293,293,Blue Line International,Industrials,Marine transportation,Split,2003,Ferry operator
294,294,Bonbon,Telecommunications,Mobile telecommunications,Zagreb,2010,Mobile phones
295,295,Brodosplit,Industrials,Commercial vehicles & trucks,Split,1922,Shipyard
296,296,Čakovečki mlinovi,Consumer goods,Food products,Čakovec,1893,Milling
297,297,Carlsberg Croatia,Consumer goods,Brewers,Koprivnica,2004,Brewery
298,298,Cedevita,Consumer goods,Soft drinks,Zagreb,1929,Beverage
299,299,Croatia Airlines,Consumer services,Airlines,Zagreb,1989,National airline
300,300,Croatia Film,Consumer services,Broadcasting & entertainment,Zagreb,1946,Film
301,301,Croatia osiguranje,Financials,Full line insurance,Zagreb,1884,Insurance
302,302,Croatia Records,Consumer services,Broadcasting & entertainment,Zagreb,1947,Record label
303,303,Croatian National Bank,Financials,Banks,Zagreb,1990,National bank
304,304,Croatian Radiotelevision,Consumer services,Broadcasting & entertainment,Zagreb,1926,Broadcaster
305,305,Croatian Railways,Industrials,Railroads,Zagreb,1991,National railway
306,306,Croteam,Technology,Software,Zagreb,1993,Software
307,307,Crotram,Industrials,Commercial vehicles & trucks,Zagreb,1994,Low-floor trams
308,308,Dalekovod,Industrials,Electrical components & equipment,Zagreb,1949,Electrical engineering
309,309,Dallas Records,Consumer services,Broadcasting & entertainment,Zagreb,1994,Record label
310,310,Digitron,Industrials,Electronic equipment,Buje,1971,Business electronics
311,311,DOK-ING,Industrials,Diversified industrials,Zagreb,1992,"Robots, vehicles"
312,312,Ðuro Ðaković,Industrials,Diversified industrials,Slavonski Brod,1991,"Factories; battletanks, locomotives, trams, power plant and farm equipment"
313,313,Ericsson Nikola Tesla,Telecommunications,Mobile telecommunications,Zagreb,1949,Croatian subsidiary of Ericsson (Sweden)
314,314,European Coastal Airlines,Consumer services,Airlines,Split,2000,"Air taxi operator, defunct 2016"
315,315,Fortenova Group,Consumer goods,Food products,Zagreb,2019,Food products
316,316,Franck,Consumer goods,Soft drinks,Zagreb,1892,Coffee products and snacks
317,317,Geofoto,Technology,Software,Zagreb,1993,Photogrammetry and geographic information systems
318,318,Hanza Media,Consumer services,Publishing,Zagreb,1990,Publishing house
319,319,Hit Records,Consumer services,Broadcasting & entertainment,Zagreb,2003,Record label
320,320,Hönigsberg & Deutsch,Industrials,Business support services,Zagreb,1889,"Architecture, defunct 1911"
321,321,Hrvatska elektroprivreda,Utilities,Conventional electricity,Zagreb,1895,National electricity production and distribution
322,322,Hrvatska pošta,Industrials,Delivery services,Zagreb,1999,National postal company
323,323,Hrvatska poštanska banka,Financials,Banks,Zagreb,1991,Bank
324,324,Hrvatske autoceste,Industrials,Transportation services,Zagreb,2001,Motorway maintenance
325,325,Hrvatski Telekom,Telecommunications,Fixed line telecommunications,Zagreb,1998,Part of Deutsche Telekom (Germany)
326,326,HS Produkt,Industrials,Defense,Ozalj,1991,Firearms manufacturer
327,327,IN2,Technology,Software,Zagreb,1992,Software
328,328,INA,Oil & gas,Exploration & production,Zagreb,1964,Oil & gas
329,329,Infobip,Technology,Software,Vodnjan,2006,Software
330,330,INGRA,Industrials,Heavy construction,Zagreb,1955,Construction
331,331,Institut IGH,Industrials,Heavy construction,Zagreb,1949,Construction
332,332,Iskon Internet,Technology,Internet,Zagreb,1997,Internet service provider
333,333,Jadran Film,Consumer services,Broadcasting & entertainment,Zagreb,1946,Film production studio
334,334,Jadranski naftovod,Oil & gas,Pipelines,Zagreb,1974[1],"Adriatic pipeline, crude oil transportation"
