name,market_capitalization_USD,stock,country,sector,industry
Suncor Energy Inc.,48270000000,SU,Canada,Energy,Oil & Gas Integrated
"VMware, Inc.",48170000000,VMW,United States,Technology,Software—Infrastructure
Johnson Controls International plc,48150000000,JCI,Ireland,Industrials,Engineering & Construction
"O'Reilly Automotive, Inc.",48140000000,ORLY,United States,Consumer Discretionary,Specialty Retail
Grupo Mexico SAB de CV,48000000000,GMEXICOB,Mexico,Basic Materials,Other Industrial Metals & Mining
"CrowdStrike Holdings, Inc.",47890000000,CRWD,United States,Technology,Software—Infrastructure
Naspers Ltd,47730000000,NPN,South Africa,Communication Services,Internet Content & Information
"Autodesk, Inc.",47690000000,ADSK,United States,Technology,Software—Application
"Prudential Financial, Inc.",47170000000,PRU,United States,Financials,Insurance—Life
Open Joint Stock Company OMZ,47150000000,OMZZP,Russia,Industrials,Specialty Industrial Machinery
Cognizant Technology Solutions Corporation,47070000000,CTSH,United States,Technology,Information Technology Services
Nucor Corporation,46860000000,NUE,United States,Basic Materials,Steel
"DexCom, Inc.",46860000000,DXCM,United States,Healthcare,Diagnostics & Research
Banco Bradesco SA,46710000000,BBDC3,Brazil,Financials,Banks
Nidec Corp,46330000000,6594,Japan,Industrials,Specialty Industrial Machinery
adidas AG,46130000000,ADS1,Germany,Consumer Discretionary,Footwear & Accessories
Sika AG,46010000000,SIKA,Switzerland,Basic Materials,Specialty Chemicals
"Baidu, Inc.",45980000000,9888,China,Communication Services,Internet Content & Information
Takeda Pharmaceutical Company Limited,45890000000,4502,Japan,Healthcare,Drug Manufacturers—Specialty & Generic
The Hershey Company,45830000000,HSY,United States,Consumer Staples,Confectioners
Amphenol Corporation,45770000000,APH,United States,Technology,Electronic Components
Vanjia Corp,45740000000,VNJA,United States,Consumer Discretionary,Residential Construction
Vodafone Group plc,45740000000,VOD,United Kingdom,Communication Services,Telecom Services
"IDEXX Laboratories, Inc.",45640000000,IDXX,United States,Healthcare,Diagnostics & Research
"The Travelers Companies, Inc.",45560000000,TRV,United States,Financials,Insurance—Property & Casualty
Infineon Technologies AG,45350000000,IFXA,Germany,Technology,Semiconductors
"Constellation Brands, Inc.",45210000000,STZ,United States,Consumer Staples,Beverages—Wineries & Distilleries
"Datadog, Inc.",45130000000,DDOG,United States,Technology,Software—Application
Mitsui & Co. Ltd,45090000000,8031,Japan,Energy,Oil & Gas E&P
Saudi Arabian Mining Company,45000000000,1211,Saudi Arabia,Basic Materials,Other Industrial Metals & Mining
PJSC Lukoil,44960000000,LKOH,Russia,Energy,Oil & Gas Integrated
Intesa Sanpaolo S.p.A.,44950000000,ISP,Italy,Financials,Banks
TE Connectivity Ltd.,44780000000,TEL,Switzerland,Technology,Electronic Components
"AutoZone, Inc.",44390000000,AZO,United States,Consumer Discretionary,Specialty Retail
IQVIA Holdings Inc.,44320000000,IQV,United States,Healthcare,Diagnostics & Research
Cintas Corporation,44320000000,CTAS,United States,Industrials,Specialty Business Services
"Cadence Design Systems, Inc.",44230000000,CDNS,United States,Technology,Software—Application
"Chipotle Mexican Grill, Inc.",44110000000,CMG,United States,Consumer Discretionary,Restaurants
"Sumitomo Mitsui Financial Group, Inc.",44060000000,8316,Japan,Financials,Banks
"Samsung Biologics Co.,Ltd.",44010000000,207940,South Korea,Healthcare,Biotechnology
Wipro Limited,43980000000,WIPRO,India,Technology,Information Technology Services
Zijin Mining Group Co Ltd,43930000000,601899,China,Basic Materials,Gold
HP Inc.,43900000000,HPQ,United States,Technology,Computer Hardware
Lloyds Banking Group plc,43700000000,LLOY,United Kingdom,Financials,Banks
"Simon Property Group, Inc.",43690000000,SPG,United States,Real Estate,REIT—Retail
Aflac Incorporated,43590000000,AFL,United States,Financials,Insurance—Life
Barrick Gold Corporation,43500000000,ABX,Canada,Basic Materials,Gold
Murata Manufacturing Co. Ltd,43410000000,6981,Japan,Technology,Electronic Components
"Kinder Morgan, Inc.",43380000000,KMI,United States,Energy,Oil & Gas Midstream
Kimberly-Clark Corporation,43210000000,KMB,United States,Consumer Staples,Household & Personal Products
Xiaomi Corp,43100000000,1810,China,Technology,Consumer Electronics
Wesfarmers Limited,43090000000,WES,Australia,Consumer Discretionary,Home Improvement Retail
"Republic Services, Inc.",42910000000,RSG,United States,Industrials,Waste Management
HOYA Corp,42880000000,7741,Japan,Healthcare,Medical Instruments & Supplies
Yihai Kerry Arawana Holdings Co. Ltd,42840000000,300999,China,Consumer Staples,Packaged Foods
Monster Beverage Corporation,42810000000,MNST,United States,Consumer Staples,Beverages—Non-Alcoholic
LONGi Green Energy Technology Co. Ltd,42680000000,601012,China,Technology,Semiconductor Equipment & Materials
"Corteva, Inc.",42660000000,CTVA,United States,Basic Materials,Agricultural Inputs
"General Mills, Inc.",42650000000,GIS,United States,Consumer Staples,Packaged Foods
Seven & i Holdings Co. Ltd,42530000000,3382,Japan,Consumer Staples,Grocery Stores
DSV PANALPINA A-S,42490000000,DSV,Denmark,Industrials,Integrated Freight & Logistics
Hilton Worldwide Holdings Inc.,42390000000,HLT,United States,Consumer Discretionary,Lodging
WuXi AppTec Co. Ltd,42250000000,603259,China,Healthcare,Diagnostics & Research
Sysco Corporation,42220000000,SYY,United States,Consumer Staples,Food Distribution
The Kroger Co.,42030000000,KR,United States,Consumer Staples,Grocery Stores
Manulife Financial Corporation,41980000000,MFC,Canada,Financials,Insurance—Life
BioNTech SE,41930000000,22UA,Germany,Healthcare,Biotechnology
STMicroelectronics N.V.,41910000000,STM,Switzerland,Technology,Semiconductors
Devon Energy Corporation,41820000000,DVN,United States,Energy,Oil & Gas E&P
"The Williams Companies, Inc.",41600000000,WMB,United States,Energy,Oil & Gas Midstream
The Allstate Corporation,41540000000,ALL,United States,Financials,Insurance—Property & Casualty
Hang Seng Bank Limited,41470000000,0011,Hong Kong,Financials,Banks
Valero Energy Corporation,41270000000,VLO,United States,Energy,Oil & Gas Refining & Marketing
ING Groep N.V.,41250000000,INGA,Netherlands,Financials,Banks
MMC Norilsk Nickel PJSC,41160000000,GMKN,Russia,Basic Materials,Other Industrial Metals & Mining
"Motorola Solutions, Inc.",40870000000,MSI,United States,Technology,Communication Equipment
"East Money Information Co.,Ltd.",40830000000,300059,China,Communication Services,Internet Content & Information
The Bank of New York Mellon Corporation,40830000000,BK,United States,Financials,Asset Management
Carrier Global Corporation,40790000000,CARR,United States,Industrials,Building Products & Equipment
Oversea-Chinese Banking Corp Ltd,40770000000,O39,Singapore,Financials,Banks
"Digital Realty Trust, Inc.",40640000000,DLR,United States,Real Estate,REIT—Office
"Walgreens Boots Alliance, Inc.",40550000000,WBA,United States,Healthcare,Pharmaceutical Retailers
"Agilent Technologies, Inc.",40490000000,A,United States,Healthcare,Diagnostics & Research
Global Payments Inc.,40350000000,GPN,United States,Industrials,Specialty Business Services
CITIC Securities Company Ltd,40170000000,600030,China,Financials,Capital Markets
Baxter International Inc.,40130000000,BAX,United States,Healthcare,Medical Instruments & Supplies
BOC Hong Kong Holdings Ltd,39990000000,2388,Hong Kong,Financials,Banks
MSCI Inc.,39970000000,MSCI,United States,Financials,Financial Data & Stock Exchanges
Welltower Inc.,39960000000,WELL,United States,Real Estate,REIT—Healthcare Facilities
Xcel Energy Inc.,39760000000,XEL,United States,Utilities,Utilities—Regulated Electric
United Overseas Bank Ltd,39730000000,U11,Singapore,Financials,Banks
Wanhua Chemical Group Co. Ltd,39730000000,600309,China,Basic Materials,Chemicals
"DuPont de Nemours, Inc.",39720000000,DD,United States,Basic Materials,Chemicals
EQT AB,39710000000,6EQ,Japan,Financials,Asset Management
Alimentation Couche-Tard Inc.,39560000000,ATD.B,Canada,Consumer Staples,Grocery Stores
eBay Inc.,39340000000,EBAY,United States,Consumer Discretionary,Internet Retail
Givaudan SA,39290000000,GIVN,Switzerland,Basic Materials,Specialty Chemicals
Novozymes A-S,39030000000,NZYM.B,Denmark,Basic Materials,Chemicals
Prudential plc,39000000000,PRU,United Kingdom,Financials,Insurance—Life
Alcon Inc.,38900000000,ALC,Switzerland,Healthcare,Medical Instruments & Supplies
Ecopetrol SA,38690000000,EC,Colombia,Energy,Oil & Gas Integrated
Baker Hughes Company,38390000000,BKR,United States,Energy,Oil & Gas Equipment & Services
"Banco Bilbao Vizcaya Argentaria, SA",38250000000,BBVA,Spain,Financials,Banks
Dell Technologies Inc.,38160000000,DELL,United States,Technology,Computer Hardware
Kuaishou Technology,38150000000,1024,China,Communication Services,Broadcasting
AB Volvo,38130000000,VOL4,Sweden,Industrials,Farm & Heavy Construction Machinery
Crédit Agricole SA,38010000000,ACA,France,Financials,Banks
"Dollar Tree, Inc.",38000000000,DLTR,United States,Consumer Staples,Discount Stores
SBA Communications Corporation,37930000000,SBAC,United States,Real Estate,REIT—Specialty
Capgemini SE,37820000000,CAP,France,Technology,Information Technology Services
Daiichi Sankyo Company Ltd,37790000000,4568,Japan,Healthcare,Drug Manufacturers—General
Compass Group plc,37730000000,CPG,United Kingdom,Consumer Discretionary,Restaurants
Sartorius Stedim Biotech SA,37550000000,DIM,France,Healthcare,Medical Instruments & Supplies
PT Bank Rakyat Indonesia (Persero) Tbk,37510000000,BYRA,Indonesia,Financials,Banks
Phillips 66,37510000000,PSX,United States,Energy,Oil & Gas Refining & Marketing
Electronic Arts Inc.,37380000000,EA,United States,Communication Services,Electronic Gaming & Multimedia
Trane Technologies plc,37360000000,TT,Ireland,Industrials,Specialty Industrial Machinery
SMC Corp,37080000000,6273,Japan,Industrials,Specialty Industrial Machinery
Parker-Hannifin Corporation,37050000000,PH,United States,Industrials,Specialty Industrial Machinery
"Tokio Marine Holdings, Inc.",36990000000,8766,Japan,Financials,Insurance—Property & Casualty
Jiangsu Hengrui Medicine Co. Ltd,36900000000,600276,China,Healthcare,Drug Manufacturers—General
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",36900000000,601816,China,Industrials,Railroads
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,36890000000,MUV2,Germany,Financials,Insurance—Reinsurance
"DoorDash, Inc.",36740000000,DASH,United States,Communication Services,Internet Content & Information
Shanghai Pudong Development Bank Co. Ltd,36720000000,600000,China,Financials,Banks
Constellation Software Inc.,36670000000,CSU,Canada,Technology,Software—Application
Inner Mongolia Yili Industrial Group Co. Ltd,36610000000,600887,China,Consumer Staples,Packaged Foods
TELUS Corporation,36370000000,T,Canada,Communication Services,Telecom Services
Public Service Enterprise Group Incorporated,36280000000,PEG,United States,Utilities,Utilities—Diversified
TransDigm Group Incorporated,36140000000,TDG,United States,Industrials,Aerospace & Defense
"Waste Connections, Inc.",36140000000,WCN,United States,Industrials,Waste Management
LyondellBasell Industries N.V.,35960000000,LYB,United States,Basic Materials,Specialty Chemicals
Danone SA,35930000000,BN,France,Consumer Staples,Packaged Foods
"Cloudflare, Inc.",35920000000,NET,United States,Technology,Software—Infrastructure
NIO Limited,35860000000,NIO,China,Consumer Discretionary,Auto Manufacturers
"Coinbase Global, Inc.",35860000000,COIN,United States,Technology,Software—Application
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",35840000000,600809,China,Consumer Staples,Beverages—Wineries & Distilleries
Neste Oyj,35570000000,NESTE,Finland,Energy,Oil & Gas Refining & Marketing
ResMed Inc.,35440000000,RMD,United States,Healthcare,Medical Instruments & Supplies
Experian plc,35400000000,EXPN,Ireland,Industrials,Consulting Services
"Intuitive Surgical, Inc.",35370000000,ISRG,United States,Healthcare,Medical Instruments & Supplies
Woolworths Group Limited,35330000000,WOW,Australia,Consumer Staples,Grocery Stores
MPLX LP,35270000000,MPLX,United States,Energy,Oil & Gas Midstream
Telstra Corporation Limited,35240000000,TLS,Australia,Communication Services,Telecom Services
Hexagon AB,35210000000,HXG,Sweden,Technology,Scientific & Technical Instruments
Assicurazioni Generali,35200000000,G,Italy,Financials,Insurance—Diversified
"AvalonBay Communities, Inc.",35190000000,AVB,United States,Real Estate,REIT—Residential
Imperial Oil Limited,35130000000,IMO,Canada,Energy,Oil & Gas Integrated
"Yum! Brands, Inc.",35120000000,YUM,United States,Consumer Discretionary,Restaurants
Sun Hung Kai Properties Ltd,35040000000,0016,Hong Kong,Real Estate,Real Estate—Development
"Old Dominion Freight Line, Inc.",34940000000,ODFL,United States,Industrials,Trucking
"Cheniere Energy, Inc.",34920000000,LNG,United States,Energy,Oil & Gas Midstream
"Consolidated Edison, Inc.",34890000000,ED,United States,Utilities,Utilities—Regulated Electric
China CITIC Bank Corp Ltd,34840000000,601998,China,Financials,Banks
Budweiser Brewing Company APAC Ltd,34730000000,1876,Hong Kong,Consumer Staples,Beverages—Brewers
ArcelorMittal,34660000000,MT,Luxembourg,Basic Materials,Steel
"Ameriprise Financial, Inc.",34640000000,AMP,United States,Financials,Asset Management
Fastenal Company,34580000000,FAST,United States,Industrials,Industrial Distribution
"Align Technology, Inc.",34490000000,ALGN,United States,Healthcare,Medical Devices
VERBUND AG,34440000000,OEW,Austria,Utilities,Utilities—Renewable
Sydney Airport Limited,34400000000,SYD,Australia,Industrials,Airports & Air Services
"Verisk Analytics, Inc.",34390000000,VRSK,United States,Industrials,Consulting Services
Z Holdings Corp,34240000000,4689,Japan,Consumer Discretionary,Internet Retail
Arthur J. Gallagher & Co.,34220000000,AJG,United States,Financials,Insurance Brokers
Chongqing Zhifei Biological Products Co. Ltd,34130000000,300122,China,Healthcare,Biotechnology
Equity Residential,34110000000,EQR,United States,Real Estate,REIT—Residential
"Chunghwa Telecom Co., Ltd.",34060000000,2412,Taiwan,Communication Services,Telecom Services
"T. Rowe Price Group, Inc.",34010000000,TROW,United States,Financials,Asset Management
Halliburton Company,33950000000,HAL,United States,Energy,Oil & Gas Equipment & Services
"Tyson Foods, Inc.",33730000000,TSN,United States,Consumer Staples,Farm Products
Discover Financial Services,33730000000,DFS,United States,Financials,Credit Services
Kuehne + Nagel International AG,33690000000,KNIN,Switzerland,Industrials,Integrated Freight & Logistics
FANUC Corp,33680000000,6954,Japan,Industrials,Specialty Industrial Machinery
MTR Corp Ltd,33660000000,0066,Hong Kong,Industrials,Railroads
Poly Developments and Holdings Group Co. Ltd,33640000000,600048,China,Real Estate,Real Estate—Development
KKR & Co. Inc.,33490000000,KKR,United States,Financials,Asset Management
"Mizuho Financial Group, Inc.",33470000000,8411,Japan,Financials,Banks
PTT PCL,33460000000,PTT,Thailand,Energy,Oil & Gas Integrated
Koninklijke Ahold Delhaize N.V.,33430000000,AD,Netherlands,Consumer Staples,Grocery Stores
China Vanke Co. Ltd,33350000000,000002,China,Real Estate,Real Estate—Development
International Flavors & Fragrances Inc.,33320000000,IFF,United States,Basic Materials,Specialty Chemicals
Telefonaktiebolaget LM Ericsson,33290000000,ERIC.A,Sweden,Technology,Communication Equipment
China Resources Land Ltd,33260000000,1109,Hong Kong,Real Estate,Real Estate—Development
"Zoom Video Communications, Inc.",33220000000,ZM,United States,Communication Services,Telecom Services
Otis Worldwide Corporation,33090000000,OTIS,United States,Industrials,Specialty Industrial Machinery
Sun Life Financial Inc.,33080000000,SLF,Canada,Financials,Insurance—Diversified
"Rockwell Automation, Inc.",33050000000,ROK,United States,Industrials,Specialty Industrial Machinery
Aptiv PLC,33020000000,APTV,Ireland,Consumer Discretionary,Auto Parts
Cenovus Energy Inc.,33020000000,CVE,Canada,Energy,Oil & Gas Integrated
Deutsche Börse AG,32990000000,DB1,Germany,Financials,Financial Data & Stock Exchanges
Orange SA,32840000000,ORA,France,Communication Services,Telecom Services
Hess Corporation,32810000000,HES,United States,Energy,Oil & Gas E&P
NatWest Group plc,32720000000,NWG,United Kingdom,Financials,Banks
"Ross Stores, Inc.",32710000000,ROST,United States,Consumer Discretionary,Apparel Retail
"WEC Energy Group, Inc.",32540000000,WEC,United States,Utilities,Utilities—Regulated Electric
AmerisourceBergen Corporation,32510000000,ABC,United States,Healthcare,Medical Distribution
China Overseas Land & Investment Ltd,32490000000,0688,Hong Kong,Real Estate,Real Estate—Development
WuXi Biologics,32410000000,2269,China,Healthcare,Biotechnology
CITIC Ltd,32330000000,0267,Hong Kong,Industrials,Conglomerates
"Cellnex Telecom, SA",32320000000,CLNX,Spain,Communication Services,Telecom Services
Haier Smart Home Co Ltd,32310000000,600690,China,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
Singapore Telecommunications Ltd,32230000000,Z74,Singapore,Communication Services,Telecom Services
ANTA Sports Products Ltd,32200000000,2020,China,Consumer Discretionary,Leisure
Barclays plc,32190000000,BARC,United Kingdom,Financials,Banks
Brown-Forman Corporation,32070000000,BF.B,United States,Consumer Staples,Beverages—Wineries & Distilleries
WEG SA,32050000000,WEGE3,Brazil,Industrials,Specialty Industrial Machinery
PACCAR Inc,32040000000,PCAR,United States,Industrials,Farm & Heavy Construction Machinery
Great Wall Motor Co Ltd,32010000000,601633,China,Consumer Discretionary,Auto Manufacturers
Longfor Group Holdings Ltd,31980000000,0960,China,Real Estate,Real Estate—Development
"JAPAN POST BANK Co.,Ltd.",31930000000,7182,Japan,Financials,Banks
"PPG Industries, Inc.",31890000000,PPG,United States,Basic Materials,Specialty Chemicals
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,31780000000,TLK,Indonesia,Communication Services,Telecom Services
Mettler-Toledo International Inc.,31780000000,MTD,United States,Healthcare,Diagnostics & Research
"ONEOK, Inc.",31660000000,OKE,United States,Energy,Oil & Gas Midstream
Goodman Group,31640000000,GMG,Australia,Real Estate,REIT—Diversified
Corning Incorporated,31600000000,GLW,United States,Technology,Electronic Components
"Japan Tobacco, Inc.",31590000000,2914,Japan,Consumer Staples,Tobacco
Foxconn Industrial Internet Co. Ltd,31580000000,601138,China,Technology,Communication Equipment
Eversource Energy,31560000000,ES,United States,Utilities,Utilities—Regulated Electric
China Telecom Corp Ltd,31490000000,0728,Hong Kong,Communication Services,Telecom Services
CRH plc,31450000000,CRH,Ireland,Basic Materials,Building Materials
Japan Post Holdings Co. Ltd,31410000000,6178,Japan,Financials,Banks
Biogen Inc.,31350000000,BIIB,United States,Healthcare,Drug Manufacturers—General
Swisscom AG,31260000000,SCMN,Switzerland,Communication Services,Telecom Services
Koninklijke DSM N.V.,31250000000,DSM,Netherlands,Basic Materials,Specialty Chemicals
Formosa Petrochemical Corp,31220000000,6505,Taiwan,Energy,Oil & Gas Refining & Marketing
Zhangzhou Pientzehuang Pharmaceutical. Ltd,31170000000,600436,China,Healthcare,Drug Manufacturers—General
"AMETEK, Inc.",31150000000,AME,United States,Industrials,Specialty Industrial Machinery
E.ON SE,31120000000,EOAA,Germany,Utilities,Utilities—Diversified
China Pacific Insurance,31040000000,601601,China,Financials,Insurance—Life
"Zscaler, Inc.",31030000000,ZS,United States,Technology,Software—Infrastructure
Anhui Conch Cement Company Ltd,31020000000,600585,China,Basic Materials,Building Materials
Franco-Nevada Corporation,31000000000,FNV,Canada,Basic Materials,Gold
Engie SA,31000000000,ENGI,France,Utilities,Utilities—Diversified
State Street Corporation,30950000000,STT,United States,Financials,Asset Management
SAIC Motor Corp Ltd,30930000000,600104,China,Consumer Discretionary,Auto Manufacturers
Nokia Corporation,30910000000,NOKIA.SEK,Finland,Technology,Communication Equipment
"Twitter, Inc.",30830000000,TWTR,United States,Communication Services,Internet Content & Information
Veeva Systems Inc.,30760000000,VEEV,United States,Healthcare,Health Information Services
Loblaw Companies Limited,30700000000,L,Canada,Consumer Staples,Grocery Stores
Energy Transfer LP,30690000000,ET,United States,Energy,Oil & Gas Midstream
Henkel AG & Co KGaA,30530000000,HEN,Germany,Consumer Staples,Household & Personal Products
"Coupang, Inc.",30530000000,CPNG,South Korea,Consumer Discretionary,Internet Retail
Ferguson plc,30520000000,FERG,United Kingdom,Industrials,Industrial Distribution
BAE Systems plc,30510000000,BA.,United Kingdom,Industrials,Aerospace & Defense
Fifth Third Bancorp,30460000000,FITB,United States,Financials,Banks
"CBRE Group, Inc.",30450000000,CBRE,United States,Real Estate,Real Estate Services
"American Water Works Company, Inc.",30430000000,AWK,United States,Utilities,Utilities—Regulated Water
Fujitsu Ltd,30280000000,6702,Japan,Technology,Information Technology Services
"West Pharmaceutical Services, Inc.",30230000000,WST,United States,Healthcare,Medical Instruments & Supplies
Compagnie de Saint-Gobain SA,30160000000,SGO,France,Industrials,Building Products & Equipment
"Alexandria Real Estate Equities, Inc.",30100000000,ARE,United States,Real Estate,REIT—Office
ASSA ABLOY AB,30050000000,ALZ,Sweden,Industrials,Security & Protection Services
Cummins Inc.,29940000000,CMI,United States,Industrials,Specialty Industrial Machinery
Vestas Wind Systems A-S,29930000000,VWS,Denmark,Industrials,Specialty Industrial Machinery
Riyad Bank,29860000000,1010,Saudi Arabia,Financials,Banks
Willis Towers Watson plc,29850000000,WLTW,United Kingdom,Financials,Insurance Brokers
"Match Group, Inc.",29820000000,MTCH,United States,Communication Services,Internet Content & Information
KBC Group NV,29810000000,KDB,Belgium,Financials,Banks
UniCredit S.p.A.,29650000000,UCG,Italy,Financials,Banks
Cathay Financial Holding Co. Ltd,29580000000,2882,Taiwan,Financials,Insurance—Life
"Copart, Inc.",29580000000,CPRT,United States,Industrials,Specialty Business Services
Spotify Technology SA,29560000000,SPOT,Luxembourg,Communication Services,Internet Content & Information
"Nasdaq, Inc.",29520000000,NDAQ,United States,Financials,Financial Data & Stock Exchanges
Weyerhaeuser Company,29420000000,WY,United States,Real Estate,REIT—Specialty
Saudi Electricity Company,29420000000,5110,Saudi Arabia,Utilities,Utilities—Regulated Electric
Ball Corporation,29400000000,BLL,United States,Consumer Discretionary,Packaging & Containers
"Keysight Technologies, Inc.",29400000000,KEYS,United States,Technology,Scientific & Technical Instruments
"Astellas Pharma, Inc.",29220000000,4503,Japan,Healthcare,Drug Manufacturers—General
"Amadeus IT Group, SA",29190000000,AMS,Spain,Technology,Information Technology Services
Electricité de France SA,29170000000,EDF,France,Utilities,Utilities—Diversified
Rogers Communications Inc.,29130000000,RCI.B,Canada,Communication Services,Telecom Services
Tongwei Co. Ltd,29100000000,600438,China,Consumer Staples,Farm Products
Las Vegas Sands Corp.,29070000000,LVS,United States,Consumer Discretionary,Resorts & Casinos
RWE AG,29060000000,RWE,Germany,Utilities,Utilities—Diversified
COSCO SHIPPING Holdings Co Ltd,28930000000,601919,China,Industrials,Marine Shipping
SVB Financial Group,28910000000,SIVB,United States,Financials,Banks
CSX Corporation,28900000000,CSX,United States,Industrials,Railroads
Techtronic Industries Company Ltd,28750000000,0669,Hong Kong,Industrials,Tools & Accessories
"Naturgy Energy Group, SA",28710000000,NTGY,Spain,Utilities,Utilities—Regulated Gas
APA Group,28550000000,APA,Australia,Utilities,Utilities—Regulated Gas
Hormel Foods Corporation,28520000000,HRL,United States,Consumer Staples,Packaged Foods
Cerner Corporation,28310000000,CERN,United States,Healthcare,Health Information Services
Ashtead Group plc,28280000000,AHT,United Kingdom,Industrials,Rental & Leasing Services
Equifax Inc.,28240000000,EFX,United States,Industrials,Consulting Services
Semiconductor Manufacturing International Corp,28240000000,688981,China,Technology,Semiconductors
Porsche Automobil Holding SE,28150000000,PAHA,Germany,Consumer Discretionary,Auto Manufacturers
Tesco plc,28110000000,TSCO,United Kingdom,Consumer Staples,Grocery Stores
Sirius XM Holdings Inc.,28050000000,SIRI,United States,Communication Services,Broadcasting
Airports of Thailand Public Company Ltd,28000000000,AOT,Thailand,Industrials,Airports & Air Services
CK Hutchison Holdings Ltd,27940000000,0001,Hong Kong,Industrials,Conglomerates
The People's Insurance Company (Group) of China Ltd,27930000000,601319,China,Financials,Insurance—Property & Casualty
"Expedia Group, Inc.",27910000000,EXPE,United States,Consumer Discretionary,Travel Services
First Republic Bank,27900000000,FRC,United States,Financials,Banks
Koninklijke Philips N.V.,27890000000,PHIA,Netherlands,Healthcare,Diagnostics & Research
Great-West Lifeco Inc.,27850000000,GWO,Canada,Financials,Insurance—Life
Thai Beverage Public Company Ltd,27810000000,Y92,Thailand,Consumer Staples,Beverages—Wineries & Distilleries
Swiss Re AG,27800000000,SREN,Switzerland,Financials,Insurance—Reinsurance
Edison International,27670000000,EIX,United States,Utilities,Utilities—Regulated Electric
Wolters Kluwer N.V.,27650000000,WKL,Netherlands,Communication Services,Publishing
ON Semiconductor Corporation,27630000000,ON,United States,Technology,Semiconductors
"CaixaBank, SA",27580000000,CABK,Spain,Financials,Banks
Sampo Oyj,27460000000,SAMPO,Finland,Financials,Insurance—Diversified
Extra Space Storage Inc.,27370000000,EXR,United States,Real Estate,REIT—Industrial
Sartorius AG,27350000000,SRT,Germany,Healthcare,Medical Instruments & Supplies
"D.R. Horton, Inc.",27340000000,DHI,United States,Consumer Discretionary,Residential Construction
"W.W. Grainger, Inc.",27330000000,GWW,United States,Industrials,Industrial Distribution
NARI Technology Co. Ltd,27330000000,600406,China,Industrials,Specialty Industrial Machinery
KONE Oyj,27290000000,KNEBV,Finland,Industrials,Specialty Industrial Machinery
"McCormick & Company, Incorporated",27290000000,MKC,United States,Consumer Staples,Packaged Foods
NTT Data Corp,27260000000,9613,Japan,Technology,Information Technology Services
Ganfeng Lithium Co. Ltd,27250000000,002460,China,Basic Materials,Chemicals
Will Semiconductor Co. Ltd,27240000000,603501,China,Technology,Semiconductors
"Interactive Brokers Group, Inc.",27220000000,IBKR,United States,Financials,Capital Markets
Gazprom Neft PJSC,27140000000,SIBN,Russia,Energy,Oil & Gas Integrated
Fubon Financial Holding Co. Ltd,27130000000,2881,Taiwan,Financials,Insurance—Life
Tractor Supply Company,27090000000,TSCO,United States,Consumer Discretionary,Specialty Retail
Chocoladefabriken Lindt & Sprüngli AG,27080000000,LISN,Switzerland,Consumer Staples,Confectioners
"ANSYS, Inc.",26980000000,ANSS,United States,Technology,Software—Application
Shaanxi Coal Industry Company Ltd,26950000000,601225,China,Energy,Thermal Coal
Aier Eye Hospital Group Co. Ltd,26950000000,300015,China,Healthcare,Medical Care Facilities
"Zimmer Biomet Holdings, Inc.",26940000000,ZBH,United States,Healthcare,Medical Devices
Bridgestone Corp,26880000000,5108,Japan,Consumer Discretionary,Auto Parts
Evolution Gaming Group AB,26820000000,EVO,Sweden,Consumer Discretionary,Gambling
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,26800000000,603392,China,Healthcare,Biotechnology
Vonovia SE,26780000000,VNA,Germany,Real Estate,Real Estate Services
Sandvik AB,26710000000,SAND,Sweden,Industrials,Specialty Industrial Machinery
"Cheniere Energy Partners, L.P.",26680000000,CQP,United States,Energy,Oil & Gas Midstream
PG&E Corporation,26660000000,PCG,United States,Utilities,Utilities—Regulated Electric
Kansas City Southern,26590000000,KSU,United States,Industrials,Railroads
Unity Software Inc.,26560000000,U,United States,Technology,Software—Application
Thales SA,26550000000,HO,France,Industrials,Aerospace & Defense
Southwest Airlines Co.,26520000000,LUV,United States,Industrials,Airlines
DTE Energy Company,26410000000,DTE,United States,Utilities,Utilities—Regulated Electric
Intact Financial Corporation,26400000000,IFC,Canada,Financials,Insurance—Property & Casualty
Deutsche Bank AG,26380000000,DBK,Germany,Financials,Banks
Canon Inc.,26380000000,7751,Japan,Technology,Computer Hardware
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",26380000000,SLMNP,United States,Basic Materials,Chemicals
National Bank of Canada,26290000000,NA,Canada,Financials,Banks
Sonova Holding AG,26220000000,SOON,Switzerland,Healthcare,Medical Instruments & Supplies
Realty Income Corporation,26180000000,O,United States,Real Estate,REIT—Retail
China Everbright Bank Company Ltd,26130000000,601818,China,Financials,Banks
Twilio Inc.,26090000000,TWLO,United States,Communication Services,Internet Content & Information
Roblox Corp,26050000000,RBLX,United States,Communication Services,Electronic Gaming & Multimedia
"Telefónica, SA",26040000000,TEF,Spain,Communication Services,Telecom Services
Central Japan Railway Co,26000000000,9022,Japan,Industrials,Railroads
Li Auto Inc.,25830000000,LI,China,Consumer Discretionary,Auto Manufacturers
