Unnamed: 0,Name,MarketCap,Stock,Country,Sector,Industry
51,Novartis AG,$204.13 B,NOVN,Switzerland,Healthcare,Drug Manufacturers—General
52,AstraZeneca plc,$201.75 B,AZN,United Kingdom,Healthcare,Drug Manufacturers—General
53,Intel Corporation,$201.72 B,INTC,United States,Technology,Semiconductors
54,Wells Fargo & Company,$200.01 B,WFC,United States,Financials,Banks
55,Adobe Inc.,$199.57 B,ADBE,United States,Technology,Software—Infrastructure
56,"salesforce.com, inc.",$193.80 B,CRM,United States,Technology,Software—Application
57,"United Parcel Service, Inc.",$190.50 B,UPS,United States,Industrials,Integrated Freight & Logistics
58,China Construction Bank Corp,$189.37 B,601939,China,Financials,Banks
59,McDonald's Corporation,$186.57 B,MCD,United States,Consumer Discretionary,Restaurants
60,China Merchants Bank Co Ltd,$185.98 B,600036,China,Financials,Banks
61,Contemporary Amperex Technology Co. Ltd,$185.67 B,300750,China,Industrials,Electrical Equipment & Parts
62,Union Pacific Corporation,$184.19 B,UNP,United States,Industrials,Railroads
63,AT&T Inc.,$175.88 B,T,United States,Communication Services,Telecom Services
64,Qualcomm Incorporated,$172.25 B,QCOM,United States,Technology,Semiconductors
65,Texas Instruments Incorporated,$171.28 B,TXN,United States,Technology,Semiconductors
66,Bristol-Myers Squibb Company,$170.56 B,BMY,United States,Healthcare,Drug Manufacturers—General
67,Prosus N.V.,$170.00 B,PRX,Netherlands,Communication Services,Internet Content & Information
68,Linde plc,$166.07 B,LIN,United Kingdom,Basic Materials,Specialty Chemicals
69,"NextEra Energy, Inc.",$165.53 B,NEE,United States,Utilities,Utilities—Regulated Electric
70,Agricultural Bank of China Ltd,$165.00 B,601288,China,Financials,Banks
71,"T-Mobile US, Inc.",$164.31 B,TMUS,United States,Communication Services,Telecom Services
72,Morgan Stanley,$164.05 B,MS,United States,Financials,Capital Markets
73,"Netflix, Inc.",$163.19 B,NFLX,United States,Communication Services,Entertainment
74,Royal Bank of Canada,$159.74 B,RY,Canada,Financials,Banks
75,The Charles Schwab Corporation,$158.06 B,SCHW,United States,Financials,Capital Markets
76,Philip Morris International Inc.,$154.71 B,PM,United States,Consumer Staples,Tobacco
77,Medtronic plc,$151.06 B,MDT,Ireland,Healthcare,Medical Devices
78,Raytheon Technologies Corporation,$150.96 B,RTX,United States,Industrials,Aerospace & Defense
79,American Express Company,$150.76 B,AXP,United States,Financials,Credit Services
80,Hermès International SCA,$148.98 B,RMS,France,Consumer Discretionary,Luxury Goods
81,Toronto-Dominion Bank,$145.41 B,TD,Canada,Financials,Banks
82,PetroChina Company Limited,$144.50 B,601857,China,Energy,Oil & Gas Integrated
83,Commonwealth Bank of Australia,$144.32 B,CBA,Australia,Financials,Banks
84,"Lowe's Companies, Inc.",$143.77 B,LOW,United States,Consumer Discretionary,Home Improvement Retail
85,Amgen Inc.,$141.72 B,AMGN,United States,Healthcare,Drug Manufacturers—General
86,Bank of China Ltd,$141.22 B,601988,China,Financials,Banks
87,HSBC Holdings plc,$140.15 B,HSBA,United Kingdom,Financials,Banks
88,China Mobile Ltd,$139.30 B,0941,Hong Kong,Communication Services,Telecom Services
89,TotalEnergies SE,$137.50 B,TTE,France,Energy,Oil & Gas Integrated
90,Honeywell International Inc.,$136.48 B,HON,United States,Industrials,Specialty Industrial Machinery
91,ConocoPhillips,$136.32 B,COP,United States,Energy,Oil & Gas E&P
92,CVS Health Corporation,$135.27 B,CVS,United States,Healthcare,Healthcare Plans
93,Ping An Insurance (Group) Company of China Ltd,$134.25 B,601318,China,Financials,Insurance—Life
94,SAP SE,$134.19 B,SAP,Germany,Technology,Software—Application
95,"PayPal Holdings, Inc.",$133.92 B,PYPL,United States,Financials,Credit Services
96,Sanofi,$132.29 B,SAN,France,Healthcare,Drug Manufacturers—General
97,Deere & Company,$130.31 B,DE,United States,Industrials,Farm & Heavy Construction Machinery
98,"Advanced Micro Devices, Inc.",$128.29 B,AMD,United States,Technology,Semiconductors
99,Intuit Inc.,$126.77 B,INTU,United States,Technology,Software—Application
100,Sony Group Corporation,$126.64 B,6758,Japan,Technology,Consumer Electronics
101,Rio Tinto Group,$125.84 B,RIO,United Kingdom,Basic Materials,Other Industrial Metals & Mining
102,AIA Group Ltd,$125.16 B,1299,Hong Kong,Financials,Insurance—Life
103,Lockheed Martin Corporation,$124.98 B,LMT,United States,Industrials,Aerospace & Defense
104,Caterpillar Inc.,$124.13 B,CAT,United States,Industrials,Farm & Heavy Construction Machinery
105,Anheuser-Busch InBev SA/NV,$123.59 B,ABI,Belgium,Consumer Staples,Beverages—Brewers
106,Equinor ASA,$122.74 B,EQNR,Norway,Energy,Oil & Gas Integrated
107,Christian Dior SE,$122.11 B,CDI,France,Consumer Discretionary,Luxury Goods
108,"Prologis, Inc.",$121.20 B,PLD,United States,Real Estate,REIT—Industrial
109,"Applied Materials, Inc.",$121.12 B,AMAT,United States,Technology,Semiconductor Equipment & Materials
110,"Anthem, Inc.",$119.80 B,ANTM,United States,Healthcare,Healthcare Plans
111,International Business Machines Corporation,$119.20 B,IBM,United States,Technology,Information Technology Services
112,Unilever plc,$117.84 B,ULVR,United Kingdom,Consumer Staples,Household & Personal Products
113,"BlackRock, Inc.",$115.98 B,BLK,United States,Financials,Asset Management
114,HDFC Bank Limited,$115.68 B,HDB,India,Financials,Banks
115,Diageo plc,$115.58 B,DGE,United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries
116,American Tower Corporation (REIT),$115.11 B,AMT,United States,Real Estate,REIT—Specialty
117,Siemens AG,$114.66 B,SIE,Germany,Industrials,Specialty Industrial Machinery
118,Meituan,$114.28 B,3690,China,Consumer Discretionary,Internet Retail
119,Keyence Corp,$113.20 B,6861,Japan,Technology,Scientific & Technical Instruments
120,"The Goldman Sachs Group, Inc.",$112.71 B,GS,United States,Financials,Capital Markets
121,Transurban Group,$110.79 B,TCL,Australia,Industrials,Infrastructure Operations
122,"Industria de Diseño Textil, SA",$110.65 B,ITX,Spain,Consumer Discretionary,Apparel Retail
123,The Boeing Company,$110.46 B,BA,United States,Industrials,Aerospace & Defense
124,GlaxoSmithKline plc,$109.98 B,GSK,United Kingdom,Healthcare,Drug Manufacturers—General
125,Citigroup Inc.,$109.56 B,C,United States,Financials,Banks
126,Volkswagen AG,$108.63 B,VOW3,Germany,Consumer Discretionary,Auto Manufacturers
127,Starbucks Corporation,$108.19 B,SBUX,United States,Consumer Discretionary,Restaurants
128,Vale SA,$107.99 B,VALE3,Brazil,Basic Materials,Other Industrial Metals & Mining
129,"ServiceNow, Inc.",$107.99 B,NOW,United States,Technology,Software—Application
130,Target Corporation,$106.89 B,TGT,United States,Consumer Staples,Discount Stores
131,Infosys Limited,$106.77 B,INFY,India,Technology,Information Technology Services
132,Al Rajhi Banking and Investment Corp,$106.37 B,1120,Saudi Arabia,Financials,Banks
133,"Airbnb, Inc.",$105.07 B,ABNB,United States,Communication Services,Internet Content & Information
134,"Charter Communications, Inc.",$104.97 B,CHTR,United States,Communication Services,Entertainment
135,BYD Co Ltd,$104.42 B,002594,China,Consumer Discretionary,Auto Manufacturers
136,Saudi Basic Industries Corp,$104.00 B,2010,Saudi Arabia,Basic Materials,Chemicals
137,Nippon Telegraph & Telephone Corp,$103.75 B,9432,Japan,Communication Services,Telecom Services
138,"Altria Group, Inc.",$102.98 B,MO,United States,Consumer Staples,Tobacco
139,British American Tobacco plc,$101.44 B,BATS,United Kingdom,Consumer Staples,Tobacco
140,Stryker Corporation,$101.41 B,SYK,United States,Healthcare,Medical Devices
141,S&P Global Inc.,$100.84 B,SPGI,United States,Financials,Financial Data & Stock Exchanges
142,The Estée Lauder Companies Inc.,$100.16 B,EL,United States,Consumer Staples,Household & Personal Products
143,General Electric Company,$99.22 B,GE,United States,Industrials,Specialty Industrial Machinery
144,Daimler AG,$98.79 B,DAI,Germany,Consumer Discretionary,Auto Manufacturers
145,Chubb Limited,$98.57 B,CB,Switzerland,Financials,Insurance—Property & Casualty
146,Allianz SE,$98.47 B,ALV,Germany,Financials,Insurance—Diversified
147,Petróleo Brasileiro S.A. - Petrobras,$98.37 B,PBR,Brazil,Energy,Oil & Gas Integrated
148,Airbus SE,$97.41 B,AIR,Netherlands,Industrials,Aerospace & Defense
149,China Life Insurance Company Limited,$97.31 B,LFC,China,Financials,Insurance—Life
150,"Automatic Data Processing, Inc.",$96.98 B,ADP,United States,Industrials,Staffing & Employment Services
151,BP plc,$96.24 B,BP.,United Kingdom,Energy,Oil & Gas Integrated
152,China Shenhua Energy Company Ltd,$95.34 B,601088,China,Energy,Thermal Coal
153,Booking Holdings Inc.,$95.02 B,BKNG,United States,Consumer Discretionary,Travel Services
154,Canadian National Railway Company,$94.96 B,CNR,Canada,Industrials,Railroads
155,Enbridge Inc.,$94.94 B,ENB,Canada,Energy,Oil & Gas Midstream
156,Schneider Electric SE,$94.34 B,SU,France,Industrials,Specialty Industrial Machinery
157,Deutsche Telekom AG,$93.01 B,DTE,Germany,Communication Services,Telecom Services
158,MERCK Kommanditgesellschaft auf Aktien,$90.74 B,MRK,Germany,Healthcare,Drug Manufacturers—Specialty & Generic
159,"Mondelez International, Inc.",$90.67 B,MDLZ,United States,Consumer Staples,Confectioners
160,"JD.com, Inc.",$90.46 B,9618,China,Consumer Discretionary,Internet Retail
161,Vulcan International Corp,$90.34 B,VULC,United States,Basic Materials,Chemicals
162,Zoetis Inc.,$89.82 B,ZTS,United States,Healthcare,Drug Manufacturers—Specialty & Generic
163,CSL Limited,$89.69 B,CSL,Australia,Healthcare,Biotechnology
164,3M Company,$88.77 B,MMM,United States,Industrials,Specialty Industrial Machinery
165,Duke Energy Corporation,$88.76 B,DUK,United States,Utilities,Utilities—Regulated Electric
166,Bank of Nova Scotia,$87.76 B,BNS,Canada,Financials,Banks
167,The Blackstone Group Inc.,$87.64 B,BX,United States,Financials,Asset Management
168,Brookfield Asset Management Inc.,$87.46 B,BAM.A,Canada,Financials,Asset Management
169,Glencore plc,$87.31 B,GLEN,Switzerland,Basic Materials,Other Industrial Metals & Mining
170,CME Group Inc.,$87.17 B,CME,United States,Financials,Financial Data & Stock Exchanges
171,"Marsh & McLennan Companies, Inc.",$87.16 B,MMC,United States,Financials,Insurance Brokers
172,"Micron Technology, Inc.",$86.49 B,MU,United States,Technology,Semiconductors
173,"Mitsubishi UFJ Financial Group, Inc.",$85.03 B,8306,Japan,Financials,Banks
174,Cigna Corporation,$84.67 B,CI,United States,Healthcare,Healthcare Plans
175,Shopify Inc.,$83.80 B,SHOP,Canada,Technology,Software—Application
176,Air Liquide SA,$83.24 B,AI,France,Basic Materials,Chemicals
177,"HCA Healthcare, Inc.",$82.60 B,HCA,United States,Healthcare,Medical Care Facilities
178,National Australia Bank Limited,$81.03 B,NAB,Australia,Financials,Banks
179,Crown Castle International Corp. (REIT),$80.92 B,CCI,United States,Real Estate,REIT—Specialty
180,EssilorLuxottica SA,$80.49 B,EL,France,Healthcare,Medical Instruments & Supplies
181,U.S. Bancorp,$80.16 B,USB,United States,Financials,Banks
182,Tokyo Electron Ltd,$79.62 B,8035,Japan,Technology,Semiconductor Equipment & Materials
183,Bank of Montreal,$79.22 B,BMO,Canada,Financials,Banks
184,Kering SA,$78.66 B,KER,France,Consumer Discretionary,Luxury Goods
185,China Yangtze Power Co. Ltd,$78.42 B,600900,China,Utilities,Utilities—Independent Power Producers
186,China Petroleum & Chemical Corporation,$78.39 B,600028,China,Energy,Oil & Gas Integrated
187,The Southern Company,$78.38 B,SO,United States,Utilities,Utilities—Regulated Electric
188,Lam Research Corporation,$77.60 B,LRCX,United States,Technology,Semiconductor Equipment & Materials
189,"The PNC Financial Services Group, Inc.",$77.10 B,PNC,United States,Financials,Banks
190,"Becton, Dickinson and Company",$76.98 B,BDX,United States,Healthcare,Medical Instruments & Supplies
191,"Gilead Sciences, Inc.",$76.15 B,GILD,United States,Healthcare,Drug Manufacturers—General
192,"Regeneron Pharmaceuticals, Inc.",$74.91 B,REGN,United States,Healthcare,Biotechnology
193,Truist Financial Corporation,$74.79 B,TFC,United States,Financials,Banks
194,Canadian Natural Resources Limited,$74.78 B,CNQ,Canada,Energy,Oil & Gas E&P
195,"Intercontinental Exchange, Inc.",$74.17 B,ICE,United States,Financials,Financial Data & Stock Exchanges
196,"The TJX Companies, Inc.",$73.99 B,TJX,United States,Consumer Discretionary,Apparel Retail
197,Atlassian Corporation Plc,$73.72 B,TEAM,Australia,Technology,Software—Application
198,Zurich Insurance Group AG,$73.58 B,ZURN,Switzerland,Financials,Insurance—Diversified
199,Edwards Lifesciences Corporation,$73.38 B,EW,United States,Healthcare,Medical Devices
200,Aon Plc,$73.33 B,AON,United Kingdom,Financials,Insurance Brokers
201,Northrop Grumman Corporation,$73.25 B,NOC,United States,Industrials,Aerospace & Defense
202,KDDI Corp,$73.12 B,9433,Japan,Communication Services,Telecom Services
203,Norfolk Southern Corporation,$72.31 B,NSC,United States,Industrials,Railroads
204,Freeport-McMoRan Inc.,$72.16 B,FCX,United States,Basic Materials,Copper
205,Wal-Mart de Mexico SAB de CV,$71.96 B,WALMEX,Mexico,Consumer Staples,Discount Stores
206,PT Bank Central Asia Tbk,$71.91 B,BBCA,Indonesia,Financials,Banks
207,"EOG Resources, Inc.",$71.90 B,EOG,United States,Energy,Oil & Gas E&P
208,Siemens Healthineers AG,$71.50 B,SHL,Germany,Healthcare,Diagnostics & Research
209,Anglo American plc,$71.48 B,AAL,United Kingdom,Basic Materials,Other Industrial Metals & Mining
210,"Moderna, Inc.",$70.81 B,MRNA,United States,Healthcare,Biotechnology
211,General Dynamics Corporation,$70.55 B,GD,United States,Industrials,Aerospace & Defense
212,AXA SA,$70.20 B,CS,France,Financials,Insurance—Diversified
213,"Dominion Energy, Inc.",$70.20 B,D,United States,Utilities,Utilities—Diversified
214,Enel SpA,$70.15 B,ENEL,Italy,Utilities,Utilities—Diversified
215,BNP Paribas SA,$69.90 B,BNP,France,Financials,Banks
216,"América Móvil, S.A.B. de C.V.",$69.45 B,AMXA,Mexico,Communication Services,Telecom Services
217,Public Storage,$69.31 B,PSA,United States,Real Estate,REIT—Industrial
218,UBS Group AG,$68.93 B,UBSG,Switzerland,Financials,Banks
219,Sberbank of Russia PJSC,$68.69 B,SBER,Russia,Financials,Banks
220,"Fiserv, Inc.",$68.68 B,FISV,United States,Technology,Information Technology Services
221,"Iberdrola, SA",$68.23 B,IBE,Spain,Utilities,Utilities—Diversified
222,Recruit Holdings Co Ltd,$68.11 B,6098,Japan,Industrials,Staffing & Employment Services
223,Bayer AG,$68.09 B,BAYN,Germany,Healthcare,Drug Manufacturers—General
224,The Sherwin-Williams Company,$67.54 B,SHW,United States,Basic Materials,Specialty Chemicals
225,Vertex Pharmaceuticals Incorporated,$67.49 B,VRTX,United States,Healthcare,Biotechnology
226,Illinois Tool Works Inc.,$67.49 B,ITW,United States,Industrials,Specialty Industrial Machinery
227,The Progressive Corporation,$67.31 B,PGR,United States,Financials,Insurance—Property & Casualty
228,Westpac Banking Corporation,$67.20 B,WBC,Australia,Financials,Banks
229,ABB Ltd,$67.19 B,ABBN,Switzerland,Industrials,Electrical Equipment & Parts
230,"Waste Management, Inc.",$66.95 B,WM,United States,Industrials,Waste Management
231,Industrial Bank Co. Ltd,$66.87 B,601166,China,Financials,Banks
232,DBS Group Holdings Ltd,$66.74 B,D05,Singapore,Financials,Banks
233,ICICI Bank Limited,$66.62 B,IBN,India,Financials,Banks
234,"Equinix, Inc. (REIT)",$66.35 B,EQIX,United States,Real Estate,REIT—Specialty
235,Newmont Corporation,$65.89 B,NEM,United States,Basic Materials,Gold
236,Ford Motor Company,$65.74 B,F,United States,Consumer Discretionary,Auto Manufacturers
237,Colgate-Palmolive Company,$65.64 B,CL,United States,Consumer Staples,Household & Personal Products
238,Exelon Corporation,$65.53 B,EXC,United States,Utilities,Utilities—Diversified
239,Snowflake Inc.,$65.04 B,SNOW,United States,Technology,Software—Application
240,Oriental Land Co. Ltd,$64.66 B,4661,Japan,Consumer Discretionary,Leisure
241,"SK hynix, Inc.",$64.60 B,000660,South Korea,Technology,Semiconductors
242,AP Moller - Maersk A-S,$64.40 B,MAERSK.B,Denmark,Industrials,Marine Shipping
243,Shin-Etsu Chemical Co Ltd,$63.43 B,4063,Japan,Basic Materials,Chemicals
244,FedEx Corporation,$63.25 B,FDX,United States,Industrials,Integrated Freight & Logistics
245,Boston Scientific Corporation,$63.08 B,BSX,United States,Healthcare,Medical Devices
246,PacifiCorp,$62.87 B,PPWLM,United States,Utilities,Utilities—Diversified
247,Dassault Systèmes SE,$62.75 B,DSY,France,Technology,Software—Application
248,"MetLife, Inc.",$62.69 B,MET,United States,Financials,Insurance—Life
249,General Motors Company,$62.69 B,GM,United States,Consumer Discretionary,Auto Manufacturers
250,Sea Limited,$62.66 B,SE,Singapore,Communication Services,Electronic Gaming & Multimedia
251,"Uber Technologies, Inc.",$62.66 B,UBER,United States,Technology,Software—Application
252,Moody's Corporation,$62.58 B,MCO,United States,Financials,Financial Data & Stock Exchanges
253,Nintendo Co Ltd,$62.20 B,7974,Japan,Communication Services,Electronic Gaming & Multimedia
254,Pioneer Natural Resources Company,$62.19 B,PXD,United States,Energy,Oil & Gas E&P
255,Eaton Corporation plc,$62.17 B,ETN,Ireland,Industrials,Specialty Industrial Machinery
256,"Analog Devices, Inc.",$62.00 B,ADI,United States,Technology,Semiconductors
257,"Fidelity National Information Services, Inc.",$61.73 B,FIS,United States,Technology,Information Technology Services
258,"Banco Santander, SA",$61.67 B,SAN,Spain,Financials,Banks
259,Hapag-Lloyd AG,$61.46 B,HLAG,Germany,Industrials,Marine Shipping
260,Adyen N.V.,$61.11 B,ADYEN,Netherlands,Technology,Software—Infrastructure
261,Atlas Copco AB,$60.97 B,ATCO.A,Sweden,Industrials,Specialty Industrial Machinery
262,CNOOC Limited,$60.19 B,0883,Hong Kong,Energy,Oil & Gas E&P
263,Nutrien Ltd.,$60.06 B,NTR,Canada,Basic Materials,Agricultural Inputs
264,"Block, Inc.",$59.95 B,SQ,United States,Technology,Software—Infrastructure
265,Deutsche Post AG,$59.80 B,DPWA,Germany,Industrials,Integrated Freight & Logistics
266,"NetEase, Inc.",$59.76 B,9999,China,Communication Services,Internet Content & Information
267,Hong Kong Exchanges & Clearing Ltd,$59.75 B,0388,Hong Kong,Financials,Financial Data & Stock Exchanges
268,Capital One Financial Corporation,$59.67 B,COF,United States,Financials,Credit Services
269,Emerson Electric Co.,$59.66 B,EMR,United States,Industrials,Specialty Industrial Machinery
270,"Palo Alto Networks, Inc.",$59.65 B,PANW,United States,Technology,Software—Infrastructure
271,Australia and New Zealand Banking Group Limited,$59.55 B,ANZ,Australia,Financials,Banks
272,Reckitt Benckiser Group plc,$59.53 B,RKT,United Kingdom,Consumer Staples,Household & Personal Products
273,Nongfu Spring Co. Ltd,$59.50 B,9633,China,Consumer Staples,Beverages—Non-Alcoholic
274,Saudi Telecom Company,$59.47 B,7010,Saudi Arabia,Communication Services,Telecom Services
275,Southern Copper Corporation,$59.46 B,SCCO,United States,Basic Materials,Copper
276,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,$59.26 B,300760,China,Healthcare,Medical Devices
277,Vinci SA,$59.01 B,DG,France,Industrials,Engineering & Construction
278,"Workday, Inc.",$58.70 B,WDAY,United States,Technology,Software—Application
279,RELX plc,$58.53 B,REL,United Kingdom,Communication Services,Publishing
280,Marvell Technology Group Ltd.,$58.36 B,MRVL,Bermuda,Technology,Semiconductors
281,"Air Products and Chemicals, Inc.",$57.82 B,APD,United States,Basic Materials,Chemicals
282,Pernod Ricard SA,$57.75 B,RI,France,Consumer Staples,Beverages—Wineries & Distilleries
283,Schlumberger Limited,$57.63 B,SLB,United States,Energy,Oil & Gas Equipment & Services
284,"Marvell Technology, Inc.",$57.62 B,9MW,United States,Technology,Semiconductors
285,Itaú Unibanco Holding SA,$57.45 B,ITUB,Brazil,Financials,Banks
286,Enterprise Products Partners L.P.,$57.43 B,EPD,United States,Energy,Oil & Gas Midstream
287,Foshan Haitian Flavouring and Food Company Ltd,$57.40 B,603288,China,Consumer Staples,Packaged Foods
288,Mitsubishi Corp,$57.23 B,8058,Japan,Industrials,Conglomerates
289,Canadian Imperial Bank of Commerce,$57.20 B,CM,Canada,Financials,Banks
290,"Marriott International, Inc.",$57.18 B,MAR,United States,Consumer Discretionary,Lodging
291,Pinduoduo Inc.,$57.09 B,PDD,China,Consumer Discretionary,Internet Retail
292,IHS Markit Ltd.,$56.94 B,INFO,United Kingdom,Industrials,Consulting Services
293,The Saudi National Bank,$56.89 B,1180,Saudi Arabia,Financials,Banks
294,TC Energy Corporation,$56.77 B,TRP,Canada,Energy,Oil & Gas Midstream
295,Humana Inc.,$56.55 B,HUM,United States,Healthcare,Healthcare Plans
296,KLA Corporation,$56.48 B,KLAC,United States,Technology,Semiconductor Equipment & Materials
297,Bank of Communications Co. Ltd,$56.38 B,601328,China,Financials,Banks
298,Bayerische Motoren Werke AG,$56.17 B,BMWB,Germany,Consumer Discretionary,Auto Manufacturers
299,Macquarie Group Limited,$55.99 B,MQG,Australia,Financials,Capital Markets
300,National Grid plc,$55.88 B,NG.,United Kingdom,Utilities,Utilities—Diversified
301,"Daikin Industries,Ltd.",$55.58 B,6367,Japan,Industrials,Building Products & Equipment
302,Chugai Pharmaceutical Co. Ltd,$55.31 B,4519,Japan,Healthcare,Drug Manufacturers—General
303,Keurig Dr Pepper Inc.,$55.28 B,KDP,United States,Consumer Staples,Beverages—Non-Alcoholic
304,Ergo Science Corp,$55.23 B,ERGN,United States,Industrials,Staffing & Employment Services
305,SoftBank Group Corp.,$54.93 B,9984,Japan,Communication Services,Telecom Services
306,Heineken N.V.,$54.87 B,HEIA,Netherlands,Consumer Staples,Beverages—Brewers
307,Ambev SA,$54.69 B,ABEV3,Brazil,Consumer Staples,Beverages—Brewers
308,Canadian Pacific Railway Limited,$54.59 B,CP,Canada,Industrials,Railroads
309,Marathon Petroleum Corporation,$54.54 B,MPC,United States,Energy,Oil & Gas Refining & Marketing
310,"American International Group, Inc.",$54.31 B,AIG,United States,Financials,Insurance—Diversified
311,Dollar General Corporation,$54.30 B,DG,United States,Consumer Staples,Discount Stores
312,"Fortinet, Inc.",$53.86 B,FTNT,United States,Technology,Software—Infrastructure
313,Snap Inc.,$53.86 B,SNAP,United States,Communication Services,Internet Content & Information
314,Ferrari N.V.,$53.78 B,RACE,Italy,Consumer Discretionary,Auto Manufacturers
315,Lonza Group Ltd,$53.76 B,LONN,Switzerland,Healthcare,Diagnostics & Research
316,London Stock Exchange Group plc,$53.33 B,LSEG,United Kingdom,Financials,Financial Data & Stock Exchanges
317,Thomson Reuters Corporation,$53.30 B,TRI,Canada,Industrials,Consulting Services
318,BASF SE,$52.76 B,BAS,Germany,Basic Materials,Chemicals
319,Sempra Energy,$52.47 B,SRE,United States,Utilities,Utilities—Diversified
320,Occidental Petroleum Corporation,$52.30 B,OXY,United States,Energy,Oil & Gas E&P
321,"Liberty Bancshares, Inc. (OH)",$52.30 B,LBSI,United States,Financials,Banks
322,Fast Retailing Co. Ltd,$52.29 B,9983,Japan,Consumer Discretionary,Apparel Retail
323,NXP Semiconductors N.V.,$52.28 B,NXPI,Netherlands,Technology,Semiconductors
