name,marketCap,stock,sector,industry,country
"SK hynix, Inc.",,000660,Technology,Semiconductors,South Korea
AP Moller - Maersk A-S,$64.40 B,MAERSK.B,Industrials,Marine Shipping,Denmark
Shin-Etsu Chemical Co Ltd,$63.43 B,4063,Basic Materials,Chemicals,Japan
FedEx Corporation,$63.25 B,FDX,Industrials,Integrated Freight & Logistics,United States
Boston Scientific Corporation,$63.08 B,BSX,Healthcare,Medical Devices,United States
PacifiCorp,$62.87 B,PPWLM,Utilities,Utilities—Diversified,United States
Dassault Systèmes SE,$62.75 B,DSY,Technology,Software—Application,France
"MetLife, Inc.",$62.69 B,MET,Financials,Insurance—Life,United States
General Motors Company,$62.69 B,GM,Consumer Discretionary,Auto Manufacturers,United States
National Grid plc,$55.88 B,NG.,Utilities,Utilities—Diversified,United Kingdom
"Daikin Industries,Ltd.",$55.58 B,6367,Industrials,Building Products & Equipment,Japan
Chugai Pharmaceutical Co. Ltd,$55.31 B,4519,Healthcare,Drug Manufacturers—General,Japan
Keurig Dr Pepper Inc.,$55.28 B,KDP,Consumer Staples,Beverages—Non-Alcoholic,United States
Ergo Science Corp,,ERGN,Industrials,Staffing & Employment Services,United States
SoftBank Group Corp.,$54.93 B,9984,Communication Services,Telecom Services,Japan
Heineken N.V.,$54.87 B,HEIA,Consumer Staples,Beverages—Brewers,Netherlands
Ambev SA,$54.69 B,ABEV3,Consumer Staples,Beverages—Brewers,Brazil
Canadian Pacific Railway Limited,$54.59 B,CP,Industrials,Railroads,Canada
Marathon Petroleum Corporation,$54.54 B,MPC,Energy,Oil & Gas Refining & Marketing,United States
"American International Group, Inc.",$54.31 B,AIG,Financials,Insurance—Diversified,United States
Dollar General Corporation,$54.30 B,DG,Consumer Staples,Discount Stores,United States
"Fortinet, Inc.",$53.86 B,FTNT,Technology,Software—Infrastructure,United States
Snap Inc.,$53.86 B,SNAP,Communication Services,Internet Content & Information,United States
Ferrari N.V.,$53.78 B,RACE,Consumer Discretionary,Auto Manufacturers,Italy
Lonza Group Ltd,$53.76 B,LONN,Healthcare,Diagnostics & Research,Switzerland
London Stock Exchange Group plc,$53.33 B,LSEG,Financials,Financial Data & Stock Exchanges,United Kingdom
Thomson Reuters Corporation,$53.30 B,TRI,Industrials,Consulting Services,Canada
BASF SE,$52.76 B,BAS,Basic Materials,Chemicals,Germany
Sempra Energy,$52.47 B,SRE,Utilities,Utilities—Diversified,United States
Occidental Petroleum Corporation,$52.30 B,OXY,Energy,Oil & Gas E&P,United States
"Liberty Bancshares, Inc. (OH)",,LBSI,Financials,Banks,United States
Fast Retailing Co. Ltd,$52.29 B,9983,Consumer Discretionary,Apparel Retail,Japan
NXP Semiconductors N.V.,$52.28 B,NXPI,Technology,Semiconductors,Netherlands
"Xilinx, Inc.",,XLNX,Technology,Semiconductors,United States
ITOCHU Corp,$52.19 B,8001,Industrials,Conglomerates,Japan
Eni S.p.A.,$52.00 B,ENI,Energy,Oil & Gas Integrated,Italy
Stellantis N.V.,$51.80 B,STLA,Consumer Discretionary,Auto Manufacturers,Netherlands
BCE Inc.,$51.71 B,BCE,Communication Services,Telecom Services,Canada
DENSO Corp,$51.58 B,6902,Consumer Discretionary,Auto Parts,Japan
Toyota Motor Corporation,$51.55 B,7203,Consumer Discretionary,Auto Manufacturers,Japan
"L3Harris Technologies, Inc.",$51.51 B,LHX,Industrials,Aerospace & Defense,United States
"AgriBank, FCB",,AGRIP,Financials,Credit Services,United States
General Accident plc,$51.43 B,GACA,Financials,Insurance—Property & Casualty,United Kingdom
Archer-Daniels-Midland Company,$51.03 B,ADM,Consumer Staples,Farm Products,United States
"American Electric Power Company, Inc.",$50.95 B,AEP,Utilities,Utilities—Regulated Electric,United States
Fortescue Metals Group Limited,$50.76 B,FMG,Basic Materials,Other Industrial Metals & Mining,Australia
Hon Hai Precision Industry Co. Ltd,$50.75 B,2317,Technology,Electronic Components,Taiwan
China Tourism Group Duty Free Corp Ltd,$50.46 B,601888,Consumer Discretionary,Travel Services,China
Ecolab Inc.,$50.29 B,ECL,Basic Materials,Specialty Chemicals,United States
Novatek PJSC,$50.19 B,NVTK,Energy,Oil & Gas E&P,Russia
"Synopsys, Inc.",$50.18 B,SNPS,Technology,Software—Infrastructure,United States
Safran SA,$50.02 B,SAF,Industrials,Aerospace & Defense,France
"Illumina, Inc.",$49.91 B,ILMN,Healthcare,Diagnostics & Research,United States
"MercadoLibre, Inc.",$49.83 B,MELI,Consumer Discretionary,Internet Retail,Argentina
"Roper Technologies, Inc.",$49.66 B,ROP,Industrials,Specialty Industrial Machinery,United States
The Kraft Heinz Company,$49.42 B,KHC,Consumer Staples,Packaged Foods,United States
Centene Corporation,$49.32 B,CNC,Healthcare,Healthcare Plans,United States
"Paychex, Inc.",$49.23 B,PAYX,Industrials,Staffing & Employment Services,United States
"Honda Motor Co., Ltd.",$49.11 B,7267,Consumer Discretionary,Auto Manufacturers,Japan
Lloyds Banking Group plc,$43.70 B,LLOY,Financials,Banks,United Kingdom
"Simon Property Group, Inc.",$43.69 B,SPG,Real Estate,REIT—Retail,United States
Aflac Incorporated,$43.59 B,AFL,Financials,Insurance—Life,United States
Barrick Gold Corporation,$43.50 B,ABX,Basic Materials,Gold,Canada
Murata Manufacturing Co. Ltd,$43.41 B,6981,Technology,Electronic Components,Japan
"Kinder Morgan, Inc.",$43.38 B,KMI,Energy,Oil & Gas Midstream,United States
Kimberly-Clark Corporation,$43.21 B,KMB,Consumer Staples,Household & Personal Products,United States
Xiaomi Corp,$43.10 B,1810,Technology,Consumer Electronics,China
Wesfarmers Limited,$43.09 B,WES,Consumer Discretionary,Home Improvement Retail,Australia
"Republic Services, Inc.",$42.91 B,RSG,Industrials,Waste Management,United States
HOYA Corp,$42.88 B,7741,Healthcare,Medical Instruments & Supplies,Japan
Yihai Kerry Arawana Holdings Co. Ltd,$42.84 B,300999,Consumer Staples,Packaged Foods,China
Monster Beverage Corporation,$42.81 B,MNST,Consumer Staples,Beverages—Non-Alcoholic,United States
LONGi Green Energy Technology Co. Ltd,$42.68 B,601012,Technology,Semiconductor Equipment & Materials,China
"Corteva, Inc.",$42.66 B,CTVA,Basic Materials,Agricultural Inputs,United States
"General Mills, Inc.",$42.65 B,GIS,Consumer Staples,Packaged Foods,United States
Seven & i Holdings Co. Ltd,$42.53 B,3382,Consumer Staples,Grocery Stores,Japan
DSV PANALPINA A-S,$42.49 B,DSV,Industrials,Integrated Freight & Logistics,Denmark
Hilton Worldwide Holdings Inc.,$42.39 B,HLT,Consumer Discretionary,Lodging,United States
WuXi AppTec Co. Ltd,$42.25 B,603259,Healthcare,Diagnostics & Research,China
Sysco Corporation,$42.22 B,SYY,Consumer Staples,Food Distribution,United States
The Kroger Co.,$42.03 B,KR,Consumer Staples,Grocery Stores,United States
Manulife Financial Corporation,$41.98 B,MFC,Financials,Insurance—Life,Canada
BioNTech SE,$41.93 B,22UA,Healthcare,Biotechnology,Germany
STMicroelectronics N.V.,$41.91 B,STM,Technology,Semiconductors,Switzerland
Devon Energy Corporation,$41.82 B,DVN,Energy,Oil & Gas E&P,United States
"The Williams Companies, Inc.",$41.60 B,WMB,Energy,Oil & Gas Midstream,United States
The Allstate Corporation,$41.54 B,ALL,Financials,Insurance—Property & Casualty,United States
Hang Seng Bank Limited,$41.47 B,0011,Financials,Banks,Hong Kong
Valero Energy Corporation,$41.27 B,VLO,Energy,Oil & Gas Refining & Marketing,United States
ING Groep N.V.,$41.25 B,INGA,Financials,Banks,Netherlands
MMC Norilsk Nickel PJSC,$41.16 B,GMKN,Basic Materials,Other Industrial Metals & Mining,Russia
"Motorola Solutions, Inc.",$40.87 B,MSI,Technology,Communication Equipment,United States
"East Money Information Co.,Ltd.",$40.83 B,300059,Communication Services,Internet Content & Information,China
The Bank of New York Mellon Corporation,$40.83 B,BK,Financials,Asset Management,United States
Carrier Global Corporation,$40.79 B,CARR,Industrials,Building Products & Equipment,United States
Oversea-Chinese Banking Corp Ltd,$40.77 B,O39,Financials,Banks,Singapore
"Digital Realty Trust, Inc.",$40.64 B,DLR,Real Estate,REIT—Office,United States
"Walgreens Boots Alliance, Inc.",$40.55 B,WBA,Healthcare,Pharmaceutical Retailers,United States
"Agilent Technologies, Inc.",$40.49 B,A,Healthcare,Diagnostics & Research,United States
Global Payments Inc.,$40.35 B,GPN,Industrials,Specialty Business Services,United States
CITIC Securities Company Ltd,$40.17 B,600030,Financials,Capital Markets,China
Baxter International Inc.,$40.13 B,BAX,Healthcare,Medical Instruments & Supplies,United States
BOC Hong Kong Holdings Ltd,$39.99 B,2388,Financials,Banks,Hong Kong
MSCI Inc.,$39.97 B,MSCI,Financials,Financial Data & Stock Exchanges,United States
Welltower Inc.,$39.96 B,WELL,Real Estate,REIT—Healthcare Facilities,United States
Xcel Energy Inc.,$39.76 B,XEL,Utilities,Utilities—Regulated Electric,United States
United Overseas Bank Ltd,$39.73 B,U11,Financials,Banks,Singapore
Wanhua Chemical Group Co. Ltd,$39.73 B,600309,Basic Materials,Chemicals,China
"DuPont de Nemours, Inc.",$39.72 B,DD,Basic Materials,Chemicals,United States
EQT AB,$39.71 B,6EQ,Financials,Asset Management,Japan
Alimentation Couche-Tard Inc.,,ATD.B,Consumer Staples,Grocery Stores,Canada
eBay Inc.,$39.34 B,EBAY,Consumer Discretionary,Internet Retail,United States
Givaudan SA,$39.29 B,GIVN,Basic Materials,Specialty Chemicals,Switzerland
Novozymes A-S,$39.03 B,NZYM.B,Basic Materials,Chemicals,Denmark
Prudential plc,$39.00 B,PRU,Financials,Insurance—Life,United Kingdom
Alcon Inc.,$38.90 B,ALC,Healthcare,Medical Instruments & Supplies,Switzerland
Ecopetrol SA,$38.69 B,EC,,,
Baker Hughes Company,$38.39 B,BKR,Energy,Oil & Gas Equipment & Services,United States
"Banco Bilbao Vizcaya Argentaria, SA",$38.25 B,BBVA,Financials,Banks,Spain
Dell Technologies Inc.,$38.16 B,DELL,Technology,Computer Hardware,United States
Kuaishou Technology,$38.15 B,1024,Communication Services,Broadcasting,China
AB Volvo,$38.13 B,VOL4,Industrials,Farm & Heavy Construction Machinery,Sweden
Crédit Agricole SA,$38.01 B,ACA,Financials,Banks,France
"Dollar Tree, Inc.",$38.00 B,DLTR,Consumer Staples,Discount Stores,United States
SBA Communications Corporation,$37.93 B,SBAC,Real Estate,REIT—Specialty,United States
Capgemini SE,$37.82 B,CAP,Technology,Information Technology Services,France
Daiichi Sankyo Company Ltd,$37.79 B,4568,Healthcare,Drug Manufacturers—General,Japan
Compass Group plc,$37.73 B,CPG,Consumer Discretionary,Restaurants,United Kingdom
Sartorius Stedim Biotech SA,$37.55 B,DIM,Healthcare,Medical Instruments & Supplies,France
PT Bank Rakyat Indonesia (Persero) Tbk,,BYRA,Financials,Banks,Indonesia
Phillips 66,$37.51 B,PSX,Energy,Oil & Gas Refining & Marketing,United States
Electronic Arts Inc.,$37.38 B,EA,Communication Services,Electronic Gaming & Multimedia,United States
Trane Technologies plc,$37.36 B,TT,Industrials,Specialty Industrial Machinery,Ireland
SMC Corp,$37.08 B,6273,Industrials,Specialty Industrial Machinery,Japan
Parker-Hannifin Corporation,$37.05 B,PH,Industrials,Specialty Industrial Machinery,United States
"Tokio Marine Holdings, Inc.",,8766,Financials,Insurance—Property & Casualty,Japan
Jiangsu Hengrui Medicine Co. Ltd,$36.90 B,600276,Healthcare,Drug Manufacturers—General,China
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",$36.90 B,601816,Industrials,Railroads,China
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,$36.89 B,MUV2,Financials,Insurance—Reinsurance,Germany
"DoorDash, Inc.",$36.74 B,DASH,Communication Services,Internet Content & Information,United States
Shanghai Pudong Development Bank Co. Ltd,$36.72 B,600000,Financials,Banks,China
Constellation Software Inc.,$36.67 B,CSU,Technology,Software—Application,Canada
Inner Mongolia Yili Industrial Group Co. Ltd,$36.61 B,600887,Consumer Staples,Packaged Foods,China
TELUS Corporation,$36.37 B,T,Communication Services,Telecom Services,Canada
Public Service Enterprise Group Incorporated,$36.28 B,PEG,Utilities,Utilities—Diversified,United States
TransDigm Group Incorporated,$36.14 B,TDG,Industrials,Aerospace & Defense,United States
"Waste Connections, Inc.",$36.14 B,WCN,Industrials,Waste Management,United States
LyondellBasell Industries N.V.,$35.96 B,LYB,Basic Materials,Specialty Chemicals,United States
Danone SA,$35.93 B,BN,Consumer Staples,Packaged Foods,France
"Cloudflare, Inc.",$35.92 B,NET,Technology,Software—Infrastructure,United States
NIO Limited,$35.86 B,NIO,Consumer Discretionary,Auto Manufacturers,China
"Coinbase Global, Inc.",$35.86 B,COIN,Technology,Software—Application,United States
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",$35.84 B,600809,Consumer Staples,Beverages—Wineries & Distilleries,China
Neste Oyj,$35.57 B,NESTE,Energy,Oil & Gas Refining & Marketing,Finland
ResMed Inc.,$35.44 B,RMD,Healthcare,Medical Instruments & Supplies,United States
Experian plc,$35.40 B,EXPN,Industrials,Consulting Services,Ireland
"Intuitive Surgical, Inc.",$35.37 B,ISRG,Healthcare,Medical Instruments & Supplies,United States
Woolworths Group Limited,$35.33 B,WOW,Consumer Staples,Grocery Stores,Australia
MPLX LP,$35.27 B,MPLX,Energy,Oil & Gas Midstream,United States
Telstra Corporation Limited,$35.24 B,TLS,Communication Services,Telecom Services,Australia
Hexagon AB ,$35.21 B,HXG,Technology,Scientific & Technical Instruments,Sweden
Assicurazioni Generali,$35.20 B,G,Financials,Insurance—Diversified,Italy
"AvalonBay Communities, Inc.",$35.19 B,AVB,Real Estate,REIT—Residential,United States
Imperial Oil Limited,$35.13 B,IMO,Energy,Oil & Gas Integrated,Canada
"Yum! Brands, Inc.",$35.12 B,YUM,Consumer Discretionary,Restaurants,United States
Sun Hung Kai Properties Ltd,$35.04 B,0016,Real Estate,Real Estate—Development,Hong Kong
"Old Dominion Freight Line, Inc.",$34.94 B,ODFL,Industrials,Trucking,United States
"Cheniere Energy, Inc.",$34.92 B,LNG,Energy,Oil & Gas Midstream,United States
"Consolidated Edison, Inc.",$34.89 B,ED,Utilities,Utilities—Regulated Electric,United States
China CITIC Bank Corp Ltd,$34.84 B,601998,Financials,Banks,China
Budweiser Brewing Company APAC Ltd,$34.73 B,1876,Consumer Staples,Beverages—Brewers,Hong Kong
ArcelorMittal,$34.66 B,MT,,,
"Ameriprise Financial, Inc.",$34.64 B,AMP,Financials,Asset Management,United States
Fastenal Company,$34.58 B,FAST,Industrials,Industrial Distribution,United States
"Align Technology, Inc.",$34.49 B,ALGN,Healthcare,Medical Devices,United States
VERBUND AG,$34.44 B,OEW,,,
Sydney Airport Limited,,SYD,Industrials,Airports & Air Services,Australia
"Verisk Analytics, Inc.",$34.39 B,VRSK,Industrials,Consulting Services,United States
Z Holdings Corp,$34.24 B,4689,Consumer Discretionary,Internet Retail,Japan
Arthur J. Gallagher & Co.,$34.22 B,AJG,Financials,Insurance Brokers,United States
Chongqing Zhifei Biological Products Co. Ltd,$34.13 B,300122,Healthcare,Biotechnology,China
Equity Residential,$34.11 B,EQR,Real Estate,REIT—Residential,United States
"Chunghwa Telecom Co., Ltd.",$34.06 B,2412,Communication Services,Telecom Services,Taiwan
"T. Rowe Price Group, Inc.",$34.01 B,TROW,Financials,Asset Management,United States
Halliburton Company,$33.95 B,HAL,Energy,Oil & Gas Equipment & Services,United States
"Tyson Foods, Inc.",$33.73 B,TSN,Consumer Staples,Farm Products,United States
Discover Financial Services,$33.73 B,DFS,Financials,Credit Services,United States
Kuehne + Nagel International AG,$33.69 B,KNIN,Industrials,Integrated Freight & Logistics,Switzerland
FANUC Corp,$33.68 B,6954,Industrials,Specialty Industrial Machinery,Japan
MTR Corp Ltd,$33.66 B,0066,Industrials,Railroads,Hong Kong
Poly Developments and Holdings Group Co. Ltd,$33.64 B,600048,Real Estate,Real Estate—Development,China
KKR & Co. Inc.,$33.49 B,KKR,Financials,Asset Management,United States
"Mizuho Financial Group, Inc.",$33.47 B,8411,Financials,Banks,Japan
PTT PCL,$33.46 B,PTT,Energy,Oil & Gas Integrated,Thailand
Koninklijke Ahold Delhaize N.V.,$33.43 B,AD,Consumer Staples,Grocery Stores,Netherlands
China Vanke Co. Ltd,$33.35 B,000002,Real Estate,Real Estate—Development,China
International Flavors & Fragrances Inc.,$33.32 B,IFF,Basic Materials,Specialty Chemicals,United States
Telefonaktiebolaget LM Ericsson,$33.29 B,ERIC.A,Technology,Communication Equipment,Sweden
China Resources Land Ltd,$33.26 B,1109,Real Estate,Real Estate—Development,Hong Kong
"Zoom Video Communications, Inc.",$33.22 B,ZM,Communication Services,Telecom Services,United States
Otis Worldwide Corporation,$33.09 B,OTIS,Industrials,Specialty Industrial Machinery,United States
Sun Life Financial Inc.,$33.08 B,SLF,Financials,Insurance—Diversified,Canada
"Rockwell Automation, Inc.",$33.05 B,ROK,Industrials,Specialty Industrial Machinery,United States
Aptiv PLC,$33.02 B,APTV,Consumer Discretionary,Auto Parts,Ireland
Cenovus Energy Inc.,$33.02 B,CVE,Energy,Oil & Gas Integrated,Canada
Deutsche Börse AG,$32.99 B,DB1,Financials,Financial Data & Stock Exchanges,Germany
Orange SA,$32.84 B,ORA,Communication Services,Telecom Services,France
Hess Corporation,$32.81 B,HES,Energy,Oil & Gas E&P,United States
NatWest Group plc,$32.72 B,NWG,Financials,Banks,United Kingdom
"Ross Stores, Inc.",$32.71 B,ROST,Consumer Discretionary,Apparel Retail,United States
"WEC Energy Group, Inc.",$32.54 B,WEC,Utilities,Utilities—Regulated Electric,United States
AmerisourceBergen Corporation,$32.51 B,ABC,Healthcare,Medical Distribution,United States
China Overseas Land & Investment Ltd,$32.49 B,0688,Real Estate,Real Estate—Development,Hong Kong
WuXi Biologics ,$32.41 B,2269,Healthcare,Biotechnology,China
CITIC Ltd,$32.33 B,0267,Industrials,Conglomerates,Hong Kong
"Cellnex Telecom, SA",$32.32 B,CLNX,Communication Services,Telecom Services,Spain
Haier Smart Home Co Ltd,$32.31 B,600690,Consumer Discretionary,"Furnishings, Fixtures & Appliances",China
Singapore Telecommunications Ltd,$32.23 B,Z74,Communication Services,Telecom Services,Singapore
ANTA Sports Products Ltd,$32.20 B,2020,Consumer Discretionary,Leisure,China
Barclays plc,$32.19 B,BARC,Financials,Banks,United Kingdom
Brown-Forman Corporation,$32.07 B,BF.B,Consumer Staples,Beverages—Wineries & Distilleries,United States
WEG SA,$32.05 B,WEGE3,Industrials,Specialty Industrial Machinery,Brazil
PACCAR Inc,$32.04 B,PCAR,Industrials,Farm & Heavy Construction Machinery,United States
Great Wall Motor Co Ltd,$32.01 B,601633,Consumer Discretionary,Auto Manufacturers,China
Longfor Group Holdings Ltd,$31.98 B,0960,Real Estate,Real Estate—Development,China
"JAPAN POST BANK Co.,Ltd.",$31.93 B,7182,Financials,Banks,Japan
"PPG Industries, Inc.",$31.89 B,PPG,Basic Materials,Specialty Chemicals,United States
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,$31.78 B,TLK,Communication Services,Telecom Services,Indonesia
Mettler-Toledo International Inc.,$31.78 B,MTD,Healthcare,Diagnostics & Research,United States
"ONEOK, Inc.",$31.66 B,OKE,Energy,Oil & Gas Midstream,United States
Goodman Group,$31.64 B,GMG,Real Estate,REIT—Diversified,Australia
Corning Incorporated,$31.60 B,GLW,Technology,Electronic Components,United States
"Japan Tobacco, Inc.",$31.59 B,2914,Consumer Staples,Tobacco,Japan
Foxconn Industrial Internet Co. Ltd,$31.58 B,601138,Technology,Communication Equipment,China
Eversource Energy,$31.56 B,ES,Utilities,Utilities—Regulated Electric,United States
China Telecom Corp Ltd,$31.49 B,0728,Communication Services,Telecom Services,Hong Kong
CRH plc,$31.45 B,CRH,Basic Materials,Building Materials,Ireland
Japan Post Holdings Co. Ltd,$31.41 B,6178,Financials,Banks,Japan
Biogen Inc.,$31.35 B,BIIB,Healthcare,Drug Manufacturers—General,United States
Swisscom AG,$31.26 B,SCMN,Communication Services,Telecom Services,Switzerland
Koninklijke DSM N.V.,$31.25 B,DSM,Basic Materials,Specialty Chemicals,Netherlands
Formosa Petrochemical Corp,$31.22 B,6505,Energy,Oil & Gas Refining & Marketing,Taiwan
Zhangzhou Pientzehuang Pharmaceutical. Ltd,$31.17 B,600436,Healthcare,Drug Manufacturers—General,China
"AMETEK, Inc.",$31.15 B,AME,Industrials,Specialty Industrial Machinery,United States
E.ON SE,$31.12 B,EOAA,Utilities,Utilities—Diversified,Germany
China Pacific Insurance ,$31.04 B,601601,Financials,Insurance—Life,China
"Zscaler, Inc.",$31.03 B,ZS,Technology,Software—Infrastructure,United States
Anhui Conch Cement Company Ltd,$31.02 B,600585,Basic Materials,Building Materials,China
Franco-Nevada Corporation,$31.00 B,FNV,Basic Materials,Gold,Canada
Engie SA,$31.00 B,ENGI,Utilities,Utilities—Diversified,France
State Street Corporation,$30.95 B,STT,Financials,Asset Management,United States
SAIC Motor Corp Ltd,$30.93 B,600104,Consumer Discretionary,Auto Manufacturers,China
Nokia Corporation,$30.91 B,NOKIA.SEK,Technology,Communication Equipment,Finland
"Twitter, Inc.",$30.83 B,TWTR,Communication Services,Internet Content & Information,United States
Veeva Systems Inc.,$30.76 B,VEEV,Healthcare,Health Information Services,United States
Loblaw Companies Limited,$30.70 B,L,Consumer Staples,Grocery Stores,Canada
Energy Transfer LP,$30.69 B,ET,Energy,Oil & Gas Midstream,United States
Henkel AG & Co KGaA,$30.53 B,HEN,Consumer Staples,Household & Personal Products,Germany
"Coupang, Inc.",$30.53 B,CPNG,Consumer Discretionary,Internet Retail,South Korea
Ferguson plc,$30.52 B,FERG,Industrials,Industrial Distribution,United Kingdom
BAE Systems plc,$30.51 B,BA.,Industrials,Aerospace & Defense,United Kingdom
Fifth Third Bancorp,$30.46 B,FITB,Financials,Banks,United States
"CBRE Group, Inc.",$30.45 B,CBRE,Real Estate,Real Estate Services,United States
"American Water Works Company, Inc.",$30.43 B,AWK,Utilities,Utilities—Regulated Water,United States
Fujitsu Ltd,$30.28 B,6702,Technology,Information Technology Services,Japan
"West Pharmaceutical Services, Inc.",$30.23 B,WST,Healthcare,Medical Instruments & Supplies,United States
Compagnie de Saint-Gobain SA,$30.16 B,SGO,Industrials,Building Products & Equipment,France
"Alexandria Real Estate Equities, Inc.",$30.10 B,ARE,Real Estate,REIT—Office,United States
ASSA ABLOY AB ,$30.05 B,ALZ,Industrials,Security & Protection Services,Sweden
Cummins Inc.,$29.94 B,CMI,Industrials,Specialty Industrial Machinery,United States
Vestas Wind Systems A-S,$29.93 B,VWS,Industrials,Specialty Industrial Machinery,Denmark
Riyad Bank,$29.86 B,1010,Financials,Banks,Saudi Arabia
Willis Towers Watson plc,,WLTW,Financials,Insurance Brokers,United Kingdom
"Match Group, Inc.",$29.82 B,MTCH,Communication Services,Internet Content & Information,United States
KBC Group NV,$29.81 B,KDB,Financials,Banks,Belgium
UniCredit S.p.A.,,UCG,Financials,Banks,Italy
Cathay Financial Holding Co. Ltd,$29.58 B,2882,Financials,Insurance—Life,Taiwan
"Copart, Inc.",$29.58 B,CPRT,Industrials,Specialty Business Services,United States
Spotify Technology SA,$29.56 B,SPOT,,,
"Nasdaq, Inc.",$29.52 B,NDAQ,Financials,Financial Data & Stock Exchanges,United States
Weyerhaeuser Company,$29.42 B,WY,Real Estate,REIT—Specialty,United States
Saudi Electricity Company,$29.42 B,5110,Utilities,Utilities—Regulated Electric,Saudi Arabia
Ball Corporation,$29.40 B,BLL,Consumer Discretionary,Packaging & Containers,United States
"Keysight Technologies, Inc.",$29.40 B,KEYS,Technology,Scientific & Technical Instruments,United States
"Astellas Pharma, Inc.",$29.22 B,4503,Healthcare,Drug Manufacturers—General,Japan
"Amadeus IT Group, SA",$29.19 B,AMS,Technology,Information Technology Services,Spain
Electricité de France SA,$29.17 B,EDF,Utilities,Utilities—Diversified,France
Rogers Communications Inc.,$29.13 B,RCI.B,Communication Services,Telecom Services,Canada
Tongwei Co. Ltd,$29.10 B,600438,Consumer Staples,Farm Products,China
Las Vegas Sands Corp.,$29.07 B,LVS,Consumer Discretionary,Resorts & Casinos,United States
RWE AG,$29.06 B,RWE,Utilities,Utilities—Diversified,Germany
COSCO SHIPPING Holdings Co Ltd,$28.93 B,601919,Industrials,Marine Shipping,China
SVB Financial Group,$28.91 B,SIVB,Financials,Banks,United States
CSX Corporation,$28.90 B,CSX,Industrials,Railroads,United States
Techtronic Industries Company Ltd,$28.75 B,0669,Industrials,Tools & Accessories,Hong Kong
"Naturgy Energy Group, SA",$28.71 B,NTGY,Utilities,Utilities—Regulated Gas,Spain
APA Group,$28.55 B,APA,Utilities,Utilities—Regulated Gas,Australia
Hormel Foods Corporation,$28.52 B,HRL,Consumer Staples,Packaged Foods,United States
Cerner Corporation,$28.31 B,CERN,Healthcare,Health Information Services,United States
Ashtead Group plc,$28.28 B,AHT,Industrials,Rental & Leasing Services,United Kingdom
Equifax Inc.,$28.24 B,EFX,Industrials,Consulting Services,United States
Semiconductor Manufacturing International Corp,$28.24 B,688981,Technology,Semiconductors,China
Porsche Automobil Holding SE,$28.15 B,PAHA,Consumer Discretionary,Auto Manufacturers,Germany
Tesco plc,$28.11 B,TSCO,Consumer Staples,Grocery Stores,United Kingdom
Sirius XM Holdings Inc.,$28.05 B,SIRI,Communication Services,Broadcasting,United States
Airports of Thailand Public Company Ltd,$28.00 B,AOT,Industrials,Airports & Air Services,Thailand
CK Hutchison Holdings Ltd,$27.94 B,0001,Industrials,Conglomerates,Hong Kong
The People's Insurance Company (Group) of China Ltd,$27.93 B,601319,Financials,Insurance—Property & Casualty,China
"Expedia Group, Inc.",$27.91 B,EXPE,Consumer Discretionary,Travel Services,United States
First Republic Bank,$27.90 B,FRC,Financials,Banks,United States
Koninklijke Philips N.V.,$27.89 B,PHIA,Healthcare,Diagnostics & Research,Netherlands
Great-West Lifeco Inc.,$27.85 B,GWO,Financials,Insurance—Life,Canada
Thai Beverage Public Company Ltd,$27.81 B,Y92,Consumer Staples,Beverages—Wineries & Distilleries,Thailand
Swiss Re AG,$27.80 B,SREN,Financials,Insurance—Reinsurance,Switzerland
Edison International,$27.67 B,EIX,Utilities,Utilities—Regulated Electric,United States
Wolters Kluwer N.V.,$27.65 B,WKL,Communication Services,Publishing,Netherlands
ON Semiconductor Corporation,$27.63 B,ON,Technology,Semiconductors,United States
"CaixaBank, SA",$27.58 B,CABK,Financials,Banks,Spain
Sampo Oyj,$27.46 B,SAMPO,Financials,Insurance—Diversified,Finland
Extra Space Storage Inc.,$27.37 B,EXR,Real Estate,REIT—Industrial,United States
Sartorius AG,$27.35 B,SRT,Healthcare,Medical Instruments & Supplies,Germany
"D.R. Horton, Inc.",$27.34 B,DHI,Consumer Discretionary,Residential Construction,United States
"W.W. Grainger, Inc.",$27.33 B,GWW,Industrials,Industrial Distribution,United States
NARI Technology Co. Ltd,$27.33 B,600406,Industrials,Specialty Industrial Machinery,China
KONE Oyj,$27.29 B,KNEBV,Industrials,Specialty Industrial Machinery,Finland
"McCormick & Company, Incorporated",$27.29 B,MKC,Consumer Staples,Packaged Foods,United States
NTT Data Corp,$27.26 B,9613,Technology,Information Technology Services,Japan
Ganfeng Lithium Co. Ltd,$27.25 B,002460,Basic Materials,Chemicals,China
Will Semiconductor Co. Ltd,$27.24 B,603501,Technology,Semiconductors,China
"Interactive Brokers Group, Inc.",$27.22 B,IBKR,Financials,Capital Markets,United States
Gazprom Neft PJSC,$27.14 B,SIBN,Energy,Oil & Gas Integrated,Russia
Fubon Financial Holding Co. Ltd,$27.13 B,2881,Financials,Insurance—Life,Taiwan
Tractor Supply Company,$27.09 B,TSCO,Consumer Discretionary,Specialty Retail,United States
