00-avengers-country,01-DDD-country,02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country
china,hong-kong,usa,usa,china,china,usa
usa,france,china,usa,usa,usa,usa
usa,united-kingdom,usa,usa,usa,usa,usa
china,brazil,france,china,france,china,india
usa,israel,india,china,usa,usa,usa
usa,india,china,india,usa,china,china
usa,canada,usa,china,usa,usa,uk
china,australia,usa,france,china,netherlands,usa
france,usa,usa,usa,usa,france,china
usa,usa,usa,usa,uk,usa,usa
china,india,usa,usa,usa,usa,germany
usa,usa,uk,usa,china,usa,canada
india,usa,china,uk,russia,usa,usa
usa,usa,usa,canada,uk,usa,usa
usa,usa,canada,hong kong,china,usa,usa
usa,france,germany,china,usa,usa,china
usa,usa,usa,usa,usa,china,usa
australia,switzerland,usa,uk,saudi arabia,canada,china
usa,united-kingdom,china,usa,south korea,uk,china
usa,usa,china,usa,usa,india,hong kong
usa,new-zealand,hong kong,china,usa,germany,india
uk,usa,china,usa,china,usa,usa
usa,usa,usa,germany,usa,hong kong,uk
france,usa,china,usa,usa,china,usa
usa,usa,usa,usa,usa,usa,australia
germany,india,usa,china,usa,usa,uk
china,usa,uk,china,usa,china,usa
switzerland,usa,usa,belgium,germany,australia,china
canada,switzerland,usa,india,netherlands,uk,usa
china,usa,usa,usa,usa,usa,usa
switzerland,usa,australia,france,canada,usa,france
usa,united-kingdom,uk,usa,usa,france,germany
usa,usa,india,usa,usa,belgium,usa
usa,south-korea,belgium,china,usa,china,canada
usa,china,usa,usa,canada,switzerland,china
usa,usa,france,uk,japan,usa,belgium
netherlands,spain,usa,usa,argentina,canada,usa
usa,indonesia,germany,usa,usa,usa,usa
japan,china,china,canada,australia,usa,usa
uk,usa,canada,australia,usa,china,china
china,usa,usa,germany,netherlands,norway,usa
australia,usa,china,usa,usa,usa,usa
usa,canada,usa,usa,usa,usa,usa
usa,canada,usa,usa,usa,uk,usa
usa,usa,usa,usa,usa,china,usa
germany,usa,usa,usa,china,usa,usa
japan,india,usa,china,usa,usa,usa
japan,usa,china,usa,denmark,usa,usa
germany,usa,usa,usa,usa,usa,usa
ireland,switzerland,usa,ireland,usa,germany,japan
south korea,india,germany,china,china,usa,germany
china,spain,usa,uk,usa,uk,uk
uk,usa,usa,germany,germany,usa,ireland
uk,none,usa,usa,usa,china,china
usa,usa,uae,japan,switzerland,uk,united arab emirates
usa,india,uk,usa,japan,ireland,japan
usa,usa,ireland,uk,india,usa,uk
china,usa,china,usa,usa,usa,china
usa,canada,japan,norway,spain,germany,usa
usa,spain,uk,japan,usa,china,usa
uk,india,japan,china,japan,japan,japan
germany,singapore,usa,usa,hong kong,china,netherlands
france,usa,germany,netherlands,canada,japan,germany
china,none,japan,usa,south korea,usa,australia
usa,usa,japan,usa,china,germany,usa
china,usa,netherlands,switzerland,china,australia,usa
norway,united-kingdom,usa,usa,china,usa,norway
usa,malaysia,norway,japan,usa,japan,usa
usa,sweden,usa,usa,netherlands,usa,germany
belgium,israel,australia,usa,canada,netherlands,usa
hong kong,germany,usa,germany,usa,uk,usa
usa,japan,germany,usa,usa,usa,japan
usa,usa,usa,uk,japan,usa,spain
usa,india,switzerland,australia,ireland,switzerland,usa
uk,usa,usa,germany,germany,usa,usa
usa,usa,germany,japan,usa,usa,switzerland
china,usa,spain,spain,switzerland,usa,switzerland
australia,france,usa,usa,usa,usa,usa
usa,usa,usa,usa,france,switzerland,usa
usa,usa,usa,germany,canada,germany,france
canada,usa,s. korea,usa,usa,s. korea,usa
usa,usa,usa,usa,canada,germany,usa
brazil,india,france,usa,germany,usa,south korea
france,united-kingdom,usa,france,usa,france,germany
china,usa,usa,switzerland,china,canada,usa
usa,usa,switzerland,canada,usa,usa,uk
india,usa,usa,usa,usa,usa,france
germany,usa,usa,canada,hong kong,germany,usa
usa,usa,uk,france,usa,spain,brazil
usa,australia,brazil,brazil,canada,usa,usa
spain,usa,france,s. korea,brazil,usa,canada
canada,usa,canada,usa,uk,usa,switzerland
usa,germany,switzerland,switzerland,usa,france,usa
usa,usa,canada,s. arabia,china,canada,canada
usa,ireland,usa,usa,germany,usa,saudi arabia
france,switzerland,s. arabia,usa,usa,usa,france
france,canada,usa,usa,uk,usa,china
usa,none,france,usa,sweden,india,usa
saudi arabia,hong-kong,usa,france,usa,s. arabia,france
usa,usa,china,usa,usa,usa,usa
usa,singapore,usa,germany,france,brazil,usa
usa,israel,france,usa,japan,india,india
india,usa,germany,france,usa,usa,usa
germany,south-africa,usa,china,belgium,china,germany
usa,south-korea,usa,india,usa,france,usa
usa,india,germany,usa,usa,india,usa
usa,usa,india,germany,saudi arabia,switzerland,china
usa,china,usa,usa,germany,usa,germany
usa,usa,china,india,usa,usa,usa
usa,usa,usa,usa,usa,uk,saudi arabia
indonesia,spain,usa,usa,usa,russia,india
canada,canada,s. arabia,usa,japan,germany,brazil
switzerland,south-korea,usa,india,taiwan,canada,usa
usa,none,india,china,usa,china,usa
uk,usa,india,canada,sweden,usa,usa
france,usa,usa,s. arabia,india,usa,usa
germany,usa,france,usa,germany,switzerland,india
china,united-kingdom,usa,uk,usa,usa,canada
usa,none,canada,usa,usa,spain,usa
usa,germany,usa,switzerland,usa,japan,uk
russia,france,usa,spain,usa,usa,china
brazil,india,uk,usa,china,usa,usa
switzerland,hong-kong,usa,usa,usa,usa,spain
usa,usa,spain,usa,china,france,china
india,israel,usa,china,china,usa,switzerland
spain,united-kingdom,usa,usa,uk,usa,france
usa,united-kingdom,china,usa,japan,usa,usa
usa,south-africa,china,france,japan,usa,china
usa,india,usa,usa,china,usa,france
china,usa,france,france,usa,usa,canada
sweden,none,switzerland,usa,usa,japan,usa
france,usa,brazil,canada,china,france,australia
usa,usa,uae,china,canada,indonesia,usa
switzerland,usa,australia,brazil,south korea,india,united arab emirates
uk,usa,mexico,usa,hong kong,china,indonesia
usa,usa,usa,usa,usa,usa,usa
germany,usa,canada,usa,usa,usa,switzerland
usa,south-korea,usa,singapore,usa,usa,uk
switzerland,usa,singapore,indonesia,usa,australia,usa
india,canada,china,usa,mexico,usa,singapore
usa,none,usa,japan,china,s. arabia,mexico
usa,usa,usa,india,usa,usa,japan
saudi arabia,usa,indonesia,usa,japan,singapore,china
sweden,india,india,mexico,luxembourg,france,canada
usa,australia,japan,ireland,usa,usa,usa
usa,usa,usa,japan,china,japan,mexico
usa,usa,switzerland,china,usa,ireland,usa
usa,canada,usa,uk,japan,china,japan
germany,usa,china,switzerland,south korea,usa,usa
usa,japan,germany,australia,usa,japan,usa
canada,norway,uk,china,usa,japan,india
japan,france,ireland,china,japan,uk,usa
india,germany,usa,usa,uk,china,usa
mexico,canada,usa,usa,canada,usa,france
usa,usa,usa,usa,usa,canada,germany
,none,mexico,usa,singapore,austria,usa
japan,poland,china,germany,south korea,china,usa
usa,south-africa,usa,usa,india,canada,usa
uk,japan,japan,mexico,ireland,mexico,usa
china,japan,usa,usa,uk,germany,usa
china,brazil,usa,japan,denmark,sweden,usa
usa,australia,italy,switzerland,usa,usa,switzerland
usa,usa,canada,usa,brazil,usa,usa
usa,usa,usa,canada,canada,usa,usa
ireland,usa,usa,usa,usa,india,usa
japan,chile,usa,usa,usa,brazil,japan
singapore,usa,usa,usa,sweden,india,usa
usa,switzerland,switzerland,canada,usa,usa,italy
usa,usa,usa,italy,japan,sweden,sweden
mexico,indonesia,usa,usa,south africa,usa,usa
india,australia,france,hong kong,india,usa,china
usa,none,china,s. arabia,china,switzerland,ireland
usa,india,sweden,usa,france,china,china
canada,canada,canada,japan,switzerland,germany,usa
usa,usa,japan,france,usa,switzerland,canada
saudi arabia,usa,usa,usa,canada,canada,china
australia,india,germany,usa,usa,s. arabia,usa
usa,switzerland,germany,india,usa,mexico,india
japan,usa,japan,india,brazil,usa,usa
france,belgium,usa,usa,usa,usa,united arab emirates
usa,usa,usa,usa,usa,usa,usa
japan,usa,china,usa,usa,usa,usa
canada,brazil,uae,usa,usa,france,germany
france,china,usa,sweden,israel,usa,germany
usa,usa,usa,sweden,canada,usa,uk
usa,usa,usa,canada,usa,italy,france
china,indonesia,usa,netherlands,usa,usa,hong kong
usa,india,usa,china,usa,usa,usa
russia,usa,s. arabia,usa,denmark,india,japan
usa,usa,usa,uk,india,australia,china
usa,usa,hong kong,usa,poland,canada,sweden
france,usa,sweden,germany,sweden,uk,usa
italy,usa,china,uk,usa,usa,usa
france,india,usa,usa,canada,usa,usa
usa,israel,france,usa,switzerland,usa,usa
uk,canada,india,japan,usa,india,china
russia,usa,australia,australia,sweden,hong kong,australia
usa,usa,uk,austria,usa,netherlands,japan
usa,usa,china,france,chile,usa,usa
uk,japan,china,china,usa,germany,usa
usa,united-kingdom,usa,china,taiwan,usa,
japan,usa,austria,usa,usa,china,usa
canada,germany,netherlands,usa,finland,usa,saudi arabia
usa,none,usa,china,france,china,netherlands
usa,united-kingdom,usa,spain,japan,russia,canada
india,switzerland,japan,usa,usa,usa,uk
usa,belgium,usa,india,mexico,china,spain
usa,usa,spain,usa,russia,france,india
usa,usa,china,russia,usa,china,usa
usa,australia,canada,china,usa,usa,china
uk,singapore,usa,usa,india,uk,
netherlands,usa,usa,china,south korea,usa,china
usa,singapore,uk,usa,belgium,usa,usa
italy,usa,india,india,ireland,usa,usa
australia,france,italy,usa,south korea,usa,india
usa,usa,india,usa,taiwan,usa,usa
china,taiwan,argentina,japan,usa,uk,japan
usa,india,france,usa,usa,japan,russia
canada,usa,usa,usa,russia,japan,france
china,india,russia,germany,taiwan,china,china
germany,israel,usa,italy,usa,russia,india
usa,usa,usa,usa,india,usa,italy
france,united-kingdom,japan,usa,usa,usa,usa
usa,usa,germany,germany,usa,usa,usa
japan,none,uk,usa,usa,india,germany
china,finland,usa,france,usa,france,japan
russia,india,usa,usa,usa,uk,usa
usa,usa,usa,usa,spain,usa,usa
ireland,switzerland,australia,india,india,usa,usa
japan,canada,usa,uk,usa,usa,australia
russia,usa,usa,s. arabia,usa,japan,japan
usa,usa,germany,usa,south africa,italy,usa
india,none,france,netherlands,thailand,usa,canada
usa,usa,japan,usa,japan,usa,china
usa,switzerland,usa,usa,norway,usa,india
usa,usa,usa,france,russia,france,uk
germany,usa,usa,japan,hong kong,japan,germany
japan,singapore,usa,usa,usa,france,usa
indonesia,switzerland,india,usa,usa,usa,usa
australia,japan,usa,usa,indonesia,usa,japan
usa,usa,japan,china,usa,china,france
,usa,france,usa,japan,japan,uk
usa,none,usa,france,india,spain,japan
china,usa,usa,japan,usa,india,usa
south korea,chile,india,netherlands,mexico,germany,germany
usa,canada,s. arabia,japan,russia,canada,china
usa,japan,india,japan,bm,australia,usa
usa,india,japan,usa,australia,usa,france
taiwan,australia,china,australia,usa,s. arabia,saudi arabia
usa,new-zealand,china,germany,usa,usa,usa
usa,china,netherlands,usa,usa,japan,japan
india,united-kingdom,netherlands,indonesia,uk,usa,usa
japan,saudi-arabia,canada,germany,usa,canada,usa
usa,united-kingdom,australia,india,usa,indonesia,australia
usa,usa,uk,usa,taiwan,japan,japan
usa,india,japan,uk,germany,usa,usa
japan,usa,china,usa,bermuda,china,saudi arabia
usa,usa,germany,china,australia,japan,usa
usa,china,usa,usa,usa,usa,usa
canada,usa,brazil,canada,usa,usa,usa
brazil,usa,usa,uk,belgium,india,netherlands
france,india,usa,usa,france,netherlands,japan
brazil,united-kingdom,usa,usa,usa,usa,australia
netherlands,canada,australia,usa,germany,japan,south korea
china,usa,usa,japan,china,netherlands,netherlands
india,france,japan,brazil,usa,china,india
saudi arabia,usa,uae,usa,hong kong,usa,australia
japan,usa,japan,china,uk,russia,japan
spain,chile,s. arabia,japan,australia,usa,brazil
germany,usa,japan,ireland,germany,usa,usa
japan,canada,china,japan,usa,japan,indonesia
netherlands,china,australia,china,china,russia,germany
australia,united-kingdom,usa,canada,usa,usa,netherlands
usa,hong-kong,usa,usa,usa,japan,usa
usa,germany,usa,s. korea,usa,usa,uk
usa,usa,s. korea,australia,germany,usa,united arab emirates
india,usa,usa,hong kong,canada,brazil,usa
usa,india,italy,usa,usa,japan,china
usa,usa,ireland,usa,india,usa,netherlands
hong kong,usa,usa,s. arabia,south africa,canada,usa
india,israel,usa,australia,usa,uk,usa
japan,usa,canada,italy,uk,china,usa
china,canada,netherlands,australia,usa,usa,indonesia
china,usa,usa,usa,hong kong,usa,usa
usa,usa,usa,netherlands,usa,australia,usa
italy,brazil,uk,s. korea,south korea,taiwan,japan
china,switzerland,usa,usa,usa,ireland,canada
usa,usa,s. korea,usa,sweden,usa,usa
usa,usa,japan,japan,taiwan,germany,usa
canada,usa,usa,taiwan,usa,germany,china
south korea,united-kingdom,japan,usa,canada,usa,japan
canada,usa,usa,netherlands,switzerland,usa,south korea
usa,none,usa,usa,usa,germany,china
usa,germany,japan,indonesia,japan,australia,italy
canada,usa,netherlands,argentina,japan,india,usa
japan,india,indonesia,india,japan,usa,china
usa,canada,usa,usa,usa,s. korea,usa
netherlands,china,usa,usa,usa,netherlands,usa
usa,usa,china,japan,malaysia,netherlands,ireland
germany,france,germany,china,belgium,usa,uk
netherlands,south-africa,taiwan,usa,france,usa,taiwan
usa,usa,usa,usa,usa,usa,italy
usa,south-korea,india,japan,ireland,usa,usa
netherlands,usa,china,india,usa,netherlands,canada
germany,usa,china,china,south korea,usa,usa
usa,spain,china,brazil,france,usa,china
usa,india,netherlands,canada,france,usa,usa
usa,canada,usa,usa,spain,gentina,usa
usa,united-kingdom,usa,china,hong kong,germany,usa
usa,sweden,china,usa,canada,usa,usa
japan,india,indonesia,canada,norway,japan,china
usa,mexico,usa,brazil,japan,usa,germany
australia,usa,canada,canada,ireland,usa,usa
usa,usa,usa,usa,sweden,s. arabia,usa
japan,south-africa,china,usa,hong kong,usa,usa
usa,india,uk,uk,usa,australia,china
usa,finland,india,singapore,usa,usa,india
saudi arabia,germany,usa,usa,japan,usa,netherlands
canada,usa,hong kong,germany,usa,usa,usa
usa,usa,brazil,china,germany,canada,usa
uk,usa,usa,usa,usa,usa,usa
japan,ireland,usa,netherlands,usa,canada,canada
usa,canada,china,usa,china,brazil,usa
china,usa,usa,china,china,malaysia,usa
china,south-africa,usa,usa,singapore,s. korea,india
usa,turkey,italy,italy,thailand,usa,singapore
usa,usa,singapore,ireland,china,italy,china
usa,south-korea,usa,japan,france,canada,usa
china,india,usa,japan,usa,usa,japan
japan,turkey,canada,usa,usa,japan,canada
usa,indonesia,brazil,finland,south korea,uk,brazil
usa,usa,canada,canada,uk,usa,usa
china,india,usa,usa,usa,usa,hong kong
australia,germany,finland,japan,usa,canada,japan
usa,germany,usa,hong kong,south korea,usa,usa
china,denmark,usa,canada,usa,china,usa
denmark,usa,japan,usa,germany,china,usa
india,usa,ireland,usa,india,china,south africa
india,usa,south africa,usa,netherlands,usa,switzerland
usa,usa,usa,usa,japan,singapore,sweden
usa,usa,usa,usa,australia,italy,usa
sweden,india,china,usa,ireland,hong kong,finland
usa,usa,usa,spain,uk,japan,usa
usa,usa,switzerland,usa,japan,china,brazil
canada,italy,japan,uk,belgium,usa,usa
taiwan,united-kingdom,usa,usa,usa,usa,spain
singapore,new-zealand,spain,denmark,netherlands,ireland,usa
denmark,denmark,usa,usa,japan,usa,uk
finland,usa,usa,usa,india,usa,china
usa,saudi-arabia,usa,china,turkey,usa,hong kong
usa,japan,usa,usa,japan,usa,uk
usa,india,denmark,usa,taiwan,japan,china
uk,usa,usa,uk,usa,usa,usa
switzerland,usa,usa,usa,thailand,russia,china
finland,new-zealand,usa,china,south africa,russia,canada
usa,india,usa,south africa,taiwan,usa,usa
usa,united-kingdom,japan,usa,usa,usa,usa
china,canada,china,usa,sweden,usa,usa
china,usa,uk,usa,poland,canada,japan
switzerland,india,japan,usa,singapore,denmark,japan
brazil,spain,china,usa,usa,switzerland,usa
switzerland,usa,usa,canada,japan,switzerland,usa
russia,india,india,singapore,usa,usa,usa
russia,japan,usa,sweden,brazil,india,australia
canada,usa,uk,hong kong,usa,hong kong,usa
india,usa,usa,switzerland,jersey,finland,germany
china,india,usa,usa,usa,australia,canada
usa,usa,hong kong,switzerland,uk,singapore,usa
south korea,usa,canada,usa,japan,china,usa
hong kong,denmark,china,china,japan,usa,japan
singapore,usa,usa,usa,poland,uk,usa
uk,canada,switzerland,usa,usa,usa,switzerland
usa,usa,japan,usa,south africa,sweden,canada
usa,usa,usa,denmark,switzerland,china,usa
japan,usa,usa,hong kong,india,finland,usa
japan,usa,china,china,usa,usa,usa
australia,usa,canada,usa,usa,canada,china
usa,usa,china,usa,singapore,usa,usa
ireland,usa,usa,usa,taiwan,china,ireland
germany,usa,switzerland,japan,south korea,india,australia
usa,germany,usa,china,hungary,usa,japan
usa,canada,sweden,usa,japan,china,india
canada,indonesia,usa,japan,malaysia,hong kong,usa
usa,usa,canada,japan,israel,japan,denmark
japan,usa,usa,usa,usa,usa,china
italy,turkey,usa,usa,turkey,uk,switzerland
usa,australia,usa,china,south korea,denmark,switzerland
usa,china,australia,canada,usa,usa,china
germany,usa,usa,china,taiwan,japan,india
south korea,usa,denmark,germany,usa,japan,usa
usa,usa,usa,switzerland,canada,switzerland,usa
usa,usa,s. korea,china,india,usa,denmark
uk,usa,japan,usa,france,australia,hong kong
usa,united-arab-emirates,finland,china,usa,usa,usa
japan,usa,australia,australia,usa,brazil,india
hong kong,united-kingdom,germany,usa,japan,singapore,china
usa,belgium,china,uk,malaysia,china,usa
usa,france,singapore,finland,germany,usa,usa
denmark,japan,usa,usa,south korea,india,finland
usa,france,hong kong,india,uk,usa,denmark
hong kong,usa,usa,switzerland,india,france,south korea
switzerland,turkey,usa,usa,brazil,usa,japan
south korea,usa,switzerland,india,usa,s. korea,singapore
usa,none,india,usa,germany,uk,uk
usa,hong-kong,usa,usa,uk,china,singapore
china,canada,canada,india,usa,usa,usa
china,usa,china,japan,japan,usa,india
spain,singapore,usa,usa,france,china,switzerland
japan,usa,taiwan,canada,india,india,hong kong
india,none,india,india,sweden,usa,canada
usa,indonesia,uk,switzerland,sweden,usa,usa
usa,indonesia,usa,usa,usa,usa,usa
australia,usa,usa,usa,usa,canada,usa
usa,switzerland,india,s. korea,india,spain,canada
germany,south-africa,hong kong,canada,usa,taiwan,taiwan
usa,india,switzerland,taiwan,usa,switzerland,usa
usa,none,mexico,usa,australia,hong kong,china
france,usa,japan,usa,italy,usa,japan
usa,india,china,usa,usa,usa,uk
japan,usa,canada,india,netherlands,india,china
usa,usa,usa,usa,usa,switzerland,canada
china,none,usa,china,usa,south africa,usa
usa,usa,uk,india,hong kong,china,uk
japan,denmark,uk,japan,usa,denmark,japan
india,usa,canada,canada,australia,usa,usa
sweden,canada,usa,germany,canada,usa,usa
switzerland,usa,usa,usa,japan,germany,usa
switzerland,usa,germany,usa,japan,usa,france
china,mexico,france,china,canada,usa,india
uk,usa,japan,uk,switzerland,india,usa
japan,usa,france,usa,usa,ireland,france
brazil,usa,usa,france,japan,usa,china
australia,usa,france,france,denmark,usa,usa
usa,south-korea,usa,usa,usa,usa,usa
denmark,india,usa,denmark,usa,japan,usa
uk,india,usa,hong kong,japan,japan,germany
china,usa,usa,usa,india,china,usa
indonesia,usa,canada,uk,usa,france,china
china,usa,japan,usa,greece,canada,usa
india,finland,india,france,usa,china,usa
switzerland,switzerland,india,usa,japan,usa,usa
usa,usa,china,uk,canada,canada,switzerland
usa,canada,usa,ireland,switzerland,usa,ireland
india,italy,denmark,switzerland,denmark,usa,ireland
usa,poland,usa,usa,indonesia,usa,hong kong
usa,japan,china,usa,saudi arabia,usa,usa
south africa,usa,ireland,usa,denmark,usa,usa
singapore,usa,japan,hong kong,usa,usa,china
usa,canada,singapore,japan,usa,india,canada
usa,united-kingdom,usa,china,south korea,usa,usa
usa,usa,s. korea,usa,usa,germany,usa
india,united-kingdom,china,mexico,uk,usa,usa
france,south-korea,switzerland,thailand,uk,china,usa
usa,usa,usa,china,brazil,usa,south korea
usa,finland,usa,usa,taiwan,usa,australia
usa,usa,usa,china,australia,usa,china
usa,usa,hong kong,japan,india,s. korea,usa
china,usa,usa,usa,canada,usa,china
hong kong,usa,china,usa,india,china,india
china,hong-kong,usa,china,germany,usa,usa
usa,usa,usa,ireland,turkey,australia,france
usa,brazil,usa,usa,sweden,usa,usa
usa,usa,usa,usa,switzerland,uk,japan
usa,united-kingdom,usa,china,usa,china,germany
uk,norway,usa,china,japan,uk,china
canada,united-kingdom,china,hong kong,australia,hong kong,usa
usa,japan,germany,singapore,denmark,usa,usa
usa,united-kingdom,usa,usa,japan,usa,uk
usa,usa,usa,singapore,japan,switzerland,thailand
usa,canada,australia,australia,canada,uk,usa
usa,usa,usa,australia,usa,china,france
china,none,usa,china,india,china,spain
india,indonesia,ireland,usa,usa,india,usa
ireland,germany,usa,usa,india,hong kong,china
usa,usa,usa,usa,south korea,japan,usa
usa,usa,brazil,usa,japan,usa,japan
china,usa,china,usa,mexico,usa,usa
usa,usa,japan,spain,luxembourg,india,usa
canada,usa,usa,india,japan,china,usa
canada,usa,usa,usa,uk,france,japan
usa,usa,thailand,usa,south korea,usa,usa
france,usa,china,s. korea,usa,singapore,usa
singapore,spain,usa,brazil,macau,usa,south korea
usa,usa,france,china,usa,france,china
china,usa,usa,germany,india,usa,italy
switzerland,united-kingdom,spain,usa,usa,china,china
canada,poland,usa,china,usa,china,hong kong
usa,germany,usa,usa,uk,canada,india
south korea,germany,usa,usa,usa,sweden,usa
china,germany,china,usa,norway,s. korea,usa
hong kong,usa,denmark,india,india,usa,usa
netherlands,india,uk,norway,usa,china,uk
hong kong,usa,china,italy,australia,germany,indonesia
australia,spain,hong kong,usa,germany,ireland,belgium
china,usa,usa,usa,taiwan,denmark,usa
china,usa,s. korea,usa,india,usa,denmark
usa,israel,india,china,sweden,canada,china
usa,japan,usa,brazil,usa,thailand,japan
usa,none,italy,usa,usa,denmark,usa
canada,japan,brazil,china,france,china,usa
germany,usa,usa,usa,japan,china,usa
usa,australia,usa,sweden,brazil,china,china
japan,sweden,china,usa,usa,usa,brazil
canada,india,singapore,canada,usa,mexico,usa
norway,usa,sweden,france,usa,usa,usa
china,germany,china,usa,japan,usa,china
china,usa,japan,s. korea,usa,netherlands,hong kong
usa,usa,china,japan,usa,usa,germany
canada,usa,germany,uk,usa,usa,singapore
ireland,united-arab-emirates,japan,usa,india,usa,italy
thailand,turkey,uk,s. korea,usa,usa,usa
france,norway,india,india,india,china,hong kong
usa,germany,usa,china,japan,china,india
usa,usa,usa,switzerland,japan,japan,canada
usa,none,usa,switzerland,taiwan,canada,usa
india,japan,mexico,taiwan,usa,uk,usa
germany,australia,belgium,uk,usa,canada,usa
uk,united-kingdom,hong kong,india,japan,switzerland,usa
usa,usa,usa,japan,indonesia,usa,france
china,france,switzerland,canada,india,brazil,usa
uk,india,japan,switzerland,usa,australia,mexico
china,usa,canada,italy,luxembourg,usa,brazil
brazil,none,hong kong,usa,poland,usa,usa
usa,usa,germany,usa,saudi arabia,india,sweden
japan,china,netherlands,mexico,usa,japan,switzerland
china,italy,s. korea,canada,usa,hong kong,canada
usa,usa,usa,germany,saudi arabia,norway,canada
usa,japan,france,usa,usa,usa,germany
usa,usa,switzerland,hong kong,canada,germany,netherlands
usa,saudi-arabia,china,netherlands,usa,hong kong,taiwan
finland,usa,italy,usa,japan,japan,japan
france,usa,thailand,canada,turkey,usa,australia
denmark,usa,finland,denmark,france,canada,south korea
canada,france,germany,japan,singapore,italy,china
china,usa,canada,indonesia,india,china,australia
usa,chile,usa,france,taiwan,usa,switzerland
uk,usa,sweden,usa,uk,usa,switzerland
usa,usa,norway,france,usa,japan,usa
saudi arabia,israel,india,usa,usa,usa,usa
spain,canada,usa,belgium,uk,switzerland,finland
germany,usa,australia,canada,canada,usa,germany
china,japan,usa,china,usa,s. korea,thailand
uk,none,taiwan,usa,chile,sweden,usa
usa,usa,usa,china,usa,israel,canada
japan,usa,usa,germany,usa,usa,norway
thailand,united-kingdom,usa,usa,china,australia,usa
hong kong,usa,usa,denmark,india,usa,usa
japan,japan,uk,switzerland,usa,usa,canada
france,usa,usa,japan,switzerland,usa,uk
saudi arabia,japan,usa,usa,uk,taiwan,usa
netherlands,netherlands,australia,usa,canada,brazil,switzerland
usa,indonesia,switzerland,finland,usa,indonesia,sweden
usa,switzerland,canada,finland,austria,indonesia,usa
usa,usa,france,uk,israel,finland,usa
canada,brazil,switzerland,australia,australia,france,usa
usa,usa,germany,usa,usa,mexico,china
