name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Swappie,Finland,Technology,97611814,507000,218,1,2016
Kilo Health,Lithuania,Health,57318766,344428,177,10,2013
OCI,UK,Financial Services,568322073,4325512,32,4,2012
OnlyFans,UK,Technology,316732986,2652185,800,4,2016
Enpal,Germany,Energy,56109613,486165,365,9,2017
MR Consulting,Germany,Waste management & recycling,13165586,150908,9,2,2017
Thriva,UK,Health,18732563,251668,57,12,2015
Exotec,France,Industrial Goods,47597000,706700,200,15,2015
Winelivery,Italy,Ecommerce,7337290,111500,10,1,2015
Instabox,Sweden,Technology,24484879,392055,117,5,2015
Waterdrop,Austria,Food & Beverage,41205930,680197,180,12,2016
One Lease,France,Support Services,9015211,153046,11,2,2016
Datlas*,Italy,Technology,9034926,155406,251,13,2017
Zego,UK,Fintech,12158046,229201,224,36,2016
HCL-Logistics,Germany,Transport,11387156,238118,24,5,2017
Popsa,UK,Technology,21455864,454975,34,4,2016
Unit8,Switzerland,Technology,7234981,149397,41,2,2017
Luoto Company,Finland,Technology,14338668,325585,49,6,2016
Journi Print,Austria,Ecommerce,6851839,160624,29,9,2014
Portify,France,Support Services,11583215,274575,228,23,2017
Tibber,Norway,Energy,30886935,782918,45,8,2015
Rascal Industry,Poland,Fashion,9008822,238451,18,6,2013
Pegaso Security,Italy,Support Services,8375180,207120,509,20,2017
Tide,UK,Fintech,16136633,416562,581,72,2016
Euro Top Brand,Italy,Retail,13888900,363010,1,1,2017
Bold Security Group,UK,Support Services,6238378,181772,26,6,2011
Play Magnus Group,Norway,Games industry,6461790,214673,140,10,2013
Blue Whale Growth Fund,UK,Financial Services,5189391,170950,7,1,2016
Kazidomi,Belgium,Ecommerce,8042499,263663,65,3,2016
Sun Finance,Latvia,Fintech,121306296,4044537,800,90,2012
Credimi,Italy,Financial Services,11301520,381830,56,21,2015
SIRPLUS,Germany,Retail,4540000,155043,133,8,2017
AIHR | Academy to Innovate HR,The Netherlands,Education,3584553,125682,31,6,2016
Logistics Capital Partners (LCP),Luxembourg,Property,210563743,7403458,27,9,2015
Südwest Invest,Germany,Property,5820402,210820,10,2,2017
CORADE (Plurimmo),France,Property,56018731,2039961,7,7,2000
Carranco,Spain,Food & Beverage,4176440,155310,5,4,2006
Telemedi,Poland,Health,4452513,182100,50,10,2014
Inkitt,Germany,Technology,5926970,229713,56,22,2014
H.K.Trading,Italy,Retail,5721590,225380,2,1,2016
Attest,UK,Technology,4864178,194090,124,16,2015
LGM IMMOBILIER,France,Property,2549778,101311,11,na,2016
Wolfram Chain*,The Netherlands,Management Consulting,2431371,100711,29,7,2017
RightNow,Germany,Technology,8951132,379771,38,3,2017
EO Charging,UK,Technology,17158962,757323,63,7,2014
CheTariffa.it,Italy,Support Services,2495860,110200,9,2,2013
Simply,UK,Financial Services,16483836,744092,90,26,2017
Salary Finance,UK,Fintech,8593220,387995,187,24,2015
DBT,Sweden,Fintech,3837994,179204,10,2,2017
Tutlo,Poland,Education,7778203,388565,140,15,2016
Ponera,France,Ecommerce,25901607,1186853,27,4,2013
Active Energy Solutions,Greece,Energy,13312033,640056,2,0,2014
ACTEAM ENR,France,Energy,2133691,103240,8,2,2012
Everflow,UK,Technology,64223085,3188715,70,8,2015
Azure Prism,UK,Retail,4752777,238216,1,1,2016
WR Logistics,Germany,Transport,11662200,585280,7,2,2017
iProov,UK,Technology,7435887,376519,61,14,2011
Spin Up,Italy,Advertising,4009330,203950,5,1,2017
BeGreat,Germany,Retail,5141555,270090,16,4,2012
Tsunami Nutrition*,Italy,Ecommerce,6945000,369000,17,2,2017
Matt Sleeps,The Netherlands,Interiors,9789240,535070,6,2,2016
Tessian,UK,Technology,15365580,858482,138,28,2013
Solarisbank,Germany,Financial Services,35938000,2007000,369,98,2016
M2DG (MyFlexoffice),France,Support Services,6630617,375323,21,2,2016
Eukon,Italy,Health,6393680,362320,11,2,2004
Evolution Adv,Italy,Advertising,14175780,805870,13,3,2016
Making Science,Spain,Technology,57670541,3306795,274,47,2001
Everli,Italy,Ecommerce,109248030,6287460,207,45,2014
AppFollow,Finland,Technology,2210636,128176,73,12,2014
Synerise,Poland,Technology,3999023,255062,190,40,2013
ChaiKola,Poland,Food & Beverage,5158786,330763,8,4,2010
Scolution,Germany,Technology,1825546,107492,12,4,2015
JL&P,France,Energy,2212606,131164,15,3,2017
eFarma.com,Italy,Pharmaceuticals,20150800,1199580,50,8,2017
Elvie,UK,Technology,40813930,2474341,138,22,2013
Farmarelax,Italy,Personal & Household Goods,4459170,270750,5,1,2010
Omnisend,UK,Technology,11761268,742746,99,20,2008
World Trade Group,Italy,Fashion,4897950,314150,5,1,2017
BESTEAM Conseil,France,Technology,3871782,249176,32,2,2016
Motorway,UK,Automobiles,4838407,320411,96,5,2016
ISO Public Services,Germany,Technology,10019903,672821,26,0,2014
Octopus Energy,UK,Energy,2120071949,145398192,918,106,2015
CyberIAM*,UK,Cyber Security,5639335,387161,82,8,2017
Cbweed*,Italy,Personal & Household Goods,3500000,245000,17,2,2017
Catraport,Portugal,Automobiles,7294549,518613,46,18,2015
OUIHELP,France,Support Services,3686617,262421,106,13,2016
Inpay,Denmark,Fintech,23803000,1702000,67,33,2013
M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods,2610700,188680,10,4,2017
Glencar Construction,UK,Construction,107860442,7930094,80,7,2016
Qmee,UK,Technology,12571314,925527,23,9,2010
MyAppFree,Italy,Advertising,5764870,422420,10,1,2015
Investa Dienstleistungen,Germany,Support Services,2176136,159707,55,8,2014
Polarium Energy Solutions,Sweden,Batteries,74065413,5581858,58,19,2014
Baroni Home,Italy,Ecommerce,1531358,113072,5,4,2016
Dayshape,UK,Technology,3320479,247465,45,6,2013
Marketers Company,Italy,Advertising,1880460,139300,8,3,2016
Easo Magno,Spain,Beauty,3061854,228076,5,2,2017
Greyfood,Germany,Retail,9187050,684874,10,1,2016
Misfits Health,UK,Food & Beverage,2266155,171057,9,3,2016
MeilleursBiens.com,France,Property,3864176,291481,5,1,2010
Fasanara Capital,UK,Financial Services,11527860,882099,36,5,2011
NtechLab,Cyprus,Technology,8730000,664000,122,44,2015
Babylino Sensitive,Italy,Personal & Household Goods,2851840,217460,5,2,2016
Fastned,The Netherlands,Technology,6890000,530667,54,24,2012
Oxray,Portugal,Health,5465756,427339,6,2,2009
ZEGA Invest,Germany,Property,3785340,299598,4,3,2017
Abylon Consulting,Hungary,Technology,1721315,159128,7,2,2016
Milrab,Norway,Ecommerce,79302201,6753191,77,20,2005
Urbantz,Belgium,Technology,3031099,242368,55,7,2015
Tricas Construction,UK,Construction,15880745,1281462,32,6,2017
Florence One,Italy,Technology,1629099,131691,10,6,2017
Ergotopia,Germany,Retail,7664825,620283,35,8,2014
Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals,2683264,252713,17,5,2011
Filo,Italy,Technology,10049610,815690,18,9,2014
Homepal,Italy,Property,1603990,130290,11,4,2014
Staffbase,Germany,Technology,26894501,2201178,310,55,2014
ILON MATERIEL,France,Construction,2512300,207327,4,2,2016
Bio-marine,Ireland,Personal & Household Goods,1612837,133200,25,7,2014
ISODECO,France,Construction,2906133,241411,18,2,2016
Treedom,Italy,Support Services,6709720,560150,42,18,2010
Fenstermaxx24,Germany,Retail,8466121,712855,20,3,2016
Pohl & Söhne Gerüstbau,Germany,Construction,2124763,180824,31,7,2017
YSO CORP,France,Media,6689503,570012,13,3,2013
Gyada Cosmetics,Italy,Beauty,1830610,156130,10,2,2017
Privitar,UK,Technology,9923965,855321,190,47,2014
Delineate,UK,Technology,3332661,288095,25,1,2015
Spyrosoft,Poland,Technology,24721755,2326082,563,75,2016
Bio Energy Solutions,Slovakia,Waste management & recycling,16006537,1383205,37,6,2014
Increso,Italy,Management Consulting,3230000,281000,51,2,2015
LSG - Logistic & Service Group,Italy,Transport,8873180,777410,46,1,2016
Energihem,Sweden,Construction,28004684,2527006,125,19,2015
Amity,UK,Technology,5743440,522712,164,48,2012
Goyago,Germany,Retail,3729920,337525,43,4,2014
LA REGIE DE PORTAGE SALARIAL,France,Support Services,7638731,692440,140,23,2016
Dall Energy,Denmark,Energy,6013000,551000,15,5,2007
Appinio,Germany,Technology,3597000,330500,44,5,2014
Pinsami,Italy,Food & Beverage,4892000,455000,33,14,2015
AER TRADING,France,Retail,17575388,1643572,1,1,2013
VALUMEN,France,Support Services,2196424,205554,4,1,2014
Follow,France,Advertising,6844818,643299,14,4,2016
Darpdecade,Germany,Retail,6624660,628384,173,4,2016
Bolt,Estonia,Technology,221393889,21098843,1798,399,2013
Kiteworldshop.com,Italy,Ecommerce,1671984,160539,5,2,2014
Peter Kenkel,Germany,Retail,22137000,2131000,19,10,2006
Templafy,Denmark,Technology,15486451,1521010,292,32,2014
Comservice,Italy,Support Services,2016300,194780,99,17,2014
Falcor Presse,Italy,Industrial Goods,2996770,291720,5,1,2017
RoomRaccoon,The Netherlands,Technology,1715334,167000,40,8,2017
Signaturit,Spain,Technology,5639953,552355,95,37,2013
Modulr,UK,Fintech,12789098,1269382,191,31,2015
PROFISHOP,Germany,Ecommerce,43812068,4340517,63,17,2012
Floer,The Netherlands,Interiors,2520013,249975,15,2,2015
Audiosalus,Italy,Retail,1569480,156300,12,4,2011
StatsBomb,UK,Technology,2027170,204620,26,2,2016
Theras Biocare,Italy,Pharmaceuticals,26633230,2693390,8,2,2013
Stenn,UK,Fintech,29615571,3058141,61,32,2016
Nanushka,Hungary,Fashion,20825934,2456563,180,30,2012
DPM - Deutsches Personal Management,Germany,Support Services,2267760,230800,60,10,2016
Monese,UK,Fintech,18196451,1870109,243,84,2013
Arquimea,Spain,Technology,72044361,7450099,288,40,2005
Groupe PERSPECTIVE,France,Education,2709000,280390,18,4,2013
Funnel,Sweden,Technology,11499031,1217338,155,37,2014
Living Quarter,Germany,Health,5016731,529371,49,5,2015
Svea Solar,Sweden,Energy,66146911,7177912,287,38,2013
Bevcraft Group,Ireland,Food & Beverage,4046859,429505,16,6,2016
Learning Technologies Group,UK,Technology,19446429,2096570,932,767,2013
Cura Farma,Italy,Health,4436220,479290,9,2,2014
Kamado Bono,Lithuania,Personal & Household Goods,6801734,735758,7,2,2013
SIPADAN,Spain,Management Consulting,3457203,374200,47,3,2007
Dateio,Czech Republic,Fintech,4710733,530785,45,18,2013
CREST Investment,Germany,Property,4857817,533144,16,4,2016
Componenti Digitali,Italy,Retail,2805850,308810,19,2,2017
IMMO-KONZEPTE,Germany,Property,2269276,252871,6,3,2006
SwipBox,Denmark,Technology,9391760,1052796,41,3,2014
Nextory,Sweden,Media,26534087,3046667,85,9,2015
ITDS Polska,Poland,Technology,8609941,1057443,176,32,2016
Savait,Italy,Ecommerce,2108040,237410,5,4,2015
Adpone,Spain,Advertising,11124512,1255372,18,3,2015
Nord Security,Lithuania,Cyber Security,156623915,18035029,1000,350,2012
Mews,The Netherlands,Technology,22386000,2531000,226,25,2012
Titulae,Spain,Education,4870863,551128,35,9,2015
systeme.io,Ireland,Ecommerce,2407982,273552,40,5,2016
EODH SA,Greece,Aerospace & Defence,2597612,299988,30,20,2003
Multix solutions,Italy,Health,11586460,1340430,5,2,2015
B2DIGIT,France,Technology,1978128,228982,12,2,2016
A Million Ads,UK,Advertising,4882837,570564,47,5,2015
WoodWatch,The Netherlands,Retail,5590390,651170,25,5,2013
Fenêtres du Doubs,France,Construction,2238347,262280,12,3,2010
Koesea,Germany,Construction,3400000,400000,65,3,2016
Podium Advanced Technologies,Italy,Automobiles,18025740,2133310,38,14,2011
SPEGRA,Croatia,Construction,17059791,2025879,166,109,2010
GPAINNOVA,Spain,Industrial Goods,15245617,1815680,117,18,2013
Soluzione Tasse,Italy,Management Consulting,18939430,2264940,23,4,2016
Velocultour,Germany,Retail,2458500,295731,15,2,2016
butorpiac.hu,Hungary,Ecommerce,2184336,305268,7,2,2011
Success Solutions,Czech Republic,Technology,2633664,327218,44,8,2016
Bug Bite Thing Europe,Denmark,Health,1577878,191679,1,1,1989
Dexatel,Estonia,Technology,11087980,1349733,24,4,2015
Gemco,Italy,Construction,3941900,481510,6,1,2015
Lyonnaise de Construction et Renovation,France,Construction,6640842,812371,n/a,n/a,2015
Gousto,UK,Food & Beverage,210945370,26112757,702,204,2012
Winter in Venice,UK,Beauty,12682062,1575522,6,4,2010
Infratech Bau,Germany,Construction,60067088,7415334,72,18,2007
4Streets Building Innovation Tunnels Bridges Roads,Italy,Construction,6739630,833230,46,3,2016
Landbay,UK,Fintech,8980496,1119178,95,31,2013
Degoo,Sweden,Technology,1973775,249818,18,3,2012
Franco Fresco,Germany,Food & Beverage,50723858,6280267,320,52,2016
Lendable,UK,Fintech,40305193,5026349,84,25,2014
Ulrich Müller Wealth Academy,Germany,Education,3516744,440369,6,2,2014
cerascreen,Germany,Health,10499782,1315000,84,19,2012
Eqinov,France,Energy,70183744,8811708,43,24,2011
Serre Famiglia Pederiva Viticoltori dal 1958,Italy,Food & Beverage,9022020,1134730,12,7,1996
Bloom & Wild,UK,Ecommerce,155595726,19757296,170,68,2013
Bräutigam,Germany,Automobiles,6315124,796207,29,9,2016
Newil & Bau,Finland,Construction,19420672,2448858,7,1,2006
ID Finance,Spain,Fintech,103634000,13157000,411,271,2015
Kry,Sweden,Health,77764611,10152222,600,74,2014
Sixth Sense,Italy,Technology,3916570,500440,25,4,2015
Nethive,Italy,Cyber Security,3960770,506730,19,7,2014
Latitude Investment Management,UK,Financial Services,1750466,225964,8,3,2016
Qred,Sweden,Fintech,30414122,3989355,68,10,2015
oculavis,Germany,Technology,3924472,504357,55,15,2016
The Information Lab,Italy,Technology,4253110,548180,30,5,2015
MD Sonnenschutztechnik,Germany,Construction,4068621,524750,10,6,2015
Syntio,Croatia,Technology,2127532,274966,43,7,2017
Bomae,Denmark,Financial Services,1662487,214713,13,3,2016
Gophr,UK,Technology,5738336,755191,18,6,2014
Memory PC,Germany,Retail,57375000,7522000,110,20,2012
Sollis Solargroßhandel,Germany,Retail,11860100,1556607,6,2,2017
Spotawheel,Greece,Automobiles,15646588,2058315,123,37,2015
Ooni Pizza Ovens,UK,Personal & Household Goods,63879414,8508398,83,18,2012
Robovox Distributions,Germany,Retail,19427000,2570000,35,10,2015
CentralNic Group,UK,Technology,197260279,26626422,650,92,2000
Bernd Andert Transporte,Germany,Transport,4105262,546226,83,16,2003
Bluewater Bio,UK,Technology,20201424,2708983,18,16,2007
Tecma Solutions,Italy,Technology,7319870,975140,107,25,2012
Delante,Poland,Sales & Marketing,2160094,316525,48,21,2015
intumind,Germany,Health,6560962,884885,15,8,2015
Saljol,Germany,Health,4146403,559778,15,10,2016
TKD Solutions,Germany,Telecoms,15874245,2146950,20,9,2014
Kuori,Finland,Technology,2501902,340000,15,5,2016
Ferroamp,Sweden,Energy,7645003,1062649,42,21,2010
Valor Real Estate Partners,UK,Financial Services,4534588,621636,23,6,2016
Anexiti,France,Technology,2565735,350019,14,2,2013
GENIUS,France,Support Services,2417902,330522,23,6,2017
Instilla,Italy,Advertising,2993310,410520,31,3,2015
FOOTDISTRICT,Spain,Ecommerce,14942262,2051133,60,12,2012
Spiideo,Sweden,Technology,4799358,674805,36,12,2012
ContractPodAi,UK,Technology,4875622,670685,118,14,2012
Tarhan Bauausführungen,Germany,Construction,1851000,255000,15,5,2017
Matillion,UK,Technology,24580709,3417815,218,44,2010
Extra Mile Live Service,Germany,Retail,2637501,364485,5,2,2017
LITTLEBIG CONNECTION,France,Support Services,111538883,15653388,173,17,2013
SPC General Service,Italy,Construction,6788660,954700,50,15,2011
jobandtalent,Spain,Technology,352879165,49833511,801,156,2008
Financial House,UK,Fintech,18766625,2669247,20,14,2016
MyLead,Poland,Sales & Marketing,2004501,309471,42,8,2013
Mia-Platform,Italy,Technology,6515510,923730,74,15,2016
Tecnimed,Italy,Health,9551790,1354980,32,20,1976
Longevity Partners,UK,Retail,2336243,335460,22,5,2015
NexumStp,Italy,Management Consulting,25667400,3659630,345,56,2015
G-ON,France,Support Services,1810459,259342,16,3,2016
Picnic,UK,Advertising,1508869,219999,10,3,2016
Egomnia,Italy,Technology,1901140,276750,36,2,2012
LoyaltyLion,UK,Technology,4483296,657382,40,10,2012
reMarkable,Norway,Technology,115793390,18106514,142,22,2016
Kubrick,UK,Management Consulting,32614354,4829922,673,119,2016
Contrader,Italy,Technology,4682960,688860,35,7,2012
SAMONT,Germany,Industrial Goods,19577339,2880891,89,39,2008
Sirive,Italy,Construction,4527690,667170,5,1,2017
Multienergia Verde,Spain,Energy,146453604,21640253,15,10,2014
Wielandts UPMT,Belgium,Technology,1529270,226295,6,1,2013
ASKET,Sweden,Fashion,6525278,991534,13,4,2015
Central Warehouse Solution,Czech Republic,Transport,1788545,274790,45,10,2015
Chef in Camicia,Italy,Advertising,2071960,310810,21,2,2015
Piper Homes,UK,Construction,30436232,4601266,28,9,2015
Alturas Cubiertas Y Fachadas,Spain,Construction,9375243,1411811,33,12,2014
Autosalon Uhingen,Germany,Automobiles,10540000,1587500,11,2,2015
Yumi Beauty,France,Chemicals & Pharmaceuticals,2678257,404819,5,1,2013
FOR ME LAB,France,Ecommerce,1652073,251795,7,2,2016
Stockholms Elbolag,Sweden,Energy,32265912,5033032,25,7,2015
Flohr,Germany,Waste management & recycling,21249638,3241629,84,21,1999
Agricodem,Italy,Agricultural Commodities,2856530,436610,4,1,2008
DACH Schutzbekleidung,Germany,Industrial Goods,45227730,6936038,80,14,2005
EM-Tec Energiemontagen,Germany,Construction,3002729,461000,16,7,2017
Wave Studio,Romania,Technology,4105688,656172,9,8,2014
bazzar,Croatia,Retail,6686617,1034093,17,3,2013
Cybersprint,The Netherlands,Cyber Security,2914738,449771,43,10,2015
Brandon Group,Italy,Ecommerce,32039000,4954590,34,19,2012
Feiniko Handelsgesellschaft,Germany,Retail,32168909,4979484,13,1,2014
PharmaGrin,Italy,Health,2701410,422610,21,2,2015
Life M,Czech Republic,Technology,2001844,322050,3,1,2016
Plásticos Dão / Sacos & Saquetas,Portugal,Industrial Goods,1946703,304833,16,5,2012
Logipal24,Germany,Transport,4967568,789058,70,19,2010
PastBook,The Netherlands,Technology,33651532,5361088,22,23,2012
Bluefin,UK,Ecommerce,28993287,4653721,21,6,2013
Milk & Honey PR,UK,Sales & Marketing,1528900,245974,18,4,2016
Prodeval,France,Energy,73514217,11756712,220,70,1990
Virta,Finland,Technology,11029402,1765457,110,23,2013
BizAway,Italy,Travel & Leisure,1989950,318940,28,4,2015
Karl & Léon,France,Retail,2391019,385266,6,2,2015
Identity,UK,Management Consulting,22885804,3733539,80,39,2001
BlackBelt Holding,Hungary,Technology,5695000,923000,55,4,2016
DYNVEO,France,Retail,3687780,598678,13,1,2010
Favi,Czech Republic,Ecommerce,24995030,4174549,29,7,2016
Hopkins,Finland,Sales & Marketing,4534346,737936,27,4,2016
AP Italian Luxury,Italy,Fashion,4283930,698300,7,3,2016
Novicap,UK,Fintech,3383802,551848,45,20,2015
IGLM Store,Italy,Ecommerce,7790420,1277410,5,1,2013
LUIS Technology,Germany,Technology,10000511,1644899,41,8,1999
Quantexa,UK,Fintech,33902755,5643295,275,55,2016
Enerbrain,Italy,Energy,4131370,685370,37,9,2014
Brinckmann,Germany,Construction,6037461,1002579,28,7,2013
LMG Building,Italy,Construction,6255970,1043440,12,6,1982
Nordic Unmanned,Norway,Aerospace & Defence,6305237,1122907,33,12,2013
Hemisphere,France,Property,6484822,1091925,6,2,2017
therapiezentrum.com NW,Germany,Health,2916337,492860,87,23,2017
Beauhurst,UK,Technology,5355215,916511,82,39,2010
C.U.N. Cargo Carriers,Romania,Transport,7103702,1207613,49,43,2017
MG Project,Italy,Telecoms,8208450,1396400,34,23,2016
BONMEA,Germany,Retail,14597418,2484783,6,3,2015
Oceanis Yachts,Italy,Travel & Leisure,3059130,521250,6,2,2007
OPUS DB,France,Construction,12171118,2076139,8,2,2016
Devensys Cybersecurity,France,Technology,3403055,580644,27,9,2013
Project Agora,Cyprus,Advertising,19798875,3380420,104,25,2016
BETTERTRUST,Germany,Advertising,4981938,853561,19,5,2012
Banale,Italy,Ecommerce,2051370,352000,10,3,2014
Maatwerk Online,The Netherlands,Sales & Marketing,1673382,287985,17,5,2013
Les constructeurs du bois,France,Property,5087783,877275,6,1,2011
Esserre Pharma,Italy,Pharmaceuticals,2556640,441260,10,6,2013
