name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
Fulton Financial Corp,United States of America,"3,200","One Penn Square, Lancaster, Pennsylvania, 17602",Financial Services,www.fultonbank.com/About-Fulton-Bank,$2.6B,1 717 2912411,$997.2M
Alpha Networks Inc,Taiwan,"6,392","No.8, Li-Shing Road Vii, Hsinchu Science-Based Industrial Park, 300",Technology and Communications,www.alphanetworks.com,$533.6M,886 3 5636666,$998.0M
Ircon International Ltd,India,"1,278","C-4, District Centre, Saket, New Delhi, 110017",Construction,www.ircon.org/index.php,$709.7M,91 11 29565666,$999.5M
RCS MediaGroup SpA,Italy,"2,953","Via Angelo Rizzoli, 8, Milano, 20132",Media,www.rcsmediagroup.it,$392.6M,39 02 25841,$1.0B
Kiatnakin Phatra Bank Public Co Ltd,Thailand,"3,665","Amarin Tower, 500 Ploenchit Road, Lumphini, Pathumwan, Bangkok, 10330",Financial Services,bank.kkpfg.com/th/home,$1.9B,66 21 655555,$1.0B
Binggrae Co Ltd,South Korea,"1,609","45, Dasansunhwan-Ro, Namyangju, 12253",Consumer Packaged Goods,www.bing.co.kr,$315.3M,82 2 20226000,$1.0B
Winpak Ltd,Canada,"2,563","100 Saulteaux Cres, Winnipeg, Manitoba, R3J3T3",Paper and Packaging,www.winpak.com,$2.0B,1 204 8312244,$1.0B
Land and Houses Public Co Ltd,Thailand,"1,623","Floor 37-38, Q. House Lumphini Building, 1 South Sathon Road, Thungmahamek, Sathon, Bangkok, 10120",Construction,www.lh.co.th,$3.5B,66 23 438900,$1.0B
Genting Malaysia Bhd,Malaysia,"14,048","24th Floor, Wisma Genting, Jalan Sultan Ismail, Kuala Lumpur, 50250",Leisure and Arts,www.gentingmalaysia.com,$3.9B,60 3 21782288,$1.0B
Nohmi Bosai Ltd,Japan,"2,635","4-7-3, Kudan Minami, Chiyoda-Ku, Tokyo, 102-8277",Industrial Goods and Machinery,www.nohmi.co.jp,$769.6M,81 3 32650211,$1.0B
East African Breweries PLC,Kenya,"1,576","Gpo, P.O. Box 30161, Nairobi, 00100",Consumer Packaged Goods,www.eabl.com,$1.1B,254 20 8644000,$1.0B
Lier Chemical Co Ltd,China,"5,360","Building 5, No.58, Huasheng Road, Chenghua District, Chengdu, Sichuan, 610052",Chemicals,www.lierchem.com,$2.2B,86 28 67575627,$1.0B
Seadrill Ltd,Bermuda,"3,220","14 Par-La-Ville Road, Park Place, Hamilton, HM11",Energy and Utilities,www.seadrill.com,,1 441 2421500,$1.0B
Great Eagle Holdings Ltd,Hong Kong,"5,200","33rd Floor, Great Eagle Centre, Hong Kong",Construction,www.greateagle.com.hk,$1.7B,852  28273668,$1.0B
Daewoong Pharmaceutical Co Ltd,South Korea,"1,256","35-14, Jeyakgongdan 4-Gil, Hyangnam-Eup, Hwaseong, 18623",Pharmaceuticals and Healthcare,www.daewoong.com,$1.3B,8225508800,$1.0B
PT Bumi Resources Tbk,Indonesia,864,"Jl. H.R. Rasuna Said, Kompleks Rasuna Ep, Lantai 12, Bakrie Tower, Jakarta, 12960",Metals and Mining,www.bumiresources.com,$3.6B,62 21 57942080,$1.0B
Astro Malaysia Holdings Berhad,Malaysia,"4,191","3f,Admnstn Bldg,All Asia Broadcast Cntr, Lebuhraya Puchong-Sungai Besi, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur, 57000",Media,corporate.astro.com.my,$735.5M,60 3 95436688,$1.0B
Rizhao Port Co Ltd,China,"5,709","Haibin Second Road, Rizhao, Shandong , 276826",Transport and Logistics,www.rzpcl.com,$1.3B,86 633 8388822,$1.0B
Birla Corp Ltd,India,"7,184","1, Shakespeare Sarani (2nd Floor), Kolkata, 700071",Construction,www.birlacorporation.com,$912.9M,91 33 66033300,$1.0B
Crest Nicholson Holdings plc,United Kingdom,661,"Crest House, Pyrcroft Road, Chertsey, KT169GN",Construction,www.crestnicholson.com,$784.7M,44 1932 580555,$1.0B
ConMed Corp,United States of America,"3,800","11311 Concept Boulevard, Largo, Florida, 33773",Medical Equipment,www.conmed.com,$2.9B,1 727 2142974,$1.0B
Haverty Furniture Companies Inc,United States of America,"2,845","Suite 800, 780 Johnson Ferry Road, Atlanta, Georgia, 30342",Retailing,www.havertys.com,$548.8M,1 404 4432900,$1.0B
DaChan Food (Asia) Ltd,China,"8,071","Room 401, 4th Floor, Office Tower C, Vanton Center, No.6 Chaowai Street, Chaoyang District, Beijing, 100020",Consumer Packaged Goods,www.dachanfoodasia.com/en/aboutus.php,$74.1M,,$1.0B
Praktikertjanst AB,Sweden,"6,700","Adolf Fredriks Kyrkogata 9, Stockholm, 10355",Pharmaceuticals and Healthcare,www.praktikertjanst.se,,46 10 1280000,$1.0B
China Non-ferrous Metal Industry’s Foreign Engineering and Construction Co Ltd,China,"4,797","China Nonferrous Building, No. 10, Anding Road, Chaoyang District, Beijing, 100029",Metals and Mining,www.nfc.com.cn,$1.5B,86 10 84427227,$1.0B
BB Seguridade Participacoes SA,Brazil,,"Asa Norte, Brasilia, 70.040-912",Financial Services,www.bbseguridaderi.com.br/pt,$13.4B,55 61 34932929,$1.0B
Texas Capital Bancshares Inc,United States of America,"1,751","Suite 700, 2000 Mckinney Ave, Dallas, Texas, 75201",Financial Services,www.texascapitalbank.com,$3.0B,1 214 9326600,$1.0B
Shandong Xinhua Pharmaceutical Co Ltd,China,"6,540","No.1 Lutai Avenue, High-Tech Zone, Zibo, Shandong , 255086",Pharmaceuticals and Healthcare,www.xhzy.com,$2.1B,86 533 2166666,$1.0B
HBIS Resources Co Ltd,China,"4,004","No.385, Tiyu South Street, Shijiazhuang, Hebei, 050023",Construction,www.hbiszy.com,$1.4B,86 311 66500923,$1.0B
Nishat Mills Ltd,Pakistan,"27,760","7, Main Gulberg, Lahore, 54000",Consumer Packaged Goods,www.nishatmillsltd.com,$76.6M,92 42 35716351,$1.0B
Cadence Bancorp,United States of America,"1,818","2800 Post Oak Blvd Ste 3800, Houston, Texas, 77056-6170",Financial Services,www.cadencebancorporation.com,,1 713 8714000,$1.0B
The a2 Milk Company Ltd,New Zealand,421,"Po Box 91976, Auckland, 1142",Consumer Packaged Goods,thea2milkcompany.com,$3.5B,64 9 3755998,$1.0B
Soitec SA,France,"1,847","Parc Technologique Des Fontaines, Chemin Des Franques, Bernin, Villard-Bonnot, Rhone Alpes, 38190",Technology and Communications,www.soitec.com,$5.8B,33 4 76927500,$1.0B
PT Timah Tbk,Indonesia,"4,564","Jalan Jenderal Sudirman No.51, Bangka Belitung, Pangkal Pinang, 33121",Metals and Mining,www.timah.com,$623.9M,62 21 23528000,$1.0B
Unitika Ltd,Japan,"3,037","Osaka Center Bldg., 4-1-3, Kyutaro-Machi, Chuo-Ku, Osaka-Shi, 541-8566",Chemicals,www.unitika.co.jp,$107.3M,81 6 62815695,$1.0B
Owl Rock Capital Corp,United States of America,,"399 Park Avenue, 38th Floor, New York, 10022",Financial Services,www.owlrockcapitalcorporation.com,$5.1B,1 212 4193000,$1.0B
PT ABM Investama Tbk,Indonesia,"6,652","Suite 1802, Jl. Cilandak Kko No. 1, Lantai 18, Gedung Tmt 1, Jakarta Selatan, 12560",Metals and Mining,www.abm-investama.com,$573.9M,62 21 29976767,$1.0B
BizLink Holding Inc,United States of America,"5,003","3400 Gateway Blvd, Fremont, California, 94538-6583",Technology and Communications,www.bizlinktech.com,$1.3B,886 2 82261000,$1.0B
Cosumar SA,Morocco,"1,380","8 Rue Mouatamid Ibnou Abbad, Bp 3098 Roches Noires, Casablanca",Consumer Packaged Goods,www.cosumar.co.ma,$1.6B,212 52 2678300,$1.0B
Clas Ohlson AB,Sweden,"3,186","Insjon, Leksand, 79385",Retailing,www.clasohlson.com/se,$410.6M,46 247 44400,$1.0B
Mediaset Espana Comunicacion SA,Spain,"1,587","Carretera De Fuencarral A Alcobendas, N 4, Madrid, 28049",Media,www.mediaset.es,$1.1B,34 913 966300,$1.0B
La Doria SpA,Italy,810,"Via Nazionale, 320, Angri, 84012",Consumer Packaged Goods,www.gruppoladoria.it,,39 081 5166111,$1.0B
Enova International Inc,United States of America,"1,463","175 W Jackson Blvd Ste 1000, Chicago, Illinois, 60604-2863",Financial Services,www.enova.com,$1.3B,1 312 5684200,$1.0B
PT Pabrik Kertas Tjiwi Kimia Tbk,Indonesia,"5,300","Sinar Mas Land Plaza, Menara 2, Lt.5 Jl. Mh. Thamrin No 51, Jakarta Pusat, 10350",Paper and Packaging,tjiwikimia.co.id,$1.4B,62 21 29650800,$1.0B
AENZA SAA,Peru,"33,169","Av. Paseo De La Republica N 4675, Lima, 15047",Construction,www.aenza.com.pe,$182.8M,51 1 2136565,$1.0B
Neenah Inc,United States of America,"2,493","3460 Preston Ridge Rd, Alpharetta, Georgia, 30005-2058",Paper and Packaging,www.neenah.com,$561.9M,1 678 5666500,$1.0B
Bystronic AG,Switzerland,"3,636","Giesshuebelstrasse 45, Zuerich, 8045",Industrial Goods and Machinery,www.bystronic.com,$1.4B,41 44 4682449,$1.0B
Essent Group Ltd,Bermuda,350,"61 Front Street, 2 Church Street, Hamilton, HM11",Financial Services,essentgroup.com,$4.3B,1 441 2979901,$1.0B
Datadog Inc,United States of America,"3,200","620 Eighth Avenue, 45th Floor, New York, 10018",Technology and Communications,www.datadoghq.com,$22.1B,1 917 5126452,$1.0B
Zhejiang Huahai Pharmaceutical Co Ltd,China,"7,019","Xunqiao, Linhai City, Taizhou, Zhejiang, 317024",Pharmaceuticals and Healthcare,www.huahaipharm.com,$4.9B,8657685991096,$1.0B
Shenzhen Kingdom Sci-Tech Co Ltd,China,"8,888","8-9f, Kingdom Technology Mansion, Gaoxin South Fifth Ave,South Section, Hi-Tech Zone, Nanshan District, Shenzhen, Guangdong, 518057",Technology and Communications,www.szkingdom.com,$1.8B,86 755 86393989,$1.0B
RWS Holdings PLC,United Kingdom,"7,796","Chiltern Hill, Test City, New Postcode, Chalfont St Peter, SL99FG",Business and Consumer Services,www.rws.com,$1.9B,44 1753 480200,$1.0B
Megaworld Corp,Philippines,924,"28/F The World Centre, 330 Sen. Gil Puyat Avenue, Manila, 1634",Construction,www.megaworldcorp.com,$1.2B,63 2 88946431,$1.0B
Choice Properties Real Estate Investment Trust,Canada,298,"22 St. Clair Avenue East, Suite 500, Toronto, Ontario, M4T2S5",Construction,www.choicereit.ca,$3.8B,1 416 9606990,$1.0B
Abiomed Inc,United States of America,"2,003","22 Cherry Hill Dr, Danvers, Massachusetts, 01923-2575",Medical Equipment,www.abiomed.com,,1 978 7775410,$1.0B
Yelp Inc,United States of America,"4,400","10th Floor, 350 Mission Street, San Francisco, California, 94105",Technology and Communications,www.yelp.com,$2.0B,1 303 7962850,$1.0B
First Resources Ltd,Singapore,"8,066","8 Temasek Boulevard, #36-02 Suntec Tower Three, Singapore, 038988",Agriculture and Forestry,www.first-resources.com,$1.7B,65 6 6020200,$1.0B
Tien Phong Commercial Joint Stock Bank,Vietnam,"8,968","Toa Nha Tpbank, So 57, Pho Ly Thuong Kie, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Financial Services,tpb.vn,$1.6B,84 4 37683683,$1.0B
PT Indocement Tunggal Prakarsa Tbk,Indonesia,"4,668","Citeureup Factory Complex, Jl. Mayor Oking Jayaatmaja, Bogor, 16810",Construction,www.indocement.co.id,$2.4B,62 21 2512121,$1.0B
Solutions 30 SE,Luxembourg,"7,487","3 rue de la Reine, Luxembourg, L2418",Technology and Communications,www.solutions30.com,$245.8M,,$1.0B
Texwinca Holdings Ltd,Hong Kong,"10,903","16th Floor, Metroplaza, Tower Ii, 223 Hing Fong Road, Kwai Chung, New Territories, Hong Kong",Retailing,www.texwinca.com,$242.2M,852  26107116,$1.0B
LivaNova Plc,United Kingdom,"3,000","20 Eastbourne Terrace, London, W26LG",Medical Equipment,www.livanova.com/home.action,$3.0B,44 20 33250662,$1.0B
Tecan Group Ltd,Switzerland,"3,291","Seestrasse 103, Maennedorf, 8708",Medical Equipment,www.tecan.com,$5.6B,41 44 9228111,$1.0B
Makalot Industrial Co Ltd,Taiwan,"23,773","6th Floor, No. 106-2, Section 2, Chung Shan North Road, Jhongshan Dist., Taipei, 110",Textiles,www.makalot.com.tw,$1.9B,886 2 23455588,$1.0B
Container Corporation of India Ltd,India,"1,359","Nsic New Mdbp Building, 3rd Floor, Okhla Industrial Estate, New Delhi, 110020",Transport and Logistics,www.concorindia.com,$5.3B,91 11 41222500,$1.0B
Datwyler Holding Inc,Switzerland,"8,679","Gotthardstrasse 31, Altdorf, 6460",Industrial Goods and Machinery,www.datwyler.com,$2.8B,41 41 8751100,$1.0B
Aker ASA,Norway,"2,358","Oksenoyveien 10, Lysaker, 1366",Energy and Utilities,www.akerasa.com,$5.6B,47 2 4130000,$1.0B
Cognex Corp,United States of America,"2,257","One Vision Drive, Natick, Massachusetts, 01760",Technology and Communications,www.cognex.com,$8.8B,1 508 6503000,$1.0B
Odfjell SE,Norway,"2,299","Postterminalen, Conrad Mohrsv. 29, P.O. Box 6101, Bergen, 5892",Transport and Logistics,www.odfjell.com,$744.2M,47 55 270000,$1.0B
Mitsubishi Research Institute Inc,Japan,"4,235","2-10-3, Nagata-Cho, Chiyoda-Ku, Tokyo, 100-8141",Technology and Communications,www.mri.co.jp,$619.8M,81 3 51572111,$1.0B
Nien Made Enterprise Co Ltd,Taiwan,"7,664","23f-1, No.98, Shizheng North, 7th Road, Xitun District, Taichung, 407",Consumer Packaged Goods,www.nienmade.com.tw,$3.1B,886 43 6000999,$1.0B
GCC SAB de CV,Mexico,"3,028","Avenida Vicente Suarez Y Calle Sexta, S/N Zona Industrial Nombre De Dios, Chihuahua, 31105",Construction,www.gcc.com,$2.7B,52 614 4423100,$1.0B
Enviva Inc,United States of America,"1,196","7272 Wisconsin Ave., Suite 1800, Bethesda, Maryland, 20814",Alternative Energy,www.envivabiomass.com,$3.2B,1 301 6575560,$1.0B
Fastighets AB Balder,Sweden,"1,139","Parkgatan 49, Goeteborg, 41138",Construction,www.balder.se,$6.0B,46 31 109570,$1.0B
Partner Communications Co Ltd,Israel,"2,588","8 Amal Street,  Afeq Industrial Park, P.O. Box 435, Rosh Ha'Ayin, 4809229",Technology and Communications,www.partner.co.il,$1.3B,,$1.0B
The Hiroshima Bank Ltd,Japan,"3,439","1-1-7 Nishikaniya, Minami-Ku, Minami-ku, Hiroshima-Shi, 732-0804",Financial Services,www.hirogin-hd.co.jp/,,81 82 2455151,$1.0B
"Lacto Japan Co., Ltd.",Japan,323,"8-15 Nihonbashi Honcho 4-Chome, 3rd Floor Neo Kawai Building, Chuo-Ku, Tokyo, 103-0027",Consumer Packaged Goods,www.lactojapan.com,$151.0M,81 3 62143831,$1.0B
"Covenant Logistics Group, Inc.",United States of America,"4,500","400 Birmingham Hwy, Chattanooga, Tennessee, 37419-2346",Transport and Logistics,www.covenantlogistics.com,$486.9M,1 423 8211212,$1.0B
Gentherm Inc,United States of America,"10,474","21680 Haggerty Rd, Northville, Michigan, 48167-8994",Automotive,www.gentherm.com,$2.4B,1 248 5040500,$1.0B
Vueling Airlines SA,Spain,"3,969","Vilaadecans Business Park, Edif. Brasil, Carrer de Catalunya, 83, Barcelona , 08840",Transport and Logistics,www.vueling.com,,34 93 3787878,$1.0B
CSG Systems International Inc,United States of America,"5,200","10th Floor, 6175 South Willow Drive, Greenwood Village, Colorado, 80111",Technology and Communications,www.csgi.com,$1.8B,1 303 2002000,$1.0B
Nihon Parkerizing Co Ltd,Japan,"4,353","1-15-1, Nihombashi, Chuo-Ku, Tokyo, 103-0027",Chemicals,www.parker.co.jp,$969.7M,81 3 32784333,$1.0B
UnionBank of the Philippines,Philippines,"3,676","Unionbank Plaza, Ortigas Center, Meralco Avenue Cor.Onyx & Sapphire Roads, Pasig, 1605",Financial Services,www.unionbankph.com,$3.9B,63 2 86676388,$1.0B
BGI Genomics Co Ltd,China,"4,333","Ole Maaloees Vej 3, Copenhagen N, Shenzhen, Guangdong, 518083",Medical Equipment,www.bgi.com,$3.3B,86 755 36307065,$1.0B
Banco de Occidente,Colombia,"3,353","Carrera 13 No. 27-47, Bogota",Financial Services,www.bancodeoccidente.com.co,$952.9M,57 1 7464000,$1.0B
Proofpoint Inc,United States of America,"3,658","925 West Maude Avenue, Sunnyvale, California, 94085",Technology and Communications,www.proofpoint.com,,1 408 5174710,$1.1B
Ocwen Financial Corp,United States of America,"5,700","1661 Worthington Rd Ste 100, West Palm Beach, Florida, 33409-6493",Financial Services,www.ocwen.com,$262.3M,1 561 6828000,$1.1B
S&B Foods Inc,Japan,"2,122","18-6, Nihombashi Kabuto-Cho, Chuo-Ku, Tokyo, 103-0026",Consumer Packaged Goods,www.sbfoods.co.jp,$371.0M,81 3 36680551,$1.1B
mixi Inc,Japan,"1,452","36f, Scramble Square, 2-24-12, Shibuya, Shibuya-Ku, Tokyo, 150-6136",Technology and Communications,mixi.co.jp,$1.5B,81 3 68979500,$1.1B
Hanmi Pharmaceuticals Co Ltd,South Korea,"2,095","214, Muha-Ro, Paltan-Myeon, Hwaseong, 18536",Pharmaceuticals and Healthcare,www.hanmi.co.kr,$2.6B,82 31 3505600,$1.1B
The 77 Bank Ltd,Japan,"2,754","3-3-20, Chuo, Aoba-Ku, Sendai-Shi, Miyagi, 980-8777",Financial Services,www.77bank.co.jp,$1.3B,81 22 2671111,$1.1B
The Supreme Industries Ltd,India,"5,228","142-48, S. V. Road, Jogeshwari (West), Mumbai, 400093",Construction,www.supreme.co.in,$3.7B,91 22 67710000,$1.1B
Merida Industry Co Ltd,Taiwan,"3,768","No.116, Megan Road, Megan Village, Dacun, 515",Leisure and Arts,www.merida-bikes.com,$1.8B,886 48 526171,$1.1B
United Arrows Ltd.,Japan,"4,213","3-28-1, Jingumae, Shibuya-Ku, Tokyo, 150-0001",Retailing,www.united-arrows.co.jp,$399.0M,81 3 57856325,$1.1B
Amano Corp,Japan,"4,786","275, Mamedo-Cho, Kohoku-Ku, Yokohama-Shi, Kanagawa, 222-8558",Technology and Communications,www.amano.co.jp,$1.4B,81 45 4011441,$1.1B
Paycom Software Inc,United States of America,"5,385","7501 W Memorial Rd, Oklahoma City, 73142-1404",Technology and Communications,www.paycom.com,$18.0B,1 405 7226900,$1.1B
SoftwareONE Holding AG,Switzerland,"8,890","Riedenmatt 4, Stans, 6370",Technology and Communications,www.softwareone.com,$2.5B,,$1.1B
China Aviation Lithium Battery Co Ltd,China,,"No. 1 Jiangdong Avenue, Jintan District, Changzhou, Jiangsu, 213200",Clean Technology,www.calb-tech.com,$4.5B,86 379 60339688,$1.1B
OSB Group Plc,United Kingdom,"1,826","Chatham Maritime, Osb House Quayside, Kent, ME44QZ",Financial Services,www.osb.co.uk,$2.7B,44 1634 848944,$1.1B
Systex Corp,Taiwan,"4,363","No.318, Rueiguang Road, Neihu District, Taipei, 114",Technology and Communications,tw.systex.com,$654.7M,886 2 77201888,$1.1B
Crown Resorts Ltd,Australia,"11,500","Level 3, Crown Towers, 8 Whiteman Street, Southbank, Melbourne, Victoria, 3006",Leisure and Arts,www.crownresorts.com.au,,61 3 92928824,$1.1B
CarrefourSA Carrefour Sabanci Ticaret Merkezi AS,Turkey,"11,154","Carfrsa Plza Cvzli Mh.Tgy Yl  Cad, No:67a Blok B Maltepe, Istanbul, 34846",Retailing,www.carrefoursa.com,$441.9M,90 216 6550000,$1.1B
Sao Martinho SA,Brazil,"7,869","Fazenda Sao Martinho, S/Nr., Zona Rural, Pradopolis, 14.850-000",Chemicals,www.saomartinho.com.br,$1.6B,55 16 39819000,$1.1B
Kobelco Eco-Solutions Co Ltd,Japan,"1,330","4-78, 1-chome, Wakinohama-cho, Chuo-ku, Kobe-Shi, Hyogo, 651-0072",Clean Technology,www.kobelco-eco.co.jp,,81 78 2328018,$1.1B
Tatung Co Ltd,Taiwan,"32,222","No.22, Section 3, Chungshan North Road, Taipei, 104",Technology and Communications,www.tatung.com.tw,$2.6B,886 2 25925252,$1.1B
PT Jasa Marga (Persero) Tbk,Indonesia,"8,049","Plaza Tol Taman Mini Indah, Jakarta, 13550",Construction,www.jasamarga.com,$1.5B,62 21 8413630,$1.1B
DB HiTek Co Ltd,South Korea,"2,004","90, Sudo-Ro, Bucheon, 14519",Technology and Communications,www.dbhitek.co.kr,$1.5B,82 32 6804700,$1.1B
Dah Sing Financial Holdings Ltd,Hong Kong,"3,014","36/F, Everbright Centre, 108 Gloucester Road, Hong Kong",Financial Services,www.dahsing.com/html/tc/about_us/aboutus.html,$830.0M,852  25078866,$1.1B
CGG SA,France,"3,312","27 Avenue Carnot, Paris, 91300",Energy and Utilities,www.cgg.com,$605.0M,33 1 64474500,$1.1B
Omega Healthcare Investors Inc,United States of America,70,"Suite 3500, 200 International Circle, Hunt Valley, Maryland, 21030",Construction,www.omegahealthcare.com,$6.6B,1 410 4271700,$1.1B
Stockmann plc,Finland,"6,449","Aleksanterinkatu 52 B, Pl 220, Helsinki, 00100",Retailing,www.stockmanngroup.com,$355.0M,358 9 1211,$1.1B
Global Industrial Co,United States of America,"1,480","11 Harbor Park Dr, Port Washington, New York, 11050",Retailing,www.globalindustrial.com,$952.4M,1 516 6087000,$1.1B
Zhaojin Mining Industry Co Ltd,China,"6,755","No. 118 Wenquan Road, Zhaoyuan City, Yantai, Shandong , 265400",Metals and Mining,en.zhaojin.com.cn,$3.8B,86 535 8266009,$1.1B
Brunel International NV,Netherlands,"12,219","John M. Keynesplein 33, Amsterdam, 1066EP",Business and Consumer Services,www.brunelinternational.net,$550.2M,31 20 3125000,$1.1B
Islami Bank Bangladesh Ltd,Bangladesh,"19,193","Islami Bk Tower, 40 Dilkusha C/A, Dhaka, 1000",Financial Services,www.islamibankbd.com,$561.4M,880 2 9563040,$1.1B
IJM Corporation Berhad,Malaysia,"2,878","Wisma Ijm, Jalan Yong Shook Lin, Selangor Darul Ehsan, 46050",Construction,www.ijm.com,$1.3B,60 3 79858288,$1.1B
Semirara Mining and Power Corp,Philippines,"3,943","2/F Dmci Bldg. Pasong Tamo Extension, Makati, 2281",Metals and Mining,www.semiraramining.com,$2.7B,63 88 83000,$1.1B
Breville Group Ltd,Australia,610,"U 2 170-180 Bourke Rd, Alexandria, New South Wales, 2015",Consumer Packaged Goods,www.brevillegroup.com.au,$2.1B,61 2 93848100,$1.1B
