,country,employees_2017,employees_2020,founding_year,name,revenue_2017,revenue_2020,sector
38,germany,22,56.0,2014,inkitt,"229,713","5,926,970",technology
39,italy,1,2.0,2016,h.k.trading,"225,380","5,721,590",retail
40,uk,16,124.0,2015,attest,"194,090","4,864,178",technology
41,france,na,11.0,2016,lgm immobilier,"101,311","2,549,778",property
42,the netherlands,7,29.0,2017,wolfram chain*,"100,711","2,431,371",management consulting
43,germany,3,38.0,2017,rightnow,"379,771","8,951,132",technology
44,uk,7,63.0,2014,eo charging,"757,323","17,158,962",technology
45,italy,2,9.0,2013,chetariffa.it,"110,200","2,495,860",support services
46,uk,26,90.0,2017,simply,"744,092","16,483,836",financial services
47,uk,24,187.0,2015,salary finance,"387,995","8,593,220",fintech
48,sweden,2,10.0,2017,dbt,"179,204","3,837,994",fintech
49,poland,15,140.0,2016,tutlo,"388,565","7,778,203",education
50,france,4,27.0,2013,ponera,"1,186,853","25,901,607",ecommerce
51,greece,0,2.0,2014,active energy solutions,"640,056","13,312,033",energy
52,france,2,8.0,2012,acteam enr,"103,240","2,133,691",energy
53,uk,8,70.0,2015,everflow,"3,188,715","64,223,085",technology
54,uk,1,1.0,2016,azure prism,"238,216","4,752,777",retail
55,germany,2,7.0,2017,wr logistics,"585,280","11,662,200",transport
56,uk,14,61.0,2011,iproov,"376,519","7,435,887",technology
57,italy,1,5.0,2017,spin up,"203,950","4,009,330",advertising
58,germany,4,16.0,2012,begreat,"270,090","5,141,555",retail
59,italy,2,17.0,2017,tsunami nutrition*,"369,000","6,945,000",ecommerce
60,the netherlands,2,6.0,2016,matt sleeps,"535,070","9,789,240",interiors
61,uk,28,138.0,2013,tessian,"858,482","15,365,580",technology
62,germany,98,369.0,2016,solarisbank,"2,007,000","35,938,000",financial services
63,france,2,21.0,2016,m2dg (myflexoffice),"375,323","6,630,617",support services
64,italy,2,11.0,2004,eukon,"362,320","6,393,680",health
65,italy,3,13.0,2016,evolution adv,"805,870","14,175,780",advertising
66,spain,47,274.0,2001,making science,"3,306,795","57,670,541",technology
67,italy,45,207.0,2014,everli,"6,287,460","109,248,030",ecommerce
68,finland,12,73.0,2014,appfollow,"128,176","2,210,636",technology
69,poland,40,190.0,2013,synerise,"255,062","3,999,023",technology
70,poland,4,8.0,2010,chaikola,"330,763","5,158,786",food & beverage
71,germany,4,12.0,2015,scolution,"107,492","1,825,546",technology
72,france,3,15.0,2017,jl&p,"131,164","2,212,606",energy
73,italy,8,50.0,2017,efarma.com,"1,199,580","20,150,800",pharmaceuticals
74,uk,22,138.0,2013,elvie,"2,474,341","40,813,930",technology
75,italy,1,5.0,2010,farmarelax,"270,750","4,459,170",personal & household goods
76,uk,20,99.0,2008,omnisend,"742,746","11,761,268",technology
77,italy,1,5.0,2017,world trade group,"314,150","4,897,950",fashion
78,france,2,32.0,2016,besteam conseil,"249,176","3,871,782",technology
79,uk,5,96.0,2016,motorway,"320,411","4,838,407",automobiles
80,germany,0,26.0,2014,iso public services,"672,821","10,019,903",technology
81,uk,106,918.0,2015,octopus energy,"145,398,192","2,120,071,949",energy
82,uk,8,82.0,2017,cyberiam*,"387,161","5,639,335",cyber security
83,italy,2,17.0,2017,cbweed*,"245,000","3,500,000",personal & household goods
84,portugal,18,46.0,2015,catraport,"518,613","7,294,549",automobiles
85,france,13,106.0,2016,ouihelp,"262,421","3,686,617",support services
86,denmark,33,67.0,2013,inpay,"1,702,000","23,803,000",fintech
87,italy,4,10.0,2017,m.g.i. meccaniche generali irpine,"188,680","2,610,700",industrial goods
88,uk,7,80.0,2016,glencar construction,"7,930,094","107,860,442",construction
89,uk,9,23.0,2010,qmee,"925,527","12,571,314",technology
90,italy,1,10.0,2015,myappfree,"422,420","5,764,870",advertising
91,germany,8,55.0,2014,investa dienstleistungen,"159,707","2,176,136",support services
92,sweden,19,58.0,2014,polarium energy solutions,"5,581,858","74,065,413",batteries
93,italy,4,5.0,2016,baroni home,"113,072","1,531,358",ecommerce
94,uk,6,45.0,2013,dayshape,"247,465","3,320,479",technology
95,italy,3,8.0,2016,marketers company,"139,300","1,880,460",advertising
96,spain,2,5.0,2017,easo magno,"228,076","3,061,854",beauty
97,germany,1,10.0,2016,greyfood,"684,874","9,187,050",retail
98,uk,3,9.0,2016,misfits health,"171,057","2,266,155",food & beverage
99,france,1,5.0,2010,meilleursbiens.com,"291,481","3,864,176",property
100,uk,5,36.0,2011,fasanara capital,"882,099","11,527,860",financial services
101,cyprus,44,122.0,2015,ntechlab,"664,000","8,730,000",technology
102,italy,2,5.0,2016,babylino sensitive,"217,460","2,851,840",personal & household goods
103,the netherlands,24,54.0,2012,fastned,"530,667","6,890,000",technology
104,portugal,2,6.0,2009,oxray,"427,339","5,465,756",health
105,germany,3,4.0,2017,zega invest,"299,598","3,785,340",property
106,hungary,2,7.0,2016,abylon consulting,"159,128","1,721,315",technology
107,norway,20,77.0,2005,milrab,"6,753,191","79,302,201",ecommerce
108,belgium,7,55.0,2015,urbantz,"242,368","3,031,099",technology
109,uk,6,32.0,2017,tricas construction,"1,281,462","15,880,745",construction
110,italy,6,10.0,2017,florence one,"131,691","1,629,099",technology
111,germany,8,35.0,2014,ergotopia,"620,283","7,664,825",retail
112,hungary,5,17.0,2011,mcule.com kft.,"252,713","2,683,264",chemicals & pharmaceuticals
113,italy,9,18.0,2014,filo,"815,690","10,049,610",technology
114,italy,4,11.0,2014,homepal,"130,290","1,603,990",property
115,germany,55,310.0,2014,staffbase,"2,201,178","26,894,501",technology
116,france,2,4.0,2016,ilon materiel,"207,327","2,512,300",construction
117,ireland,7,25.0,2014,bio-marine,"133,200","1,612,837",personal & household goods
118,france,2,18.0,2016,isodeco,"241,411","2,906,133",construction
119,italy,18,42.0,2010,treedom,"560,150","6,709,720",support services
120,germany,3,20.0,2016,fenstermaxx24,"712,855","8,466,121",retail
121,germany,7,31.0,2017,pohl & sã¶hne gerã¼stbau,"180,824","2,124,763",construction
122,france,3,13.0,2013,yso corp,"570,012","6,689,503",media
123,italy,2,10.0,2017,gyada cosmetics,"156,130","1,830,610",beauty
124,uk,47,190.0,2014,privitar,"855,321","9,923,965",technology
125,uk,1,25.0,2015,delineate,"288,095","3,332,661",technology
126,poland,75,563.0,2016,spyrosoft,"2,326,082","24,721,755",technology
127,slovakia,6,37.0,2014,bio energy solutions,"1,383,205","16,006,537",waste management & recycling
128,italy,2,51.0,2015,increso,"281,000","3,230,000",management consulting
129,italy,1,46.0,2016,lsg - logistic & service group,"777,410","8,873,180",transport
130,sweden,19,125.0,2015,energihem,"2,527,006","28,004,684",construction
131,uk,48,164.0,2012,amity,"522,712","5,743,440",technology
132,germany,4,43.0,2014,goyago,"337,525","3,729,920",retail
133,france,23,140.0,2016,la regie de portage salarial,"692,440","7,638,731",support services
134,denmark,5,15.0,2007,dall energy,"551,000","6,013,000",energy
135,germany,5,44.0,2014,appinio,"330,500","3,597,000",technology
136,italy,14,33.0,2015,pinsami,"455,000","4,892,000",food & beverage
137,france,1,1.0,2013,aer trading,"1,643,572","17,575,388",retail
138,france,1,4.0,2014,valumen,"205,554","2,196,424",support services
139,france,4,14.0,2016,follow,"643,299","6,844,818",advertising
140,germany,4,173.0,2016,darpdecade,"628,384","6,624,660",retail
141,estonia,399,1798.0,2013,bolt,"21,098,843","221,393,889",technology
142,italy,2,5.0,2014,kiteworldshop.com,"160,539","1,671,984",ecommerce
143,germany,10,19.0,2006,peter kenkel,"2,131,000","22,137,000",retail
144,denmark,32,292.0,2014,templafy,"1,521,010","15,486,451",technology
145,italy,17,99.0,2014,comservice,"194,780","2,016,300",support services
146,italy,1,5.0,2017,falcor presse,"291,720","2,996,770",industrial goods
147,the netherlands,8,40.0,2017,roomraccoon,"167,000","1,715,334",technology
148,spain,37,95.0,2013,signaturit,"552,355","5,639,953",technology
149,uk,31,191.0,2015,modulr,"1,269,382","12,789,098",fintech
150,germany,17,63.0,2012,profishop,"4,340,517","43,812,068",ecommerce
151,the netherlands,2,15.0,2015,floer,"249,975","2,520,013",interiors
152,italy,4,12.0,2011,audiosalus,"156,300","1,569,480",retail
153,uk,2,26.0,2016,statsbomb,"204,620","2,027,170",technology
154,italy,2,8.0,2013,theras biocare,"2,693,390","26,633,230",pharmaceuticals
155,uk,32,61.0,2016,stenn,"3,058,141","29,615,571",fintech
156,hungary,30,180.0,2012,nanushka,"2,456,563","20,825,934",fashion
157,germany,10,60.0,2016,dpm - deutsches personal management,"230,800","2,267,760",support services
158,uk,84,243.0,2013,monese,"1,870,109","18,196,451",fintech
159,spain,40,288.0,2005,arquimea,"7,450,099","72,044,361",technology
160,france,4,18.0,2013,groupe perspective,"280,390","2,709,000",education
161,sweden,37,155.0,2014,funnel,"1,217,338","11,499,031",technology
162,germany,5,49.0,2015,living quarter,"529,371","5,016,731",health
163,sweden,38,287.0,2013,svea solar,"7,177,912","66,146,911",energy
164,ireland,6,16.0,2016,bevcraft group,"429,505","4,046,859",food & beverage
165,uk,767,932.0,2013,learning technologies group,"2,096,570","19,446,429",technology
166,italy,2,9.0,2014,cura farma,"479,290","4,436,220",health
167,lithuania,2,7.0,2013,kamado bono,"735,758","6,801,734",personal & household goods
168,spain,3,47.0,2007,sipadan,"374,200","3,457,203",management consulting
169,czech republic,18,45.0,2013,dateio,"530,785","4,710,733",fintech
170,germany,4,16.0,2016,crest investment,"533,144","4,857,817",property
171,italy,2,19.0,2017,componenti digitali,"308,810","2,805,850",retail
172,germany,3,6.0,2006,immo-konzepte,"252,871","2,269,276",property
173,denmark,3,41.0,2014,swipbox,"1,052,796","9,391,760",technology
174,sweden,9,85.0,2015,nextory,"3,046,667","26,534,087",media
175,poland,32,176.0,2016,itds polska,"1,057,443","8,609,941",technology
176,italy,4,5.0,2015,savait,"237,410","2,108,040",ecommerce
177,spain,3,18.0,2015,adpone,"1,255,372","11,124,512",advertising
178,lithuania,350,1000.0,2012,nord security,"18,035,029","156,623,915",cyber security
179,the netherlands,25,226.0,2012,mews,"2,531,000","22,386,000",technology
180,spain,9,35.0,2015,titulae,"551,128","4,870,863",education
181,ireland,5,40.0,2016,systeme.io,"273,552","2,407,982",ecommerce
182,greece,20,30.0,2003,eodh sa,"299,988","2,597,612",aerospace & defence
183,italy,2,5.0,2015,multix solutions,"1,340,430","11,586,460",health
184,france,2,12.0,2016,b2digit,"228,982","1,978,128",technology
185,uk,5,47.0,2015,a million ads,"570,564","4,882,837",advertising
186,the netherlands,5,25.0,2013,woodwatch,"651,170","5,590,390",retail
187,france,3,12.0,2010,fenãªtres du doubs,"262,280","2,238,347",construction
188,germany,3,65.0,2016,koesea,"400,000","3,400,000",construction
189,italy,14,38.0,2011,podium advanced technologies,"2,133,310","18,025,740",automobiles
190,croatia,109,166.0,2010,spegra,"2,025,879","17,059,791",construction
191,spain,18,117.0,2013,gpainnova,"1,815,680","15,245,617",industrial goods
192,italy,4,23.0,2016,soluzione tasse,"2,264,940","18,939,430",management consulting
193,germany,2,15.0,2016,velocultour,"295,731","2,458,500",retail
194,hungary,2,7.0,2011,butorpiac.hu,"305,268","2,184,336",ecommerce
195,czech republic,8,44.0,2016,success solutions,"327,218","2,633,664",technology
196,denmark,1,1.0,1989,bug bite thing europe,"191,679","1,577,878",health
197,estonia,4,24.0,2015,dexatel,"1,349,733","11,087,980",technology
198,italy,1,6.0,2015,gemco,"481,510","3,941,900",construction
199,france,,,2015,lyonnaise de construction et renovation,"812,371","6,640,842",construction
200,uk,204,702.0,2012,gousto,"26,112,757","210,945,370",food & beverage
201,uk,4,6.0,2010,winter in venice,"1,575,522","12,682,062",beauty
202,germany,18,72.0,2007,infratech bau,"7,415,334","60,067,088",construction
203,italy,3,46.0,2016,4streets building innovation tunnels bridges roads,"833,230","6,739,630",construction
204,uk,31,95.0,2013,landbay,"1,119,178","8,980,496",fintech
205,sweden,3,18.0,2012,degoo,"249,818","1,973,775",technology
206,germany,52,320.0,2016,franco fresco,"6,280,267","50,723,858",food & beverage
207,uk,25,84.0,2014,lendable,"5,026,349","40,305,193",fintech
208,germany,2,6.0,2014,ulrich mã¼ller wealth academy,"440,369","3,516,744",education
209,germany,19,84.0,2012,cerascreen,"1,315,000","10,499,782",health
210,france,24,43.0,2011,eqinov,"8,811,708","70,183,744",energy
211,italy,7,12.0,1996,serre famiglia pederiva viticoltori dal 1958,"1,134,730","9,022,020",food & beverage
212,uk,68,170.0,2013,bloom & wild,"19,757,296","155,595,726",ecommerce
213,germany,9,29.0,2016,brã¤utigam,"796,207","6,315,124",automobiles
214,finland,1,7.0,2006,newil & bau,"2,448,858","19,420,672",construction
215,spain,271,411.0,2015,id finance,"13,157,000","103,634,000",fintech
216,sweden,74,600.0,2014,kry,"10,152,222","77,764,611",health
217,italy,4,25.0,2015,sixth sense,"500,440","3,916,570",technology
218,italy,7,19.0,2014,nethive,"506,730","3,960,770",cyber security
219,uk,3,8.0,2016,latitude investment management,"225,964","1,750,466",financial services
220,sweden,10,68.0,2015,qred,"3,989,355","30,414,122",fintech
221,germany,15,55.0,2016,oculavis,"504,357","3,924,472",technology
222,italy,5,30.0,2015,the information lab,"548,180","4,253,110",technology
223,germany,6,10.0,2015,md sonnenschutztechnik,"524,750","4,068,621",construction
224,croatia,7,43.0,2017,syntio,"274,966","2,127,532",technology
225,denmark,3,13.0,2016,bomae,"214,713","1,662,487",financial services
226,uk,6,18.0,2014,gophr,"755,191","5,738,336",technology
227,germany,20,110.0,2012,memory pc,"7,522,000","57,375,000",retail
228,germany,2,6.0,2017,sollis solargroãhandel,"1,556,607","11,860,100",retail
229,greece,37,123.0,2015,spotawheel,"2,058,315","15,646,588",automobiles
230,uk,18,83.0,2012,ooni pizza ovens,"8,508,398","63,879,414",personal & household goods
231,germany,10,35.0,2015,robovox distributions,"2,570,000","19,427,000",retail
232,uk,92,650.0,2000,centralnic group,"26,626,422","197,260,279",technology
233,germany,16,83.0,2003,bernd andert transporte,"546,226","4,105,262",transport
234,uk,16,18.0,2007,bluewater bio,"2,708,983","20,201,424",technology
235,italy,25,107.0,2012,tecma solutions,"975,140","7,319,870",technology
236,poland,21,48.0,2015,delante,"316,525","2,160,094",sales & marketing
237,germany,8,15.0,2015,intumind,"884,885","6,560,962",health
238,germany,10,15.0,2016,saljol,"559,778","4,146,403",health
239,germany,9,20.0,2014,tkd solutions,"2,146,950","15,874,245",telecoms
240,finland,5,15.0,2016,kuori,"340,000","2,501,902",technology
241,sweden,21,42.0,2010,ferroamp,"1,062,649","7,645,003",energy
242,uk,6,23.0,2016,valor real estate partners,"621,636","4,534,588",financial services
243,france,2,14.0,2013,anexiti,"350,019","2,565,735",technology
244,france,6,23.0,2017,genius,"330,522","2,417,902",support services
245,italy,3,31.0,2015,instilla,"410,520","2,993,310",advertising
246,spain,12,60.0,2012,footdistrict,"2,051,133","14,942,262",ecommerce
247,sweden,12,36.0,2012,spiideo,"674,805","4,799,358",technology
248,uk,14,118.0,2012,contractpodai,"670,685","4,875,622",technology
249,germany,5,15.0,2017,tarhan bauausfã¼hrungen,"255,000","1,851,000",construction
250,uk,44,218.0,2010,matillion,"3,417,815","24,580,709",technology
251,germany,2,5.0,2017,extra mile live service,"364,485","2,637,501",retail
252,france,17,173.0,2013,littlebig connection,"15,653,388","111,538,883",support services
253,italy,15,50.0,2011,spc general service,"954,700","6,788,660",construction
254,spain,156,801.0,2008,jobandtalent,"49,833,511","352,879,165",technology
255,uk,14,20.0,2016,financial house,"2,669,247","18,766,625",fintech
256,poland,8,42.0,2013,mylead,"309,471","2,004,501",sales & marketing
257,italy,15,74.0,2016,mia-platform,"923,730","6,515,510",technology
258,italy,20,32.0,1976,tecnimed,"1,354,980","9,551,790",health
259,uk,5,22.0,2015,longevity partners,"335,460","2,336,243",retail
260,italy,56,345.0,2015,nexumstp,"3,659,630","25,667,400",management consulting
261,france,3,16.0,2016,g-on,"259,342","1,810,459",support services
262,uk,3,10.0,2016,picnic,"219,999","1,508,869",advertising
263,italy,2,36.0,2012,egomnia,"276,750","1,901,140",technology
264,uk,10,40.0,2012,loyaltylion,"657,382","4,483,296",technology
265,norway,22,142.0,2016,remarkable,"18,106,514","115,793,390",technology
266,uk,119,673.0,2016,kubrick,"4,829,922","32,614,354",management consulting
267,italy,7,35.0,2012,contrader,"688,860","4,682,960",technology
268,germany,39,89.0,2008,samont,"2,880,891","19,577,339",industrial goods
269,italy,1,5.0,2017,sirive,"667,170","4,527,690",construction
270,spain,10,15.0,2014,multienergia verde,"21,640,253","146,453,604",energy
271,belgium,1,6.0,2013,wielandts upmt,"226,295","1,529,270",technology
272,sweden,4,13.0,2015,asket,"991,534","6,525,278",fashion
273,czech republic,10,45.0,2015,central warehouse solution,"274,790","1,788,545",transport
274,italy,2,21.0,2015,chef in camicia,"310,810","2,071,960",advertising
275,uk,9,28.0,2015,piper homes,"4,601,266","30,436,232",construction
276,spain,12,33.0,2014,alturas cubiertas y fachadas,"1,411,811","9,375,243",construction
277,germany,2,11.0,2015,autosalon uhingen,"1,587,500","10,540,000",automobiles
278,france,1,5.0,2013,yumi beauty,"404,819","2,678,257",chemicals & pharmaceuticals
279,france,2,7.0,2016,for me lab,"251,795","1,652,073",ecommerce
280,sweden,7,25.0,2015,stockholms elbolag,"5,033,032","32,265,912",energy
281,germany,21,84.0,1999,flohr,"3,241,629","21,249,638",waste management & recycling
282,italy,1,4.0,2008,agricodem,"436,610","2,856,530",agricultural commodities
283,germany,14,80.0,2005,dach schutzbekleidung,"6,936,038","45,227,730",industrial goods
284,germany,7,16.0,2017,em-tec energiemontagen,"461,000","3,002,729",construction
285,romania,8,9.0,2014,wave studio,"656,172","4,105,688",technology
286,croatia,3,17.0,2013,bazzar,"1,034,093","6,686,617",retail
287,the netherlands,10,43.0,2015,cybersprint,"449,771","2,914,738",cyber security
288,italy,19,34.0,2012,brandon group,"4,954,590","32,039,000",ecommerce
289,germany,1,13.0,2014,feiniko handelsgesellschaft,"4,979,484","32,168,909",retail
290,italy,2,21.0,2015,pharmagrin,"422,610","2,701,410",health
291,czech republic,1,3.0,2016,life m,"322,050","2,001,844",technology
292,portugal,5,16.0,2012,plã¡sticos dãster_o / sacos & saquetas,"304,833","1,946,703",industrial goods
293,germany,19,70.0,2010,logipal24,"789,058","4,967,568",transport
294,the netherlands,23,22.0,2012,pastbook,"5,361,088","33,651,532",technology
295,uk,6,21.0,2013,bluefin,"4,653,721","28,993,287",ecommerce
296,uk,4,18.0,2016,milk & honey pr,"245,974","1,528,900",sales & marketing
297,france,70,220.0,1990,prodeval,"11,756,712","73,514,217",energy
298,finland,23,110.0,2013,virta,"1,765,457","11,029,402",technology
299,italy,4,28.0,2015,bizaway,"318,940","1,989,950",travel & leisure
300,france,2,6.0,2015,karl & lã©on,"385,266","2,391,019",retail
301,uk,39,80.0,2001,identity,"3,733,539","22,885,804",management consulting
302,hungary,4,55.0,2016,blackbelt holding,"923,000","5,695,000",technology
303,france,1,13.0,2010,dynveo,"598,678","3,687,780",retail
304,czech republic,7,29.0,2016,favi,"4,174,549","24,995,030",ecommerce
305,finland,4,27.0,2016,hopkins,"737,936","4,534,346",sales & marketing
306,italy,3,7.0,2016,ap italian luxury,"698,300","4,283,930",fashion
307,uk,20,45.0,2015,novicap,"551,848","3,383,802",fintech
308,italy,1,5.0,2013,iglm store,"1,277,410","7,790,420",ecommerce
309,germany,8,41.0,1999,luis technology,"1,644,899","10,000,511",technology
310,uk,55,275.0,2016,quantexa,"5,643,295","33,902,755",fintech
311,italy,9,37.0,2014,enerbrain,"685,370","4,131,370",energy
312,germany,7,28.0,2013,brinckmann,"1,002,579","6,037,461",construction
313,italy,6,12.0,1982,lmg building,"1,043,440","6,255,970",construction
314,norway,12,33.0,2013,nordic unmanned,"1,122,907","6,305,237",aerospace & defence
315,france,2,6.0,2017,hemisphere,"1,091,925","6,484,822",property
316,germany,23,87.0,2017,therapiezentrum.com nw,"492,860","2,916,337",health
317,uk,39,82.0,2010,beauhurst,"916,511","5,355,215",technology
318,romania,43,49.0,2017,c.u.n. cargo carriers,"1,207,613","7,103,702",transport
319,italy,23,34.0,2016,mg project,"1,396,400","8,208,450",telecoms
320,germany,3,6.0,2015,bonmea,"2,484,783","14,597,418",retail
321,italy,2,6.0,2007,oceanis yachts,"521,250","3,059,130",travel & leisure
322,france,2,8.0,2016,opus db,"2,076,139","12,171,118",construction
323,france,9,27.0,2013,devensys cybersecurity,"580,644","3,403,055",technology
324,cyprus,25,104.0,2016,project agora,"3,380,420","19,798,875",advertising
325,germany,5,19.0,2012,bettertrust,"853,561","4,981,938",advertising
326,italy,3,10.0,2014,banale,"352,000","2,051,370",ecommerce
327,the netherlands,5,17.0,2013,maatwerk online,"287,985","1,673,382",sales & marketing
328,france,1,6.0,2011,les constructeurs du bois,"877,275","5,087,783",property
329,italy,6,10.0,2013,esserre pharma,"441,260","2,556,640",pharmaceuticals
330,uk,8,18.0,2014,onbuy.com,"473,344","2,720,319",ecommerce
331,france,27,108.0,2015,gojob,"7,007,000","40,546,000",support services
332,germany,6,10.0,2016,newroom,"638,739","3,669,217",retail
333,italy,3,9.0,2016,christmas the original,"347,190","1,994,200",retail
334,germany,5,16.0,2016,dimaxbau,"349,641","2,003,989",construction
335,germany,2,9.0,2013,comnovis it,"332,372","1,900,000",technology
336,germany,4,8.0,2016,die direktkontakter,"493,000","2,818,000",support services
337,italy,30,400.0,2010,mega trasporti,"3,185,180","18,168,170",transport
338,france,9,40.0,2014,lehibou,"2,423,113","13,816,792",technology
339,italy,3,13.0,2014,stufe a pellet italia,"631,500","3,598,050",interiors
340,uk,31,46.0,2012,aquis exchange,"2,267,165","12,824,155",financial services
341,uk,8,50.0,2015,chattermill,"408,336","2,306,045",technology
342,germany,10,45.0,2016,schã¶nertel,"2,884,392","16,388,546",construction
343,italy,8,57.0,2011,global work,"558,820","3,174,000",telecoms
344,germany,1,9.0,2012,allygatr,"338,300","1,914,500",support services
345,uk,3,14.0,2013,cru wine,"1,644,134","9,235,946",food & beverage
346,italy,5,8.0,2004,abc rent,"3,878,370","21,818,000",automobiles
347,uk,20,57.0,2011,superior wellness,"9,719,653","54,150,622",personal & household goods
348,austria,3,12.0,2016,schrott24,"2,610,679","14,641,523",waste management & recycling
349,italy,3,14.0,2017,mazzoni etech,"419,240","2,344,440",industrial goods
350,france,4,6.0,1996,berdugo immobilier,"2,696,485","15,049,845",property
351,lithuania,9,37.0,2016,nova rent,"1,600,000","8,900,000",industrial goods
352,czech republic,13,38.0,2013,rouvy,"751,071","4,058,269",games industry
353,italy,3,4.0,2015,business analysis & legal expertise - b.a.l.e.,"532,690","2,943,020",management consulting
354,poland,172,381.0,2000,jmb,"12,709,000","70,179,000",energy
355,france,2,13.0,2016,nocnoc,"289,766","1,596,167",travel & leisure
356,uk,5,33.0,2013,crowdproperty,"539,486","2,941,537",fintech
357,france,4,42.0,2015,tutosâme,"910,963","4,989,872",education
358,italy,4,10.0,2011,studio ekoâ,"318,370","1,740,660",management consulting
359,uk,2,7.0,2010,beings,"348,129","1,881,768",technology
360,poland,3,6.0,2013,dmrgroupltd.com,"1,418,769","7,050,124",chemicals & pharmaceuticals
361,uk,35,119.0,2014,ice telecommunications ltd,"2,982,238","16,067,551",telecoms
362,italy,18,95.0,2012,gallas group,"856,790","4,640,710",support services
363,italy,4,10.0,2010,etracom,"4,253,600","22,952,660",ecommerce
364,uk,38,88.0,2015,xalient,"4,893,654","26,199,717",technology
365,italy,5,,2009,labevolution,"1,349,250","7,264,130",health
366,italy,9,20.0,2015,kuadra,"635,400","3,400,580",interiors
367,spain,3,8.0,2014,kyo electric,"1,013,181","5,402,302",telecoms
368,uk,13,32.0,2012,sopost,"1,481,398","7,825,138",technology
369,italy,7,44.0,2016,s.f.r.e.,"564,910","3,004,290",construction
370,germany,60,262.0,2012,sportstech,"20,436,426","108,500,233",retail
371,france,40,98.0,2014,opã©ra energie,"2,127,151","11,218,211",energy
372,uk,28,76.0,2010,routenote,"7,339,330","38,428,858",technology
373,uk,26,40.0,2016,doctify,"461,671","2,409,255",health
374,uk,30,67.0,2008,fruugo,"4,176,347","21,793,194",ecommerce
375,germany,7,15.0,2012,insidemarketing,"569,646","2,971,846",technology
376,italy,2,11.0,2013,falzi,"391,540","2,037,320",waste management & recycling
377,spain,62,504.0,2015,atrys health,"6,035,116","31,396,438",health
378,italy,1,4.0,2016,il cantiere costruzioni,"826,430","4,297,790",construction
379,germany,13,22.0,2004,soorce,"3,013,629","15,639,618",support services
380,belgium,26,85.0,2013,sortlist,"655,000","3,396,000",technology
381,poland,90,234.0,2010,virtuslab,"2,635,420","12,468,548",technology
382,sweden,5,16.0,2012,skalhuset.se,"1,454,711","7,342,811",ecommerce
383,germany,6,26.0,2013,vipino,"2,148,122","11,067,681",retail
384,italy,30,133.0,2015,gea service,"1,304,060","6,673,050",waste management & recycling
385,italy,12,62.0,2016,gellify,"1,090,920","5,581,540",technology
386,uk,42,92.0,2014,billion dollar boy,"2,577,297","13,085,484",advertising
387,italy,19,58.0,2014,westrafo,"4,356,500","22,072,700",energy
