,name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
293,logipal24,germany,transport,doll_4.97 m,789058,70.0,19,2010
294,pastbook,the netherlands,technology,doll_33.65 m,5361088,22.0,23,2012
295,bluefin,uk,ecommerce,doll_28.99 m,4653721,21.0,6,2013
296,milk & honey pr,uk,sales & marketing,doll_1.53 m,245974,18.0,4,2016
297,prodeval,france,energy,doll_73.51 m,11756712,220.0,70,1990
298,virta,finland,technology,doll_11.03 m,1765457,110.0,23,2013
299,bizaway,italy,travel & leisure,doll_1.99 m,318940,28.0,4,2015
300,karl & léon,france,retail,doll_2.39 m,385266,6.0,2,2015
301,identity,uk,management consulting,doll_22.89 m,3733539,80.0,39,2001
302,blackbelt holding,hungary,technology,doll_5.7 m,923000,55.0,4,2016
303,dynveo,france,retail,doll_3.69 m,598678,13.0,1,2010
304,favi,czech republic,ecommerce,doll_25.0 m,4174549,29.0,7,2016
305,hopkins,finland,sales & marketing,doll_4.53 m,737936,27.0,4,2016
306,ap italian luxury,italy,fashion,doll_4.28 m,698300,7.0,3,2016
307,novicap,uk,fintech,doll_3.38 m,551848,45.0,20,2015
308,iglm store,italy,ecommerce,doll_7.79 m,1277410,5.0,1,2013
309,luis technology,germany,technology,doll_10.0 m,1644899,41.0,8,1999
310,quantexa,uk,fintech,doll_33.9 m,5643295,275.0,55,2016
311,enerbrain,italy,energy,doll_4.13 m,685370,37.0,9,2014
312,brinckmann,germany,construction,doll_6.04 m,1002579,28.0,7,2013
313,lmg building,italy,construction,doll_6.26 m,1043440,12.0,6,1982
314,nordic unmanned,norway,aerospace & defence,doll_6.31 m,1122907,33.0,12,2013
315,hemisphere,france,property,doll_6.48 m,1091925,6.0,2,2017
316,therapiezentrum.com nw,germany,health,doll_2.92 m,492860,87.0,23,2017
317,beauhurst,uk,technology,doll_5.36 m,916511,82.0,39,2010
318,c.u.n. cargo carriers,romania,transport,doll_7.1 m,1207613,49.0,43,2017
319,mg project,italy,telecoms,doll_8.21 m,1396400,34.0,23,2016
320,bonmea,germany,retail,doll_14.6 m,2484783,6.0,3,2015
321,oceanis yachts,italy,travel & leisure,doll_3.06 m,521250,6.0,2,2007
322,opus db,france,construction,doll_12.17 m,2076139,8.0,2,2016
323,devensys cybersecurity,france,technology,doll_3.4 m,580644,27.0,9,2013
324,project agora,cyprus,advertising,doll_19.8 m,3380420,104.0,25,2016
325,bettertrust,germany,advertising,doll_4.98 m,853561,19.0,5,2012
326,banale,italy,ecommerce,doll_2.05 m,352000,10.0,3,2014
327,maatwerk online,the netherlands,sales & marketing,doll_1.67 m,287985,17.0,5,2013
328,les constructeurs du bois,france,property,doll_5.09 m,877275,6.0,1,2011
329,esserre pharma,italy,pharmaceuticals,doll_2.56 m,441260,10.0,6,2013
330,onbuy.com,uk,ecommerce,doll_2.72 m,473344,18.0,8,2014
331,gojob,france,support services,doll_40.55 m,7007000,108.0,27,2015
332,newroom,germany,retail,doll_3.67 m,638739,10.0,6,2016
333,christmas the original,italy,retail,doll_1.99 m,347190,9.0,3,2016
334,dimaxbau,germany,construction,doll_2.0 m,349641,16.0,5,2016
335,comnovis it,germany,technology,doll_1.9 m,332372,9.0,2,2013
336,die direktkontakter,germany,support services,doll_2.82 m,493000,8.0,4,2016
337,mega trasporti,italy,transport,doll_18.17 m,3185180,400.0,30,2010
338,lehibou,france,technology,doll_13.82 m,2423113,40.0,9,2014
339,stufe a pellet italia,italy,interiors,doll_3.6 m,631500,13.0,3,2014
340,aquis exchange,uk,financial services,doll_12.82 m,2267165,46.0,31,2012
341,chattermill,uk,technology,doll_2.31 m,408336,50.0,8,2015
342,schönertel,germany,construction,doll_16.39 m,2884392,45.0,10,2016
343,global work,italy,telecoms,doll_3.17 m,558820,57.0,8,2011
344,allygatr,germany,support services,doll_1.91 m,338300,9.0,1,2012
345,cru wine,uk,food & beverage,doll_9.24 m,1644134,14.0,3,2013
346,abc rent,italy,automobiles,doll_21.82 m,3878370,8.0,5,2004
347,superior wellness,uk,personal & household goods,doll_54.15 m,9719653,57.0,20,2011
348,schrott24,austria,waste management & recycling,doll_14.64 m,2610679,12.0,3,2016
349,mazzoni etech,italy,industrial goods,doll_2.34 m,419240,14.0,3,2017
350,berdugo immobilier,france,property,doll_15.05 m,2696485,6.0,4,1996
351,nova rent,lithuania,industrial goods,doll_8.9 m,1600000,37.0,9,2016
352,rouvy,czech republic,games industry,doll_4.06 m,751071,38.0,13,2013
353,business analysis & legal expertise - b.a.l.e.,italy,management consulting,doll_2.94 m,532690,4.0,3,2015
354,jmb,poland,energy,doll_70.18 m,12709000,381.0,172,2000
355,nocnoc,france,travel & leisure,doll_1.6 m,289766,13.0,2,2016
356,crowdproperty,uk,fintech,doll_2.94 m,539486,33.0,5,2013
357,tutos’me,france,education,doll_4.99 m,910963,42.0,4,2015
358,studio eko’,italy,management consulting,doll_1.74 m,318370,10.0,4,2011
359,beings,uk,technology,doll_1.88 m,348129,7.0,2,2010
360,dmrgroupltd.com,poland,chemicals & pharmaceuticals,doll_7.05 m,1418769,6.0,3,2013
361,ice telecommunications ltd,uk,telecoms,doll_16.07 m,2982238,119.0,35,2014
362,gallas group,italy,support services,doll_4.64 m,856790,95.0,18,2012
363,etracom,italy,ecommerce,doll_22.95 m,4253600,10.0,4,2010
364,xalient,uk,technology,doll_26.2 m,4893654,88.0,38,2015
365,labevolution,italy,health,doll_7.26 m,1349250,,5,2009
366,kuadra,italy,interiors,doll_3.4 m,635400,20.0,9,2015
367,kyo electric,spain,telecoms,doll_5.4 m,1013181,8.0,3,2014
368,sopost,uk,technology,doll_7.83 m,1481398,32.0,13,2012
369,s.f.r.e.,italy,construction,doll_3.0 m,564910,44.0,7,2016
370,sportstech,germany,retail,doll_108.5 m,20436426,262.0,60,2012
371,opéra energie,france,energy,doll_11.22 m,2127151,98.0,40,2014
372,routenote,uk,technology,doll_38.43 m,7339330,76.0,28,2010
373,doctify,uk,health,doll_2.41 m,461671,40.0,26,2016
374,fruugo,uk,ecommerce,doll_21.79 m,4176347,67.0,30,2008
375,insidemarketing,germany,technology,doll_2.97 m,569646,15.0,7,2012
376,falzi,italy,waste management & recycling,doll_2.04 m,391540,11.0,2,2013
377,atrys health,spain,health,doll_31.4 m,6035116,504.0,62,2015
378,il cantiere costruzioni,italy,construction,doll_4.3 m,826430,4.0,1,2016
379,soorce,germany,support services,doll_15.64 m,3013629,22.0,13,2004
380,sortlist,belgium,technology,doll_3.4 m,655000,85.0,26,2013
381,virtuslab,poland,technology,doll_12.47 m,2635420,234.0,90,2010
