name,world_rank,marketValue,marketCap,CEO,country
PETROCHINA COMPANY,91,143.700 Billion USD,128.700 Billion USD,Dai Houliang,China
CHRISTIAN DIOR,92,143.380 Billion USD,139.230 Billion USD,Pietro Beccari,France
AGRICULTURAL BANK OF CHINA,81,160.760 Billion USD,160.550 Billion USD,Gu Shu,China
INTUIT,82,160.710 Billion USD,154.690 Billion USD,Suzanne Nora Johnson,USA
MEITUAN DIANPING,83,160.510 Billion USD,201.890 Billion USD,Wang Xing,China
ROYAL BANK OF CANADA,84,159.750 Billion USD,146.400 Billion USD,David I. McKay,Canada
ADVANCED MICRO DEVICES (AMD),85,159.410 Billion USD,134.300 Billion USD,Hector de J. Ruiz,USA
SONY CORPORATION,86,156.010 Billion USD,129.060 Billion USD,Kenichiro Yoshida,Japan
PHILIP MORRIS INTERNATIONAL,87,154.340 Billion USD,160.530 Billion USD,Jacek Olczak,USA
PING AN INSURANCE (GROUP) COMPANY OF CHINA,88,150.120 Billion USD,145.860 Billion USD,Peter Ma,China
HONEYWELL INTERNATIONAL,89,148.530 Billion USD,160.110 Billion USD,,USA
SHOPIFY,93,143.340 Billion USD,190.100 Billion USD,Tobias Albin Lutke,Canada
KEYENCE CORPORATION,94,142.420 Billion USD,148.070 Billion USD,Yu Nakata,Japan
MEDTRONIC,95,141.390 Billion USD,179.590 Billion USD,Geoff Martha,Ireland
BRISTOL-MYERS SQUIBB COMPANY,96,139.460 Billion USD,148.570 Billion USD,Dr. Caforio,USA
SIEMENS,97,138.710 Billion USD,131.560 Billion USD,,Germany
TOTALENERGIES SE,98,138.010 Billion USD,117.070 Billion USD,,France
CVS HEALTH CORPORATION,99,137.540 Billion USD,114.000 Billion USD,David W. Dorman,USA
NOVO NORDISK A/S,50,231.350 Billion USD,229.040 Billion USD,Helge Lund,Denmark
COMCAST CORPORATION,51,228.670 Billion USD,278.500 Billion USD,Brian L. Roberts,USA
VERIZON COMMUNICATIONS,52,227.690 Billion USD,227.710 Billion USD,Hans Vestberg,USA
SALESFORCE.COM,53,224.880 Billion USD,259.700 Billion USD,Marc Benioff,USA
RELIANCE INDUSTRIES,54,220.760 Billion USD,214.910 Billion USD,,India
PAYPAL HOLDINGS,55,220.420 Billion USD,339.180 Billion USD,John J. Donahoe,USA
WELLS FARGO & COMPANY,56,218.380 Billion USD,187.660 Billion USD,Steven Black,USA
INTEL CORPORATION,57,217.340 Billion USD,219.320 Billion USD,Patrick P. Gelsinger,USA
DANAHER CORPORATION,58,211.280 Billion USD,231.420 Billion USD,Rainer M. Blair,USA
MERCK & CO,59,202.830 Billion USD,193.120 Billion USD,Kenneth C. Frazier,USA
UNILEVER GROUP,100,137.220 Billion USD,145.300 Billion USD,,Netherlands
T-MOBILE US,101,137.070 Billion USD,172.090 Billion USD,Timotheus Hottges,USA
BANK OF CHINA,102,135.640 Billion USD,129.970 Billion USD,Liu Liange,China
BLACKROCK,103,135.550 Billion USD,144.120 Billion USD,Laurence D,USA
SCHWARZ GROUP,103,103,103,,Germany
RAYTHEON TECHNOLOGIES CORPORATION,104,135.370 Billion USD,127.810 Billion USD,Gregory J. Hayes,USA
AMERICAN EXPRESS COMPANY,105,135.070 Billion USD,131.840 Billion USD,Stephen J. Squeri,USA
VOLKSWAGEN,106,134.250 Billion USD,147.140 Billion USD,,Germany
APPLIED MATERIALS,107,134.000 Billion USD,122.010 Billion USD,Thomas J. Iannotti,USA
HSBC HOLDINGS,108,132.940 Billion USD,108.530 Billion USD,,UK
THE GOLDMAN SACHS GROUP,109,132.600 Billion USD,139.390 Billion USD,David Solomon,USA
WULIANGYE YIBIN,110,132.390 Billion USD,120.940 Billion USD,Zeng Congqin,China
CITI GROUP,111,130.530 Billion USD,145.750 Billion USD,John C. Dugan,USA
CHINA MOBILE,112,130.510 Billion USD,127.770 Billion USD,Yang Jie,China
AMGEN,113,128.030 Billion USD,128.070 Billion USD,Robert A. Bradway,USA
YOUTUBE,113,113,113,,USA
ESTEE LAUDER COMPANIES,114,127.760 Billion USD,123.020 Billion USD,William P. Lauder,USA
BOEING COMPANY,115,126.650 Billion USD,128.660 Billion USD,,USA
SANOFI,116,126.370 Billion USD,130.900 Billion USD,,France
STARBUCKS CORPORATION,117,126.200 Billion USD,138.530 Billion USD,Howard Schultz,USA
COMMONWEALTH BANK OF AUSTRALIA,118,125.770 Billion USD,132.470 Billion USD,,Australia
AIA GROUP,119,125.620 Billion USD,147.550 Billion USD,Lee Yuan Siong,Hong Kong
DIAGEO,120,123.290 Billion USD,112.110 Billion USD,,UK
AMERICAN TOWER CORPORATION (REIT),121,121.400 Billion USD,133.740 Billion USD,James D. Taiclet Jr.,USA
CATERPILLAR,122,121.270 Billion USD,115.440 Billion USD,Jim Umpleby,USA
IBM,123,120.850 Billion USD,125.790 Billion USD,,USA
RIO TINTO GROUP,124,116.980 Billion USD,121.550 Billion USD,,UK
DEERE & COMPANY,125,116.400 Billion USD,118.130 Billion USD,John C. May,USA
INTUITIVE SURGICAL,126,115.850 Billion USD,125.360 Billion USD,Craig H. Barratt ,USA
HDFC BANK,127,114.330 Billion USD,121.600 Billion USD,,India
PROLOGIS,128,113.660 Billion USD,99.902 Billion USD,Hamid Moghadam,USA
SERVICENOW,129,112.710 Billion USD,127.500 Billion USD,Fred Luddy,USA
GENERAL ELECTRIC COMPANY,130,111.350 Billion USD,115.700 Billion USD,,USA
TARGET CORPORATION,131,110.570 Billion USD,120.540 Billion USD,Navneet Kapoor,USA
GLAXOSMITHKLINE,132,110.320 Billion USD,102.500 Billion USD,,UK
CHINA LIFE INSURANCE COMPANY,133,109.770 Billion USD,105.170 Billion USD,Yang Mingsheng,China
ANHEUSER-BUSCH INBEV,134,109.500 Billion USD,123.700 Billion USD,,Belgium
CHARTER COMMUNICATIONS,135,109.450 Billion USD,150.120 Billion USD,Thomas M. Rutledge,USA
GAZPROM,136,108.150 Billion USD,102.610 Billion USD,Viktor Zubkov,Russia
S&P GLOBAL,137,107.670 Billion USD,106.960 Billion USD,Richard E. Thornburgh,USA
SCHNEIDER ELECTRIC,138,107.120 Billion USD,100.250 Billion USD,,France
INGRAM MICRO,139,139,139,,USA
VANGUARD GROUP,139,139,,Tim Buckley,USA
CONOCOPHILLIPS COMPANY,140,106.360 Billion USD,74.359 Billion USD,Ryan Lance,USA
JD.COM,141,106.000 Billion USD,122.680 Billion USD,Richard Qiangdong Liu,China
MICRON TECHNOLOGY,142,105.800 Billion USD,82.968 Billion USD,Robert E. Switz,USA
ANTHEM,143,105.580 Billion USD,91.462 Billion USD,Elizabeth E. Tallett,USA
AIRBNB,144,105.510 Billion USD,97.433 Billion USD,Brian Chesky,USA
AIRBUS,145,105.090 Billion USD,108.800 Billion USD,,Netherlands
KOCH INDUSTRIES,145,145,145,Charles G. Koch,USA
BYTEDANCE,145,145,145,Zhang Yiming,China
SEA LIMITED,146,104.350 Billion USD,181.990 Billion USD,Forrest Li,Singapore
3M COMPANY,147,103.700 Billion USD,112.680 Billion USD,Mike Roman,USA
ALLIANZ SE,148,103.280 Billion USD,97.559 Billion USD,,Germany
INFOSYS,149,102.720 Billion USD,101.040 Billion USD,,India
MERCK KGAA O.N.,150,102.500 Billion USD,103.430 Billion USD,,Germany
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,151,101.570 Billion USD,98.171 Billion USD,Satoshi Miura,Japan
NTT DOCOMO,152,101.260 Billion USD,97.019 Billion USD,Motoyuki Ii,Japan
KERING,153,101.130 Billion USD,101.460 Billion USD,,France
AUTOMATIC DATA PROCESSING (ADP),154,100.640 Billion USD,88.441 Billion USD,Arthur F. Weinbach,USA
BOOKING HOLDINGS,155,99.972 Billion USD,94.424 Billion USD,Robert J. Mylod Jr,USA
ZOETIS,156,99.872 Billion USD,97.222 Billion USD,JUAN RAMÓN ALAIX,USA
STRYKER CORPORATION,157,99.429 Billion USD,104.490 Billion USD,Kevin A. Lobo,USA
LOCKHEED MARTIN CORPORATION,158,99.322 Billion USD,100.260 Billion USD,Marillyn Hewson,USA
INDITEX (INDUSTRIA DE DISENO TEXTIL),159,98.655 Billion USD,106.260 Billion USD,Marta Ortega,Spain
FORD MOTOR COMPANY,160,97.668 Billion USD,52.052 Billion USD,William Clay Ford Jr.,USA
BP P.L.C.,161,97.619 Billion USD,83.106 Billion USD,,UK
CSL,162,97.072 Billion USD,104.100 Billion USD,,Australia
AL RAJHI BANKING AND INVESTMENT CORPORATION,163,94.931 Billion USD,81.675 Billion USD,Abdullah bin Sulaiman,Saudi Arabia
ROBERT BOSCH,163,163,163,Stefan Hartung,Germany
THE PNC FINANCIAL SERVICES GROUP,164,94.557 Billion USD,81.216 Billion USD,Jim Rohr,USA
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),165,94.398 Billion USD,99.468 Billion USD,Abdulaziz Saleh Aljarbou,Saudi Arabia
LAM RESEARCH CORPORATION,166,94.235 Billion USD,85.857 Billion USD,Abhijit Y. Talwalkar,USA
MONDELEZ INTERNATIONAL,167,94.230 Billion USD,86.888 Billion USD,Dirk Van de Put,USA
BYD COMPANY,168,92.257 Billion USD,111.350 Billion USD,Wang Chuanfu,China
DEUTSCHE TELEKOM AG,169,92.028 Billion USD,100.940 Billion USD,,Germany
SNOWFLAKE,170,91.792 Billion USD,90.118 Billion USD,Frank Slootman,USA
ALTRIA GROUP,171,91.427 Billion USD,92.628 Billion USD,Mr. Farrell,USA
AUDI AG,171,171,82.150 Billion USD,,Germany
DELOITTE,171,171,171,Punit Renjen,UK
BNP PARIBAS,172,90.457 Billion USD,81.165 Billion USD,,France
U.S. BANCORP,173,90.451 Billion USD,85.088 Billion USD,Andrew Cecere,USA
GENERAL MOTORS COMPANY,174,90.407 Billion USD,71.149 Billion USD,Mary Barra,USA
CARGILL,174,174,174,,USA
RECRUIT HOLDINGS,175,90.237 Billion USD,96.041 Billion USD,Masumi Minegishi,Japan
BROOKFIELD ASSET MANAGEMENT,176,89.968 Billion USD,87.110 Billion USD,Frank McKenna,Canada
EQUINOR ASA,177,89.918 Billion USD,69.062 Billion USD,Marit Arnstad,Norway
BRITISH AMERICAN TOBACCO,178,89.470 Billion USD,86.485 Billion USD,,UK
MERCEDEC BENZ GROUP AG,179,89.412 Billion USD,89.843 Billion USD,,Germany
GILEAD SCIENCES,180,89.387 Billion USD,91.252 Billion USD,Daniel ODay,USA
ESSILOR LUXOTTICA,181,89.047 Billion USD,87.399 Billion USD,,France
THE TJX COMPANIES,182,88.726 Billion USD,87.449 Billion USD,Ernie Herrman,USA
ANALOG DEVICES,183,88.697 Billion USD,87.571 Billion USD,Vincent Roche,USA
BANK OF NOVA SCOTIA,184,87.963 Billion USD,75.020 Billion USD,Brian J. Porter,Canada
TOKYO ELECTRON LIMITED,185,87.398 Billion USD,67.213 Billion USD,Tetsuo Tsuneishi,Japan
CANADIAN NATIONAL RAILWAY COMPANY,186,87.195 Billion USD,83.116 Billion USD,Robert Pace,Canada
TRUIST FINANCIAL CORPORATION,187,86.768 Billion USD,76.165 Billion USD,William H. “Bill” Rogers Jr,USA
MODERNA,188,86.710 Billion USD,152.050 Billion USD,Stephane Bancel,USA
CHUBB,189,86.661 Billion USD,80.693 Billion USD,Evan G. Greenberg,Switzerland
SWATCH GROUP AG,190,85.629 Billion USD,72.635 Billion USD,Nayla Hayek,Switzerland
MIDEA GROUP,191,85.137 Billion USD,72.414 Billion USD,Fang Hongbo,China
SHERWIN-WILLIAMS COMPANY,192,84.747 Billion USD,79.957 Billion USD,John G. Morikis,USA
PRICEWATERHOUSECOOPERS,193,193,193,Sanjeev Krishan,UK
COMPAGNIE FINANCIERE RICHEMONT SA,194,84.500 Billion USD,62.283 Billion USD,Jerome Lambert,Switzerland
AIR LIQUIDE,195,84.264 Billion USD,84.795 Billion USD,,France
CROWN CASTLE INTERNATIONAL CORPORATION,196,84.163 Billion USD,84.373 Billion USD,Landis Martin,USA
SBERBANK OF RUSSIA,197,83.756 Billion USD,101.810 Billion USD,Sergey Ignatiev,Russia
CSX CORPORATION,198,83.196 Billion USD,73.339 Billion USD,Michael J. Ward,USA
BLACKSTONE GROUP,199,82.928 Billion USD,89.938 Billion USD,Stephen A. Schwarzman,USA
ALLERGAN,200,200,200,Brenton L. Saunders,Ireland
MARSH & MCLENNAN COMPANIES,200,82.707 Billion USD,79.642 Billion USD,,USA
PUBLIX,200,200,200,Ed Crenshaw,USA
ENBRIDGE,201,82.219 Billion USD,79.749 Billion USD,Al Monaco,Canada
SOFTBANK GROUP,202,81.219 Billion USD,111.870 Billion USD,Masayoshi Son,Japan
SIEMENS HEALTHINEERS AG,203,81.178 Billion USD,78.575 Billion USD,,Germany
CME GROUP,204,80.879 Billion USD,72.445 Billion USD,Terrence A. Duffy,USA
UBER TECHNOLOGIES,205,80.534 Billion USD,73.753 Billion USD,Ronald Sugar,USA
DUKE ENERGY CORPORATION,206,80.396 Billion USD,80.519 Billion USD,"James E. Rogers, Jr.",USA
NATIONAL COMMERCIAL BANK,207,79.842 Billion USD,73.057 Billion USD,Michael Lee-Chin,Saudi Arabia
LIFE INSURANCE CORPORATION OF INDIA,207,,,,India
ENEL,208,79.770 Billion USD,93.913 Billion USD,Michele Crisostomo,Italy
PSBC (POSTAL SAVINGS BANK OF CHINA),209,79.132 Billion USD,73.135 Billion USD,Lv Jiajin,China
CHINA YANGTZE POWER,210,78.971 Billion USD,67.612 Billion USD,Ming Shan Lei,China
MITSUBISHI UFJ FINANCIAL GROUP,211,78.838 Billion USD,70.953 Billion USD,Hironori Kamezawa,Japan
DEUTSCHE POST AG,212,78.472 Billion USD,86.161 Billion USD,,Germany
RELIANCE JIO,212,212,,,India
HCA HEALTHCARE,213,78.443 Billion USD,80.990 Billion USD,Thomas Frist III,USA
ATLAS COPCO AB,214,78.380 Billion USD,81.730 Billion USD,Mats Rahmstrom,Sweden
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),215,77.722 Billion USD,74.987 Billion USD,Dai Houliang,China
INVESTOR AB (PUBL),216,77.328 Billion USD,76.632 Billion USD,Jacob Wallenberg,Sweden
CIGNA CORPORATION,217,77.282 Billion USD,71.984 Billion USD,H Edward Hanway,USA
ILLINOIS TOOL WORKS,218,77.256 Billion USD,73.343 Billion USD,E. Scott Santi,USA
ATLASSIAN CORPORATION,219,76.763 Billion USD,92.469 Billion USD,Shona Brown,Australia
EDWARDS LIFESCIENCES CORPORATION,220,76.356 Billion USD,73.042 Billion USD,Michael A Mussallem,USA
HINDUSTAN UNILEVER,221,76.085 Billion USD,89.838 Billion USD,,India
RIVIAN AUTOMOTIVE INC,221,76.220 Billion USD,"2,707",Robert Joseph Scaringe,USA
ABB,222,76.037 Billion USD,74.202 Billion USD,Morten Wierod,Switzerland
ROSNEFT OIL COMPANY,223,75.445 Billion USD,71.568 Billion USD,Gerhard Schroder,Russia
ADYEN,224,75.414 Billion USD,95.554 Billion USD,,Netherlands
INTERCONTINENTAL EXCHANGE,225,75.074 Billion USD,67.314 Billion USD,Jeffrey C. Sprecher,USA
AXA,226,74.588 Billion USD,67.669 Billion USD,Antoine Gosset-Grainville,France
BANK OF MONTREAL,227,73.370 Billion USD,64.522 Billion USD,George A Cope,Canada
ICICI BANK,228,73.325 Billion USD,69.454 Billion USD,,India
HONG KONG EXCHANGES AND CLEARING (HKEX),229,73.044 Billion USD,81.454 Billion USD,Laura Cha,Hong Kong
HANGZHOU HIKVISION DIGITAL TECHNOLOGY,230,72.956 Billion USD,74.514 Billion USD,Chen Zongnian,China
SK HYNIX,231,72.832 Billion USD,63.866 Billion USD,Lee Seok-Hee,South Korea
THE SOUTHERN COMPANY,232,72.745 Billion USD,69.597 Billion USD,David M. Ratcliffe,USA
BECTON DICKINSON AND COMPANY,233,72.444 Billion USD,72.286 Billion USD,Edward J. Ludwig,USA
NORFOLK SOUTHERN CORPORATION,234,72.227 Billion USD,62.617 Billion USD,Charles Moorman,USA
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,235,72.144 Billion USD,58.797 Billion USD,Pang Kang,China
IBERDROLA,236,72.100 Billion USD,78.478 Billion USD,Jose Ignacio Sanchez Galan,Spain
FISERV,237,71.853 Billion USD,78.001 Billion USD,Frank Bisignano,USA
VALE SA,238,71.751 Billion USD,95.523 Billion USD,Jose Luciano Duarte Penido,Brazil
FIDELITY NATIONAL INFORMATION SERVICES,239,71.635 Billion USD,78.922 Billion USD,Gary A. Norcross,USA
SHIN-ETSU CHEMICAL,240,71.309 Billion USD,69.588 Billion USD,Chihiro Kanagawa,Japan
DASSAULT SYSTEMES,241,71.224 Billion USD,74.752 Billion USD,,France
COLGATE-PALMOLIVE COMPANY,242,71.170 Billion USD,66.104 Billion USD,Noel R. Wallace,USA
GLENCORE,243,70.870 Billion USD,60.237 Billion USD,,Switzerland
BAYERISCHE MOTOREN WERKE (BMW),244,70.505 Billion USD,61.301 Billion USD,,Germany
CANADIAN PACIFIC RAILWAY,245,70.397 Billion USD,45.872 Billion USD,Andrew Reardon,Canada
ERNST & YOUNG,245,245,245,,UK
MARVELL TECHNOLOGY GROUP,246,70.128 Billion USD,50.396 Billion USD,Rick Hill,Bermuda
PINDUODUO,247,70.059 Billion USD,125.350 Billion USD,Colin Huang Zheng,China
FEDEX CORPORATION,248,69.949 Billion USD,70.724 Billion USD,Raj Subramaniam,USA
EQUINIX,249,69.777 Billion USD,76.000 Billion USD,Peter Van Camp,USA
NOVATEK,250,69.387 Billion USD,73.220 Billion USD,,Russia
MOODY'S CORPORATION,251,69.229 Billion USD,70.899 Billion USD,Raymond W. McDaniel,USA
"LUCID GROUP, INC.",252,69.115 Billion USD,32.308 Billion USD,Andrew Liveris,USA
NATIONAL AUSTRALIA BANK,253,69.038 Billion USD,69.046 Billion USD,,Australia
BASF SE,254,68.991 Billion USD,70.978 Billion USD,,Germany
A.P. MOLLER - MAERSK A/S,255,68.834 Billion USD,53.954 Billion USD,Soren Skou,Denmark
PETROLEO BRASILEIRO - PETROBRAS,256,68.812 Billion USD,68.487 Billion USD,Roberto Castello Branco,Brazil
ALDI,256,256,256,,Germany
KDDI CORPORATION,257,68.132 Billion USD,69.533 Billion USD,Takashi Tanaka,Japan
LONGI GREEN ENERGY TECHNOLOGY,258,68.086 Billion USD,69.039 Billion USD,Baoshen Zhong,China
ZURICH INSURANCE GROUP AG,259,67.906 Billion USD,65.651 Billion USD,Tom de Swaan,Switzerland
WASTE MANAGEMENT,260,67.667 Billion USD,65.317 Billion USD,Thomas (Tom) H . Weidemeyer,USA
NONGFU SPRING,261,66.972 Billion USD,59.798 Billion USD,,China
EATON CORPORATION,262,66.905 Billion USD,67.108 Billion USD,Craig Arnold,Ireland
NETEASE,263,66.904 Billion USD,67.760 Billion USD,Ding Lei,China
DENSO CORPORATION,264,66.747 Billion USD,54.482 Billion USD,Koji Arima,Japan
UBS GROUP AG,265,66.672 Billion USD,57.919 Billion USD,Colm Kelleher,Switzerland
SNAP INC,266,66.581 Billion USD,120.340 Billion USD,Michael Lynton,USA
INDUSTRIAL BANK,267,66.409 Billion USD,59.705 Billion USD,Yiping Tao,China
AMERICA MOVIL,268,66.199 Billion USD,65.350 Billion USD,Carlos Slim Domit,Mexico
PT BANK CENTRAL ASIA TBK,269,66.014 Billion USD,56.651 Billion USD,Jahja Setiaatmadja,Indonesia
AIR PRODUCTS AND CHEMICALS,270,65.931 Billion USD,59.660 Billion USD,Seifi Ghasemi,USA
ECOLAB,271,65.873 Billion USD,64.473 Billion USD,"Douglas M. Baker, Jr",USA
CAPITAL ONE FINANCIAL CORPORATION,272,65.839 Billion USD,74.042 Billion USD,Richard Fairbank,USA
NIDEC CORPORATION,273,65.389 Billion USD,67.613 Billion USD,Shigenobu Nagamori,Japan
DAIKIN INDUSTRIES,274,65.363 Billion USD,73.464 Billion USD,Noriyuki Inoue,Japan
BLOCK INC,275,65.289 Billion USD,123.230 Billion USD,Jack Dorsey,USA
DBS GROUP HOLDINGS,276,65.120 Billion USD,57.451 Billion USD,Dhanabalan,Singapore
WHATSAPP,276,276,276,,USA
CHINA SHENHUA ENERGY COMPANY,277,64.993 Billion USD,57.673 Billion USD,Yang Jiping,China
DOMINION ENERGY,278,64.963 Billion USD,62.933 Billion USD,Robert M. Blue,USA
REGENERON PHARMACEUTICALS,279,64.927 Billion USD,72.417 Billion USD,Leonard Schleifer,USA
STELLANTIS N.V,280,64.800 Billion USD,62.339 Billion USD,John Elkann,Netherlands
PROGRESSIVE CORPORATION,281,63.805 Billion USD,56.388 Billion USD,Peter B. Lewis,USA
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,282,63.571 Billion USD,69.203 Billion USD,,China
MEDIATEK,283,63.350 Billion USD,52.812 Billion USD,Ming-Kai Tsai,Taiwan
KLA CORPORATION,284,63.213 Billion USD,51.924 Billion USD,Kenneth Levy,USA
NORTHROP GRUMMAN CORPORATION,285,63.001 Billion USD,58.872 Billion USD,Kathy Warden,USA
FERRARI,286,62.961 Billion USD,53.761 Billion USD,John Elkann,Italy
WAL-MART DE MEXICO,287,62.573 Billion USD,62.400 Billion USD,Eduardo Solorzano Morales,Mexico
